ko:K17103	lpu:LPE509_02745
ko:K01012	lpu:LPE509_01729
ko:K00833	lpu:LPE509_01730
ko:K07259	lpu:LPE509_01731
ko:K00859	lpu:LPE509_01735
ko:K03070	lpu:LPE509_01740
ko:K05539	lpu:LPE509_01741
ko:K07462	lpu:LPE509_01742
ko:K14261	lpu:LPE509_01744
ko:K03215	lpu:LPE509_01747
ko:K06178	lpu:LPE509_01756
ko:K06024	lpu:LPE509_01757
ko:K05896	lpu:LPE509_01758
ko:K01867	lpu:LPE509_01759
ko:K07053	lpu:LPE509_01761
ko:K07042	lpu:LPE509_01763
ko:K06189	lpu:LPE509_01764
ko:K03815	lpu:LPE509_01769
ko:K03179	lpu:LPE509_01773
ko:K01142	lpu:LPE509_02567
ko:K03809	lpu:LPE509_02569
ko:K07058	lpu:LPE509_02574
ko:K03667	lpu:LPE509_02576
ko:K01419	lpu:LPE509_02577
ko:K01839	lpu:LPE509_02578
ko:K08084	lpu:LPE509_02585
ko:K02671	lpu:LPE509_02586
ko:K02672	lpu:LPE509_02587
ko:K02673	lpu:LPE509_02588
ko:K02655	lpu:LPE509_02590
ko:K01246	lpu:LPE509_02598
ko:K06879	lpu:LPE509_02600
ko:K06048	lpu:LPE509_02602
ko:K01462	lpu:LPE509_02604
ko:K13979	lpu:LPE509_02608
ko:K06968	lpu:LPE509_02614
ko:K04568	lpu:LPE509_02615
ko:K11717	lpu:LPE509_02618
ko:K00500	lpu:LPE509_00385
ko:K07689	lpu:LPE509_00386
ko:K03703	lpu:LPE509_00387
ko:K02968	lpu:LPE509_00397
ko:K03980	lpu:LPE509_00399
ko:K01255	lpu:LPE509_00400
ko:K02339	lpu:LPE509_00402
ko:K01255	lpu:LPE509_00403
ko:K07091	lpu:LPE509_00404
ko:K11720	lpu:LPE509_00405
ko:K07007	lpu:LPE509_00407
ko:K01955	lpu:LPE509_00409
ko:K03624	lpu:LPE509_00410
ko:K03529	lpu:LPE509_00414
ko:K03528	lpu:LPE509_00415
ko:K01929	lpu:LPE509_00416
ko:K01000	lpu:LPE509_00418
ko:K01925	lpu:LPE509_00419
ko:K03588	lpu:LPE509_00420
ko:K01924	lpu:LPE509_00421
ko:K00075	lpu:LPE509_00422
ko:K01921	lpu:LPE509_00423
ko:K03589	lpu:LPE509_00424
ko:K03590	lpu:LPE509_00425
ko:K03531	lpu:LPE509_00427
ko:K02535	lpu:LPE509_00428
ko:K03168	lpu:LPE509_00439
ko:K07124	lpu:LPE509_01776
ko:K07001	lpu:LPE509_01777
ko:K01591	lpu:LPE509_01778
ko:K13017	lpu:LPE509_01779
ko:K02945	lpu:LPE509_01782
ko:K00945	lpu:LPE509_01783
ko:K00800	lpu:LPE509_01784
ko:K00831	lpu:LPE509_01785
ko:K02469	lpu:LPE509_01786
ko:K00757	lpu:LPE509_01787
ko:K01647	lpu:LPE509_01788
ko:K00864	lpu:LPE509_01789
ko:K00111	lpu:LPE509_01790
ko:K07501	lpu:LPE509_01794
ko:K08160	lpu:LPE509_01798
ko:K09001	lpu:LPE509_01800
ko:K03424	lpu:LPE509_01801
ko:K02676	lpu:LPE509_01802
ko:K02341	lpu:LPE509_01803
ko:K00943	lpu:LPE509_01804
ko:K07082	lpu:LPE509_01805
ko:K09458	lpu:LPE509_01806
ko:K02078	lpu:LPE509_01807
ko:K00645	lpu:LPE509_01809
ko:K00648	lpu:LPE509_01810
ko:K03621	lpu:LPE509_01811
ko:K02911	lpu:LPE509_01812
ko:K07040	lpu:LPE509_01813
ko:K00566	lpu:LPE509_01814
ko:K15724	lpu:LPE509_01815
ko:K00154	lpu:LPE509_01822
ko:K01745	lpu:LPE509_01823
ko:K01712	lpu:LPE509_01824
ko:K03305	lpu:LPE509_01825
ko:K09710	lpu:LPE509_01826
ko:K00783	lpu:LPE509_01827
ko:K09015	lpu:LPE509_02619
ko:K09013	lpu:LPE509_02620
ko:K09014	lpu:LPE509_02621
ko:K03821	lpu:LPE509_02623
ko:K05939	lpu:LPE509_02626
ko:K04752	lpu:LPE509_02632
ko:K07391	lpu:LPE509_02634
ko:K00609	lpu:LPE509_02636
ko:K07447	lpu:LPE509_02637
ko:K07735	lpu:LPE509_02638
ko:K07220	lpu:LPE509_02640
ko:K03306	lpu:LPE509_02641
ko:K01866	lpu:LPE509_02647
ko:K06374	lpu:LPE509_02650
ko:K06373	lpu:LPE509_02651
ko:K00023	lpu:LPE509_02655
ko:K00023	lpu:LPE509_02657
ko:K02346	lpu:LPE509_02663
ko:K00655	lpu:LPE509_02666
ko:K04096	lpu:LPE509_00441
ko:K01462	lpu:LPE509_00443
ko:K00604	lpu:LPE509_00444
ko:K03500	lpu:LPE509_00445
ko:K07259	lpu:LPE509_00449
ko:K08641	lpu:LPE509_00454
ko:K04061	lpu:LPE509_00457
ko:K11381	lpu:LPE509_00460
ko:K00252	lpu:LPE509_00461
ko:K03642	lpu:LPE509_00488
ko:K07783	lpu:LPE509_00489
ko:K05515	lpu:LPE509_01828
ko:K05837	lpu:LPE509_01829
ko:K03470	lpu:LPE509_01830
ko:K00748	lpu:LPE509_01832
ko:K03557	lpu:LPE509_01833
ko:K04079	lpu:LPE509_01834
ko:K09861	lpu:LPE509_01837
ko:K01915	lpu:LPE509_01839
ko:K02455	lpu:LPE509_01840
ko:K02456	lpu:LPE509_01841
ko:K02457	lpu:LPE509_01842
ko:K02458	lpu:LPE509_01843
ko:K02459	lpu:LPE509_01844
ko:K02460	lpu:LPE509_01845
ko:K07516	lpu:LPE509_01851
ko:K03820	lpu:LPE509_01854
ko:K01869	lpu:LPE509_01855
ko:K03643	lpu:LPE509_01856
ko:K02340	lpu:LPE509_01857
ko:K00969	lpu:LPE509_01858
ko:K03558	lpu:LPE509_01859
ko:K03749	lpu:LPE509_01860
ko:K11754	lpu:LPE509_01861
ko:K01963	lpu:LPE509_01863
ko:K02406	lpu:LPE509_01864
ko:K02407	lpu:LPE509_01866
ko:K02422	lpu:LPE509_01867
ko:K06168	lpu:LPE509_01872
ko:K06180	lpu:LPE509_01873
ko:K05810	lpu:LPE509_01874
ko:K00954	lpu:LPE509_02669
ko:K02494	lpu:LPE509_02670
ko:K00948	lpu:LPE509_02672
ko:K03557	lpu:LPE509_02673
ko:K00275	lpu:LPE509_02678
ko:K01902	lpu:LPE509_02679
ko:K01903	lpu:LPE509_02680
ko:K00658	lpu:LPE509_02681
ko:K00164	lpu:LPE509_02682
ko:K00240	lpu:LPE509_02683
ko:K00239	lpu:LPE509_02684
ko:K00242	lpu:LPE509_02685
ko:K01875	lpu:LPE509_02704
ko:K06199	lpu:LPE509_02705
ko:K00677	lpu:LPE509_02706
ko:K02372	lpu:LPE509_02707
ko:K02536	lpu:LPE509_02708
ko:K06142	lpu:LPE509_02709
ko:K07277	lpu:LPE509_02710
ko:K11749	lpu:LPE509_02711
ko:K00981	lpu:LPE509_02712
ko:K00806	lpu:LPE509_02713
ko:K15633	lpu:LPE509_02716
ko:K03797	lpu:LPE509_02718
ko:K06131	lpu:LPE509_01303
ko:K01512	lpu:LPE509_01305
ko:K01129	lpu:LPE509_01311
ko:K02462	lpu:LPE509_01315
ko:K02461	lpu:LPE509_01316
ko:K03596	lpu:LPE509_01318
ko:K03100	lpu:LPE509_01320
ko:K03685	lpu:LPE509_01322
ko:K06158	lpu:LPE509_01323
ko:K03545	lpu:LPE509_01325
ko:K01358	lpu:LPE509_01326
ko:K03544	lpu:LPE509_01327
ko:K01338	lpu:LPE509_01328
ko:K03530	lpu:LPE509_01329
ko:K03770	lpu:LPE509_01330
ko:K00208	lpu:LPE509_01331
ko:K00876	lpu:LPE509_01332
ko:K01919	lpu:LPE509_01338
ko:K01920	lpu:LPE509_01339
ko:K04754	lpu:LPE509_01340
ko:K07560	lpu:LPE509_01341
ko:K03657	lpu:LPE509_01343
ko:K01878	lpu:LPE509_01346
ko:K01879	lpu:LPE509_01347
ko:K03273	lpu:LPE509_01348
ko:K15984	lpu:LPE509_01349
ko:K00948	lpu:LPE509_02167
ko:K07787	lpu:LPE509_02170
ko:K07798	lpu:LPE509_02171
ko:K01534	lpu:LPE509_02179
ko:K01534	lpu:LPE509_02183
ko:K15726	lpu:LPE509_02184
ko:K03563	lpu:LPE509_02190
ko:K15371	lpu:LPE509_02980
ko:K01425	lpu:LPE509_02984
ko:K01576	lpu:LPE509_02992
ko:K09823	lpu:LPE509_02993
ko:K05577	lpu:LPE509_03004
ko:K09822	lpu:LPE509_03005
ko:K01588	lpu:LPE509_03008
ko:K01589	lpu:LPE509_03009
ko:K09862	lpu:LPE509_03010
ko:K01669	lpu:LPE509_03014
ko:K06876	lpu:LPE509_03020
ko:K00426	lpu:LPE509_03025
ko:K00425	lpu:LPE509_03026
ko:K06878	lpu:LPE509_00496
ko:K03282	lpu:LPE509_00508
ko:K06886	lpu:LPE509_00514
ko:K13771	lpu:LPE509_00515
ko:K16868	lpu:LPE509_00516
ko:K01626	lpu:LPE509_00520
ko:K02453	lpu:LPE509_01886
ko:K07014	lpu:LPE509_01898
ko:K01883	lpu:LPE509_01899
ko:K01886	lpu:LPE509_01900
ko:K01695	lpu:LPE509_01901
ko:K01696	lpu:LPE509_01902
ko:K01817	lpu:LPE509_01903
ko:K06173	lpu:LPE509_01904
ko:K01491	lpu:LPE509_01909
ko:K07115	lpu:LPE509_01911
ko:K08307	lpu:LPE509_01914
ko:K06190	lpu:LPE509_01915
ko:K03550	lpu:LPE509_01920
ko:K01159	lpu:LPE509_01921
ko:K00451	lpu:LPE509_01923
ko:K06194	lpu:LPE509_01925
ko:K03787	lpu:LPE509_01926
ko:K00311	lpu:LPE509_01932
ko:K01999	lpu:LPE509_02719
ko:K00611	lpu:LPE509_02721
ko:K01755	lpu:LPE509_02722
ko:K01940	lpu:LPE509_02723
ko:K03402	lpu:LPE509_02728
ko:K07461	lpu:LPE509_02729
ko:K01939	lpu:LPE509_02732
ko:K04087	lpu:LPE509_02733
ko:K04088	lpu:LPE509_02734
ko:K03439	lpu:LPE509_02737
ko:K02902	lpu:LPE509_02739
ko:K02913	lpu:LPE509_02740
ko:K03092	lpu:LPE509_02742
ko:K05808	lpu:LPE509_02743
ko:K01623	lpu:LPE509_02750
ko:K01960	lpu:LPE509_02757
ko:K03786	lpu:LPE509_02758
ko:K02160	lpu:LPE509_02759
ko:K01961	lpu:LPE509_02760
ko:K02687	lpu:LPE509_02761
ko:K00602	lpu:LPE509_02762
ko:K05516	lpu:LPE509_00827
ko:K00925	lpu:LPE509_00828
ko:K03821	lpu:LPE509_00830
ko:K09930	lpu:LPE509_00836
ko:K01915	lpu:LPE509_00838
ko:K03975	lpu:LPE509_00843
ko:K11103	lpu:LPE509_00845
ko:K00761	lpu:LPE509_00849
ko:K04561	lpu:LPE509_00856
ko:K08154	lpu:LPE509_00859
ko:K02078	lpu:LPE509_00860
ko:K00648	lpu:LPE509_00862
ko:K00648	lpu:LPE509_00867
ko:K07071	lpu:LPE509_00883
ko:K14415	lpu:LPE509_00897
ko:K03305	lpu:LPE509_00900
ko:K01673	lpu:LPE509_00904
ko:K13993	lpu:LPE509_00906
ko:K04080	lpu:LPE509_00907
ko:K01251	lpu:LPE509_00925
ko:K13652	lpu:LPE509_00937
ko:K00570	lpu:LPE509_00941
ko:K00275	lpu:LPE509_00963
ko:K03762	lpu:LPE509_00969
ko:K03549	lpu:LPE509_00976
ko:K05591	lpu:LPE509_00980
ko:K03704	lpu:LPE509_00982
ko:K09930	lpu:LPE509_00998
ko:K15977	lpu:LPE509_01000
ko:K03563	lpu:LPE509_01074
ko:K07798	lpu:LPE509_01082
ko:K07787	lpu:LPE509_01083
ko:K00948	lpu:LPE509_01086
ko:K03821	lpu:LPE509_01098
ko:K00208	lpu:LPE509_01101
ko:K01534	lpu:LPE509_01108
ko:K00023	lpu:LPE509_01116
ko:K03305	lpu:LPE509_01119
ko:K02066	lpu:LPE509_01131
ko:K02065	lpu:LPE509_01132
ko:K03640	lpu:LPE509_01135
ko:K10026	lpu:LPE509_01137
ko:K05589	lpu:LPE509_01140
ko:K02073	lpu:LPE509_01352
ko:K02072	lpu:LPE509_01353
ko:K02071	lpu:LPE509_01354
ko:K01640	lpu:LPE509_01357
ko:K01968	lpu:LPE509_01358
ko:K13766	lpu:LPE509_01359
ko:K01969	lpu:LPE509_01360
ko:K00253	lpu:LPE509_01363
ko:K00912	lpu:LPE509_01369
ko:K04761	lpu:LPE509_01372
ko:K12526	lpu:LPE509_01376
ko:K06076	lpu:LPE509_01377
ko:K01698	lpu:LPE509_01379
ko:K09800	lpu:LPE509_01380
ko:K07278	lpu:LPE509_01381
ko:K03555	lpu:LPE509_01382
ko:K03565	lpu:LPE509_01387
ko:K01872	lpu:LPE509_01388
ko:K02416	lpu:LPE509_01397
ko:K02417	lpu:LPE509_01398
ko:K02418	lpu:LPE509_01399
ko:K02419	lpu:LPE509_01400
ko:K02420	lpu:LPE509_01401
ko:K02421	lpu:LPE509_01402
ko:K02401	lpu:LPE509_01403
ko:K02337	lpu:LPE509_02245
ko:K02034	lpu:LPE509_02246
ko:K01972	lpu:LPE509_02249
ko:K09760	lpu:LPE509_02253
ko:K03723	lpu:LPE509_02254
ko:K07001	lpu:LPE509_02256
ko:K03568	lpu:LPE509_02257
ko:K03782	lpu:LPE509_03035
ko:K03799	lpu:LPE509_03050
ko:K09857	lpu:LPE509_03062
ko:K09781	lpu:LPE509_03064
ko:K01265	lpu:LPE509_03074
ko:K01673	lpu:LPE509_00555
ko:K06966	lpu:LPE509_00556
ko:K03216	lpu:LPE509_00562
ko:K13993	lpu:LPE509_00566
ko:K03630	lpu:LPE509_00572
ko:K13038	lpu:LPE509_00573
ko:K15778	lpu:LPE509_00575
ko:K15268	lpu:LPE509_00580
ko:K07241	lpu:LPE509_00584
ko:K04651	lpu:LPE509_00585
ko:K04656	lpu:LPE509_00587
ko:K04653	lpu:LPE509_00588
ko:K04654	lpu:LPE509_00589
ko:K03536	lpu:LPE509_00001
ko:K08998	lpu:LPE509_00002
ko:K03217	lpu:LPE509_00003
ko:K03650	lpu:LPE509_00004
ko:K03321	lpu:LPE509_00008
ko:K00496	lpu:LPE509_00009
ko:K07056	lpu:LPE509_00010
ko:K07121	lpu:LPE509_00011
ko:K07460	lpu:LPE509_00012
ko:K03271	lpu:LPE509_00013
ko:K02108	lpu:LPE509_00018
ko:K02110	lpu:LPE509_00019
ko:K02109	lpu:LPE509_00020
ko:K02113	lpu:LPE509_00021
ko:K02111	lpu:LPE509_00022
ko:K02115	lpu:LPE509_00023
ko:K02112	lpu:LPE509_00024
ko:K02114	lpu:LPE509_00025
ko:K02621	lpu:LPE509_00026
ko:K01613	lpu:LPE509_00032
ko:K07566	lpu:LPE509_00033
ko:K01126	lpu:LPE509_00035
ko:K04564	lpu:LPE509_00038
ko:K07390	lpu:LPE509_00039
ko:K03683	lpu:LPE509_00041
ko:K01465	lpu:LPE509_00042
ko:K07403	lpu:LPE509_00047
ko:K01494	lpu:LPE509_00049
ko:K05788	lpu:LPE509_00050
ko:K01738	lpu:LPE509_00054
ko:K02397	lpu:LPE509_01938
ko:K02396	lpu:LPE509_01939
ko:K02395	lpu:LPE509_01940
ko:K02394	lpu:LPE509_01941
ko:K02393	lpu:LPE509_01942
ko:K02392	lpu:LPE509_01943
ko:K02391	lpu:LPE509_01944
ko:K02390	lpu:LPE509_01945
ko:K02389	lpu:LPE509_01946
ko:K02388	lpu:LPE509_01947
ko:K02387	lpu:LPE509_01948
ko:K00228	lpu:LPE509_01950
ko:K03704	lpu:LPE509_01960
ko:K00762	lpu:LPE509_01961
ko:K00426	lpu:LPE509_01962
ko:K00425	lpu:LPE509_01963
ko:K00765	lpu:LPE509_01966
ko:K00013	lpu:LPE509_01967
ko:K00817	lpu:LPE509_01968
ko:K01089	lpu:LPE509_01969
ko:K02501	lpu:LPE509_01970
ko:K01814	lpu:LPE509_01971
ko:K02500	lpu:LPE509_01972
ko:K11755	lpu:LPE509_01973
ko:K01207	lpu:LPE509_01975
ko:K06969	lpu:LPE509_01976
ko:K03549	lpu:LPE509_01978
ko:K03554	lpu:LPE509_01979
ko:K05807	lpu:LPE509_01980
ko:K01627	lpu:LPE509_01983
ko:K01937	lpu:LPE509_01984
ko:K00794	lpu:LPE509_01985
ko:K14652	lpu:LPE509_01986
ko:K00793	lpu:LPE509_01987
ko:K03704	lpu:LPE509_02796
ko:K01772	lpu:LPE509_02797
ko:K07727	lpu:LPE509_02799
ko:K01625	lpu:LPE509_02802
ko:K01690	lpu:LPE509_02804
ko:K01057	lpu:LPE509_02805
