ko:K19079	sauv:SAI7S6_1005120
ko:K03471	sauv:SAI7S6_1008120
ko:K02347	sauv:SAI7S6_1008140
ko:K07456	sauv:SAI7S6_1008150
ko:K03703	sauv:SAI7S6_1008160
ko:K00241	sauv:SAI7S6_1008170
ko:K00239	sauv:SAI7S6_1008180
ko:K00240	sauv:SAI7S6_1008190
ko:K01776	sauv:SAI7S6_1008200
ko:K02428	sauv:SAI7S6_1008210
ko:K07095	sauv:SAI7S6_1008220
ko:K14200	sauv:SAI7S6_1008240
ko:K07566	sauv:SAI7S6_1015590
ko:K02493	sauv:SAI7S6_1015600
ko:K02835	sauv:SAI7S6_1015610
ko:K03628	sauv:SAI7S6_1015630
ko:K00128	sauv:SAI7S6_1015640
ko:K00790	sauv:SAI7S6_1015650
ko:K01624	sauv:SAI7S6_1015660
ko:K01937	sauv:SAI7S6_1015680
ko:K03048	sauv:SAI7S6_1015690
ko:K09680	sauv:SAI7S6_1015710
ko:K07173	sauv:SAI7S6_1015750
ko:K00756	sauv:SAI7S6_1015760
ko:K01619	sauv:SAI7S6_1015770
ko:K03784	sauv:SAI7S6_1015780
ko:K01809	sauv:SAI7S6_1015800
ko:K16264	sauv:SAI7S6_1015820
ko:K04763	sauv:SAI7S6_1015880
ko:K00639	sauv:SAI7S6_1004200
ko:K05523	sauv:SAI7S6_1004210
ko:K00853	sauv:SAI7S6_1004220
ko:K00826	sauv:SAI7S6_1004240
ko:K01091	sauv:SAI7S6_1004250
ko:K15519	sauv:SAI7S6_1004260
ko:K15518	sauv:SAI7S6_1004270
ko:K14194	sauv:SAI7S6_1004300
ko:K14194	sauv:SAI7S6_1004310
ko:K14194	sauv:SAI7S6_1004320
ko:K00712	sauv:SAI7S6_1004350
ko:K00712	sauv:SAI7S6_1004360
ko:K09007	sauv:SAI7S6_1004380
ko:K02564	sauv:SAI7S6_1004400
ko:K08093	sauv:SAI7S6_1004410
ko:K08094	sauv:SAI7S6_1004420
ko:K03762	sauv:SAI7S6_1004440
ko:K00626	sauv:SAI7S6_1004460
ko:K00868	sauv:SAI7S6_1004470
ko:K03648	sauv:SAI7S6_1004490
ko:K00625	sauv:SAI7S6_1004530
ko:K16869	sauv:SAI7S6_1004540
ko:K00869	sauv:SAI7S6_1004550
ko:K01597	sauv:SAI7S6_1004560
ko:K00938	sauv:SAI7S6_1004570
ko:K06885	sauv:SAI7S6_1004660
ko:K13953	sauv:SAI7S6_1004680
ko:K01887	sauv:SAI7S6_1004690
ko:K07457	sauv:SAI7S6_1004700
ko:K01749	sauv:SAI7S6_1012150
ko:K02497	sauv:SAI7S6_1012160
ko:K02492	sauv:SAI7S6_1012170
ko:K03978	sauv:SAI7S6_1012180
ko:K03544	sauv:SAI7S6_1012190
ko:K03545	sauv:SAI7S6_1012200
ko:K02520	sauv:SAI7S6_1012230
ko:K11733	sauv:SAI7S6_1012240
ko:K01868	sauv:SAI7S6_1012250
ko:K11144	sauv:SAI7S6_1012260
ko:K03346	sauv:SAI7S6_1012270
ko:K07738	sauv:SAI7S6_1012280
ko:K00134	sauv:SAI7S6_1012290
ko:K00859	sauv:SAI7S6_1012300
ko:K10563	sauv:SAI7S6_1012310
ko:K07636	sauv:SAI7S6_1012340
ko:K07658	sauv:SAI7S6_1012350
ko:K00031	sauv:SAI7S6_1012360
ko:K01647	sauv:SAI7S6_1012370
ko:K11737	sauv:SAI7S6_1012380
ko:K00873	sauv:SAI7S6_1012390
ko:K00850	sauv:SAI7S6_1012400
ko:K01962	sauv:SAI7S6_1012410
ko:K01963	sauv:SAI7S6_1012420
ko:K00027	sauv:SAI7S6_1012430
ko:K02337	sauv:SAI7S6_1012440
ko:K00259	sauv:SAI7S6_1012490
ko:K00925	sauv:SAI7S6_1012510
ko:K11065	sauv:SAI7S6_1012530
ko:K07090	sauv:SAI7S6_1012540
ko:K03151	sauv:SAI7S6_1012550
ko:K04487	sauv:SAI7S6_1012560
ko:K06286	sauv:SAI7S6_1012570
ko:K02986	sauv:SAI7S6_1012580
ko:K01126	sauv:SAI7S6_1012600
ko:K01104	sauv:SAI7S6_1019960
ko:K11936	sauv:SAI7S6_1020000
ko:K11755	sauv:SAI7S6_1020040
ko:K02500	sauv:SAI7S6_1020050
ko:K01814	sauv:SAI7S6_1020060
ko:K02501	sauv:SAI7S6_1020070
ko:K01693	sauv:SAI7S6_1020080
ko:K00817	sauv:SAI7S6_1020090
ko:K00013	sauv:SAI7S6_1020100
ko:K00765	sauv:SAI7S6_1020110
ko:K16785	sauv:SAI7S6_1020150
ko:K16786	sauv:SAI7S6_1020160
ko:K16787	sauv:SAI7S6_1020160
ko:K16924	sauv:SAI7S6_1020170
ko:K02352	sauv:SAI7S6_1020200
ko:K07146	sauv:SAI7S6_1020210
ko:K01304	sauv:SAI7S6_1020220
ko:K03319	sauv:SAI7S6_1020250
ko:K05786	sauv:SAI7S6_1020260
ko:K07241	sauv:SAI7S6_1020280
ko:K11631	sauv:SAI7S6_1020310
ko:K11632	sauv:SAI7S6_1020320
ko:K03501	sauv:SAI7S6_1020350
ko:K03495	sauv:SAI7S6_1020360
ko:K03650	sauv:SAI7S6_1020370
ko:K01534	sauv:SAI7S6_20020
ko:K02013	sauv:SAI7S6_1015910
ko:K00820	sauv:SAI7S6_1015920
ko:K02799	sauv:SAI7S6_1015930
ko:K02800	sauv:SAI7S6_1015930
ko:K00009	sauv:SAI7S6_1015950
ko:K03431	sauv:SAI7S6_1015970
ko:K01476	sauv:SAI7S6_1016000
ko:K15770	sauv:SAI7S6_1001610
ko:K15771	sauv:SAI7S6_1001620
ko:K15772	sauv:SAI7S6_1001630
ko:K07784	sauv:SAI7S6_1001680
ko:K07720	sauv:SAI7S6_1001690
ko:K02012	sauv:SAI7S6_1001710
ko:K00656	sauv:SAI7S6_1001720
ko:K04069	sauv:SAI7S6_1001730
ko:K01126	sauv:SAI7S6_1001740
ko:K07516	sauv:SAI7S6_1001770
ko:K00252	sauv:SAI7S6_1001780
ko:K01897	sauv:SAI7S6_1001790
ko:K02035	sauv:SAI7S6_1001820
ko:K05916	sauv:SAI7S6_1001830
ko:K00016	sauv:SAI7S6_1001840
ko:K02773	sauv:SAI7S6_1001880
ko:K02775	sauv:SAI7S6_1001890
ko:K00008	sauv:SAI7S6_1001900
ko:K00008	sauv:SAI7S6_1001910
ko:K05352	sauv:SAI7S6_1001930
ko:K07322	sauv:SAI7S6_1002000
ko:K07704	sauv:SAI7S6_1002010
ko:K05339	sauv:SAI7S6_1002030
ko:K03489	sauv:SAI7S6_1002040
ko:K01223	sauv:SAI7S6_1002060
ko:K00852	sauv:SAI7S6_1002080
ko:K06726	sauv:SAI7S6_1002090
ko:K06216	sauv:SAI7S6_1002100
ko:K14205	sauv:SAI7S6_1009780
ko:K07304	sauv:SAI7S6_1009790
ko:K04517	sauv:SAI7S6_1009820
ko:K01657	sauv:SAI7S6_1009840
ko:K01658	sauv:SAI7S6_1009850
ko:K00766	sauv:SAI7S6_1009860
ko:K01609	sauv:SAI7S6_1009870
ko:K01696	sauv:SAI7S6_1009880
ko:K01695	sauv:SAI7S6_1009890
ko:K11694	sauv:SAI7S6_1009900
