ko:K22213	maz:LA61_01425
ko:K02035	maz:LA61_03535
ko:K02033	maz:LA61_03540
ko:K02034	maz:LA61_03545
ko:K02031	maz:LA61_03550
ko:K02032	maz:LA61_03550
ko:K01426	maz:LA61_03560
ko:K00215	maz:LA61_03575
ko:K01933	maz:LA61_03580
ko:K06980	maz:LA61_03590
ko:K02619	maz:LA61_03595
ko:K00957	maz:LA61_07750
ko:K06959	maz:LA61_07770
ko:K02351	maz:LA61_07810
ko:K07245	maz:LA61_07810
ko:K15371	maz:LA61_07830
ko:K07107	maz:LA61_07835
ko:K06911	maz:LA61_07845
ko:K01187	maz:LA61_07850
ko:K06886	maz:LA61_07855
ko:K01256	maz:LA61_07880
ko:K01808	maz:LA61_07895
ko:K05522	maz:LA61_07900
ko:K03545	maz:LA61_07935
ko:K01358	maz:LA61_07940
ko:K01358	maz:LA61_07945
ko:K03544	maz:LA61_07950
ko:K02379	maz:LA61_07995
ko:K00174	maz:LA61_08005
ko:K00175	maz:LA61_08010
ko:K03752	maz:LA61_08025
ko:K06911	maz:LA61_12345
ko:K06153	maz:LA61_12365
ko:K02045	maz:LA61_12420
ko:K02051	maz:LA61_12425
ko:K02050	maz:LA61_12430
ko:K03891	maz:LA61_12450
ko:K03782	maz:LA61_12465
ko:K07225	maz:LA61_12535
ko:K00380	maz:LA61_12540
ko:K00265	maz:LA61_12545
ko:K00380	maz:LA61_12580
ko:K10679	maz:LA61_16720
ko:K00053	maz:LA61_16775
ko:K01653	maz:LA61_16780
ko:K01652	maz:LA61_16785
ko:K03718	maz:LA61_16805
ko:K00480	maz:LA61_16820
ko:K15977	maz:LA61_16830
ko:K02434	maz:LA61_16840
ko:K03929	maz:LA61_16850
ko:K02433	maz:LA61_16880
ko:K02435	maz:LA61_16885
ko:K01972	maz:LA61_16900
ko:K01692	maz:LA61_16925
ko:K04719	maz:LA61_16930
ko:K06901	maz:LA61_16940
ko:K03921	maz:LA61_16945
ko:K00566	maz:LA61_16955
ko:K04487	maz:LA61_16960
ko:K03522	maz:LA61_16985
ko:K00626	maz:LA61_21090
ko:K00528	maz:LA61_21100
ko:K15982	maz:LA61_21110
ko:K07560	maz:LA61_21120
ko:K00957	maz:LA61_21150
ko:K00955	maz:LA61_21155
ko:K06048	maz:LA61_21160
ko:K01462	maz:LA61_21180
ko:K01142	maz:LA61_21190
ko:K03147	maz:LA61_21225
ko:K00941	maz:LA61_21230
ko:K07020	maz:LA61_21235
ko:K03885	maz:LA61_21240
ko:K03088	maz:LA61_21245
ko:K09684	maz:LA61_21255
ko:K00276	maz:LA61_21265
ko:K07250	maz:LA61_21280
ko:K00135	maz:LA61_21285
ko:K03149	maz:LA61_21325
ko:K03154	maz:LA61_21330
ko:K03153	maz:LA61_21335
ko:K00788	maz:LA61_21340
ko:K03574	maz:LA61_21350
ko:K02030	maz:LA61_21360
ko:K14949	maz:LA61_21365
ko:K00925	maz:LA61_21370
ko:K03306	maz:LA61_24485
ko:K02036	maz:LA61_24505
ko:K02038	maz:LA61_24510
ko:K02037	maz:LA61_24515
ko:K02040	maz:LA61_24520
ko:K01091	maz:LA61_24655
ko:K09705	maz:LA61_24700
ko:K03829	maz:LA61_24705
ko:K05845	maz:LA61_01225
ko:K05847	maz:LA61_01230
ko:K05846	maz:LA61_01235
ko:K05846	maz:LA61_01240
ko:K09957	maz:LA61_01245
ko:K04517	maz:LA61_01250
ko:K11991	maz:LA61_01260
ko:K00773	maz:LA61_01300
ko:K01885	maz:LA61_01320
ko:K13671	maz:LA61_01335
ko:K01857	maz:LA61_01385
ko:K01626	maz:LA61_01405
ko:K00216	maz:LA61_01410
ko:K13063	maz:LA61_01420
ko:K03929	maz:LA61_01435
ko:K02343	maz:LA61_01470
ko:K00574	maz:LA61_01475
ko:K01689	maz:LA61_01485
ko:K01056	maz:LA61_05690
ko:K02897	maz:LA61_05695
ko:K00948	maz:LA61_05715
ko:K04042	maz:LA61_05720
ko:K01586	maz:LA61_05765
ko:K03723	maz:LA61_05770
ko:K02428	maz:LA61_05775
ko:K07243	maz:LA61_05780
ko:K16301	maz:LA61_05785
ko:K16301	maz:LA61_05790
ko:K07224	maz:LA61_05795
ko:K07243	maz:LA61_05800
ko:K01689	maz:LA61_05810
ko:K09009	maz:LA61_05820
ko:K01524	maz:LA61_05825
ko:K07090	maz:LA61_05835
ko:K01692	maz:LA61_05925
ko:K01692	maz:LA61_05935
ko:K00140	maz:LA61_05945
ko:K08289	maz:LA61_05955
ko:K00626	maz:LA61_05960
ko:K01697	maz:LA61_05975
ko:K00645	maz:LA61_10250
ko:K06994	maz:LA61_10265
ko:K08224	maz:LA61_10270
ko:K00626	maz:LA61_10290
ko:K04755	maz:LA61_10325
ko:K07044	maz:LA61_10420
ko:K00666	maz:LA61_10475
ko:K00121	maz:LA61_10495
ko:K11738	maz:LA61_14675
ko:K03821	maz:LA61_14690
ko:K07052	maz:LA61_14715
ko:K07402	maz:LA61_14760
ko:K01487	maz:LA61_14780
ko:K00365	maz:LA61_14785
ko:K07127	maz:LA61_14790
ko:K16840	maz:LA61_14795
ko:K16841	maz:LA61_14810
ko:K03457	maz:LA61_14820
ko:K11103	maz:LA61_14830
ko:K01477	maz:LA61_14840
ko:K09117	maz:LA61_14915
ko:K08167	maz:LA61_14925
ko:K12421	maz:LA61_14945
ko:K12421	maz:LA61_14950
ko:K15983	maz:LA61_14965
ko:K02879	maz:LA61_19040
ko:K03040	maz:LA61_19045
ko:K02986	maz:LA61_19050
ko:K02948	maz:LA61_19055
ko:K02952	maz:LA61_19060
ko:K02919	maz:LA61_19065
ko:K02518	maz:LA61_19070
ko:K07192	maz:LA61_19085
ko:K01790	maz:LA61_19100
ko:K01265	maz:LA61_19110
ko:K00939	maz:LA61_19115
ko:K03076	maz:LA61_19120
ko:K04773	maz:LA61_19145
ko:K02876	maz:LA61_19165
ko:K02907	maz:LA61_19170
ko:K02988	maz:LA61_19175
ko:K02881	maz:LA61_19180
ko:K02933	maz:LA61_19185
ko:K02994	maz:LA61_19190
ko:K00262	maz:LA61_19200
ko:K03929	maz:LA61_19215
ko:K02954	maz:LA61_19220
ko:K02931	maz:LA61_19225
ko:K02895	maz:LA61_19230
ko:K02874	maz:LA61_19235
ko:K02961	maz:LA61_19255
ko:K02904	maz:LA61_19260
ko:K02878	maz:LA61_19265
ko:K02982	maz:LA61_19270
ko:K02890	maz:LA61_19275
ko:K02965	maz:LA61_19280
ko:K02886	maz:LA61_19285
ko:K02892	maz:LA61_19290
ko:K02926	maz:LA61_19295
ko:K02906	maz:LA61_19300
ko:K02946	maz:LA61_19305
ko:K00275	maz:LA61_19310
ko:K00240	maz:LA61_22350
ko:K00626	maz:LA61_22445
ko:K00059	maz:LA61_22450
ko:K02048	maz:LA61_22465
ko:K03321	maz:LA61_22470
ko:K07044	maz:LA61_22485
ko:K01207	maz:LA61_22520
ko:K03088	maz:LA61_22525
ko:K16648	maz:LA61_22595
ko:K03521	maz:LA61_16990
ko:K13788	maz:LA61_21375
ko:K01448	maz:LA61_01515
ko:K09747	maz:LA61_01520
ko:K06187	maz:LA61_01525
ko:K07009	maz:LA61_01540
ko:K02342	maz:LA61_01570
ko:K02963	maz:LA61_01580
ko:K02954	maz:LA61_01585
ko:K02913	maz:LA61_01590
ko:K02902	maz:LA61_01595
ko:K02909	maz:LA61_01605
ko:K01649	maz:LA61_01610
ko:K00928	maz:LA61_01635
ko:K00133	maz:LA61_01640
ko:K09922	maz:LA61_01670
ko:K03781	maz:LA61_01675
ko:K03320	maz:LA61_01700
ko:K00847	maz:LA61_01720
ko:K01443	maz:LA61_01735
ko:K00820	maz:LA61_01740
ko:K01919	maz:LA61_01770
ko:K07008	maz:LA61_01780
ko:K01739	maz:LA61_05985
ko:K01754	maz:LA61_05995
ko:K03624	maz:LA61_06005
ko:K18455	maz:LA61_06015
ko:K06888	maz:LA61_06025
ko:K11068	maz:LA61_06040
ko:K12503	maz:LA61_06045
ko:K15981	maz:LA61_06055
ko:K05917	maz:LA61_06070
ko:K00128	maz:LA61_06090
ko:K01607	maz:LA61_06105
ko:K03929	maz:LA61_06115
ko:K05846	maz:LA61_06125
ko:K05847	maz:LA61_06130
ko:K05846	maz:LA61_06135
ko:K05845	maz:LA61_06140
ko:K03333	maz:LA61_06160
ko:K00867	maz:LA61_06170
ko:K00600	maz:LA61_06180
ko:K03922	maz:LA61_06185
ko:K07175	maz:LA61_06190
ko:K03088	maz:LA61_06230
ko:K01679	maz:LA61_06240
ko:K02446	maz:LA61_06245
ko:K03602	maz:LA61_06260
ko:K03601	maz:LA61_06265
ko:K03466	maz:LA61_10575
ko:K06910	maz:LA61_10595
ko:K00254	maz:LA61_10600
ko:K06153	maz:LA61_10620
ko:K01082	maz:LA61_10655
ko:K15526	maz:LA61_10660
ko:K04791	maz:LA61_10675
ko:K04790	maz:LA61_10680
ko:K04789	maz:LA61_10690
ko:K04792	maz:LA61_10695
ko:K04788	maz:LA61_10700
ko:K00548	maz:LA61_10725
ko:K01523	maz:LA61_10735
ko:K00765	maz:LA61_10740
ko:K00330	maz:LA61_10750
ko:K00331	maz:LA61_10755
ko:K00332	maz:LA61_10760
ko:K00333	maz:LA61_10765
ko:K00334	maz:LA61_10770
ko:K00337	maz:LA61_10785
ko:K00338	maz:LA61_10790
ko:K00339	maz:LA61_10795
ko:K00340	maz:LA61_10800
ko:K00341	maz:LA61_10805
ko:K00342	maz:LA61_10810
ko:K00343	maz:LA61_10815
ko:K00508	maz:LA61_10820
ko:K02066	maz:LA61_10825
ko:K07044	maz:LA61_14970
ko:K06916	maz:LA61_15010
ko:K16647	maz:LA61_15025
ko:K07305	maz:LA61_15030
ko:K00231	maz:LA61_15060
ko:K01599	maz:LA61_15065
ko:K03684	maz:LA61_15075
ko:K01662	maz:LA61_15085
ko:K03313	maz:LA61_15090
ko:K03499	maz:LA61_15105
ko:K03499	maz:LA61_15110
ko:K03088	maz:LA61_15130
ko:K01092	maz:LA61_15170
ko:K00886	maz:LA61_15175
ko:K03086	maz:LA61_15180
ko:K00567	maz:LA61_15195
ko:K09930	maz:LA61_15245
ko:K07058	maz:LA61_15260
ko:K00626	maz:LA61_19325
ko:K03736	maz:LA61_19330
ko:K03735	maz:LA61_19335
ko:K00101	maz:LA61_19360
ko:K00819	maz:LA61_19400
ko:K02358	maz:LA61_19435
ko:K02355	maz:LA61_19440
ko:K02992	maz:LA61_19445
ko:K02950	maz:LA61_19450
ko:K01692	maz:LA61_19480
ko:K02616	maz:LA61_19485
ko:K01692	maz:LA61_19490
ko:K09456	maz:LA61_19495
ko:K03046	maz:LA61_19535
ko:K03043	maz:LA61_19540
ko:K02065	maz:LA61_19550
ko:K02935	maz:LA61_19575
ko:K02864	maz:LA61_19580
ko:K00574	maz:LA61_19600
ko:K00074	maz:LA61_22680
ko:K01596	maz:LA61_22750
ko:K03439	maz:LA61_22770
ko:K06860	maz:LA61_22775
ko:K02067	maz:LA61_22815
ko:K02066	maz:LA61_22825
ko:K02066	maz:LA61_22830
ko:K06929	maz:LA61_22905
ko:K07386	maz:LA61_22920
ko:K11263	maz:LA61_22935
ko:K01969	maz:LA61_22940
ko:K01011	maz:LA61_03645
ko:K15520	maz:LA61_03670
ko:K02040	maz:LA61_03675
ko:K02037	maz:LA61_03680
ko:K02038	maz:LA61_03685
ko:K02036	maz:LA61_03690
ko:K02039	maz:LA61_03700
ko:K03921	maz:LA61_03715
ko:K00074	maz:LA61_03740
ko:K01873	maz:LA61_08055
ko:K11754	maz:LA61_08060
ko:K00940	maz:LA61_08070
ko:K02888	maz:LA61_08090
ko:K02899	maz:LA61_08095
ko:K03979	maz:LA61_08100
ko:K00931	maz:LA61_08105
ko:K00852	maz:LA61_08125
ko:K00147	maz:LA61_08130
ko:K07161	maz:LA61_08140
ko:K00969	maz:LA61_08145
ko:K09710	maz:LA61_08150
ko:K02237	maz:LA61_08170
ko:K02238	maz:LA61_08175
ko:K02340	maz:LA61_08205
ko:K02968	maz:LA61_08210
ko:K03596	maz:LA61_08240
ko:K00459	maz:LA61_08245
ko:K02048	maz:LA61_08305
ko:K02046	maz:LA61_08310
ko:K02047	maz:LA61_08315
ko:K02045	maz:LA61_08320
ko:K00956	maz:LA61_08340
ko:K00957	maz:LA61_08345
ko:K00390	maz:LA61_08350
ko:K00392	maz:LA61_08355
ko:K03090	maz:LA61_12675
ko:K02039	maz:LA61_12745
ko:K03781	maz:LA61_12770
ko:K16234	maz:LA61_12790
ko:K00156	maz:LA61_12795
ko:K10536	maz:LA61_12830
ko:K12251	maz:LA61_12835
ko:K03921	maz:LA61_12855
ko:K06048	maz:LA61_12895
ko:K01596	maz:LA61_12910
ko:K01673	maz:LA61_12925
ko:K03325	maz:LA61_12940
ko:K16149	maz:LA61_17000
ko:K16150	maz:LA61_17010
ko:K12421	maz:LA61_17015
ko:K07044	maz:LA61_17045
ko:K07044	maz:LA61_17050
ko:K01692	maz:LA61_17090
ko:K02013	maz:LA61_17100
ko:K01079	maz:LA61_17120
ko:K02274	maz:LA61_17125
ko:K02016	maz:LA61_17130
ko:K11939	maz:LA61_17160
ko:K02471	maz:LA61_17175
ko:K13979	maz:LA61_17180
ko:K03647	maz:LA61_17255
ko:K01916	maz:LA61_17280
ko:K02440	maz:LA61_01830
ko:K00864	maz:LA61_01835
ko:K03924	maz:LA61_01870
ko:K07454	maz:LA61_01910
ko:K03581	maz:LA61_01915
ko:K03582	maz:LA61_01920
ko:K03583	maz:LA61_01925
ko:K01738	maz:LA61_01965
ko:K10773	maz:LA61_02025
ko:K01895	maz:LA61_02060
ko:K15580	maz:LA61_02065
ko:K15581	maz:LA61_02070
ko:K15582	maz:LA61_02075
ko:K02031	maz:LA61_02080
ko:K02032	maz:LA61_02080
ko:K02283	maz:LA61_02100
ko:K03527	maz:LA61_06275
ko:K06200	maz:LA61_06290
ko:K06942	maz:LA61_06320
ko:K09167	maz:LA61_06330
ko:K08981	maz:LA61_06335
ko:K01738	maz:LA61_06350
ko:K06994	maz:LA61_06420
ko:K11065	maz:LA61_06435
ko:K13669	maz:LA61_06505
ko:K01433	maz:LA61_06515
ko:K01724	maz:LA61_06520
ko:K03574	maz:LA61_06525
ko:K06207	maz:LA61_06530
ko:K07506	maz:LA61_06545
ko:K15525	maz:LA61_06560
ko:K06978	maz:LA61_10860
ko:K03921	maz:LA61_10865
ko:K07442	maz:LA61_10875
ko:K13527	maz:LA61_10895
ko:K03088	maz:LA61_10900
ko:K01652	maz:LA61_10910
ko:K00648	maz:LA61_10920
ko:K00817	maz:LA61_10925
ko:K13570	maz:LA61_10940
ko:K03433	maz:LA61_10945
ko:K03432	maz:LA61_10950
ko:K15552	maz:LA61_10965
ko:K15551	maz:LA61_10970
ko:K10831	maz:LA61_10975
ko:K13571	maz:LA61_11000
ko:K13573	maz:LA61_11015
ko:K03116	maz:LA61_11020
ko:K03118	maz:LA61_11025
ko:K03727	maz:LA61_11030
ko:K00595	maz:LA61_11060
ko:K05936	maz:LA61_11065
ko:K05895	maz:LA61_11070
ko:K13540	maz:LA61_11075
ko:K06042	maz:LA61_11080
ko:K02229	maz:LA61_11085
ko:K02230	maz:LA61_11090
ko:K07006	maz:LA61_11095
ko:K07006	maz:LA61_11100
ko:K07113	maz:LA61_11105
ko:K03820	maz:LA61_11115
ko:K00721	maz:LA61_11120
ko:K06994	maz:LA61_11140
ko:K03087	maz:LA61_15275
ko:K03709	maz:LA61_15280
ko:K00322	maz:LA61_15295
ko:K07738	maz:LA61_15315
ko:K01356	maz:LA61_15325
ko:K03823	maz:LA61_15330
ko:K08351	maz:LA61_15340
ko:K03665	maz:LA61_15345
ko:K01778	maz:LA61_15350
ko:K00791	maz:LA61_15355
ko:K06168	maz:LA61_15375
ko:K10008	maz:LA61_15390
ko:K10005	maz:LA61_15395
ko:K10006	maz:LA61_15400
ko:K10007	maz:LA61_15405
ko:K09958	maz:LA61_15410
ko:K07006	maz:LA61_15415
ko:K03565	maz:LA61_15435
ko:K10533	maz:LA61_15455
ko:K10533	maz:LA61_15460
ko:K00995	maz:LA61_15495
ko:K00619	maz:LA61_15500
ko:K03466	maz:LA61_15510
ko:K00111	maz:LA61_19605
ko:K00803	maz:LA61_19615
ko:K03088	maz:LA61_19635
ko:K02863	maz:LA61_19655
ko:K02867	maz:LA61_19660
ko:K02601	maz:LA61_19665
ko:K03073	maz:LA61_19670
ko:K02913	maz:LA61_19695
ko:K04047	maz:LA61_19710
ko:K05520	maz:LA61_19715
ko:K07028	maz:LA61_19720
ko:K09767	maz:LA61_19780
ko:K00057	maz:LA61_19795
ko:K15983	maz:LA61_19810
ko:K03799	maz:LA61_19855
ko:K00805	maz:LA61_19860
ko:K03183	maz:LA61_19870
ko:K12583	maz:LA61_19875
ko:K02551	maz:LA61_19885
ko:K01687	maz:LA61_22965
ko:K03088	maz:LA61_23005
ko:K07032	maz:LA61_23015
ko:K03744	maz:LA61_23025
ko:K00121	maz:LA61_23040
ko:K06911	maz:LA61_23045
ko:K02067	maz:LA61_23075
ko:K00666	maz:LA61_23085
ko:K00325	maz:LA61_23125
ko:K00324	maz:LA61_23130
ko:K00324	maz:LA61_23135
ko:K07393	maz:LA61_23140
ko:K01692	maz:LA61_23180
ko:K11537	maz:LA61_23190
ko:K01104	maz:LA61_23195
ko:K09793	maz:LA61_23200
ko:K18481	maz:LA61_23205
ko:K00466	maz:LA61_04055
ko:K15371	maz:LA61_04065
ko:K07250	maz:LA61_04070
ko:K00252	maz:LA61_04075
ko:K09684	maz:LA61_04090
ko:K10680	maz:LA61_04110
ko:K01692	maz:LA61_04140
ko:K00626	maz:LA61_04145
ko:K07068	maz:LA61_04155
ko:K01796	maz:LA61_04185
ko:K14267	maz:LA61_04195
ko:K00626	maz:LA61_04210
ko:K01782	maz:LA61_04215
ko:K03705	maz:LA61_08370
ko:K03686	maz:LA61_08375
ko:K09761	maz:LA61_08380
ko:K07042	maz:LA61_08390
ko:K01426	maz:LA61_08415
ko:K03584	maz:LA61_08420
ko:K03711	maz:LA61_08435
ko:K00836	maz:LA61_08465
ko:K13745	maz:LA61_08470
ko:K01990	maz:LA61_08490
ko:K01992	maz:LA61_08495
ko:K02078	maz:LA61_08500
ko:K00666	maz:LA61_08505
ko:K02066	maz:LA61_08510
ko:K02066	maz:LA61_08515
ko:K02067	maz:LA61_08525
ko:K07044	maz:LA61_08550
ko:K01880	maz:LA61_08555
ko:K15372	maz:LA61_08560
ko:K01129	maz:LA61_08580
ko:K06889	maz:LA61_08600
ko:K07397	maz:LA61_08600
ko:K16786	maz:LA61_08615
ko:K16787	maz:LA61_08615
ko:K16785	maz:LA61_08620
ko:K02027	maz:LA61_08625
ko:K02026	maz:LA61_08630
ko:K02025	maz:LA61_08635
ko:K03568	maz:LA61_08640
ko:K02069	maz:LA61_12950
ko:K05712	maz:LA61_12965
ko:K00666	maz:LA61_12970
ko:K02484	maz:LA61_13010
ko:K06720	maz:LA61_13025
ko:K09771	maz:LA61_13080
ko:K03294	maz:LA61_13085
ko:K00666	maz:LA61_13130
ko:K18653	maz:LA61_13135
ko:K18654	maz:LA61_13140
ko:K08174	maz:LA61_13150
ko:K02274	maz:LA61_13170
ko:K01996	maz:LA61_13190
ko:K01995	maz:LA61_13195
ko:K01998	maz:LA61_13200
ko:K01997	maz:LA61_13205
ko:K01999	maz:LA61_13210
ko:K00425	maz:LA61_13235
ko:K03088	maz:LA61_17325
ko:K10974	maz:LA61_17345
ko:K12410	maz:LA61_17390
ko:K01835	maz:LA61_17445
ko:K03929	maz:LA61_17455
ko:K03929	maz:LA61_17460
ko:K13993	maz:LA61_17530
ko:K01652	maz:LA61_17545
ko:K00135	maz:LA61_17550
ko:K03664	maz:LA61_17560
ko:K09811	maz:LA61_17565
ko:K09812	maz:LA61_17570
ko:K02836	maz:LA61_17585
ko:K01533	maz:LA61_02190
ko:K01738	maz:LA61_02200
ko:K01673	maz:LA61_02285
ko:K12510	maz:LA61_02300
ko:K06994	maz:LA61_02335
ko:K06877	maz:LA61_02375
ko:K03704	maz:LA61_02380
ko:K03168	maz:LA61_02390
ko:K02341	maz:LA61_02400
ko:K00545	maz:LA61_06575
ko:K11779	maz:LA61_06580
ko:K00219	maz:LA61_06605
ko:K00294	maz:LA61_06630
ko:K00318	maz:LA61_06635
ko:K12429	maz:LA61_06640
ko:K00674	maz:LA61_06655
ko:K01439	maz:LA61_06660
ko:K08223	maz:LA61_06670
ko:K06966	maz:LA61_06680
ko:K06966	maz:LA61_06685
ko:K00666	maz:LA61_06690
ko:K00796	maz:LA61_06705
ko:K13693	maz:LA61_06710
ko:K01246	maz:LA61_06725
ko:K16148	maz:LA61_06735
ko:K00975	maz:LA61_06740
ko:K01992	maz:LA61_06770
ko:K01990	maz:LA61_06775
ko:K03088	maz:LA61_06790
ko:K03117	maz:LA61_06805
ko:K03593	maz:LA61_06810
ko:K01644	maz:LA61_06825
ko:K02027	maz:LA61_06840
ko:K02025	maz:LA61_06845
ko:K02026	maz:LA61_06850
ko:K15554	maz:LA61_11170
ko:K15555	maz:LA61_11175
ko:K15553	maz:LA61_11180
ko:K04091	maz:LA61_11185
ko:K06978	maz:LA61_11200
ko:K14743	maz:LA61_11215
ko:K03710	maz:LA61_11285
ko:K02051	maz:LA61_11295
ko:K02050	maz:LA61_11300
ko:K02049	maz:LA61_11305
ko:K04781	maz:LA61_11315
ko:K04787	maz:LA61_11325
ko:K04789	maz:LA61_11330
ko:K04793	maz:LA61_11335
ko:K00604	maz:LA61_11390
ko:K14698	maz:LA61_11400
ko:K03762	maz:LA61_11405
ko:K10674	maz:LA61_11410
ko:K06720	maz:LA61_11415
ko:K00836	maz:LA61_11420
ko:K06718	maz:LA61_11425
ko:K12574	maz:LA61_15555
ko:K01714	maz:LA61_15560
ko:K09927	maz:LA61_15575
ko:K00215	maz:LA61_15615
ko:K01673	maz:LA61_15625
ko:K00259	maz:LA61_15635
ko:K00962	maz:LA61_15665
ko:K02956	maz:LA61_15675
ko:K11753	maz:LA61_15680
