ko:K07062	xcr:J163_04448
ko:K02400	xcr:J163_02081
ko:K02401	xcr:J163_02082
ko:K02421	xcr:J163_02086
ko:K02420	xcr:J163_02087
ko:K02419	xcr:J163_02089
ko:K02418	xcr:J163_02090
ko:K02417	xcr:J163_02091
ko:K02416	xcr:J163_02092
ko:K02415	xcr:J163_02093
ko:K02414	xcr:J163_02094
ko:K02413	xcr:J163_02095
ko:K02412	xcr:J163_02096
ko:K02411	xcr:J163_02097
ko:K02410	xcr:J163_02098
ko:K02409	xcr:J163_02099
ko:K02408	xcr:J163_02100
ko:K00648	xcr:J163_02109
ko:K10941	xcr:J163_02112
ko:K01077	xcr:J163_02924
ko:K04075	xcr:J163_02925
ko:K03602	xcr:J163_02926
ko:K00795	xcr:J163_02927
ko:K09940	xcr:J163_02929
ko:K03592	xcr:J163_02930
ko:K09889	xcr:J163_02931
ko:K03568	xcr:J163_02932
ko:K08301	xcr:J163_02935
ko:K06287	xcr:J163_02936
ko:K09807	xcr:J163_02937
ko:K03832	xcr:J163_02939
ko:K00783	xcr:J163_02940
ko:K07093	xcr:J163_02941
ko:K09710	xcr:J163_02942
ko:K00969	xcr:J163_02943
ko:K02340	xcr:J163_02944
ko:K03643	xcr:J163_02945
ko:K01869	xcr:J163_02946
ko:K05838	xcr:J163_02948
ko:K09779	xcr:J163_02953
ko:K18893	xcr:J163_02961
ko:K02553	xcr:J163_02972
ko:K01091	xcr:J163_03779
ko:K02346	xcr:J163_03780
ko:K01716	xcr:J163_03781
ko:K00647	xcr:J163_03782
ko:K01414	xcr:J163_03784
ko:K01738	xcr:J163_03785
ko:K07233	xcr:J163_03788
ko:K01759	xcr:J163_03789
ko:K00820	xcr:J163_03795
ko:K02005	xcr:J163_03796
ko:K02003	xcr:J163_03797
ko:K02004	xcr:J163_03798
ko:K02004	xcr:J163_03799
ko:K04042	xcr:J163_03802
ko:K04093	xcr:J163_03804
ko:K02114	xcr:J163_03805
ko:K02112	xcr:J163_03806
ko:K02115	xcr:J163_03807
ko:K02111	xcr:J163_03808
ko:K02113	xcr:J163_03809
ko:K02109	xcr:J163_03810
ko:K02110	xcr:J163_03811
ko:K02108	xcr:J163_03812
ko:K00382	xcr:J163_03816
ko:K00627	xcr:J163_03818
ko:K07275	xcr:J163_03821
ko:K02073	xcr:J163_03824
ko:K02072	xcr:J163_03825
ko:K02071	xcr:J163_03826
ko:K09767	xcr:J163_03828
ko:K05560	xcr:J163_00580
ko:K05559	xcr:J163_00581
ko:K01923	xcr:J163_00589
ko:K01198	xcr:J163_01413
ko:K01209	xcr:J163_01413
ko:K02014	xcr:J163_01414
ko:K03672	xcr:J163_01415
ko:K03412	xcr:J163_01418
ko:K00575	xcr:J163_01419
ko:K01209	xcr:J163_01424
ko:K01785	xcr:J163_01425
ko:K03106	xcr:J163_01427
ko:K00459	xcr:J163_01428
ko:K02959	xcr:J163_01430
ko:K02860	xcr:J163_01431
ko:K00554	xcr:J163_01432
ko:K02884	xcr:J163_01433
ko:K00799	xcr:J163_01437
ko:K04762	xcr:J163_01438
ko:K03782	xcr:J163_01439
ko:K03555	xcr:J163_01441
ko:K01206	xcr:J163_01446
ko:K01190	xcr:J163_01448
ko:K01224	xcr:J163_01449
ko:K00140	xcr:J163_01452
ko:K16264	xcr:J163_01457
ko:K01782	xcr:J163_01458
ko:K03088	xcr:J163_01459
ko:K03596	xcr:J163_01462
ko:K03100	xcr:J163_01463
ko:K03685	xcr:J163_01465
ko:K07483	xcr:J163_02278
ko:K02477	xcr:J163_02286
ko:K15727	xcr:J163_02290
ko:K15726	xcr:J163_02291
ko:K09702	xcr:J163_02297
ko:K02303	xcr:J163_02301
ko:K02304	xcr:J163_02303
ko:K15977	xcr:J163_02308
ko:K03406	xcr:J163_02313
ko:K03717	xcr:J163_02315
ko:K05577	xcr:J163_02316
ko:K09822	xcr:J163_02317
ko:K07483	xcr:J163_02319
ko:K03630	xcr:J163_02322
ko:K07733	xcr:J163_02323
ko:K05808	xcr:J163_03133
ko:K02806	xcr:J163_03134
ko:K06023	xcr:J163_03135
ko:K06958	xcr:J163_03136
ko:K02821	xcr:J163_03137
ko:K11189	xcr:J163_03138
ko:K08483	xcr:J163_03139
ko:K06213	xcr:J163_03140
ko:K00426	xcr:J163_03142
ko:K00425	xcr:J163_03143
ko:K01273	xcr:J163_03144
ko:K01728	xcr:J163_03146
ko:K18457	xcr:J163_03147
ko:K07782	xcr:J163_03148
ko:K14266	xcr:J163_03155
ko:K13639	xcr:J163_03160
ko:K08989	xcr:J163_03165
ko:K10716	xcr:J163_03167
ko:K09980	xcr:J163_03169
ko:K00275	xcr:J163_03170
ko:K00891	xcr:J163_03171
ko:K01735	xcr:J163_03172
ko:K01599	xcr:J163_03174
ko:K15342	xcr:J163_03993
ko:K09951	xcr:J163_03994
ko:K06879	xcr:J163_03997
ko:K07799	xcr:J163_03999
ko:K07788	xcr:J163_04000
ko:K07789	xcr:J163_04001
ko:K07025	xcr:J163_04005
ko:K08641	xcr:J163_04010
ko:K05349	xcr:J163_04020
ko:K01633	xcr:J163_04021
ko:K01409	xcr:J163_04022
ko:K02970	xcr:J163_04023
ko:K09117	xcr:J163_04024
ko:K07058	xcr:J163_04025
ko:K14347	xcr:J163_04027
ko:K02259	xcr:J163_04030
ko:K02276	xcr:J163_04034
ko:K02258	xcr:J163_04035
ko:K02274	xcr:J163_04037
ko:K02275	xcr:J163_04038
ko:K13821	xcr:J163_04040
ko:K01866	xcr:J163_04048
ko:K08224	xcr:J163_00432
ko:K01433	xcr:J163_00439
ko:K07664	xcr:J163_00440
ko:K07642	xcr:J163_00441
ko:K00297	xcr:J163_00446
ko:K09765	xcr:J163_00447
ko:K03576	xcr:J163_00448
ko:K00299	xcr:J163_00449
ko:K00549	xcr:J163_00451
ko:K02526	xcr:J163_00452
ko:K07483	xcr:J163_00460
ko:K01687	xcr:J163_00462
ko:K06940	xcr:J163_00464
ko:K00141	xcr:J163_00471
ko:K18954	xcr:J163_00472
ko:K00481	xcr:J163_00473
ko:K00864	xcr:J163_00476
ko:K02440	xcr:J163_00477
ko:K00111	xcr:J163_00478
ko:K02444	xcr:J163_00479
ko:K01039	xcr:J163_00482
ko:K01040	xcr:J163_00483
ko:K07823	xcr:J163_00484
ko:K01201	xcr:J163_01308
ko:K00384	xcr:J163_01315
ko:K03701	xcr:J163_01319
ko:K11177	xcr:J163_01320
ko:K11178	xcr:J163_01321
ko:K13483	xcr:J163_01322
ko:K09003	xcr:J163_01323
ko:K07341	xcr:J163_01327
ko:K01356	xcr:J163_01329
ko:K14161	xcr:J163_01331
ko:K14162	xcr:J163_01332
ko:K03781	xcr:J163_01346
ko:K03929	xcr:J163_01348
ko:K00281	xcr:J163_01349
ko:K07552	xcr:J163_01352
ko:K01283	xcr:J163_01354
ko:K03760	xcr:J163_01355
ko:K15539	xcr:J163_02165
ko:K17713	xcr:J163_02167
ko:K03977	xcr:J163_02168
ko:K03750	xcr:J163_02169
ko:K08995	xcr:J163_02173
ko:K01142	xcr:J163_02177
ko:K03750	xcr:J163_02179
ko:K03752	xcr:J163_02180
ko:K03322	xcr:J163_02183
ko:K11924	xcr:J163_02184
ko:K13288	xcr:J163_02186
ko:K09773	xcr:J163_02189
ko:K09920	xcr:J163_02190
ko:K03574	xcr:J163_02191
ko:K00019	xcr:J163_02192
ko:K17103	xcr:J163_02193
ko:K03821	xcr:J163_02195
ko:K06959	xcr:J163_02200
ko:K01625	xcr:J163_02214
ko:K01690	xcr:J163_02215
ko:K01057	xcr:J163_02216
ko:K00845	xcr:J163_02217
ko:K00036	xcr:J163_02218
ko:K10112	xcr:J163_02219
ko:K19048	xcr:J163_03029
ko:K03407	xcr:J163_03031
ko:K03406	xcr:J163_03032
ko:K03408	xcr:J163_03033
ko:K00575	xcr:J163_03035
ko:K03412	xcr:J163_03036
ko:K07386	xcr:J163_03038
ko:K01834	xcr:J163_03040
ko:K05982	xcr:J163_03041
ko:K06911	xcr:J163_03043
ko:K07397	xcr:J163_03045
ko:K06911	xcr:J163_03046
ko:K06200	xcr:J163_03047
ko:K07141	xcr:J163_03055
ko:K07402	xcr:J163_03058
ko:K11177	xcr:J163_03060
ko:K11178	xcr:J163_03061
ko:K13483	xcr:J163_03062
ko:K03111	xcr:J163_03065
ko:K02523	xcr:J163_03066
ko:K01925	xcr:J163_03068
ko:K12526	xcr:J163_03071
ko:K04063	xcr:J163_03075
ko:K00609	xcr:J163_03076
ko:K07447	xcr:J163_03077
ko:K07735	xcr:J163_03078
ko:K01246	xcr:J163_03079
ko:K00425	xcr:J163_03887
ko:K00426	xcr:J163_03888
ko:K01784	xcr:J163_03892
ko:K01854	xcr:J163_03894
ko:K06147	xcr:J163_03896
ko:K02014	xcr:J163_03908
ko:K01992	xcr:J163_03909
ko:K01992	xcr:J163_03910
ko:K01990	xcr:J163_03911
ko:K01173	xcr:J163_03921
ko:K01118	xcr:J163_03924
ko:K01265	xcr:J163_03933
ko:K03086	xcr:J163_03938
ko:K07393	xcr:J163_00702
ko:K06983	xcr:J163_00713
ko:K01713	xcr:J163_00715
ko:K11737	xcr:J163_00718
ko:K03284	xcr:J163_00720
ko:K01194	xcr:J163_00722
ko:K05522	xcr:J163_00724
ko:K03321	xcr:J163_00732
ko:K03669	xcr:J163_00736
ko:K06999	xcr:J163_00737
ko:K08082	xcr:J163_00738
ko:K08083	xcr:J163_00739
ko:K01749	xcr:J163_00740
ko:K07283	xcr:J163_00741
ko:K03098	xcr:J163_00743
ko:K01322	xcr:J163_00745
ko:K01354	xcr:J163_00748
ko:K09790	xcr:J163_00749
ko:K01778	xcr:J163_00751
ko:K09921	xcr:J163_00752
ko:K03733	xcr:J163_00753
ko:K01419	xcr:J163_00754
ko:K03667	xcr:J163_00755
ko:K01485	xcr:J163_00756
ko:K02348	xcr:J163_00757
ko:K01265	xcr:J163_01571
ko:K00990	xcr:J163_01572
ko:K00674	xcr:J163_01573
ko:K01439	xcr:J163_01575
ko:K01953	xcr:J163_01576
ko:K02014	xcr:J163_01578
ko:K01434	xcr:J163_01580
ko:K03594	xcr:J163_01581
ko:K00569	xcr:J163_01582
ko:K02621	xcr:J163_01584
ko:K03543	xcr:J163_01588
ko:K03446	xcr:J163_01589
ko:K05349	xcr:J163_01591
ko:K03305	xcr:J163_01593
ko:K06975	xcr:J163_01596
ko:K15974	xcr:J163_01598
ko:K01284	xcr:J163_01599
ko:K00432	xcr:J163_01600
ko:K00528	xcr:J163_01601
ko:K06147	xcr:J163_01602
ko:K01676	xcr:J163_01603
ko:K00799	xcr:J163_01604
ko:K01673	xcr:J163_01605
ko:K01058	xcr:J163_01606
ko:K09793	xcr:J163_01607
ko:K03704	xcr:J163_01608
ko:K06077	xcr:J163_01609
ko:K03424	xcr:J163_01612
ko:K00252	xcr:J163_01615
ko:K00799	xcr:J163_01617
ko:K01953	xcr:J163_01618
ko:K01669	xcr:J163_01621
ko:K07733	xcr:J163_02441
ko:K01951	xcr:J163_02443
ko:K00088	xcr:J163_02444
ko:K01491	xcr:J163_02445
ko:K09948	xcr:J163_02446
ko:K11747	xcr:J163_02447
ko:K00963	xcr:J163_02448
ko:K05788	xcr:J163_02453
ko:K02945	xcr:J163_02454
ko:K00945	xcr:J163_02455
ko:K02919	xcr:J163_02456
ko:K12251	xcr:J163_02460
ko:K03823	xcr:J163_02461
ko:K02026	xcr:J163_02465
ko:K02025	xcr:J163_02466
ko:K02027	xcr:J163_02467
ko:K02529	xcr:J163_02470
ko:K05527	xcr:J163_02471
ko:K09780	xcr:J163_02472
ko:K05896	xcr:J163_02473
ko:K06024	xcr:J163_02474
ko:K06178	xcr:J163_02475
ko:K14287	xcr:J163_02479
ko:K02193	xcr:J163_02480
ko:K02194	xcr:J163_02481
ko:K02195	xcr:J163_02482
ko:K02196	xcr:J163_02483
ko:K02197	xcr:J163_02484
ko:K02198	xcr:J163_02485
ko:K02199	xcr:J163_02486
ko:K02200	xcr:J163_02487
ko:K02200	xcr:J163_02488
ko:K00641	xcr:J163_02489
ko:K16012	xcr:J163_02491
ko:K10026	xcr:J163_03295
ko:K03640	xcr:J163_03297
ko:K03641	xcr:J163_03298
ko:K03646	xcr:J163_03299
ko:K03560	xcr:J163_03300
ko:K03562	xcr:J163_03301
ko:K07107	xcr:J163_03302
ko:K03551	xcr:J163_03303
ko:K03549	xcr:J163_03305
ko:K03550	xcr:J163_03306
ko:K01159	xcr:J163_03307
ko:K01876	xcr:J163_03311
ko:K01114	xcr:J163_03317
ko:K17836	xcr:J163_03319
ko:K17850	xcr:J163_03320
ko:K06158	xcr:J163_03322
ko:K02014	xcr:J163_03323
ko:K02014	xcr:J163_03325
ko:K02014	xcr:J163_03326
ko:K03455	xcr:J163_03328
ko:K02510	xcr:J163_03332
ko:K16091	xcr:J163_03333
ko:K01586	xcr:J163_03338
ko:K02233	xcr:J163_03341
ko:K02226	xcr:J163_03342
ko:K00768	xcr:J163_03343
ko:K02231	xcr:J163_03344
ko:K02232	xcr:J163_03345
ko:K02225	xcr:J163_03346
ko:K03781	xcr:J163_04157
ko:K00014	xcr:J163_04161
ko:K00380	xcr:J163_04163
ko:K01173	xcr:J163_04164
ko:K01698	xcr:J163_04167
ko:K01278	xcr:J163_04171
ko:K14266	xcr:J163_04176
ko:K03832	xcr:J163_04177
ko:K09696	xcr:J163_04178
ko:K09697	xcr:J163_04179
ko:K07729	xcr:J163_04181
ko:K01198	xcr:J163_04183
ko:K02014	xcr:J163_04187
ko:K13633	xcr:J163_04189
ko:K01990	xcr:J163_04191
ko:K01992	xcr:J163_04192
ko:K00077	xcr:J163_04195
ko:K03671	xcr:J163_04199
ko:K09799	xcr:J163_04203
ko:K06213	xcr:J163_04205
ko:K01674	xcr:J163_04206
ko:K11747	xcr:J163_04207
ko:K00036	xcr:J163_04208
ko:K01783	xcr:J163_00592
ko:K01657	xcr:J163_00595
ko:K01620	xcr:J163_00596
ko:K01658	xcr:J163_00597
ko:K00766	xcr:J163_00599
ko:K01609	xcr:J163_00600
ko:K18697	xcr:J163_00601
ko:K10914	xcr:J163_00602
ko:K01611	xcr:J163_00603
ko:K11741	xcr:J163_00604
ko:K06134	xcr:J163_00605
ko:K02871	xcr:J163_00606
ko:K02996	xcr:J163_00607
ko:K08311	xcr:J163_00610
ko:K03594	xcr:J163_00611
ko:K15724	xcr:J163_00617
ko:K03426	xcr:J163_00620
ko:K03807	xcr:J163_00621
ko:K01945	xcr:J163_00628
ko:K00602	xcr:J163_00630
ko:K00995	xcr:J163_00631
ko:K00981	xcr:J163_00638
ko:K03557	xcr:J163_00639
ko:K02687	xcr:J163_00644
ko:K03584	xcr:J163_01467
ko:K03215	xcr:J163_01469
ko:K06955	xcr:J163_01472
ko:K06876	xcr:J163_01473
ko:K01207	xcr:J163_01474
ko:K00760	xcr:J163_01475
ko:K03704	xcr:J163_01477
ko:K06953	xcr:J163_01479
ko:K03724	xcr:J163_01480
ko:K07577	xcr:J163_01483
ko:K00626	xcr:J163_01489
ko:K00263	xcr:J163_01491
ko:K07043	xcr:J163_01493
ko:K04046	xcr:J163_01499
ko:K03775	xcr:J163_01500
ko:K06193	xcr:J163_01502
ko:K10680	xcr:J163_01503
ko:K01968	xcr:J163_00378
ko:K01969	xcr:J163_00379
ko:K00253	xcr:J163_00380
ko:K07004	xcr:J163_00389
ko:K07018	xcr:J163_00394
ko:K06916	xcr:J163_00395
ko:K06181	xcr:J163_00405
ko:K03579	xcr:J163_00408
ko:K07127	xcr:J163_00410
ko:K13485	xcr:J163_00412
ko:K02083	xcr:J163_00416
ko:K00681	xcr:J163_00420
ko:K02433	xcr:J163_00421
ko:K01488	xcr:J163_00423
ko:K06901	xcr:J163_00424
ko:K03424	xcr:J163_00428
ko:K06287	xcr:J163_01251
ko:K07040	xcr:J163_01252
ko:K02911	xcr:J163_01253
ko:K00648	xcr:J163_01254
ko:K00645	xcr:J163_01256
ko:K00059	xcr:J163_01257
ko:K02078	xcr:J163_01258
ko:K09458	xcr:J163_01259
ko:K01657	xcr:J163_01260
ko:K07082	xcr:J163_01261
ko:K02341	xcr:J163_01262
ko:K02676	xcr:J163_01263
ko:K02688	xcr:J163_01266
ko:K03417	xcr:J163_01267
ko:K01659	xcr:J163_01268
ko:K07746	xcr:J163_01270
ko:K02014	xcr:J163_01273
ko:K06894	xcr:J163_01275
ko:K01126	xcr:J163_01277
ko:K05367	xcr:J163_01278
ko:K03594	xcr:J163_01279
ko:K13993	xcr:J163_01281
ko:K05516	xcr:J163_01282
ko:K02658	xcr:J163_01284
ko:K04088	xcr:J163_01286
ko:K04087	xcr:J163_01287
ko:K01939	xcr:J163_01289
ko:K01256	xcr:J163_01290
ko:K03092	xcr:J163_02114
ko:K02422	xcr:J163_02118
ko:K02407	xcr:J163_02119
ko:K02406	xcr:J163_02120
ko:K02397	xcr:J163_02121
ko:K02396	xcr:J163_02122
ko:K02395	xcr:J163_02123
ko:K02394	xcr:J163_02124
ko:K02393	xcr:J163_02125
ko:K02392	xcr:J163_02126
ko:K02391	xcr:J163_02127
ko:K02390	xcr:J163_02128
ko:K02389	xcr:J163_02129
ko:K02388	xcr:J163_02130
ko:K02387	xcr:J163_02131
ko:K03415	xcr:J163_02132
ko:K02386	xcr:J163_02133
ko:K02398	xcr:J163_02134
ko:K03406	xcr:J163_02141
ko:K07153	xcr:J163_02142
ko:K00566	xcr:J163_02143
ko:K06891	xcr:J163_02145
ko:K03694	xcr:J163_02146
ko:K02518	xcr:J163_02147
ko:K00684	xcr:J163_02148
ko:K09919	xcr:J163_02149
ko:K00384	xcr:J163_02150
ko:K03466	xcr:J163_02151
ko:K03634	xcr:J163_02153
ko:K07478	xcr:J163_02155
ko:K06199	xcr:J163_02157
ko:K07516	xcr:J163_02160
ko:K00940	xcr:J163_02162
ko:K06941	xcr:J163_02163
ko:K02656	xcr:J163_02164
ko:K06182	xcr:J163_02976
ko:K05592	xcr:J163_02978
ko:K03088	xcr:J163_02979
ko:K14761	xcr:J163_02981
ko:K13529	xcr:J163_02987
ko:K00567	xcr:J163_02988
ko:K02014	xcr:J163_02994
ko:K18139	xcr:J163_03008
ko:K03585	xcr:J163_03010
ko:K09823	xcr:J163_03012
ko:K01885	xcr:J163_03013
ko:K06143	xcr:J163_03018
ko:K07641	xcr:J163_03020
ko:K07663	xcr:J163_03021
ko:K07115	xcr:J163_03022
ko:K03723	xcr:J163_03024
ko:K09941	xcr:J163_03832
ko:K06183	xcr:J163_03835
ko:K00564	xcr:J163_03836
ko:K01775	xcr:J163_03844
ko:K00285	xcr:J163_03845
ko:K03719	xcr:J163_03846
ko:K07305	xcr:J163_03848
ko:K02556	xcr:J163_03850
ko:K02557	xcr:J163_03851
ko:K01992	xcr:J163_03856
ko:K01990	xcr:J163_03857
ko:K03316	xcr:J163_03858
ko:K15977	xcr:J163_03863
ko:K07386	xcr:J163_03868
ko:K07217	xcr:J163_03879
ko:K13924	xcr:J163_03882
ko:K01975	xcr:J163_01507
ko:K14205	xcr:J163_01511
ko:K00574	xcr:J163_01515
ko:K00574	xcr:J163_01518
ko:K02014	xcr:J163_02330
ko:K07172	xcr:J163_02334
ko:K03088	xcr:J163_02337
ko:K07165	xcr:J163_02338
ko:K11003	xcr:J163_02348
