ko:K19405	ctrv:L2BCV204_00710
ko:K00943	ctrv:L2BCV204_00189
ko:K02469	ctrv:L2BCV204_00190
ko:K02470	ctrv:L2BCV204_00191
ko:K00773	ctrv:L2BCV204_00194
ko:K06213	ctrv:L2BCV204_00195
ko:K15580	ctrv:L2BCV204_00199
ko:K15581	ctrv:L2BCV204_00200
ko:K03319	ctrv:L2BCV204_00205
ko:K00850	ctrv:L2BCV204_00206
ko:K00895	ctrv:L2BCV204_00208
ko:K02527	ctrv:L2BCV204_00211
ko:K01869	ctrv:L2BCV204_00212
ko:K01845	ctrv:L2BCV204_00213
ko:K07735	ctrv:L2BCV204_00214
ko:K08999	ctrv:L2BCV204_00215
ko:K01807	ctrv:L2BCV204_00216
ko:K03787	ctrv:L2BCV204_00221
ko:K03179	ctrv:L2BCV204_00222
ko:K03186	ctrv:L2BCV204_00223
ko:K03308	ctrv:L2BCV204_00236
ko:K02078	ctrv:L2BCV204_00241
ko:K00645	ctrv:L2BCV204_00243
ko:K00648	ctrv:L2BCV204_00244
ko:K06187	ctrv:L2BCV204_00245
ko:K07277	ctrv:L2BCV204_00246
ko:K06142	ctrv:L2BCV204_00247
ko:K02536	ctrv:L2BCV204_00248
ko:K00161	ctrv:L2BCV204_00250
ko:K00162	ctrv:L2BCV204_00251
ko:K00627	ctrv:L2BCV204_00252
ko:K00688	ctrv:L2BCV204_00253
ko:K02313	ctrv:L2BCV204_00255
ko:K03217	ctrv:L2BCV204_00256
ko:K03562	ctrv:L2BCV204_00624
ko:K03641	ctrv:L2BCV204_00627
ko:K03640	ctrv:L2BCV204_00628
ko:K03648	ctrv:L2BCV204_00637
ko:K03657	ctrv:L2BCV204_00638
ko:K03092	ctrv:L2BCV204_00639
ko:K06137	ctrv:L2BCV204_00640
ko:K13941	ctrv:L2BCV204_00643
ko:K01633	ctrv:L2BCV204_00644
ko:K03086	ctrv:L2BCV204_00645
ko:K02968	ctrv:L2BCV204_00647
ko:K03980	ctrv:L2BCV204_00654
ko:K01151	ctrv:L2BCV204_00655
ko:K02986	ctrv:L2BCV204_00656
ko:K07146	ctrv:L2BCV204_00657
ko:K13789	ctrv:L2BCV204_00658
ko:K01698	ctrv:L2BCV204_00664
ko:K00346	ctrv:L2BCV204_00665
ko:K03582	ctrv:L2BCV204_00671
ko:K03583	ctrv:L2BCV204_00672
ko:K03168	ctrv:L2BCV204_00675
ko:K04487	ctrv:L2BCV204_00263
ko:K07083	ctrv:L2BCV204_00267
ko:K01962	ctrv:L2BCV204_00270
ko:K01448	ctrv:L2BCV204_00273
ko:K01928	ctrv:L2BCV204_00274
ko:K03587	ctrv:L2BCV204_00275
ko:K03438	ctrv:L2BCV204_00277
ko:K02313	ctrv:L2BCV204_00280
ko:K00347	ctrv:L2BCV204_00283
ko:K00348	ctrv:L2BCV204_00284
ko:K00349	ctrv:L2BCV204_00285
ko:K00350	ctrv:L2BCV204_00286
ko:K02437	ctrv:L2BCV204_00287
ko:K03800	ctrv:L2BCV204_00290
ko:K03696	ctrv:L2BCV204_00291
ko:K00566	ctrv:L2BCV204_00292
ko:K01963	ctrv:L2BCV204_00298
ko:K04564	ctrv:L2BCV204_00299
ko:K03685	ctrv:L2BCV204_00302
ko:K04485	ctrv:L2BCV204_00303
ko:K01749	ctrv:L2BCV204_00304
ko:K01873	ctrv:L2BCV204_00307
ko:K02221	ctrv:L2BCV204_00677
ko:K03581	ctrv:L2BCV204_00684
ko:K06861	ctrv:L2BCV204_00686
ko:K01627	ctrv:L2BCV204_00688
ko:K06180	ctrv:L2BCV204_00692
ko:K06960	ctrv:L2BCV204_00693
ko:K02469	ctrv:L2BCV204_00694
ko:K02470	ctrv:L2BCV204_00695
ko:K02492	ctrv:L2BCV204_00696
ko:K03224	ctrv:L2BCV204_00703
ko:K02417	ctrv:L2BCV204_00706
ko:K03219	ctrv:L2BCV204_00708
ko:K02838	ctrv:L2BCV204_00714
ko:K09903	ctrv:L2BCV204_00715
ko:K02357	ctrv:L2BCV204_00716
ko:K02967	ctrv:L2BCV204_00717
ko:K03162	ctrv:L2BCV204_00720
ko:K09013	ctrv:L2BCV204_00724
ko:K09015	ctrv:L2BCV204_00725
ko:K11717	ctrv:L2BCV204_00726
ko:K03046	ctrv:L2BCV204_00319
ko:K03043	ctrv:L2BCV204_00320
ko:K02935	ctrv:L2BCV204_00321
ko:K02864	ctrv:L2BCV204_00322
ko:K02863	ctrv:L2BCV204_00323
ko:K02867	ctrv:L2BCV204_00324
ko:K02601	ctrv:L2BCV204_00325
ko:K03073	ctrv:L2BCV204_00326
ko:K02358	ctrv:L2BCV204_00328
ko:K02518	ctrv:L2BCV204_00330
ko:K01803	ctrv:L2BCV204_00337
ko:K03601	ctrv:L2BCV204_00338
ko:K03602	ctrv:L2BCV204_00339
ko:K01662	ctrv:L2BCV204_00341
ko:K00873	ctrv:L2BCV204_00342
ko:K03701	ctrv:L2BCV204_00343
ko:K02343	ctrv:L2BCV204_00344
ko:K09747	ctrv:L2BCV204_00345
ko:K11381	ctrv:L2BCV204_00351
ko:K03686	ctrv:L2BCV204_00352
ko:K02970	ctrv:L2BCV204_00353
ko:K01338	ctrv:L2BCV204_00355
ko:K03733	ctrv:L2BCV204_00358
ko:K06287	ctrv:L2BCV204_00360
ko:K03075	ctrv:L2BCV204_00363
ko:K07220	ctrv:L2BCV204_00730
ko:K03306	ctrv:L2BCV204_00731
ko:K00927	ctrv:L2BCV204_00732
ko:K10773	ctrv:L2BCV204_00736
ko:K03650	ctrv:L2BCV204_00737
ko:K01613	ctrv:L2BCV204_00738
ko:K03070	ctrv:L2BCV204_00740
ko:K03977	ctrv:L2BCV204_00742
ko:K03544	ctrv:L2BCV204_00744
ko:K01358	ctrv:L2BCV204_00745
ko:K03545	ctrv:L2BCV204_00746
ko:K03569	ctrv:L2BCV204_00749
ko:K00057	ctrv:L2BCV204_00754
ko:K02412	ctrv:L2BCV204_00757
ko:K02411	ctrv:L2BCV204_00758
ko:K02409	ctrv:L2BCV204_00759
ko:K13819	ctrv:L2BCV204_00760
ko:K04487	ctrv:L2BCV204_00761
ko:K06178	ctrv:L2BCV204_00763
ko:K03524	ctrv:L2BCV204_00765
ko:K05837	ctrv:L2BCV204_00766
ko:K01875	ctrv:L2BCV204_00769
ko:K11752	ctrv:L2BCV204_00770
ko:K14652	ctrv:L2BCV204_00771
ko:K00794	ctrv:L2BCV204_00772
ko:K03310	ctrv:L2BCV204_00775
ko:K03466	ctrv:L2BCV204_00779
ko:K01462	ctrv:L2BCV204_00364
ko:K02528	ctrv:L2BCV204_00365
ko:K06888	ctrv:L2BCV204_00367
ko:K03523	ctrv:L2BCV204_00371
ko:K01714	ctrv:L2BCV204_00374
ko:K00928	ctrv:L2BCV204_00375
ko:K00133	ctrv:L2BCV204_00376
ko:K00215	ctrv:L2BCV204_00377
ko:K00800	ctrv:L2BCV204_00379
ko:K00891	ctrv:L2BCV204_00380
ko:K01736	ctrv:L2BCV204_00381
ko:K01735	ctrv:L2BCV204_00382
ko:K13832	ctrv:L2BCV204_00383
ko:K03758	ctrv:L2BCV204_00387
ko:K00024	ctrv:L2BCV204_00389
ko:K01810	ctrv:L2BCV204_00391
ko:K03665	ctrv:L2BCV204_00392
ko:K06167	ctrv:L2BCV204_00393
ko:K09996	ctrv:L2BCV204_00394
ko:K06966	ctrv:L2BCV204_00401
ko:K09131	ctrv:L2BCV204_00402
ko:K10206	ctrv:L2BCV204_00404
ko:K01881	ctrv:L2BCV204_00407
ko:K03705	ctrv:L2BCV204_00408
ko:K03687	ctrv:L2BCV204_00409
ko:K04043	ctrv:L2BCV204_00410
ko:K12573	ctrv:L2BCV204_00411
ko:K07164	ctrv:L2BCV204_00412
ko:K06041	ctrv:L2BCV204_00413
ko:K00658	ctrv:L2BCV204_00414
ko:K00912	ctrv:L2BCV204_00416
ko:K03437	ctrv:L2BCV204_00417
ko:K06969	ctrv:L2BCV204_00418
ko:K00793	ctrv:L2BCV204_00419
ko:K07738	ctrv:L2BCV204_00420
ko:K06204	ctrv:L2BCV204_00421
ko:K03101	ctrv:L2BCV204_00422
ko:K03310	ctrv:L2BCV204_00423
ko:K00351	ctrv:L2BCV204_00784
ko:K03210	ctrv:L2BCV204_00785
ko:K00231	ctrv:L2BCV204_00789
ko:K01599	ctrv:L2BCV204_00791
ko:K03723	ctrv:L2BCV204_00792
ko:K01872	ctrv:L2BCV204_00793
ko:K00615	ctrv:L2BCV204_00797
ko:K01241	ctrv:L2BCV204_00798
ko:K02356	ctrv:L2BCV204_00799
ko:K01929	ctrv:L2BCV204_00804
ko:K01000	ctrv:L2BCV204_00805
ko:K01925	ctrv:L2BCV204_00806
ko:K03588	ctrv:L2BCV204_00808
ko:K02563	ctrv:L2BCV204_00809
ko:K06960	ctrv:L2BCV204_00811
ko:K00791	ctrv:L2BCV204_00814
ko:K09710	ctrv:L2BCV204_00817
ko:K09458	ctrv:L2BCV204_00818
ko:K00263	ctrv:L2BCV204_00821
ko:K00655	ctrv:L2BCV204_00823
ko:K04066	ctrv:L2BCV204_00826
ko:K04567	ctrv:L2BCV204_00830
ko:K01883	ctrv:L2BCV204_00831
ko:K00748	ctrv:L2BCV204_00425
ko:K09817	ctrv:L2BCV204_00431
ko:K09816	ctrv:L2BCV204_00432
ko:K03979	ctrv:L2BCV204_00433
ko:K02899	ctrv:L2BCV204_00434
ko:K02888	ctrv:L2BCV204_00435
ko:K07042	ctrv:L2BCV204_00440
ko:K03183	ctrv:L2BCV204_00446
ko:K01778	ctrv:L2BCV204_00448
ko:K01358	ctrv:L2BCV204_00449
ko:K00600	ctrv:L2BCV204_00450
ko:K01770	ctrv:L2BCV204_00452
ko:K02946	ctrv:L2BCV204_00454
ko:K02355	ctrv:L2BCV204_00455
ko:K02992	ctrv:L2BCV204_00456
ko:K02950	ctrv:L2BCV204_00457
ko:K03797	ctrv:L2BCV204_00459
ko:K07462	ctrv:L2BCV204_00466
ko:K12257	ctrv:L2BCV204_00467
ko:K00806	ctrv:L2BCV204_00469
ko:K00981	ctrv:L2BCV204_00470
ko:K00945	ctrv:L2BCV204_00471
ko:K00655	ctrv:L2BCV204_00472
ko:K01887	ctrv:L2BCV204_00473
ko:K00790	ctrv:L2BCV204_00474
ko:K02836	ctrv:L2BCV204_00478
ko:K00991	ctrv:L2BCV204_00481
ko:K06173	ctrv:L2BCV204_00482
ko:K07710	ctrv:L2BCV204_00487
ko:K07714	ctrv:L2BCV204_00488
ko:K03584	ctrv:L2BCV204_00491
ko:K08998	ctrv:L2BCV204_00495
ko:K01890	ctrv:L2BCV204_00497
ko:K02034	ctrv:L2BCV204_00500
ko:K01772	ctrv:L2BCV204_00509
ko:K07099	ctrv:L2BCV204_00512
ko:K00975	ctrv:L2BCV204_00513
ko:K03628	ctrv:L2BCV204_00515
ko:K00859	ctrv:L2BCV204_00516
ko:K03301	ctrv:L2BCV204_00519
ko:K00995	ctrv:L2BCV204_00520
ko:K03559	ctrv:L2BCV204_00625
ko:K09779	ctrv:L2BCV204_00002
ko:K02435	ctrv:L2BCV204_00003
ko:K02434	ctrv:L2BCV204_00005
ko:K02517	ctrv:L2BCV204_00011
ko:K00425	ctrv:L2BCV204_00014
ko:K00426	ctrv:L2BCV204_00015
ko:K07175	ctrv:L2BCV204_00016
ko:K01870	ctrv:L2BCV204_00021
ko:K03100	ctrv:L2BCV204_00022
ko:K02909	ctrv:L2BCV204_00024
ko:K02835	ctrv:L2BCV204_00025
ko:K02493	ctrv:L2BCV204_00026
ko:K03106	ctrv:L2BCV204_00027
ko:K02959	ctrv:L2BCV204_00028
ko:K00554	ctrv:L2BCV204_00029
ko:K02884	ctrv:L2BCV204_00030
ko:K03470	ctrv:L2BCV204_00031
ko:K00942	ctrv:L2BCV204_00032
ko:K01874	ctrv:L2BCV204_00034
ko:K03581	ctrv:L2BCV204_00035
ko:K01494	ctrv:L2BCV204_00041
ko:K03551	ctrv:L2BCV204_00042
ko:K01255	ctrv:L2BCV204_00047
ko:K02340	ctrv:L2BCV204_00049
ko:K03536	ctrv:L2BCV204_00833
ko:K02919	ctrv:L2BCV204_00834
ko:K02954	ctrv:L2BCV204_00835
ko:K03703	ctrv:L2BCV204_00839
ko:K03555	ctrv:L2BCV204_00840
ko:K14164	ctrv:L2BCV204_00844
ko:K00995	ctrv:L2BCV204_00845
ko:K00703	ctrv:L2BCV204_00846
ko:K02897	ctrv:L2BCV204_00848
ko:K01056	ctrv:L2BCV204_00849
ko:K02990	ctrv:L2BCV204_00850
ko:K02963	ctrv:L2BCV204_00851
ko:K02939	ctrv:L2BCV204_00852
ko:K00919	ctrv:L2BCV204_00853
ko:K00630	ctrv:L2BCV204_00857
ko:K08301	ctrv:L2BCV204_00858
ko:K02911	ctrv:L2BCV204_00861
ko:K03621	ctrv:L2BCV204_00862
ko:K03431	ctrv:L2BCV204_00867
ko:K00820	ctrv:L2BCV204_00868
ko:K03834	ctrv:L2BCV204_00869
ko:K03834	ctrv:L2BCV204_00871
ko:K06890	ctrv:L2BCV204_00872
ko:K03110	ctrv:L2BCV204_00873
ko:K01903	ctrv:L2BCV204_00874
ko:K01902	ctrv:L2BCV204_00875
ko:K09760	ctrv:L2BCV204_00878
ko:K00075	ctrv:L2BCV204_00884
ko:K02520	ctrv:L2BCV204_00886
ko:K07056	ctrv:L2BCV204_00050
ko:K00164	ctrv:L2BCV204_00056
ko:K00658	ctrv:L2BCV204_00057
ko:K05810	ctrv:L2BCV204_00058
ko:K03526	ctrv:L2BCV204_00059
ko:K02400	ctrv:L2BCV204_00063
ko:K02405	ctrv:L2BCV204_00064
ko:K01866	ctrv:L2BCV204_00065
ko:K03596	ctrv:L2BCV204_00067
ko:K03301	ctrv:L2BCV204_00068
ko:K03495	ctrv:L2BCV204_00523
ko:K03800	ctrv:L2BCV204_00524
ko:K00940	ctrv:L2BCV204_00525
ko:K03550	ctrv:L2BCV204_00526
ko:K01159	ctrv:L2BCV204_00527
ko:K00134	ctrv:L2BCV204_00531
ko:K02879	ctrv:L2BCV204_00532
ko:K03040	ctrv:L2BCV204_00533
ko:K02948	ctrv:L2BCV204_00534
ko:K02952	ctrv:L2BCV204_00535
ko:K03076	ctrv:L2BCV204_00536
ko:K02876	ctrv:L2BCV204_00537
ko:K02988	ctrv:L2BCV204_00538
ko:K02881	ctrv:L2BCV204_00539
ko:K02933	ctrv:L2BCV204_00540
ko:K02994	ctrv:L2BCV204_00541
ko:K02931	ctrv:L2BCV204_00542
ko:K02895	ctrv:L2BCV204_00543
ko:K02874	ctrv:L2BCV204_00544
ko:K02961	ctrv:L2BCV204_00545
ko:K02904	ctrv:L2BCV204_00546
ko:K02878	ctrv:L2BCV204_00547
ko:K02982	ctrv:L2BCV204_00548
ko:K02890	ctrv:L2BCV204_00549
ko:K02965	ctrv:L2BCV204_00550
ko:K02886	ctrv:L2BCV204_00551
ko:K02892	ctrv:L2BCV204_00552
ko:K02926	ctrv:L2BCV204_00553
ko:K02906	ctrv:L2BCV204_00554
ko:K00604	ctrv:L2BCV204_00556
ko:K00677	ctrv:L2BCV204_00557
ko:K02372	ctrv:L2BCV204_00558
ko:K02535	ctrv:L2BCV204_00559
ko:K03820	ctrv:L2BCV204_00560
ko:K06925	ctrv:L2BCV204_00563
ko:K03671	ctrv:L2BCV204_00566
ko:K03216	ctrv:L2BCV204_00567
ko:K01876	ctrv:L2BCV204_00569
ko:K01892	ctrv:L2BCV204_00570
ko:K07783	ctrv:L2BCV204_00571
ko:K02028	ctrv:L2BCV204_00132
ko:K14220	ctrv:L2BCV204_00039
ko:K15035	ctrv:L2BCV204_00020
ko:K14222	ctrv:L2BCV204_00803
ko:K01977	ctrv:L2BCV204_00781
ko:K01977	ctrv:L2BCV204_00794
ko:K01985	ctrv:L2BCV204_00783
ko:K01985	ctrv:L2BCV204_00796
ko:K01980	ctrv:L2BCV204_00782
ko:K01980	ctrv:L2BCV204_00795
ko:K17103	ctrv:L2BCV204_00879
ko:K02433	ctrv:L2BCV204_00004
ko:K03471	ctrv:L2BCV204_00009
ko:K00813	ctrv:L2BCV204_00669
ko:K01934	ctrv:L2BCV204_00681
ko:K02035	ctrv:L2BCV204_00174
ko:K02049	ctrv:L2BCV204_00179
ko:K01409	ctrv:L2BCV204_00198
ko:K15582	ctrv:L2BCV204_00201
ko:K10823	ctrv:L2BCV204_00202
ko:K15583	ctrv:L2BCV204_00203
ko:K02124	ctrv:L2BCV204_00309
ko:K02123	ctrv:L2BCV204_00310
ko:K02120	ctrv:L2BCV204_00311
ko:K02118	ctrv:L2BCV204_00312
ko:K02117	ctrv:L2BCV204_00313
ko:K02121	ctrv:L2BCV204_00315
ko:K07315	ctrv:L2BCV204_00615
ko:K00241	ctrv:L2BCV204_00620
ko:K00241	ctrv:L2BCV204_00621
ko:K03386	ctrv:L2BCV204_00631
ko:K02428	ctrv:L2BCV204_00635
ko:K00616	ctrv:L2BCV204_00318
ko:K08483	ctrv:L2BCV204_00346
ko:K11189	ctrv:L2BCV204_00347
ko:K00784	ctrv:L2BCV204_00357
ko:K00970	ctrv:L2BCV204_00424
ko:K09815	ctrv:L2BCV204_00430
ko:K01719	ctrv:L2BCV204_00451
ko:K00380	ctrv:L2BCV204_00453
ko:K00033	ctrv:L2BCV204_00066
ko:K11707	ctrv:L2BCV204_00070
ko:K11710	ctrv:L2BCV204_00071
ko:K11708	ctrv:L2BCV204_00072
ko:K11709	ctrv:L2BCV204_00073
ko:K03177	ctrv:L2BCV204_00095
ko:K06889	ctrv:L2BCV204_00207
ko:K00059	ctrv:L2BCV204_00242
ko:K01679	ctrv:L2BCV204_00912
ko:K04763	ctrv:L2BCV204_00923
ko:K00700	ctrv:L2BCV204_00925
ko:K00970	ctrv:L2BCV204_00743
ko:K01596	ctrv:L2BCV204_00750
ko:K00972	ctrv:L2BCV204_00755
ko:K01834	ctrv:L2BCV204_00762
ko:K06179	ctrv:L2BCV204_00107
ko:K00939	ctrv:L2BCV204_00130
ko:K02035	ctrv:L2BCV204_00141
ko:K06889	ctrv:L2BCV204_00153
ko:K06910	ctrv:L2BCV204_00776
ko:K07117	ctrv:L2BCV204_00777
ko:K01507	ctrv:L2BCV204_00820
ko:K01082	ctrv:L2BCV204_00822
ko:K01909	ctrv:L2BCV204_00824
ko:K00652	ctrv:L2BCV204_00825
ko:K01408	ctrv:L2BCV204_00856
ko:K07052	ctrv:L2BCV204_00259
ko:K02342	ctrv:L2BCV204_00266
ko:K02806	ctrv:L2BCV204_00295
ko:K02806	ctrv:L2BCV204_00296
ko:K02342	ctrv:L2BCV204_00562
ko:K07258	ctrv:L2BCV204_00578
ko:K03227	ctrv:L2BCV204_00590
ko:K02454	ctrv:L2BCV204_00598
ko:K01262	ctrv:L2BCV204_00601
ko:K03856	ctrv:L2BCV204_00395
ko:K01885	ctrv:L2BCV204_00464
ko:K07098	ctrv:L2BCV204_00480
ko:K00567	ctrv:L2BCV204_00499
ko:K02033	ctrv:L2BCV204_00501
ko:K02035	ctrv:L2BCV204_00502
ko:K02030	ctrv:L2BCV204_00510
ko:K14228	ctrv:L2BCV204_00485
ko:K14233	ctrv:L2BCV204_00521
ko:K14219	ctrv:L2BCV204_00632
ko:K04084	ctrv:L2BCV204_00623
ko:K14236	ctrv:L2BCV204_00145
ko:K14227	ctrv:L2BCV204_00180
ko:K14218	ctrv:L2BCV204_00668
ko:K14230	ctrv:L2BCV204_00209
ko:K14230	ctrv:L2BCV204_00335
ko:K14235	ctrv:L2BCV204_00327
ko:K14233	ctrv:L2BCV204_00368
ko:K14231	ctrv:L2BCV204_00436
ko:K14221	ctrv:L2BCV204_00225
ko:K14233	ctrv:L2BCV204_00429
ko:K14228	ctrv:L2BCV204_00529
ko:K14228	ctrv:L2BCV204_00565
ko:K14219	ctrv:L2BCV204_00489
ko:K14219	ctrv:L2BCV204_00689
ko:K14232	ctrv:L2BCV204_00662
ko:K14229	ctrv:L2BCV204_00712
ko:K14224	ctrv:L2BCV204_00713
ko:K14226	ctrv:L2BCV204_00780
ko:K14223	ctrv:L2BCV204_00847
ko:K14218	ctrv:L2BCV204_00181
ko:K14234	ctrv:L2BCV204_00709
ko:K14225	ctrv:L2BCV204_00718
ko:K14228	ctrv:L2BCV204_00493
ko:K14228	ctrv:L2BCV204_00921
ko:K14232	ctrv:L2BCV204_00062
ko:K14237	ctrv:L2BCV204_00226
ko:K14230	ctrv:L2BCV204_00210
ko:K14234	ctrv:L2BCV204_00144
ko:K14234	ctrv:L2BCV204_00329
ko:K14225	ctrv:L2BCV204_00747
ko:K14237	ctrv:L2BCV204_00882
ko:K01840	ctrv:L2BCV204_00300
ko:K06972	ctrv:L2BCV204_00877
ko:K07081	ctrv:L2BCV204_00445
ko:K07125	ctrv:L2BCV204_00332
ko:K03625	ctrv:L2BCV204_00885
ko:K01679	ctrv:L2BCV204_00910
ko:K01802	ctrv:L2BCV204_00568
ko:K08275	ctrv:L2BCV204_00082
ko:K08719	ctrv:L2BCV204_00753
ko:K08274	ctrv:L2BCV204_00390
ko:K01829	ctrv:L2BCV204_00828
ko:K01829	ctrv:L2BCV204_00832
ko:K03309	ctrv:L2BCV204_00415
ko:K07033	ctrv:L2BCV204_00723
ko:K03825	ctrv:L2BCV204_00477
ko:K03111	ctrv:L2BCV204_00046
ko:K03497	ctrv:L2BCV204_00727
ko:K03496	ctrv:L2bCV204_p_7
ko:K03496	ctrv:L2BCV204_00609
ko:K02626	ctrv:L2BCV204_00386
ko:K11991	ctrv:L2BCV204_00898
ko:K04771	ctrv:L2BCV204_00876
ko:K19411	ctrv:L2BCV204_00711
ko:K02031	ctrv:L2BCV204_00729
ko:K22100	ctrv:L2BCV204_00336
ko:K12132	ctrv:L2BCV204_00306
ko:K20265	ctrv:L2BCV204_00219
ko:K20074	ctrv:L2BCV204_00264
ko:K11749	ctrv:L2BCV204_00075
ko:K22099	ctrv:L2BCV204_00641
ko:K00526	ctrv:L2BCV204_00881
ko:K02314	ctrv:L2BCV204_00522
ko:K00287	ctrv:L2BCV204_00642
ko:K03553	ctrv:L2BCV204_00682
ko:K02316	ctrv:L2BCV204_00841
ko:K01520	ctrv:L2BCV204_00297
ko:K02314	ctrv:L2bCV204_p_3
ko:K02335	ctrv:L2BCV204_00517
ko:K02032	ctrv:L2BCV204_00728
ko:K00525	ctrv:L2BCV204_00880
ko:K02050	ctrv:L2BCV204_00909
ko:K02051	ctrv:L2BCV204_00909
ko:K01534	ctrv:L2BCV204_00767
ko:K16239	ctrv:L2BCV204_00086
