ko:K19405	ctlb:L2B795_00711
ko:K02160	ctlb:L2B795_00125
ko:K01961	ctlb:L2B795_00126
ko:K02871	ctlb:L2B795_00127
ko:K02996	ctlb:L2B795_00128
ko:K02029	ctlb:L2B795_00131
ko:K07058	ctlb:L2B795_00134
ko:K06999	ctlb:L2B795_00138
ko:K07566	ctlb:L2B795_00139
ko:K09125	ctlb:L2B795_00142
ko:K07039	ctlb:L2B795_00143
ko:K01972	ctlb:L2B795_00150
ko:K02913	ctlb:L2B795_00154
ko:K09808	ctlb:L2B795_00155
ko:K09810	ctlb:L2B795_00156
ko:K06137	ctlb:L2B795_00641
ko:K13941	ctlb:L2B795_00644
ko:K01633	ctlb:L2B795_00645
ko:K03086	ctlb:L2B795_00646
ko:K02968	ctlb:L2B795_00648
ko:K03980	ctlb:L2B795_00655
ko:K01151	ctlb:L2B795_00656
ko:K02986	ctlb:L2B795_00657
ko:K07146	ctlb:L2B795_00658
ko:K13789	ctlb:L2B795_00659
ko:K01698	ctlb:L2B795_00665
ko:K00346	ctlb:L2B795_00666
ko:K03582	ctlb:L2B795_00672
ko:K03583	ctlb:L2B795_00673
ko:K03168	ctlb:L2B795_00676
ko:K02221	ctlb:L2B795_00678
ko:K03581	ctlb:L2B795_00685
ko:K06861	ctlb:L2B795_00687
ko:K01627	ctlb:L2B795_00689
ko:K06180	ctlb:L2B795_00693
ko:K06960	ctlb:L2B795_00694
ko:K00748	ctlb:L2B795_00426
ko:K09817	ctlb:L2B795_00432
ko:K09816	ctlb:L2B795_00433
ko:K03979	ctlb:L2B795_00434
ko:K02899	ctlb:L2B795_00435
ko:K02888	ctlb:L2B795_00436
ko:K07042	ctlb:L2B795_00441
ko:K03183	ctlb:L2B795_00447
ko:K01778	ctlb:L2B795_00449
ko:K01358	ctlb:L2B795_00450
ko:K00600	ctlb:L2B795_00451
ko:K01770	ctlb:L2B795_00453
ko:K02946	ctlb:L2B795_00455
ko:K02355	ctlb:L2B795_00456
ko:K02992	ctlb:L2B795_00457
ko:K02950	ctlb:L2B795_00458
ko:K03797	ctlb:L2B795_00460
ko:K07462	ctlb:L2B795_00467
ko:K12257	ctlb:L2B795_00468
ko:K00806	ctlb:L2B795_00470
ko:K00981	ctlb:L2B795_00471
ko:K00945	ctlb:L2B795_00472
ko:K00655	ctlb:L2B795_00473
ko:K01887	ctlb:L2B795_00474
ko:K00790	ctlb:L2B795_00475
ko:K03720	ctlb:L2B795_00170
ko:K01696	ctlb:L2B795_00171
ko:K01695	ctlb:L2B795_00172
ko:K03611	ctlb:L2B795_00176
ko:K00979	ctlb:L2B795_00184
ko:K01937	ctlb:L2B795_00185
ko:K07447	ctlb:L2B795_00186
ko:K00036	ctlb:L2B795_00187
ko:K01057	ctlb:L2B795_00188
ko:K02343	ctlb:L2B795_00189
ko:K00943	ctlb:L2B795_00190
ko:K02469	ctlb:L2B795_00191
ko:K02470	ctlb:L2B795_00192
ko:K00773	ctlb:L2B795_00195
ko:K06213	ctlb:L2B795_00196
ko:K15580	ctlb:L2B795_00200
ko:K15581	ctlb:L2B795_00201
ko:K03319	ctlb:L2B795_00206
ko:K00850	ctlb:L2B795_00207
ko:K00895	ctlb:L2B795_00209
ko:K02469	ctlb:L2B795_00695
ko:K02470	ctlb:L2B795_00696
ko:K02492	ctlb:L2B795_00697
ko:K03224	ctlb:L2B795_00704
ko:K02417	ctlb:L2B795_00707
ko:K03219	ctlb:L2B795_00709
ko:K02838	ctlb:L2B795_00715
ko:K09903	ctlb:L2B795_00716
ko:K02357	ctlb:L2B795_00717
ko:K02967	ctlb:L2B795_00718
ko:K03162	ctlb:L2B795_00720
ko:K09013	ctlb:L2B795_00724
ko:K09015	ctlb:L2B795_00725
ko:K11717	ctlb:L2B795_00726
ko:K07220	ctlb:L2B795_00730
ko:K03306	ctlb:L2B795_00731
ko:K00927	ctlb:L2B795_00732
ko:K10773	ctlb:L2B795_00736
ko:K03650	ctlb:L2B795_00737
ko:K01613	ctlb:L2B795_00738
ko:K03070	ctlb:L2B795_00740
ko:K03977	ctlb:L2B795_00742
ko:K03544	ctlb:L2B795_00744
ko:K01358	ctlb:L2B795_00745
ko:K03545	ctlb:L2B795_00746
ko:K03569	ctlb:L2B795_00749
ko:K03559	ctlb:L2B795_00626
ko:K02527	ctlb:L2B795_00212
ko:K01869	ctlb:L2B795_00213
ko:K01845	ctlb:L2B795_00214
ko:K07735	ctlb:L2B795_00215
ko:K08999	ctlb:L2B795_00216
ko:K01807	ctlb:L2B795_00217
ko:K03787	ctlb:L2B795_00222
ko:K03179	ctlb:L2B795_00223
ko:K03186	ctlb:L2B795_00224
ko:K03308	ctlb:L2B795_00237
ko:K02078	ctlb:L2B795_00242
ko:K00645	ctlb:L2B795_00244
ko:K00648	ctlb:L2B795_00245
ko:K06187	ctlb:L2B795_00246
ko:K07277	ctlb:L2B795_00247
ko:K06142	ctlb:L2B795_00248
ko:K02536	ctlb:L2B795_00249
ko:K00161	ctlb:L2B795_00251
ko:K00162	ctlb:L2B795_00252
ko:K00627	ctlb:L2B795_00253
ko:K00688	ctlb:L2B795_00254
ko:K02313	ctlb:L2B795_00256
ko:K03217	ctlb:L2B795_00257
ko:K04487	ctlb:L2B795_00264
ko:K00057	ctlb:L2B795_00754
ko:K02412	ctlb:L2B795_00757
ko:K02411	ctlb:L2B795_00758
ko:K02409	ctlb:L2B795_00759
ko:K13819	ctlb:L2B795_00760
ko:K04487	ctlb:L2B795_00761
ko:K06178	ctlb:L2B795_00763
ko:K03524	ctlb:L2B795_00765
ko:K05837	ctlb:L2B795_00766
ko:K01875	ctlb:L2B795_00769
ko:K11752	ctlb:L2B795_00770
ko:K14652	ctlb:L2B795_00771
ko:K00794	ctlb:L2B795_00772
ko:K03310	ctlb:L2B795_00775
ko:K03466	ctlb:L2B795_00779
ko:K00351	ctlb:L2B795_00784
ko:K03210	ctlb:L2B795_00785
ko:K00231	ctlb:L2B795_00789
ko:K01599	ctlb:L2B795_00791
ko:K03723	ctlb:L2B795_00792
ko:K01872	ctlb:L2B795_00793
ko:K00615	ctlb:L2B795_00797
ko:K01241	ctlb:L2B795_00798
ko:K02356	ctlb:L2B795_00799
ko:K07083	ctlb:L2B795_00268
ko:K01962	ctlb:L2B795_00271
ko:K01448	ctlb:L2B795_00274
ko:K01928	ctlb:L2B795_00275
ko:K03587	ctlb:L2B795_00276
ko:K03438	ctlb:L2B795_00278
ko:K02313	ctlb:L2B795_00281
ko:K00347	ctlb:L2B795_00284
ko:K00348	ctlb:L2B795_00285
ko:K00349	ctlb:L2B795_00286
ko:K00350	ctlb:L2B795_00287
ko:K02437	ctlb:L2B795_00288
ko:K03800	ctlb:L2B795_00291
ko:K03696	ctlb:L2B795_00292
ko:K00566	ctlb:L2B795_00293
ko:K01963	ctlb:L2B795_00299
ko:K04564	ctlb:L2B795_00300
ko:K03685	ctlb:L2B795_00303
ko:K04485	ctlb:L2B795_00304
ko:K01749	ctlb:L2B795_00305
ko:K01873	ctlb:L2B795_00308
ko:K01929	ctlb:L2B795_00804
ko:K01000	ctlb:L2B795_00805
ko:K01925	ctlb:L2B795_00806
ko:K03588	ctlb:L2B795_00808
ko:K02563	ctlb:L2B795_00809
ko:K06960	ctlb:L2B795_00811
ko:K00791	ctlb:L2B795_00814
ko:K09710	ctlb:L2B795_00817
ko:K09458	ctlb:L2B795_00818
ko:K00263	ctlb:L2B795_00821
ko:K00655	ctlb:L2B795_00823
ko:K04066	ctlb:L2B795_00826
ko:K04567	ctlb:L2B795_00830
ko:K01883	ctlb:L2B795_00831
ko:K03536	ctlb:L2B795_00833
ko:K02919	ctlb:L2B795_00834
ko:K02954	ctlb:L2B795_00835
ko:K03703	ctlb:L2B795_00839
ko:K03555	ctlb:L2B795_00840
ko:K14164	ctlb:L2B795_00844
ko:K00995	ctlb:L2B795_00845
ko:K00703	ctlb:L2B795_00846
ko:K02897	ctlb:L2B795_00848
ko:K01056	ctlb:L2B795_00849
ko:K02990	ctlb:L2B795_00850
ko:K02963	ctlb:L2B795_00851
ko:K02939	ctlb:L2B795_00852
ko:K00919	ctlb:L2B795_00853
ko:K02836	ctlb:L2B795_00479
ko:K00991	ctlb:L2B795_00482
ko:K06173	ctlb:L2B795_00483
ko:K07710	ctlb:L2B795_00488
ko:K07714	ctlb:L2B795_00489
ko:K03584	ctlb:L2B795_00492
ko:K08998	ctlb:L2B795_00496
ko:K01890	ctlb:L2B795_00498
ko:K02034	ctlb:L2B795_00501
ko:K01772	ctlb:L2B795_00510
ko:K07099	ctlb:L2B795_00513
ko:K00975	ctlb:L2B795_00514
ko:K03628	ctlb:L2B795_00516
ko:K00859	ctlb:L2B795_00517
ko:K03301	ctlb:L2B795_00520
ko:K00995	ctlb:L2B795_00521
ko:K03495	ctlb:L2B795_00524
ko:K03800	ctlb:L2B795_00525
ko:K00940	ctlb:L2B795_00526
ko:K03550	ctlb:L2B795_00527
ko:K01159	ctlb:L2B795_00528
ko:K00134	ctlb:L2B795_00532
ko:K03046	ctlb:L2B795_00320
ko:K03043	ctlb:L2B795_00321
ko:K02935	ctlb:L2B795_00322
ko:K02864	ctlb:L2B795_00323
ko:K02863	ctlb:L2B795_00324
ko:K02867	ctlb:L2B795_00325
ko:K02601	ctlb:L2B795_00326
ko:K03073	ctlb:L2B795_00327
ko:K02358	ctlb:L2B795_00329
ko:K02518	ctlb:L2B795_00331
ko:K01803	ctlb:L2B795_00338
ko:K03601	ctlb:L2B795_00339
ko:K03602	ctlb:L2B795_00340
ko:K01662	ctlb:L2B795_00342
ko:K00873	ctlb:L2B795_00343
ko:K03701	ctlb:L2B795_00344
ko:K02343	ctlb:L2B795_00345
ko:K09747	ctlb:L2B795_00346
ko:K11381	ctlb:L2B795_00352
ko:K03686	ctlb:L2B795_00353
ko:K02970	ctlb:L2B795_00354
ko:K01338	ctlb:L2B795_00356
ko:K03733	ctlb:L2B795_00359
ko:K06287	ctlb:L2B795_00361
ko:K03075	ctlb:L2B795_00364
ko:K01462	ctlb:L2B795_00365
ko:K02528	ctlb:L2B795_00366
ko:K06888	ctlb:L2B795_00368
ko:K00630	ctlb:L2B795_00857
ko:K08301	ctlb:L2B795_00858
ko:K02911	ctlb:L2B795_00861
ko:K03621	ctlb:L2B795_00862
ko:K03431	ctlb:L2B795_00867
ko:K00820	ctlb:L2B795_00868
ko:K03834	ctlb:L2B795_00869
ko:K03834	ctlb:L2B795_00871
ko:K06890	ctlb:L2B795_00872
ko:K03110	ctlb:L2B795_00873
ko:K01903	ctlb:L2B795_00874
ko:K01902	ctlb:L2B795_00875
ko:K09760	ctlb:L2B795_00878
ko:K00075	ctlb:L2B795_00884
ko:K02520	ctlb:L2B795_00886
ko:K02916	ctlb:L2B795_00887
ko:K02887	ctlb:L2B795_00888
ko:K01889	ctlb:L2B795_00889
ko:K11720	ctlb:L2B795_00892
ko:K07091	ctlb:L2B795_00893
ko:K04075	ctlb:L2B795_00894
ko:K03798	ctlb:L2B795_00895
ko:K00962	ctlb:L2B795_00896
ko:K02956	ctlb:L2B795_00897
ko:K01265	ctlb:L2B795_00906
ko:K09779	ctlb:L2B795_00002
ko:K02435	ctlb:L2B795_00003
ko:K02434	ctlb:L2B795_00005
ko:K02517	ctlb:L2B795_00011
ko:K00425	ctlb:L2B795_00014
ko:K00426	ctlb:L2B795_00015
ko:K07175	ctlb:L2B795_00016
ko:K01870	ctlb:L2B795_00021
ko:K03100	ctlb:L2B795_00022
ko:K02909	ctlb:L2B795_00024
ko:K02835	ctlb:L2B795_00025
ko:K02493	ctlb:L2B795_00026
ko:K03106	ctlb:L2B795_00027
ko:K02959	ctlb:L2B795_00028
ko:K00554	ctlb:L2B795_00029
ko:K02884	ctlb:L2B795_00030
ko:K03470	ctlb:L2B795_00031
ko:K00942	ctlb:L2B795_00032
ko:K01874	ctlb:L2B795_00034
ko:K03581	ctlb:L2B795_00035
ko:K01494	ctlb:L2B795_00041
ko:K03551	ctlb:L2B795_00042
ko:K01255	ctlb:L2B795_00047
ko:K02879	ctlb:L2B795_00533
ko:K03040	ctlb:L2B795_00534
ko:K02948	ctlb:L2B795_00535
ko:K02952	ctlb:L2B795_00536
ko:K03076	ctlb:L2B795_00537
ko:K02876	ctlb:L2B795_00538
ko:K02988	ctlb:L2B795_00539
ko:K02881	ctlb:L2B795_00540
ko:K02933	ctlb:L2B795_00541
ko:K02994	ctlb:L2B795_00542
ko:K02931	ctlb:L2B795_00543
ko:K02895	ctlb:L2B795_00544
ko:K02874	ctlb:L2B795_00545
ko:K02961	ctlb:L2B795_00546
ko:K02904	ctlb:L2B795_00547
ko:K02878	ctlb:L2B795_00548
ko:K02982	ctlb:L2B795_00549
ko:K02890	ctlb:L2B795_00550
ko:K02965	ctlb:L2B795_00551
ko:K02886	ctlb:L2B795_00552
ko:K02892	ctlb:L2B795_00553
ko:K02926	ctlb:L2B795_00554
ko:K02906	ctlb:L2B795_00555
ko:K00604	ctlb:L2B795_00557
ko:K00677	ctlb:L2B795_00558
ko:K02372	ctlb:L2B795_00559
ko:K02535	ctlb:L2B795_00560
ko:K03820	ctlb:L2B795_00561
ko:K06925	ctlb:L2B795_00564
ko:K03671	ctlb:L2B795_00567
ko:K03216	ctlb:L2B795_00568
ko:K01876	ctlb:L2B795_00570
ko:K01892	ctlb:L2B795_00571
ko:K07783	ctlb:L2B795_00572
ko:K02337	ctlb:L2B795_00573
ko:K03311	ctlb:L2B795_00582
ko:K00382	ctlb:L2B795_00585
ko:K03644	ctlb:L2B795_00586
ko:K03523	ctlb:L2B795_00372
ko:K01714	ctlb:L2B795_00375
ko:K00928	ctlb:L2B795_00376
ko:K00133	ctlb:L2B795_00377
ko:K00215	ctlb:L2B795_00378
ko:K00800	ctlb:L2B795_00380
ko:K00891	ctlb:L2B795_00381
ko:K02340	ctlb:L2B795_00049
ko:K07056	ctlb:L2B795_00050
ko:K00164	ctlb:L2B795_00056
ko:K00658	ctlb:L2B795_00057
ko:K05810	ctlb:L2B795_00058
ko:K03526	ctlb:L2B795_00059
ko:K02400	ctlb:L2B795_00063
ko:K01736	ctlb:L2B795_00382
ko:K01735	ctlb:L2B795_00383
ko:K13832	ctlb:L2B795_00384
ko:K03758	ctlb:L2B795_00388
ko:K00024	ctlb:L2B795_00390
ko:K01810	ctlb:L2B795_00392
ko:K03665	ctlb:L2B795_00393
ko:K06167	ctlb:L2B795_00394
ko:K09996	ctlb:L2B795_00395
ko:K06966	ctlb:L2B795_00402
ko:K09131	ctlb:L2B795_00403
ko:K10206	ctlb:L2B795_00405
ko:K01881	ctlb:L2B795_00408
ko:K03705	ctlb:L2B795_00409
ko:K03687	ctlb:L2B795_00410
ko:K04043	ctlb:L2B795_00411
ko:K12573	ctlb:L2B795_00412
ko:K07164	ctlb:L2B795_00413
ko:K06041	ctlb:L2B795_00414
ko:K00658	ctlb:L2B795_00415
ko:K00912	ctlb:L2B795_00417
ko:K03437	ctlb:L2B795_00418
ko:K06969	ctlb:L2B795_00419
ko:K00793	ctlb:L2B795_00420
ko:K07738	ctlb:L2B795_00421
ko:K06204	ctlb:L2B795_00422
ko:K03101	ctlb:L2B795_00423
ko:K03310	ctlb:L2B795_00424
ko:K03321	ctlb:L2B795_00913
ko:K03527	ctlb:L2B795_00916
ko:K02405	ctlb:L2B795_00064
ko:K01866	ctlb:L2B795_00065
ko:K03596	ctlb:L2B795_00067
ko:K03301	ctlb:L2B795_00068
ko:K00099	ctlb:L2B795_00074
ko:K03629	ctlb:L2B795_00077
ko:K02338	ctlb:L2B795_00078
ko:K03664	ctlb:L2B795_00079
ko:K03734	ctlb:L2B795_00080
ko:K01491	ctlb:L2B795_00081
ko:K02902	ctlb:L2B795_00087
ko:K00705	ctlb:L2B795_00088
ko:K04058	ctlb:L2B795_00090
ko:K03230	ctlb:L2B795_00091
ko:K03229	ctlb:L2B795_00092
ko:K06942	ctlb:L2B795_00093
ko:K11753	ctlb:L2B795_00094
ko:K02834	ctlb:L2B795_00096
ko:K02519	ctlb:L2B795_00097
ko:K02600	ctlb:L2B795_00098
ko:K02945	ctlb:L2B795_00099
ko:K00384	ctlb:L2B795_00100
ko:K03222	ctlb:L2B795_00587
ko:K03223	ctlb:L2B795_00589
ko:K03226	ctlb:L2B795_00590
ko:K03228	ctlb:L2B795_00592
ko:K02455	ctlb:L2B795_00598
ko:K02453	ctlb:L2B795_00600
ko:K03572	ctlb:L2B795_00603
ko:K01868	ctlb:L2B795_00609
ko:K01867	ctlb:L2B795_00613
ko:K03702	ctlb:L2B795_00614
ko:K01689	ctlb:L2B795_00615
ko:K00240	ctlb:L2B795_00619
ko:K00239	ctlb:L2B795_00620
ko:K03424	ctlb:L2B795_00623
ko:K03562	ctlb:L2B795_00625
ko:K03641	ctlb:L2B795_00628
ko:K03640	ctlb:L2B795_00629
ko:K03648	ctlb:L2B795_00638
ko:K03657	ctlb:L2B795_00639
ko:K03092	ctlb:L2B795_00640
ko:K02028	ctlb:L2B795_00132
ko:K15035	ctlb:L2B795_00020
ko:K14222	ctlb:L2B795_00803
ko:K14220	ctlb:L2B795_00039
ko:K01985	ctlb:L2B795_00783
ko:K01985	ctlb:L2B795_00796
ko:K01980	ctlb:L2B795_00782
ko:K01980	ctlb:L2B795_00795
ko:K17103	ctlb:L2B795_00879
ko:K14228	ctlb:L2B795_00486
ko:K14233	ctlb:L2B795_00522
ko:K14219	ctlb:L2B795_00633
ko:K04084	ctlb:L2B795_00624
ko:K14227	ctlb:L2B795_00181
ko:K14218	ctlb:L2B795_00669
ko:K14230	ctlb:L2B795_00210
ko:K14230	ctlb:L2B795_00336
ko:K14235	ctlb:L2B795_00328
ko:K14233	ctlb:L2B795_00369
ko:K14231	ctlb:L2B795_00437
ko:K14228	ctlb:L2B795_00530
ko:K14221	ctlb:L2B795_00226
ko:K14233	ctlb:L2B795_00430
ko:K14228	ctlb:L2B795_00566
ko:K14219	ctlb:L2B795_00490
ko:K14219	ctlb:L2B795_00690
ko:K14232	ctlb:L2B795_00663
ko:K14229	ctlb:L2B795_00713
ko:K14224	ctlb:L2B795_00714
ko:K14226	ctlb:L2B795_00780
ko:K14223	ctlb:L2B795_00847
ko:K14218	ctlb:L2B795_00182
ko:K14234	ctlb:L2B795_00710
ko:K14225	ctlb:L2B795_00719
ko:K14228	ctlb:L2B795_00494
ko:K14228	ctlb:L2B795_00921
ko:K14232	ctlb:L2B795_00062
ko:K14237	ctlb:L2B795_00227
ko:K14230	ctlb:L2B795_00211
ko:K01977	ctlb:L2B795_00781
ko:K01977	ctlb:L2B795_00794
ko:K14234	ctlb:L2B795_00144
ko:K14234	ctlb:L2B795_00330
ko:K14236	ctlb:L2B795_00145
ko:K14225	ctlb:L2B795_00747
ko:K14237	ctlb:L2B795_00882
ko:K01840	ctlb:L2B795_00301
ko:K06972	ctlb:L2B795_00877
ko:K08274	ctlb:L2B795_00391
ko:K07081	ctlb:L2B795_00446
ko:K03625	ctlb:L2B795_00885
ko:K01679	ctlb:L2B795_00910
ko:K07125	ctlb:L2B795_00333
ko:K22100	ctlb:L2B795_00337
ko:K01802	ctlb:L2B795_00569
ko:K08275	ctlb:L2B795_00082
ko:K08719	ctlb:L2B795_00753
ko:K01829	ctlb:L2B795_00828
ko:K01829	ctlb:L2B795_00832
ko:K03309	ctlb:L2B795_00416
ko:K07033	ctlb:L2B795_00723
ko:K01214	ctlb:L2B795_00044
ko:K03825	ctlb:L2B795_00478
ko:K03111	ctlb:L2B795_00046
ko:K03496	ctlb:L2B795_00610
ko:K03497	ctlb:L2B795_00727
ko:K03496	ctlb:L2b795_p7
ko:K02626	ctlb:L2B795_00387
ko:K11991	ctlb:L2B795_00898
ko:K04771	ctlb:L2B795_00876
ko:K19411	ctlb:L2B795_00712
ko:K02031	ctlb:L2B795_00729
ko:K12132	ctlb:L2B795_00307
ko:K20265	ctlb:L2B795_00220
ko:K20074	ctlb:L2B795_00265
ko:K11749	ctlb:L2B795_00075
ko:K22099	ctlb:L2B795_00642
ko:K00526	ctlb:L2B795_00881
ko:K01520	ctlb:L2B795_00298
ko:K02314	ctlb:L2B795_00523
ko:K02316	ctlb:L2B795_00841
ko:K00287	ctlb:L2B795_00643
ko:K03553	ctlb:L2B795_00683
ko:K02314	ctlb:L2b795_p3
ko:K02335	ctlb:L2B795_00518
ko:K02032	ctlb:L2B795_00728
ko:K00525	ctlb:L2B795_00880
ko:K02050	ctlb:L2B795_00909
ko:K02051	ctlb:L2B795_00909
ko:K01534	ctlb:L2B795_00767
ko:K16239	ctlb:L2B795_00086
