ko:K01985	pli:PLF_083
ko:K00133	pli:PLF_048
ko:K06173	pli:PLF_049
ko:K01817	pli:PLF_050
ko:K06895	pli:PLF_051
ko:K01875	pli:PLF_052
ko:K11179	pli:PLF_054
ko:K07400	pli:PLF_055
ko:K02426	pli:PLF_056
ko:K01496	pli:PLF_057
ko:K04774	pli:PLF_058
ko:K02342	pli:PLF_059
ko:K01890	pli:PLF_060
ko:K01889	pli:PLF_061
ko:K02887	pli:PLF_062
ko:K02916	pli:PLF_063
ko:K02520	pli:PLF_064
ko:K01881	pli:PLF_065
ko:K03685	pli:PLF_067
ko:K03596	pli:PLF_068
ko:K01873	pli:PLF_070
ko:K03386	pli:PLF_071
ko:K01695	pli:PLF_073
ko:K01696	pli:PLF_074
ko:K07042	pli:PLF_075
ko:K01869	pli:PLF_076
ko:K02340	pli:PLF_077
ko:K00382	pli:PLF_078
ko:K00658	pli:PLF_079
ko:K00164	pli:PLF_080
ko:K01885	pli:PLF_081
ko:K05592	pli:PLF_082
ko:K01778	pli:PLF_301
ko:K01586	pli:PLF_302
ko:K01755	pli:PLF_303
ko:K02204	pli:PLF_306
ko:K00817	pli:PLF_307
ko:K02500	pli:PLF_308
ko:K01814	pli:PLF_309
ko:K02501	pli:PLF_310
ko:K01693	pli:PLF_311
ko:K03664	pli:PLF_316
ko:K03687	pli:PLF_317
ko:K01867	pli:PLF_087
ko:K02913	pli:PLF_088
ko:K02902	pli:PLF_089
ko:K03089	pli:PLF_090
ko:K08316	pli:PLF_091
ko:K04567	pli:PLF_092
ko:K02836	pli:PLF_093
ko:K01733	pli:PLF_094
ko:K00003	pli:PLF_095
ko:K02884	pli:PLF_096
ko:K02860	pli:PLF_097
ko:K02959	pli:PLF_098
ko:K00053	pli:PLF_099
ko:K01653	pli:PLF_100
ko:K01652	pli:PLF_101
ko:K05595	pli:PLF_102
ko:K03695	pli:PLF_103
ko:K06180	pli:PLF_104
ko:K03101	pli:PLF_105
ko:K01870	pli:PLF_106
ko:K02968	pli:PLF_107
ko:K03979	pli:PLF_108
ko:K02899	pli:PLF_109
ko:K02888	pli:PLF_110
ko:K03111	pli:PLF_111
ko:K02879	pli:PLF_112
ko:K03040	pli:PLF_113
ko:K02986	pli:PLF_114
ko:K02948	pli:PLF_115
ko:K02952	pli:PLF_116
ko:K02919	pli:PLF_117
ko:K03076	pli:PLF_118
ko:K02876	pli:PLF_119
ko:K02907	pli:PLF_120
ko:K02988	pli:PLF_121
ko:K02881	pli:PLF_122
ko:K02933	pli:PLF_123
ko:K02994	pli:PLF_124
ko:K02954	pli:PLF_125
ko:K02931	pli:PLF_126
ko:K02895	pli:PLF_127
ko:K02874	pli:PLF_128
ko:K02961	pli:PLF_129
ko:K02904	pli:PLF_130
ko:K02878	pli:PLF_131
ko:K02982	pli:PLF_132
ko:K02890	pli:PLF_133
ko:K02965	pli:PLF_134
ko:K02886	pli:PLF_135
ko:K02892	pli:PLF_136
ko:K02926	pli:PLF_137
ko:K02906	pli:PLF_138
ko:K02946	pli:PLF_139
ko:K02358	pli:PLF_140
ko:K02355	pli:PLF_141
ko:K02992	pli:PLF_142
ko:K02950	pli:PLF_143
ko:K03046	pli:PLF_144
ko:K03043	pli:PLF_145
ko:K02935	pli:PLF_146
ko:K02864	pli:PLF_147
ko:K02863	pli:PLF_148
ko:K02867	pli:PLF_149
ko:K02601	pli:PLF_150
ko:K03073	pli:PLF_151
ko:K02300	pli:PLF_157
ko:K02299	pli:PLF_158
ko:K02298	pli:PLF_159
ko:K02297	pli:PLF_160
ko:K03086	pli:PLF_161
ko:K02970	pli:PLF_162
ko:K01409	pli:PLF_163
ko:K02528	pli:PLF_164
ko:K02939	pli:PLF_166
ko:K02963	pli:PLF_167
ko:K02990	pli:PLF_168
ko:K00627	pli:PLF_172
ko:K00163	pli:PLF_173
ko:K01714	pli:PLF_174
ko:K02343	pli:PLF_175
ko:K00033	pli:PLF_176
ko:K01992	pli:PLF_178
ko:K01990	pli:PLF_179
ko:K02518	pli:PLF_182
ko:K00566	pli:PLF_183
ko:K11717	pli:PLF_184
ko:K09015	pli:PLF_185
ko:K09013	pli:PLF_186
ko:K09014	pli:PLF_187
ko:K02502	pli:PLF_188
ko:K00791	pli:PLF_189
ko:K03572	pli:PLF_190
ko:K01687	pli:PLF_192
ko:K04771	pli:PLF_041
ko:K15035	pli:PLF_315
ko:K01978	pli:PLF_229
ko:K14218	pli:PLF_255
ko:K14225	pli:PLF_180
ko:K14236	pli:PLF_155
ko:K14221	pli:PLF_169
ko:K14237	pli:PLF_250
ko:K14224	pli:PLF_181
ko:K14219	pli:PLF_197
ko:K14219	pli:PLF_215
ko:K14219	pli:PLF_265
ko:K14228	pli:PLF_009
ko:K14228	pli:PLF_253
ko:K14229	pli:PLF_248
ko:K14230	pli:PLF_242
ko:K14235	pli:PLF_152
ko:K14228	pli:PLF_053
ko:K00821	pli:PLF_069
ko:K02314	pli:PLF_165
ko:K03595	pli:PLF_066
ko:K02257	pli:PLF_156
