ko:K16238	kpi:D364_01565
ko:K02013	kpi:D364_02675
ko:K10804	kpi:D364_02420
ko:K02003	kpi:D364_02425
ko:K02004	kpi:D364_02430
ko:K06917	kpi:D364_02440
ko:K01589	kpi:D364_02445
ko:K01588	kpi:D364_02450
ko:K03269	kpi:D364_02460
ko:K03768	kpi:D364_02465
ko:K01883	kpi:D364_02470
ko:K14761	kpi:D364_02475
ko:K01491	kpi:D364_02480
ko:K13378	kpi:D364_13635
ko:K00331	kpi:D364_13640
ko:K00330	kpi:D364_13645
ko:K09161	kpi:D364_13675
ko:K09899	kpi:D364_13680
ko:K00925	kpi:D364_13685
ko:K13788	kpi:D364_13695
ko:K07095	kpi:D364_13705
ko:K07589	kpi:D364_13720
ko:K07071	kpi:D364_13725
ko:K10017	kpi:D364_13735
ko:K10015	kpi:D364_13740
ko:K10016	kpi:D364_13745
ko:K10013	kpi:D364_13755
ko:K03186	kpi:D364_13760
ko:K00764	kpi:D364_13765
ko:K03558	kpi:D364_13770
ko:K03749	kpi:D364_13775
ko:K04764	kpi:D364_11140
ko:K01890	kpi:D364_11145
ko:K01889	kpi:D364_11150
ko:K02887	kpi:D364_11155
ko:K02916	kpi:D364_11160
ko:K02520	kpi:D364_11165
ko:K01868	kpi:D364_11170
ko:K07283	kpi:D364_11180
ko:K16370	kpi:D364_11185
ko:K03832	kpi:D364_11200
ko:K09780	kpi:D364_11205
ko:K06131	kpi:D364_11220
ko:K09901	kpi:D364_11225
ko:K15582	kpi:D364_11235
ko:K15581	kpi:D364_11240
ko:K15580	kpi:D364_11245
ko:K04072	kpi:D364_11255
ko:K00963	kpi:D364_11270
ko:K07001	kpi:D364_11280
ko:K09858	kpi:D364_11285
ko:K01433	kpi:D364_11290
ko:K00374	kpi:D364_11310
ko:K00373	kpi:D364_11315
ko:K00371	kpi:D364_11320
ko:K00370	kpi:D364_11325
ko:K02575	kpi:D364_11330
ko:K07673	kpi:D364_11335
ko:K00372	kpi:D364_11350
ko:K15578	kpi:D364_11365
ko:K15577	kpi:D364_11370
ko:K06039	kpi:D364_11385
ko:K07232	kpi:D364_11395
ko:K07300	kpi:D364_11405
ko:K01627	kpi:D364_11410
ko:K02000	kpi:D364_15340
ko:K02001	kpi:D364_15345
ko:K02002	kpi:D364_15350
ko:K15974	kpi:D364_15365
ko:K03543	kpi:D364_15370
ko:K03446	kpi:D364_15375
ko:K01649	kpi:D364_15380
ko:K07173	kpi:D364_15390
ko:K01919	kpi:D364_15395
ko:K03563	kpi:D364_15430
ko:K01872	kpi:D364_15440
ko:K03565	kpi:D364_15445
ko:K03743	kpi:D364_15455
ko:K16841	kpi:D364_09175
ko:K03457	kpi:D364_09185
ko:K02529	kpi:D364_09200
ko:K03335	kpi:D364_09205
ko:K03707	kpi:D364_09225
ko:K15600	kpi:D364_09230
ko:K15599	kpi:D364_09235
ko:K15598	kpi:D364_09240
ko:K00836	kpi:D364_09245
ko:K13745	kpi:D364_09250
ko:K01273	kpi:D364_09280
ko:K06135	kpi:D364_09285
ko:K06136	kpi:D364_09290
ko:K06137	kpi:D364_09295
ko:K06138	kpi:D364_09300
ko:K06139	kpi:D364_09305
ko:K01951	kpi:D364_09315
ko:K05515	kpi:D364_09320
ko:K09936	kpi:D364_09325
ko:K09936	kpi:D364_09330
ko:K03782	kpi:D364_09340
ko:K06916	kpi:D364_09345
ko:K07507	kpi:D364_09350
ko:K08369	kpi:D364_09355
ko:K11754	kpi:D364_13780
ko:K01963	kpi:D364_13785
ko:K03975	kpi:D364_13790
ko:K06173	kpi:D364_13795
ko:K03473	kpi:D364_13805
ko:K00647	kpi:D364_13820
ko:K15461	kpi:D364_13825
ko:K09906	kpi:D364_13835
ko:K07090	kpi:D364_13840
ko:K07261	kpi:D364_13845
ko:K01736	kpi:D364_13850
ko:K07320	kpi:D364_13855
ko:K08296	kpi:D364_13865
ko:K01782	kpi:D364_13870
ko:K06076	kpi:D364_13885
ko:K04754	kpi:D364_13890
ko:K03190	kpi:D364_17845
ko:K01430	kpi:D364_17850
ko:K01429	kpi:D364_17855
ko:K01428	kpi:D364_17860
ko:K03187	kpi:D364_17865
ko:K03188	kpi:D364_17870
ko:K03189	kpi:D364_17875
ko:K01409	kpi:D364_17885
ko:K02970	kpi:D364_17890
ko:K03086	kpi:D364_17900
ko:K03649	kpi:D364_17905
ko:K07690	kpi:D364_17925
ko:K07679	kpi:D364_17930
ko:K02440	kpi:D364_17950
ko:K05880	kpi:D364_17995
ko:K00005	kpi:D364_18000
ko:K05878	kpi:D364_18010
ko:K05879	kpi:D364_18015
ko:K05881	kpi:D364_18020
ko:K07229	kpi:D364_18030
ko:K09251	kpi:D364_18040
ko:K11530	kpi:D364_18045
ko:K08321	kpi:D364_18050
ko:K10555	kpi:D364_18055
ko:K10557	kpi:D364_18060
ko:K10556	kpi:D364_18065
ko:K10558	kpi:D364_18070
ko:K11531	kpi:D364_18075
ko:K11216	kpi:D364_18080
ko:K00219	kpi:D364_18085
ko:K11391	kpi:D364_18090
ko:K07043	kpi:D364_18105
ko:K02077	kpi:D364_15460
ko:K02075	kpi:D364_15465
ko:K02074	kpi:D364_15470
ko:K08305	kpi:D364_15480
ko:K02783	kpi:D364_15485
ko:K02782	kpi:D364_15490
ko:K02783	kpi:D364_15490
ko:K02781	kpi:D364_15495
ko:K00068	kpi:D364_15500
ko:K02466	kpi:D364_15505
ko:K02468	kpi:D364_15510
ko:K02467	kpi:D364_15515
ko:K12266	kpi:D364_15520
ko:K12264	kpi:D364_15525
ko:K12265	kpi:D364_15530
ko:K07241	kpi:D364_15535
ko:K04656	kpi:D364_15540
ko:K05796	kpi:D364_15545
ko:K03487	kpi:D364_15550
ko:K02752	kpi:D364_15555
ko:K02753	kpi:D364_15555
ko:K01223	kpi:D364_15560
ko:K08315	kpi:D364_15570
ko:K15834	kpi:D364_15575
ko:K15832	kpi:D364_15580
ko:K15831	kpi:D364_15585
ko:K15830	kpi:D364_15590
ko:K15829	kpi:D364_15595
ko:K15828	kpi:D364_15600
ko:K15827	kpi:D364_15605
ko:K07341	kpi:D364_19515
ko:K01996	kpi:D364_19525
ko:K01995	kpi:D364_19530
ko:K01998	kpi:D364_19535
ko:K01997	kpi:D364_19540
ko:K01999	kpi:D364_19545
ko:K01999	kpi:D364_19560
ko:K00823	kpi:D364_19570
ko:K00375	kpi:D364_19575
ko:K03089	kpi:D364_19580
ko:K09811	kpi:D364_19585
ko:K09812	kpi:D364_19590
ko:K03110	kpi:D364_19595
ko:K08316	kpi:D364_19600
ko:K08993	kpi:D364_19605
ko:K01534	kpi:D364_19620
ko:K04085	kpi:D364_19625
ko:K09125	kpi:D364_19630
ko:K12963	kpi:D364_19650
ko:K12962	kpi:D364_19655
ko:K07264	kpi:D364_19660
ko:K13014	kpi:D364_19665
ko:K06940	kpi:D364_13260
ko:K02356	kpi:D364_13265
ko:K01686	kpi:D364_13270
ko:K13694	kpi:D364_13290
ko:K13893	kpi:D364_13300
ko:K13894	kpi:D364_13305
ko:K13895	kpi:D364_13310
ko:K13896	kpi:D364_13315
ko:K07552	kpi:D364_13325
ko:K06183	kpi:D364_13330
ko:K02897	kpi:D364_13340
ko:K06899	kpi:D364_13365
ko:K09904	kpi:D364_13370
ko:K07014	kpi:D364_13375
ko:K00615	kpi:D364_17280
ko:K07387	kpi:D364_17285
ko:K06989	kpi:D364_17305
ko:K01480	kpi:D364_17365
ko:K01585	kpi:D364_17370
ko:K00789	kpi:D364_17380
ko:K08137	kpi:D364_17385
ko:K02742	kpi:D364_17390
ko:K01150	kpi:D364_17395
ko:K09761	kpi:D364_17400
ko:K01920	kpi:D364_17405
ko:K02030	kpi:D364_09380
ko:K07735	kpi:D364_17410
ko:K07447	kpi:D364_17415
ko:K02669	kpi:D364_17425
ko:K06997	kpi:D364_17430
ko:K02221	kpi:D364_17435
ko:K09131	kpi:D364_17440
ko:K02428	kpi:D364_17445
ko:K09923	kpi:D364_17460
ko:K03439	kpi:D364_17465
ko:K03575	kpi:D364_17470
ko:K08306	kpi:D364_17480
ko:K03289	kpi:D364_17485
ko:K01581	kpi:D364_17490
ko:K07150	kpi:D364_17495
ko:K01697	kpi:D364_17555
ko:K01629	kpi:D364_21460
ko:K01813	kpi:D364_21465
ko:K00848	kpi:D364_21470
ko:K02855	kpi:D364_21475
ko:K02854	kpi:D364_21480
ko:K02856	kpi:D364_21485
ko:K04564	kpi:D364_21490
ko:K07640	kpi:D364_21500
ko:K06006	kpi:D364_21510
ko:K13283	kpi:D364_21515
ko:K00850	kpi:D364_21520
ko:K02553	kpi:D364_21525
ko:K02548	kpi:D364_21530
ko:K03667	kpi:D364_21535
ko:K01419	kpi:D364_21540
ko:K03591	kpi:D364_21545
ko:K05499	kpi:D364_21550
ko:K04066	kpi:D364_21555
ko:K02909	kpi:D364_21560
ko:K03764	kpi:D364_21565
ko:K12525	kpi:D364_21575
ko:K01607	kpi:D364_21590
ko:K00297	kpi:D364_21600
ko:K00005	kpi:D364_21610
ko:K08314	kpi:D364_21615
ko:K01595	kpi:D364_21630
ko:K01438	kpi:D364_21635
ko:K00145	kpi:D364_21640
ko:K00930	kpi:D364_21645
ko:K01755	kpi:D364_21650
ko:K04761	kpi:D364_21655
ko:K00322	kpi:D364_21660
ko:K16092	kpi:D364_21680
ko:K01776	kpi:D364_21685
ko:K04063	kpi:D364_09390
ko:K05343	kpi:D364_09425
ko:K03777	kpi:D364_13095
ko:K03823	kpi:D364_13100
ko:K07262	kpi:D364_13105
ko:K01223	kpi:D364_13125
ko:K02755	kpi:D364_13130
ko:K02756	kpi:D364_13130
ko:K02757	kpi:D364_13130
ko:K03488	kpi:D364_13135
ko:K07267	kpi:D364_13140
ko:K05541	kpi:D364_13145
ko:K01489	kpi:D364_13160
ko:K03748	kpi:D364_13165
ko:K10541	kpi:D364_13170
ko:K10542	kpi:D364_13175
ko:K10540	kpi:D364_13180
ko:K02529	kpi:D364_13185
ko:K07148	kpi:D364_13190
ko:K01495	kpi:D364_13195
ko:K01070	kpi:D364_13200
ko:K11733	kpi:D364_13210
ko:K01151	kpi:D364_13225
ko:K02769	kpi:D364_13230
ko:K02770	kpi:D364_13230
ko:K00882	kpi:D364_13235
ko:K02768	kpi:D364_13240
ko:K11183	kpi:D364_13240
ko:K03291	kpi:D364_13245
ko:K09968	kpi:D364_13250
ko:K02015	kpi:D364_02680
ko:K02016	kpi:D364_02685
ko:K10013	kpi:D364_02710
ko:K06871	kpi:D364_02740
ko:K06995	kpi:D364_02780
ko:K09471	kpi:D364_02785
ko:K02014	kpi:D364_02800
ko:K11732	kpi:D364_02805
ko:K16053	kpi:D364_02835
ko:K02795	kpi:D364_02880
ko:K02793	kpi:D364_02890
ko:K10679	kpi:D364_02895
ko:K06048	kpi:D364_02955
ko:K00375	kpi:D364_02970
ko:K02030	kpi:D364_02975
ko:K02029	kpi:D364_02980
ko:K02029	kpi:D364_02985
ko:K02028	kpi:D364_02990
ko:K15372	kpi:D364_03000
ko:K02034	kpi:D364_03045
ko:K02033	kpi:D364_03050
ko:K02035	kpi:D364_03055
ko:K02167	kpi:D364_03075
ko:K02168	kpi:D364_03080
ko:K16053	kpi:D364_03090
ko:K17203	kpi:D364_03115
ko:K17204	kpi:D364_03120
ko:K17202	kpi:D364_03130
ko:K00864	kpi:D364_03135
ko:K00615	kpi:D364_03145
ko:K00615	kpi:D364_03150
ko:K02362	kpi:D364_03155
ko:K07862	kpi:D364_18120
ko:K03576	kpi:D364_22030
ko:K00549	kpi:D364_22035
ko:K01061	kpi:D364_22040
ko:K00757	kpi:D364_22045
ko:K09760	kpi:D364_22050
ko:K03183	kpi:D364_22055
ko:K03690	kpi:D364_22060
ko:K03688	kpi:D364_22065
ko:K03116	kpi:D364_22070
ko:K03117	kpi:D364_22075
ko:K03118	kpi:D364_22080
ko:K03424	kpi:D364_22085
ko:K03182	kpi:D364_22095
ko:K05368	kpi:D364_22100
ko:K01825	kpi:D364_22110
ko:K03498	kpi:D364_22125
ko:K00230	kpi:D364_22130
ko:K00075	kpi:D364_22160
ko:K03524	kpi:D364_22165
ko:K00867	kpi:D364_22170
ko:K02358	kpi:D364_22195
ko:K03073	kpi:D364_22200
ko:K02601	kpi:D364_22205
ko:K02867	kpi:D364_22210
ko:K02863	kpi:D364_22215
ko:K02864	kpi:D364_22220
ko:K02935	kpi:D364_22225
ko:K03043	kpi:D364_22230
ko:K03046	kpi:D364_22235
ko:K07792	kpi:D364_22240
ko:K02759	kpi:D364_22245
ko:K02760	kpi:D364_22250
ko:K03150	kpi:D364_22260
ko:K03149	kpi:D364_22265
ko:K03154	kpi:D364_22270
ko:K03148	kpi:D364_22275
ko:K00788	kpi:D364_22280
ko:K03147	kpi:D364_22285
ko:K07740	kpi:D364_22290
ko:K03426	kpi:D364_22295
ko:K10011	kpi:D364_19670
ko:K10012	kpi:D364_19675
ko:K07806	kpi:D364_19680
ko:K13727	kpi:D364_19685
ko:K15584	kpi:D364_19695
ko:K15585	kpi:D364_19700
ko:K15586	kpi:D364_19705
ko:K15587	kpi:D364_19710
ko:K10824	kpi:D364_19715
ko:K07722	kpi:D364_19720
ko:K06213	kpi:D364_19725
ko:K07007	kpi:D364_19730
ko:K16322	kpi:D364_19735
ko:K06144	kpi:D364_19740
ko:K06149	kpi:D364_19745
ko:K03305	kpi:D364_19750
ko:K15984	kpi:D364_19755
ko:K01414	kpi:D364_19760
ko:K07115	kpi:D364_19770
ko:K00383	kpi:D364_19775
ko:K00799	kpi:D364_19780
ko:K03710	kpi:D364_23720
ko:K00611	kpi:D364_23725
ko:K09893	kpi:D364_23730
ko:K06169	kpi:D364_23735
ko:K03828	kpi:D364_23740
ko:K01873	kpi:D364_23745
ko:K02339	kpi:D364_23750
ko:K01255	kpi:D364_23755
ko:K07091	kpi:D364_23760
ko:K11720	kpi:D364_23765
ko:K06915	kpi:D364_23770
ko:K06606	kpi:D364_23775
ko:K00140	kpi:D364_23780
ko:K03337	kpi:D364_23785
ko:K03338	kpi:D364_23800
ko:K03336	kpi:D364_23805
ko:K00010	kpi:D364_23810
ko:K06605	kpi:D364_23815
ko:K03335	kpi:D364_23820
ko:K05813	kpi:D364_23825
ko:K05816	kpi:D364_23830
ko:K05815	kpi:D364_23840
ko:K05814	kpi:D364_23845
ko:K12957	kpi:D364_23850
ko:K01673	kpi:D364_23860
ko:K03427	kpi:D364_23930
ko:K01154	kpi:D364_23935
ko:K01153	kpi:D364_23940
ko:K07454	kpi:D364_23950
ko:K09897	kpi:D364_21730
ko:K07391	kpi:D364_21735
ko:K02364	kpi:D364_03175
ko:K07214	kpi:D364_03165
ko:K02013	kpi:D364_03180
ko:K02015	kpi:D364_03185
ko:K02015	kpi:D364_03190
ko:K08225	kpi:D364_03195
ko:K02016	kpi:D364_03200
ko:K02361	kpi:D364_03205
ko:K02363	kpi:D364_03210
ko:K01252	kpi:D364_03215
ko:K00216	kpi:D364_03220
ko:K06200	kpi:D364_03230
ko:K08317	kpi:D364_03255
ko:K02056	kpi:D364_03265
ko:K02057	kpi:D364_03270
ko:K00899	kpi:D364_03285
ko:K08963	kpi:D364_03290
ko:K01093	kpi:D364_03295
ko:K07783	kpi:D364_03300
ko:K01092	kpi:D364_03305
ko:K10974	kpi:D364_03325
ko:K08964	kpi:D364_03330
ko:K00058	kpi:D364_03340
ko:K10440	kpi:D364_03350
ko:K10440	kpi:D364_03355
ko:K03778	kpi:D364_07140
ko:K09978	kpi:D364_07160
ko:K14063	kpi:D364_07165
ko:K00077	kpi:D364_07175
ko:K00276	kpi:D364_07185
ko:K02618	kpi:D364_07190
ko:K02609	kpi:D364_07195
ko:K02610	kpi:D364_07200
ko:K02611	kpi:D364_07205
ko:K02612	kpi:D364_07210
ko:K12942	kpi:D364_07770
ko:K12941	kpi:D364_07775
ko:K12940	kpi:D364_07780
ko:K14057	kpi:D364_07785
ko:K02624	kpi:D364_07795
ko:K01031	kpi:D364_07800
ko:K01032	kpi:D364_07805
ko:K01857	kpi:D364_07815
ko:K01055	kpi:D364_07820
ko:K01607	kpi:D364_07825
ko:K01676	kpi:D364_07840
ko:K11106	kpi:D364_07845
ko:K00244	kpi:D364_07850
ko:K03734	kpi:D364_07855
ko:K07703	kpi:D364_07860
ko:K07701	kpi:D364_07865
ko:K00116	kpi:D364_07880
ko:K13928	kpi:D364_07885
ko:K13935	kpi:D364_07890
ko:K13934	kpi:D364_07895
ko:K13936	kpi:D364_07900
ko:K13933	kpi:D364_07905
ko:K13932	kpi:D364_07910
ko:K13931	kpi:D364_07915
ko:K13930	kpi:D364_07920
ko:K13929	kpi:D364_07925
ko:K11744	kpi:D364_07930
ko:K11743	kpi:D364_07935
ko:K11742	kpi:D364_07940
ko:K04775	kpi:D364_07950
ko:K01299	kpi:D364_07975
ko:K08224	kpi:D364_07985
ko:K15545	kpi:D364_07995
ko:K01935	kpi:D364_08000
ko:K03281	kpi:D364_08005
ko:K07312	kpi:D364_08015
ko:K07309	kpi:D364_08025
ko:K00657	kpi:D364_08040
ko:K02030	kpi:D364_09740
ko:K11738	kpi:D364_09770
ko:K02014	kpi:D364_09785
ko:K01250	kpi:D364_09800
ko:K03823	kpi:D364_09815
ko:K09936	kpi:D364_09820
ko:K00137	kpi:D364_09875
ko:K02053	kpi:D364_09880
ko:K02054	kpi:D364_09885
ko:K02052	kpi:D364_09890
ko:K02055	kpi:D364_09895
ko:K00425	kpi:D364_09910
ko:K00426	kpi:D364_09915
ko:K08303	kpi:D364_09935
ko:K05782	kpi:D364_09945
ko:K16868	kpi:D364_09965
ko:K03304	kpi:D364_09970
ko:K02493	kpi:D364_11425
ko:K02835	kpi:D364_11430
ko:K02492	kpi:D364_11435
ko:K02494	kpi:D364_11440
ko:K00919	kpi:D364_11445
ko:K00948	kpi:D364_11450
ko:K03321	kpi:D364_11455
ko:K01056	kpi:D364_11470
ko:K06942	kpi:D364_11475
ko:K17213	kpi:D364_11485
ko:K11911	kpi:D364_11490
ko:K11905	kpi:D364_11495
ko:K11906	kpi:D364_11500
ko:K11895	kpi:D364_11505
ko:K11896	kpi:D364_11510
ko:K09771	kpi:D364_08050
ko:K00040	kpi:D364_08060
ko:K11932	kpi:D364_08065
ko:K16066	kpi:D364_08075
ko:K01284	kpi:D364_08080
ko:K04080	kpi:D364_08120
ko:K03299	kpi:D364_08145
ko:K02532	kpi:D364_08190
ko:K13633	kpi:D364_08215
ko:K00549	kpi:D364_08225
ko:K11959	kpi:D364_08230
ko:K11960	kpi:D364_08235
ko:K11961	kpi:D364_08240
ko:K11962	kpi:D364_08245
ko:K11963	kpi:D364_08250
ko:K15268	kpi:D364_08265
ko:K13630	kpi:D364_08270
ko:K13632	kpi:D364_08275
ko:K03712	kpi:D364_08280
ko:K05595	kpi:D364_08290
ko:K08159	kpi:D364_08295
ko:K10002	kpi:D364_03560
ko:K03641	kpi:D364_03900
ko:K03640	kpi:D364_03905
ko:K10003	kpi:D364_03565
ko:K10001	kpi:D364_03570
ko:K03820	kpi:D364_03575
ko:K06189	kpi:D364_03580
ko:K07042	kpi:D364_03585
ko:K06168	kpi:D364_03595
ko:K03184	kpi:D364_03600
ko:K01953	kpi:D364_03640
ko:K02566	kpi:D364_03645
ko:K02565	kpi:D364_03650
ko:K01443	kpi:D364_03655
ko:K02564	kpi:D364_03660
ko:K02802	kpi:D364_03665
ko:K02803	kpi:D364_03665
ko:K02804	kpi:D364_03665
ko:K01886	kpi:D364_03670
ko:K03711	kpi:D364_03690
ko:K03839	kpi:D364_03695
ko:K03645	kpi:D364_03710
ko:K01835	kpi:D364_03715
ko:K07667	kpi:D364_03725
ko:K07646	kpi:D364_03730
ko:K01548	kpi:D364_03735
ko:K01547	kpi:D364_03740
ko:K01546	kpi:D364_03745
ko:K01669	kpi:D364_03755
ko:K03305	kpi:D364_03760
ko:K07160	kpi:D364_03780
ko:K01304	kpi:D364_03795
ko:K05522	kpi:D364_03800
ko:K01647	kpi:D364_03810
ko:K00241	kpi:D364_03815
ko:K00242	kpi:D364_03820
ko:K00239	kpi:D364_03825
ko:K00240	kpi:D364_03830
ko:K00164	kpi:D364_03835
ko:K00658	kpi:D364_03840
ko:K01903	kpi:D364_03845
ko:K01902	kpi:D364_03850
ko:K00425	kpi:D364_03860
ko:K00426	kpi:D364_03865
ko:K07107	kpi:D364_03880
ko:K03562	kpi:D364_03885
ko:K03560	kpi:D364_03890
ko:K03817	kpi:D364_09980
ko:K00055	kpi:D364_09990
ko:K03929	kpi:D364_09995
ko:K00449	kpi:D364_10005
ko:K00448	kpi:D364_10010
ko:K11921	kpi:D364_13915
ko:K03449	kpi:D364_13925
ko:K14261	kpi:D364_13930
ko:K02478	kpi:D364_13940
