ko:K07497	setc:CFSAN001921_03240
ko:K07251	setc:CFSAN001921_11135
ko:K07337	setc:CFSAN001921_11140
ko:K02503	setc:CFSAN001921_11150
ko:K16088	setc:CFSAN001921_11155
ko:K03424	setc:CFSAN001921_11165
ko:K01815	setc:CFSAN001921_01975
ko:K01586	setc:CFSAN001921_02000
ko:K02529	setc:CFSAN001921_02010
ko:K05939	setc:CFSAN001921_02015
ko:K08227	setc:CFSAN001921_02020
ko:K03573	setc:CFSAN001921_02040
ko:K08311	setc:CFSAN001921_02045
ko:K08484	setc:CFSAN001921_02050
ko:K13292	setc:CFSAN001921_02055
ko:K02679	setc:CFSAN001921_02070
ko:K02680	setc:CFSAN001921_02075
ko:K02681	setc:CFSAN001921_02085
ko:K03583	setc:CFSAN001921_02090
ko:K01407	setc:CFSAN001921_02095
ko:K03582	setc:CFSAN001921_02100
ko:K03581	setc:CFSAN001921_02105
ko:K14682	setc:CFSAN001921_02110
ko:K01448	setc:CFSAN001921_02115
ko:K08304	setc:CFSAN001921_02130
ko:K13895	setc:CFSAN001921_05695
ko:K13894	setc:CFSAN001921_05700
ko:K13893	setc:CFSAN001921_05705
ko:K13694	setc:CFSAN001921_05715
ko:K02356	setc:CFSAN001921_05730
ko:K03291	setc:CFSAN001921_05740
ko:K02768	setc:CFSAN001921_05750
ko:K11183	setc:CFSAN001921_05750
ko:K02769	setc:CFSAN001921_05760
ko:K02770	setc:CFSAN001921_05760
ko:K01151	setc:CFSAN001921_05765
ko:K11733	setc:CFSAN001921_05780
ko:K16089	setc:CFSAN001921_05790
ko:K07783	setc:CFSAN001921_05795
ko:K01752	setc:CFSAN001921_05805
ko:K01495	setc:CFSAN001921_05820
ko:K07148	setc:CFSAN001921_05825
ko:K02529	setc:CFSAN001921_05830
ko:K10542	setc:CFSAN001921_05840
ko:K08195	setc:CFSAN001921_05890
ko:K00450	setc:CFSAN001921_05895
ko:K16165	setc:CFSAN001921_05900
ko:K05541	setc:CFSAN001921_05915
ko:K07139	setc:CFSAN001921_00355
ko:K07648	setc:CFSAN001921_00360
ko:K03814	setc:CFSAN001921_00370
ko:K06958	setc:CFSAN001921_00385
ko:K05808	setc:CFSAN001921_00395
ko:K03092	setc:CFSAN001921_00400
ko:K06861	setc:CFSAN001921_00405
ko:K09774	setc:CFSAN001921_00410
ko:K11719	setc:CFSAN001921_00415
ko:K03270	setc:CFSAN001921_00420
ko:K06041	setc:CFSAN001921_00425
ko:K07301	setc:CFSAN001921_00430
ko:K02065	setc:CFSAN001921_00435
ko:K02066	setc:CFSAN001921_00440
ko:K07323	setc:CFSAN001921_00450
ko:K07122	setc:CFSAN001921_00455
ko:K00790	setc:CFSAN001921_00465
ko:K02523	setc:CFSAN001921_00475
ko:K02888	setc:CFSAN001921_00480
ko:K02426	setc:CFSAN001921_02145
ko:K01766	setc:CFSAN001921_02150
ko:K06968	setc:CFSAN001921_02170
ko:K02430	setc:CFSAN001921_02175
ko:K02431	setc:CFSAN001921_02180
ko:K01818	setc:CFSAN001921_02190
ko:K02429	setc:CFSAN001921_02195
ko:K01628	setc:CFSAN001921_02200
ko:K00048	setc:CFSAN001921_02205
ko:K01146	setc:CFSAN001921_02210
ko:K01752	setc:CFSAN001921_02215
ko:K03837	setc:CFSAN001921_02220
ko:K06966	setc:CFSAN001921_02225
ko:K06879	setc:CFSAN001921_02230
ko:K15723	setc:CFSAN001921_02235
ko:K06175	setc:CFSAN001921_02250
ko:K13918	setc:CFSAN001921_02265
ko:K01706	setc:CFSAN001921_02270
ko:K00865	setc:CFSAN001921_02275
ko:K07678	setc:CFSAN001921_02280
ko:K03215	setc:CFSAN001921_02285
ko:K01937	setc:CFSAN001921_02310
ko:K01689	setc:CFSAN001921_02315
ko:K10026	setc:CFSAN001921_02320
ko:K01737	setc:CFSAN001921_02330
ko:K00381	setc:CFSAN001921_02340
ko:K00390	setc:CFSAN001921_02345
ko:K15342	setc:CFSAN001921_02385
ko:K09612	setc:CFSAN001921_02395
ko:K07262	setc:CFSAN001921_05945
ko:K03777	setc:CFSAN001921_05950
ko:K05349	setc:CFSAN001921_05955
ko:K05845	setc:CFSAN001921_05960
ko:K05846	setc:CFSAN001921_05965
ko:K05847	setc:CFSAN001921_05970
ko:K05846	setc:CFSAN001921_05975
ko:K02478	setc:CFSAN001921_05990
ko:K01874	setc:CFSAN001921_06015
ko:K07347	setc:CFSAN001921_06040
ko:K00878	setc:CFSAN001921_06055
ko:K00941	setc:CFSAN001921_06060
ko:K08303	setc:CFSAN001921_06105
ko:K07664	setc:CFSAN001921_06125
ko:K07642	setc:CFSAN001921_06130
ko:K07789	setc:CFSAN001921_06140
ko:K07788	setc:CFSAN001921_06145
ko:K07799	setc:CFSAN001921_06150
ko:K04046	setc:CFSAN001921_06155
ko:K01247	setc:CFSAN001921_06160
ko:K00876	setc:CFSAN001921_06170
ko:K01494	setc:CFSAN001921_06175
ko:K07289	setc:CFSAN001921_06180
ko:K01991	setc:CFSAN001921_06190
ko:K02899	setc:CFSAN001921_00485
ko:K03979	setc:CFSAN001921_00495
ko:K07259	setc:CFSAN001921_00505
ko:K03624	setc:CFSAN001921_00515
ko:K07574	setc:CFSAN001921_00520
ko:K03798	setc:CFSAN001921_00530
ko:K00796	setc:CFSAN001921_00535
ko:K03431	setc:CFSAN001921_00540
ko:K03075	setc:CFSAN001921_00545
ko:K01940	setc:CFSAN001921_00560
ko:K09748	setc:CFSAN001921_00570
ko:K02600	setc:CFSAN001921_00575
ko:K02519	setc:CFSAN001921_00580
ko:K02834	setc:CFSAN001921_00585
ko:K02956	setc:CFSAN001921_00595
ko:K03977	setc:CFSAN001921_04180
ko:K13735	setc:CFSAN001921_04190
ko:K03601	setc:CFSAN001921_04215
ko:K01951	setc:CFSAN001921_04225
ko:K01524	setc:CFSAN001921_04255
ko:K00937	setc:CFSAN001921_04260
ko:K11175	setc:CFSAN001921_04265
ko:K01933	setc:CFSAN001921_04270
ko:K00761	setc:CFSAN001921_04275
ko:K10763	setc:CFSAN001921_04285
ko:K03564	setc:CFSAN001921_04310
ko:K03567	setc:CFSAN001921_04315
ko:K01714	setc:CFSAN001921_04320
ko:K07287	setc:CFSAN001921_04325
ko:K01923	setc:CFSAN001921_04330
ko:K06957	setc:CFSAN001921_04340
ko:K07674	setc:CFSAN001921_04365
ko:K12945	setc:CFSAN001921_04385
ko:K00615	setc:CFSAN001921_04400
ko:K00029	setc:CFSAN001921_04410
ko:K04031	setc:CFSAN001921_04415
ko:K04029	setc:CFSAN001921_04420
ko:K04030	setc:CFSAN001921_04425
ko:K04032	setc:CFSAN001921_04430
ko:K04020	setc:CFSAN001921_04435
ko:K04027	setc:CFSAN001921_04440
ko:K06890	setc:CFSAN001921_12980
ko:K06890	setc:CFSAN001921_12995
ko:K03636	setc:CFSAN001921_13005
ko:K03637	setc:CFSAN001921_13010
ko:K03638	setc:CFSAN001921_13015
ko:K03639	setc:CFSAN001921_13020
ko:K03702	setc:CFSAN001921_13035
ko:K01935	setc:CFSAN001921_13040
ko:K02169	setc:CFSAN001921_13045
ko:K01012	setc:CFSAN001921_13055
ko:K00833	setc:CFSAN001921_13060
ko:K01745	setc:CFSAN001921_13070
ko:K01712	setc:CFSAN001921_13075
ko:K05836	setc:CFSAN001921_13080
ko:K01468	setc:CFSAN001921_13090
ko:K01051	setc:CFSAN001921_13095
ko:K02018	setc:CFSAN001921_13115
ko:K02020	setc:CFSAN001921_13120
ko:K02019	setc:CFSAN001921_13130
ko:K05776	setc:CFSAN001921_13135
ko:K00965	setc:CFSAN001921_13150
ko:K00849	setc:CFSAN001921_13155
ko:K02013	setc:CFSAN001921_13170
ko:K02015	setc:CFSAN001921_13175
ko:K01573	setc:CFSAN001921_13195
ko:K02336	setc:CFSAN001921_16935
ko:K03580	setc:CFSAN001921_16940
ko:K05801	setc:CFSAN001921_16950
ko:K04744	setc:CFSAN001921_16955
ko:K03771	setc:CFSAN001921_16960
ko:K00097	setc:CFSAN001921_16965
ko:K02528	setc:CFSAN001921_16970
ko:K06195	setc:CFSAN001921_16975
ko:K11746	setc:CFSAN001921_16995
ko:K08368	setc:CFSAN001921_17020
ko:K00313	setc:CFSAN001921_17030
ko:K03522	setc:CFSAN001921_17035
ko:K03521	setc:CFSAN001921_17040
ko:K05245	setc:CFSAN001921_17050
ko:K08297	setc:CFSAN001921_17055
ko:K08298	setc:CFSAN001921_17060
ko:K02182	setc:CFSAN001921_17065
ko:K08277	setc:CFSAN001921_17080
ko:K01955	setc:CFSAN001921_17085
ko:K01956	setc:CFSAN001921_17090
ko:K00215	setc:CFSAN001921_17100
ko:K05964	setc:CFSAN001921_17110
ko:K01643	setc:CFSAN001921_17115
ko:K01644	setc:CFSAN001921_17120
ko:K01646	setc:CFSAN001921_17125
ko:K01910	setc:CFSAN001921_17130
ko:K01573	setc:CFSAN001921_17140
ko:K07700	setc:CFSAN001921_17155
ko:K00826	setc:CFSAN001921_20910
ko:K11258	setc:CFSAN001921_20915
ko:K01652	setc:CFSAN001921_20920
ko:K07391	setc:CFSAN001921_20930
ko:K09897	setc:CFSAN001921_20935
ko:K02529	setc:CFSAN001921_20985
ko:K10441	setc:CFSAN001921_21005
ko:K03549	setc:CFSAN001921_21015
ko:K03924	setc:CFSAN001921_21020
ko:K01914	setc:CFSAN001921_21030
ko:K06205	setc:CFSAN001921_21040
ko:K03495	setc:CFSAN001921_21045
ko:K03501	setc:CFSAN001921_21050
ko:K02108	setc:CFSAN001921_21060
ko:K02110	setc:CFSAN001921_21065
ko:K02109	setc:CFSAN001921_21070
ko:K02113	setc:CFSAN001921_21075
ko:K02111	setc:CFSAN001921_21080
ko:K02115	setc:CFSAN001921_21085
ko:K02112	setc:CFSAN001921_21090
ko:K02114	setc:CFSAN001921_21095
ko:K06890	setc:CFSAN001921_21105
ko:K04042	setc:CFSAN001921_21115
ko:K00820	setc:CFSAN001921_21120
ko:K00014	setc:CFSAN001921_21130
ko:K02769	setc:CFSAN001921_21135
ko:K02770	setc:CFSAN001921_21135
ko:K02040	setc:CFSAN001921_21140
ko:K02037	setc:CFSAN001921_21145
ko:K02038	setc:CFSAN001921_21150
ko:K02036	setc:CFSAN001921_21155
ko:K00957	setc:CFSAN001921_02400
ko:K00860	setc:CFSAN001921_02410
ko:K05589	setc:CFSAN001921_02420
ko:K00991	setc:CFSAN001921_02425
ko:K01770	setc:CFSAN001921_02430
ko:K06176	setc:CFSAN001921_02435
ko:K03787	setc:CFSAN001921_02440
ko:K00573	setc:CFSAN001921_02445
ko:K06194	setc:CFSAN001921_02450
ko:K03186	setc:CFSAN001921_02470
ko:K03555	setc:CFSAN001921_02530
ko:K07314	setc:CFSAN001921_02540
ko:K03230	setc:CFSAN001921_02595
ko:K03225	setc:CFSAN001921_02620
ko:K16692	setc:CFSAN001921_06200
ko:K03819	setc:CFSAN001921_06210
ko:K13684	setc:CFSAN001921_06215
ko:K13620	setc:CFSAN001921_06220
ko:K13683	setc:CFSAN001921_06225
ko:K03818	setc:CFSAN001921_06230
ko:K01711	setc:CFSAN001921_06235
ko:K02377	setc:CFSAN001921_06240
ko:K03207	setc:CFSAN001921_06245
ko:K03208	setc:CFSAN001921_06250
ko:K16695	setc:CFSAN001921_06270
ko:K16710	setc:CFSAN001921_06275
ko:K16703	setc:CFSAN001921_06280
ko:K00963	setc:CFSAN001921_06290
ko:K00067	setc:CFSAN001921_06300
ko:K00973	setc:CFSAN001921_06305
ko:K01790	setc:CFSAN001921_06310
ko:K00978	setc:CFSAN001921_06320
ko:K01709	setc:CFSAN001921_06325
ko:K12452	setc:CFSAN001921_06330
ko:K00012	setc:CFSAN001921_06385
ko:K05789	setc:CFSAN001921_06390
ko:K11755	setc:CFSAN001921_06395
ko:K02500	setc:CFSAN001921_06400
ko:K01814	setc:CFSAN001921_06405
ko:K02501	setc:CFSAN001921_06410
ko:K01089	setc:CFSAN001921_06415
ko:K00817	setc:CFSAN001921_06420
ko:K00013	setc:CFSAN001921_06425
ko:K00765	setc:CFSAN001921_06430
ko:K00962	setc:CFSAN001921_00600
ko:K05803	setc:CFSAN001921_00605
ko:K05592	setc:CFSAN001921_00610
ko:K03835	setc:CFSAN001921_00615
ko:K08303	setc:CFSAN001921_00640
ko:K03824	setc:CFSAN001921_00650
ko:K07461	setc:CFSAN001921_00655
ko:K09979	setc:CFSAN001921_00660
ko:K05520	setc:CFSAN001921_00665
ko:K07460	setc:CFSAN001921_00685
ko:K07121	setc:CFSAN001921_00690
ko:K07056	setc:CFSAN001921_00695
ko:K02774	setc:CFSAN001921_00715
ko:K02773	setc:CFSAN001921_00720
ko:K16371	setc:CFSAN001921_00725
ko:K02769	setc:CFSAN001921_00735
ko:K02770	setc:CFSAN001921_00735
ko:K00865	setc:CFSAN001921_00775
ko:K07592	setc:CFSAN001921_00780
ko:K01754	setc:CFSAN001921_00785
ko:K03838	setc:CFSAN001921_00790
ko:K00656	setc:CFSAN001921_00800
ko:K01752	setc:CFSAN001921_00805
ko:K06911	setc:CFSAN001921_00825
ko:K15977	setc:CFSAN001921_00845
ko:K04021	setc:CFSAN001921_04450
ko:K04024	setc:CFSAN001921_04455
ko:K04022	setc:CFSAN001921_04460
ko:K04023	setc:CFSAN001921_04465
ko:K04019	setc:CFSAN001921_04470
ko:K03735	setc:CFSAN001921_04475
ko:K03736	setc:CFSAN001921_04480
ko:K04026	setc:CFSAN001921_04485
ko:K04025	setc:CFSAN001921_04490
ko:K04033	setc:CFSAN001921_04495
ko:K00228	setc:CFSAN001921_04510
ko:K01448	setc:CFSAN001921_04515
ko:K07223	setc:CFSAN001921_04535
ko:K02048	setc:CFSAN001921_04545
ko:K02046	setc:CFSAN001921_04550
ko:K02047	setc:CFSAN001921_04555
ko:K02045	setc:CFSAN001921_04560
ko:K12339	setc:CFSAN001921_04565
ko:K01951	setc:CFSAN001921_04580
ko:K00868	setc:CFSAN001921_04590
ko:K01738	setc:CFSAN001921_04620
ko:K06203	setc:CFSAN001921_04625
ko:K03528	setc:CFSAN001921_04630
ko:K01972	setc:CFSAN001921_04635
ko:K09954	setc:CFSAN001921_04640
ko:K14347	setc:CFSAN001921_04645
ko:K03815	setc:CFSAN001921_04660
ko:K11537	setc:CFSAN001921_04665
ko:K17467	setc:CFSAN001921_21600
ko:K02078	setc:CFSAN001921_02670
ko:K03221	setc:CFSAN001921_02710
ko:K11606	setc:CFSAN001921_02755
ko:K11605	setc:CFSAN001921_02760
ko:K15836	setc:CFSAN001921_02780
ko:K04654	setc:CFSAN001921_02790
ko:K04653	setc:CFSAN001921_02795
ko:K04651	setc:CFSAN001921_02805
ko:K15833	setc:CFSAN001921_02810
ko:K15827	setc:CFSAN001921_02815
ko:K15828	setc:CFSAN001921_02820
ko:K15829	setc:CFSAN001921_02825
ko:K15830	setc:CFSAN001921_02830
ko:K15831	setc:CFSAN001921_02835
ko:K15832	setc:CFSAN001921_02840
ko:K15834	setc:CFSAN001921_02845
ko:K08315	setc:CFSAN001921_02850
ko:K05796	setc:CFSAN001921_02860
ko:K04656	setc:CFSAN001921_02865
ko:K12265	setc:CFSAN001921_02870
ko:K12264	setc:CFSAN001921_02875
ko:K12266	setc:CFSAN001921_02880
ko:K02467	setc:CFSAN001921_02885
ko:K02468	setc:CFSAN001921_02890
ko:K01141	setc:CFSAN001921_06450
ko:K08354	setc:CFSAN001921_06470
ko:K07470	setc:CFSAN001921_06480
ko:K09802	setc:CFSAN001921_06490
ko:K16651	setc:CFSAN001921_06495
ko:K04029	setc:CFSAN001921_06505
ko:K04031	setc:CFSAN001921_06510
ko:K13922	setc:CFSAN001921_06530
ko:K13920	setc:CFSAN001921_06575
ko:K13919	setc:CFSAN001921_06580
ko:K02224	setc:CFSAN001921_06610
ko:K02227	setc:CFSAN001921_06615
ko:K06042	setc:CFSAN001921_06620
ko:K02188	setc:CFSAN001921_06625
ko:K02191	setc:CFSAN001921_06635
ko:K05936	setc:CFSAN001921_06640
ko:K02189	setc:CFSAN001921_06645
ko:K05895	setc:CFSAN001921_06655
ko:K03394	setc:CFSAN001921_06665
ko:K02007	setc:CFSAN001921_06670
ko:K07862	setc:CFSAN001921_00880
ko:K07043	setc:CFSAN001921_00900
ko:K11391	setc:CFSAN001921_00905
ko:K07229	setc:CFSAN001921_00935
ko:K03086	setc:CFSAN001921_00950
ko:K02970	setc:CFSAN001921_00960
ko:K08591	setc:CFSAN001921_00975
ko:K01633	setc:CFSAN001921_00980
ko:K06153	setc:CFSAN001921_00985
ko:K07184	setc:CFSAN001921_00995
ko:K00982	setc:CFSAN001921_01005
ko:K03272	setc:CFSAN001921_01010
ko:K03611	setc:CFSAN001921_01040
ko:K03673	setc:CFSAN001921_01045
ko:K07238	setc:CFSAN001921_01060
ko:K12340	setc:CFSAN001921_01080
ko:K09920	setc:CFSAN001921_01090
ko:K03651	setc:CFSAN001921_01095
ko:K07000	setc:CFSAN001921_01100
ko:K11535	setc:CFSAN001921_04730
ko:K03322	setc:CFSAN001921_04735
ko:K14261	setc:CFSAN001921_04765
ko:K12974	setc:CFSAN001921_04770
ko:K11382	setc:CFSAN001921_04785
ko:K04754	setc:CFSAN001921_04825
ko:K06076	setc:CFSAN001921_04830
ko:K08296	setc:CFSAN001921_04850
ko:K07320	setc:CFSAN001921_04860
ko:K01736	setc:CFSAN001921_04865
ko:K07261	setc:CFSAN001921_04870
ko:K07090	setc:CFSAN001921_04875
ko:K09906	setc:CFSAN001921_04880
ko:K15461	setc:CFSAN001921_04890
ko:K03473	setc:CFSAN001921_04935
ko:K06173	setc:CFSAN001921_04945
ko:K03975	setc:CFSAN001921_04950
ko:K02781	setc:CFSAN001921_02905
ko:K03565	setc:CFSAN001921_02935
ko:K01872	setc:CFSAN001921_02940
ko:K03563	setc:CFSAN001921_02945
ko:K01919	setc:CFSAN001921_02985
ko:K07173	setc:CFSAN001921_02990
ko:K03446	setc:CFSAN001921_03000
ko:K03543	setc:CFSAN001921_03005
ko:K15974	setc:CFSAN001921_03010
ko:K02002	setc:CFSAN001921_03020
ko:K02001	setc:CFSAN001921_03025
ko:K02622	setc:CFSAN001921_01105
ko:K03923	setc:CFSAN001921_01115
ko:K13652	setc:CFSAN001921_01135
ko:K02621	setc:CFSAN001921_01140
ko:K00655	setc:CFSAN001921_01145
ko:K08325	setc:CFSAN001921_01195
ko:K03561	setc:CFSAN001921_01220
ko:K04651	setc:CFSAN001921_01295
ko:K04653	setc:CFSAN001921_01300
ko:K02016	setc:CFSAN001921_01305
ko:K02020	setc:CFSAN001921_01310
ko:K01460	setc:CFSAN001921_01320
ko:K01812	setc:CFSAN001921_01330
ko:K01686	setc:CFSAN001921_01340
ko:K08191	setc:CFSAN001921_01345
ko:K01963	setc:CFSAN001921_04955
ko:K11754	setc:CFSAN001921_04960
ko:K03749	setc:CFSAN001921_04965
ko:K03558	setc:CFSAN001921_04975
ko:K00764	setc:CFSAN001921_04980
ko:K06714	setc:CFSAN001921_04985
ko:K01586	setc:CFSAN001921_04990
ko:K03186	setc:CFSAN001921_05010
ko:K10013	setc:CFSAN001921_05015
ko:K10016	setc:CFSAN001921_05025
ko:K10015	setc:CFSAN001921_05030
ko:K10017	setc:CFSAN001921_05035
ko:K07071	setc:CFSAN001921_05040
ko:K07095	setc:CFSAN001921_05055
ko:K00615	setc:CFSAN001921_05090
ko:K00615	setc:CFSAN001921_05095
ko:K13788	setc:CFSAN001921_05105
ko:K00925	setc:CFSAN001921_05110
ko:K09899	setc:CFSAN001921_05115
ko:K09161	setc:CFSAN001921_05120
ko:K14260	setc:CFSAN001921_05140
ko:K00330	setc:CFSAN001921_05150
ko:K00331	setc:CFSAN001921_05155
ko:K13378	setc:CFSAN001921_05160
ko:K00334	setc:CFSAN001921_05165
ko:K00337	setc:CFSAN001921_05180
ko:K00338	setc:CFSAN001921_05185
ko:K00339	setc:CFSAN001921_05190
ko:K00340	setc:CFSAN001921_05195
ko:K02000	setc:CFSAN001921_03030
ko:K00375	setc:CFSAN001921_03060
ko:K15735	setc:CFSAN001921_03110
ko:K11735	setc:CFSAN001921_03115
ko:K15736	setc:CFSAN001921_03130
ko:K15737	setc:CFSAN001921_03135
ko:K02008	setc:CFSAN001921_06680
ko:K02006	setc:CFSAN001921_06685
ko:K02232	setc:CFSAN001921_06690
ko:K02231	setc:CFSAN001921_06695
ko:K02233	setc:CFSAN001921_06700
ko:K00768	setc:CFSAN001921_06705
ko:K01241	setc:CFSAN001921_06740
ko:K09933	setc:CFSAN001921_06790
ko:K01677	setc:CFSAN001921_13215
ko:K01678	setc:CFSAN001921_13220
ko:K01626	setc:CFSAN001921_13225
ko:K16264	setc:CFSAN001921_13235
ko:K03811	setc:CFSAN001921_13240
ko:K03517	setc:CFSAN001921_13245
ko:K03640	setc:CFSAN001921_13280
ko:K03641	setc:CFSAN001921_13285
ko:K03562	setc:CFSAN001921_13300
ko:K07107	setc:CFSAN001921_13305
ko:K00426	setc:CFSAN001921_13325
ko:K00425	setc:CFSAN001921_13330
ko:K01902	setc:CFSAN001921_13340
ko:K01903	setc:CFSAN001921_13345
ko:K00658	setc:CFSAN001921_13350
ko:K00164	setc:CFSAN001921_13355
ko:K00240	setc:CFSAN001921_13360
ko:K00239	setc:CFSAN001921_13365
ko:K00242	setc:CFSAN001921_13370
ko:K01647	setc:CFSAN001921_13380
ko:K07702	setc:CFSAN001921_17160
ko:K12700	setc:CFSAN001921_17165
ko:K03527	setc:CFSAN001921_17175
ko:K03774	setc:CFSAN001921_17180
ko:K03101	setc:CFSAN001921_17185
ko:K01870	setc:CFSAN001921_17190
ko:K11753	setc:CFSAN001921_17195
ko:K02968	setc:CFSAN001921_17200
ko:K01811	setc:CFSAN001921_17210
ko:K03717	setc:CFSAN001921_17215
ko:K03313	setc:CFSAN001921_17220
ko:K06871	setc:CFSAN001921_17235
ko:K07347	setc:CFSAN001921_17320
ko:K03686	setc:CFSAN001921_17370
ko:K04043	setc:CFSAN001921_17375
ko:K03831	setc:CFSAN001921_17395
ko:K03310	setc:CFSAN001921_17405
ko:K02039	setc:CFSAN001921_21160
ko:K06901	setc:CFSAN001921_21170
ko:K08163	setc:CFSAN001921_21190
ko:K03650	setc:CFSAN001921_21215
ko:K03217	setc:CFSAN001921_21220
ko:K03536	setc:CFSAN001921_21225
ko:K02313	setc:CFSAN001921_21230
ko:K02338	setc:CFSAN001921_21235
ko:K03629	setc:CFSAN001921_21240
ko:K02470	setc:CFSAN001921_21245
ko:K00883	setc:CFSAN001921_21275
ko:K01631	setc:CFSAN001921_21280
ko:K01684	setc:CFSAN001921_21285
ko:K07647	setc:CFSAN001921_21295
ko:K11930	setc:CFSAN001921_21300
ko:K03532	setc:CFSAN001921_21310
ko:K07811	setc:CFSAN001921_21315
ko:K03533	setc:CFSAN001921_21320
ko:K00428	setc:CFSAN001921_21325
ko:K02194	setc:CFSAN001921_21335
ko:K02195	setc:CFSAN001921_21340
ko:K02196	setc:CFSAN001921_21345
ko:K02197	setc:CFSAN001921_21350
ko:K02198	setc:CFSAN001921_21355
ko:K02199	setc:CFSAN001921_21360
ko:K04080	setc:CFSAN001921_21385
ko:K04081	setc:CFSAN001921_21390
ko:K07085	setc:CFSAN001921_21395
ko:K11903	setc:CFSAN001921_01365
ko:K06995	setc:CFSAN001921_01390
ko:K06871	setc:CFSAN001921_01410
ko:K07150	setc:CFSAN001921_01450
ko:K01581	setc:CFSAN001921_01460
ko:K08306	setc:CFSAN001921_01470
ko:K03575	setc:CFSAN001921_01480
ko:K03439	setc:CFSAN001921_01485
ko:K09923	setc:CFSAN001921_01490
ko:K09131	setc:CFSAN001921_01520
ko:K02221	setc:CFSAN001921_01525
ko:K06997	setc:CFSAN001921_01530
ko:K02669	setc:CFSAN001921_01535
ko:K07447	setc:CFSAN001921_01545
ko:K07735	setc:CFSAN001921_01550
ko:K01920	setc:CFSAN001921_01555
ko:K09761	setc:CFSAN001921_01560
