ko:K19405	ctrq:A363_00725
ko:K00075	ctrq:A363_00896
ko:K02520	ctrq:A363_00898
ko:K02916	ctrq:A363_00899
ko:K02887	ctrq:A363_00900
ko:K01889	ctrq:A363_00901
ko:K11720	ctrq:A363_00904
ko:K07091	ctrq:A363_00905
ko:K04075	ctrq:A363_00906
ko:K03798	ctrq:A363_00907
ko:K00962	ctrq:A363_00908
ko:K02956	ctrq:A363_00909
ko:K01265	ctrq:A363_00918
ko:K03321	ctrq:A363_00923
ko:K03527	ctrq:A363_00926
ko:K08998	ctrq:A363_00510
ko:K01890	ctrq:A363_00512
ko:K02034	ctrq:A363_00515
ko:K01772	ctrq:A363_00524
ko:K07099	ctrq:A363_00527
ko:K00975	ctrq:A363_00528
ko:K03628	ctrq:A363_00530
ko:K00859	ctrq:A363_00531
ko:K03301	ctrq:A363_00534
ko:K00995	ctrq:A363_00535
ko:K03495	ctrq:A363_00538
ko:K03800	ctrq:A363_00539
ko:K00940	ctrq:A363_00540
ko:K03550	ctrq:A363_00541
ko:K01159	ctrq:A363_00542
ko:K00134	ctrq:A363_00546
ko:K02879	ctrq:A363_00547
ko:K03040	ctrq:A363_00548
ko:K02948	ctrq:A363_00549
ko:K02952	ctrq:A363_00550
ko:K03076	ctrq:A363_00551
ko:K02876	ctrq:A363_00552
ko:K02988	ctrq:A363_00553
ko:K02881	ctrq:A363_00554
ko:K02933	ctrq:A363_00555
ko:K02994	ctrq:A363_00556
ko:K02931	ctrq:A363_00557
ko:K02895	ctrq:A363_00558
ko:K02874	ctrq:A363_00559
ko:K02961	ctrq:A363_00560
ko:K02904	ctrq:A363_00561
ko:K02878	ctrq:A363_00562
ko:K02982	ctrq:A363_00563
ko:K02890	ctrq:A363_00564
ko:K02965	ctrq:A363_00565
ko:K02886	ctrq:A363_00566
ko:K02892	ctrq:A363_00567
ko:K02926	ctrq:A363_00568
ko:K02906	ctrq:A363_00569
ko:K00604	ctrq:A363_00571
ko:K00677	ctrq:A363_00572
ko:K02372	ctrq:A363_00573
ko:K02535	ctrq:A363_00574
ko:K03820	ctrq:A363_00575
ko:K06925	ctrq:A363_00578
ko:K03671	ctrq:A363_00581
ko:K03216	ctrq:A363_00582
ko:K01876	ctrq:A363_00584
ko:K01892	ctrq:A363_00585
ko:K07783	ctrq:A363_00586
ko:K02337	ctrq:A363_00587
ko:K03311	ctrq:A363_00596
ko:K00382	ctrq:A363_00599
ko:K03644	ctrq:A363_00600
ko:K03222	ctrq:A363_00601
ko:K03223	ctrq:A363_00603
ko:K03226	ctrq:A363_00604
ko:K03228	ctrq:A363_00606
ko:K02455	ctrq:A363_00612
ko:K02453	ctrq:A363_00614
ko:K03572	ctrq:A363_00617
ko:K02400	ctrq:A363_00064
ko:K02405	ctrq:A363_00065
ko:K01866	ctrq:A363_00066
ko:K03596	ctrq:A363_00068
ko:K03301	ctrq:A363_00069
ko:K00099	ctrq:A363_00075
ko:K03629	ctrq:A363_00078
ko:K02338	ctrq:A363_00079
ko:K03664	ctrq:A363_00080
ko:K03734	ctrq:A363_00081
ko:K01491	ctrq:A363_00082
ko:K02902	ctrq:A363_00089
ko:K00705	ctrq:A363_00090
ko:K04058	ctrq:A363_00092
ko:K03230	ctrq:A363_00093
ko:K03229	ctrq:A363_00094
ko:K06942	ctrq:A363_00095
ko:K11753	ctrq:A363_00096
ko:K02834	ctrq:A363_00098
ko:K02519	ctrq:A363_00099
ko:K02600	ctrq:A363_00100
ko:K02945	ctrq:A363_00101
ko:K00384	ctrq:A363_00102
ko:K00997	ctrq:A363_00103
ko:K00208	ctrq:A363_00107
ko:K03575	ctrq:A363_00111
ko:K04077	ctrq:A363_00114
ko:K04078	ctrq:A363_00115
ko:K08602	ctrq:A363_00116
ko:K01868	ctrq:A363_00623
ko:K01867	ctrq:A363_00627
ko:K03702	ctrq:A363_00628
ko:K01689	ctrq:A363_00629
ko:K00240	ctrq:A363_00633
ko:K00239	ctrq:A363_00635
ko:K03424	ctrq:A363_00637
ko:K03562	ctrq:A363_00639
ko:K03641	ctrq:A363_00642
ko:K03640	ctrq:A363_00643
ko:K03648	ctrq:A363_00652
ko:K03657	ctrq:A363_00653
ko:K03092	ctrq:A363_00654
ko:K06137	ctrq:A363_00655
ko:K13941	ctrq:A363_00658
ko:K01633	ctrq:A363_00659
ko:K03086	ctrq:A363_00660
ko:K02968	ctrq:A363_00662
ko:K03980	ctrq:A363_00669
ko:K01151	ctrq:A363_00670
ko:K02986	ctrq:A363_00671
ko:K07146	ctrq:A363_00672
ko:K13789	ctrq:A363_00673
ko:K03787	ctrq:A363_00233
ko:K03179	ctrq:A363_00234
ko:K03186	ctrq:A363_00235
ko:K03308	ctrq:A363_00248
ko:K02078	ctrq:A363_00253
ko:K00645	ctrq:A363_00255
ko:K00648	ctrq:A363_00256
ko:K06187	ctrq:A363_00257
ko:K07277	ctrq:A363_00258
ko:K06142	ctrq:A363_00259
ko:K02536	ctrq:A363_00260
ko:K00161	ctrq:A363_00262
ko:K00162	ctrq:A363_00263
ko:K00627	ctrq:A363_00264
ko:K00688	ctrq:A363_00265
ko:K02313	ctrq:A363_00267
ko:K03217	ctrq:A363_00268
ko:K04487	ctrq:A363_00275
ko:K07083	ctrq:A363_00279
ko:K01962	ctrq:A363_00282
ko:K03695	ctrq:A363_00117
ko:K01783	ctrq:A363_00125
ko:K02356	ctrq:A363_00126
ko:K02160	ctrq:A363_00127
ko:K01961	ctrq:A363_00128
ko:K02871	ctrq:A363_00129
ko:K02996	ctrq:A363_00130
ko:K02029	ctrq:A363_00133
ko:K07058	ctrq:A363_00136
ko:K06999	ctrq:A363_00140
ko:K07566	ctrq:A363_00141
ko:K09125	ctrq:A363_00144
ko:K07039	ctrq:A363_00145
ko:K01972	ctrq:A363_00152
ko:K02913	ctrq:A363_00156
ko:K09808	ctrq:A363_00157
ko:K09810	ctrq:A363_00158
ko:K01698	ctrq:A363_00679
ko:K00346	ctrq:A363_00680
ko:K03582	ctrq:A363_00686
ko:K03583	ctrq:A363_00687
ko:K03168	ctrq:A363_00690
ko:K02221	ctrq:A363_00692
ko:K03581	ctrq:A363_00699
ko:K06861	ctrq:A363_00701
ko:K01627	ctrq:A363_00703
ko:K06180	ctrq:A363_00707
ko:K06960	ctrq:A363_00708
ko:K02469	ctrq:A363_00709
ko:K02470	ctrq:A363_00710
ko:K02492	ctrq:A363_00711
ko:K03224	ctrq:A363_00718
ko:K02417	ctrq:A363_00721
ko:K03219	ctrq:A363_00723
ko:K02838	ctrq:A363_00729
ko:K09903	ctrq:A363_00730
ko:K01448	ctrq:A363_00285
ko:K01928	ctrq:A363_00286
ko:K03587	ctrq:A363_00287
ko:K03438	ctrq:A363_00289
ko:K02313	ctrq:A363_00292
ko:K00347	ctrq:A363_00295
ko:K00348	ctrq:A363_00296
ko:K00349	ctrq:A363_00297
ko:K00350	ctrq:A363_00298
ko:K02437	ctrq:A363_00299
ko:K03800	ctrq:A363_00302
ko:K03696	ctrq:A363_00303
ko:K00566	ctrq:A363_00304
ko:K01963	ctrq:A363_00310
ko:K04564	ctrq:A363_00311
ko:K03685	ctrq:A363_00314
ko:K04485	ctrq:A363_00315
ko:K01749	ctrq:A363_00316
ko:K01873	ctrq:A363_00319
ko:K03720	ctrq:A363_00178
ko:K01696	ctrq:A363_00179
ko:K01695	ctrq:A363_00181
ko:K03611	ctrq:A363_00187
ko:K00979	ctrq:A363_00195
ko:K01937	ctrq:A363_00196
ko:K07447	ctrq:A363_00197
ko:K00036	ctrq:A363_00198
ko:K01057	ctrq:A363_00199
ko:K02343	ctrq:A363_00200
ko:K00943	ctrq:A363_00201
ko:K02469	ctrq:A363_00202
ko:K02470	ctrq:A363_00203
ko:K00773	ctrq:A363_00206
ko:K06213	ctrq:A363_00207
ko:K15580	ctrq:A363_00211
ko:K15581	ctrq:A363_00212
ko:K03319	ctrq:A363_00217
ko:K00850	ctrq:A363_00218
ko:K00895	ctrq:A363_00220
ko:K02527	ctrq:A363_00223
ko:K01869	ctrq:A363_00224
ko:K01845	ctrq:A363_00225
ko:K07735	ctrq:A363_00226
ko:K08999	ctrq:A363_00227
ko:K01807	ctrq:A363_00228
ko:K03046	ctrq:A363_00331
ko:K03043	ctrq:A363_00332
ko:K02935	ctrq:A363_00333
ko:K02864	ctrq:A363_00334
ko:K02863	ctrq:A363_00335
ko:K02867	ctrq:A363_00336
ko:K02601	ctrq:A363_00337
ko:K03073	ctrq:A363_00338
ko:K02357	ctrq:A363_00731
ko:K02967	ctrq:A363_00732
ko:K03162	ctrq:A363_00734
ko:K09013	ctrq:A363_00738
ko:K09015	ctrq:A363_00739
ko:K11717	ctrq:A363_00740
ko:K07220	ctrq:A363_00744
ko:K03306	ctrq:A363_00745
ko:K00927	ctrq:A363_00746
ko:K10773	ctrq:A363_00750
ko:K03650	ctrq:A363_00751
ko:K01613	ctrq:A363_00752
ko:K03070	ctrq:A363_00754
ko:K03977	ctrq:A363_00756
ko:K03544	ctrq:A363_00758
ko:K01358	ctrq:A363_00759
ko:K03545	ctrq:A363_00760
ko:K03569	ctrq:A363_00763
ko:K00057	ctrq:A363_00768
ko:K02412	ctrq:A363_00771
ko:K02411	ctrq:A363_00772
ko:K02409	ctrq:A363_00773
ko:K13819	ctrq:A363_00774
ko:K04487	ctrq:A363_00775
ko:K06178	ctrq:A363_00777
ko:K03524	ctrq:A363_00779
ko:K05837	ctrq:A363_00780
ko:K01875	ctrq:A363_00783
ko:K11752	ctrq:A363_00784
ko:K02358	ctrq:A363_00340
ko:K02518	ctrq:A363_00342
ko:K01803	ctrq:A363_00349
ko:K03601	ctrq:A363_00350
ko:K03602	ctrq:A363_00351
ko:K01662	ctrq:A363_00353
ko:K00873	ctrq:A363_00354
ko:K03701	ctrq:A363_00355
ko:K02343	ctrq:A363_00356
ko:K09747	ctrq:A363_00357
ko:K11381	ctrq:A363_00363
ko:K03686	ctrq:A363_00364
ko:K02970	ctrq:A363_00365
ko:K01338	ctrq:A363_00367
ko:K03733	ctrq:A363_00370
ko:K06287	ctrq:A363_00372
ko:K03075	ctrq:A363_00375
ko:K01462	ctrq:A363_00376
ko:K02528	ctrq:A363_00377
ko:K06888	ctrq:A363_00379
ko:K03523	ctrq:A363_00383
ko:K01714	ctrq:A363_00386
ko:K00928	ctrq:A363_00387
ko:K00133	ctrq:A363_00388
ko:K00215	ctrq:A363_00389
ko:K00800	ctrq:A363_00391
ko:K00891	ctrq:A363_00392
ko:K01736	ctrq:A363_00393
ko:K01735	ctrq:A363_00394
ko:K13832	ctrq:A363_00395
ko:K14652	ctrq:A363_00785
ko:K00794	ctrq:A363_00786
ko:K03310	ctrq:A363_00789
ko:K03466	ctrq:A363_00793
ko:K00351	ctrq:A363_00798
ko:K03210	ctrq:A363_00799
ko:K00231	ctrq:A363_00803
ko:K01599	ctrq:A363_00805
ko:K03723	ctrq:A363_00806
ko:K01872	ctrq:A363_00807
ko:K00615	ctrq:A363_00811
ko:K01241	ctrq:A363_00812
ko:K02356	ctrq:A363_00813
ko:K01929	ctrq:A363_00818
ko:K01000	ctrq:A363_00819
ko:K01925	ctrq:A363_00820
ko:K03588	ctrq:A363_00822
ko:K02563	ctrq:A363_00823
ko:K06960	ctrq:A363_00825
ko:K00791	ctrq:A363_00828
ko:K09710	ctrq:A363_00831
ko:K09458	ctrq:A363_00832
ko:K00263	ctrq:A363_00835
ko:K00655	ctrq:A363_00837
ko:K03559	ctrq:A363_00640
ko:K03758	ctrq:A363_00399
ko:K03758	ctrq:A363_00400
ko:K00024	ctrq:A363_00403
ko:K01810	ctrq:A363_00405
ko:K03665	ctrq:A363_00406
ko:K06167	ctrq:A363_00407
ko:K09996	ctrq:A363_00408
ko:K06966	ctrq:A363_00415
ko:K09131	ctrq:A363_00416
ko:K10206	ctrq:A363_00418
ko:K01881	ctrq:A363_00421
ko:K03705	ctrq:A363_00422
ko:K03687	ctrq:A363_00423
ko:K04043	ctrq:A363_00424
ko:K12573	ctrq:A363_00425
ko:K07164	ctrq:A363_00426
ko:K06041	ctrq:A363_00427
ko:K00658	ctrq:A363_00428
ko:K00912	ctrq:A363_00430
ko:K03437	ctrq:A363_00431
ko:K06969	ctrq:A363_00432
ko:K00793	ctrq:A363_00433
ko:K07738	ctrq:A363_00434
ko:K06204	ctrq:A363_00435
ko:K03101	ctrq:A363_00436
ko:K03310	ctrq:A363_00437
ko:K00748	ctrq:A363_00439
ko:K09817	ctrq:A363_00445
ko:K09816	ctrq:A363_00446
ko:K03979	ctrq:A363_00447
ko:K02899	ctrq:A363_00448
ko:K02888	ctrq:A363_00449
ko:K09779	ctrq:A363_00002
ko:K02435	ctrq:A363_00003
ko:K04066	ctrq:A363_00840
ko:K04567	ctrq:A363_00843
ko:K01883	ctrq:A363_00844
ko:K03536	ctrq:A363_00846
ko:K02919	ctrq:A363_00847
ko:K02954	ctrq:A363_00848
ko:K03703	ctrq:A363_00852
ko:K03555	ctrq:A363_00853
ko:K14164	ctrq:A363_00857
ko:K00995	ctrq:A363_00858
ko:K00703	ctrq:A363_00859
ko:K02897	ctrq:A363_00861
ko:K01056	ctrq:A363_00862
ko:K02990	ctrq:A363_00863
ko:K02963	ctrq:A363_00864
ko:K02939	ctrq:A363_00865
ko:K00919	ctrq:A363_00866
ko:K00630	ctrq:A363_00870
ko:K08301	ctrq:A363_00871
ko:K02911	ctrq:A363_00873
ko:K03621	ctrq:A363_00874
ko:K03431	ctrq:A363_00879
ko:K00820	ctrq:A363_00880
ko:K03834	ctrq:A363_00881
ko:K03834	ctrq:A363_00883
ko:K06890	ctrq:A363_00884
ko:K03110	ctrq:A363_00885
ko:K01903	ctrq:A363_00886
ko:K01902	ctrq:A363_00887
ko:K09760	ctrq:A363_00890
ko:K02028	ctrq:A363_00134
ko:K14220	ctrq:A363_00039
ko:K15035	ctrq:A363_00020
ko:K14222	ctrq:A363_00817
ko:K01985	ctrq:A363_00797
ko:K01985	ctrq:A363_00810
ko:K01980	ctrq:A363_00796
ko:K01980	ctrq:A363_00809
ko:K17103	ctrq:A363_00891
ko:K01409	ctrq:A363_00210
ko:K15582	ctrq:A363_00213
ko:K10823	ctrq:A363_00214
ko:K15583	ctrq:A363_00215
ko:K06889	ctrq:A363_00219
ko:K00970	ctrq:A363_00438
ko:K09815	ctrq:A363_00444
ko:K02433	ctrq:A363_00004
ko:K03471	ctrq:A363_00009
ko:K01408	ctrq:A363_00869
ko:K08483	ctrq:A363_00358
ko:K11189	ctrq:A363_00359
ko:K00784	ctrq:A363_00369
ko:K03856	ctrq:A363_00409
ko:K00970	ctrq:A363_00757
ko:K01596	ctrq:A363_00764
ko:K00972	ctrq:A363_00769
ko:K01834	ctrq:A363_00776
ko:K06910	ctrq:A363_00790
ko:K07117	ctrq:A363_00791
ko:K00059	ctrq:A363_00254
ko:K07052	ctrq:A363_00271
ko:K02342	ctrq:A363_00278
ko:K00033	ctrq:A363_00067
ko:K11707	ctrq:A363_00071
ko:K11710	ctrq:A363_00072
ko:K11708	ctrq:A363_00073
ko:K11709	ctrq:A363_00074
ko:K01679	ctrq:A363_00922
ko:K04763	ctrq:A363_00933
ko:K00700	ctrq:A363_00935
ko:K02035	ctrq:A363_00143
ko:K06889	ctrq:A363_00155
ko:K02035	ctrq:A363_00186
ko:K02049	ctrq:A363_00191
ko:K07315	ctrq:A363_00630
ko:K00241	ctrq:A363_00636
ko:K03386	ctrq:A363_00646
ko:K02428	ctrq:A363_00650
ko:K01507	ctrq:A363_00834
ko:K01082	ctrq:A363_00836
ko:K01909	ctrq:A363_00838
ko:K00652	ctrq:A363_00839
ko:K01719	ctrq:A363_00466
ko:K00380	ctrq:A363_00468
ko:K01885	ctrq:A363_00479
ko:K07098	ctrq:A363_00495
ko:K00567	ctrq:A363_00514
ko:K02033	ctrq:A363_00516
ko:K02035	ctrq:A363_00517
ko:K02030	ctrq:A363_00525
ko:K02806	ctrq:A363_00307
ko:K02806	ctrq:A363_00308
ko:K02124	ctrq:A363_00321
ko:K02123	ctrq:A363_00322
ko:K02120	ctrq:A363_00323
ko:K02118	ctrq:A363_00324
ko:K02117	ctrq:A363_00325
ko:K02342	ctrq:A363_00577
ko:K07258	ctrq:A363_00593
ko:K03227	ctrq:A363_00605
ko:K02454	ctrq:A363_00613
ko:K01262	ctrq:A363_00616
ko:K00813	ctrq:A363_00684
ko:K01934	ctrq:A363_00696
ko:K00616	ctrq:A363_00330
ko:K02121	ctrq:A363_00327
ko:K03177	ctrq:A363_00097
ko:K06179	ctrq:A363_00110
ko:K00939	ctrq:A363_00132
ko:K14233	ctrq:A363_00380
ko:K14228	ctrq:A363_00500
ko:K01977	ctrq:A363_00795
ko:K01977	ctrq:A363_00808
ko:K04084	ctrq:A363_00638
ko:K14236	ctrq:A363_00147
ko:K14227	ctrq:A363_00192
ko:K14218	ctrq:A363_00683
ko:K14230	ctrq:A363_00221
ko:K14230	ctrq:A363_00347
ko:K14235	ctrq:A363_00339
ko:K14233	ctrq:A363_00536
ko:K14231	ctrq:A363_00450
ko:K14221	ctrq:A363_00237
ko:K14233	ctrq:A363_00443
ko:K14228	ctrq:A363_00544
ko:K14228	ctrq:A363_00580
ko:K14219	ctrq:A363_00504
ko:K14219	ctrq:A363_00704
ko:K14232	ctrq:A363_00677
ko:K14229	ctrq:A363_00727
ko:K14224	ctrq:A363_00728
ko:K14226	ctrq:A363_00794
ko:K14223	ctrq:A363_00860
ko:K14218	ctrq:A363_00193
ko:K14219	ctrq:A363_00647
ko:K14234	ctrq:A363_00724
ko:K14225	ctrq:A363_00733
ko:K14228	ctrq:A363_00508
ko:K14228	ctrq:A363_00931
ko:K14232	ctrq:A363_00063
ko:K14237	ctrq:A363_00238
ko:K14230	ctrq:A363_00222
ko:K14234	ctrq:A363_00146
ko:K14234	ctrq:A363_00341
ko:K14225	ctrq:A363_00761
ko:K14237	ctrq:A363_00894
ko:K01840	ctrq:A363_00312
ko:K06972	ctrq:A363_00889
ko:K08719	ctrq:A363_00767
ko:K07081	ctrq:A363_00460
ko:K03625	ctrq:A363_00897
ko:K01695	ctrq:A363_00180
ko:K00239	ctrq:A363_00634
ko:K01802	ctrq:A363_00583
ko:K08275	ctrq:A363_00084
ko:K08274	ctrq:A363_00404
ko:K01921	ctrq:A363_00824
ko:K01924	ctrq:A363_00824
ko:K01829	ctrq:A363_00842
ko:K01829	ctrq:A363_00845
ko:K03309	ctrq:A363_00429
ko:K07033	ctrq:A363_00737
ko:K03825	ctrq:A363_00492
ko:K03496	ctrq:A363_00624
ko:K03497	ctrq:A363_00741
ko:K03111	ctrq:A363_00046
ko:K03496	ctrq:A363_p7
ko:K02626	ctrq:A363_00398
ko:K11991	ctrq:A363_00910
ko:K04771	ctrq:A363_00888
ko:K19411	ctrq:A363_00726
ko:K02031	ctrq:A363_00743
ko:K07125	ctrq:A363_00344
ko:K22100	ctrq:A363_00348
ko:K12132	ctrq:A363_00318
ko:K20265	ctrq:A363_00231
ko:K20074	ctrq:A363_00276
ko:K11749	ctrq:A363_00076
ko:K22099	ctrq:A363_00656
ko:K00526	ctrq:A363_00893
ko:K01520	ctrq:A363_00309
ko:K02314	ctrq:A363_00537
ko:K00287	ctrq:A363_00657
ko:K03553	ctrq:A363_00697
ko:K02335	ctrq:A363_00532
ko:K02316	ctrq:A363_00854
ko:K02314	ctrq:A363_p3
ko:K02032	ctrq:A363_00742
ko:K00525	ctrq:A363_00892
ko:K02050	ctrq:A363_00921
ko:K02051	ctrq:A363_00921
ko:K01534	ctrq:A363_00781
ko:K16239	ctrq:A363_00088
