ko:K00459	hps:HPSH_02945
ko:K00134	hps:HPSH_04850
ko:K01821	hps:HPSH_04870
ko:K06187	hps:HPSH_04875
ko:K06176	hps:HPSH_04880
ko:K03799	hps:HPSH_04885
ko:K01495	hps:HPSH_04890
ko:K00795	hps:HPSH_04895
ko:K01737	hps:HPSH_04910
ko:K01775	hps:HPSH_04955
ko:K03310	hps:HPSH_04960
ko:K00285	hps:HPSH_04965
ko:K00783	hps:HPSH_05000
ko:K03743	hps:HPSH_05015
ko:K03648	hps:HPSH_06970
ko:K00655	hps:HPSH_06975
ko:K03797	hps:HPSH_06985
ko:K00767	hps:HPSH_07015
ko:K03517	hps:HPSH_07020
ko:K01613	hps:HPSH_07025
ko:K03179	hps:HPSH_07040
ko:K02238	hps:HPSH_07045
ko:K02314	hps:HPSH_07050
ko:K06223	hps:HPSH_07080
ko:K03570	hps:HPSH_07100
ko:K03544	hps:HPSH_07110
ko:K00677	hps:HPSH_07115
ko:K02372	hps:HPSH_07120
ko:K05807	hps:HPSH_07135
ko:K01338	hps:HPSH_07140
ko:K01012	hps:HPSH_07170
ko:K07058	hps:HPSH_07175
ko:K09710	hps:HPSH_07205
ko:K00791	hps:HPSH_07210
ko:K02415	hps:HPSH_02770
ko:K00997	hps:HPSH_02775
ko:K07043	hps:HPSH_02785
ko:K03635	hps:HPSH_02815
ko:K03831	hps:HPSH_02820
ko:K03637	hps:HPSH_02825
ko:K03545	hps:HPSH_02840
ko:K01462	hps:HPSH_02850
ko:K07391	hps:HPSH_02855
ko:K03070	hps:HPSH_02880
ko:K03634	hps:HPSH_02885
ko:K01682	hps:HPSH_02915
ko:K09903	hps:HPSH_02925
ko:K03060	hps:HPSH_02930
ko:K01662	hps:HPSH_01830
ko:K03596	hps:HPSH_01835
ko:K02392	hps:HPSH_01850
ko:K03761	hps:HPSH_01855
ko:K00615	hps:HPSH_01870
ko:K06442	hps:HPSH_01880
ko:K00609	hps:HPSH_01890
ko:K07241	hps:HPSH_01930
ko:K03798	hps:HPSH_01975
ko:K02687	hps:HPSH_01980
ko:K03413	hps:HPSH_01985
ko:K03501	hps:HPSH_02005
ko:K07568	hps:HPSH_02010
ko:K03118	hps:HPSH_02015
ko:K03117	hps:HPSH_02020
ko:K03551	hps:HPSH_02025
ko:K00606	hps:HPSH_02030
ko:K02535	hps:HPSH_02060
ko:K00872	hps:HPSH_02070
ko:K02519	hps:HPSH_02080
ko:K02834	hps:HPSH_02085
ko:K09748	hps:HPSH_02090
ko:K02400	hps:HPSH_02110
ko:K02956	hps:HPSH_02115
ko:K03786	hps:HPSH_02125
ko:K01262	hps:HPSH_02130
ko:K00950	hps:HPSH_02135
ko:K02404	hps:HPSH_02140
ko:K00969	hps:HPSH_06915
ko:K07722	hps:HPSH_06920
ko:K03559	hps:HPSH_06930
ko:K03832	hps:HPSH_06935
ko:K03284	hps:HPSH_06955
ko:K00927	hps:HPSH_06960
ko:K00134	hps:HPSH_06965
ko:K01962	hps:HPSH_04090
ko:K06193	hps:HPSH_02450
ko:K01521	hps:HPSH_02455
ko:K02390	hps:HPSH_02460
ko:K03624	hps:HPSH_02480
ko:K01520	hps:HPSH_02485
ko:K03525	hps:HPSH_02500
ko:K09792	hps:HPSH_02505
ko:K03274	hps:HPSH_02515
ko:K03271	hps:HPSH_02525
ko:K00364	hps:HPSH_02530
ko:K03427	hps:HPSH_02560
ko:K01153	hps:HPSH_02570
ko:K00878	hps:HPSH_02575
ko:K00788	hps:HPSH_02585
ko:K09860	hps:HPSH_02615
ko:K03530	hps:HPSH_02625
ko:K03977	hps:HPSH_02630
ko:K00797	hps:HPSH_02640
ko:K00859	hps:HPSH_02645
ko:K02433	hps:HPSH_02650
ko:K00088	hps:HPSH_02655
ko:K02108	hps:HPSH_02660
ko:K00384	hps:HPSH_02680
ko:K03671	hps:HPSH_02685
ko:K07460	hps:HPSH_02690
ko:K00003	hps:HPSH_02695
ko:K03703	hps:HPSH_02700
ko:K05845	hps:HPSH_02720
ko:K05846	hps:HPSH_02720
ko:K02557	hps:HPSH_02730
ko:K02556	hps:HPSH_02735
ko:K00943	hps:HPSH_07550
ko:K00954	hps:HPSH_07555
ko:K03186	hps:HPSH_07560
ko:K02386	hps:HPSH_07570
ko:K03657	hps:HPSH_07575
ko:K01875	hps:HPSH_07585
ko:K03602	hps:HPSH_07595
ko:K03183	hps:HPSH_07600
ko:K08973	hps:HPSH_07605
ko:K01993	hps:HPSH_07625
ko:K03306	hps:HPSH_07640
ko:K01928	hps:HPSH_07655
ko:K00616	hps:HPSH_07660
ko:K02897	hps:HPSH_07665
ko:K01056	hps:HPSH_07670
ko:K03312	hps:HPSH_07730
ko:K08591	hps:HPSH_07745
ko:K01633	hps:HPSH_07750
ko:K01042	hps:HPSH_07770
ko:K02600	hps:HPSH_07775
ko:K07316	hps:HPSH_07815
ko:K03655	hps:HPSH_07820
ko:K01142	hps:HPSH_07835
ko:K02313	hps:HPSH_07855
ko:K00820	hps:HPSH_07870
ko:K03465	hps:HPSH_07875
ko:K01507	hps:HPSH_03760
ko:K00939	hps:HPSH_03780
ko:K01876	hps:HPSH_03785
ko:K03415	hps:HPSH_03790
ko:K01972	hps:HPSH_03795
ko:K01599	hps:HPSH_03840
ko:K07457	hps:HPSH_03850
ko:K02406	hps:HPSH_03855
ko:K00177	hps:HPSH_03910
ko:K00175	hps:HPSH_03915
ko:K00174	hps:HPSH_03920
ko:K00176	hps:HPSH_03925
ko:K07082	hps:HPSH_03935
ko:K10773	hps:HPSH_03950
ko:K01465	hps:HPSH_03970
ko:K03100	hps:HPSH_03995
ko:K01808	hps:HPSH_04005
ko:K00759	hps:HPSH_04015
ko:K01255	hps:HPSH_04025
ko:K06942	hps:HPSH_04030
ko:K01778	hps:HPSH_04045
ko:K02970	hps:HPSH_04065
ko:K04047	hps:HPSH_01265
ko:K03466	hps:HPSH_01860
ko:K01711	hps:HPSH_00215
ko:K02377	hps:HPSH_00220
ko:K04655	hps:HPSH_00230
ko:K04656	hps:HPSH_00235
ko:K03190	hps:HPSH_00320
ko:K03189	hps:HPSH_00325
ko:K03188	hps:HPSH_00330
ko:K03187	hps:HPSH_00335
ko:K01428	hps:HPSH_00350
ko:K03101	hps:HPSH_00360
ko:K03431	hps:HPSH_00365
ko:K02968	hps:HPSH_00370
ko:K02835	hps:HPSH_00375
ko:K02996	hps:HPSH_00405
ko:K02871	hps:HPSH_00410
ko:K00116	hps:HPSH_00425
ko:K03086	hps:HPSH_00435
ko:K00645	hps:HPSH_00445
ko:K01733	hps:HPSH_00490
ko:K02527	hps:HPSH_05045
ko:K07164	hps:HPSH_05050
ko:K01878	hps:HPSH_05060
ko:K00057	hps:HPSH_05065
ko:K01879	hps:HPSH_05135
ko:K02435	hps:HPSH_05150
ko:K03770	hps:HPSH_05160
ko:K03590	hps:HPSH_05165
ko:K03531	hps:HPSH_05170
ko:K03442	hps:HPSH_05200
ko:K01585	hps:HPSH_05300
ko:K01772	hps:HPSH_05320
ko:K00574	hps:HPSH_05330
ko:K01951	hps:HPSH_05360
ko:K09765	hps:HPSH_00500
ko:K07173	hps:HPSH_00525
ko:K04043	hps:HPSH_00550
ko:K03687	hps:HPSH_00555
ko:K03705	hps:HPSH_00560
ko:K02406	hps:HPSH_00580
ko:K03168	hps:HPSH_00585
ko:K01007	hps:HPSH_00605
ko:K01868	hps:HPSH_00615
ko:K03694	hps:HPSH_00165
ko:K01579	hps:HPSH_00170
ko:K09747	hps:HPSH_00175
ko:K02520	hps:HPSH_00620
ko:K02916	hps:HPSH_00625
ko:K02887	hps:HPSH_00630
ko:K01752	hps:HPSH_00660
ko:K03837	hps:HPSH_00665
ko:K01626	hps:HPSH_00675
ko:K03564	hps:HPSH_00685
ko:K00782	hps:HPSH_00690
ko:K03303	hps:HPSH_00705
ko:K03303	hps:HPSH_00710
ko:K03575	hps:HPSH_00715
ko:K00404	hps:HPSH_00725
ko:K00405	hps:HPSH_00730
ko:K00406	hps:HPSH_00740
ko:K03553	hps:HPSH_00775
ko:K01689	hps:HPSH_00780
ko:K00891	hps:HPSH_00795
ko:K01698	hps:HPSH_00825
ko:K01889	hps:HPSH_05390
ko:K00800	hps:HPSH_05400
ko:K03527	hps:HPSH_05405
ko:K02945	hps:HPSH_05410
ko:K03182	hps:HPSH_05425
ko:K06997	hps:HPSH_05430
ko:K03269	hps:HPSH_05435
ko:K03415	hps:HPSH_05440
ko:K03407	hps:HPSH_05445
ko:K03408	hps:HPSH_05450
ko:K11065	hps:HPSH_05455
ko:K04564	hps:HPSH_05460
ko:K04066	hps:HPSH_05470
ko:K02493	hps:HPSH_05510
ko:K01772	hps:HPSH_05535
ko:K09761	hps:HPSH_05545
ko:K01494	hps:HPSH_05555
ko:K02160	hps:HPSH_05560
ko:K00526	hps:HPSH_05595
ko:K00573	hps:HPSH_05600
ko:K07091	hps:HPSH_05605
ko:K06173	hps:HPSH_05610
ko:K01690	hps:HPSH_05650
ko:K00036	hps:HPSH_05655
ko:K01057	hps:HPSH_05660
ko:K00845	hps:HPSH_05665
ko:K00172	hps:HPSH_05695
ko:K00171	hps:HPSH_05700
ko:K01476	hps:HPSH_07915
ko:K03760	hps:HPSH_00115
ko:K02078	hps:HPSH_04075
ko:K09458	hps:HPSH_04085
ko:K01874	hps:HPSH_05325
ko:K01890	hps:HPSH_05395
ko:K00567	hps:HPSH_03485
ko:K07090	hps:HPSH_01170
ko:K04042	hps:HPSH_03450
ko:K02528	hps:HPSH_07290
ko:K01433	hps:HPSH_07305
ko:K04773	hps:HPSH_07310
ko:K03563	hps:HPSH_07380
ko:K00919	hps:HPSH_07385
ko:K03664	hps:HPSH_07390
ko:K03559	hps:HPSH_07400
ko:K02914	hps:HPSH_07405
ko:K03536	hps:HPSH_07410
ko:K03217	hps:HPSH_07420
ko:K06346	hps:HPSH_07425
ko:K03650	hps:HPSH_07430
ko:K07337	hps:HPSH_07460
ko:K06178	hps:HPSH_07470
ko:K02337	hps:HPSH_07475
ko:K00428	hps:HPSH_07480
ko:K02067	hps:HPSH_07500
ko:K02065	hps:HPSH_07505
ko:K02066	hps:HPSH_07510
ko:K00826	hps:HPSH_07520
ko:K02335	hps:HPSH_07530
ko:K03561	hps:HPSH_06925
ko:K03561	hps:HPSH_07395
ko:K12109	hps:HPSH_04160
ko:K12110	hps:HPSH_04155
ko:K12086	hps:HPSH_04325
ko:K12088	hps:HPSH_04315
ko:K12089	hps:HPSH_04310
ko:K12090	hps:HPSH_04305
ko:K12091	hps:HPSH_04295
ko:K12092	hps:HPSH_04285
ko:K12093	hps:HPSH_04280
ko:K12094	hps:HPSH_04275
ko:K12095	hps:HPSH_04270
ko:K12096	hps:HPSH_04265
ko:K12097	hps:HPSH_04260
ko:K12098	hps:HPSH_04255
ko:K12099	hps:HPSH_04240
ko:K12100	hps:HPSH_04210
ko:K12101	hps:HPSH_04205
ko:K12102	hps:HPSH_04200
ko:K12103	hps:HPSH_04195
ko:K12104	hps:HPSH_04190
ko:K12105	hps:HPSH_04185
ko:K12106	hps:HPSH_04175
ko:K12107	hps:HPSH_04170
ko:K01916	hps:HPSH_01710
ko:K11752	hps:HPSH_07725
ko:K11749	hps:HPSH_01340
ko:K02242	hps:HPSH_07545
ko:K01426	hps:HPSH_01525
ko:K00262	hps:HPSH_05515
ko:K08307	hps:HPSH_08190
ko:K12251	hps:HPSH_03045
ko:K03497	hps:HPSH_05860
ko:K01845	hps:HPSH_01585
ko:K07226	hps:HPSH_01645
ko:K01887	hps:HPSH_01650
ko:K03116	hps:HPSH_01655
ko:K00942	hps:HPSH_01660
ko:K02393	hps:HPSH_01685
ko:K00912	hps:HPSH_01705
ko:K00053	hps:HPSH_01715
ko:K04096	hps:HPSH_01730
ko:K07447	hps:HPSH_01735
ko:K06180	hps:HPSH_01795
ko:K07462	hps:HPSH_01800
ko:K01937	hps:HPSH_01805
ko:K02410	hps:HPSH_01820
ko:K01695	hps:HPSH_06615
ko:K01696	hps:HPSH_06620
ko:K00766	hps:HPSH_06630
ko:K01658	hps:HPSH_06635
ko:K01657	hps:HPSH_06640
ko:K03707	hps:HPSH_06665
ko:K03811	hps:HPSH_06670
ko:K02879	hps:HPSH_06685
ko:K03040	hps:HPSH_06690
ko:K02986	hps:HPSH_06695
ko:K02948	hps:HPSH_06700
ko:K02952	hps:HPSH_06705
ko:K02919	hps:HPSH_06710
ko:K02518	hps:HPSH_06715
ko:K01265	hps:HPSH_06720
ko:K03076	hps:HPSH_06725
ko:K02876	hps:HPSH_06730
ko:K02988	hps:HPSH_06735
ko:K02881	hps:HPSH_06740
ko:K02933	hps:HPSH_06745
ko:K02994	hps:HPSH_06750
ko:K02954	hps:HPSH_06755
ko:K02931	hps:HPSH_06760
ko:K02895	hps:HPSH_06765
ko:K02874	hps:HPSH_06770
ko:K02961	hps:HPSH_06775
ko:K02904	hps:HPSH_06780
ko:K02878	hps:HPSH_06785
ko:K02982	hps:HPSH_06790
ko:K02890	hps:HPSH_06795
ko:K02965	hps:HPSH_06800
ko:K02886	hps:HPSH_06805
ko:K02892	hps:HPSH_06810
ko:K02926	hps:HPSH_06815
ko:K02906	hps:HPSH_06820
ko:K02946	hps:HPSH_06825
ko:K03470	hps:HPSH_06840
ko:K01679	hps:HPSH_06850
ko:K03686	hps:HPSH_06885
ko:K00566	hps:HPSH_06905
ko:K00979	hps:HPSH_01195
ko:K03981	hps:HPSH_01200
ko:K01749	hps:HPSH_01235
ko:K01881	hps:HPSH_01240
ko:K02492	hps:HPSH_01245
ko:K02523	hps:HPSH_01250
ko:K02394	hps:HPSH_01280
ko:K05592	hps:HPSH_01285
ko:K01939	hps:HPSH_01325
ko:K03601	hps:HPSH_01345
ko:K03695	hps:HPSH_01375
ko:K06196	hps:HPSH_01380
ko:K01465	hps:HPSH_01385
ko:K09778	hps:HPSH_01405
ko:K06940	hps:HPSH_01425
ko:K02841	hps:HPSH_01450
ko:K02517	hps:HPSH_01455
ko:K00773	hps:HPSH_01460
ko:K01735	hps:HPSH_01470
ko:K01945	hps:HPSH_06300
ko:K00806	hps:HPSH_06315
ko:K01719	hps:HPSH_06330
ko:K06199	hps:HPSH_06335
ko:K08311	hps:HPSH_06350
ko:K00928	hps:HPSH_06355
ko:K02341	hps:HPSH_06365
ko:K00796	hps:HPSH_06370
ko:K01956	hps:HPSH_06400
ko:K06287	hps:HPSH_06415
ko:K01872	hps:HPSH_06420
ko:K09794	hps:HPSH_06425
ko:K02963	hps:HPSH_06445
ko:K03111	hps:HPSH_06450
ko:K02990	hps:HPSH_06455
ko:K02340	hps:HPSH_06460
ko:K00014	hps:HPSH_06470
ko:K01867	hps:HPSH_06495
ko:K02169	hps:HPSH_06500
ko:K02838	hps:HPSH_06510
ko:K00762	hps:HPSH_06515
ko:K00330	hps:HPSH_06530
ko:K00331	hps:HPSH_06535
ko:K00332	hps:HPSH_06540
ko:K00333	hps:HPSH_06545
ko:K00334	hps:HPSH_06550
ko:K00335	hps:HPSH_06555
ko:K00336	hps:HPSH_06560
ko:K00337	hps:HPSH_06565
ko:K00338	hps:HPSH_06570
ko:K00339	hps:HPSH_06575
ko:K00340	hps:HPSH_06580
ko:K00341	hps:HPSH_06585
ko:K00342	hps:HPSH_06590
ko:K00343	hps:HPSH_06595
ko:K03218	hps:HPSH_04120
ko:K07056	hps:HPSH_04125
ko:K02909	hps:HPSH_04130
ko:K03628	hps:HPSH_04135
ko:K01776	hps:HPSH_04140
ko:K03196	hps:HPSH_04300
ko:K03595	hps:HPSH_04340
ko:K03667	hps:HPSH_04345
ko:K01419	hps:HPSH_04350
ko:K02939	hps:HPSH_04355
ko:K01915	hps:HPSH_04365
ko:K01586	hps:HPSH_01505
ko:K01163	hps:HPSH_01515
ko:K04562	hps:HPSH_02145
ko:K02405	hps:HPSH_02155
ko:K02416	hps:HPSH_02160
ko:K07478	hps:HPSH_02185
ko:K02335	hps:HPSH_02205
ko:K00995	hps:HPSH_02230
ko:K01714	hps:HPSH_02245
ko:K00937	hps:HPSH_02260
ko:K03427	hps:HPSH_02270
ko:K01153	hps:HPSH_02275
ko:K08602	hps:HPSH_02305
ko:K03455	hps:HPSH_02310
ko:K02020	hps:HPSH_02330
ko:K02018	hps:HPSH_02335
ko:K01885	hps:HPSH_02345
ko:K06207	hps:HPSH_02360
ko:K06223	hps:HPSH_02365
ko:K01159	hps:HPSH_02425
ko:K03781	hps:HPSH_02435
ko:K00075	hps:HPSH_07235
ko:K02420	hps:HPSH_07240
ko:K03196	hps:HPSH_07250
ko:K01870	hps:HPSH_07255
ko:K06941	hps:HPSH_07275
ko:K06041	hps:HPSH_07280
ko:K09811	hps:HPSH_03085
ko:K09812	hps:HPSH_03090
ko:K03439	hps:HPSH_03095
ko:K06180	hps:HPSH_03105
ko:K05837	hps:HPSH_03120
ko:K00948	hps:HPSH_03125
ko:K01929	hps:HPSH_03140
ko:K01921	hps:HPSH_03150
ko:K01095	hps:HPSH_03155
ko:K00769	hps:HPSH_03165
ko:K04075	hps:HPSH_03220
ko:K02343	hps:HPSH_03280
ko:K06925	hps:HPSH_03285
ko:K06861	hps:HPSH_03290
ko:K03092	hps:HPSH_03295
ko:K07023	hps:HPSH_03305
ko:K03438	hps:HPSH_03320
ko:K03701	hps:HPSH_03330
ko:K02469	hps:HPSH_03350
ko:K00901	hps:HPSH_03355
ko:K02106	hps:HPSH_03385
ko:K01029	hps:HPSH_03395
ko:K01028	hps:HPSH_03400
ko:K07501	hps:HPSH_03425
ko:K04759	hps:HPSH_03430
ko:K04061	hps:HPSH_08205
ko:K02071	hps:HPSH_08210
ko:K02072	hps:HPSH_08215
ko:K01866	hps:HPSH_02940
ko:K01448	hps:HPSH_02950
ko:K03752	hps:HPSH_02970
ko:K03639	hps:HPSH_02975
ko:K06940	hps:HPSH_03005
ko:K03110	hps:HPSH_03010
ko:K07084	hps:HPSH_03035
ko:K02422	hps:HPSH_03065
ko:K02407	hps:HPSH_03070
ko:K06603	hps:HPSH_03075
ko:K03427	hps:HPSH_07890
ko:K01153	hps:HPSH_07895
ko:K07043	hps:HPSH_07900
ko:K00259	hps:HPSH_07920
ko:K00858	hps:HPSH_07935
ko:K03631	hps:HPSH_07940
ko:K02342	hps:HPSH_07970
ko:K01783	hps:HPSH_07975
ko:K02357	hps:HPSH_08005
ko:K02967	hps:HPSH_08010
ko:K03313	hps:HPSH_08025
ko:K03210	hps:HPSH_08030
ko:K03072	hps:HPSH_08035
ko:K03074	hps:HPSH_08040
ko:K01869	hps:HPSH_08050
ko:K03723	hps:HPSH_08085
ko:K00411	hps:HPSH_08090
ko:K00412	hps:HPSH_08095
ko:K00413	hps:HPSH_08100
ko:K02408	hps:HPSH_08115
ko:K02388	hps:HPSH_08120
ko:K02387	hps:HPSH_08125
ko:K03588	hps:HPSH_08130
ko:K02016	hps:HPSH_08135
ko:K02016	hps:HPSH_08140
ko:K02073	hps:HPSH_08150
ko:K03978	hps:HPSH_08165
ko:K09774	hps:HPSH_08170
ko:K03270	hps:HPSH_08180
ko:K03642	hps:HPSH_08185
ko:K03424	hps:HPSH_08195
ko:K00793	hps:HPSH_08200
ko:K02470	hps:HPSH_04410
ko:K02338	hps:HPSH_04415
ko:K03308	hps:HPSH_04425
ko:K03308	hps:HPSH_04430
ko:K07107	hps:HPSH_04435
ko:K01925	hps:HPSH_04445
ko:K01000	hps:HPSH_04450
ko:K02902	hps:HPSH_04460
ko:K03205	hps:HPSH_04545
ko:K03196	hps:HPSH_04565
ko:K03195	hps:HPSH_04590
ko:K03204	hps:HPSH_04595
ko:K03203	hps:HPSH_04600
ko:K03168	hps:HPSH_04610
ko:K03199	hps:HPSH_04615
ko:K03550	hps:HPSH_04655
ko:K03980	hps:HPSH_04665
ko:K01883	hps:HPSH_04670
ko:K02013	hps:HPSH_04685
ko:K02015	hps:HPSH_04690
ko:K03474	hps:HPSH_08235
ko:K00097	hps:HPSH_08240
ko:K01409	hps:HPSH_08245
ko:K02392	hps:HPSH_08250
ko:K02397	hps:HPSH_01530
ko:K02888	hps:HPSH_01535
ko:K02899	hps:HPSH_01540
ko:K03979	hps:HPSH_01570
ko:K01673	hps:HPSH_00020
ko:K03075	hps:HPSH_06505
ko:K03569	hps:HPSH_07105
ko:K03273	hps:HPSH_02510
ko:K04763	hps:HPSH_03490
ko:K08303	hps:HPSH_00850
ko:K02836	hps:HPSH_00860
ko:K03750	hps:HPSH_00865
ko:K02421	hps:HPSH_00870
ko:K01624	hps:HPSH_00885
ko:K02356	hps:HPSH_00890
ko:K03820	hps:HPSH_00910
ko:K04567	hps:HPSH_00925
ko:K00600	hps:HPSH_00930
ko:K00245	hps:HPSH_00980
ko:K00246	hps:HPSH_00990
ko:K01803	hps:HPSH_00995
ko:K00208	hps:HPSH_01000
ko:K02536	hps:HPSH_01005
ko:K00789	hps:HPSH_01010
ko:K00940	hps:HPSH_01015
ko:K02911	hps:HPSH_01025
ko:K03621	hps:HPSH_01030
ko:K00648	hps:HPSH_01035
ko:K03593	hps:HPSH_01065
ko:K04079	hps:HPSH_01085
ko:K01439	hps:HPSH_01095
ko:K03495	hps:HPSH_01100
ko:K00981	hps:HPSH_01110
ko:K00099	hps:HPSH_01115
ko:K06910	hps:HPSH_01130
ko:K04485	hps:HPSH_01155
ko:K00169	hps:HPSH_05705
ko:K00170	hps:HPSH_05710
ko:K01756	hps:HPSH_05715
ko:K03702	hps:HPSH_05725
ko:K00681	hps:HPSH_05755
ko:K02396	hps:HPSH_05760
ko:K03775	hps:HPSH_05790
ko:K03640	hps:HPSH_05800
ko:K03641	hps:HPSH_05805
ko:K03559	hps:HPSH_05815
ko:K02114	hps:HPSH_05825
ko:K02112	hps:HPSH_05830
ko:K02115	hps:HPSH_05835
ko:K02111	hps:HPSH_05840
ko:K02113	hps:HPSH_05845
ko:K02109	hps:HPSH_05850
ko:K02109	hps:HPSH_05855
ko:K00604	hps:HPSH_05875
ko:K02884	hps:HPSH_05920
ko:K00554	hps:HPSH_05925
ko:K02860	hps:HPSH_05930
ko:K06960	hps:HPSH_05935
ko:K02959	hps:HPSH_05940
ko:K03106	hps:HPSH_05945
ko:K01873	hps:HPSH_05950
ko:K02563	hps:HPSH_05960
ko:K00286	hps:HPSH_05975
ko:K04095	hps:HPSH_05980
ko:K07042	hps:HPSH_05985
ko:K03839	hps:HPSH_05990
ko:K00384	hps:HPSH_06005
ko:K03191	hps:HPSH_00340
ko:K03636	hps:HPSH_02810
ko:K07710	hps:HPSH_01270
ko:K03711	hps:HPSH_02180
ko:K00031	hps:HPSH_00135
ko:K01154	hps:HPSH_02265
ko:K01154	hps:HPSH_07300
ko:K01154	hps:HPSH_02565
ko:K01154	hps:HPSH_02865
ko:K01154	hps:HPSH_07885
ko:K02217	hps:HPSH_03590
ko:K01625	hps:HPSH_05645
ko:K03524	hps:HPSH_05870
ko:K12574	hps:HPSH_07285
ko:K00812	hps:HPSH_03500
ko:K12368	hps:HPSH_01545
ko:K12370	hps:HPSH_01555
ko:K07126	hps:HPSH_04330
ko:K13292	hps:HPSH_05035
ko:K00244	hps:HPSH_00985
ko:K03279	hps:HPSH_07215
ko:K03272	hps:HPSH_02520
ko:K11754	hps:HPSH_08060
ko:K00558	hps:HPSH_01840
ko:K00558	hps:HPSH_02555
ko:K00558	hps:HPSH_00250
ko:K00558	hps:HPSH_02375
ko:K00558	hps:HPSH_05770
ko:K02483	hps:HPSH_02100
ko:K02483	hps:HPSH_00835
ko:K11028	hps:HPSH_04675
ko:K07787	hps:HPSH_06870
ko:K12048	hps:HPSH_00205
ko:K12049	hps:HPSH_00200
ko:K12050	hps:HPSH_00195
ko:K12051	hps:HPSH_00190
ko:K12052	hps:HPSH_00185
ko:K12053	hps:HPSH_00090
ko:K00059	hps:HPSH_04070
ko:K00983	hps:HPSH_01695
ko:K12267	hps:HPSH_01160
ko:K12410	hps:HPSH_06525
ko:K07812	hps:HPSH_05370
ko:K01497	hps:HPSH_02805
ko:K18929	hps:HPSH_00695
ko:K11753	hps:HPSH_01875
ko:K00748	hps:HPSH_02475
ko:K01784	hps:HPSH_05615
ko:K13016	hps:HPSH_03470
ko:K01628	hps:HPSH_00565
ko:K12977	hps:HPSH_00110
ko:K00626	hps:HPSH_03405
ko:K04771	hps:HPSH_02220
ko:K11720	hps:HPSH_07675
ko:K03768	hps:HPSH_07375
ko:K12108	hps:HPSH_04165
ko:K04487	hps:HPSH_01140
ko:K02017	hps:HPSH_02340
ko:K03386	hps:HPSH_08145
