ko:K03741	fpk:IA06_07655
ko:K03564	fpk:IA06_05165
ko:K10773	fpk:IA06_05170
ko:K03088	fpk:IA06_05195
ko:K03701	fpk:IA06_05200
ko:K01424	fpk:IA06_05210
ko:K13282	fpk:IA06_05215
ko:K00790	fpk:IA06_09840
ko:K03786	fpk:IA06_09865
ko:K04763	fpk:IA06_09875
ko:K01892	fpk:IA06_09880
ko:K02004	fpk:IA06_09885
ko:K02493	fpk:IA06_09890
ko:K03828	fpk:IA06_09895
ko:K11752	fpk:IA06_09900
ko:K03975	fpk:IA06_09915
ko:K01673	fpk:IA06_09920
ko:K06876	fpk:IA06_09985
ko:K01669	fpk:IA06_09990
ko:K02956	fpk:IA06_10000
ko:K00962	fpk:IA06_10010
ko:K03086	fpk:IA06_10020
ko:K01783	fpk:IA06_10025
ko:K09933	fpk:IA06_10030
ko:K09117	fpk:IA06_10040
ko:K03531	fpk:IA06_10055
ko:K03590	fpk:IA06_10060
ko:K03589	fpk:IA06_10065
ko:K01924	fpk:IA06_10070
ko:K02563	fpk:IA06_10075
ko:K03588	fpk:IA06_10080
ko:K01925	fpk:IA06_10085
ko:K01000	fpk:IA06_10090
ko:K01928	fpk:IA06_10095
ko:K03587	fpk:IA06_10100
ko:K03438	fpk:IA06_10110
ko:K03925	fpk:IA06_10115
ko:K03978	fpk:IA06_10125
ko:K01916	fpk:IA06_10140
ko:K03790	fpk:IA06_02430
ko:K01627	fpk:IA06_02455
ko:K03446	fpk:IA06_02460
ko:K03543	fpk:IA06_02465
ko:K01695	fpk:IA06_02485
ko:K01696	fpk:IA06_02490
ko:K01817	fpk:IA06_02495
ko:K01609	fpk:IA06_02500
ko:K00766	fpk:IA06_02505
ko:K01658	fpk:IA06_02510
ko:K01657	fpk:IA06_02515
ko:K09812	fpk:IA06_02545
ko:K02014	fpk:IA06_02560
ko:K00133	fpk:IA06_02570
ko:K01953	fpk:IA06_02580
ko:K02470	fpk:IA06_02585
ko:K00024	fpk:IA06_02590
ko:K12257	fpk:IA06_02595
ko:K06878	fpk:IA06_02600
ko:K00263	fpk:IA06_02615
ko:K03625	fpk:IA06_02620
ko:K03210	fpk:IA06_02630
ko:K01591	fpk:IA06_02635
ko:K11754	fpk:IA06_02660
ko:K03561	fpk:IA06_02665
ko:K03559	fpk:IA06_02670
ko:K03655	fpk:IA06_07430
ko:K03657	fpk:IA06_07465
ko:K07107	fpk:IA06_07550
ko:K00606	fpk:IA06_07555
ko:K00077	fpk:IA06_07565
ko:K00626	fpk:IA06_07585
ko:K14652	fpk:IA06_07605
ko:K07091	fpk:IA06_07610
ko:K03466	fpk:IA06_07620
ko:K00901	fpk:IA06_07625
ko:K11065	fpk:IA06_07630
ko:K02536	fpk:IA06_07660
ko:K03116	fpk:IA06_12295
ko:K06959	fpk:IA06_12300
ko:K16264	fpk:IA06_12310
ko:K01808	fpk:IA06_12320
ko:K12573	fpk:IA06_12325
ko:K01633	fpk:IA06_12345
ko:K01886	fpk:IA06_12350
ko:K01885	fpk:IA06_12375
ko:K03495	fpk:IA06_12390
ko:K06142	fpk:IA06_12400
ko:K02341	fpk:IA06_12435
ko:K02517	fpk:IA06_03970
ko:K09807	fpk:IA06_03980
ko:K04043	fpk:IA06_03990
ko:K03657	fpk:IA06_04015
ko:K01354	fpk:IA06_04025
ko:K01697	fpk:IA06_04030
ko:K02836	fpk:IA06_04040
ko:K01620	fpk:IA06_04045
ko:K09747	fpk:IA06_04050
ko:K07462	fpk:IA06_04055
ko:K15726	fpk:IA06_04075
ko:K15727	fpk:IA06_04080
ko:K01752	fpk:IA06_04095
ko:K00606	fpk:IA06_04105
ko:K06180	fpk:IA06_04115
ko:K00128	fpk:IA06_04120
ko:K02887	fpk:IA06_04140
ko:K02916	fpk:IA06_04145
ko:K02520	fpk:IA06_04150
ko:K01868	fpk:IA06_04155
ko:K03702	fpk:IA06_04175
ko:K01903	fpk:IA06_04200
ko:K03386	fpk:IA06_04230
ko:K00405	fpk:IA06_04255
ko:K00404	fpk:IA06_04260
ko:K09810	fpk:IA06_04265
ko:K09808	fpk:IA06_04270
ko:K05807	fpk:IA06_08895
ko:K13038	fpk:IA06_08905
ko:K03631	fpk:IA06_08915
ko:K00209	fpk:IA06_08920
ko:K01972	fpk:IA06_08940
ko:K02939	fpk:IA06_08950
ko:K02963	fpk:IA06_08955
ko:K02990	fpk:IA06_08960
ko:K04066	fpk:IA06_08970
ko:K07058	fpk:IA06_08980
ko:K00767	fpk:IA06_08985
ko:K05916	fpk:IA06_08990
ko:K13771	fpk:IA06_08995
ko:K00783	fpk:IA06_09005
ko:K00951	fpk:IA06_09035
ko:K03437	fpk:IA06_09040
ko:K00031	fpk:IA06_09070
ko:K02884	fpk:IA06_09080
ko:K00554	fpk:IA06_09085
ko:K06147	fpk:IA06_09105
ko:K06871	fpk:IA06_09115
ko:K01284	fpk:IA06_09140
ko:K03664	fpk:IA06_09145
ko:K03790	fpk:IA06_09155
ko:K01951	fpk:IA06_09195
ko:K00228	fpk:IA06_00120
ko:K03790	fpk:IA06_00130
ko:K01599	fpk:IA06_00140
ko:K01719	fpk:IA06_00145
ko:K01749	fpk:IA06_00150
ko:K02492	fpk:IA06_00155
ko:K01772	fpk:IA06_00165
ko:K08973	fpk:IA06_00170
ko:K01715	fpk:IA06_00180
ko:K06950	fpk:IA06_00185
ko:K03921	fpk:IA06_00190
ko:K00655	fpk:IA06_00195
ko:K07025	fpk:IA06_00205
ko:K01874	fpk:IA06_00210
ko:K01297	fpk:IA06_00225
ko:K07460	fpk:IA06_00230
ko:K02557	fpk:IA06_00240
ko:K01142	fpk:IA06_00245
ko:K00058	fpk:IA06_00255
ko:K00286	fpk:IA06_00265
ko:K03841	fpk:IA06_01420
ko:K00928	fpk:IA06_01435
ko:K03646	fpk:IA06_01445
ko:K07007	fpk:IA06_01470
ko:K01597	fpk:IA06_01480
ko:K00869	fpk:IA06_01495
ko:K03179	fpk:IA06_01500
ko:K06178	fpk:IA06_01505
ko:K01963	fpk:IA06_01545
ko:K01624	fpk:IA06_01550
ko:K03437	fpk:IA06_01560
ko:K03183	fpk:IA06_01570
ko:K08999	fpk:IA06_01605
ko:K03522	fpk:IA06_01610
ko:K03521	fpk:IA06_01615
ko:K00162	fpk:IA06_01620
ko:K01507	fpk:IA06_01630
ko:K02337	fpk:IA06_01640
ko:K02959	fpk:IA06_01655
ko:K02860	fpk:IA06_01660
ko:K15460	fpk:IA06_01665
ko:K00252	fpk:IA06_01670
ko:K00942	fpk:IA06_01675
ko:K01760	fpk:IA06_01705
ko:K07658	fpk:IA06_01725
ko:K07636	fpk:IA06_01730
ko:K07478	fpk:IA06_06425
ko:K07025	fpk:IA06_06435
ko:K03630	fpk:IA06_06440
ko:K02558	fpk:IA06_06445
ko:K03979	fpk:IA06_06465
ko:K03699	fpk:IA06_06475
ko:K00939	fpk:IA06_06480
ko:K00760	fpk:IA06_06485
ko:K01589	fpk:IA06_06495
ko:K01588	fpk:IA06_06500
ko:K01284	fpk:IA06_06505
ko:K00281	fpk:IA06_06540
ko:K06886	fpk:IA06_06545
ko:K00648	fpk:IA06_06550
ko:K02066	fpk:IA06_06570
ko:K02065	fpk:IA06_06575
ko:K00971	fpk:IA06_06585
ko:K00627	fpk:IA06_06600
ko:K00161	fpk:IA06_06605
ko:K01489	fpk:IA06_06610
ko:K01929	fpk:IA06_06630
ko:K02968	fpk:IA06_06640
ko:K01881	fpk:IA06_06655
ko:K14441	fpk:IA06_06670
ko:K07636	fpk:IA06_06690
ko:K00940	fpk:IA06_06710
ko:K02653	fpk:IA06_11435
ko:K00128	fpk:IA06_11480
ko:K00946	fpk:IA06_11485
ko:K00833	fpk:IA06_11495
ko:K01935	fpk:IA06_11500
ko:K00748	fpk:IA06_11505
ko:K03787	fpk:IA06_11515
ko:K03797	fpk:IA06_11520
ko:K02238	fpk:IA06_11525
ko:K03305	fpk:IA06_11540
ko:K03305	fpk:IA06_11545
ko:K01278	fpk:IA06_11550
ko:K00054	fpk:IA06_11560
ko:K03797	fpk:IA06_11585
ko:K01759	fpk:IA06_11590
ko:K03814	fpk:IA06_11595
ko:K00684	fpk:IA06_11620
ko:K01246	fpk:IA06_11630
ko:K03177	fpk:IA06_11645
ko:K06153	fpk:IA06_11650
ko:K09811	fpk:IA06_11660
ko:K01869	fpk:IA06_11680
ko:K06973	fpk:IA06_11685
ko:K03624	fpk:IA06_11695
ko:K02503	fpk:IA06_11700
ko:K06213	fpk:IA06_00270
ko:K02528	fpk:IA06_00275
ko:K01875	fpk:IA06_00295
ko:K03322	fpk:IA06_00315
ko:K03709	fpk:IA06_00320
ko:K07394	fpk:IA06_00330
ko:K11749	fpk:IA06_00340
ko:K03111	fpk:IA06_00350
ko:K07386	fpk:IA06_00365
ko:K07152	fpk:IA06_00380
ko:K04758	fpk:IA06_00385
ko:K04759	fpk:IA06_00390
ko:K00241	fpk:IA06_00405
ko:K00239	fpk:IA06_00410
ko:K00240	fpk:IA06_00420
ko:K11031	fpk:IA06_00430
ko:K03802	fpk:IA06_05220
ko:K01278	fpk:IA06_05225
ko:K00876	fpk:IA06_05260
ko:K01847	fpk:IA06_05270
ko:K01847	fpk:IA06_05280
ko:K03100	fpk:IA06_05295
ko:K00215	fpk:IA06_05300
ko:K03497	fpk:IA06_05310
ko:K03496	fpk:IA06_05315
ko:K18707	fpk:IA06_05330
ko:K02909	fpk:IA06_05340
ko:K11085	fpk:IA06_05360
ko:K09888	fpk:IA06_05390
ko:K18682	fpk:IA06_05395
ko:K03572	fpk:IA06_05400
ko:K17686	fpk:IA06_05435
ko:K03921	fpk:IA06_05445
ko:K15862	fpk:IA06_05450
ko:K00406	fpk:IA06_05460
ko:K09792	fpk:IA06_05475
ko:K09794	fpk:IA06_05480
ko:K01681	fpk:IA06_05490
ko:K03924	fpk:IA06_05500
ko:K03771	fpk:IA06_05510
ko:K03771	fpk:IA06_05515
ko:K02837	fpk:IA06_05530
ko:K03088	fpk:IA06_10175
ko:K02523	fpk:IA06_10180
ko:K06941	fpk:IA06_10190
ko:K03116	fpk:IA06_10205
ko:K03544	fpk:IA06_10210
ko:K01358	fpk:IA06_10215
ko:K03545	fpk:IA06_10220
ko:K08972	fpk:IA06_10225
ko:K01990	fpk:IA06_10240
ko:K03474	fpk:IA06_10245
ko:K00858	fpk:IA06_10255
ko:K00806	fpk:IA06_10265
ko:K07277	fpk:IA06_10270
ko:K06142	fpk:IA06_10280
ko:K01776	fpk:IA06_10285
ko:K06888	fpk:IA06_10310
ko:K14742	fpk:IA06_10320
ko:K02276	fpk:IA06_10330
ko:K02276	fpk:IA06_10335
ko:K07152	fpk:IA06_10350
ko:K08976	fpk:IA06_10355
ko:K12340	fpk:IA06_10370
ko:K02005	fpk:IA06_10375
ko:K01619	fpk:IA06_10385
ko:K02437	fpk:IA06_10395
ko:K03550	fpk:IA06_10410
ko:K00029	fpk:IA06_10415
ko:K18979	fpk:IA06_10420
ko:K03551	fpk:IA06_10425
ko:K03294	fpk:IA06_10430
ko:K05794	fpk:IA06_02675
ko:K01915	fpk:IA06_02680
ko:K03088	fpk:IA06_02695
ko:K07114	fpk:IA06_02705
ko:K07000	fpk:IA06_02720
ko:K06158	fpk:IA06_02745
ko:K03327	fpk:IA06_02805
ko:K07588	fpk:IA06_02820
ko:K08223	fpk:IA06_02825
ko:K00104	fpk:IA06_02830
ko:K00428	fpk:IA06_02855
ko:K03070	fpk:IA06_02865
ko:K02003	fpk:IA06_02880
ko:K15738	fpk:IA06_02900
ko:K00658	fpk:IA06_02915
ko:K01495	fpk:IA06_02945
ko:K01883	fpk:IA06_02950
ko:K08998	fpk:IA06_02955
ko:K03524	fpk:IA06_02965
ko:K09710	fpk:IA06_02970
ko:K03798	fpk:IA06_02975
ko:K00981	fpk:IA06_02985
ko:K01613	fpk:IA06_02990
ko:K01911	fpk:IA06_07665
ko:K07052	fpk:IA06_07670
ko:K00537	fpk:IA06_07675
ko:K01679	fpk:IA06_07690
ko:K02429	fpk:IA06_07700
ko:K05786	fpk:IA06_07705
ko:K07391	fpk:IA06_07710
ko:K00134	fpk:IA06_07725
ko:K00850	fpk:IA06_07730
ko:K01409	fpk:IA06_07740
ko:K09761	fpk:IA06_07745
ko:K08641	fpk:IA06_07775
ko:K01665	fpk:IA06_07785
ko:K04075	fpk:IA06_07790
ko:K04084	fpk:IA06_07795
ko:K00674	fpk:IA06_07800
ko:K01711	fpk:IA06_07865
ko:K07566	fpk:IA06_07880
ko:K02259	fpk:IA06_07890
ko:K09858	fpk:IA06_04305
ko:K03585	fpk:IA06_04315
ko:K01895	fpk:IA06_04370
ko:K02342	fpk:IA06_04375
ko:K07182	fpk:IA06_04380
ko:K16053	fpk:IA06_04405
ko:K03574	fpk:IA06_04415
ko:K11755	fpk:IA06_04425
ko:K02500	fpk:IA06_04430
ko:K01814	fpk:IA06_04435
ko:K02501	fpk:IA06_04440
ko:K01089	fpk:IA06_04445
ko:K00817	fpk:IA06_04450
ko:K00013	fpk:IA06_04455
ko:K00765	fpk:IA06_04460
ko:K00059	fpk:IA06_04480
ko:K02343	fpk:IA06_04485
ko:K01524	fpk:IA06_04500
ko:K00937	fpk:IA06_04505
ko:K01902	fpk:IA06_04515
ko:K02536	fpk:IA06_04525
ko:K02356	fpk:IA06_04530
ko:K00677	fpk:IA06_04535
ko:K16363	fpk:IA06_04540
ko:K02536	fpk:IA06_04545
ko:K06885	fpk:IA06_04550
ko:K00979	fpk:IA06_04560
ko:K09954	fpk:IA06_09215
ko:K01937	fpk:IA06_09220
ko:K03217	fpk:IA06_09225
ko:K01939	fpk:IA06_09235
ko:K03711	fpk:IA06_09240
ko:K00573	fpk:IA06_09270
ko:K00074	fpk:IA06_09280
ko:K06997	fpk:IA06_09295
ko:K02342	fpk:IA06_09305
ko:K00791	fpk:IA06_09310
ko:K01258	fpk:IA06_09325
ko:K02835	fpk:IA06_09335
ko:K02014	fpk:IA06_09340
ko:K09939	fpk:IA06_09345
ko:K09001	fpk:IA06_09365
ko:K01270	fpk:IA06_09375
ko:K03885	fpk:IA06_09385
ko:K03088	fpk:IA06_09390
ko:K11942	fpk:IA06_09430
ko:K01872	fpk:IA06_09435
ko:K03744	fpk:IA06_09450
ko:K06872	fpk:IA06_09460
ko:K06147	fpk:IA06_09485
ko:K00500	fpk:IA06_09510
ko:K04485	fpk:IA06_00465
ko:K07017	fpk:IA06_00470
ko:K07027	fpk:IA06_00475
ko:K01579	fpk:IA06_00480
ko:K01918	fpk:IA06_00485
ko:K00703	fpk:IA06_00490
ko:K00820	fpk:IA06_00500
ko:K02112	fpk:IA06_00515
ko:K02114	fpk:IA06_00520
ko:K00652	fpk:IA06_00535
ko:K01889	fpk:IA06_00560
ko:K03558	fpk:IA06_00570
ko:K07114	fpk:IA06_00590
ko:K07114	fpk:IA06_00600
ko:K03924	fpk:IA06_00615
ko:K06193	fpk:IA06_00635
ko:K00057	fpk:IA06_00640
ko:K08325	fpk:IA06_00645
ko:K00969	fpk:IA06_00650
ko:K01810	fpk:IA06_00660
ko:K02897	fpk:IA06_00665
ko:K00948	fpk:IA06_00670
ko:K01262	fpk:IA06_00700
ko:K00639	fpk:IA06_00720
ko:K04564	fpk:IA06_00735
ko:K01866	fpk:IA06_00740
ko:K03046	fpk:IA06_05540
ko:K03043	fpk:IA06_05545
ko:K02935	fpk:IA06_05550
ko:K02864	fpk:IA06_05555
ko:K02863	fpk:IA06_05560
ko:K02867	fpk:IA06_05565
ko:K02601	fpk:IA06_05570
ko:K03073	fpk:IA06_05575
ko:K02358	fpk:IA06_05585
ko:K05808	fpk:IA06_05605
ko:K03733	fpk:IA06_05610
ko:K02970	fpk:IA06_05615
ko:K02342	fpk:IA06_05645
ko:K01697	fpk:IA06_05650
ko:K03470	fpk:IA06_05670
ko:K03801	fpk:IA06_05675
ko:K04567	fpk:IA06_05680
ko:K01845	fpk:IA06_05690
ko:K07107	fpk:IA06_05705
ko:K02313	fpk:IA06_05710
ko:K01104	fpk:IA06_05715
ko:K07056	fpk:IA06_05720
ko:K07082	fpk:IA06_05735
ko:K00657	fpk:IA06_05740
ko:K01778	fpk:IA06_05745
ko:K00134	fpk:IA06_05760
ko:K07164	fpk:IA06_05775
ko:K06182	fpk:IA06_05785
ko:K10716	fpk:IA06_05790
ko:K18831	fpk:IA06_05810
ko:K03442	fpk:IA06_05815
ko:K07137	fpk:IA06_05820
ko:K05995	fpk:IA06_10450
ko:K15633	fpk:IA06_10475
ko:K08151	fpk:IA06_10495
ko:K02040	fpk:IA06_01740
ko:K02037	fpk:IA06_01745
ko:K02038	fpk:IA06_01750
ko:K02036	fpk:IA06_01755
ko:K02039	fpk:IA06_01760
ko:K03439	fpk:IA06_01775
ko:K07443	fpk:IA06_01785
ko:K00184	fpk:IA06_01800
ko:K00185	fpk:IA06_01805
ko:K02275	fpk:IA06_01825
ko:K02274	fpk:IA06_01830
ko:K09946	fpk:IA06_01855
ko:K03502	fpk:IA06_01885
ko:K03503	fpk:IA06_01890
ko:K03555	fpk:IA06_01915
ko:K04773	fpk:IA06_01935
ko:K01448	fpk:IA06_01950
ko:K02527	fpk:IA06_01960
ko:K01784	fpk:IA06_01970
ko:K00645	fpk:IA06_01980
ko:K08289	fpk:IA06_01995
ko:K00812	fpk:IA06_02000
ko:K00508	fpk:IA06_02005
ko:K03501	fpk:IA06_02010
ko:K00294	fpk:IA06_02015
ko:K06195	fpk:IA06_02030
ko:K01265	fpk:IA06_02045
ko:K00432	fpk:IA06_06755
ko:K03270	fpk:IA06_06770
ko:K03179	fpk:IA06_06775
ko:K06287	fpk:IA06_06780
ko:K06173	fpk:IA06_06785
ko:K00796	fpk:IA06_06795
ko:K01803	fpk:IA06_06815
ko:K03110	fpk:IA06_06820
ko:K02913	fpk:IA06_06830
ko:K02902	fpk:IA06_06835
ko:K03742	fpk:IA06_06840
ko:K02342	fpk:IA06_06860
ko:K04762	fpk:IA06_06870
ko:K02825	fpk:IA06_06880
ko:K00891	fpk:IA06_06885
ko:K06443	fpk:IA06_06905
ko:K15746	fpk:IA06_06925
ko:K03088	fpk:IA06_06945
ko:K02014	fpk:IA06_06955
ko:K02226	fpk:IA06_06960
ko:K02233	fpk:IA06_06965
ko:K00768	fpk:IA06_06970
ko:K02231	fpk:IA06_06975
ko:K02016	fpk:IA06_06985
ko:K02015	fpk:IA06_06990
ko:K03088	fpk:IA06_07000
ko:K03832	fpk:IA06_07005
ko:K03644	fpk:IA06_07015
ko:K00134	fpk:IA06_07020
ko:K03783	fpk:IA06_07030
ko:K01372	fpk:IA06_11710
ko:K02014	fpk:IA06_11715
ko:K03269	fpk:IA06_11720
ko:K03718	fpk:IA06_11725
ko:K01610	fpk:IA06_11740
ko:K03536	fpk:IA06_11745
ko:K01961	fpk:IA06_11750
ko:K02160	fpk:IA06_11755
ko:K00648	fpk:IA06_11760
ko:K02911	fpk:IA06_11765
ko:K00097	fpk:IA06_11775
ko:K00793	fpk:IA06_11780
ko:K02426	fpk:IA06_11800
ko:K11717	fpk:IA06_11810
ko:K09015	fpk:IA06_11820
ko:K09013	fpk:IA06_11825
ko:K09014	fpk:IA06_11830
ko:K13628	fpk:IA06_11835
ko:K04755	fpk:IA06_11860
ko:K13789	fpk:IA06_11890
ko:K00164	fpk:IA06_11905
ko:K00658	fpk:IA06_11910
ko:K08151	fpk:IA06_11915
ko:K03665	fpk:IA06_11935
ko:K02004	fpk:IA06_11940
ko:K00602	fpk:IA06_11945
ko:K03569	fpk:IA06_11950
ko:K03570	fpk:IA06_11955
ko:K05515	fpk:IA06_11965
ko:K05837	fpk:IA06_11970
ko:K01173	fpk:IA06_11975
ko:K00773	fpk:IA06_03010
ko:K11720	fpk:IA06_03015
ko:K01962	fpk:IA06_03025
ko:K00384	fpk:IA06_03035
ko:K03549	fpk:IA06_03060
ko:K03088	fpk:IA06_03080
ko:K03650	fpk:IA06_03090
ko:K09810	fpk:IA06_03100
ko:K07304	fpk:IA06_03105
ko:K01495	fpk:IA06_03110
ko:K00058	fpk:IA06_03135
ko:K00831	fpk:IA06_03140
ko:K06942	fpk:IA06_03160
ko:K02014	fpk:IA06_03165
ko:K02622	fpk:IA06_03170
ko:K02621	fpk:IA06_03185
ko:K06180	fpk:IA06_03200
ko:K01921	fpk:IA06_03210
ko:K00954	fpk:IA06_03215
ko:K02361	fpk:IA06_03240
ko:K00762	fpk:IA06_03265
ko:K01992	fpk:IA06_03290
ko:K01990	fpk:IA06_03295
ko:K03686	fpk:IA06_03300
ko:K03111	fpk:IA06_07985
ko:K03575	fpk:IA06_07990
ko:K03530	fpk:IA06_07995
ko:K08301	fpk:IA06_08000
ko:K03593	fpk:IA06_08005
ko:K00384	fpk:IA06_08015
ko:K02551	fpk:IA06_08045
ko:K03823	fpk:IA06_08050
ko:K02687	fpk:IA06_08060
ko:K06891	fpk:IA06_08065
ko:K07112	fpk:IA06_08085
ko:K07112	fpk:IA06_08090
ko:K07646	fpk:IA06_08110
ko:K01548	fpk:IA06_08120
ko:K01547	fpk:IA06_08125
ko:K01546	fpk:IA06_08130
ko:K00812	fpk:IA06_08150
ko:K01873	fpk:IA06_08165
ko:K01479	fpk:IA06_08175
ko:K11927	fpk:IA06_08180
ko:K03744	fpk:IA06_08185
ko:K00275	fpk:IA06_08195
ko:K00784	fpk:IA06_08200
ko:K00318	fpk:IA06_08205
ko:K01735	fpk:IA06_08210
ko:K01585	fpk:IA06_08220
ko:K00809	fpk:IA06_08225
ko:K07316	fpk:IA06_10645
ko:K09808	fpk:IA06_10795
ko:K11537	fpk:IA06_08235
ko:K00945	fpk:IA06_08240
ko:K01338	fpk:IA06_08250
ko:K06902	fpk:IA06_08255
ko:K10254	fpk:IA06_04630
ko:K00074	fpk:IA06_04635
ko:K10254	fpk:IA06_04640
ko:K03306	fpk:IA06_04650
ko:K07220	fpk:IA06_04655
ko:K06910	fpk:IA06_04680
ko:K01256	fpk:IA06_04690
ko:K03655	fpk:IA06_04700
ko:K01669	fpk:IA06_04720
ko:K08303	fpk:IA06_04795
ko:K11381	fpk:IA06_04800
ko:K03113	fpk:IA06_04815
ko:K00757	fpk:IA06_04820
ko:K03648	fpk:IA06_04850
ko:K07456	fpk:IA06_04855
ko:K01890	fpk:IA06_04865
ko:K06937	fpk:IA06_04880
ko:K01712	fpk:IA06_09525
ko:K03977	fpk:IA06_09550
ko:K06158	fpk:IA06_09580
ko:K03168	fpk:IA06_09640
ko:K06168	fpk:IA06_09660
ko:K03075	fpk:IA06_09680
ko:K04078	fpk:IA06_09685
ko:K04077	fpk:IA06_09695
ko:K02914	fpk:IA06_09705
ko:K01955	fpk:IA06_09710
ko:K08715	fpk:IA06_09715
ko:K09760	fpk:IA06_09730
ko:K06181	fpk:IA06_09735
ko:K03216	fpk:IA06_09740
ko:K02013	fpk:IA06_09745
ko:K00075	fpk:IA06_09750
ko:K01953	fpk:IA06_09755
ko:K03629	fpk:IA06_09775
ko:K00794	fpk:IA06_09785
ko:K00826	fpk:IA06_09800
ko:K07735	fpk:IA06_09805
ko:K03530	fpk:IA06_09810
ko:K00604	fpk:IA06_09815
ko:K03654	fpk:IA06_09820
ko:K09158	fpk:IA06_09830
ko:K01465	fpk:IA06_00755
ko:K00721	fpk:IA06_00760
ko:K01719	fpk:IA06_00815
ko:K13766	fpk:IA06_00820
ko:K15034	fpk:IA06_00825
ko:K03811	fpk:IA06_00835
ko:K07094	fpk:IA06_00840
ko:K01251	fpk:IA06_00850
