ko:K01699	lmod:LMON_1146
ko:K03523	lmod:LMON_0599
ko:K10947	lmod:LMON_0600
ko:K06147	lmod:LMON_0608
ko:K06147	lmod:LMON_0609
ko:K01118	lmod:LMON_0612
ko:K02761	lmod:LMON_0908
ko:K03492	lmod:LMON_0909
ko:K00383	lmod:LMON_0913
ko:K00135	lmod:LMON_0920
ko:K02760	lmod:LMON_0921
ko:K02761	lmod:LMON_0922
ko:K02759	lmod:LMON_0923
ko:K01223	lmod:LMON_0924
ko:K03491	lmod:LMON_0925
ko:K07089	lmod:LMON_0927
ko:K08986	lmod:LMON_0928
ko:K00867	lmod:LMON_0929
ko:K03652	lmod:LMON_0934
ko:K03800	lmod:LMON_0937
ko:K03216	lmod:LMON_0942
ko:K01104	lmod:LMON_0945
ko:K04079	lmod:LMON_0949
ko:K04047	lmod:LMON_0950
ko:K03449	lmod:LMON_0954
ko:K02357	lmod:LMON_1724
ko:K02967	lmod:LMON_1725
ko:K01869	lmod:LMON_1727
ko:K07139	lmod:LMON_1728
ko:K01953	lmod:LMON_1730
ko:K00789	lmod:LMON_1731
ko:K00016	lmod:LMON_1734
ko:K08998	lmod:LMON_1737
ko:K09815	lmod:LMON_1738
ko:K01911	lmod:LMON_1739
ko:K01661	lmod:LMON_1740
ko:K08680	lmod:LMON_1741
ko:K02551	lmod:LMON_1742
ko:K02552	lmod:LMON_1743
ko:K02548	lmod:LMON_1744
ko:K01760	lmod:LMON_1746
ko:K00549	lmod:LMON_1748
ko:K09825	lmod:LMON_1750
ko:K01845	lmod:LMON_1752
ko:K01803	lmod:LMON_2468
ko:K00927	lmod:LMON_2469
ko:K00134	lmod:LMON_2470
ko:K05311	lmod:LMON_2471
ko:K03092	lmod:LMON_2472
ko:K01273	lmod:LMON_2473
ko:K06994	lmod:LMON_2474
ko:K01358	lmod:LMON_2479
ko:K09762	lmod:LMON_2484
ko:K06958	lmod:LMON_2486
ko:K01835	lmod:LMON_2487
ko:K01785	lmod:LMON_2488
ko:K01784	lmod:LMON_2489
ko:K00384	lmod:LMON_2490
ko:K06019	lmod:LMON_2493
ko:K13292	lmod:LMON_2494
ko:K06023	lmod:LMON_2495
ko:K08972	lmod:LMON_2496
ko:K03701	lmod:LMON_2500
ko:K03702	lmod:LMON_2501
ko:K07023	lmod:LMON_2503
ko:K02039	lmod:LMON_2506
ko:K02036	lmod:LMON_2507
ko:K02036	lmod:LMON_2508
ko:K02038	lmod:LMON_2509
ko:K02037	lmod:LMON_2510
ko:K02040	lmod:LMON_2511
ko:K07636	lmod:LMON_2512
ko:K07658	lmod:LMON_2513
ko:K06131	lmod:LMON_2515
ko:K01443	lmod:LMON_0963
ko:K02564	lmod:LMON_0964
ko:K03710	lmod:LMON_0965
ko:K02851	lmod:LMON_0966
ko:K08303	lmod:LMON_0968
ko:K03744	lmod:LMON_0969
ko:K03799	lmod:LMON_0970
ko:K07816	lmod:LMON_0974
ko:K00858	lmod:LMON_0975
ko:K06180	lmod:LMON_0976
ko:K00208	lmod:LMON_0977
ko:K03740	lmod:LMON_0978
ko:K14188	lmod:LMON_0980
ko:K03739	lmod:LMON_0981
ko:K03367	lmod:LMON_0982
ko:K01807	lmod:LMON_0984
ko:K00826	lmod:LMON_0987
ko:K01990	lmod:LMON_0988
ko:K01992	lmod:LMON_0989
ko:K00432	lmod:LMON_0992
ko:K11050	lmod:LMON_0995
ko:K11051	lmod:LMON_0996
ko:K02837	lmod:LMON_0997
ko:K00567	lmod:LMON_1005
ko:K03697	lmod:LMON_1006
ko:K07052	lmod:LMON_1007
ko:K10027	lmod:LMON_1009
ko:K07586	lmod:LMON_1754
ko:K10780	lmod:LMON_1755
ko:K03575	lmod:LMON_1756
ko:K07038	lmod:LMON_1757
ko:K03565	lmod:LMON_1760
ko:K07071	lmod:LMON_1761
ko:K14205	lmod:LMON_1762
ko:K03790	lmod:LMON_1765
ko:K07058	lmod:LMON_1773
ko:K01265	lmod:LMON_1776
ko:K03839	lmod:LMON_1777
ko:K03569	lmod:LMON_1780
ko:K09963	lmod:LMON_1783
ko:K02759	lmod:LMON_1784
ko:K02760	lmod:LMON_1785
ko:K01990	lmod:LMON_1789
ko:K02529	lmod:LMON_1792
ko:K05349	lmod:LMON_1794
ko:K02025	lmod:LMON_1796
ko:K00266	lmod:LMON_1799
ko:K00265	lmod:LMON_1800
ko:K09811	lmod:LMON_2518
ko:K09812	lmod:LMON_2519
ko:K02836	lmod:LMON_2521
ko:K03070	lmod:LMON_2522
ko:K02242	lmod:LMON_2524
ko:K02240	lmod:LMON_2525
ko:K07692	lmod:LMON_2527
ko:K02851	lmod:LMON_2531
ko:K02549	lmod:LMON_2532
ko:K05946	lmod:LMON_2533
ko:K02372	lmod:LMON_2537
ko:K03569	lmod:LMON_2538
ko:K00790	lmod:LMON_2539
ko:K02114	lmod:LMON_2541
ko:K02112	lmod:LMON_2542
ko:K02115	lmod:LMON_2543
ko:K02111	lmod:LMON_2544
ko:K02113	lmod:LMON_2545
ko:K02109	lmod:LMON_2546
ko:K02110	lmod:LMON_2547
ko:K02108	lmod:LMON_2548
ko:K02116	lmod:LMON_2549
ko:K00761	lmod:LMON_2552
ko:K00600	lmod:LMON_2553
ko:K07566	lmod:LMON_2555
ko:K02493	lmod:LMON_2557
ko:K02835	lmod:LMON_2558
ko:K00872	lmod:LMON_2560
ko:K01733	lmod:LMON_2561
ko:K00003	lmod:LMON_2562
ko:K02909	lmod:LMON_2563
ko:K03628	lmod:LMON_2566
ko:K02897	lmod:LMON_0209
ko:K01056	lmod:LMON_0211
ko:K03723	lmod:LMON_0212
ko:K07571	lmod:LMON_0216
ko:K03798	lmod:LMON_0218
ko:K03525	lmod:LMON_0219
ko:K04083	lmod:LMON_0220
ko:K01738	lmod:LMON_0221
ko:K00796	lmod:LMON_0223
ko:K01633	lmod:LMON_0224
ko:K00950	lmod:LMON_0225
ko:K04567	lmod:LMON_0228
ko:K03708	lmod:LMON_0229
ko:K03696	lmod:LMON_0232
ko:K04485	lmod:LMON_0233
ko:K00991	lmod:LMON_0236
ko:K01770	lmod:LMON_0237
ko:K09698	lmod:LMON_0238
ko:K00640	lmod:LMON_0239
ko:K01883	lmod:LMON_0240
ko:K11145	lmod:LMON_0241
ko:K03218	lmod:LMON_0242
ko:K06962	lmod:LMON_0243
ko:K03091	lmod:LMON_0244
ko:K03073	lmod:LMON_0245
ko:K02601	lmod:LMON_0246
ko:K02867	lmod:LMON_0248
ko:K00806	lmod:LMON_1378
ko:K00981	lmod:LMON_1379
ko:K00099	lmod:LMON_1380
ko:K11749	lmod:LMON_1381
ko:K01881	lmod:LMON_1382
ko:K03763	lmod:LMON_1383
ko:K09748	lmod:LMON_1384
ko:K02600	lmod:LMON_1385
ko:K07742	lmod:LMON_1386
ko:K02519	lmod:LMON_1388
ko:K09764	lmod:LMON_1389
ko:K02834	lmod:LMON_1390
ko:K03177	lmod:LMON_1391
ko:K11753	lmod:LMON_1392
ko:K02956	lmod:LMON_1393
ko:K00962	lmod:LMON_1394
ko:K06949	lmod:LMON_1395
ko:K02913	lmod:LMON_1398
ko:K01934	lmod:LMON_1399
ko:K00845	lmod:LMON_1402
ko:K02249	lmod:LMON_1404
ko:K02248	lmod:LMON_1405
ko:K02247	lmod:LMON_1406
ko:K02246	lmod:LMON_1407
ko:K02245	lmod:LMON_1408
ko:K02244	lmod:LMON_1409
ko:K02243	lmod:LMON_1410
ko:K00605	lmod:LMON_1411
ko:K00282	lmod:LMON_1412
ko:K00283	lmod:LMON_1413
ko:K01262	lmod:LMON_1417
ko:K02356	lmod:LMON_1418
ko:K02160	lmod:LMON_1419
ko:K01961	lmod:LMON_1420
ko:K03625	lmod:LMON_1422
ko:K01491	lmod:LMON_1423
ko:K03601	lmod:LMON_1424
ko:K03602	lmod:LMON_1425
ko:K13789	lmod:LMON_1426
ko:K04077	lmod:LMON_2138
ko:K04078	lmod:LMON_2139
ko:K07052	lmod:LMON_2140
ko:K01926	lmod:LMON_2142
ko:K06158	lmod:LMON_2143
ko:K06889	lmod:LMON_2144
ko:K01409	lmod:LMON_2146
ko:K03789	lmod:LMON_2147
ko:K06925	lmod:LMON_2149
ko:K06199	lmod:LMON_2152
ko:K06199	lmod:LMON_2153
ko:K01940	lmod:LMON_2161
ko:K01755	lmod:LMON_2162
ko:K05020	lmod:LMON_2163
ko:K01628	lmod:LMON_2165
ko:K00882	lmod:LMON_2166
ko:K02775	lmod:LMON_2167
ko:K02774	lmod:LMON_2168
ko:K02773	lmod:LMON_2169
ko:K06215	lmod:LMON_2172
ko:K08681	lmod:LMON_2173
ko:K00625	lmod:LMON_2176
ko:K04758	lmod:LMON_2177
ko:K04759	lmod:LMON_2178
ko:K07098	lmod:LMON_2180
ko:K01443	lmod:LMON_2182
ko:K01809	lmod:LMON_2184
ko:K11189	lmod:LMON_1011
ko:K08483	lmod:LMON_1012
ko:K00841	lmod:LMON_1015
ko:K05822	lmod:LMON_1020
ko:K05823	lmod:LMON_1021
ko:K02000	lmod:LMON_1024
ko:K02001	lmod:LMON_1025
ko:K02002	lmod:LMON_1026
ko:K06201	lmod:LMON_1028
ko:K00243	lmod:LMON_1029
ko:K11622	lmod:LMON_1030
ko:K11617	lmod:LMON_1031
ko:K11618	lmod:LMON_1032
ko:K03499	lmod:LMON_1033
ko:K02529	lmod:LMON_1040
ko:K00615	lmod:LMON_1042
ko:K00615	lmod:LMON_1043
ko:K00864	lmod:LMON_1044
ko:K02755	lmod:LMON_1045
ko:K02756	lmod:LMON_1045
ko:K02757	lmod:LMON_1045
ko:K03752	lmod:LMON_1048
ko:K02017	lmod:LMON_1049
ko:K02018	lmod:LMON_1050
ko:K02020	lmod:LMON_1051
ko:K03750	lmod:LMON_1052
ko:K03753	lmod:LMON_1053
ko:K03635	lmod:LMON_1054
ko:K03636	lmod:LMON_1055
ko:K03637	lmod:LMON_1056
ko:K03639	lmod:LMON_1057
ko:K03638	lmod:LMON_1058
ko:K08317	lmod:LMON_1803
ko:K02030	lmod:LMON_1804
ko:K02028	lmod:LMON_1805
ko:K02029	lmod:LMON_1806
ko:K01486	lmod:LMON_1808
ko:K02004	lmod:LMON_1812
ko:K02003	lmod:LMON_1814
ko:K00891	lmod:LMON_1816
ko:K03215	lmod:LMON_1818
ko:K02434	lmod:LMON_1821
ko:K02433	lmod:LMON_1822
ko:K02435	lmod:LMON_1823
ko:K01972	lmod:LMON_1825
ko:K03657	lmod:LMON_1826
ko:K07094	lmod:LMON_1827
ko:K03308	lmod:LMON_1828
ko:K01945	lmod:LMON_1831
ko:K00602	lmod:LMON_1832
ko:K11175	lmod:LMON_1833
ko:K01933	lmod:LMON_1834
ko:K00764	lmod:LMON_1835
ko:K01952	lmod:LMON_1836
ko:K01952	lmod:LMON_1837
ko:K01952	lmod:LMON_1838
ko:K01923	lmod:LMON_1839
ko:K01756	lmod:LMON_1840
ko:K01589	lmod:LMON_1841
ko:K01588	lmod:LMON_1842
ko:K06950	lmod:LMON_1844
ko:K02013	lmod:LMON_1845
ko:K01258	lmod:LMON_1847
ko:K00790	lmod:LMON_2567
ko:K07027	lmod:LMON_2568
ko:K13678	lmod:LMON_2569
ko:K01937	lmod:LMON_2574
ko:K03048	lmod:LMON_2575
ko:K01887	lmod:LMON_2576
ko:K01821	lmod:LMON_2579
ko:K06885	lmod:LMON_2580
ko:K02035	lmod:LMON_2584
ko:K08281	lmod:LMON_2586
ko:K16264	lmod:LMON_2590
ko:K02003	lmod:LMON_2596
ko:K02004	lmod:LMON_2597
ko:K02379	lmod:LMON_2600
ko:K00123	lmod:LMON_2602
ko:K03593	lmod:LMON_2606
ko:K02863	lmod:LMON_0249
ko:K02864	lmod:LMON_0250
ko:K02935	lmod:LMON_0251
ko:K00564	lmod:LMON_0253
ko:K03043	lmod:LMON_0255
ko:K03046	lmod:LMON_0256
ko:K01223	lmod:LMON_0258
ko:K01439	lmod:LMON_0263
ko:K15975	lmod:LMON_0265
ko:K02034	lmod:LMON_0267
ko:K01223	lmod:LMON_0269
ko:K10112	lmod:LMON_0276
ko:K01990	lmod:LMON_0279
ko:K01992	lmod:LMON_0280
ko:K02072	lmod:LMON_0285
ko:K02071	lmod:LMON_0286
ko:K02073	lmod:LMON_0287
ko:K08969	lmod:LMON_0288
ko:K07668	lmod:LMON_0289
ko:K07652	lmod:LMON_0290
ko:K00783	lmod:LMON_0296
ko:K01154	lmod:LMON_0301
ko:K01126	lmod:LMON_0617
ko:K07090	lmod:LMON_0622
ko:K11203	lmod:LMON_0633
ko:K11202	lmod:LMON_0634
ko:K07025	lmod:LMON_0636
ko:K03704	lmod:LMON_1427
ko:K01662	lmod:LMON_1428
ko:K06442	lmod:LMON_1429
ko:K03402	lmod:LMON_1430
ko:K03631	lmod:LMON_1431
ko:K00929	lmod:LMON_1433
ko:K00382	lmod:LMON_1434
ko:K00166	lmod:LMON_1435
ko:K00167	lmod:LMON_1436
ko:K09699	lmod:LMON_1437
ko:K00033	lmod:LMON_1439
ko:K03217	lmod:LMON_1442
ko:K01512	lmod:LMON_1443
ko:K01823	lmod:LMON_1445
ko:K07146	lmod:LMON_1446
ko:K03466	lmod:LMON_1448
ko:K00286	lmod:LMON_1449
ko:K07335	lmod:LMON_1450
ko:K02056	lmod:LMON_1451
ko:K02057	lmod:LMON_1452
