ko:K19744	paeg:AI22_28105
ko:K02029	paeg:AI22_06095
ko:K02030	paeg:AI22_06100
ko:K02028	paeg:AI22_06105
ko:K03575	paeg:AI22_06135
ko:K07289	paeg:AI22_06140
ko:K01693	paeg:AI22_06160
ko:K02501	paeg:AI22_06165
ko:K01814	paeg:AI22_06175
ko:K02500	paeg:AI22_06180
ko:K02030	paeg:AI22_06185
ko:K09798	paeg:AI22_06205
ko:K03797	paeg:AI22_06210
ko:K07052	paeg:AI22_06225
ko:K15633	paeg:AI22_06230
ko:K03071	paeg:AI22_06245
ko:K03216	paeg:AI22_06250
ko:K07712	paeg:AI22_06260
ko:K07708	paeg:AI22_06265
ko:K03924	paeg:AI22_10555
ko:K01141	paeg:AI22_10585
ko:K01433	paeg:AI22_10595
ko:K06986	paeg:AI22_10610
ko:K14335	paeg:AI22_10615
ko:K03406	paeg:AI22_10620
ko:K03406	paeg:AI22_10625
ko:K06915	paeg:AI22_10630
ko:K03406	paeg:AI22_10635
ko:K02651	paeg:AI22_10640
ko:K02279	paeg:AI22_10645
ko:K02280	paeg:AI22_10650
ko:K02282	paeg:AI22_10655
ko:K02283	paeg:AI22_10660
ko:K12510	paeg:AI22_10665
ko:K12511	paeg:AI22_10670
ko:K02278	paeg:AI22_10695
ko:K16322	paeg:AI22_10710
ko:K03406	paeg:AI22_10720
ko:K07240	paeg:AI22_10725
ko:K03583	paeg:AI22_10745
ko:K03582	paeg:AI22_10750
ko:K03581	paeg:AI22_10755
ko:K03547	paeg:AI22_10765
ko:K14162	paeg:AI22_10805
ko:K14161	paeg:AI22_10810
ko:K11903	paeg:AI22_15115
ko:K01483	paeg:AI22_15125
ko:K01477	paeg:AI22_15130
ko:K07127	paeg:AI22_15145
ko:K06901	paeg:AI22_15150
ko:K03684	paeg:AI22_15165
ko:K09902	paeg:AI22_15170
ko:K09160	paeg:AI22_15190
ko:K03088	paeg:AI22_15195
ko:K16087	paeg:AI22_15205
ko:K03100	paeg:AI22_15210
ko:K01354	paeg:AI22_15215
ko:K03430	paeg:AI22_15245
ko:K05306	paeg:AI22_15250
ko:K02297	paeg:AI22_15280
ko:K02298	paeg:AI22_15285
ko:K02299	paeg:AI22_15290
ko:K02300	paeg:AI22_15295
ko:K16090	paeg:AI22_15305
ko:K01754	paeg:AI22_15325
ko:K01173	paeg:AI22_15330
ko:K10680	paeg:AI22_15365
ko:K17061	paeg:AI22_15370
ko:K17060	paeg:AI22_15375
ko:K05597	paeg:AI22_15380
ko:K07267	paeg:AI22_19690
ko:K02049	paeg:AI22_19705
ko:K02050	paeg:AI22_19710
ko:K02051	paeg:AI22_19715
ko:K03710	paeg:AI22_19730
ko:K02050	paeg:AI22_19770
ko:K02049	paeg:AI22_19775
ko:K02051	paeg:AI22_19780
ko:K03119	paeg:AI22_19785
ko:K09471	paeg:AI22_19820
ko:K06995	paeg:AI22_19825
ko:K06145	paeg:AI22_19830
ko:K00851	paeg:AI22_19835
ko:K03299	paeg:AI22_19840
ko:K00131	paeg:AI22_19850
ko:K02050	paeg:AI22_19870
ko:K02051	paeg:AI22_19875
ko:K02049	paeg:AI22_19880
ko:K02014	paeg:AI22_19910
ko:K10227	paeg:AI22_19925
ko:K10228	paeg:AI22_19930
ko:K10229	paeg:AI22_19935
ko:K10111	paeg:AI22_19940
ko:K00045	paeg:AI22_19945
ko:K00854	paeg:AI22_19950
ko:K00847	paeg:AI22_19955
ko:K17218	paeg:AI22_19960
ko:K00219	paeg:AI22_23940
ko:K02462	paeg:AI22_23975
ko:K02461	paeg:AI22_23980
ko:K02460	paeg:AI22_23985
ko:K02459	paeg:AI22_23990
ko:K02458	paeg:AI22_23995
ko:K02457	paeg:AI22_24000
ko:K02456	paeg:AI22_24005
ko:K02455	paeg:AI22_24010
ko:K02454	paeg:AI22_24015
ko:K02452	paeg:AI22_24020
ko:K02453	paeg:AI22_24025
ko:K10764	paeg:AI22_24035
ko:K00764	paeg:AI22_24040
ko:K03558	paeg:AI22_24045
ko:K03749	paeg:AI22_24050
ko:K11754	paeg:AI22_24055
ko:K01963	paeg:AI22_24060
ko:K01817	paeg:AI22_24065
ko:K06173	paeg:AI22_24070
ko:K08086	paeg:AI22_24075
ko:K00133	paeg:AI22_24085
ko:K00052	paeg:AI22_24090
ko:K01704	paeg:AI22_24100
ko:K01703	paeg:AI22_24105
ko:K04080	paeg:AI22_24130
ko:K05541	paeg:AI22_24145
ko:K07107	paeg:AI22_24150
ko:K01625	paeg:AI22_24155
ko:K01885	paeg:AI22_24190
ko:K03543	paeg:AI22_24200
ko:K03446	paeg:AI22_24205
ko:K00666	paeg:AI22_28405
ko:K00626	paeg:AI22_28410
ko:K00426	paeg:AI22_28430
ko:K00425	paeg:AI22_28435
ko:K02073	paeg:AI22_28440
ko:K02168	paeg:AI22_28450
ko:K03119	paeg:AI22_28460
ko:K15552	paeg:AI22_28465
ko:K10831	paeg:AI22_28470
ko:K15551	paeg:AI22_28475
ko:K03530	paeg:AI22_28485
ko:K10805	paeg:AI22_28495
ko:K07679	paeg:AI22_28515
ko:K07690	paeg:AI22_28525
ko:K07007	paeg:AI22_28530
ko:K09945	paeg:AI22_28545
ko:K17228	paeg:AI22_28555
ko:K03579	paeg:AI22_28590
ko:K03719	paeg:AI22_28610
ko:K06181	paeg:AI22_28625
ko:K01241	paeg:AI22_28640
ko:K09456	paeg:AI22_28650
ko:K00941	paeg:AI22_28665
ko:K00788	paeg:AI22_28670
ko:K01845	paeg:AI22_28675
ko:K02004	paeg:AI22_22750
ko:K04760	paeg:AI22_22755
ko:K01975	paeg:AI22_22765
ko:K15977	paeg:AI22_22780
ko:K03424	paeg:AI22_22790
ko:K06142	paeg:AI22_26730
ko:K07277	paeg:AI22_26735
ko:K11749	paeg:AI22_26740
ko:K00099	paeg:AI22_26745
ko:K00981	paeg:AI22_26750
ko:K00806	paeg:AI22_26755
ko:K02838	paeg:AI22_26760
ko:K09903	paeg:AI22_26765
ko:K02357	paeg:AI22_26770
ko:K02967	paeg:AI22_26775
ko:K01265	paeg:AI22_26780
ko:K00990	paeg:AI22_26785
ko:K14267	paeg:AI22_26790
ko:K03316	paeg:AI22_26795
ko:K06940	paeg:AI22_26810
ko:K00674	paeg:AI22_26825
ko:K01766	paeg:AI22_26830
ko:K02426	paeg:AI22_26835
ko:K01992	paeg:AI22_26850
ko:K01990	paeg:AI22_26855
ko:K00631	paeg:AI22_26860
ko:K09914	paeg:AI22_26865
ko:K15984	paeg:AI22_26895
ko:K00939	paeg:AI22_26925
ko:K01595	paeg:AI22_26930
ko:K01534	paeg:AI22_26945
ko:K06889	paeg:AI22_26970
ko:K04567	paeg:AI22_26995
ko:K08368	paeg:AI22_00025
ko:K01714	paeg:AI22_00030
ko:K02028	paeg:AI22_00050
ko:K02029	paeg:AI22_00055
ko:K02029	paeg:AI22_00060
ko:K02030	paeg:AI22_00065
ko:K00666	paeg:AI22_00080
ko:K01921	paeg:AI22_00095
ko:K00459	paeg:AI22_00100
ko:K01626	paeg:AI22_00150
ko:K13063	paeg:AI22_00160
ko:K06998	paeg:AI22_00165
ko:K16088	paeg:AI22_00195
ko:K06147	paeg:AI22_00200
ko:K12243	paeg:AI22_00225
ko:K04782	paeg:AI22_00240
ko:K03701	paeg:AI22_00260
ko:K03594	paeg:AI22_00265
ko:K03781	paeg:AI22_00270
ko:K02879	paeg:AI22_00275
ko:K03040	paeg:AI22_00280
ko:K02986	paeg:AI22_00285
ko:K02948	paeg:AI22_00290
ko:K02952	paeg:AI22_00295
ko:K02919	paeg:AI22_00300
ko:K03076	paeg:AI22_00305
ko:K08303	paeg:AI22_04600
ko:K00036	paeg:AI22_04605
ko:K18138	paeg:AI22_01740
ko:K03585	paeg:AI22_01745
ko:K00274	paeg:AI22_01765
ko:K00833	paeg:AI22_01770
ko:K09761	paeg:AI22_01775
ko:K06598	paeg:AI22_01795
ko:K06597	paeg:AI22_01800
ko:K02487	paeg:AI22_01805
ko:K06596	paeg:AI22_01805
ko:K02660	paeg:AI22_01815
ko:K02659	paeg:AI22_01820
ko:K02658	paeg:AI22_01825
ko:K02657	paeg:AI22_01830
ko:K01920	paeg:AI22_01835
ko:K03832	paeg:AI22_01840
ko:K07735	paeg:AI22_01845
ko:K07447	paeg:AI22_01850
ko:K02825	paeg:AI22_01855
ko:K00609	paeg:AI22_01860
ko:K01465	paeg:AI22_01865
ko:K01758	paeg:AI22_01870
ko:K01697	paeg:AI22_01875
ko:K16264	paeg:AI22_01885
ko:K02670	paeg:AI22_01890
ko:K02669	paeg:AI22_01895
ko:K06997	paeg:AI22_01900
ko:K00286	paeg:AI22_01905
ko:K02221	paeg:AI22_01910
ko:K09131	paeg:AI22_01915
ko:K00641	paeg:AI22_01925
ko:K02428	paeg:AI22_01940
ko:K03439	paeg:AI22_01965
ko:K03149	paeg:AI22_01970
ko:K03154	paeg:AI22_01975
ko:K03814	paeg:AI22_01985
ko:K03089	paeg:AI22_01995
ko:K09811	paeg:AI22_02000
ko:K09812	paeg:AI22_02005
ko:K03110	paeg:AI22_02010
ko:K07263	paeg:AI22_02015
ko:K07263	paeg:AI22_02020
ko:K01915	paeg:AI22_06290
ko:K03151	paeg:AI22_06295
ko:K06207	paeg:AI22_06300
ko:K12686	paeg:AI22_06325
ko:K01759	paeg:AI22_06330
ko:K03841	paeg:AI22_06335
ko:K03098	paeg:AI22_06350
ko:K05603	paeg:AI22_06355
ko:K05836	paeg:AI22_06360
ko:K09975	paeg:AI22_06365
ko:K02002	paeg:AI22_06370
ko:K01712	paeg:AI22_06385
ko:K03457	paeg:AI22_06390
ko:K01745	paeg:AI22_06395
ko:K02002	paeg:AI22_06405
ko:K02001	paeg:AI22_06410
ko:K02000	paeg:AI22_06415
ko:K01745	paeg:AI22_06420
ko:K01468	paeg:AI22_06425
ko:K01479	paeg:AI22_06430
ko:K00285	paeg:AI22_06455
ko:K10001	paeg:AI22_06465
ko:K01259	paeg:AI22_06475
ko:K07560	paeg:AI22_06480
ko:K03670	paeg:AI22_06485
ko:K03669	paeg:AI22_06490
ko:K02030	paeg:AI22_06495
ko:K02029	paeg:AI22_06500
ko:K02028	paeg:AI22_06505
ko:K03406	paeg:AI22_06515
ko:K03118	paeg:AI22_06525
ko:K03117	paeg:AI22_06530
ko:K03116	paeg:AI22_06535
ko:K01523	paeg:AI22_06540
ko:K01496	paeg:AI22_06545
ko:K03688	paeg:AI22_06550
ko:K03088	paeg:AI22_10835
ko:K02459	paeg:AI22_10845
ko:K02457	paeg:AI22_10850
ko:K02452	paeg:AI22_10855
ko:K02458	paeg:AI22_10860
ko:K02456	paeg:AI22_10865
ko:K02460	paeg:AI22_10870
ko:K02461	paeg:AI22_10875
ko:K02462	paeg:AI22_10880
ko:K02453	paeg:AI22_10885
ko:K02454	paeg:AI22_10890
ko:K02455	paeg:AI22_10895
ko:K03561	paeg:AI22_10930
ko:K03559	paeg:AI22_10935
ko:K01959	paeg:AI22_04625
ko:K01960	paeg:AI22_04630
ko:K03835	paeg:AI22_04635
ko:K00375	paeg:AI22_04650
ko:K07112	paeg:AI22_04655
ko:K01744	paeg:AI22_04660
ko:K13953	paeg:AI22_04670
ko:K01588	paeg:AI22_04675
ko:K01589	paeg:AI22_04680
ko:K09950	paeg:AI22_04690
ko:K01792	paeg:AI22_04695
ko:K01433	paeg:AI22_04705
ko:K00305	paeg:AI22_04710
ko:K00303	paeg:AI22_04725
ko:K00600	paeg:AI22_04730
ko:K01620	paeg:AI22_04740
ko:K00479	paeg:AI22_04755
ko:K07727	paeg:AI22_04795
ko:K03521	paeg:AI22_04805
ko:K03522	paeg:AI22_04810
ko:K01273	paeg:AI22_04830
ko:K09958	paeg:AI22_04835
ko:K06131	paeg:AI22_04840
ko:K07222	paeg:AI22_04845
ko:K01438	paeg:AI22_04860
ko:K17736	paeg:AI22_04865
ko:K02002	paeg:AI22_04870
ko:K02003	paeg:AI22_09145
ko:K02004	paeg:AI22_09150
ko:K06076	paeg:AI22_09170
ko:K00262	paeg:AI22_09175
ko:K00428	paeg:AI22_09180
ko:K01974	paeg:AI22_09190
ko:K07074	paeg:AI22_09195
ko:K14415	paeg:AI22_09200
ko:K14414	paeg:AI22_09215
ko:K03773	paeg:AI22_09260
ko:K02523	paeg:AI22_09275
ko:K02888	paeg:AI22_09280
ko:K02899	paeg:AI22_09285
ko:K03979	paeg:AI22_09290
ko:K00931	paeg:AI22_09295
ko:K05805	paeg:AI22_09300
ko:K02968	paeg:AI22_09305
ko:K03980	paeg:AI22_09310
ko:K11753	paeg:AI22_09315
ko:K01870	paeg:AI22_09320
ko:K03101	paeg:AI22_09325
ko:K03774	paeg:AI22_09330
ko:K03527	paeg:AI22_09335
ko:K02655	paeg:AI22_09340
ko:K02674	paeg:AI22_09350
ko:K02673	paeg:AI22_09355
ko:K02672	paeg:AI22_09360
ko:K02671	paeg:AI22_09365
ko:K08084	paeg:AI22_09375
ko:K03153	paeg:AI22_09380
ko:K02667	paeg:AI22_09385
ko:K02668	paeg:AI22_09390
ko:K01129	paeg:AI22_13685
ko:K12410	paeg:AI22_13690
ko:K12990	paeg:AI22_13715
ko:K05523	paeg:AI22_13740
ko:K14977	paeg:AI22_13765
ko:K07491	paeg:AI22_13830
ko:K07661	paeg:AI22_13845
ko:K07639	paeg:AI22_13850
ko:K03704	paeg:AI22_13855
ko:K00563	paeg:AI22_13865
ko:K01439	paeg:AI22_13870
ko:K02362	paeg:AI22_13885
ko:K02569	paeg:AI22_13920
ko:K02568	paeg:AI22_13925
ko:K02567	paeg:AI22_13930
ko:K02570	paeg:AI22_13935
ko:K02572	paeg:AI22_13940
ko:K02571	paeg:AI22_13945
ko:K07660	paeg:AI22_13955
ko:K07637	paeg:AI22_13960
ko:K15256	paeg:AI22_18260
ko:K01652	paeg:AI22_18265
ko:K01915	paeg:AI22_18295
ko:K14052	paeg:AI22_18300
ko:K07862	paeg:AI22_18305
ko:K06177	paeg:AI22_18310
ko:K08998	paeg:AI22_18320
ko:K03088	paeg:AI22_18345
ko:K01725	paeg:AI22_18355
ko:K01673	paeg:AI22_18360
ko:K11921	paeg:AI22_18365
ko:K13893	paeg:AI22_18385
ko:K13894	paeg:AI22_18390
ko:K13895	paeg:AI22_18395
ko:K13896	paeg:AI22_18400
ko:K04487	paeg:AI22_18405
ko:K07233	paeg:AI22_18415
ko:K05820	paeg:AI22_18435
ko:K00612	paeg:AI22_18440
ko:K02014	paeg:AI22_18445
ko:K02355	paeg:AI22_18450
ko:K01556	paeg:AI22_18490
ko:K07130	paeg:AI22_18495
ko:K01953	paeg:AI22_18510
ko:K01561	paeg:AI22_18520
ko:K03924	paeg:AI22_22835
ko:K01591	paeg:AI22_22840
ko:K07052	paeg:AI22_22880
ko:K13774	paeg:AI22_22895
ko:K13778	paeg:AI22_22900
ko:K11731	paeg:AI22_22905
ko:K13779	paeg:AI22_22910
ko:K13777	paeg:AI22_22915
ko:K13776	paeg:AI22_22925
ko:K03088	paeg:AI22_22940
ko:K02030	paeg:AI22_22970
ko:K13541	paeg:AI22_22975
ko:K03394	paeg:AI22_22980
ko:K06042	paeg:AI22_22985
ko:K02229	paeg:AI22_22990
ko:K00595	paeg:AI22_22995
ko:K02188	paeg:AI22_23000
ko:K05895	paeg:AI22_23005
ko:K02014	paeg:AI22_23015
ko:K02013	paeg:AI22_23020
ko:K02016	paeg:AI22_23025
ko:K02015	paeg:AI22_23030
ko:K03406	paeg:AI22_23060
ko:K10014	paeg:AI22_23075
ko:K10016	paeg:AI22_23080
ko:K10015	paeg:AI22_23085
ko:K10017	paeg:AI22_23090
ko:K11444	paeg:AI22_27005
ko:K13491	paeg:AI22_27010
ko:K13490	paeg:AI22_27015
ko:K13489	paeg:AI22_27020
ko:K13486	paeg:AI22_27025
ko:K13488	paeg:AI22_27030
ko:K13487	paeg:AI22_27035
ko:K00316	paeg:AI22_27060
ko:K07687	paeg:AI22_27065
ko:K07462	paeg:AI22_27125
ko:K09980	paeg:AI22_27160
ko:K01733	paeg:AI22_27180
ko:K00003	paeg:AI22_27185
ko:K03981	paeg:AI22_27190
ko:K04763	paeg:AI22_27195
ko:K02884	paeg:AI22_27215
ko:K00554	paeg:AI22_27220
ko:K02860	paeg:AI22_27225
ko:K02959	paeg:AI22_27230
ko:K03106	paeg:AI22_27235
ko:K08289	paeg:AI22_27260
ko:K06938	paeg:AI22_27265
ko:K01426	paeg:AI22_10990
ko:K11530	paeg:AI22_11015
ko:K01759	paeg:AI22_11020
ko:K03824	paeg:AI22_11025
ko:K09982	paeg:AI22_11030
ko:K10004	paeg:AI22_15390
ko:K10002	paeg:AI22_15395
ko:K10003	paeg:AI22_15400
ko:K10001	paeg:AI22_15405
ko:K03088	paeg:AI22_15455
ko:K04750	paeg:AI22_15465
ko:K11939	paeg:AI22_15500
ko:K03327	paeg:AI22_15505
ko:K03088	paeg:AI22_15515
ko:K02014	paeg:AI22_15525
ko:K09458	paeg:AI22_15540
ko:K03473	paeg:AI22_15550
ko:K00906	paeg:AI22_15555
ko:K03825	paeg:AI22_15560
ko:K01487	paeg:AI22_15565
ko:K07402	paeg:AI22_15570
ko:K13482	paeg:AI22_15575
ko:K13481	paeg:AI22_15580
ko:K00496	paeg:AI22_15585
ko:K03529	paeg:AI22_15595
ko:K03528	paeg:AI22_15600
ko:K01972	paeg:AI22_15605
ko:K02343	paeg:AI22_15620
ko:K09747	paeg:AI22_15625
ko:K06187	paeg:AI22_15630
ko:K09925	paeg:AI22_15640
ko:K02073	paeg:AI22_19980
ko:K02071	paeg:AI22_19985
ko:K02072	paeg:AI22_19990
ko:K01126	paeg:AI22_19995
ko:K06916	paeg:AI22_20000
ko:K04091	paeg:AI22_20015
ko:K00299	paeg:AI22_20020
ko:K11902	paeg:AI22_20035
ko:K11891	paeg:AI22_20040
ko:K11892	paeg:AI22_20045
ko:K11893	paeg:AI22_20050
ko:K11901	paeg:AI22_20060
ko:K11900	paeg:AI22_20065
ko:K11903	paeg:AI22_20070
ko:K11896	paeg:AI22_20080
ko:K11895	paeg:AI22_20085
ko:K11907	paeg:AI22_20090
ko:K07303	paeg:AI22_20135
ko:K07302	paeg:AI22_20140
ko:K00101	paeg:AI22_20155
ko:K07116	paeg:AI22_20170
ko:K10531	paeg:AI22_20175
ko:K03088	paeg:AI22_20180
ko:K13888	paeg:AI22_20190
ko:K05685	paeg:AI22_20195
ko:K06160	paeg:AI22_20230
ko:K16088	paeg:AI22_20235
ko:K03702	paeg:AI22_24210
ko:K00832	paeg:AI22_24215
ko:K02237	paeg:AI22_24225
ko:K13007	paeg:AI22_24235
ko:K02473	paeg:AI22_24275
ko:K05788	paeg:AI22_24300
ko:K02945	paeg:AI22_24305
ko:K00945	paeg:AI22_24310
ko:K00800	paeg:AI22_24315
ko:K00817	paeg:AI22_24320
ko:K14170	paeg:AI22_24325
ko:K00831	paeg:AI22_24330
ko:K02469	paeg:AI22_24335
ko:K08963	paeg:AI22_24340
ko:K00568	paeg:AI22_24350
ko:K01479	paeg:AI22_24370
ko:K03312	paeg:AI22_24375
ko:K06178	paeg:AI22_24390
ko:K03574	paeg:AI22_24395
ko:K01625	paeg:AI22_24400
ko:K01057	paeg:AI22_24405
ko:K00036	paeg:AI22_24410
ko:K07267	paeg:AI22_24425
ko:K10112	paeg:AI22_24430
ko:K17317	paeg:AI22_24435
ko:K17316	paeg:AI22_24440
ko:K17315	paeg:AI22_24445
ko:K00845	paeg:AI22_24465
ko:K01690	paeg:AI22_24470
ko:K00134	paeg:AI22_24475
ko:K07126	paeg:AI22_28680
ko:K06168	paeg:AI22_28690
ko:K07042	paeg:AI22_28700
ko:K06189	paeg:AI22_28705
ko:K03820	paeg:AI22_28710
ko:K01869	paeg:AI22_28725
ko:K03643	paeg:AI22_28730
ko:K02340	paeg:AI22_28735
ko:K09890	paeg:AI22_28740
ko:K03644	paeg:AI22_28765
ko:K03801	paeg:AI22_28770
ko:K09158	paeg:AI22_28775
ko:K07258	paeg:AI22_28780
ko:K03642	paeg:AI22_28785
ko:K08305	paeg:AI22_28790
ko:K05837	paeg:AI22_28795
ko:K05515	paeg:AI22_28800
ko:K00783	paeg:AI22_28805
ko:K09710	paeg:AI22_28810
ko:K00969	paeg:AI22_28815
ko:K00147	paeg:AI22_28820
ko:K03652	paeg:AI22_28835
ko:K07157	paeg:AI22_28845
ko:K03186	paeg:AI22_28880
ko:K02558	paeg:AI22_28885
ko:K03735	paeg:AI22_28905
ko:K03736	paeg:AI22_28910
ko:K02030	paeg:AI22_28920
ko:K03975	paeg:AI22_28930
ko:K09933	paeg:AI22_28935
ko:K01507	paeg:AI22_28940
ko:K06188	paeg:AI22_28955
ko:K02876	paeg:AI22_00310
ko:K02907	paeg:AI22_00315
ko:K02988	paeg:AI22_00320
ko:K02881	paeg:AI22_00325
ko:K02933	paeg:AI22_00330
ko:K02994	paeg:AI22_00335
ko:K02954	paeg:AI22_00340
ko:K02931	paeg:AI22_00345
ko:K02895	paeg:AI22_00350
ko:K02874	paeg:AI22_00355
ko:K02961	paeg:AI22_00360
ko:K02904	paeg:AI22_00365
ko:K02878	paeg:AI22_00370
ko:K02982	paeg:AI22_00375
ko:K02890	paeg:AI22_00380
ko:K02965	paeg:AI22_00385
ko:K02886	paeg:AI22_00390
ko:K02892	paeg:AI22_00395
ko:K02926	paeg:AI22_00400
ko:K02906	paeg:AI22_00405
ko:K02946	paeg:AI22_00410
ko:K02358	paeg:AI22_00415
ko:K02355	paeg:AI22_00420
ko:K02992	paeg:AI22_00425
ko:K02950	paeg:AI22_00430
ko:K03046	paeg:AI22_00435
ko:K03043	paeg:AI22_00440
ko:K02935	paeg:AI22_00445
ko:K02864	paeg:AI22_00450
ko:K02863	paeg:AI22_00455
ko:K02867	paeg:AI22_00460
ko:K02601	paeg:AI22_00465
ko:K03073	paeg:AI22_00470
ko:K02358	paeg:AI22_00480
ko:K03525	paeg:AI22_00505
ko:K03524	paeg:AI22_00510
ko:K01866	paeg:AI22_00540
ko:K09001	paeg:AI22_00550
ko:K15724	paeg:AI22_00555
ko:K00145	paeg:AI22_00570
ko:K08973	paeg:AI22_00575
ko:K00459	paeg:AI22_00580
ko:K17735	paeg:AI22_04880
ko:K07107	paeg:AI22_04885
ko:K01752	paeg:AI22_04915
ko:K02002	paeg:AI22_04920
ko:K02001	paeg:AI22_04925
ko:K02000	paeg:AI22_04930
ko:K02168	paeg:AI22_04935
ko:K02167	paeg:AI22_04940
ko:K10806	paeg:AI22_04955
ko:K02040	paeg:AI22_04990
ko:K02037	paeg:AI22_04995
ko:K02038	paeg:AI22_05000
ko:K02036	paeg:AI22_05005
ko:K02039	paeg:AI22_05010
ko:K07636	paeg:AI22_05030
ko:K07657	paeg:AI22_05035
ko:K03179	paeg:AI22_05045
ko:K03181	paeg:AI22_05050
ko:K11474	paeg:AI22_05055
ko:K00104	paeg:AI22_05060
ko:K11472	paeg:AI22_05065
ko:K11473	paeg:AI22_05070
ko:K11477	paeg:AI22_05075
ko:K05297	paeg:AI22_05090
ko:K05787	paeg:AI22_05095
ko:K03655	paeg:AI22_05110
ko:K04761	paeg:AI22_05115
ko:K03060	paeg:AI22_05150
ko:K00942	paeg:AI22_05155
ko:K06950	paeg:AI22_09395
ko:K05807	paeg:AI22_09400
ko:K06180	paeg:AI22_09405
ko:K05810	paeg:AI22_09410
ko:K03695	paeg:AI22_09415
ko:K06916	paeg:AI22_09445
ko:K03885	paeg:AI22_09450
ko:K09862	paeg:AI22_09490
ko:K00859	paeg:AI22_09495
ko:K02654	paeg:AI22_09500
ko:K02653	paeg:AI22_09505
ko:K02652	paeg:AI22_09510
ko:K00767	paeg:AI22_09530
ko:K03806	paeg:AI22_09540
ko:K03807	paeg:AI22_09545
ko:K03406	paeg:AI22_09550
ko:K01581	paeg:AI22_09555
ko:K07032	paeg:AI22_09560
ko:K07126	paeg:AI22_09570
ko:K16090	paeg:AI22_09580
ko:K00380	paeg:AI22_09585
ko:K07160	paeg:AI22_09595
ko:K03719	paeg:AI22_09610
ko:K12372	paeg:AI22_09620
ko:K12371	paeg:AI22_09625
ko:K12370	paeg:AI22_09630
ko:K12369	paeg:AI22_09635
ko:K12368	paeg:AI22_09640
ko:K12368	paeg:AI22_09650
ko:K12368	paeg:AI22_09670
ko:K15011	paeg:AI22_09680
ko:K11103	paeg:AI22_13975
ko:K03566	paeg:AI22_13980
ko:K02742	paeg:AI22_14005
