ko:K01212	bsy:I653_16755
ko:K14224	bsy:I653_t20299
ko:K14224	bsy:I653_t20337
ko:K14224	bsy:I653_t20391
ko:K14224	bsy:I653_t20265
ko:K14224	bsy:I653_t20229
ko:K10009	bsy:I653_01675
ko:K02424	bsy:I653_01680
ko:K01906	bsy:I653_14475
ko:K06388	bsy:I653_06570
ko:K12263	bsy:I653_17165
ko:K06351	bsy:I653_02085
ko:K06113	bsy:I653_13760
ko:K03483	bsy:I653_02125
ko:K07705	bsy:I653_13810
ko:K11991	bsy:I653_00090
ko:K07979	bsy:I653_14590
ko:K16963	bsy:I653_19405
ko:K01218	bsy:I653_02955
ko:K03794	bsy:I653_08035
ko:K16918	bsy:I653_14565
ko:K16920	bsy:I653_14570
ko:K16919	bsy:I653_14580
ko:K16919	bsy:I653_14575
ko:K16921	bsy:I653_14585
ko:K15555	bsy:I653_04435
ko:K14234	bsy:I653_t20375
ko:K14234	bsy:I653_t20309
ko:K14234	bsy:I653_t20255
ko:K02303	bsy:I653_08030
ko:K06113	bsy:I653_19325
ko:K00951	bsy:I653_13130
ko:K03417	bsy:I653_11570
ko:K14230	bsy:I653_t20287
ko:K14230	bsy:I653_t20303
ko:K16916	bsy:I653_19715
ko:K16917	bsy:I653_19720
ko:K01985	bsy:I653_r20409
ko:K01985	bsy:I653_r20401
ko:K01985	bsy:I653_r20399
ko:K01985	bsy:I653_r20411
ko:K01985	bsy:I653_r20397
ko:K01985	bsy:I653_r20395
ko:K01985	bsy:I653_r20403
ko:K01985	bsy:I653_r20405
ko:K01985	bsy:I653_r20407
ko:K16925	bsy:I653_06780
ko:K16960	bsy:I653_14030
ko:K16959	bsy:I653_14035
ko:K16958	bsy:I653_14040
ko:K16957	bsy:I653_14045
ko:K16956	bsy:I653_14050
ko:K21064	bsy:I653_05650
ko:K14218	bsy:I653_t20219
ko:K14218	bsy:I653_t20249
ko:K14218	bsy:I653_t20245
ko:K14218	bsy:I653_t20293
ko:K14218	bsy:I653_t20379
ko:K14218	bsy:I653_t20233
ko:K14218	bsy:I653_t20237
ko:K14218	bsy:I653_t20241
ko:K14218	bsy:I653_t20225
ko:K14218	bsy:I653_t20361
ko:K14218	bsy:I653_t20279
ko:K17217	bsy:I653_12940
ko:K01992	bsy:I653_18975
ko:K17103	bsy:I653_01105
ko:K06326	bsy:I653_09175
ko:K06419	bsy:I653_04905
ko:K06418	bsy:I653_14150
ko:K01990	bsy:I653_01255
ko:K01977	bsy:I653_r20413
ko:K01977	bsy:I653_r20421
ko:K01977	bsy:I653_r20427
ko:K01977	bsy:I653_r20419
ko:K01977	bsy:I653_r20425
ko:K01977	bsy:I653_r20423
ko:K01977	bsy:I653_r20417
ko:K01977	bsy:I653_r20415
ko:K01977	bsy:I653_r20429
ko:K01990	bsy:I653_14370
ko:K01990	bsy:I653_18295
ko:K01990	bsy:I653_18980
ko:K01992	bsy:I653_14365
ko:K01992	bsy:I653_04980
ko:K17319	bsy:I653_03590
ko:K17319	bsy:I653_14425
ko:K17318	bsy:I653_03585
ko:K17318	bsy:I653_14435
ko:K16838	bsy:I653_15640
ko:K00034	bsy:I653_02000
ko:K07032	bsy:I653_02490
ko:K07729	bsy:I653_02495
ko:K10255	bsy:I653_02505
ko:K03704	bsy:I653_02510
ko:K07736	bsy:I653_02515
ko:K13653	bsy:I653_02530
ko:K00375	bsy:I653_02565
ko:K07002	bsy:I653_02575
ko:K03893	bsy:I653_02620
ko:K07150	bsy:I653_02715
ko:K15976	bsy:I653_02730
ko:K15975	bsy:I653_02735
ko:K15977	bsy:I653_02740
ko:K03799	bsy:I653_06915
ko:K13533	bsy:I653_06940
ko:K00567	bsy:I653_06945
ko:K08963	bsy:I653_06955
ko:K00899	bsy:I653_06960
ko:K08969	bsy:I653_06970
ko:K08965	bsy:I653_06975
ko:K08966	bsy:I653_06980
ko:K08964	bsy:I653_06985
ko:K00845	bsy:I653_11945
ko:K01934	bsy:I653_11965
ko:K02913	bsy:I653_11970
ko:K02036	bsy:I653_11995
ko:K02036	bsy:I653_12000
ko:K02038	bsy:I653_12005
ko:K02037	bsy:I653_12010
ko:K02040	bsy:I653_12015
ko:K08222	bsy:I653_12025
ko:K04564	bsy:I653_12030
ko:K09793	bsy:I653_12035
ko:K05967	bsy:I653_12060
ko:K02076	bsy:I653_12065
ko:K01151	bsy:I653_12080
ko:K03527	bsy:I653_12095
ko:K06967	bsy:I653_12105
ko:K13300	bsy:I653_12110
ko:K03086	bsy:I653_12115
ko:K09768	bsy:I653_12125
ko:K09773	bsy:I653_12130
ko:K01879	bsy:I653_12140
ko:K01878	bsy:I653_12145
ko:K03584	bsy:I653_12150
ko:K02015	bsy:I653_16120
ko:K02015	bsy:I653_16125
ko:K02016	bsy:I653_16130
ko:K03758	bsy:I653_16135
ko:K07038	bsy:I653_16145
ko:K07219	bsy:I653_16155
ko:K02020	bsy:I653_16160
ko:K02018	bsy:I653_16165
ko:K03316	bsy:I653_16180
ko:K00381	bsy:I653_16185
ko:K00380	bsy:I653_16190
ko:K03657	bsy:I653_16195
ko:K03611	bsy:I653_16210
ko:K01534	bsy:I653_16220
ko:K07213	bsy:I653_16230
ko:K01118	bsy:I653_16245
ko:K01308	bsy:I653_11935
ko:K00059	bsy:I653_16270
ko:K03664	bsy:I653_16275
ko:K12573	bsy:I653_16280
ko:K03928	bsy:I653_16285
ko:K03075	bsy:I653_16290
ko:K05846	bsy:I653_16340
ko:K05845	bsy:I653_16345
ko:K05846	bsy:I653_16350
ko:K05847	bsy:I653_16355
ko:K05846	bsy:I653_16365
ko:K05845	bsy:I653_16370
ko:K05846	bsy:I653_16375
ko:K05847	bsy:I653_16380
ko:K08967	bsy:I653_06990
ko:K13532	bsy:I653_07010
ko:K15973	bsy:I653_07015
ko:K02557	bsy:I653_07020
ko:K02556	bsy:I653_07025
ko:K03697	bsy:I653_07035
ko:K06920	bsy:I653_07045
ko:K01737	bsy:I653_07050
ko:K10026	bsy:I653_07055
ko:K09457	bsy:I653_07060
ko:K01449	bsy:I653_07095
ko:K01534	bsy:I653_07110
ko:K03480	bsy:I653_07135
ko:K11189	bsy:I653_07145
ko:K08483	bsy:I653_07150
ko:K06315	bsy:I653_07155
ko:K03716	bsy:I653_07160
ko:K03406	bsy:I653_07170
ko:K00867	bsy:I653_11380
ko:K01753	bsy:I653_11385
ko:K07124	bsy:I653_11390
ko:K00286	bsy:I653_11400
ko:K02913	bsy:I653_11420
ko:K00784	bsy:I653_11425
ko:K00036	bsy:I653_11430
ko:K00033	bsy:I653_11435
ko:K02346	bsy:I653_11440
ko:K03217	bsy:I653_11450
ko:K09166	bsy:I653_11455
ko:K01966	bsy:I653_11465
ko:K05606	bsy:I653_11470
ko:K09699	bsy:I653_11525
ko:K00167	bsy:I653_11530
ko:K00166	bsy:I653_11535
ko:K00382	bsy:I653_11540
ko:K00929	bsy:I653_11545
ko:K00263	bsy:I653_11550
ko:K01720	bsy:I653_11575
ko:K01647	bsy:I653_11580
ko:K00074	bsy:I653_11590
ko:K00626	bsy:I653_11595
ko:K01126	bsy:I653_11600
ko:K01448	bsy:I653_11605
ko:K07699	bsy:I653_11630
ko:K03644	bsy:I653_15580
ko:K07090	bsy:I653_15605
ko:K01466	bsy:I653_15620
ko:K09684	bsy:I653_15625
ko:K07127	bsy:I653_15645
ko:K07141	bsy:I653_15675
ko:K02083	bsy:I653_15690
ko:K10711	bsy:I653_15705
ko:K10710	bsy:I653_15710
ko:K10119	bsy:I653_15715
ko:K10118	bsy:I653_15720
ko:K10117	bsy:I653_15725
ko:K10708	bsy:I653_15730
ko:K00285	bsy:I653_15740
ko:K09014	bsy:I653_15765
ko:K04488	bsy:I653_15770
ko:K11717	bsy:I653_15775
ko:K09015	bsy:I653_15780
ko:K09013	bsy:I653_15785
ko:K02073	bsy:I653_15800
ko:K02072	bsy:I653_15805
ko:K02071	bsy:I653_15810
ko:K07476	bsy:I653_15825
ko:K03449	bsy:I653_19895
ko:K02939	bsy:I653_19905
ko:K06329	bsy:I653_19925
ko:K15986	bsy:I653_19935
ko:K08224	bsy:I653_19975
ko:K03325	bsy:I653_20060
ko:K09458	bsy:I653_20080
ko:K06888	bsy:I653_20085
ko:K07052	bsy:I653_20090
ko:K08369	bsy:I653_20095
ko:K01759	bsy:I653_20105
ko:K01142	bsy:I653_20115
ko:K02963	bsy:I653_20120
ko:K02990	bsy:I653_20130
ko:K06942	bsy:I653_20135
ko:K01990	bsy:I653_04565
ko:K01990	bsy:I653_04975
ko:K01990	bsy:I653_05065
ko:K13993	bsy:I653_02775
ko:K02503	bsy:I653_02805
ko:K11737	bsy:I653_02825
ko:K06994	bsy:I653_02840
ko:K07552	bsy:I653_02855
ko:K07090	bsy:I653_02860
ko:K01077	bsy:I653_02885
ko:K05937	bsy:I653_02890
ko:K06885	bsy:I653_02905
ko:K02760	bsy:I653_02920
ko:K02759	bsy:I653_02925
ko:K02761	bsy:I653_02930
ko:K01223	bsy:I653_02935
ko:K03492	bsy:I653_02940
ko:K00847	bsy:I653_02945
ko:K01809	bsy:I653_02950
ko:K07217	bsy:I653_02960
ko:K00946	bsy:I653_02970
ko:K06925	bsy:I653_02975
ko:K03789	bsy:I653_02985
ko:K01409	bsy:I653_02990
ko:K06158	bsy:I653_02995
ko:K03637	bsy:I653_03000
ko:K01926	bsy:I653_03005
ko:K02491	bsy:I653_07190
ko:K00841	bsy:I653_07195
ko:K03415	bsy:I653_07205
ko:K07098	bsy:I653_07225
ko:K09776	bsy:I653_07245
ko:K03839	bsy:I653_07265
ko:K03839	bsy:I653_07275
ko:K05822	bsy:I653_07280
ko:K05823	bsy:I653_07285
ko:K03752	bsy:I653_07320
ko:K03750	bsy:I653_07330
ko:K03753	bsy:I653_07335
ko:K03635	bsy:I653_07340
ko:K03636	bsy:I653_07345
ko:K06147	bsy:I653_07350
ko:K06147	bsy:I653_07355
ko:K06393	bsy:I653_11720
ko:K06392	bsy:I653_11725
ko:K06391	bsy:I653_11730
ko:K06390	bsy:I653_11735
ko:K02356	bsy:I653_11745
ko:K01262	bsy:I653_11750
ko:K03786	bsy:I653_11755
ko:K07001	bsy:I653_11775
ko:K03800	bsy:I653_11785
ko:K00283	bsy:I653_11795
ko:K02005	bsy:I653_07365
ko:K02003	bsy:I653_07370
ko:K02004	bsy:I653_07375
ko:K03436	bsy:I653_07380
ko:K00882	bsy:I653_07385
ko:K02768	bsy:I653_07390
ko:K02769	bsy:I653_07390
ko:K02770	bsy:I653_07390
ko:K03100	bsy:I653_07395
ko:K00282	bsy:I653_11800
ko:K00605	bsy:I653_11805
ko:K13280	bsy:I653_11835
ko:K00077	bsy:I653_07415
ko:K03569	bsy:I653_07430
ko:K03499	bsy:I653_07450
ko:K01486	bsy:I653_07455
ko:K06399	bsy:I653_11635
ko:K03631	bsy:I653_11640
ko:K03402	bsy:I653_11645
ko:K06442	bsy:I653_11650
ko:K01662	bsy:I653_11655
ko:K13789	bsy:I653_11660
ko:K03602	bsy:I653_11665
ko:K03601	bsy:I653_11670
ko:K01491	bsy:I653_11675
ko:K03625	bsy:I653_11680
ko:K01961	bsy:I653_11690
ko:K02160	bsy:I653_11695
ko:K06397	bsy:I653_11700
ko:K06396	bsy:I653_11705
ko:K06395	bsy:I653_11710
ko:K06394	bsy:I653_11715
ko:K02249	bsy:I653_11855
ko:K02248	bsy:I653_11860
ko:K02247	bsy:I653_11865
ko:K02246	bsy:I653_11870
ko:K02245	bsy:I653_11875
ko:K14227	bsy:I653_t20217
ko:K03217	bsy:I653_20200
ko:K03536	bsy:I653_20205
ko:K02914	bsy:I653_20210
ko:K02244	bsy:I653_11880
ko:K02243	bsy:I653_11885
ko:K02437	bsy:I653_15840
ko:K07516	bsy:I653_15860
ko:K00318	bsy:I653_15870
ko:K00059	bsy:I653_15900
ko:K02013	bsy:I653_15915
ko:K04047	bsy:I653_15935
ko:K07770	bsy:I653_15945
ko:K07650	bsy:I653_15950
ko:K01679	bsy:I653_15965
ko:K11618	bsy:I653_15990
ko:K11617	bsy:I653_15995
ko:K11622	bsy:I653_16000
ko:K11621	bsy:I653_16005
ko:K11619	bsy:I653_16015
ko:K02013	bsy:I653_16040
ko:K02015	bsy:I653_16045
ko:K02016	bsy:I653_16050
ko:K01569	bsy:I653_16090
ko:K02004	bsy:I653_16100
ko:K02003	bsy:I653_16105
ko:K02005	bsy:I653_16110
ko:K02013	bsy:I653_16115
ko:K03501	bsy:I653_20180
ko:K03495	bsy:I653_20185
ko:K03650	bsy:I653_20190
ko:K06346	bsy:I653_20195
ko:K11633	bsy:I653_19485
ko:K07094	bsy:I653_03295
ko:K03657	bsy:I653_03300
ko:K01972	bsy:I653_03305
ko:K07507	bsy:I653_03320
ko:K03307	bsy:I653_03325
ko:K02435	bsy:I653_03330
ko:K02433	bsy:I653_03335
ko:K02434	bsy:I653_03340
ko:K03215	bsy:I653_03360
ko:K16137	bsy:I653_03465
ko:K06332	bsy:I653_03480
ko:K06333	bsy:I653_03485
ko:K06334	bsy:I653_03490
ko:K07718	bsy:I653_03510
ko:K07720	bsy:I653_03515
ko:K02025	bsy:I653_03525
ko:K15532	bsy:I653_03535
ko:K00077	bsy:I653_07770
ko:K03925	bsy:I653_07780
ko:K03438	bsy:I653_07785
ko:K08724	bsy:I653_07795
ko:K08384	bsy:I653_07800
ko:K01928	bsy:I653_07810
ko:K01000	bsy:I653_07820
ko:K01925	bsy:I653_07825
ko:K03588	bsy:I653_07830
ko:K02563	bsy:I653_07835
ko:K00075	bsy:I653_07840
ko:K03589	bsy:I653_07845
ko:K03590	bsy:I653_07865
ko:K03531	bsy:I653_07870
ko:K06383	bsy:I653_07880
ko:K03091	bsy:I653_07885
ko:K03091	bsy:I653_07890
ko:K02013	bsy:I653_07895
ko:K05810	bsy:I653_07910
ko:K11623	bsy:I653_02695
ko:K06997	bsy:I653_07915
ko:K09772	bsy:I653_07920
ko:K02221	bsy:I653_07925
ko:K04074	bsy:I653_07935
ko:K01870	bsy:I653_07940
ko:K03101	bsy:I653_07950
ko:K06180	bsy:I653_07955
ko:K02825	bsy:I653_07960
ko:K02824	bsy:I653_07965
ko:K00609	bsy:I653_07970
ko:K01465	bsy:I653_07975
ko:K01956	bsy:I653_07980
ko:K01955	bsy:I653_07985
ko:K02823	bsy:I653_07990
ko:K01591	bsy:I653_08000
ko:K00762	bsy:I653_08005
ko:K00390	bsy:I653_08010
ko:K16331	bsy:I653_08015
ko:K00958	bsy:I653_08020
ko:K00860	bsy:I653_08025
ko:K01489	bsy:I653_12165
ko:K07042	bsy:I653_12175
ko:K07037	bsy:I653_12180
ko:K06438	bsy:I653_12195
ko:K07403	bsy:I653_12215
ko:K09117	bsy:I653_12220
ko:K02970	bsy:I653_12225
ko:K03324	bsy:I653_12230
ko:K09761	bsy:I653_12240
ko:K02687	bsy:I653_12245
ko:K03686	bsy:I653_12250
ko:K04043	bsy:I653_12255
ko:K03687	bsy:I653_12260
ko:K03705	bsy:I653_12265
ko:K03596	bsy:I653_12275
ko:K06385	bsy:I653_12285
ko:K06012	bsy:I653_12290
ko:K02968	bsy:I653_12295
ko:K02340	bsy:I653_12300
ko:K02238	bsy:I653_12310
ko:K02237	bsy:I653_12320
ko:K02239	bsy:I653_12325
ko:K09710	bsy:I653_12335
ko:K00969	bsy:I653_12345
ko:K00158	bsy:I653_02215
ko:K03322	bsy:I653_02225
ko:K07217	bsy:I653_02260
ko:K11692	bsy:I653_02275
ko:K11103	bsy:I653_02280
ko:K06403	bsy:I653_11205
ko:K01921	bsy:I653_02335
ko:K01929	bsy:I653_02340
ko:K05592	bsy:I653_02345
ko:K09167	bsy:I653_02350
ko:K08981	bsy:I653_02355
ko:K00997	bsy:I653_02365
ko:K01775	bsy:I653_02375
ko:K07723	bsy:I653_02380
ko:K07315	bsy:I653_02405
ko:K03090	bsy:I653_02420
ko:K05518	bsy:I653_02425
ko:K06959	bsy:I653_02445
ko:K03095	bsy:I653_02455
ko:K16199	bsy:I653_06640
ko:K01297	bsy:I653_06645
ko:K07404	bsy:I653_06665
ko:K05916	bsy:I653_06680
ko:K01433	bsy:I653_06715
ko:K00931	bsy:I653_06720
ko:K00147	bsy:I653_06725
ko:K00549	bsy:I653_06755
ko:K13275	bsy:I653_06760
ko:K16785	bsy:I653_06770
ko:K16786	bsy:I653_06775
ko:K16787	bsy:I653_06775
ko:K06213	bsy:I653_06820
ko:K07098	bsy:I653_06855
ko:K10979	bsy:I653_06875
ko:K03093	bsy:I653_06895
ko:K06024	bsy:I653_11100
ko:K05896	bsy:I653_11105
ko:K09763	bsy:I653_11110
ko:K02859	bsy:I653_11115
ko:K00794	bsy:I653_11120
ko:K14652	bsy:I653_11125
ko:K00793	bsy:I653_11130
ko:K11752	bsy:I653_11135
ko:K03100	bsy:I653_11145
ko:K07069	bsy:I653_11150
ko:K03768	bsy:I653_11160
ko:K01586	bsy:I653_11170
ko:K06408	bsy:I653_11175
ko:K06407	bsy:I653_11180
ko:K06407	bsy:I653_11185
ko:K06406	bsy:I653_11190
ko:K06405	bsy:I653_11195
ko:K06404	bsy:I653_11200
ko:K01664	bsy:I653_00375
ko:K03091	bsy:I653_11210
ko:K06379	bsy:I653_11215
ko:K07258	bsy:I653_11225
ko:K03783	bsy:I653_11230
ko:K01839	bsy:I653_11235
ko:K04763	bsy:I653_11240
ko:K03711	bsy:I653_11250
ko:K00027	bsy:I653_11265
ko:K03315	bsy:I653_11270
ko:K01744	bsy:I653_11275
ko:K01424	bsy:I653_11280
ko:K01515	bsy:I653_11295
ko:K06889	bsy:I653_11315
ko:K02346	bsy:I653_11350
ko:K00763	bsy:I653_15290
ko:K06950	bsy:I653_15330
ko:K16216	bsy:I653_15335
ko:K00259	bsy:I653_15380
ko:K04780	bsy:I653_15395
ko:K01252	bsy:I653_15400
ko:K02363	bsy:I653_15405
ko:K02361	bsy:I653_15410
ko:K00216	bsy:I653_15415
ko:K07017	bsy:I653_15420
ko:K03523	bsy:I653_15430
ko:K07084	bsy:I653_15435
ko:K01255	bsy:I653_15440
ko:K09775	bsy:I653_15445
ko:K03885	bsy:I653_15465
ko:K00364	bsy:I653_15480
ko:K07734	bsy:I653_15485
ko:K13628	bsy:I653_15495
ko:K01778	bsy:I653_15500
ko:K03317	bsy:I653_15505
ko:K03885	bsy:I653_15515
ko:K00872	bsy:I653_15535
ko:K01733	bsy:I653_15540
ko:K00003	bsy:I653_15545
ko:K00865	bsy:I653_19655
ko:K11476	bsy:I653_19660
ko:K00851	bsy:I653_19665
ko:K03299	bsy:I653_19670
ko:K00033	bsy:I653_19675
ko:K03386	bsy:I653_19680
ko:K03387	bsy:I653_19685
ko:K01223	bsy:I653_19695
ko:K03489	bsy:I653_19705
ko:K04041	bsy:I653_19725
ko:K01156	bsy:I653_19730
ko:K07316	bsy:I653_19735
ko:K03657	bsy:I653_19745
ko:K00783	bsy:I653_19750
ko:K01476	bsy:I653_19805
ko:K02205	bsy:I653_19810
ko:K00819	bsy:I653_19815
ko:K06714	bsy:I653_19820
ko:K07652	bsy:I653_19850
ko:K07668	bsy:I653_19855
ko:K01939	bsy:I653_19860
ko:K03116	bsy:I653_03010
ko:K03118	bsy:I653_03015
ko:K07574	bsy:I653_12350
ko:K00014	bsy:I653_12355
ko:K06948	bsy:I653_12360
ko:K07015	bsy:I653_12365
ko:K06371	bsy:I653_12370
ko:K00033	bsy:I653_12395
ko:K03091	bsy:I653_12410
ko:K05595	bsy:I653_16390
ko:K01784	bsy:I653_16445
ko:K13015	bsy:I653_16455
ko:K01689	bsy:I653_16465
ko:K15633	bsy:I653_16470
ko:K01803	bsy:I653_16475
ko:K00927	bsy:I653_16480
ko:K00134	bsy:I653_16490
ko:K05311	bsy:I653_16495
ko:K02103	bsy:I653_16505
ko:K00782	bsy:I653_16535
ko:K07693	bsy:I653_16550
ko:K07778	bsy:I653_16555
ko:K01224	bsy:I653_16580
ko:K12308	bsy:I653_16585
ko:K15772	bsy:I653_16590
ko:K15771	bsy:I653_16595
ko:K15770	bsy:I653_16600
ko:K02529	bsy:I653_16605
ko:K03303	bsy:I653_16615
ko:K03092	bsy:I653_16620
ko:K04078	bsy:I653_03030
ko:K04077	bsy:I653_03035
ko:K00847	bsy:I653_03060
ko:K03969	bsy:I653_03065
ko:K06872	bsy:I653_03075
ko:K06324	bsy:I653_03130
ko:K11735	bsy:I653_03135
ko:K03924	bsy:I653_03145
ko:K01951	bsy:I653_03160
ko:K03088	bsy:I653_03165
ko:K06901	bsy:I653_03175
ko:K01588	bsy:I653_03200
ko:K01589	bsy:I653_03205
ko:K01756	bsy:I653_03210
ko:K01923	bsy:I653_03215
ko:K01952	bsy:I653_03220
ko:K01952	bsy:I653_03225
ko:K01952	bsy:I653_03230
ko:K00764	bsy:I653_03235
ko:K01933	bsy:I653_03240
ko:K11175	bsy:I653_03245
ko:K00602	bsy:I653_03250
ko:K01945	bsy:I653_03255
ko:K16263	bsy:I653_03265
ko:K01486	bsy:I653_03275
ko:K01462	bsy:I653_07475
ko:K00161	bsy:I653_07490
ko:K00162	bsy:I653_07495
ko:K00627	bsy:I653_07500
ko:K00382	bsy:I653_07505
ko:K01092	bsy:I653_07540
ko:K03088	bsy:I653_07570
ko:K06207	bsy:I653_07590
ko:K07175	bsy:I653_07610
ko:K01425	bsy:I653_07620
ko:K03588	bsy:I653_07630
ko:K01958	bsy:I653_07635
ko:K02259	bsy:I653_07640
ko:K02275	bsy:I653_07650
ko:K02274	bsy:I653_07655
ko:K02276	bsy:I653_07660
ko:K02862	bsy:I653_07670
ko:K07052	bsy:I653_03025
ko:K00954	bsy:I653_07715
ko:K07001	bsy:I653_07725
ko:K07177	bsy:I653_07730
ko:K07040	bsy:I653_07750
ko:K02911	bsy:I653_07755
ko:K16509	bsy:I653_11905
ko:K11638	bsy:I653_03805
ko:K03457	bsy:I653_17810
ko:K01980	bsy:I653_r20435
ko:K01980	bsy:I653_r20447
ko:K01980	bsy:I653_r20439
ko:K01980	bsy:I653_r20443
ko:K01980	bsy:I653_r20437
ko:K01980	bsy:I653_r20441
ko:K01980	bsy:I653_r20431
ko:K01980	bsy:I653_r20433
ko:K01980	bsy:I653_r20445
ko:K00096	bsy:I653_13735
ko:K06430	bsy:I653_10625
ko:K17216	bsy:I653_12945
ko:K00034	bsy:I653_01395
ko:K01897	bsy:I653_13630
ko:K17320	bsy:I653_03595
ko:K17320	bsy:I653_14440
ko:K06298	bsy:I653_13540
ko:K16235	bsy:I653_01165
ko:K08986	bsy:I653_01605
ko:K06427	bsy:I653_16140
ko:K06424	bsy:I653_15745
ko:K11634	bsy:I653_19490
ko:K04091	bsy:I653_04450
ko:K00265	bsy:I653_09595
ko:K02101	bsy:I653_13740
ko:K14228	bsy:I653_t20323
ko:K14228	bsy:I653_t20367
ko:K17462	bsy:I653_12955
ko:K02029	bsy:I653_11495
ko:K19575	bsy:I653_11520
ko:K14230	bsy:I653_t20281
ko:K14230	bsy:I653_t20359
ko:K14230	bsy:I653_t20227
ko:K01992	bsy:I653_05070
ko:K02028	bsy:I653_11490
ko:K17235	bsy:I653_13725
ko:K17236	bsy:I653_13720
ko:K01992	bsy:I653_04185
ko:K14218	bsy:I653_t20383
ko:K14227	bsy:I653_t20381
ko:K14227	bsy:I653_t20235
ko:K14227	bsy:I653_t20239
ko:K14227	bsy:I653_t20247
ko:K14227	bsy:I653_t20223
ko:K14227	bsy:I653_t20243
ko:K14227	bsy:I653_t20231
ko:K14227	bsy:I653_t20291
ko:K14227	bsy:I653_t20343
ko:K03574	bsy:I653_16935
ko:K00031	bsy:I653_13915
ko:K01647	bsy:I653_13920
ko:K07113	bsy:I653_13935
ko:K00873	bsy:I653_13940
ko:K00850	bsy:I653_13945
ko:K01962	bsy:I653_13950
ko:K01963	bsy:I653_13955
ko:K00027	bsy:I653_13960
ko:K02337	bsy:I653_13965
ko:K07090	bsy:I653_14000
ko:K02113	bsy:I653_18020
ko:K02109	bsy:I653_18025
ko:K02110	bsy:I653_18030
ko:K02108	bsy:I653_18035
ko:K02116	bsy:I653_18040
ko:K00761	bsy:I653_18045
ko:K00600	bsy:I653_18050
ko:K01808	bsy:I653_18060
ko:K07566	bsy:I653_18075
ko:K06387	bsy:I653_18085
