ko:K01687	cjb:BN148_0013
ko:K06287	cjb:BN148_0507
ko:K03695	cjb:BN148_0509c
ko:K03797	cjb:BN148_0511
ko:K01923	cjb:BN148_0512
ko:K01952	cjb:BN148_0513
ko:K01952	cjb:BN148_0514
ko:K00655	cjb:BN148_0516
ko:K06199	cjb:BN148_0517
ko:K04079	cjb:BN148_0518
ko:K03324	cjb:BN148_0522
ko:K03587	cjb:BN148_0525c
ko:K02408	cjb:BN148_0526c
ko:K02388	cjb:BN148_0527c
ko:K02387	cjb:BN148_0528c
ko:K07082	cjb:BN148_0529c
ko:K00031	cjb:BN148_0531
ko:K00024	cjb:BN148_0532
ko:K01903	cjb:BN148_0533
ko:K01902	cjb:BN148_0534
ko:K00176	cjb:BN148_0535
ko:K00174	cjb:BN148_0536
ko:K00175	cjb:BN148_0537
ko:K00177	cjb:BN148_0538
ko:K02523	cjb:BN148_0541
ko:K02492	cjb:BN148_0542
ko:K01881	cjb:BN148_0543
ko:K01649	cjb:BN148_0544
ko:K01749	cjb:BN148_0545
ko:K03182	cjb:BN148_0546
ko:K02407	cjb:BN148_0548
ko:K06901	cjb:BN148_1369
ko:K04754	cjb:BN148_1371
ko:K07323	cjb:BN148_1372
ko:K01042	cjb:BN148_1378
ko:K03833	cjb:BN148_1379
ko:K03981	cjb:BN148_1380
ko:K03839	cjb:BN148_1382c
ko:K03781	cjb:BN148_1385
ko:K01756	cjb:BN148_1394
ko:K04758	cjb:BN148_1397
ko:K04759	cjb:BN148_1398
ko:K00208	cjb:BN148_1400c
ko:K01803	cjb:BN148_1401c
ko:K00927	cjb:BN148_1402c
ko:K00134	cjb:BN148_1403c
ko:K00969	cjb:BN148_1404
ko:K09710	cjb:BN148_1405
ko:K15778	cjb:BN148_1407c
ko:K02415	cjb:BN148_1408
ko:K00997	cjb:BN148_1409
ko:K07265	cjb:BN148_1413c
ko:K07266	cjb:BN148_1414c
ko:K00860	cjb:BN148_1415c
ko:K07010	cjb:BN148_1417c
ko:K03271	cjb:BN148_1424c
ko:K02422	cjb:BN148_0549
ko:K02356	cjb:BN148_0551
ko:K00147	cjb:BN148_0558c
ko:K00384	cjb:BN148_0559
ko:K14652	cjb:BN148_0572
ko:K09117	cjb:BN148_0573
ko:K01652	cjb:BN148_0574
ko:K01653	cjb:BN148_0575
ko:K02536	cjb:BN148_0576
ko:K07568	cjb:BN148_0577c
ko:K03118	cjb:BN148_0578c
ko:K03117	cjb:BN148_0579c
ko:K08311	cjb:BN148_0581
ko:K00928	cjb:BN148_0582
ko:K02341	cjb:BN148_0584
ko:K00796	cjb:BN148_0585
ko:K01972	cjb:BN148_0586
ko:K06442	cjb:BN148_0588
ko:K15256	cjb:BN148_0590
ko:K01173	cjb:BN148_0594c
ko:K01624	cjb:BN148_0597
ko:K02557	cjb:BN148_0599
ko:K03308	cjb:BN148_0601c
ko:K02377	cjb:BN148_1428c
ko:K01790	cjb:BN148_1430c
ko:K00817	cjb:BN148_1437c
ko:K00012	cjb:BN148_1441c
ko:K06041	cjb:BN148_1443c
ko:K10107	cjb:BN148_1445c
ko:K09689	cjb:BN148_1447c
ko:K09688	cjb:BN148_1448c
ko:K09979	cjb:BN148_1449c
ko:K04075	cjb:BN148_1453c
ko:K02836	cjb:BN148_1455
ko:K06176	cjb:BN148_1457c
ko:K00946	cjb:BN148_1458c
ko:K02394	cjb:BN148_1462
ko:K02396	cjb:BN148_1466
ko:K07090	cjb:BN148_1468
ko:K01714	cjb:BN148_1473c
ko:K02453	cjb:BN148_1474c
ko:K03737	cjb:BN148_1476c
ko:K01091	cjb:BN148_1477c
ko:K02996	cjb:BN148_1479c
ko:K02871	cjb:BN148_1480c
ko:K03582	cjb:BN148_1481c
ko:K04084	cjb:BN148_0603c
ko:K13888	cjb:BN148_0606
ko:K05685	cjb:BN148_0607
ko:K09795	cjb:BN148_0610c
ko:K02217	cjb:BN148_0612c
ko:K02040	cjb:BN148_0613
ko:K02037	cjb:BN148_0614
ko:K02038	cjb:BN148_0615
ko:K02036	cjb:BN148_0616
ko:K07043	cjb:BN148_0620
ko:K04656	cjb:BN148_0622
ko:K04653	cjb:BN148_0624
ko:K04654	cjb:BN148_0625
ko:K04651	cjb:BN148_0627
ko:K02340	cjb:BN148_0630c
ko:K12573	cjb:BN148_0631c
ko:K00053	cjb:BN148_0632
ko:K09798	cjb:BN148_0633
ko:K04096	cjb:BN148_0634
ko:K07447	cjb:BN148_0635
ko:K01876	cjb:BN148_0640c
ko:K00858	cjb:BN148_0641
ko:K03631	cjb:BN148_0642
ko:K03424	cjb:BN148_0644
ko:K08307	cjb:BN148_0645
ko:K03642	cjb:BN148_0646
ko:K03270	cjb:BN148_0647
ko:K09774	cjb:BN148_0649
ko:K03978	cjb:BN148_0650
ko:K05515	cjb:BN148_0652
ko:K03667	cjb:BN148_0662c
ko:K00406	cjb:BN148_1487c
ko:K00407	cjb:BN148_1488c
ko:K00405	cjb:BN148_1489c
ko:K00404	cjb:BN148_1490c
ko:K09792	cjb:BN148_1493c
ko:K01956	cjb:BN148_1494c
ko:K09804	cjb:BN148_1495c
ko:K01939	cjb:BN148_1498c
ko:K07112	cjb:BN148_1500
ko:K13821	cjb:BN148_1503c
ko:K01008	cjb:BN148_1504c
ko:K02379	cjb:BN148_1508c
ko:K13747	cjb:BN148_1515c
ko:K03636	cjb:BN148_1517
ko:K03750	cjb:BN148_1519
ko:K01933	cjb:BN148_1529c
ko:K00859	cjb:BN148_1530
ko:K01778	cjb:BN148_1531
ko:K07133	cjb:BN148_1533c
ko:K04047	cjb:BN148_1534c
ko:K01810	cjb:BN148_1535c
ko:K00963	cjb:BN148_1536c
ko:K01895	cjb:BN148_1537c
ko:K05773	cjb:BN148_1539c
ko:K01419	cjb:BN148_0663c
ko:K02939	cjb:BN148_0664c
ko:K01940	cjb:BN148_0665c
ko:K06925	cjb:BN148_0668
ko:K06861	cjb:BN148_0669
ko:K03092	cjb:BN148_0670
ko:K01547	cjb:BN148_0677
ko:K07646	cjb:BN148_0679
ko:K03702	cjb:BN148_0680c
ko:K02456	cjb:BN148_0683
ko:K04066	cjb:BN148_0684
ko:K02393	cjb:BN148_0687c
ko:K13788	cjb:BN148_0688
ko:K00925	cjb:BN148_0689
ko:K03438	cjb:BN148_0693c
ko:K03770	cjb:BN148_0694
ko:K03590	cjb:BN148_0695
ko:K03531	cjb:BN148_0696
ko:K02392	cjb:BN148_0697
ko:K02392	cjb:BN148_0698
ko:K01915	cjb:BN148_0699c
ko:K08303	cjb:BN148_0701
ko:K01588	cjb:BN148_0702
ko:K01878	cjb:BN148_0704
ko:K07164	cjb:BN148_0706
ko:K02527	cjb:BN148_0707
ko:K06180	cjb:BN148_0708
ko:K03106	cjb:BN148_0709
ko:K02959	cjb:BN148_0710
ko:K06960	cjb:BN148_0711
ko:K02860	cjb:BN148_0712
ko:K00554	cjb:BN148_0713
ko:K02884	cjb:BN148_0714
ko:K07127	cjb:BN148_0715
ko:K01626	cjb:BN148_0716
ko:K02337	cjb:BN148_0718
ko:K06997	cjb:BN148_0719c
ko:K02406	cjb:BN148_0720c
ko:K02493	cjb:BN148_0722c
ko:K05772	cjb:BN148_1540
ko:K07160	cjb:BN148_1541
ko:K03923	cjb:BN148_1545c
ko:K03098	cjb:BN148_1547
ko:K13979	cjb:BN148_1548c
ko:K01153	cjb:BN148_1549c
ko:K01154	cjb:BN148_1551c
ko:K03427	cjb:BN148_1553c
ko:K07118	cjb:BN148_1555c
ko:K00343	cjb:BN148_1566c
ko:K00342	cjb:BN148_1567c
ko:K00341	cjb:BN148_1568c
ko:K00340	cjb:BN148_1569c
ko:K00339	cjb:BN148_1570c
ko:K00338	cjb:BN148_1571c
ko:K00337	cjb:BN148_1572c
ko:K00334	cjb:BN148_1575c
ko:K00333	cjb:BN148_1576c
ko:K00332	cjb:BN148_1577c
ko:K00331	cjb:BN148_1578c
ko:K00330	cjb:BN148_1579c
ko:K02034	cjb:BN148_1582c
ko:K06159	cjb:BN148_1587c
ko:K02518	cjb:BN148_1590
ko:K02919	cjb:BN148_1591
ko:K02952	cjb:BN148_1592
ko:K02948	cjb:BN148_1593
ko:K02986	cjb:BN148_1594
ko:K03040	cjb:BN148_1595
ko:K03831	cjb:BN148_0725c
ko:K03284	cjb:BN148_0726c
ko:K02054	cjb:BN148_0730
ko:K02053	cjb:BN148_0731
ko:K03832	cjb:BN148_0753c
ko:K16089	cjb:BN148_0755
ko:K03705	cjb:BN148_0757
ko:K03687	cjb:BN148_0758
ko:K04043	cjb:BN148_0759
ko:K00812	cjb:BN148_0762c
ko:K00640	cjb:BN148_0763c
ko:K01892	cjb:BN148_0765c
ko:K00943	cjb:BN148_0766c
ko:K00954	cjb:BN148_0767c
ko:K03186	cjb:BN148_0768c
ko:K02386	cjb:BN148_0769c
ko:K02073	cjb:BN148_0772c
ko:K02072	cjb:BN148_0773c
ko:K02071	cjb:BN148_0774c
ko:K01873	cjb:BN148_0775c
ko:K03657	cjb:BN148_0777
ko:K11065	cjb:BN148_0779
ko:K02567	cjb:BN148_0780
ko:K02573	cjb:BN148_0781
ko:K02879	cjb:BN148_1596
ko:K00765	cjb:BN148_1597
ko:K00013	cjb:BN148_1598
ko:K01089	cjb:BN148_1599
ko:K02501	cjb:BN148_1600
ko:K01814	cjb:BN148_1601
ko:K09805	cjb:BN148_1602
ko:K02500	cjb:BN148_1603
ko:K11755	cjb:BN148_1604
ko:K12506	cjb:BN148_1607
ko:K00958	cjb:BN148_1609
ko:K01095	cjb:BN148_1610
ko:K02968	cjb:BN148_1611
ko:K02835	cjb:BN148_1612
ko:K07226	cjb:BN148_1613c
ko:K02015	cjb:BN148_1615
ko:K02013	cjb:BN148_1616
ko:K02016	cjb:BN148_1617
ko:K03575	cjb:BN148_1620c
ko:K11752	cjb:BN148_1622
ko:K01752	cjb:BN148_1624c
ko:K03837	cjb:BN148_1625c
ko:K03561	cjb:BN148_1628
ko:K03832	cjb:BN148_1630
ko:K00566	cjb:BN148_1633
ko:K01736	cjb:BN148_1634c
ko:K03685	cjb:BN148_1635c
ko:K01928	cjb:BN148_1641
ko:K09747	cjb:BN148_1642
ko:K00795	cjb:BN148_1644
ko:K02568	cjb:BN148_0783
ko:K02570	cjb:BN148_0785
ko:K01433	cjb:BN148_0790
ko:K01929	cjb:BN148_0795c
ko:K01921	cjb:BN148_0798c
ko:K03550	cjb:BN148_0799c
ko:K03980	cjb:BN148_0801
ko:K01883	cjb:BN148_0802
ko:K01714	cjb:BN148_0806
ko:K00912	cjb:BN148_0811
ko:K01733	cjb:BN148_0812
ko:K00979	cjb:BN148_0813
ko:K02419	cjb:BN148_0820c
ko:K04042	cjb:BN148_0821
ko:K13038	cjb:BN148_0822
ko:K00806	cjb:BN148_0824
ko:K02654	cjb:BN148_0825
ko:K07091	cjb:BN148_0826
ko:K06173	cjb:BN148_0827
ko:K01754	cjb:BN148_0828c
ko:K06929	cjb:BN148_0829c
ko:K09943	cjb:BN148_0830
ko:K01682	cjb:BN148_0835c
ko:K01772	cjb:BN148_0837c
ko:K00615	cjb:BN148_1645
ko:K02066	cjb:BN148_1646
ko:K02065	cjb:BN148_1647
ko:K01265	cjb:BN148_1651c
ko:K01776	cjb:BN148_1652c
ko:K03313	cjb:BN148_1654c
ko:K03313	cjb:BN148_1655c
ko:K07243	cjb:BN148_1658
ko:K07230	cjb:BN148_1659
ko:K02003	cjb:BN148_1663
ko:K01689	cjb:BN148_1672c
ko:K02420	cjb:BN148_1675
ko:K00075	cjb:BN148_1676
ko:K01647	cjb:BN148_1682c
ko:K01012	cjb:BN148_1685c
ko:K03168	cjb:BN148_1686c
ko:K03076	cjb:BN148_1688c
ko:K02876	cjb:BN148_1689c
ko:K02988	cjb:BN148_1690c
ko:K02881	cjb:BN148_1691c
ko:K02933	cjb:BN148_1692c
ko:K02994	cjb:BN148_1693c
ko:K02954	cjb:BN148_1694c
ko:K02931	cjb:BN148_1695c
ko:K02895	cjb:BN148_1696c
ko:K02874	cjb:BN148_1697c
ko:K02961	cjb:BN148_1698c
ko:K01874	cjb:BN148_0838c
ko:K03841	cjb:BN148_0840c
ko:K03753	cjb:BN148_0841c
ko:K08309	cjb:BN148_0843c
ko:K02221	cjb:BN148_0844c
ko:K01613	cjb:BN148_0847
ko:K04061	cjb:BN148_0848c
ko:K01845	cjb:BN148_0853c
ko:K01491	cjb:BN148_0855
ko:K03100	cjb:BN148_0856
ko:K03750	cjb:BN148_0857c
ko:K00790	cjb:BN148_0858c
ko:K03611	cjb:BN148_0865
ko:K03673	cjb:BN148_0872
ko:K02904	cjb:BN148_1699c
ko:K02878	cjb:BN148_1700c
ko:K02982	cjb:BN148_1701c
ko:K02890	cjb:BN148_1702c
ko:K02965	cjb:BN148_1703c
ko:K02886	cjb:BN148_1704c
ko:K02892	cjb:BN148_1705c
ko:K02926	cjb:BN148_1706c
ko:K02906	cjb:BN148_1707c
ko:K02946	cjb:BN148_1708c
ko:K06178	cjb:BN148_1709c
ko:K02528	cjb:BN148_1711c
ko:K06941	cjb:BN148_1713
ko:K01704	cjb:BN148_1716c
ko:K01703	cjb:BN148_1717c
ko:K00052	cjb:BN148_1718c
ko:K01649	cjb:BN148_1719c
ko:K09457	cjb:BN148_1724c
ko:K00651	cjb:BN148_1726c
ko:K01740	cjb:BN148_1727c
ko:K02390	cjb:BN148_1729c
ko:K01159	cjb:BN148_1731c
ko:K00782	cjb:BN148_0073c
ko:K03303	cjb:BN148_0076c
ko:K00425	cjb:BN148_0081
ko:K00426	cjb:BN148_0082
ko:K01779	cjb:BN148_0085c
ko:K03648	cjb:BN148_0086c
ko:K01744	cjb:BN148_0087
ko:K07791	cjb:BN148_0088
ko:K09859	cjb:BN148_0089
ko:K07337	cjb:BN148_0091
ko:K02888	cjb:BN148_0094
ko:K02899	cjb:BN148_0095
ko:K03979	cjb:BN148_0096
ko:K00931	cjb:BN148_0097
ko:K00604	cjb:BN148_0098
ko:K03524	cjb:BN148_0099
ko:K02109	cjb:BN148_0102
ko:K02109	cjb:BN148_0103
ko:K02113	cjb:BN148_0104
ko:K02111	cjb:BN148_0105
ko:K02115	cjb:BN148_0106
ko:K02112	cjb:BN148_0107
ko:K02114	cjb:BN148_0108
ko:K03832	cjb:BN148_0111
ko:K03641	cjb:BN148_0112
ko:K03640	cjb:BN148_0113
ko:K03775	cjb:BN148_0115
ko:K00645	cjb:BN148_0116
ko:K07042	cjb:BN148_0121
ko:K06204	cjb:BN148_0125c
ko:K00783	cjb:BN148_0126c
ko:K01963	cjb:BN148_0127c
ko:K07277	cjb:BN148_0129c
ko:K02535	cjb:BN148_0132
ko:K00872	cjb:BN148_0134
ko:K02519	cjb:BN148_0136
ko:K02834	cjb:BN148_0137
ko:K09748	cjb:BN148_0138
ko:K09816	cjb:BN148_0141c
ko:K09817	cjb:BN148_0142c
ko:K07093	cjb:BN148_0145
ko:K00384	cjb:BN148_0146c
ko:K03671	cjb:BN148_0147c
ko:K07460	cjb:BN148_0148c
ko:K00003	cjb:BN148_0149c
ko:K14261	cjb:BN148_0150c
ko:K03218	cjb:BN148_0153c
ko:K07056	cjb:BN148_0154c
ko:K02909	cjb:BN148_0155c
ko:K09761	cjb:BN148_0156c
ko:K01737	cjb:BN148_0159c
ko:K03639	cjb:BN148_0161c
ko:K03179	cjb:BN148_0164c
ko:K00791	cjb:BN148_0166
ko:K04564	cjb:BN148_0169
ko:K02011	cjb:BN148_0174c
ko:K02012	cjb:BN148_0175c
ko:K16087	cjb:BN148_0178
ko:K03561	cjb:BN148_0179
ko:K03832	cjb:BN148_0181
ko:K11175	cjb:BN148_0187c
ko:K07391	cjb:BN148_0190c
ko:K01462	cjb:BN148_0191c
ko:K01358	cjb:BN148_0192c
ko:K03545	cjb:BN148_0193c
ko:K01495	cjb:BN148_0194
ko:K02412	cjb:BN148_0195
ko:K00764	cjb:BN148_0196c
ko:K00215	cjb:BN148_0197c
ko:K07478	cjb:BN148_0198c
ko:K03300	cjb:BN148_0203
ko:K06153	cjb:BN148_0205
ko:K01868	cjb:BN148_0206
ko:K02520	cjb:BN148_0207
ko:K00145	cjb:BN148_0224
ko:K00930	cjb:BN148_0226
ko:K00573	cjb:BN148_0228c
ko:K00763	cjb:BN148_0230c
ko:K00762	cjb:BN148_0233c
ko:K02838	cjb:BN148_0234c
ko:K03075	cjb:BN148_0235c
ko:K01673	cjb:BN148_0237
ko:K16052	cjb:BN148_0238
ko:K13819	cjb:BN148_0239c
ko:K04487	cjb:BN148_0240c
ko:K02916	cjb:BN148_0244
ko:K02887	cjb:BN148_0245
ko:K06193	cjb:BN148_0185c
ko:K03637	cjb:BN148_0252
ko:K01142	cjb:BN148_0255c
ko:K03760	cjb:BN148_0256
ko:K00901	cjb:BN148_0257
ko:K01465	cjb:BN148_0259
ko:K07238	cjb:BN148_0263
ko:K03532	cjb:BN148_0265c
ko:K00826	cjb:BN148_0269c
ko:K01821	cjb:BN148_0270
ko:K03564	cjb:BN148_0271
ko:K09765	cjb:BN148_0272
ko:K02372	cjb:BN148_0273
ko:K00677	cjb:BN148_0274
ko:K03544	cjb:BN148_0275
ko:K03569	cjb:BN148_0276
ko:K03570	cjb:BN148_0277
ko:K01955	cjb:BN148_0279
ko:K01079	cjb:BN148_0282c
ko:K03408	cjb:BN148_0283c
ko:K03407	cjb:BN148_0284c
ko:K03415	cjb:BN148_0285c
ko:K03269	cjb:BN148_0286c
ko:K03624	cjb:BN148_0287c
ko:K00748	cjb:BN148_0288c
ko:K03787	cjb:BN148_0293
ko:K01579	cjb:BN148_0296c
ko:K00428	cjb:BN148_0020c
ko:K06180	cjb:BN148_0022c
ko:K01756	cjb:BN148_0023
ko:K06956	cjb:BN148_0025c
ko:K01937	cjb:BN148_0027
ko:K07462	cjb:BN148_0028
ko:K07552	cjb:BN148_0035c
ko:K06207	cjb:BN148_0039c
ko:K02389	cjb:BN148_0042
ko:K02390	cjb:BN148_0043
ko:K00566	cjb:BN148_0053c
ko:K06966	cjb:BN148_0054c
ko:K02417	cjb:BN148_0059c
ko:K02416	cjb:BN148_0060c
ko:K02405	cjb:BN148_0061c
ko:K04562	cjb:BN148_0063c
ko:K02404	cjb:BN148_0064c
ko:K00950	cjb:BN148_0065c
ko:K03786	cjb:BN148_0066c
ko:K04773	cjb:BN148_0068
ko:K15257	cjb:BN148_0976
ko:K09861	cjb:BN148_0984
ko:K00611	cjb:BN148_0994c
ko:K01698	cjb:BN148_0995c
ko:K03501	cjb:BN148_0997
ko:K03086	cjb:BN148_1001
ko:K08296	cjb:BN148_1002c
ko:K01735	cjb:BN148_1008c
ko:K09944	cjb:BN148_1009c
ko:K00773	cjb:BN148_1010
ko:K01996	cjb:BN148_1014c
ko:K01995	cjb:BN148_1015c
ko:K01998	cjb:BN148_1016c
ko:K01997	cjb:BN148_1017c
ko:K01999	cjb:BN148_1018c
ko:K01999	cjb:BN148_1019c
ko:K00133	cjb:BN148_1023c
ko:K09860	cjb:BN148_1026c
ko:K02469	cjb:BN148_1027c
ko:K03596	cjb:BN148_1030c
ko:K03686	cjb:BN148_1034c
ko:K03588	cjb:BN148_1038
ko:K02563	cjb:BN148_1039
ko:K03449	cjb:BN148_1040c
ko:K00788	cjb:BN148_1043c
ko:K03150	cjb:BN148_1044c
ko:K03149	cjb:BN148_1045c
ko:K03154	cjb:BN148_1047c
ko:K06895	cjb:BN148_1049c
ko:K12410	cjb:BN148_1050c
ko:K07456	cjb:BN148_1052c
ko:K01924	cjb:BN148_1054c
ko:K03602	cjb:BN148_1057c
ko:K01870	cjb:BN148_1061c
ko:K00995	cjb:BN148_1067
ko:K11749	cjb:BN148_1068
ko:K02990	cjb:BN148_1070
ko:K02963	cjb:BN148_1072
ko:K01338	cjb:BN148_1073c
ko:K05807	cjb:BN148_1074c
ko:K13626	cjb:BN148_1075
ko:K00286	cjb:BN148_1076
ko:K00788	cjb:BN148_1081c
ko:K00941	cjb:BN148_1082c
ko:K06923	cjb:BN148_1084c
ko:K03723	cjb:BN148_1085c
ko:K11754	cjb:BN148_1088c
ko:K01869	cjb:BN148_1091c
ko:K03074	cjb:BN148_1092c
ko:K03072	cjb:BN148_1093c
ko:K03210	cjb:BN148_1094c
ko:K03820	cjb:BN148_1095
ko:K00789	cjb:BN148_1096c
ko:K07862	cjb:BN148_1097
ko:K00609	cjb:BN148_1098
ko:K08602	cjb:BN148_1099
ko:K03657	cjb:BN148_1101
ko:K03563	cjb:BN148_1103
ko:K00919	cjb:BN148_1104
ko:K03664	cjb:BN148_1105
ko:K06891	cjb:BN148_1107
ko:K03694	cjb:BN148_1108
ko:K00684	cjb:BN148_1109
ko:K01613	cjb:BN148_1115c
ko:K03798	cjb:BN148_1116c
ko:K02687	cjb:BN148_1117c
ko:K03413	cjb:BN148_1118c
ko:K07501	cjb:BN148_1132c
ko:K02841	cjb:BN148_1133
ko:K02517	cjb:BN148_1134
ko:K03271	cjb:BN148_1149c
ko:K03272	cjb:BN148_1150c
ko:K03274	cjb:BN148_1151c
ko:K03273	cjb:BN148_1152c
ko:K03628	cjb:BN148_1156
ko:K02343	cjb:BN148_1157
ko:K01918	cjb:BN148_0297c
ko:K00606	cjb:BN148_0298c
ko:K02018	cjb:BN148_0301c
ko:K02020	cjb:BN148_0303c
ko:K02169	cjb:BN148_0304c
ko:K09789	cjb:BN148_0305c
ko:K00833	cjb:BN148_0307
ko:K01935	cjb:BN148_0308c
ko:K02897	cjb:BN148_0311
ko:K01056	cjb:BN148_0312
ko:K11720	cjb:BN148_0313
ko:K01586	cjb:BN148_0314
ko:K14170	cjb:BN148_0316
ko:K00817	cjb:BN148_0317
ko:K02409	cjb:BN148_0318
ko:K02410	cjb:BN148_0319
ko:K02411	cjb:BN148_0320
ko:K01662	cjb:BN148_0321
ko:K03183	cjb:BN148_0324
ko:K03601	cjb:BN148_0325
ko:K00831	cjb:BN148_0326
ko:K00648	cjb:BN148_0328c
ko:K03621	cjb:BN148_0329c
ko:K02911	cjb:BN148_0330c
ko:K16264	cjb:BN148_1163c
ko:K18682	cjb:BN148_1209
ko:K11743	cjb:BN148_1173
ko:K11742	cjb:BN148_1174
ko:K01887	cjb:BN148_1175c
ko:K03116	cjb:BN148_1176c
ko:K00942	cjb:BN148_1177c
ko:K02421	cjb:BN148_1179c
ko:K02357	cjb:BN148_1181c
ko:K02967	cjb:BN148_1182c
ko:K00574	cjb:BN148_1183c
ko:K00413	cjb:BN148_1184c
ko:K00412	cjb:BN148_1185c
ko:K00411	cjb:BN148_1186c
ko:K03893	cjb:BN148_1187c
ko:K03495	cjb:BN148_1188c
ko:K11103	cjb:BN148_1192
ko:K03306	cjb:BN148_1194
ko:K01465	cjb:BN148_1195c
ko:K00057	cjb:BN148_1196c
ko:K02434	cjb:BN148_1197c
ko:K07173	cjb:BN148_1198
ko:K00549	cjb:BN148_1201
ko:K00297	cjb:BN148_1202
ko:K02108	cjb:BN148_1204c
ko:K04485	cjb:BN148_1205c
ko:K03110	cjb:BN148_1206c
ko:K00940	cjb:BN148_0332c
ko:K02401	cjb:BN148_0335
ko:K02557	cjb:BN148_0336c
ko:K02556	cjb:BN148_0337c
ko:K03701	cjb:BN148_0342c
ko:K07090	cjb:BN148_0343c
ko:K01657	cjb:BN148_0345
ko:K13497	cjb:BN148_0346
ko:K01817	cjb:BN148_0347
ko:K01696	cjb:BN148_0348
ko:K01695	cjb:BN148_0349
ko:K02417	cjb:BN148_0351
ko:K01524	cjb:BN148_0353c
ko:K01633	cjb:BN148_0356c
ko:K08591	cjb:BN148_0357c
ko:K00428	cjb:BN148_0358
ko:K03431	cjb:BN148_0360
ko:K03101	cjb:BN148_0361
ko:K08973	cjb:BN148_0362
ko:K03585	cjb:BN148_0367c
ko:K02970	cjb:BN148_0370
ko:K09767	cjb:BN148_0374
ko:K01591	cjb:BN148_0381c
ko:K03625	cjb:BN148_0382c
ko:K00794	cjb:BN148_0383c
ko:K01627	cjb:BN148_0384c
ko:K03977	cjb:BN148_0386
ko:K07058	cjb:BN148_1212c
ko:K05810	cjb:BN148_1217c
ko:K00793	cjb:BN148_1218c
ko:K04078	cjb:BN148_1220
ko:K04077	cjb:BN148_1221
ko:K05516	cjb:BN148_1229
ko:K01091	cjb:BN148_1233
ko:K01879	cjb:BN148_1234
ko:K01524	cjb:BN148_1237c
ko:K03474	cjb:BN148_1238
ko:K00097	cjb:BN148_1239
ko:K01599	cjb:BN148_1243
ko:K03703	cjb:BN148_1246c
ko:K01951	cjb:BN148_1248
ko:K01945	cjb:BN148_1250
ko:K04744	cjb:BN148_1252
ko:K00962	cjb:BN148_1253
ko:K01821	cjb:BN148_1255
ko:K03686	cjb:BN148_1260c
ko:K06187	cjb:BN148_1263
ko:K00891	cjb:BN148_0387
ko:K01867	cjb:BN148_0388
ko:K01875	cjb:BN148_0389
ko:K00873	cjb:BN148_0392c
ko:K00116	cjb:BN148_0393c
ko:K03525	cjb:BN148_0394c
ko:K02435	cjb:BN148_0398
ko:K03558	cjb:BN148_0399
ko:K04567	cjb:BN148_0401
ko:K00600	cjb:BN148_0402
ko:K03749	cjb:BN148_0404
ko:K00014	cjb:BN148_0405
ko:K13292	cjb:BN148_0407
ko:K00246	cjb:BN148_0408
ko:K06152	cjb:BN148_0414
ko:K06151	cjb:BN148_0415
ko:K01925	cjb:BN148_0432c
ko:K01000	cjb:BN148_0433c
ko:K15633	cjb:BN148_0434
ko:K00239	cjb:BN148_0437
ko:K00240	cjb:BN148_0438
ko:K03620	cjb:BN148_1265c
ko:K01448	cjb:BN148_1269c
