ko:K18929	cji:CJSA_0067
ko:K00684	cji:CJSA_1051
ko:K18139	cji:CJSA_0338
ko:K03831	cji:CJSA_0689
ko:K03284	cji:CJSA_0690
ko:K02053	cji:CJSA_0695
ko:K03832	cji:CJSA_0710
ko:K03705	cji:CJSA_0713
ko:K03687	cji:CJSA_0714
ko:K04043	cji:CJSA_0715
ko:K00812	cji:CJSA_0718
ko:K00640	cji:CJSA_0719
ko:K01892	cji:CJSA_0721
ko:K00943	cji:CJSA_0722
ko:K00954	cji:CJSA_0723
ko:K03186	cji:CJSA_0724
ko:K02386	cji:CJSA_0725
ko:K02073	cji:CJSA_0728
ko:K02072	cji:CJSA_0729
ko:K02071	cji:CJSA_0730
ko:K01873	cji:CJSA_0731
ko:K03657	cji:CJSA_0733
ko:K11065	cji:CJSA_0735
ko:K02567	cji:CJSA_0736
ko:K02573	cji:CJSA_0737
ko:K02568	cji:CJSA_0739
ko:K02570	cji:CJSA_0741
ko:K01154	cji:CJSA_1467
ko:K03427	cji:CJSA_1469
ko:K07118	cji:CJSA_1470
ko:K07089	cji:CJSA_1473
ko:K00343	cji:CJSA_1478
ko:K00342	cji:CJSA_1479
ko:K00341	cji:CJSA_1480
ko:K00340	cji:CJSA_1481
ko:K00339	cji:CJSA_1482
ko:K00338	cji:CJSA_1483
ko:K00337	cji:CJSA_1484
ko:K00334	cji:CJSA_1487
ko:K00333	cji:CJSA_1488
ko:K00332	cji:CJSA_1489
ko:K00331	cji:CJSA_1490
ko:K00330	cji:CJSA_1491
ko:K02034	cji:CJSA_1494
ko:K06159	cji:CJSA_1499
ko:K02518	cji:CJSA_1502
ko:K02919	cji:CJSA_1503
ko:K02952	cji:CJSA_1504
ko:K02948	cji:CJSA_1505
ko:K02986	cji:CJSA_1506
ko:K03040	cji:CJSA_1507
ko:K02879	cji:CJSA_1508
ko:K00765	cji:CJSA_1509
ko:K00013	cji:CJSA_1510
ko:K01089	cji:CJSA_1511
ko:K02501	cji:CJSA_1512
ko:K01814	cji:CJSA_1513
ko:K09805	cji:CJSA_1514
ko:K02500	cji:CJSA_1515
ko:K11755	cji:CJSA_1516
ko:K01079	cji:CJSA_0258
ko:K03408	cji:CJSA_0259
ko:K03407	cji:CJSA_0260
ko:K03415	cji:CJSA_0261
ko:K03269	cji:CJSA_0262
ko:K03624	cji:CJSA_0263
ko:K00748	cji:CJSA_0264
ko:K03787	cji:CJSA_0267
ko:K01579	cji:CJSA_0270
ko:K01918	cji:CJSA_0271
ko:K00606	cji:CJSA_0272
ko:K02018	cji:CJSA_0275
ko:K02020	cji:CJSA_0277
ko:K02169	cji:CJSA_0278
ko:K09789	cji:CJSA_0279
ko:K00833	cji:CJSA_0281
ko:K01935	cji:CJSA_0282
ko:K02897	cji:CJSA_0285
ko:K01056	cji:CJSA_0286
ko:K11720	cji:CJSA_0287
ko:K01586	cji:CJSA_0288
ko:K14170	cji:CJSA_0290
ko:K00817	cji:CJSA_0291
ko:K02409	cji:CJSA_0292
ko:K02410	cji:CJSA_0293
ko:K02411	cji:CJSA_0294
ko:K01662	cji:CJSA_0295
ko:K03183	cji:CJSA_0298
ko:K03601	cji:CJSA_0299
ko:K00831	cji:CJSA_0300
ko:K00648	cji:CJSA_0302
ko:K03621	cji:CJSA_0303
ko:K02911	cji:CJSA_0304
ko:K00940	cji:CJSA_0306
ko:K02401	cji:CJSA_0309
ko:K02557	cji:CJSA_0310
ko:K01613	cji:CJSA_1057
ko:K03798	cji:CJSA_1058
ko:K02687	cji:CJSA_1059
ko:K03413	cji:CJSA_1060
ko:K07501	cji:CJSA_1074
ko:K02841	cji:CJSA_1075
ko:K02517	cji:CJSA_1076
ko:K03271	cji:CJSA_1089
ko:K03272	cji:CJSA_1090
ko:K03274	cji:CJSA_1091
ko:K03273	cji:CJSA_1092
ko:K03628	cji:CJSA_1096
ko:K02343	cji:CJSA_1097
ko:K01433	cji:CJSA_0746
ko:K01929	cji:CJSA_0751
ko:K01921	cji:CJSA_0754
ko:K03550	cji:CJSA_0755
ko:K03980	cji:CJSA_0757
ko:K01883	cji:CJSA_0758
ko:K01714	cji:CJSA_0762
ko:K00912	cji:CJSA_0767
ko:K01733	cji:CJSA_0768
ko:K00979	cji:CJSA_0769
ko:K02419	cji:CJSA_0775
ko:K04042	cji:CJSA_0776
ko:K13038	cji:CJSA_0777
ko:K00806	cji:CJSA_0779
ko:K02654	cji:CJSA_0780
ko:K07091	cji:CJSA_0781
ko:K06173	cji:CJSA_0782
ko:K01754	cji:CJSA_0783
ko:K06929	cji:CJSA_0784
ko:K09943	cji:CJSA_0785
ko:K01682	cji:CJSA_0790
ko:K02556	cji:CJSA_0311
ko:K03701	cji:CJSA_0316
ko:K07090	cji:CJSA_0317
ko:K01657	cji:CJSA_0319
ko:K13497	cji:CJSA_0320
ko:K01817	cji:CJSA_0321
ko:K01696	cji:CJSA_0322
ko:K01695	cji:CJSA_0323
ko:K02417	cji:CJSA_0325
ko:K01524	cji:CJSA_0327
ko:K01633	cji:CJSA_0330
ko:K08591	cji:CJSA_0331
ko:K00428	cji:CJSA_0332
ko:K03431	cji:CJSA_0333
ko:K01874	cji:CJSA_0793
ko:K03841	cji:CJSA_0795
ko:K03753	cji:CJSA_0796
ko:K12506	cji:CJSA_1519
ko:K00958	cji:CJSA_1521
ko:K01095	cji:CJSA_1522
ko:K02968	cji:CJSA_1523
ko:K02835	cji:CJSA_1524
ko:K07226	cji:CJSA_1525
ko:K02015	cji:CJSA_1527
ko:K02013	cji:CJSA_1528
ko:K02016	cji:CJSA_1529
ko:K03575	cji:CJSA_1532
ko:K11752	cji:CJSA_1534
ko:K01752	cji:CJSA_1536
ko:K03837	cji:CJSA_1537
ko:K03561	cji:CJSA_1540
ko:K03832	cji:CJSA_1542
ko:K00566	cji:CJSA_1545
ko:K01736	cji:CJSA_1546
ko:K03685	cji:CJSA_1547
ko:K01928	cji:CJSA_1553
ko:K09747	cji:CJSA_1554
ko:K00795	cji:CJSA_1556
ko:K00615	cji:CJSA_1557
ko:K02066	cji:CJSA_1558
ko:K02065	cji:CJSA_1559
ko:K01265	cji:CJSA_1563
ko:K01776	cji:CJSA_1564
ko:K03313	cji:CJSA_1566
ko:K03313	cji:CJSA_1567
ko:K01772	cji:CJSA_0792
ko:K08973	cji:CJSA_0335
ko:K03585	cji:CJSA_0340
ko:K02970	cji:CJSA_0343
ko:K09767	cji:CJSA_0347
ko:K01591	cji:CJSA_0354
ko:K03625	cji:CJSA_0355
ko:K00794	cji:CJSA_0356
ko:K01627	cji:CJSA_0357
ko:K03977	cji:CJSA_0359
ko:K00891	cji:CJSA_0360
ko:K01867	cji:CJSA_0361
ko:K01875	cji:CJSA_0362
ko:K11743	cji:CJSA_1111
ko:K11742	cji:CJSA_1112
ko:K01887	cji:CJSA_1113
ko:K03116	cji:CJSA_1114
ko:K00942	cji:CJSA_1115
ko:K02421	cji:CJSA_1117
ko:K02357	cji:CJSA_1119
ko:K02967	cji:CJSA_1120
ko:K00574	cji:CJSA_1121
ko:K00413	cji:CJSA_1122
ko:K00412	cji:CJSA_1123
ko:K00411	cji:CJSA_1124
ko:K03893	cji:CJSA_1125
ko:K03495	cji:CJSA_1126
ko:K11103	cji:CJSA_1130
ko:K03306	cji:CJSA_1132
ko:K01465	cji:CJSA_1133
ko:K00057	cji:CJSA_1134
ko:K02434	cji:CJSA_1135
ko:K07173	cji:CJSA_1136
ko:K00549	cji:CJSA_1139
ko:K00297	cji:CJSA_1140
ko:K02108	cji:CJSA_1142
ko:K04485	cji:CJSA_1143
ko:K03110	cji:CJSA_1144
ko:K07058	cji:CJSA_1150
ko:K03101	cji:CJSA_0334
ko:K02313	cji:CJSA_0001
ko:K02338	cji:CJSA_0002
ko:K02470	cji:CJSA_0003
ko:K07084	cji:CJSA_0006
ko:K00266	cji:CJSA_0009
ko:K00873	cji:CJSA_0365
ko:K00116	cji:CJSA_0366
ko:K03525	cji:CJSA_0367
ko:K02435	cji:CJSA_0371
ko:K03558	cji:CJSA_0372
ko:K04567	cji:CJSA_0374
ko:K00600	cji:CJSA_0375
ko:K03749	cji:CJSA_0377
ko:K00014	cji:CJSA_0378
ko:K13292	cji:CJSA_0380
ko:K00246	cji:CJSA_0381
ko:K06152	cji:CJSA_0387
ko:K06151	cji:CJSA_0388
ko:K01925	cji:CJSA_0404
ko:K01000	cji:CJSA_0405
ko:K15633	cji:CJSA_0406
ko:K00239	cji:CJSA_0409
ko:K00240	cji:CJSA_0410
ko:K03470	cji:CJSA_0010
ko:K02237	cji:CJSA_0011
ko:K01687	cji:CJSA_0013
ko:K08996	cji:CJSA_0014
ko:K07023	cji:CJSA_0015
ko:K06920	cji:CJSA_0016
ko:K00428	cji:CJSA_0020
ko:K06180	cji:CJSA_0022
ko:K01756	cji:CJSA_0023
ko:K06956	cji:CJSA_0025
ko:K01937	cji:CJSA_0027
ko:K07462	cji:CJSA_0028
ko:K08309	cji:CJSA_0798
ko:K02221	cji:CJSA_0799
ko:K01613	cji:CJSA_0802
ko:K04061	cji:CJSA_0803
ko:K01845	cji:CJSA_0808
ko:K01491	cji:CJSA_0810
ko:K03100	cji:CJSA_0811
ko:K03750	cji:CJSA_0812
ko:K00790	cji:CJSA_0813
ko:K03611	cji:CJSA_0819
ko:K03673	cji:CJSA_0821
ko:K02400	cji:CJSA_0829
ko:K02956	cji:CJSA_0831
ko:K03466	cji:CJSA_0832
ko:K02397	cji:CJSA_0833
ko:K15738	cji:CJSA_0834
ko:K02945	cji:CJSA_0839
ko:K03527	cji:CJSA_0840
ko:K00800	cji:CJSA_0841
ko:K01890	cji:CJSA_0842
ko:K01889	cji:CJSA_0843
ko:K02503	cji:CJSA_0844
ko:K03152	cji:CJSA_0845
ko:K07243	cji:CJSA_1569
ko:K07230	cji:CJSA_1570
ko:K02003	cji:CJSA_1574
ko:K01689	cji:CJSA_1583
ko:K02420	cji:CJSA_1586
ko:K00075	cji:CJSA_1587
ko:K01647	cji:CJSA_1592
ko:K01012	cji:CJSA_1594
ko:K03168	cji:CJSA_1595
ko:K03076	cji:CJSA_1597
ko:K02876	cji:CJSA_1598
ko:K02988	cji:CJSA_1599
ko:K02881	cji:CJSA_1600
ko:K02933	cji:CJSA_1601
ko:K02994	cji:CJSA_1602
ko:K02954	cji:CJSA_1603
ko:K02931	cji:CJSA_1604
ko:K02895	cji:CJSA_1605
ko:K02874	cji:CJSA_1606
ko:K02961	cji:CJSA_1607
ko:K02904	cji:CJSA_1608
ko:K02878	cji:CJSA_1609
ko:K02982	cji:CJSA_1610
ko:K02890	cji:CJSA_1611
ko:K02965	cji:CJSA_1612
ko:K02886	cji:CJSA_1613
ko:K02892	cji:CJSA_1614
ko:K02926	cji:CJSA_1615
ko:K02906	cji:CJSA_1616
ko:K02946	cji:CJSA_1617
ko:K06178	cji:CJSA_1618
ko:K03707	cji:CJSA_0412
ko:K02078	cji:CJSA_0413
ko:K09458	cji:CJSA_0414
ko:K01962	cji:CJSA_0415
ko:K05810	cji:CJSA_1155
ko:K00793	cji:CJSA_1156
ko:K04078	cji:CJSA_1158
ko:K04077	cji:CJSA_1159
ko:K05516	cji:CJSA_1167
ko:K01091	cji:CJSA_1171
ko:K01879	cji:CJSA_1172
ko:K01524	cji:CJSA_1175
ko:K03474	cji:CJSA_1176
ko:K00097	cji:CJSA_1177
ko:K01599	cji:CJSA_1181
ko:K03703	cji:CJSA_1184
ko:K01951	cji:CJSA_1187
ko:K01945	cji:CJSA_1189
ko:K04744	cji:CJSA_1191
ko:K00962	cji:CJSA_1192
ko:K01821	cji:CJSA_1194
ko:K03686	cji:CJSA_1199
ko:K06187	cji:CJSA_1202
ko:K03620	cji:CJSA_1204
ko:K01448	cji:CJSA_1208
ko:K09794	cji:CJSA_0419
ko:K02902	cji:CJSA_0420
ko:K01783	cji:CJSA_0421
ko:K03147	cji:CJSA_0423
ko:K09778	cji:CJSA_0427
ko:K06168	cji:CJSA_0428
ko:K02600	cji:CJSA_0430
ko:K03655	cji:CJSA_0434
ko:K06886	cji:CJSA_0435
ko:K02029	cji:CJSA_0437
ko:K02358	cji:CJSA_0440
ko:K02913	cji:CJSA_0441
ko:K03073	cji:CJSA_0442
ko:K02601	cji:CJSA_0443
ko:K02867	cji:CJSA_0444
ko:K02863	cji:CJSA_0445
ko:K02864	cji:CJSA_0446
ko:K02935	cji:CJSA_0447
ko:K03043	cji:CJSA_0448
ko:K01714	cji:CJSA_0451
ko:K02429	cji:CJSA_0457
ko:K03534	cji:CJSA_0459
ko:K07248	cji:CJSA_0461
ko:K02950	cji:CJSA_0462
ko:K02992	cji:CJSA_0463
ko:K02355	cji:CJSA_0464
ko:K06940	cji:CJSA_0467
ko:K00459	cji:CJSA_1209
ko:K01866	cji:CJSA_1210
ko:K03060	cji:CJSA_1212
ko:K09903	cji:CJSA_1213
ko:K09811	cji:CJSA_1215
ko:K09812	cji:CJSA_1216
ko:K03439	cji:CJSA_1217
ko:K06180	cji:CJSA_1219
ko:K05837	cji:CJSA_1220
ko:K00761	cji:CJSA_1224
ko:K00029	cji:CJSA_1225
ko:K01961	cji:CJSA_1228
ko:K02160	cji:CJSA_1229
ko:K01494	cji:CJSA_1230
ko:K15894	cji:CJSA_1231
ko:K00648	cji:CJSA_1241
ko:K02500	cji:CJSA_1252
ko:K02501	cji:CJSA_1253
ko:K07552	cji:CJSA_0035
ko:K06207	cji:CJSA_0039
ko:K02389	cji:CJSA_0042
ko:K02390	cji:CJSA_0043
ko:K00566	cji:CJSA_0047
ko:K06966	cji:CJSA_0048
ko:K02417	cji:CJSA_0053
ko:K02416	cji:CJSA_0054
ko:K02405	cji:CJSA_0055
ko:K04562	cji:CJSA_0057
ko:K02404	cji:CJSA_0058
ko:K00950	cji:CJSA_0059
ko:K03786	cji:CJSA_0060
ko:K04773	cji:CJSA_0062
ko:K00782	cji:CJSA_0066
ko:K03303	cji:CJSA_0069
ko:K00425	cji:CJSA_0074
ko:K00426	cji:CJSA_0075
ko:K01779	cji:CJSA_0076
ko:K03648	cji:CJSA_0077
ko:K01744	cji:CJSA_0078
ko:K07791	cji:CJSA_0079
ko:K09859	cji:CJSA_0080
ko:K07337	cji:CJSA_0082
ko:K02888	cji:CJSA_0085
ko:K02899	cji:CJSA_0086
ko:K03979	cji:CJSA_0087
ko:K00931	cji:CJSA_0088
ko:K00604	cji:CJSA_0089
ko:K03524	cji:CJSA_0090
ko:K03310	cji:CJSA_0849
ko:K03216	cji:CJSA_0850
ko:K01775	cji:CJSA_0851
ko:K07152	cji:CJSA_0856
ko:K01738	cji:CJSA_0857
ko:K03530	cji:CJSA_0858
ko:K10806	cji:CJSA_0860
ko:K06200	cji:CJSA_0862
ko:K00948	cji:CJSA_0863
ko:K03412	cji:CJSA_0869
ko:K01808	cji:CJSA_0870
ko:K00759	cji:CJSA_0872
ko:K01255	cji:CJSA_0874
ko:K06942	cji:CJSA_0875
ko:K01755	cji:CJSA_0876
ko:K01610	cji:CJSA_0877
ko:K01960	cji:CJSA_0878
ko:K03308	cji:CJSA_0879
ko:K03308	cji:CJSA_0880
ko:K02110	cji:CJSA_0881
ko:K07088	cji:CJSA_0882
ko:K05939	cji:CJSA_0883
ko:K03070	cji:CJSA_0887
ko:K03634	cji:CJSA_0888
ko:K12251	cji:CJSA_0892
ko:K02528	cji:CJSA_1620
ko:K06941	cji:CJSA_1622
ko:K01704	cji:CJSA_1625
ko:K01703	cji:CJSA_1626
ko:K00052	cji:CJSA_1627
ko:K01649	cji:CJSA_1628
ko:K09457	cji:CJSA_1631
ko:K02390	cji:CJSA_1632
ko:K01159	cji:CJSA_1633
ko:K03168	cji:CJSA_pVir0012
ko:K01609	cji:CJSA_0469
ko:K06917	cji:CJSA_0471
ko:K01772	cji:CJSA_0473
ko:K01872	cji:CJSA_0476
ko:K06287	cji:CJSA_0477
ko:K03695	cji:CJSA_0479
ko:K03797	cji:CJSA_0481
ko:K01923	cji:CJSA_0482
ko:K01952	cji:CJSA_0483
ko:K01952	cji:CJSA_0484
ko:K00655	cji:CJSA_0486
ko:K06199	cji:CJSA_0487
ko:K04079	cji:CJSA_0488
ko:K03324	cji:CJSA_0491
ko:K03587	cji:CJSA_0492
ko:K02408	cji:CJSA_0493
ko:K02388	cji:CJSA_0494
ko:K02387	cji:CJSA_0495
ko:K07082	cji:CJSA_0496
ko:K00031	cji:CJSA_0498
ko:K00024	cji:CJSA_0499
ko:K01903	cji:CJSA_0500
ko:K01902	cji:CJSA_0501
ko:K00176	cji:CJSA_0502
ko:K00174	cji:CJSA_0503
ko:K00175	cji:CJSA_0504
ko:K00177	cji:CJSA_0505
ko:K02523	cji:CJSA_0508
ko:K02492	cji:CJSA_0509
ko:K01881	cji:CJSA_0510
ko:K01649	cji:CJSA_0511
ko:K01749	cji:CJSA_0512
ko:K03182	cji:CJSA_0513
ko:K02407	cji:CJSA_0515
ko:K02422	cji:CJSA_0516
ko:K02356	cji:CJSA_0518
ko:K02406	cji:CJSA_1273
ko:K02406	cji:CJSA_1274
ko:K02456	cji:CJSA_1278
ko:K00099	cji:CJSA_1281
ko:K00981	cji:CJSA_1282
ko:K03752	cji:CJSA_1285
ko:K01058	cji:CJSA_1286
ko:K02015	cji:CJSA_1287
ko:K02015	cji:CJSA_1288
ko:K02013	cji:CJSA_1289
ko:K02016	cji:CJSA_1290
ko:K03385	cji:CJSA_1292
ko:K15876	cji:CJSA_1293
ko:K00937	cji:CJSA_1294
ko:K03407	cji:CJSA_1295
ko:K03551	cji:CJSA_1296
ko:K00820	cji:CJSA_1300
ko:K00990	cji:CJSA_1301
ko:K06901	cji:CJSA_1303
ko:K04754	cji:CJSA_1305
