ko:K01212	baz:BAMTA208_20470
ko:K01151	baz:BAMTA208_12895
ko:K03527	baz:BAMTA208_12910
ko:K06967	baz:BAMTA208_12920
ko:K03086	baz:BAMTA208_12930
ko:K09768	baz:BAMTA208_12940
ko:K09773	baz:BAMTA208_12945
ko:K01879	baz:BAMTA208_12955
ko:K01878	baz:BAMTA208_12960
ko:K03584	baz:BAMTA208_12965
ko:K07042	baz:BAMTA208_12990
ko:K07037	baz:BAMTA208_12995
ko:K06438	baz:BAMTA208_13005
ko:K07403	baz:BAMTA208_13025
ko:K09117	baz:BAMTA208_13030
ko:K02970	baz:BAMTA208_13035
ko:K03324	baz:BAMTA208_13040
ko:K09761	baz:BAMTA208_13050
ko:K02687	baz:BAMTA208_13055
ko:K03686	baz:BAMTA208_13060
ko:K04043	baz:BAMTA208_13065
ko:K03687	baz:BAMTA208_13070
ko:K03705	baz:BAMTA208_13075
ko:K03596	baz:BAMTA208_13085
ko:K06385	baz:BAMTA208_13095
ko:K06012	baz:BAMTA208_13100
ko:K02968	baz:BAMTA208_13105
ko:K02340	baz:BAMTA208_13110
ko:K02237	baz:BAMTA208_13130
ko:K02239	baz:BAMTA208_13135
ko:K02013	baz:BAMTA208_16845
ko:K02015	baz:BAMTA208_16850
ko:K02015	baz:BAMTA208_16855
ko:K02016	baz:BAMTA208_16860
ko:K03758	baz:BAMTA208_16870
ko:K07038	baz:BAMTA208_16880
ko:K07219	baz:BAMTA208_16890
ko:K02020	baz:BAMTA208_16895
ko:K02018	baz:BAMTA208_16900
ko:K00381	baz:BAMTA208_16945
ko:K03657	baz:BAMTA208_16955
ko:K03611	baz:BAMTA208_16970
ko:K01534	baz:BAMTA208_16980
ko:K01118	baz:BAMTA208_17005
ko:K03623	baz:BAMTA208_17065
ko:K03664	baz:BAMTA208_17070
ko:K12573	baz:BAMTA208_17080
ko:K07778	baz:BAMTA208_20065
ko:K10255	baz:BAMTA208_20070
ko:K03387	baz:BAMTA208_20120
ko:K01126	baz:BAMTA208_01050
ko:K02445	baz:BAMTA208_01055
ko:K08317	baz:BAMTA208_01080
ko:K08289	baz:BAMTA208_01085
ko:K01613	baz:BAMTA208_01100
ko:K07146	baz:BAMTA208_01110
ko:K11102	baz:BAMTA208_01115
ko:K00826	baz:BAMTA208_01120
ko:K01425	baz:BAMTA208_01140
ko:K07717	baz:BAMTA208_01145
ko:K07719	baz:BAMTA208_01150
ko:K15975	baz:BAMTA208_01180
ko:K15977	baz:BAMTA208_01185
ko:K01449	baz:BAMTA208_01205
ko:K03116	baz:BAMTA208_01220
ko:K03118	baz:BAMTA208_01225
ko:K01304	baz:BAMTA208_01230
ko:K07039	baz:BAMTA208_01255
ko:K11210	baz:BAMTA208_05195
ko:K06379	baz:BAMTA208_05230
ko:K03091	baz:BAMTA208_05235
ko:K06403	baz:BAMTA208_05240
ko:K06404	baz:BAMTA208_05245
ko:K06405	baz:BAMTA208_05250
ko:K06406	baz:BAMTA208_05255
ko:K06407	baz:BAMTA208_05260
ko:K06407	baz:BAMTA208_05265
ko:K06408	baz:BAMTA208_05270
ko:K01586	baz:BAMTA208_05275
ko:K03100	baz:BAMTA208_05300
ko:K11752	baz:BAMTA208_05315
ko:K00793	baz:BAMTA208_05320
ko:K14652	baz:BAMTA208_05325
ko:K00794	baz:BAMTA208_05330
ko:K02859	baz:BAMTA208_05335
ko:K05896	baz:BAMTA208_05350
ko:K06024	baz:BAMTA208_05355
ko:K06373	baz:BAMTA208_05370
ko:K06374	baz:BAMTA208_05375
ko:K06178	baz:BAMTA208_05380
ko:K07399	baz:BAMTA208_05390
ko:K07775	baz:BAMTA208_05400
ko:K00762	baz:BAMTA208_09375
ko:K01591	baz:BAMTA208_09380
ko:K01955	baz:BAMTA208_09395
ko:K01956	baz:BAMTA208_09400
ko:K01465	baz:BAMTA208_09405
ko:K07090	baz:BAMTA208_02605
ko:K07246	baz:BAMTA208_02640
ko:K03449	baz:BAMTA208_02690
ko:K07217	baz:BAMTA208_02715
ko:K00946	baz:BAMTA208_02735
ko:K06925	baz:BAMTA208_02740
ko:K03789	baz:BAMTA208_02750
ko:K06158	baz:BAMTA208_02760
ko:K03637	baz:BAMTA208_02765
ko:K01926	baz:BAMTA208_02770
ko:K03116	baz:BAMTA208_02775
ko:K03118	baz:BAMTA208_02780
ko:K04078	baz:BAMTA208_02795
ko:K04077	baz:BAMTA208_02800
ko:K07443	baz:BAMTA208_06945
ko:K09125	baz:BAMTA208_07000
ko:K03704	baz:BAMTA208_07025
ko:K00651	baz:BAMTA208_07040
ko:K00432	baz:BAMTA208_07050
ko:K06950	baz:BAMTA208_07055
ko:K03088	baz:BAMTA208_10875
ko:K07090	baz:BAMTA208_10955
ko:K01685	baz:BAMTA208_10975
ko:K02529	baz:BAMTA208_10985
ko:K01812	baz:BAMTA208_10990
ko:K03885	baz:BAMTA208_10995
ko:K02069	baz:BAMTA208_11020
ko:K00123	baz:BAMTA208_11050
ko:K07507	baz:BAMTA208_11070
ko:K02787	baz:BAMTA208_11105
ko:K02788	baz:BAMTA208_11105
ko:K11631	baz:BAMTA208_14855
ko:K11629	baz:BAMTA208_14860
ko:K11630	baz:BAMTA208_14865
ko:K07139	baz:BAMTA208_14925
ko:K01953	baz:BAMTA208_14960
ko:K00789	baz:BAMTA208_14965
ko:K01610	baz:BAMTA208_14975
ko:K04047	baz:BAMTA208_15015
ko:K07173	baz:BAMTA208_15030
ko:K08998	baz:BAMTA208_15035
ko:K01673	baz:BAMTA208_15040
ko:K02909	baz:BAMTA208_15045
ko:K00425	baz:BAMTA208_15050
ko:K00426	baz:BAMTA208_15055
ko:K01911	baz:BAMTA208_15070
ko:K01661	baz:BAMTA208_15075
ko:K02551	baz:BAMTA208_15085
ko:K01624	baz:BAMTA208_18810
ko:K02490	baz:BAMTA208_18815
ko:K01937	baz:BAMTA208_18825
ko:K06131	baz:BAMTA208_18840
ko:K06131	baz:BAMTA208_18860
ko:K00373	baz:BAMTA208_18870
ko:K00371	baz:BAMTA208_18875
ko:K00370	baz:BAMTA208_18880
ko:K02575	baz:BAMTA208_18900
ko:K01887	baz:BAMTA208_18905
ko:K00797	baz:BAMTA208_18940
ko:K01821	baz:BAMTA208_18965
ko:K06885	baz:BAMTA208_18985
ko:K06314	baz:BAMTA208_19000
ko:K00609	baz:BAMTA208_09410
ko:K02825	baz:BAMTA208_09420
ko:K06180	baz:BAMTA208_09425
ko:K03101	baz:BAMTA208_09430
ko:K01870	baz:BAMTA208_09440
ko:K04074	baz:BAMTA208_09450
ko:K02221	baz:BAMTA208_09460
ko:K09772	baz:BAMTA208_09465
ko:K06997	baz:BAMTA208_09470
ko:K05810	baz:BAMTA208_09475
ko:K02013	baz:BAMTA208_09490
ko:K03091	baz:BAMTA208_09500
ko:K03091	baz:BAMTA208_09505
ko:K06383	baz:BAMTA208_09510
ko:K03531	baz:BAMTA208_09520
ko:K03590	baz:BAMTA208_09525
ko:K03589	baz:BAMTA208_09530
ko:K00075	baz:BAMTA208_09535
ko:K02563	baz:BAMTA208_09540
ko:K03588	baz:BAMTA208_09545
ko:K01925	baz:BAMTA208_09550
ko:K01000	baz:BAMTA208_09555
ko:K01928	baz:BAMTA208_09560
ko:K08384	baz:BAMTA208_09565
ko:K03438	baz:BAMTA208_09580
ko:K03925	baz:BAMTA208_09585
ko:K00077	baz:BAMTA208_09595
ko:K03624	baz:BAMTA208_13405
ko:K00876	baz:BAMTA208_13410
ko:K08303	baz:BAMTA208_13415
ko:K08303	baz:BAMTA208_13420
ko:K07082	baz:BAMTA208_13430
ko:K07447	baz:BAMTA208_13440
ko:K01872	baz:BAMTA208_13450
ko:K03581	baz:BAMTA208_13495
ko:K00566	baz:BAMTA208_13505
ko:K04487	baz:BAMTA208_13510
ko:K07478	baz:BAMTA208_13520
ko:K01876	baz:BAMTA208_13530
ko:K01892	baz:BAMTA208_13535
ko:K01448	baz:BAMTA208_13550
ko:K07560	baz:BAMTA208_13555
ko:K00759	baz:BAMTA208_13565
ko:K07462	baz:BAMTA208_13570
ko:K07228	baz:BAMTA208_13580
ko:K12257	baz:BAMTA208_13585
ko:K06409	baz:BAMTA208_13595
ko:K03210	baz:BAMTA208_13610
ko:K00773	baz:BAMTA208_13615
ko:K07568	baz:BAMTA208_13620
ko:K03551	baz:BAMTA208_13630
ko:K03550	baz:BAMTA208_13635
ko:K00782	baz:BAMTA208_17345
ko:K03303	baz:BAMTA208_17370
ko:K03092	baz:BAMTA208_17375
ko:K13727	baz:BAMTA208_17500
ko:K01193	baz:BAMTA208_17540
ko:K02532	baz:BAMTA208_17545
ko:K03484	baz:BAMTA208_17550
ko:K01358	baz:BAMTA208_17555
ko:K01476	baz:BAMTA208_20270
ko:K02205	baz:BAMTA208_20275
ko:K06714	baz:BAMTA208_20295
ko:K01579	baz:BAMTA208_05765
ko:K00812	baz:BAMTA208_05785
ko:K01893	baz:BAMTA208_05790
ko:K10773	baz:BAMTA208_05800
ko:K05366	baz:BAMTA208_05810
ko:K06133	baz:BAMTA208_01605
ko:K03186	baz:BAMTA208_01635
ko:K03305	baz:BAMTA208_01655
ko:K06295	baz:BAMTA208_01670
ko:K02003	baz:BAMTA208_01720
ko:K00928	baz:BAMTA208_01760
ko:K02015	baz:BAMTA208_01765
ko:K02015	baz:BAMTA208_01770
ko:K02013	baz:BAMTA208_01775
ko:K02016	baz:BAMTA208_01780
ko:K00375	baz:BAMTA208_01810
ko:K00800	baz:BAMTA208_05665
ko:K03887	baz:BAMTA208_05690
ko:K03888	baz:BAMTA208_05695
ko:K00215	baz:BAMTA208_05725
ko:K01734	baz:BAMTA208_05730
ko:K03524	baz:BAMTA208_05750
ko:K00606	baz:BAMTA208_05755
ko:K01918	baz:BAMTA208_05760
ko:K11692	baz:BAMTA208_02145
ko:K11103	baz:BAMTA208_02150
ko:K01921	baz:BAMTA208_02200
ko:K01929	baz:BAMTA208_02205
ko:K05592	baz:BAMTA208_02215
ko:K00997	baz:BAMTA208_02235
ko:K01775	baz:BAMTA208_02245
ko:K07723	baz:BAMTA208_02250
ko:K06959	baz:BAMTA208_02300
ko:K03530	baz:BAMTA208_06230
ko:K07727	baz:BAMTA208_06330
ko:K00899	baz:BAMTA208_10355
ko:K08963	baz:BAMTA208_10360
ko:K03799	baz:BAMTA208_10400
ko:K03093	baz:BAMTA208_10420
ko:K10979	baz:BAMTA208_10440
ko:K06213	baz:BAMTA208_10475
ko:K13275	baz:BAMTA208_10520
ko:K00549	baz:BAMTA208_10525
ko:K05820	baz:BAMTA208_10535
ko:K00147	baz:BAMTA208_10580
ko:K00931	baz:BAMTA208_10585
ko:K01433	baz:BAMTA208_10590
ko:K01963	baz:BAMTA208_14355
ko:K02337	baz:BAMTA208_14370
ko:K01755	baz:BAMTA208_14420
ko:K01940	baz:BAMTA208_14425
ko:K03638	baz:BAMTA208_14430
ko:K00925	baz:BAMTA208_14435
ko:K11065	baz:BAMTA208_14445
ko:K04773	baz:BAMTA208_14465
ko:K00858	baz:BAMTA208_14470
ko:K01895	baz:BAMTA208_14480
ko:K03151	baz:BAMTA208_14490
ko:K04487	baz:BAMTA208_14495
ko:K03311	baz:BAMTA208_14500
ko:K04486	baz:BAMTA208_14510
ko:K02986	baz:BAMTA208_14535
ko:K05916	baz:BAMTA208_14540
ko:K01866	baz:BAMTA208_14595
ko:K01895	baz:BAMTA208_14600
ko:K00012	baz:BAMTA208_18350
ko:K03282	baz:BAMTA208_18420
ko:K07217	baz:BAMTA208_02130
ko:K07502	baz:BAMTA208_05865
ko:K06327	baz:BAMTA208_05875
ko:K07444	baz:BAMTA208_05890
ko:K02836	baz:BAMTA208_17870
ko:K03070	baz:BAMTA208_17875
ko:K02423	baz:BAMTA208_17890
ko:K02422	baz:BAMTA208_17895
ko:K02407	baz:BAMTA208_17900
ko:K02406	baz:BAMTA208_17905
ko:K03563	baz:BAMTA208_17910
ko:K13626	baz:BAMTA208_17915
ko:K02397	baz:BAMTA208_17925
ko:K01299	baz:BAMTA208_05915
ko:K00161	baz:BAMTA208_09855
ko:K01462	baz:BAMTA208_09870
ko:K03569	baz:BAMTA208_09915
ko:K00077	baz:BAMTA208_09930
ko:K03100	baz:BAMTA208_09945
ko:K02768	baz:BAMTA208_09950
ko:K02769	baz:BAMTA208_09950
ko:K02770	baz:BAMTA208_09950
ko:K02003	baz:BAMTA208_09970
ko:K03636	baz:BAMTA208_09990
ko:K03753	baz:BAMTA208_10000
ko:K03750	baz:BAMTA208_10005
ko:K03752	baz:BAMTA208_10015
ko:K05823	baz:BAMTA208_10050
ko:K03839	baz:BAMTA208_10060
ko:K03839	baz:BAMTA208_10070
ko:K09776	baz:BAMTA208_10090
ko:K01703	baz:BAMTA208_13875
ko:K00052	baz:BAMTA208_13880
ko:K01649	baz:BAMTA208_13885
ko:K00053	baz:BAMTA208_13890
ko:K01653	baz:BAMTA208_13895
ko:K01652	baz:BAMTA208_13900
ko:K07095	baz:BAMTA208_13925
ko:K00989	baz:BAMTA208_13935
ko:K01776	baz:BAMTA208_13945
ko:K01994	baz:BAMTA208_13955
ko:K07107	baz:BAMTA208_13960
ko:K00240	baz:BAMTA208_13965
ko:K00239	baz:BAMTA208_13970
ko:K00928	baz:BAMTA208_13985
ko:K03703	baz:BAMTA208_13990
ko:K03671	baz:BAMTA208_13995
ko:K03522	baz:BAMTA208_14005
ko:K03521	baz:BAMTA208_14010
ko:K13770	baz:BAMTA208_14020
ko:K08989	baz:BAMTA208_14040
ko:K07456	baz:BAMTA208_14045
ko:K02347	baz:BAMTA208_14050
ko:K09888	baz:BAMTA208_14060
ko:K01890	baz:BAMTA208_14070
ko:K01889	baz:BAMTA208_14075
ko:K03437	baz:BAMTA208_14080
ko:K06426	baz:BAMTA208_14085
ko:K02647	baz:BAMTA208_14090
ko:K11473	baz:BAMTA208_14100
ko:K06200	baz:BAMTA208_14105
ko:K03797	baz:BAMTA208_17840
ko:K09811	baz:BAMTA208_17850
ko:K09812	baz:BAMTA208_17855
ko:K02396	baz:BAMTA208_17930
ko:K02398	baz:BAMTA208_17940
ko:K07777	baz:BAMTA208_17975
ko:K00012	baz:BAMTA208_18015
ko:K01448	baz:BAMTA208_18035
ko:K00963	baz:BAMTA208_18060
ko:K02939	baz:BAMTA208_20425
ko:K00692	baz:BAMTA208_20465
ko:K02372	baz:BAMTA208_18425
ko:K02392	baz:BAMTA208_18435
ko:K02392	baz:BAMTA208_18440
ko:K03569	baz:BAMTA208_18445
ko:K06283	baz:BAMTA208_18450
ko:K03320	baz:BAMTA208_18485
ko:K04751	baz:BAMTA208_18490
ko:K03588	baz:BAMTA208_18495
ko:K06386	baz:BAMTA208_18510
ko:K03823	baz:BAMTA208_18515
ko:K06131	baz:BAMTA208_18535
ko:K07118	baz:BAMTA208_18550
ko:K01428	baz:BAMTA208_18560
ko:K01429	baz:BAMTA208_18565
ko:K01430	baz:BAMTA208_18570
ko:K13530	baz:BAMTA208_20580
ko:K02963	baz:BAMTA208_20585
ko:K02990	baz:BAMTA208_20595
ko:K06942	baz:BAMTA208_20600
ko:K03501	baz:BAMTA208_20645
ko:K03495	baz:BAMTA208_20650
ko:K03650	baz:BAMTA208_20655
ko:K02015	baz:BAMTA208_00830
ko:K02015	baz:BAMTA208_00835
ko:K02016	baz:BAMTA208_00840
ko:K01207	baz:BAMTA208_00860
ko:K07106	baz:BAMTA208_00880
ko:K03088	baz:BAMTA208_00900
ko:K03431	baz:BAMTA208_00920
ko:K00820	baz:BAMTA208_00930
ko:K00847	baz:BAMTA208_02835
ko:K03969	baz:BAMTA208_02845
ko:K06872	baz:BAMTA208_02855
ko:K03088	baz:BAMTA208_02875
ko:K03924	baz:BAMTA208_02925
ko:K01951	baz:BAMTA208_02940
ko:K03088	baz:BAMTA208_02945
ko:K06901	baz:BAMTA208_02955
ko:K01588	baz:BAMTA208_02980
ko:K01589	baz:BAMTA208_02985
ko:K01756	baz:BAMTA208_02990
ko:K01923	baz:BAMTA208_02995
ko:K01952	baz:BAMTA208_03000
ko:K01952	baz:BAMTA208_03005
ko:K01952	baz:BAMTA208_03010
ko:K00764	baz:BAMTA208_03015
ko:K01933	baz:BAMTA208_03020
ko:K11175	baz:BAMTA208_03025
ko:K00602	baz:BAMTA208_03030
ko:K01945	baz:BAMTA208_03035
ko:K01486	baz:BAMTA208_03055
ko:K03657	baz:BAMTA208_03085
ko:K01687	baz:BAMTA208_07065
ko:K00655	baz:BAMTA208_07095
ko:K11068	baz:BAMTA208_07100
ko:K01754	baz:BAMTA208_07110
ko:K07152	baz:BAMTA208_07120
ko:K01083	baz:BAMTA208_07190
ko:K01034	baz:BAMTA208_07245
ko:K01438	baz:BAMTA208_07255
ko:K01224	baz:BAMTA208_11115
ko:K00077	baz:BAMTA208_11220
ko:K05916	baz:BAMTA208_15165
ko:K07552	baz:BAMTA208_19110
ko:K00260	baz:BAMTA208_19135
ko:K01790	baz:BAMTA208_19145
ko:K00067	baz:BAMTA208_19150
ko:K00973	baz:BAMTA208_19160
ko:K06305	baz:BAMTA208_19200
ko:K03648	baz:BAMTA208_19220
ko:K00868	baz:BAMTA208_19235
ko:K01193	baz:BAMTA208_19245
ko:K14647	baz:BAMTA208_19265
ko:K05837	baz:BAMTA208_19300
ko:K03829	baz:BAMTA208_19305
ko:K02250	baz:BAMTA208_04885
ko:K03100	baz:BAMTA208_04935
ko:K03547	baz:BAMTA208_04985
ko:K06304	baz:BAMTA208_05000
ko:K06303	baz:BAMTA208_05005
ko:K06302	baz:BAMTA208_05010
ko:K06301	baz:BAMTA208_05015
ko:K06300	baz:BAMTA208_05020
ko:K06299	baz:BAMTA208_05030
ko:K01953	baz:BAMTA208_05065
ko:K02291	baz:BAMTA208_05070
ko:K06895	baz:BAMTA208_05100
ko:K09767	baz:BAMTA208_05125
ko:K00243	baz:BAMTA208_05130
ko:K07335	baz:BAMTA208_05135
ko:K02884	baz:BAMTA208_09130
ko:K00554	baz:BAMTA208_09135
ko:K02860	baz:BAMTA208_09140
ko:K06960	baz:BAMTA208_09150
ko:K02959	baz:BAMTA208_09155
ko:K03106	baz:BAMTA208_09160
ko:K03110	baz:BAMTA208_09170
ko:K03529	baz:BAMTA208_09175
ko:K03685	baz:BAMTA208_09180
ko:K02078	baz:BAMTA208_09185
ko:K00645	baz:BAMTA208_09195
ko:K03621	baz:BAMTA208_09200
ko:K03655	baz:BAMTA208_09210
ko:K01752	baz:BAMTA208_09215
ko:K01752	baz:BAMTA208_09220
ko:K02902	baz:BAMTA208_09235
ko:K01783	baz:BAMTA208_09250
ko:K06949	baz:BAMTA208_09255
ko:K06941	baz:BAMTA208_09270
ko:K03500	baz:BAMTA208_09275
ko:K00604	baz:BAMTA208_09280
ko:K01462	baz:BAMTA208_09285
ko:K04066	baz:BAMTA208_09290
ko:K13038	baz:BAMTA208_09295
ko:K03060	baz:BAMTA208_09300
ko:K00942	baz:BAMTA208_09305
ko:K09777	baz:BAMTA208_09310
ko:K02304	baz:BAMTA208_09335
ko:K00860	baz:BAMTA208_09350
ko:K00958	baz:BAMTA208_09355
ko:K00390	baz:BAMTA208_09365
ko:K09710	baz:BAMTA208_13145
ko:K00969	baz:BAMTA208_13155
ko:K07574	baz:BAMTA208_13160
ko:K00014	baz:BAMTA208_13165
ko:K07015	baz:BAMTA208_13175
ko:K06371	baz:BAMTA208_13180
ko:K03091	baz:BAMTA208_13225
ko:K01809	baz:BAMTA208_13290
ko:K08224	baz:BAMTA208_13320
ko:K00123	baz:BAMTA208_13355
ko:K03928	baz:BAMTA208_17085
ko:K03075	baz:BAMTA208_17090
ko:K05846	baz:BAMTA208_17140
ko:K05845	baz:BAMTA208_17145
ko:K05846	baz:BAMTA208_17165
ko:K05845	baz:BAMTA208_17170
ko:K05846	baz:BAMTA208_17175
ko:K05847	baz:BAMTA208_17180
ko:K01689	baz:BAMTA208_17265
ko:K15633	baz:BAMTA208_17270
ko:K01803	baz:BAMTA208_17275
ko:K00927	baz:BAMTA208_17280
ko:K00134	baz:BAMTA208_17285
ko:K05311	baz:BAMTA208_17290
ko:K02103	baz:BAMTA208_17300
ko:K04041	baz:BAMTA208_20155
ko:K07141	baz:BAMTA208_20175
ko:K11741	baz:BAMTA208_02695
ko:K00783	baz:BAMTA208_20220
ko:K01118	baz:BAMTA208_02375
ko:K03704	baz:BAMTA208_02380
ko:K01779	baz:BAMTA208_02390
ko:K13653	baz:BAMTA208_02455
ko:K13979	baz:BAMTA208_02480
ko:K00375	baz:BAMTA208_02500
ko:K07734	baz:BAMTA208_02505
ko:K00375	baz:BAMTA208_02530
ko:K07010	baz:BAMTA208_02565
ko:K00005	baz:BAMTA208_02585
ko:K07552	baz:BAMTA208_02590
ko:K09458	baz:BAMTA208_02595
ko:K09817	baz:BAMTA208_01315
ko:K09816	baz:BAMTA208_01320
ko:K05795	baz:BAMTA208_01335
ko:K05795	baz:BAMTA208_01340
ko:K08369	baz:BAMTA208_01360
ko:K02000	baz:BAMTA208_01370
ko:K02001	baz:BAMTA208_01375
ko:K02002	baz:BAMTA208_01380
ko:K14665	baz:BAMTA208_01385
ko:K09190	baz:BAMTA208_01425
ko:K09967	baz:BAMTA208_01435
ko:K15652	baz:BAMTA208_01445
ko:K00891	baz:BAMTA208_01455
ko:K01060	baz:BAMTA208_01460
ko:K07074	baz:BAMTA208_01465
ko:K00318	baz:BAMTA208_01470
ko:K13542	baz:BAMTA208_01495
ko:K00363	baz:BAMTA208_01500
ko:K00362	baz:BAMTA208_01505
ko:K08094	baz:BAMTA208_01550
ko:K07651	baz:BAMTA208_05405
ko:K03088	baz:BAMTA208_05410
ko:K03654	baz:BAMTA208_05445
ko:K00260	baz:BAMTA208_05480
ko:K00384	baz:BAMTA208_05485
ko:K01449	baz:BAMTA208_05495
ko:K00945	baz:BAMTA208_05515
ko:K02945	baz:BAMTA208_05520
ko:K03977	baz:BAMTA208_05545
ko:K00057	baz:BAMTA208_05550
ko:K06398	baz:BAMTA208_05565
ko:K03530	baz:BAMTA208_05570
ko:K01495	baz:BAMTA208_05575
ko:K06285	baz:BAMTA208_05580
ko:K03183	baz:BAMTA208_05590
ko:K00940	baz:BAMTA208_05600
ko:K01736	baz:BAMTA208_05610
ko:K01735	baz:BAMTA208_05615
ko:K06208	baz:BAMTA208_05620
ko:K01657	baz:BAMTA208_05625
ko:K00766	baz:BAMTA208_05630
ko:K01609	baz:BAMTA208_05635
ko:K01817	baz:BAMTA208_05640
ko:K01696	baz:BAMTA208_05645
ko:K01695	baz:BAMTA208_05650
ko:K00817	baz:BAMTA208_05655
ko:K02911	baz:BAMTA208_09610
ko:K07040	baz:BAMTA208_09615
ko:K07001	baz:BAMTA208_09630
ko:K00954	baz:BAMTA208_09640
ko:K02276	baz:BAMTA208_09700
ko:K02275	baz:BAMTA208_09710
ko:K02259	baz:BAMTA208_09720
ko:K03588	baz:BAMTA208_09730
ko:K01425	baz:BAMTA208_09740
ko:K07175	baz:BAMTA208_09750
ko:K06207	baz:BAMTA208_09770
ko:K00382	baz:BAMTA208_09840
ko:K00627	baz:BAMTA208_09845
ko:K00162	baz:BAMTA208_09850
ko:K06318	baz:BAMTA208_13640
ko:K06370	baz:BAMTA208_13655
ko:K03517	baz:BAMTA208_13660
ko:K00767	baz:BAMTA208_13665
ko:K00278	baz:BAMTA208_13670
ko:K04487	baz:BAMTA208_13675
ko:K06209	baz:BAMTA208_13690
ko:K03979	baz:BAMTA208_13695
ko:K06375	baz:BAMTA208_13700
ko:K02899	baz:BAMTA208_13705
ko:K02888	baz:BAMTA208_13715
ko:K06401	baz:BAMTA208_13725
ko:K03609	baz:BAMTA208_13730
ko:K03610	baz:BAMTA208_13735
ko:K03571	baz:BAMTA208_13740
ko:K03570	baz:BAMTA208_13745
ko:K03569	baz:BAMTA208_13750
ko:K03630	baz:BAMTA208_13755
ko:K06287	baz:BAMTA208_13760
ko:K11754	baz:BAMTA208_13775
ko:K01873	baz:BAMTA208_13780
ko:K06417	baz:BAMTA208_13795
ko:K01845	baz:BAMTA208_13800
