ko:K03602	abk:LX00_05940
ko:K00970	abk:LX00_02880
ko:K00950	abk:LX00_02885
ko:K00606	abk:LX00_02890
ko:K01918	abk:LX00_02895
ko:K06958	abk:LX00_02900
ko:K08485	abk:LX00_02905
ko:K09889	abk:LX00_02910
ko:K00666	abk:LX00_02915
ko:K01868	abk:LX00_02920
ko:K02520	abk:LX00_02925
ko:K02916	abk:LX00_02945
ko:K02887	abk:LX00_02950
ko:K01889	abk:LX00_02965
ko:K01890	abk:LX00_02970
ko:K04764	abk:LX00_02975
ko:K03628	abk:LX00_02985
ko:K03671	abk:LX00_02990
ko:K01524	abk:LX00_02995
ko:K01962	abk:LX00_03000
ko:K04075	abk:LX00_03005
ko:K00286	abk:LX00_03010
ko:K02221	abk:LX00_03015
ko:K02454	abk:LX00_03040
ko:K01895	abk:LX00_11610
ko:K02493	abk:LX00_11630
ko:K02835	abk:LX00_11635
ko:K11936	abk:LX00_11675
ko:K09773	abk:LX00_11690
ko:K02297	abk:LX00_11705
ko:K02298	abk:LX00_11710
ko:K02299	abk:LX00_11715
ko:K02300	abk:LX00_11720
ko:K02990	abk:LX00_11730
ko:K02963	abk:LX00_11735
ko:K02939	abk:LX00_11740
ko:K01775	abk:LX00_11750
ko:K07395	abk:LX00_11755
ko:K03495	abk:LX00_11785
ko:K02687	abk:LX00_11795
ko:K03557	abk:LX00_11805
ko:K00602	abk:LX00_11810
ko:K01945	abk:LX00_11815
ko:K02073	abk:LX00_11820
ko:K02071	abk:LX00_11825
ko:K02072	abk:LX00_11830
ko:K01069	abk:LX00_11835
ko:K11103	abk:LX00_11845
ko:K01779	abk:LX00_11875
ko:K09857	abk:LX00_11880
ko:K06192	abk:LX00_11885
ko:K03808	abk:LX00_11890
ko:K03808	abk:LX00_11895
ko:K09758	abk:LX00_11905
ko:K03762	abk:LX00_11925
ko:K07347	abk:LX00_11940
ko:K07346	abk:LX00_11945
ko:K06923	abk:LX00_11980
ko:K03312	abk:LX00_11985
ko:K03821	abk:LX00_11990
ko:K11735	abk:LX00_12045
ko:K00140	abk:LX00_12050
ko:K00822	abk:LX00_12055
ko:K06923	abk:LX00_12150
ko:K01409	abk:LX00_12160
ko:K02970	abk:LX00_12165
ko:K09117	abk:LX00_12170
ko:K00090	abk:LX00_12180
ko:K00764	abk:LX00_12195
ko:K03558	abk:LX00_12200
ko:K00254	abk:LX00_12205
ko:K02462	abk:LX00_12210
ko:K02461	abk:LX00_12215
ko:K08296	abk:LX00_12220
ko:K00057	abk:LX00_12225
ko:K03732	abk:LX00_12240
ko:K03704	abk:LX00_12245
ko:K04085	abk:LX00_12250
ko:K03089	abk:LX00_12255
ko:K03154	abk:LX00_12265
ko:K03149	abk:LX00_12270
ko:K09861	abk:LX00_12280
ko:K07018	abk:LX00_12285
ko:K00784	abk:LX00_12290
ko:K01270	abk:LX00_12295
ko:K14170	abk:LX00_12310
ko:K07017	abk:LX00_12315
ko:K11103	abk:LX00_12325
ko:K09916	abk:LX00_12335
ko:K00858	abk:LX00_12340
ko:K05365	abk:LX00_12345
ko:K03574	abk:LX00_12355
ko:K07645	abk:LX00_12365
ko:K02454	abk:LX00_12380
ko:K00528	abk:LX00_12395
ko:K08303	abk:LX00_12410
ko:K10017	abk:LX00_12425
ko:K10015	abk:LX00_12430
ko:K10016	abk:LX00_12435
ko:K10014	abk:LX00_12440
ko:K01658	abk:LX00_12990
ko:K00766	abk:LX00_13005
ko:K01609	abk:LX00_13010
ko:K07402	abk:LX00_13020
ko:K13482	abk:LX00_13025
ko:K04754	abk:LX00_03075
ko:K03092	abk:LX00_03105
ko:K05808	abk:LX00_03110
ko:K00790	abk:LX00_03120
ko:K00765	abk:LX00_03125
ko:K00013	abk:LX00_03130
ko:K00817	abk:LX00_03135
ko:K01665	abk:LX00_03140
ko:K15984	abk:LX00_03195
ko:K01070	abk:LX00_03205
ko:K09956	abk:LX00_03210
ko:K01783	abk:LX00_03215
ko:K07233	abk:LX00_03235
ko:K00567	abk:LX00_03250
ko:K00620	abk:LX00_03255
ko:K03517	abk:LX00_03260
ko:K01488	abk:LX00_03285
ko:K00252	abk:LX00_03300
ko:K08196	abk:LX00_03305
ko:K13795	abk:LX00_03315
ko:K13796	abk:LX00_03320
ko:K13794	abk:LX00_03325
ko:K03288	abk:LX00_03335
ko:K13794	abk:LX00_03340
ko:K00600	abk:LX00_12470
ko:K10857	abk:LX00_12480
ko:K01990	abk:LX00_12495
ko:K01992	abk:LX00_12500
ko:K06879	abk:LX00_12505
ko:K05837	abk:LX00_12515
ko:K08305	abk:LX00_12520
ko:K03642	abk:LX00_12525
ko:K02357	abk:LX00_12555
ko:K02967	abk:LX00_12560
ko:K01265	abk:LX00_12565
ko:K02575	abk:LX00_12575
ko:K00322	abk:LX00_12590
ko:K03644	abk:LX00_12595
ko:K06445	abk:LX00_12600
ko:K01607	abk:LX00_12605
ko:K01251	abk:LX00_12615
ko:K00297	abk:LX00_12620
ko:K09761	abk:LX00_12625
ko:K00029	abk:LX00_12635
ko:K00974	abk:LX00_12640
ko:K04691	abk:LX00_12645
ko:K04564	abk:LX00_12655
ko:K03179	abk:LX00_12685
ko:K03181	abk:LX00_12690
ko:K01915	abk:LX00_12695
ko:K03305	abk:LX00_12700
ko:K01262	abk:LX00_12705
ko:K13481	abk:LX00_13030
ko:K01495	abk:LX00_13035
ko:K01599	abk:LX00_13070
ko:K02361	abk:LX00_13080
ko:K01590	abk:LX00_13110
ko:K01252	abk:LX00_13115
ko:K02363	abk:LX00_13120
ko:K03897	abk:LX00_13130
ko:K02014	abk:LX00_13135
ko:K02016	abk:LX00_13140
ko:K02013	abk:LX00_13145
ko:K02015	abk:LX00_13150
ko:K02015	abk:LX00_13155
ko:K06911	abk:LX00_13185
ko:K06200	abk:LX00_13230
ko:K02356	abk:LX00_13235
ko:K02909	abk:LX00_13255
ko:K14347	abk:LX00_13260
ko:K01759	abk:LX00_13265
ko:K08218	abk:LX00_13270
ko:K06194	abk:LX00_13285
ko:K03787	abk:LX00_13290
ko:K07258	abk:LX00_13305
ko:K00566	abk:LX00_13320
ko:K07153	abk:LX00_13325
ko:K01756	abk:LX00_13330
ko:K08984	abk:LX00_13335
ko:K04774	abk:LX00_13345
ko:K02036	abk:LX00_13350
ko:K02038	abk:LX00_13355
ko:K02037	abk:LX00_13360
ko:K02040	abk:LX00_13365
ko:K11734	abk:LX00_13370
ko:K13745	abk:LX00_13390
ko:K00836	abk:LX00_13395
ko:K00508	abk:LX00_13415
ko:K03580	abk:LX00_13435
ko:K06177	abk:LX00_13440
ko:K01845	abk:LX00_13450
ko:K00788	abk:LX00_13455
ko:K07263	abk:LX00_13480
ko:K06956	abk:LX00_13490
ko:K00031	abk:LX00_13515
ko:K06181	abk:LX00_13520
ko:K00031	abk:LX00_13525
ko:K07258	abk:LX00_13535
ko:K03885	abk:LX00_13540
ko:K03775	abk:LX00_13545
ko:K01669	abk:LX00_13550
ko:K01791	abk:LX00_13580
ko:K00459	abk:LX00_13595
ko:K05540	abk:LX00_13600
ko:K00931	abk:LX00_13615
ko:K03979	abk:LX00_13620
ko:K00134	abk:LX00_13635
ko:K05786	abk:LX00_13640
ko:K03098	abk:LX00_13645
ko:K03702	abk:LX00_13650
ko:K00812	abk:LX00_13670
ko:K06169	abk:LX00_13700
ko:K03474	abk:LX00_13705
ko:K03584	abk:LX00_13710
ko:K03595	abk:LX00_13720
ko:K03685	abk:LX00_13725
ko:K03100	abk:LX00_13735
ko:K03596	abk:LX00_13740
ko:K07107	abk:LX00_13745
ko:K00278	abk:LX00_13755
ko:K00943	abk:LX00_13765
ko:K07082	abk:LX00_13770
ko:K02619	abk:LX00_13775
ko:K02048	abk:LX00_13780
ko:K07002	abk:LX00_13785
ko:K02046	abk:LX00_13790
ko:K02047	abk:LX00_13795
ko:K02045	abk:LX00_13800
ko:K13635	abk:LX00_13805
ko:K00674	abk:LX00_13815
ko:K10026	abk:LX00_13820
ko:K06920	abk:LX00_13825
ko:K03564	abk:LX00_13840
ko:K07552	abk:LX00_13870
ko:K01952	abk:LX00_13875
ko:K01129	abk:LX00_13880
ko:K03550	abk:LX00_13885
ko:K03551	abk:LX00_13890
ko:K07107	abk:LX00_13900
ko:K03562	abk:LX00_13905
ko:K03560	abk:LX00_13910
ko:K03641	abk:LX00_13920
ko:K03640	abk:LX00_13925
ko:K03841	abk:LX00_13935
ko:K03437	abk:LX00_13940
ko:K03088	abk:LX00_13945
ko:K10763	abk:LX00_13970
ko:K01933	abk:LX00_13980
ko:K11175	abk:LX00_13985
ko:K04773	abk:LX00_13995
ko:K02517	abk:LX00_14000
ko:K02238	abk:LX00_14005
ko:K09810	abk:LX00_14010
ko:K09808	abk:LX00_14015
ko:K09768	abk:LX00_14025
ko:K00831	abk:LX00_14040
ko:K01993	abk:LX00_14050
ko:K01992	abk:LX00_14055
ko:K02469	abk:LX00_14085
ko:K03522	abk:LX00_14090
ko:K03521	abk:LX00_14095
ko:K03733	abk:LX00_14100
ko:K01778	abk:LX00_14110
ko:K01586	abk:LX00_14115
ko:K11737	abk:LX00_14125
ko:K04485	abk:LX00_14130
ko:K04568	abk:LX00_14140
ko:K03473	abk:LX00_14145
ko:K02379	abk:LX00_14155
ko:K00865	abk:LX00_14165
ko:K16137	abk:LX00_14170
ko:K07124	abk:LX00_14175
ko:K07044	abk:LX00_14190
ko:K09982	abk:LX00_14230
ko:K03824	abk:LX00_14235
ko:K04760	abk:LX00_14255
ko:K14058	abk:LX00_14270
ko:K03799	abk:LX00_14280
ko:K01126	abk:LX00_14295
ko:K00901	abk:LX00_14305
ko:K04077	abk:LX00_14310
ko:K04078	abk:LX00_14315
ko:K01596	abk:LX00_14335
ko:K00111	abk:LX00_14340
ko:K00864	abk:LX00_14345
ko:K01491	abk:LX00_14365
ko:K01113	abk:LX00_14385
ko:K00796	abk:LX00_14405
ko:K03798	abk:LX00_14410
ko:K02427	abk:LX00_14415
ko:K01873	abk:LX00_14715
ko:K03320	abk:LX00_14740
ko:K07645	abk:LX00_14750
ko:K07666	abk:LX00_14755
ko:K03760	abk:LX00_14760
ko:K07001	abk:LX00_14785
ko:K00549	abk:LX00_03370
ko:K09024	abk:LX00_03375
ko:K07661	abk:LX00_03460
ko:K07639	abk:LX00_03465
ko:K00330	abk:LX00_03480
ko:K00331	abk:LX00_03485
ko:K13378	abk:LX00_03490
ko:K00334	abk:LX00_03495
ko:K00337	abk:LX00_03510
ko:K00338	abk:LX00_03515
ko:K00339	abk:LX00_03520
ko:K00340	abk:LX00_03525
ko:K00341	abk:LX00_03530
ko:K00342	abk:LX00_03535
ko:K00343	abk:LX00_03540
ko:K00761	abk:LX00_03545
ko:K00528	abk:LX00_03560
ko:K07007	abk:LX00_03585
ko:K01874	abk:LX00_03620
ko:K03593	abk:LX00_03630
ko:K01243	abk:LX00_03635
ko:K09928	abk:LX00_03640
ko:K01956	abk:LX00_14435
ko:K01955	abk:LX00_14440
ko:K03624	abk:LX00_14445
ko:K07443	abk:LX00_14460
ko:K03316	abk:LX00_14485
ko:K07054	abk:LX00_14490
ko:K09781	abk:LX00_14495
ko:K01867	abk:LX00_14500
ko:K01902	abk:LX00_14505
ko:K01903	abk:LX00_14510
ko:K00382	abk:LX00_14515
ko:K00658	abk:LX00_14520
ko:K00164	abk:LX00_14525
ko:K00240	abk:LX00_14530
ko:K00239	abk:LX00_14535
ko:K00242	abk:LX00_14540
ko:K00241	abk:LX00_14545
ko:K01647	abk:LX00_14550
ko:K06938	abk:LX00_14555
ko:K07146	abk:LX00_14560
ko:K07039	abk:LX00_14565
ko:K03086	abk:LX00_14580
ko:K09158	abk:LX00_14585
ko:K03801	abk:LX00_14590
ko:K03216	abk:LX00_14620
ko:K02302	abk:LX00_14625
ko:K01875	abk:LX00_14630
ko:K03634	abk:LX00_14640
ko:K02899	abk:LX00_14645
ko:K02888	abk:LX00_14650
ko:K02523	abk:LX00_14660
ko:K03585	abk:LX00_14675
ko:K18138	abk:LX00_14680
ko:K18139	abk:LX00_14685
ko:K07733	abk:LX00_15115
ko:K05523	abk:LX00_15120
ko:K06153	abk:LX00_15135
ko:K02616	abk:LX00_15140
ko:K00355	abk:LX00_15160
ko:K06076	abk:LX00_15165
ko:K00390	abk:LX00_15175
ko:K08301	abk:LX00_15190
ko:K06287	abk:LX00_15195
ko:K03571	abk:LX00_15200
ko:K03570	abk:LX00_15205
ko:K03569	abk:LX00_15210
ko:K02435	abk:LX00_15215
ko:K02433	abk:LX00_15220
ko:K02434	abk:LX00_15225
ko:K05520	abk:LX00_15230
ko:K17938	abk:LX00_15255
ko:K01754	abk:LX00_15260
ko:K07001	abk:LX00_15265
ko:K03310	abk:LX00_15270
ko:K07552	abk:LX00_15290
ko:K00380	abk:LX00_15305
ko:K09790	abk:LX00_15350
ko:K09977	abk:LX00_15355
ko:K01439	abk:LX00_15365
ko:K02660	abk:LX00_15380
ko:K02659	abk:LX00_15385
ko:K02658	abk:LX00_15390
ko:K02657	abk:LX00_15395
ko:K01881	abk:LX00_15415
ko:K09946	abk:LX00_15420
ko:K06193	abk:LX00_15425
ko:K06980	abk:LX00_15440
ko:K03981	abk:LX00_15445
ko:K07088	abk:LX00_15455
ko:K02014	abk:LX00_15465
ko:K03652	abk:LX00_15470
ko:K10563	abk:LX00_15475
ko:K03769	abk:LX00_15480
ko:K03282	abk:LX00_15490
ko:K06207	abk:LX00_15495
ko:K16345	abk:LX00_15500
ko:K00564	abk:LX00_15505
ko:K11733	abk:LX00_15510
ko:K14415	abk:LX00_15515
ko:K03286	abk:LX00_15525
ko:K08084	abk:LX00_15530
ko:K00626	abk:LX00_15535
ko:K04750	abk:LX00_15540
ko:K00381	abk:LX00_15555
ko:K00117	abk:LX00_15560
ko:K07267	abk:LX00_15565
ko:K00626	abk:LX00_15580
ko:K01782	abk:LX00_15585
ko:K11068	abk:LX00_15610
ko:K03070	abk:LX00_15625
ko:K11754	abk:LX00_15650
ko:K01963	abk:LX00_15655
ko:K01695	abk:LX00_15660
ko:K07044	abk:LX00_15670
ko:K01696	abk:LX00_15685
ko:K01817	abk:LX00_15690
ko:K16092	abk:LX00_15695
ko:K00798	abk:LX00_15700
ko:K08997	abk:LX00_15720
ko:K07664	abk:LX00_15725
ko:K07642	abk:LX00_15730
ko:K02014	abk:LX00_15770
ko:K01876	abk:LX00_15780
ko:K01854	abk:LX00_15795
ko:K07270	abk:LX00_15805
ko:K07276	abk:LX00_15840
ko:K00826	abk:LX00_15845
ko:K00982	abk:LX00_15850
ko:K06899	abk:LX00_15870
ko:K07568	abk:LX00_15885
ko:K03744	abk:LX00_15895
ko:K00773	abk:LX00_15900
ko:K03210	abk:LX00_15905
ko:K03072	abk:LX00_15910
ko:K03074	abk:LX00_15915
ko:K13038	abk:LX00_15920
ko:K03630	abk:LX00_15925
ko:K07053	abk:LX00_15935
ko:K06190	abk:LX00_15940
ko:K09780	abk:LX00_15945
ko:K15461	abk:LX00_15955
ko:K09767	abk:LX00_15965
ko:K10806	abk:LX00_15975
ko:K03672	abk:LX00_15980
ko:K00382	abk:LX00_16000
ko:K07098	abk:LX00_16050
ko:K03665	abk:LX00_16065
ko:K01525	abk:LX00_16085
ko:K02528	abk:LX00_16090
ko:K00097	abk:LX00_16095
ko:K02871	abk:LX00_16100
ko:K02996	abk:LX00_16105
ko:K03599	abk:LX00_16110
ko:K03600	abk:LX00_16115
ko:K13777	abk:LX00_16125
ko:K13779	abk:LX00_16130
ko:K11731	abk:LX00_16135
ko:K13778	abk:LX00_16140
ko:K13774	abk:LX00_16145
ko:K17103	abk:LX00_16205
ko:K07115	abk:LX00_16210
ko:K07394	abk:LX00_16215
ko:K00024	abk:LX00_16230
ko:K01166	abk:LX00_16235
ko:K08309	abk:LX00_16240
ko:K06168	abk:LX00_16245
ko:K07042	abk:LX00_16255
ko:K03832	abk:LX00_16260
ko:K03816	abk:LX00_16275
ko:K03809	abk:LX00_16280
ko:K07058	abk:LX00_16285
ko:K07078	abk:LX00_16310
ko:K12573	abk:LX00_16355
ko:K01414	abk:LX00_16360
ko:K07070	abk:LX00_16365
ko:K09159	abk:LX00_16400
ko:K02879	abk:LX00_16415
ko:K03040	abk:LX00_16420
ko:K02986	abk:LX00_16425
ko:K02948	abk:LX00_16430
ko:K02952	abk:LX00_16435
ko:K02919	abk:LX00_16440
ko:K03076	abk:LX00_16445
ko:K02876	abk:LX00_16450
ko:K02907	abk:LX00_16455
ko:K02988	abk:LX00_16460
ko:K02881	abk:LX00_16465
ko:K02933	abk:LX00_16470
ko:K02994	abk:LX00_16475
ko:K02954	abk:LX00_16480
ko:K05526	abk:LX00_16810
ko:K01484	abk:LX00_16815
ko:K06447	abk:LX00_16820
ko:K00673	abk:LX00_16825
ko:K00840	abk:LX00_16830
ko:K00261	abk:LX00_16835
ko:K16235	abk:LX00_16845
ko:K08160	abk:LX00_16895
ko:K03923	abk:LX00_16905
ko:K00058	abk:LX00_16930
ko:K11939	abk:LX00_16935
ko:K11939	abk:LX00_16940
ko:K07090	abk:LX00_16950
ko:K03177	abk:LX00_16955
ko:K02884	abk:LX00_16970
ko:K00554	abk:LX00_16975
ko:K02860	abk:LX00_16980
ko:K02959	abk:LX00_16985
ko:K02655	abk:LX00_16990
ko:K02655	abk:LX00_16995
ko:K02674	abk:LX00_17000
ko:K02672	abk:LX00_17010
ko:K02671	abk:LX00_17015
ko:K08084	abk:LX00_17020
ko:K03527	abk:LX00_17025
ko:K00942	abk:LX00_17030
ko:K03060	abk:LX00_17035
ko:K01494	abk:LX00_03650
ko:K05541	abk:LX00_03680
ko:K03106	abk:LX00_03690
ko:K03525	abk:LX00_03695
ko:K03524	abk:LX00_03700
ko:K03529	abk:LX00_03715
ko:K03528	abk:LX00_03720
ko:K01972	abk:LX00_03725
ko:K03594	abk:LX00_03730
ko:K00697	abk:LX00_03740
ko:K01087	abk:LX00_03745
ko:K02170	abk:LX00_03750
ko:K00833	abk:LX00_03755
ko:K00652	abk:LX00_03760
ko:K02169	abk:LX00_03765
ko:K01935	abk:LX00_03770
ko:K06178	abk:LX00_03775
ko:K06024	abk:LX00_03780
ko:K05896	abk:LX00_03785
ko:K09906	abk:LX00_03795
ko:K07040	abk:LX00_03800
ko:K02911	abk:LX00_03805
ko:K00645	abk:LX00_03810
ko:K00059	abk:LX00_03815
ko:K02078	abk:LX00_03820
ko:K00941	abk:LX00_03830
ko:K01091	abk:LX00_03835
ko:K02858	abk:LX00_03840
ko:K01579	abk:LX00_03855
ko:K01056	abk:LX00_03860
ko:K02897	abk:LX00_03865
ko:K00948	abk:LX00_03870
ko:K00919	abk:LX00_03890
ko:K02494	abk:LX00_03895
ko:K02492	abk:LX00_03905
ko:K05807	abk:LX00_03915
ko:K06180	abk:LX00_03920
ko:K05810	abk:LX00_03925
ko:K03664	abk:LX00_03935
ko:K02931	abk:LX00_16485
ko:K02895	abk:LX00_16490
ko:K02874	abk:LX00_16495
ko:K02961	abk:LX00_16500
ko:K02904	abk:LX00_16505
ko:K02878	abk:LX00_16510
ko:K02982	abk:LX00_16515
ko:K02890	abk:LX00_16520
ko:K02965	abk:LX00_16525
ko:K02886	abk:LX00_16530
ko:K02892	abk:LX00_16535
ko:K02926	abk:LX00_16540
ko:K02906	abk:LX00_16545
ko:K02946	abk:LX00_16550
ko:K01760	abk:LX00_16560
ko:K06915	abk:LX00_16565
ko:K05916	abk:LX00_16570
ko:K13771	abk:LX00_16575
ko:K03978	abk:LX00_16580
ko:K07044	abk:LX00_16585
ko:K10805	abk:LX00_16595
ko:K00631	abk:LX00_16600
ko:K03655	abk:LX00_16620
ko:K03574	abk:LX00_16630
ko:K06966	abk:LX00_16635
ko:K03284	abk:LX00_16640
ko:K07122	abk:LX00_16645
ko:K07323	abk:LX00_16650
ko:K02067	abk:LX00_16655
ko:K02066	abk:LX00_16660
ko:K02065	abk:LX00_16665
ko:K01092	abk:LX00_16680
ko:K01662	abk:LX00_16685
ko:K01497	abk:LX00_16690
ko:K00228	abk:LX00_16695
ko:K00014	abk:LX00_16700
ko:K07168	abk:LX00_16725
ko:K01878	abk:LX00_16750
ko:K01879	abk:LX00_16755
ko:K02192	abk:LX00_17050
ko:K03594	abk:LX00_17055
ko:K06872	abk:LX00_17080
ko:K03744	abk:LX00_17085
ko:K07044	abk:LX00_17090
ko:K00266	abk:LX00_17095
ko:K00265	abk:LX00_17100
ko:K01735	abk:LX00_17110
ko:K00891	abk:LX00_17115
ko:K02666	abk:LX00_17120
ko:K02665	abk:LX00_17125
ko:K02662	abk:LX00_17140
ko:K05366	abk:LX00_17145
ko:K00563	abk:LX00_17150
ko:K01000	abk:LX00_17160
ko:K01929	abk:LX00_17165
ko:K01928	abk:LX00_17170
ko:K03587	abk:LX00_17175
ko:K03586	abk:LX00_17180
ko:K03438	abk:LX00_17185
ko:K02048	abk:LX00_17190
ko:K01885	abk:LX00_17200
ko:K16264	abk:LX00_17230
ko:K15726	abk:LX00_17235
ko:K15727	abk:LX00_17240
ko:K15725	abk:LX00_17245
ko:K01740	abk:LX00_17295
ko:K01673	abk:LX00_17305
ko:K06959	abk:LX00_17310
ko:K07659	abk:LX00_17315
ko:K07638	abk:LX00_17320
ko:K18118	abk:LX00_17325
ko:K02501	abk:LX00_17355
ko:K01814	abk:LX00_17370
ko:K02204	abk:LX00_17400
ko:K02500	abk:LX00_17405
ko:K06188	abk:LX00_17420
ko:K01173	abk:LX00_17435
ko:K03549	abk:LX00_17445
ko:K08224	abk:LX00_17670
ko:K11735	abk:LX00_17680
ko:K00140	abk:LX00_17685
ko:K06995	abk:LX00_17690
ko:K09684	abk:LX00_17700
ko:K06911	abk:LX00_17730
ko:K00135	abk:LX00_17745
ko:K00823	abk:LX00_17750
ko:K00375	abk:LX00_17755
ko:K11735	abk:LX00_17760
ko:K09799	abk:LX00_17790
ko:K03707	abk:LX00_17795
ko:K02442	abk:LX00_17800
ko:K08987	abk:LX00_17805
ko:K16137	abk:LX00_17815
ko:K03701	abk:LX00_17820
ko:K02168	abk:LX00_17835
ko:K14393	abk:LX00_17845
ko:K00299	abk:LX00_17870
ko:K17228	abk:LX00_17875
ko:K01895	abk:LX00_17890
ko:K02527	abk:LX00_17910
ko:K02836	abk:LX00_17925
ko:K07462	abk:LX00_17935
ko:K00275	abk:LX00_17940
ko:K03431	abk:LX00_17945
ko:K00088	abk:LX00_17950
ko:K06940	abk:LX00_17955
ko:K02014	abk:LX00_17965
ko:K00627	abk:LX00_17980
ko:K00163	abk:LX00_17985
ko:K02535	abk:LX00_18000
ko:K03531	abk:LX00_18005
ko:K03590	abk:LX00_18010
ko:K03589	abk:LX00_18015
ko:K01921	abk:LX00_18020
ko:K01924	abk:LX00_18025
ko:K02563	abk:LX00_18030
ko:K01920	abk:LX00_18035
ko:K02014	abk:LX00_18045
ko:K00762	abk:LX00_18065
ko:K01142	abk:LX00_18070
ko:K04084	abk:LX00_18095
ko:K16842	abk:LX00_18115
ko:K16840	abk:LX00_18120
ko:K07127	abk:LX00_18125
ko:K16839	abk:LX00_18140
ko:K01477	abk:LX00_18145
ko:K01483	abk:LX00_18150
ko:K02622	abk:LX00_18155
ko:K07000	abk:LX00_18160
ko:K03611	abk:LX00_18205
ko:K01919	abk:LX00_18210
ko:K14287	abk:LX00_18230
ko:K07657	abk:LX00_18250
ko:K07636	abk:LX00_18255
ko:K01613	abk:LX00_18265
ko:K01011	abk:LX00_18270
ko:K00763	abk:LX00_18275
ko:K07560	abk:LX00_18280
ko:K01079	abk:LX00_18295
ko:K14652	abk:LX00_18305
ko:K00794	abk:LX00_18310
ko:K03625	abk:LX00_18315
ko:K00946	abk:LX00_18320
ko:K01095	abk:LX00_18325
ko:K04042	abk:LX00_18330
ko:K00820	abk:LX00_18335
ko:K01776	abk:LX00_18340
ko:K01091	abk:LX00_18345
ko:K01479	abk:LX00_18355
ko:K01468	abk:LX00_18360
ko:K16234	abk:LX00_18365
ko:K01745	abk:LX00_18370
ko:K01712	abk:LX00_18375
ko:K09975	abk:LX00_18380
ko:K05836	abk:LX00_18385
ko:K11734	abk:LX00_18405
ko:K01555	abk:LX00_18410
ko:K00457	abk:LX00_18430
ko:K03453	abk:LX00_18445
ko:K08281	abk:LX00_18450
ko:K01714	abk:LX00_18455
ko:K01923	abk:LX00_18465
ko:K02338	abk:LX00_03955
ko:K00954	abk:LX00_04225
ko:K16135	abk:LX00_04245
ko:K07246	abk:LX00_04250
ko:K03451	abk:LX00_04255
ko:K00135	abk:LX00_04270
ko:K07478	abk:LX00_18480
ko:K09160	abk:LX00_18490
ko:K03575	abk:LX00_18510
ko:K01246	abk:LX00_18525
ko:K12957	abk:LX00_18530
ko:K06222	abk:LX00_18550
ko:K00215	abk:LX00_18565
ko:K03686	abk:LX00_18575
ko:K18303	abk:LX00_18585
ko:K18302	abk:LX00_18590
ko:K18301	abk:LX00_18595
ko:K01595	abk:LX00_18600
ko:K07090	abk:LX00_18615
ko:K01687	abk:LX00_18625
ko:K00604	abk:LX00_18630
ko:K03500	abk:LX00_18635
ko:K03308	abk:LX00_18645
ko:K05563	abk:LX00_01795
ko:K05562	abk:LX00_01800
ko:K05561	abk:LX00_01805
ko:K05560	abk:LX00_01810
ko:K05559	abk:LX00_01815
ko:K11755	abk:LX00_01830
ko:K03688	abk:LX00_01840
ko:K03690	abk:LX00_01845
ko:K03183	abk:LX00_01850
ko:K03583	abk:LX00_01870
ko:K03582	abk:LX00_01875
ko:K03581	abk:LX00_01880
ko:K02956	abk:LX00_01890
ko:K00962	abk:LX00_01895
ko:K05516	abk:LX00_01910
ko:K04083	abk:LX00_01920
ko:K11747	abk:LX00_01925
ko:K04066	abk:LX00_01930
