ko:K01985	vcs:MS6_r0013
ko:K05813	vcs:MS6_1334
ko:K05814	vcs:MS6_1335
ko:K05815	vcs:MS6_1336
ko:K05816	vcs:MS6_1337
ko:K02444	vcs:MS6_1338
ko:K01126	vcs:MS6_1339
ko:K00884	vcs:MS6_1317
ko:K03781	vcs:MS6_1368
ko:K01575	vcs:MS6_1371
ko:K01652	vcs:MS6_1372
ko:K18009	vcs:MS6_1373
ko:K01785	vcs:MS6_1376
ko:K00849	vcs:MS6_1377
ko:K00965	vcs:MS6_1378
ko:K02030	vcs:MS6_1380
ko:K03415	vcs:MS6_1384
ko:K01993	vcs:MS6_1389
ko:K01992	vcs:MS6_1390
ko:K02482	vcs:MS6_1306
ko:K11748	vcs:MS6_2329
ko:K02777	vcs:MS6_0759
ko:K10911	vcs:MS6_0815
ko:K10909	vcs:MS6_A0781
ko:K13246	vcs:MS6_1432
ko:K04771	vcs:MS6_0390
ko:K19157	vcs:MS6_A0403
ko:K13746	vcs:MS6_1406
ko:K00571	vcs:MS6_A0499
ko:K12277	vcs:MS6_0261
ko:K00164	vcs:MS6_1847
ko:K00240	vcs:MS6_1848
ko:K00239	vcs:MS6_1849
ko:K00242	vcs:MS6_1850
ko:K00241	vcs:MS6_1851
ko:K01647	vcs:MS6_1852
ko:K09977	vcs:MS6_1854
ko:K01835	vcs:MS6_1855
ko:K03645	vcs:MS6_1856
ko:K03839	vcs:MS6_1859
ko:K06518	vcs:MS6_1861
ko:K03711	vcs:MS6_1864
ko:K00133	vcs:MS6_1865
ko:K03473	vcs:MS6_1866
ko:K00647	vcs:MS6_1867
ko:K15461	vcs:MS6_1868
ko:K09906	vcs:MS6_1871
ko:K01736	vcs:MS6_1873
ko:K07320	vcs:MS6_1874
ko:K02401	vcs:MS6_1876
ko:K02421	vcs:MS6_1877
ko:K02420	vcs:MS6_1878
ko:K02419	vcs:MS6_1879
ko:K02418	vcs:MS6_1881
ko:K02417	vcs:MS6_1882
ko:K02416	vcs:MS6_1883
ko:K02415	vcs:MS6_1884
ko:K02414	vcs:MS6_1885
ko:K02413	vcs:MS6_1886
ko:K02412	vcs:MS6_1887
ko:K02411	vcs:MS6_1888
ko:K02410	vcs:MS6_1889
ko:K02409	vcs:MS6_1890
ko:K02408	vcs:MS6_1891
ko:K10943	vcs:MS6_1892
ko:K10942	vcs:MS6_1893
ko:K10941	vcs:MS6_1894
ko:K02422	vcs:MS6_1895
ko:K02407	vcs:MS6_1897
ko:K06603	vcs:MS6_1898
ko:K02391	vcs:MS6_1944
ko:K02390	vcs:MS6_1945
ko:K02389	vcs:MS6_1946
ko:K02388	vcs:MS6_1947
ko:K02387	vcs:MS6_1948
ko:K00575	vcs:MS6_1949
ko:K03415	vcs:MS6_1950
ko:K02386	vcs:MS6_1951
ko:K02398	vcs:MS6_1952
ko:K02399	vcs:MS6_1953
ko:K09860	vcs:MS6_1954
ko:K03286	vcs:MS6_1961
ko:K01885	vcs:MS6_1962
ko:K17686	vcs:MS6_1963
ko:K12373	vcs:MS6_1965
ko:K09973	vcs:MS6_1968
ko:K06182	vcs:MS6_1971
ko:K00761	vcs:MS6_1973
ko:K01933	vcs:MS6_1974
ko:K11175	vcs:MS6_1975
ko:K03271	vcs:MS6_1977
ko:K06445	vcs:MS6_1978
ko:K02342	vcs:MS6_1980
ko:K03469	vcs:MS6_1981
ko:K01069	vcs:MS6_1983
ko:K08307	vcs:MS6_1984
ko:K04751	vcs:MS6_1986
ko:K13727	vcs:MS6_1987
ko:K04075	vcs:MS6_1989
ko:K01962	vcs:MS6_1990
ko:K02337	vcs:MS6_1991
ko:K03470	vcs:MS6_1992
ko:K00748	vcs:MS6_1993
ko:K00677	vcs:MS6_1994
ko:K02372	vcs:MS6_1995
ko:K02536	vcs:MS6_1996
ko:K00077	vcs:MS6_2049
ko:K03152	vcs:MS6_2050
ko:K01766	vcs:MS6_2051
ko:K02426	vcs:MS6_2052
ko:K08304	vcs:MS6_2054
ko:K14682	vcs:MS6_2056
ko:K03581	vcs:MS6_2058
ko:K03582	vcs:MS6_2059
ko:K03583	vcs:MS6_2060
ko:K09918	vcs:MS6_2063
ko:K00674	vcs:MS6_2064
ko:K07234	vcs:MS6_2065
ko:K16074	vcs:MS6_2068
ko:K06878	vcs:MS6_2070
ko:K02529	vcs:MS6_2071
ko:K01190	vcs:MS6_2072
ko:K07240	vcs:MS6_2073
ko:K02355	vcs:MS6_2076
ko:K04485	vcs:MS6_2077
ko:K01079	vcs:MS6_2079
ko:K07186	vcs:MS6_2080
ko:K03784	vcs:MS6_2081
ko:K01839	vcs:MS6_2082
ko:K00758	vcs:MS6_2083
ko:K01619	vcs:MS6_2084
ko:K03317	vcs:MS6_2086
ko:K03424	vcs:MS6_2087
ko:K09861	vcs:MS6_2089
ko:K03310	vcs:MS6_2090
ko:K03648	vcs:MS6_2093
ko:K01151	vcs:MS6_2094
ko:K01733	vcs:MS6_2096
ko:K00872	vcs:MS6_2097
ko:K12524	vcs:MS6_2098
ko:K02553	vcs:MS6_2100
ko:K07773	vcs:MS6_2102
ko:K07648	vcs:MS6_2103
ko:K07139	vcs:MS6_2105
ko:K00265	vcs:MS6_2107
ko:K00266	vcs:MS6_2108
ko:K00265	vcs:MS6_2109
ko:K00266	vcs:MS6_2110
ko:K01243	vcs:MS6_2112
ko:K02227	vcs:MS6_2113
ko:K06858	vcs:MS6_2114
ko:K07090	vcs:MS6_2116
ko:K01955	vcs:MS6_2121
ko:K01956	vcs:MS6_2122
ko:K00215	vcs:MS6_2124
ko:K03574	vcs:MS6_2125
ko:K03070	vcs:MS6_2126
ko:K02535	vcs:MS6_2128
ko:K03531	vcs:MS6_2129
ko:K03590	vcs:MS6_2130
ko:K03589	vcs:MS6_2131
ko:K01924	vcs:MS6_2132
ko:K02563	vcs:MS6_2133
ko:K03588	vcs:MS6_2134
ko:K01925	vcs:MS6_2135
ko:K01000	vcs:MS6_2136
ko:K01929	vcs:MS6_2137
ko:K01928	vcs:MS6_2138
ko:K03587	vcs:MS6_2139
ko:K03586	vcs:MS6_2140
ko:K03438	vcs:MS6_2141
ko:K00382	vcs:MS6_2142
ko:K00627	vcs:MS6_2143
ko:K00163	vcs:MS6_2144
ko:K01119	vcs:MS6_2146
ko:K07462	vcs:MS6_2147
ko:K03981	vcs:MS6_2148
ko:K04763	vcs:MS6_2149
ko:K03840	vcs:MS6_2150
ko:K03806	vcs:MS6_2151
ko:K00767	vcs:MS6_2152
ko:K02652	vcs:MS6_2154
ko:K02653	vcs:MS6_2155
ko:K02654	vcs:MS6_2156
ko:K00859	vcs:MS6_2157
ko:K18778	vcs:MS6_2158
ko:K09862	vcs:MS6_2159
ko:K02621	vcs:MS6_2160
ko:K02622	vcs:MS6_2161
ko:K07000	vcs:MS6_2163
ko:K03651	vcs:MS6_2164
ko:K09920	vcs:MS6_2165
ko:K01515	vcs:MS6_2166
ko:K12340	vcs:MS6_2167
ko:K03272	vcs:MS6_2168
ko:K00982	vcs:MS6_2169
ko:K03406	vcs:MS6_2170
ko:K18446	vcs:MS6_2171
ko:K07220	vcs:MS6_2172
ko:K03306	vcs:MS6_2173
ko:K07184	vcs:MS6_2174
ko:K02451	vcs:MS6_2175
ko:K02450	vcs:MS6_2176
ko:K00974	vcs:MS6_2177
ko:K01689	vcs:MS6_2178
ko:K01937	vcs:MS6_2179
ko:K04765	vcs:MS6_2181
ko:K00951	vcs:MS6_2182
ko:K03215	vcs:MS6_2183
ko:K07678	vcs:MS6_2184
ko:K00997	vcs:MS6_2189
ko:K03474	vcs:MS6_2190
ko:K03584	vcs:MS6_2191
ko:K03685	vcs:MS6_2193
ko:K03100	vcs:MS6_2194
ko:K03596	vcs:MS6_2195
ko:K03803	vcs:MS6_2196
ko:K03598	vcs:MS6_2197
ko:K03597	vcs:MS6_2198
ko:K03088	vcs:MS6_2199
ko:K00278	vcs:MS6_2200
ko:K09159	vcs:MS6_2202
ko:K06980	vcs:MS6_2203
ko:K18800	vcs:MS6_2205
ko:K03185	vcs:MS6_2206
ko:K09774	vcs:MS6_2252
ko:K06861	vcs:MS6_2253
ko:K03092	vcs:MS6_2254
ko:K05808	vcs:MS6_2255
ko:K02806	vcs:MS6_2256
ko:K06958	vcs:MS6_2257
ko:K08485	vcs:MS6_2258
ko:K06213	vcs:MS6_2259
ko:K03592	vcs:MS6_2260
ko:K09889	vcs:MS6_2261
ko:K02062	vcs:MS6_2262
ko:K02063	vcs:MS6_2263
ko:K02064	vcs:MS6_2264
ko:K03186	vcs:MS6_2265
ko:K02558	vcs:MS6_2266
ko:K03841	vcs:MS6_2267
ko:K01507	vcs:MS6_2268
ko:K09800	vcs:MS6_2270
ko:K07278	vcs:MS6_2271
ko:K07304	vcs:MS6_2272
ko:K07109	vcs:MS6_2273
ko:K02003	vcs:MS6_2276
ko:K02004	vcs:MS6_2277
ko:K09950	vcs:MS6_2278
ko:K00860	vcs:MS6_2280
ko:K00956	vcs:MS6_2281
ko:K00957	vcs:MS6_2282
ko:K02303	vcs:MS6_2283
ko:K01119	vcs:MS6_2284
ko:K05591	vcs:MS6_2286
ko:K02348	vcs:MS6_2287
ko:K03773	vcs:MS6_2290
ko:K02879	vcs:MS6_2292
ko:K03040	vcs:MS6_2293
ko:K02986	vcs:MS6_2294
ko:K02948	vcs:MS6_2295
ko:K02952	vcs:MS6_2296
ko:K02919	vcs:MS6_2297
ko:K03076	vcs:MS6_2298
ko:K02876	vcs:MS6_2299
ko:K02907	vcs:MS6_2300
ko:K02988	vcs:MS6_2301
ko:K02881	vcs:MS6_2302
ko:K02933	vcs:MS6_2303
ko:K02897	vcs:MS6_1421
ko:K03406	vcs:MS6_1424
ko:K07025	vcs:MS6_1426
ko:K01387	vcs:MS6_1430
ko:K07679	vcs:MS6_1433
ko:K06213	vcs:MS6_1434
ko:K03837	vcs:MS6_1437
ko:K01993	vcs:MS6_1438
ko:K06938	vcs:MS6_1442
ko:K03668	vcs:MS6_1443
ko:K05777	vcs:MS6_1444
ko:K03532	vcs:MS6_1472
ko:K02571	vcs:MS6_1473
ko:K06212	vcs:MS6_1475
ko:K06190	vcs:MS6_1480
ko:K10806	vcs:MS6_1481
ko:K09780	vcs:MS6_1482
ko:K00549	vcs:MS6_1484
ko:K03576	vcs:MS6_1485
ko:K07263	vcs:MS6_1488
ko:K03632	vcs:MS6_1493
ko:K03804	vcs:MS6_1494
ko:K03633	vcs:MS6_1495
ko:K06219	vcs:MS6_1496
ko:K07772	vcs:MS6_1498
ko:K03442	vcs:MS6_1526
ko:K03808	vcs:MS6_1527
ko:K06192	vcs:MS6_1528
ko:K09857	vcs:MS6_1529
ko:K01153	vcs:MS6_1538
ko:K01154	vcs:MS6_1541
ko:K03427	vcs:MS6_1542
ko:K17948	vcs:MS6_1547
ko:K01639	vcs:MS6_1549
ko:K01788	vcs:MS6_1553
ko:K00885	vcs:MS6_1554
ko:K01443	vcs:MS6_1555
ko:K01186	vcs:MS6_1556
ko:K07733	vcs:MS6_1557
ko:K03630	vcs:MS6_1558
ko:K07483	vcs:MS6_1562
ko:K06946	vcs:MS6_1576
ko:K03641	vcs:MS6_1601
ko:K03646	vcs:MS6_1602
ko:K03560	vcs:MS6_1603
ko:K03562	vcs:MS6_1604
ko:K07107	vcs:MS6_1605
ko:K00426	vcs:MS6_1606
ko:K00425	vcs:MS6_1607
ko:K03551	vcs:MS6_1608
ko:K03550	vcs:MS6_1609
ko:K01159	vcs:MS6_1610
ko:K01883	vcs:MS6_1611
ko:K03768	vcs:MS6_1612
ko:K03269	vcs:MS6_1613
ko:K09858	vcs:MS6_1615
ko:K07090	vcs:MS6_1619
ko:K04067	vcs:MS6_1620
ko:K03406	vcs:MS6_1622
ko:K01142	vcs:MS6_1623
ko:K10023	vcs:MS6_1624
ko:K03885	vcs:MS6_1652
ko:K07000	vcs:MS6_1654
ko:K07337	vcs:MS6_1656
ko:K09859	vcs:MS6_1658
ko:K02503	vcs:MS6_1659
ko:K03406	vcs:MS6_1660
ko:K03603	vcs:MS6_1662
ko:K03314	vcs:MS6_1663
ko:K03611	vcs:MS6_1664
ko:K03466	vcs:MS6_1665
ko:K03719	vcs:MS6_1666
ko:K00259	vcs:MS6_1667
ko:K13634	vcs:MS6_1669
ko:K06169	vcs:MS6_1672
ko:K01591	vcs:MS6_1673
ko:K08992	vcs:MS6_1675
ko:K01491	vcs:MS6_1703
ko:K07812	vcs:MS6_1709
ko:K07821	vcs:MS6_1710
ko:K01183	vcs:MS6_1711
ko:K03317	vcs:MS6_1712
ko:K08305	vcs:MS6_1714
ko:K09902	vcs:MS6_1715
ko:K03610	vcs:MS6_1716
ko:K03609	vcs:MS6_1717
ko:K03608	vcs:MS6_1718
ko:K09948	vcs:MS6_1720
ko:K07107	vcs:MS6_1699
ko:K01424	vcs:MS6_1751
ko:K09916	vcs:MS6_1753
ko:K07305	vcs:MS6_1756
ko:K00134	vcs:MS6_1757
ko:K01792	vcs:MS6_1758
ko:K00563	vcs:MS6_1760
ko:K03415	vcs:MS6_1763
ko:K15545	vcs:MS6_1764
ko:K00873	vcs:MS6_1765
ko:K03308	vcs:MS6_1769
ko:K02778	vcs:MS6_1770
ko:K02779	vcs:MS6_1770
ko:K03424	vcs:MS6_1771
ko:K02341	vcs:MS6_1772
ko:K00943	vcs:MS6_1773
ko:K07082	vcs:MS6_1774
ko:K02619	vcs:MS6_1775
ko:K09458	vcs:MS6_1776
ko:K02078	vcs:MS6_1777
ko:K00059	vcs:MS6_1778
ko:K00645	vcs:MS6_1779
ko:K00648	vcs:MS6_1780
ko:K03621	vcs:MS6_1781
ko:K02911	vcs:MS6_1782
ko:K12541	vcs:MS6_A1113
ko:K09749	vcs:MS6_A1114
ko:K03406	vcs:MS6_A1117
ko:K03412	vcs:MS6_A1118
ko:K03411	vcs:MS6_A1119
ko:K00575	vcs:MS6_A1120
ko:K03406	vcs:MS6_A1121
ko:K03408	vcs:MS6_A1122
ko:K03408	vcs:MS6_A1123
ko:K03407	vcs:MS6_A1124
ko:K03413	vcs:MS6_A1125
ko:K02035	vcs:MS6_A1127
ko:K02033	vcs:MS6_A1128
ko:K02034	vcs:MS6_A1129
ko:K02031	vcs:MS6_A1130
ko:K02032	vcs:MS6_A1130
ko:K03760	vcs:MS6_A1131
ko:K07645	vcs:MS6_A1132
ko:K06957	vcs:MS6_A1139
ko:K11069	vcs:MS6_A1140
ko:K03497	vcs:MS6_A1141
ko:K04562	vcs:MS6_1829
ko:K02404	vcs:MS6_1830
ko:K02400	vcs:MS6_1831
ko:K08296	vcs:MS6_1832
ko:K09907	vcs:MS6_1834
ko:K01887	vcs:MS6_1835
ko:K04759	vcs:MS6_1838
ko:K04758	vcs:MS6_1839
ko:K09815	vcs:MS6_1841
ko:K09817	vcs:MS6_1842
ko:K09816	vcs:MS6_1843
ko:K01902	vcs:MS6_1844
ko:K01903	vcs:MS6_1845
ko:K00658	vcs:MS6_1846
ko:K02406	vcs:MS6_1899
ko:K02406	vcs:MS6_1900
ko:K02406	vcs:MS6_1901
ko:K07223	vcs:MS6_1902
ko:K01439	vcs:MS6_1907
ko:K07287	vcs:MS6_1910
ko:K01714	vcs:MS6_1911
ko:K03567	vcs:MS6_1912
ko:K03564	vcs:MS6_1913
ko:K03406	vcs:MS6_1914
ko:K03548	vcs:MS6_1915
ko:K00537	vcs:MS6_1918
ko:K03809	vcs:MS6_1919
ko:K09938	vcs:MS6_1921
ko:K02824	vcs:MS6_1922
ko:K03976	vcs:MS6_1923
ko:K11751	vcs:MS6_1924
ko:K01627	vcs:MS6_1925
ko:K02493	vcs:MS6_1928
ko:K02835	vcs:MS6_1929
ko:K02492	vcs:MS6_1930
ko:K02494	vcs:MS6_1931
ko:K00919	vcs:MS6_1932
ko:K00948	vcs:MS6_1933
ko:K01056	vcs:MS6_1934
ko:K06942	vcs:MS6_1935
ko:K02406	vcs:MS6_1936
ko:K02406	vcs:MS6_1937
ko:K02397	vcs:MS6_1938
ko:K02396	vcs:MS6_1939
ko:K02395	vcs:MS6_1940
ko:K02394	vcs:MS6_1941
ko:K02393	vcs:MS6_1942
ko:K02392	vcs:MS6_1943
ko:K06142	vcs:MS6_1997
ko:K07277	vcs:MS6_1998
ko:K11749	vcs:MS6_1999
ko:K00099	vcs:MS6_2000
ko:K00981	vcs:MS6_2001
ko:K00806	vcs:MS6_2002
ko:K02838	vcs:MS6_2003
ko:K09903	vcs:MS6_2004
ko:K02357	vcs:MS6_2005
ko:K02967	vcs:MS6_2006
ko:K01265	vcs:MS6_2007
ko:K00990	vcs:MS6_2008
ko:K01095	vcs:MS6_2010
ko:K00946	vcs:MS6_2011
ko:K03625	vcs:MS6_2012
ko:K00794	vcs:MS6_2013
ko:K14652	vcs:MS6_2014
ko:K00793	vcs:MS6_2015
ko:K11752	vcs:MS6_2016
ko:K07738	vcs:MS6_2017
ko:K00147	vcs:MS6_2018
ko:K00931	vcs:MS6_2019
ko:K11926	vcs:MS6_2020
ko:K11750	vcs:MS6_2021
ko:K00769	vcs:MS6_2022
ko:K06901	vcs:MS6_2023
ko:K01270	vcs:MS6_2024
ko:K05844	vcs:MS6_2026
ko:K06987	vcs:MS6_2027
ko:K03308	vcs:MS6_2028
ko:K02346	vcs:MS6_2031
ko:K05952	vcs:MS6_2032
ko:K03734	vcs:MS6_2033
ko:K00351	vcs:MS6_2034
ko:K00350	vcs:MS6_2035
ko:K00349	vcs:MS6_2036
ko:K00348	vcs:MS6_2037
ko:K00347	vcs:MS6_2038
ko:K00346	vcs:MS6_2039
ko:K05527	vcs:MS6_2040
ko:K07286	vcs:MS6_2042
ko:K03767	vcs:MS6_2043
ko:K08218	vcs:MS6_2044
ko:K07167	vcs:MS6_2045
ko:K03088	vcs:MS6_2046
ko:K07157	vcs:MS6_2047
ko:K05517	vcs:MS6_2048
ko:K09895	vcs:MS6_2207
ko:K09888	vcs:MS6_2208
ko:K01934	vcs:MS6_2209
ko:K01807	vcs:MS6_2210
ko:K00058	vcs:MS6_2211
ko:K01653	vcs:MS6_2212
ko:K01652	vcs:MS6_2213
ko:K01897	vcs:MS6_2214
ko:K05798	vcs:MS6_2215
ko:K01649	vcs:MS6_2219
ko:K00052	vcs:MS6_2220
ko:K01703	vcs:MS6_2221
ko:K01704	vcs:MS6_2222
ko:K11720	vcs:MS6_2226
ko:K07091	vcs:MS6_2227
ko:K01255	vcs:MS6_2228
ko:K02339	vcs:MS6_2229
ko:K01873	vcs:MS6_2230
ko:K00018	vcs:MS6_2231
ko:K06177	vcs:MS6_2232
ko:K03580	vcs:MS6_2233
ko:K07175	vcs:MS6_2235
ko:K00611	vcs:MS6_2236
ko:K00609	vcs:MS6_2237
ko:K00610	vcs:MS6_2238
ko:K09022	vcs:MS6_2239
ko:K00655	vcs:MS6_2240
ko:K00790	vcs:MS6_2241
ko:K07122	vcs:MS6_2243
ko:K07323	vcs:MS6_2244
ko:K02067	vcs:MS6_2245
ko:K02066	vcs:MS6_2246
ko:K02065	vcs:MS6_2247
ko:K07301	vcs:MS6_2248
ko:K06041	vcs:MS6_2249
ko:K03270	vcs:MS6_2250
ko:K11719	vcs:MS6_2251
ko:K02994	vcs:MS6_2304
ko:K02954	vcs:MS6_2305
ko:K02931	vcs:MS6_2306
ko:K02895	vcs:MS6_2307
ko:K02874	vcs:MS6_2308
ko:K02961	vcs:MS6_2309
ko:K02904	vcs:MS6_2310
ko:K02878	vcs:MS6_2311
ko:K02982	vcs:MS6_2312
ko:K02890	vcs:MS6_2313
ko:K02965	vcs:MS6_2314
ko:K02886	vcs:MS6_2315
ko:K02892	vcs:MS6_2316
ko:K02926	vcs:MS6_2317
ko:K02906	vcs:MS6_2318
ko:K02946	vcs:MS6_2319
ko:K03218	vcs:MS6_2320
ko:K12573	vcs:MS6_2321
ko:K07014	vcs:MS6_2322
ko:K01939	vcs:MS6_2324
ko:K13051	vcs:MS6_2325
ko:K03775	vcs:MS6_2326
ko:K07070	vcs:MS6_2327
ko:K11747	vcs:MS6_2328
ko:K06158	vcs:MS6_2330
ko:K07019	vcs:MS6_2332
ko:K09898	vcs:MS6_2333
ko:K00855	vcs:MS6_2334
ko:K10914	vcs:MS6_2335
ko:K06447	vcs:MS6_2337
ko:K00673	vcs:MS6_2338
ko:K01664	vcs:MS6_2340
ko:K14441	vcs:MS6_2341
ko:K07004	vcs:MS6_2342
ko:K02030	vcs:MS6_2343
ko:K01867	vcs:MS6_2344
ko:K01091	vcs:MS6_2345
ko:K01783	vcs:MS6_2346
ko:K03112	vcs:MS6_2348
ko:K01735	vcs:MS6_2349
ko:K00891	vcs:MS6_2350
ko:K02666	vcs:MS6_2351
ko:K02665	vcs:MS6_2352
ko:K02664	vcs:MS6_2353
ko:K02663	vcs:MS6_2354
ko:K02662	vcs:MS6_2355
ko:K07712	vcs:MS6_2464
ko:K01488	vcs:MS6_2466
ko:K01776	vcs:MS6_2468
ko:K14645	vcs:MS6_2469
ko:K16092	vcs:MS6_2470
ko:K00322	vcs:MS6_2474
ko:K03089	vcs:MS6_2475
ko:K09811	vcs:MS6_2476
ko:K09812	vcs:MS6_2477
ko:K03110	vcs:MS6_2478
ko:K08316	vcs:MS6_2479
ko:K08993	vcs:MS6_2480
ko:K04047	vcs:MS6_2485
ko:K05834	vcs:MS6_2488
ko:K01048	vcs:MS6_2489
ko:K08985	vcs:MS6_2491
ko:K03733	vcs:MS6_2495
ko:K09921	vcs:MS6_2496
ko:K01778	vcs:MS6_2497
ko:K01586	vcs:MS6_2498
ko:K06202	vcs:MS6_2500
ko:K05851	vcs:MS6_2501
ko:K01749	vcs:MS6_2503
ko:K01719	vcs:MS6_2504
ko:K02496	vcs:MS6_2505
ko:K02498	vcs:MS6_2506
ko:K09894	vcs:MS6_2509
ko:K03978	vcs:MS6_2512
ko:K07708	vcs:MS6_2463
ko:K09909	vcs:MS6_A0016
ko:K08154	vcs:MS6_A0193
ko:K09607	vcs:MS6_A0202
ko:K02016	vcs:MS6_A0207
ko:K02015	vcs:MS6_A0208
ko:K02015	vcs:MS6_A0209
ko:K02013	vcs:MS6_A0210
ko:K16087	vcs:MS6_A0212
ko:K09956	vcs:MS6_A0213
ko:K00925	vcs:MS6_A0214
ko:K03078	vcs:MS6_A0221
ko:K03077	vcs:MS6_A0223
ko:K02821	vcs:MS6_A0224
ko:K02822	vcs:MS6_A0225
ko:K03475	vcs:MS6_A0225
ko:K03477	vcs:MS6_A0226
ko:K03476	vcs:MS6_A0227
ko:K12262	vcs:MS6_A0228
ko:K01176	vcs:MS6_A0229
ko:K03406	vcs:MS6_A0246
ko:K07258	vcs:MS6_A0248
ko:K01674	vcs:MS6_A0253
ko:K07491	vcs:MS6_A0254
ko:K00281	vcs:MS6_A0255
ko:K02437	vcs:MS6_A0257
ko:K00600	vcs:MS6_A0258
ko:K00605	vcs:MS6_A0261
ko:K07481	vcs:MS6_A0263
ko:K01868	vcs:MS6_A0268
ko:K02520	vcs:MS6_A0269
ko:K02916	vcs:MS6_A0270
ko:K02887	vcs:MS6_A0271
ko:K03825	vcs:MS6_A0274
ko:K09702	vcs:MS6_A0294
ko:K07483	vcs:MS6_A0298
