ko:K19504	senq:AU40_24840
ko:K03755	senq:AU40_23505
ko:K01584	senq:AU40_23510
ko:K07406	senq:AU40_23525
ko:K11104	senq:AU40_23530
ko:K01676	senq:AU40_23535
ko:K07792	senq:AU40_23540
ko:K07703	senq:AU40_23550
ko:K07701	senq:AU40_23555
ko:K07306	senq:AU40_23560
ko:K07307	senq:AU40_23565
ko:K07308	senq:AU40_23570
ko:K09474	senq:AU40_23625
ko:K04084	senq:AU40_23645
ko:K03926	senq:AU40_23650
ko:K07791	senq:AU40_23655
ko:K01744	senq:AU40_23660
ko:K07113	senq:AU40_23670
ko:K16263	senq:AU40_23675
ko:K04078	senq:AU40_23685
ko:K04077	senq:AU40_23690
ko:K02356	senq:AU40_23720
ko:K16347	senq:AU40_23725
ko:K16348	senq:AU40_23735
ko:K11741	senq:AU40_23750
ko:K03098	senq:AU40_23755
ko:K06222	senq:AU40_01475
ko:K08307	senq:AU40_01500
ko:K01069	senq:AU40_01505
ko:K03469	senq:AU40_01515
ko:K02342	senq:AU40_01520
ko:K11902	senq:AU40_01530
ko:K11895	senq:AU40_01535
ko:K11904	senq:AU40_01550
ko:K19048	senq:AU40_01565
ko:K19048	senq:AU40_01595
ko:K03711	senq:AU40_03745
ko:K03839	senq:AU40_03760
ko:K03645	senq:AU40_03785
ko:K01835	senq:AU40_03790
ko:K01581	senq:AU40_03805
ko:K07667	senq:AU40_03815
ko:K07646	senq:AU40_03820
ko:K01548	senq:AU40_03825
ko:K01547	senq:AU40_03830
ko:K01546	senq:AU40_03835
ko:K01545	senq:AU40_03840
ko:K01669	senq:AU40_03850
ko:K03305	senq:AU40_03855
ko:K07160	senq:AU40_03875
ko:K05522	senq:AU40_03880
ko:K02400	senq:AU40_06345
ko:K03516	senq:AU40_06350
ko:K15532	senq:AU40_06360
ko:K05515	senq:AU40_06365
ko:K01887	senq:AU40_06370
ko:K09907	senq:AU40_06375
ko:K06201	senq:AU40_06380
ko:K15257	senq:AU40_06385
ko:K15256	senq:AU40_06390
ko:K07136	senq:AU40_06395
ko:K01876	senq:AU40_06415
ko:K08310	senq:AU40_06420
ko:K01159	senq:AU40_06430
ko:K03550	senq:AU40_06445
ko:K03551	senq:AU40_06450
ko:K09816	senq:AU40_06455
ko:K09817	senq:AU40_06460
ko:K09815	senq:AU40_06465
ko:K02560	senq:AU40_06475
ko:K00873	senq:AU40_06480
ko:K00036	senq:AU40_06490
ko:K01690	senq:AU40_06495
ko:K01625	senq:AU40_06500
ko:K08289	senq:AU40_06510
ko:K09918	senq:AU40_06515
ko:K01354	senq:AU40_06530
ko:K10857	senq:AU40_06535
ko:K02345	senq:AU40_06545
ko:K07156	senq:AU40_06550
ko:K07245	senq:AU40_06555
ko:K16291	senq:AU40_11415
ko:K00768	senq:AU40_11420
ko:K02233	senq:AU40_11425
ko:K02231	senq:AU40_11430
ko:K02232	senq:AU40_11435
ko:K02006	senq:AU40_11440
ko:K02008	senq:AU40_11445
ko:K02009	senq:AU40_11450
ko:K02007	senq:AU40_11455
ko:K03394	senq:AU40_11460
ko:K02190	senq:AU40_11465
ko:K05895	senq:AU40_11470
ko:K02189	senq:AU40_11480
ko:K05936	senq:AU40_11485
ko:K02191	senq:AU40_11490
ko:K03399	senq:AU40_11495
ko:K02188	senq:AU40_11500
ko:K06042	senq:AU40_11505
ko:K02227	senq:AU40_11510
ko:K02224	senq:AU40_11515
ko:K01699	senq:AU40_11540
ko:K13919	senq:AU40_11545
ko:K13920	senq:AU40_11550
ko:K13923	senq:AU40_11575
ko:K13922	senq:AU40_11595
ko:K13921	senq:AU40_11600
ko:K04031	senq:AU40_11615
ko:K04029	senq:AU40_11620
ko:K16651	senq:AU40_11630
ko:K09802	senq:AU40_11635
ko:K07470	senq:AU40_11645
ko:K07258	senq:AU40_11650
ko:K08354	senq:AU40_11655
ko:K13256	senq:AU40_23100
ko:K10110	senq:AU40_23105
ko:K10109	senq:AU40_23110
ko:K10108	senq:AU40_23115
ko:K10111	senq:AU40_23125
ko:K02024	senq:AU40_23130
ko:K05775	senq:AU40_23135
ko:K03181	senq:AU40_23145
ko:K03179	senq:AU40_23150
ko:K00631	senq:AU40_23155
ko:K00901	senq:AU40_23160
ko:K01356	senq:AU40_23165
ko:K03327	senq:AU40_23170
ko:K09823	senq:AU40_23185
ko:K05539	senq:AU40_23195
ko:K01775	senq:AU40_23215
ko:K00832	senq:AU40_23225
ko:K03788	senq:AU40_23230
ko:K03701	senq:AU40_23255
ko:K03111	senq:AU40_23260
ko:K13631	senq:AU40_23310
ko:K13639	senq:AU40_23315
ko:K00799	senq:AU40_23325
ko:K06901	senq:AU40_23340
ko:K03316	senq:AU40_23350
ko:K06518	senq:AU40_23360
ko:K14393	senq:AU40_23370
ko:K01895	senq:AU40_23380
ko:K03385	senq:AU40_23390
ko:K04013	senq:AU40_23395
ko:K04014	senq:AU40_23400
ko:K04015	senq:AU40_23405
ko:K04016	senq:AU40_23410
ko:K04017	senq:AU40_23415
ko:K01673	senq:AU40_25430
ko:K07491	senq:AU40_25510
ko:K19163	senq:AU40_25560
ko:K19164	senq:AU40_25565
ko:K06858	senq:AU40_01210
ko:K01243	senq:AU40_01215
ko:K01129	senq:AU40_01220
ko:K04771	senq:AU40_01225
ko:K02647	senq:AU40_01230
ko:K00674	senq:AU40_01250
ko:K00990	senq:AU40_01255
ko:K01265	senq:AU40_01260
ko:K02967	senq:AU40_01265
ko:K02357	senq:AU40_01270
ko:K09903	senq:AU40_01275
ko:K02838	senq:AU40_01280
ko:K00099	senq:AU40_01285
ko:K00806	senq:AU40_01290
ko:K00981	senq:AU40_01300
ko:K11749	senq:AU40_01305
ko:K07277	senq:AU40_01310
ko:K06142	senq:AU40_01315
ko:K02536	senq:AU40_01320
ko:K00783	senq:AU40_03435
ko:K09710	senq:AU40_03440
ko:K02226	senq:AU40_03455
ko:K04720	senq:AU40_03460
ko:K00969	senq:AU40_03465
ko:K02340	senq:AU40_03470
ko:K03643	senq:AU40_03475
ko:K01869	senq:AU40_03480
ko:K16849	senq:AU40_03485
ko:K16850	senq:AU40_03490
ko:K07126	senq:AU40_03510
ko:K04045	senq:AU40_03535
ko:K01250	senq:AU40_03545
ko:K10004	senq:AU40_03550
ko:K10002	senq:AU40_03560
ko:K10003	senq:AU40_03565
ko:K10001	senq:AU40_03570
ko:K03820	senq:AU40_03580
ko:K07126	senq:AU40_05840
ko:K07126	senq:AU40_05845
ko:K07483	senq:AU40_05850
ko:K03704	senq:AU40_05885
ko:K06950	senq:AU40_05910
ko:K07458	senq:AU40_05920
ko:K03313	senq:AU40_00215
ko:K03717	senq:AU40_00220
ko:K01811	senq:AU40_00225
ko:K02968	senq:AU40_00235
ko:K11753	senq:AU40_00245
ko:K01870	senq:AU40_00250
ko:K03101	senq:AU40_00255
ko:K03774	senq:AU40_00260
ko:K03527	senq:AU40_00265
ko:K12700	senq:AU40_00280
ko:K07702	senq:AU40_00285
ko:K07700	senq:AU40_00290
ko:K01572	senq:AU40_00295
ko:K01571	senq:AU40_00300
ko:K01573	senq:AU40_00305
ko:K01910	senq:AU40_00315
ko:K01646	senq:AU40_00320
ko:K01644	senq:AU40_00325
ko:K01643	senq:AU40_00330
ko:K05964	senq:AU40_00335
ko:K05966	senq:AU40_00340
ko:K02237	senq:AU40_02460
ko:K12500	senq:AU40_02465
ko:K06920	senq:AU40_02470
ko:K11938	senq:AU40_02480
ko:K01738	senq:AU40_02485
ko:K05800	senq:AU40_02490
ko:K18889	senq:AU40_02495
ko:K18890	senq:AU40_02500
ko:K04752	senq:AU40_02505
ko:K03320	senq:AU40_02510
ko:K10805	senq:AU40_02515
ko:K09914	senq:AU40_02520
ko:K07443	senq:AU40_02525
ko:K02909	senq:AU40_02535
ko:K02919	senq:AU40_02540
ko:K00661	senq:AU40_02550
ko:K05839	senq:AU40_02555
ko:K19162	senq:AU40_02560
ko:K18138	senq:AU40_02565
ko:K03585	senq:AU40_02570
ko:K03577	senq:AU40_02575
ko:K05802	senq:AU40_02585
ko:K03212	senq:AU40_04770
ko:K03475	senq:AU40_04780
ko:K02822	senq:AU40_04785
ko:K09996	senq:AU40_04795
ko:K09998	senq:AU40_04800
ko:K09999	senq:AU40_04805
ko:K09997	senq:AU40_04810
ko:K10000	senq:AU40_04815
ko:K11066	senq:AU40_04830
ko:K01620	senq:AU40_04845
ko:K00156	senq:AU40_04850
ko:K11933	senq:AU40_04855
ko:K05601	senq:AU40_04860
ko:K07459	senq:AU40_04875
ko:K09824	senq:AU40_04880
ko:K13888	senq:AU40_04885
ko:K05685	senq:AU40_04890
ko:K03704	senq:AU40_04900
ko:K08349	senq:AU40_08620
ko:K08350	senq:AU40_08625
ko:K13953	senq:AU40_08630
ko:K00027	senq:AU40_08635
ko:K02972	senq:AU40_08640
ko:K04063	senq:AU40_08650
ko:K06044	senq:AU40_08670
ko:K14155	senq:AU40_08680
ko:K03315	senq:AU40_08685
ko:K02529	senq:AU40_08690
ko:K06282	senq:AU40_08760
ko:K06281	senq:AU40_08770
ko:K03620	senq:AU40_08775
ko:K03605	senq:AU40_08780
ko:K04653	senq:AU40_08785
ko:K03619	senq:AU40_08790
ko:K03618	senq:AU40_08795
ko:K04651	senq:AU40_08805
ko:K01425	senq:AU40_08830
ko:K08324	senq:AU40_08835
ko:K08159	senq:AU40_08845
ko:K05595	senq:AU40_08850
ko:K03712	senq:AU40_08855
ko:K13632	senq:AU40_08860
ko:K13630	senq:AU40_08865
ko:K15268	senq:AU40_08870
ko:K08477	senq:AU40_13500
ko:K08476	senq:AU40_13505
ko:K08475	senq:AU40_13510
ko:K08478	senq:AU40_13515
ko:K11382	senq:AU40_13525
ko:K12974	senq:AU40_13540
ko:K14261	senq:AU40_13555
ko:K00845	senq:AU40_13565
ko:K03322	senq:AU40_13590
ko:K11535	senq:AU40_13595
ko:K01885	senq:AU40_13625
ko:K11537	senq:AU40_13670
ko:K03815	senq:AU40_13675
ko:K14347	senq:AU40_13690
ko:K09954	senq:AU40_13695
ko:K01972	senq:AU40_13700
ko:K03528	senq:AU40_13705
ko:K06203	senq:AU40_13715
ko:K01738	senq:AU40_13725
ko:K02784	senq:AU40_13740
ko:K08483	senq:AU40_13745
ko:K02777	senq:AU40_13750
ko:K00868	senq:AU40_13760
ko:K01951	senq:AU40_13770
ko:K12339	senq:AU40_13785
ko:K09862	senq:AU40_00815
ko:K18778	senq:AU40_00820
ko:K00859	senq:AU40_00825
ko:K00364	senq:AU40_00830
ko:K02505	senq:AU40_00835
ko:K02504	senq:AU40_00840
ko:K02682	senq:AU40_00845
ko:K00767	senq:AU40_00855
ko:K03806	senq:AU40_00860
ko:K03807	senq:AU40_00865
ko:K11734	senq:AU40_00885
ko:K00163	senq:AU40_00905
ko:K00627	senq:AU40_00910
ko:K00382	senq:AU40_00920
ko:K07644	senq:AU40_03025
ko:K01921	senq:AU40_02060
ko:K08161	senq:AU40_02070
ko:K18968	senq:AU40_02085
ko:K00286	senq:AU40_02090
ko:K09768	senq:AU40_02095
ko:K00891	senq:AU40_02100
ko:K14591	senq:AU40_02110
ko:K09913	senq:AU40_02115
ko:K03554	senq:AU40_02120
ko:K00847	senq:AU40_02125
ko:K03547	senq:AU40_02140
ko:K07657	senq:AU40_02150
ko:K07636	senq:AU40_02155
ko:K03311	senq:AU40_02165
ko:K11736	senq:AU40_02170
ko:K01187	senq:AU40_02175
ko:K03386	senq:AU40_02180
ko:K08682	senq:AU40_02185
ko:K07568	senq:AU40_02190
ko:K03638	senq:AU40_04315
ko:K03637	senq:AU40_04320
ko:K03636	senq:AU40_04325
ko:K03635	senq:AU40_04330
ko:K06890	senq:AU40_04335
ko:K06890	senq:AU40_04340
ko:K07027	senq:AU40_04355
ko:K01993	senq:AU40_04395
ko:K11927	senq:AU40_04405
ko:K06970	senq:AU40_04440
ko:K19221	senq:AU40_07625
ko:K04774	senq:AU40_07640
ko:K03168	senq:AU40_07655
ko:K13634	senq:AU40_07660
ko:K01681	senq:AU40_07680
ko:K01497	senq:AU40_07685
ko:K08992	senq:AU40_07695
ko:K01591	senq:AU40_07710
ko:K03113	senq:AU40_07715
ko:K04062	senq:AU40_07720
ko:K14051	senq:AU40_07740
ko:K01147	senq:AU40_07745
ko:K00208	senq:AU40_07760
ko:K19230	senq:AU40_07775
ko:K19229	senq:AU40_07780
ko:K19228	senq:AU40_07785
ko:K19227	senq:AU40_07790
ko:K19226	senq:AU40_07795
ko:K03974	senq:AU40_07800
ko:K03969	senq:AU40_07805
ko:K03970	senq:AU40_07810
ko:K03971	senq:AU40_07820
ko:K03972	senq:AU40_07825
ko:K06918	senq:AU40_07830
ko:K08990	senq:AU40_07835
ko:K03721	senq:AU40_07840
ko:K11065	senq:AU40_07845
ko:K14054	senq:AU40_07855
ko:K15580	senq:AU40_07860
ko:K16052	senq:AU40_07945
ko:K02897	senq:AU40_12560
ko:K06899	senq:AU40_12570
ko:K09904	senq:AU40_12580
ko:K07014	senq:AU40_12585
ko:K15353	senq:AU40_12600
ko:K07685	senq:AU40_12635
ko:K02200	senq:AU40_12640
ko:K02199	senq:AU40_12645
ko:K02198	senq:AU40_12650
ko:K02197	senq:AU40_12655
ko:K02196	senq:AU40_12660
ko:K02195	senq:AU40_12665
ko:K02194	senq:AU40_12670
ko:K02193	senq:AU40_12675
ko:K02569	senq:AU40_12680
ko:K02568	senq:AU40_12685
ko:K02574	senq:AU40_12690
ko:K02573	senq:AU40_12695
ko:K02567	senq:AU40_12700
ko:K02570	senq:AU40_12705
ko:K02572	senq:AU40_12710
ko:K08276	senq:AU40_12720
ko:K06159	senq:AU40_12725
ko:K03919	senq:AU40_12730
ko:K10778	senq:AU40_12735
ko:K03734	senq:AU40_12740
ko:K11732	senq:AU40_03065
ko:K16053	senq:AU40_03070
ko:K12686	senq:AU40_03080
ko:K10679	senq:AU40_03085
ko:K18325	senq:AU40_03100
ko:K06048	senq:AU40_03110
ko:K02362	senq:AU40_03115
ko:K07214	senq:AU40_03125
ko:K02364	senq:AU40_03135
ko:K03808	senq:AU40_05375
ko:K06192	senq:AU40_05380
ko:K09857	senq:AU40_05385
ko:K03812	senq:AU40_05395
ko:K01716	senq:AU40_05400
ko:K04770	senq:AU40_05405
ko:K09911	senq:AU40_05410
ko:K03286	senq:AU40_05415
ko:K13053	senq:AU40_05425
ko:K07343	senq:AU40_05430
ko:K03658	senq:AU40_05445
ko:K01734	senq:AU40_05450
ko:K09909	senq:AU40_05455
ko:K06929	senq:AU40_05465
ko:K11940	senq:AU40_05470
ko:K06969	senq:AU40_05475
ko:K06910	senq:AU40_05485
ko:K01512	senq:AU40_05495
ko:K11179	senq:AU40_05500
ko:K12507	senq:AU40_09795
ko:K09773	senq:AU40_09810
ko:K01626	senq:AU40_09815
ko:K08997	senq:AU40_09825
ko:K06074	senq:AU40_09840
ko:K00432	senq:AU40_09845
ko:K06073	senq:AU40_09850
ko:K04764	senq:AU40_09855
ko:K01890	senq:AU40_09860
ko:K01889	senq:AU40_09865
ko:K02887	senq:AU40_09875
ko:K02916	senq:AU40_09880
ko:K02520	senq:AU40_09885
ko:K01868	senq:AU40_09890
ko:K01173	senq:AU40_09910
ko:K09953	senq:AU40_09920
ko:K07283	senq:AU40_09925
ko:K16370	senq:AU40_09930
ko:K07038	senq:AU40_09955
ko:K06956	senq:AU40_09960
ko:K15722	senq:AU40_09965
ko:K03781	senq:AU40_09980
ko:K03478	senq:AU40_09985
ko:K01222	senq:AU40_09990
ko:K03490	senq:AU40_09995
ko:K02759	senq:AU40_10000
ko:K02761	senq:AU40_10005
ko:K02760	senq:AU40_10010
ko:K04064	senq:AU40_10015
ko:K01916	senq:AU40_10020
ko:K05984	senq:AU40_10025
ko:K05526	senq:AU40_10040
ko:K01484	senq:AU40_10045
ko:K06447	senq:AU40_10050
ko:K00673	senq:AU40_10055
ko:K00840	senq:AU40_10060
ko:K01142	senq:AU40_10070
ko:K08320	senq:AU40_10075
ko:K04656	senq:AU40_15365
ko:K05796	senq:AU40_15370
ko:K08315	senq:AU40_15390
ko:K15834	senq:AU40_15395
ko:K15832	senq:AU40_15400
ko:K15831	senq:AU40_15405
ko:K15830	senq:AU40_15410
ko:K15829	senq:AU40_15415
ko:K15828	senq:AU40_15420
ko:K15827	senq:AU40_15425
ko:K15833	senq:AU40_15435
ko:K04651	senq:AU40_15445
ko:K04652	senq:AU40_15450
ko:K04653	senq:AU40_15455
ko:K04654	senq:AU40_15460
ko:K04655	senq:AU40_15465
ko:K15836	senq:AU40_15470
ko:K11604	senq:AU40_15480
ko:K11607	senq:AU40_15485
ko:K11605	senq:AU40_15490
ko:K11606	senq:AU40_15495
ko:K08598	senq:AU40_15500
ko:K03221	senq:AU40_15540
ko:K13740	senq:AU40_15565
ko:K02078	senq:AU40_15580
ko:K13284	senq:AU40_15585
ko:K13287	senq:AU40_15590
ko:K13286	senq:AU40_15595
ko:K13285	senq:AU40_15600
ko:K03225	senq:AU40_15630
ko:K00390	senq:AU40_15920
ko:K00381	senq:AU40_15925
ko:K00380	senq:AU40_15930
ko:K01737	senq:AU40_15940
ko:K06897	senq:AU40_15945
ko:K10026	senq:AU40_15955
ko:K01689	senq:AU40_15965
ko:K01937	senq:AU40_15970
ko:K04765	senq:AU40_15975
ko:K00951	senq:AU40_16015
ko:K03215	senq:AU40_16020
ko:K07678	senq:AU40_16025
ko:K00865	senq:AU40_16030
ko:K01706	senq:AU40_16035
ko:K13918	senq:AU40_16040
ko:K03535	senq:AU40_16045
ko:K06175	senq:AU40_16060
ko:K15723	senq:AU40_16075
ko:K06879	senq:AU40_16080
ko:K06966	senq:AU40_16085
ko:K03837	senq:AU40_16090
ko:K01752	senq:AU40_16095
ko:K01146	senq:AU40_16105
ko:K00048	senq:AU40_16110
ko:K01628	senq:AU40_16115
ko:K02429	senq:AU40_16130
ko:K01818	senq:AU40_16135
ko:K00879	senq:AU40_16140
ko:K02431	senq:AU40_16145
ko:K02430	senq:AU40_16150
ko:K06968	senq:AU40_16155
ko:K03566	senq:AU40_16165
ko:K01766	senq:AU40_16175
ko:K02426	senq:AU40_16180
ko:K08304	senq:AU40_16195
ko:K01448	senq:AU40_16210
ko:K14682	senq:AU40_16215
ko:K03581	senq:AU40_16220
ko:K03582	senq:AU40_16225
ko:K06997	senq:AU40_16870
ko:K02221	senq:AU40_16875
ko:K09131	senq:AU40_16880
ko:K02428	senq:AU40_16885
ko:K01424	senq:AU40_16900
ko:K09923	senq:AU40_16910
ko:K03439	senq:AU40_16915
ko:K03575	senq:AU40_16920
ko:K08306	senq:AU40_16930
ko:K01581	senq:AU40_16940
ko:K07150	senq:AU40_16955
ko:K18288	senq:AU40_16970
ko:K18290	senq:AU40_16975
ko:K18292	senq:AU40_16980
ko:K01130	senq:AU40_16990
ko:K06871	senq:AU40_16995
ko:K06995	senq:AU40_17020
ko:K09471	senq:AU40_17025
ko:K11903	senq:AU40_17045
ko:K08191	senq:AU40_17060
ko:K01686	senq:AU40_17070
ko:K00040	senq:AU40_17075
ko:K01812	senq:AU40_17080
ko:K01460	senq:AU40_17095
ko:K11209	senq:AU40_17100
ko:K02020	senq:AU40_17105
ko:K02016	senq:AU40_17110
ko:K04653	senq:AU40_17115
ko:K04651	senq:AU40_17120
ko:K03605	senq:AU40_17130
ko:K06281	senq:AU40_17135
ko:K06282	senq:AU40_17150
ko:K03406	senq:AU40_17165
ko:K05808	senq:AU40_18095
ko:K02806	senq:AU40_18100
ko:K06958	senq:AU40_18105
ko:K08485	senq:AU40_18110
ko:K03814	senq:AU40_18120
ko:K07648	senq:AU40_18130
ko:K07139	senq:AU40_18135
ko:K00265	senq:AU40_18155
ko:K00266	senq:AU40_18160
ko:K10974	senq:AU40_18170
ko:K01485	senq:AU40_18175
ko:K00885	senq:AU40_18185
ko:K01788	senq:AU40_18190
ko:K03290	senq:AU40_18195
ko:K01639	senq:AU40_18200
ko:K03600	senq:AU40_18210
ko:K03599	senq:AU40_18215
ko:K02996	senq:AU40_18240
ko:K02871	senq:AU40_18245
ko:K06916	senq:AU40_18250
ko:K09908	senq:AU40_18255
ko:K04772	senq:AU40_18260
ko:K04691	senq:AU40_18265
ko:K01572	senq:AU40_18275
ko:K09475	senq:AU40_12745
ko:K07676	senq:AU40_12755
ko:K07687	senq:AU40_12760
ko:K07677	senq:AU40_12765
ko:K02469	senq:AU40_12770
ko:K00568	senq:AU40_12790
ko:K11107	senq:AU40_12810
ko:K01126	senq:AU40_12825
ko:K02445	senq:AU40_12830
ko:K00111	senq:AU40_12840
ko:K00112	senq:AU40_12845
ko:K01571	senq:AU40_18280
ko:K01573	senq:AU40_18285
ko:K03780	senq:AU40_18290
ko:K03779	senq:AU40_18295
ko:K00024	senq:AU40_18315
ko:K03402	senq:AU40_18330
ko:K03623	senq:AU40_18350
ko:K03468	senq:AU40_18355
ko:K15548	senq:AU40_18360
ko:K03568	senq:AU40_18375
ko:K08301	senq:AU40_18385
ko:K06287	senq:AU40_18390
ko:K03571	senq:AU40_18395
ko:K03570	senq:AU40_18400
ko:K07115	senq:AU40_19640
ko:K00383	senq:AU40_19645
ko:K01424	senq:AU40_19650
ko:K07792	senq:AU40_19655
ko:K03710	senq:AU40_19670
ko:K01194	senq:AU40_19675
ko:K07058	senq:AU40_19700
ko:K07290	senq:AU40_19715
ko:K00874	senq:AU40_19730
ko:K11103	senq:AU40_19740
ko:K00694	senq:AU40_19770
ko:K18862	senq:AU40_19805
ko:K12372	senq:AU40_19820
ko:K12371	senq:AU40_19825
ko:K12370	senq:AU40_19830
ko:K12369	senq:AU40_19835
ko:K12368	senq:AU40_19840
ko:K12975	senq:AU40_19880
ko:K07347	senq:AU40_19895
ko:K01246	senq:AU40_19920
ko:K03826	senq:AU40_19925
ko:K08351	senq:AU40_19930
ko:K00090	senq:AU40_19945
ko:K16693	senq:AU40_21475
ko:K12582	senq:AU40_21480
ko:K02853	senq:AU40_21485
ko:K02852	senq:AU40_21490
ko:K02498	senq:AU40_21530
ko:K02496	senq:AU40_21535
ko:K01719	senq:AU40_21540
ko:K01749	senq:AU40_21545
ko:K05851	senq:AU40_21555
ko:K06202	senq:AU40_21560
ko:K01778	senq:AU40_21585
ko:K09921	senq:AU40_21590
ko:K03733	senq:AU40_21595
ko:K03657	senq:AU40_21605
ko:K03284	senq:AU40_21620
ko:K05786	senq:AU40_21635
ko:K01058	senq:AU40_21645
ko:K03654	senq:AU40_21650
ko:K05835	senq:AU40_21655
ko:K05834	senq:AU40_21660
ko:K01048	senq:AU40_21665
ko:K03576	senq:AU40_21685
ko:K00549	senq:AU40_21695
ko:K06871	senq:AU40_21705
ko:K01061	senq:AU40_21710
ko:K00757	senq:AU40_21715
ko:K09760	senq:AU40_21720
ko:K03183	senq:AU40_21725
ko:K03690	senq:AU40_21730
ko:K03688	senq:AU40_21735
ko:K03116	senq:AU40_21740
ko:K03117	senq:AU40_21745
ko:K03118	senq:AU40_21750
ko:K03424	senq:AU40_21755
ko:K05785	senq:AU40_21760
ko:K03182	senq:AU40_21765
ko:K05368	senq:AU40_21770
ko:K00247	senq:AU40_23760
ko:K00246	senq:AU40_23765
ko:K00245	senq:AU40_23770
ko:K00244	senq:AU40_23775
ko:K04568	senq:AU40_23780
ko:K01613	senq:AU40_23800
ko:K06949	senq:AU40_23805
ko:K13288	senq:AU40_23810
ko:K09996	senq:AU40_23815
ko:K18979	senq:AU40_23835
ko:K17758	senq:AU40_23840
ko:K17759	senq:AU40_23840
ko:K06925	senq:AU40_23845
ko:K01448	senq:AU40_23850
ko:K03572	senq:AU40_23855
ko:K00791	senq:AU40_23860
ko:K03666	senq:AU40_23865
ko:K03665	senq:AU40_23870
ko:K04088	senq:AU40_23875
ko:K04087	senq:AU40_23880
ko:K09937	senq:AU40_23885
ko:K01939	senq:AU40_23890
ko:K13771	senq:AU40_23895
ko:K12573	senq:AU40_23900
ko:K03218	senq:AU40_23905
ko:K09980	senq:AU40_23910
ko:K10716	senq:AU40_23920
ko:K08989	senq:AU40_23930
ko:K09456	senq:AU40_23945
ko:K06889	senq:AU40_23960
ko:K03477	senq:AU40_23965
ko:K03476	senq:AU40_23970
ko:K03475	senq:AU40_23975
