ko:K14224	ccof:VC76_04355
ko:K02954	ccof:VC76_08405
ko:K02931	ccof:VC76_08410
ko:K02895	ccof:VC76_08415
ko:K02874	ccof:VC76_08420
ko:K02961	ccof:VC76_08425
ko:K02904	ccof:VC76_08430
ko:K02878	ccof:VC76_08435
ko:K02982	ccof:VC76_08440
ko:K02890	ccof:VC76_08445
ko:K02965	ccof:VC76_08450
ko:K02886	ccof:VC76_08455
ko:K02892	ccof:VC76_08460
ko:K02926	ccof:VC76_08465
ko:K02906	ccof:VC76_08470
ko:K02946	ccof:VC76_08475
ko:K06178	ccof:VC76_08480
ko:K12574	ccof:VC76_08485
ko:K02528	ccof:VC76_08490
ko:K06941	ccof:VC76_08500
ko:K00334	ccof:VC76_01020
ko:K00335	ccof:VC76_01025
ko:K00336	ccof:VC76_01030
ko:K00337	ccof:VC76_01035
ko:K00338	ccof:VC76_01040
ko:K00339	ccof:VC76_01045
ko:K00340	ccof:VC76_01050
ko:K00341	ccof:VC76_01055
ko:K00342	ccof:VC76_01060
ko:K09860	ccof:VC76_04990
ko:K02469	ccof:VC76_04995
ko:K02242	ccof:VC76_05000
ko:K03596	ccof:VC76_05010
ko:K03686	ccof:VC76_05030
ko:K01959	ccof:VC76_05045
ko:K03588	ccof:VC76_05050
ko:K02563	ccof:VC76_05055
ko:K03449	ccof:VC76_05060
ko:K00788	ccof:VC76_05075
ko:K03150	ccof:VC76_05080
ko:K03149	ccof:VC76_05085
ko:K03148	ccof:VC76_05090
ko:K03154	ccof:VC76_05095
ko:K01439	ccof:VC76_05105
ko:K06895	ccof:VC76_05110
ko:K12410	ccof:VC76_05115
ko:K07456	ccof:VC76_05125
ko:K01924	ccof:VC76_05135
ko:K03602	ccof:VC76_05165
ko:K00088	ccof:VC76_05170
ko:K02433	ccof:VC76_05175
ko:K01870	ccof:VC76_05180
ko:K03743	ccof:VC76_05185
ko:K00995	ccof:VC76_05210
ko:K11749	ccof:VC76_05215
ko:K09824	ccof:VC76_05230
ko:K01817	ccof:VC76_01835
ko:K01696	ccof:VC76_01840
ko:K01695	ccof:VC76_01845
ko:K02417	ccof:VC76_01855
ko:K01524	ccof:VC76_01865
ko:K01633	ccof:VC76_01880
ko:K08591	ccof:VC76_01885
ko:K00428	ccof:VC76_01890
ko:K03431	ccof:VC76_01895
ko:K03101	ccof:VC76_01900
ko:K08973	ccof:VC76_01905
ko:K18139	ccof:VC76_01920
ko:K18138	ccof:VC76_01925
ko:K03585	ccof:VC76_01930
ko:K18992	ccof:VC76_01935
ko:K02970	ccof:VC76_01945
ko:K09767	ccof:VC76_01965
ko:K17247	ccof:VC76_01985
ko:K01591	ccof:VC76_02000
ko:K03625	ccof:VC76_02005
ko:K00794	ccof:VC76_02010
ko:K01627	ccof:VC76_02015
ko:K03977	ccof:VC76_02025
ko:K00891	ccof:VC76_02030
ko:K01867	ccof:VC76_02035
ko:K01875	ccof:VC76_02040
ko:K00873	ccof:VC76_02055
ko:K00116	ccof:VC76_02060
ko:K03525	ccof:VC76_02065
ko:K02435	ccof:VC76_02085
ko:K03558	ccof:VC76_02090
ko:K18682	ccof:VC76_05960
ko:K02238	ccof:VC76_05970
ko:K07058	ccof:VC76_05975
ko:K00104	ccof:VC76_05980
ko:K05810	ccof:VC76_06000
ko:K00793	ccof:VC76_06005
ko:K04078	ccof:VC76_06015
ko:K04077	ccof:VC76_06020
ko:K02484	ccof:VC76_06030
ko:K08738	ccof:VC76_06065
ko:K02484	ccof:VC76_06095
ko:K04771	ccof:VC76_06105
ko:K05516	ccof:VC76_06110
ko:K13640	ccof:VC76_06115
ko:K03455	ccof:VC76_06120
ko:K01091	ccof:VC76_06130
ko:K01879	ccof:VC76_06135
ko:K01524	ccof:VC76_06160
ko:K03474	ccof:VC76_06165
ko:K00097	ccof:VC76_06170
ko:K01599	ccof:VC76_06185
ko:K03703	ccof:VC76_06200
ko:K01951	ccof:VC76_06210
ko:K05837	ccof:VC76_02920
ko:K06180	ccof:VC76_02925
ko:K03439	ccof:VC76_02935
ko:K09812	ccof:VC76_02940
ko:K09811	ccof:VC76_02945
ko:K09903	ccof:VC76_02955
ko:K03060	ccof:VC76_02960
ko:K01866	ccof:VC76_02970
ko:K00459	ccof:VC76_02975
ko:K01448	ccof:VC76_02980
ko:K15461	ccof:VC76_02985
ko:K05927	ccof:VC76_02990
ko:K05922	ccof:VC76_02995
ko:K03620	ccof:VC76_03000
ko:K03605	ccof:VC76_03005
ko:K06187	ccof:VC76_03010
ko:K02484	ccof:VC76_03015
ko:K03686	ccof:VC76_03025
ko:K03308	ccof:VC76_03035
ko:K04084	ccof:VC76_03045
ko:K13888	ccof:VC76_03060
ko:K05685	ccof:VC76_03065
ko:K09795	ccof:VC76_03080
ko:K02217	ccof:VC76_03090
ko:K02040	ccof:VC76_03095
ko:K02037	ccof:VC76_03100
ko:K02038	ccof:VC76_03105
ko:K02036	ccof:VC76_03110
ko:K07043	ccof:VC76_03125
ko:K04656	ccof:VC76_03135
ko:K04652	ccof:VC76_03140
ko:K04653	ccof:VC76_03145
ko:K04654	ccof:VC76_03150
ko:K01756	ccof:VC76_06980
ko:K04758	ccof:VC76_06990
ko:K04759	ccof:VC76_06995
ko:K05927	ccof:VC76_07000
ko:K00208	ccof:VC76_07005
ko:K01803	ccof:VC76_07010
ko:K00927	ccof:VC76_07015
ko:K00134	ccof:VC76_07020
ko:K00969	ccof:VC76_07025
ko:K09710	ccof:VC76_07030
ko:K15778	ccof:VC76_07035
ko:K02415	ccof:VC76_07040
ko:K00997	ccof:VC76_07045
ko:K07265	ccof:VC76_07065
ko:K07266	ccof:VC76_07070
ko:K06041	ccof:VC76_07125
ko:K10107	ccof:VC76_07135
ko:K09689	ccof:VC76_07140
ko:K09688	ccof:VC76_07145
ko:K09979	ccof:VC76_07150
ko:K04075	ccof:VC76_07170
ko:K02836	ccof:VC76_07180
ko:K06176	ccof:VC76_07195
ko:K02394	ccof:VC76_07220
ko:K01916	ccof:VC76_03935
ko:K00912	ccof:VC76_03940
ko:K01733	ccof:VC76_03945
ko:K00979	ccof:VC76_03950
ko:K02030	ccof:VC76_03960
ko:K02419	ccof:VC76_03970
ko:K04042	ccof:VC76_03975
ko:K13038	ccof:VC76_03980
ko:K00806	ccof:VC76_03990
ko:K02654	ccof:VC76_03995
ko:K07091	ccof:VC76_04000
ko:K06173	ccof:VC76_04005
ko:K01754	ccof:VC76_04010
ko:K06929	ccof:VC76_04015
ko:K09943	ccof:VC76_04020
ko:K00557	ccof:VC76_04025
ko:K06867	ccof:VC76_04040
ko:K01682	ccof:VC76_04045
ko:K00567	ccof:VC76_04050
ko:K01772	ccof:VC76_04055
ko:K01874	ccof:VC76_04060
ko:K03841	ccof:VC76_04070
ko:K03753	ccof:VC76_04075
ko:K08309	ccof:VC76_04085
ko:K02221	ccof:VC76_04090
ko:K01885	ccof:VC76_04095
ko:K07098	ccof:VC76_04100
ko:K01613	ccof:VC76_04105
ko:K04061	ccof:VC76_04110
ko:K01845	ccof:VC76_04135
ko:K01491	ccof:VC76_04145
ko:K03100	ccof:VC76_04150
ko:K03711	ccof:VC76_04155
ko:K09815	ccof:VC76_04160
ko:K03406	ccof:VC76_08010
ko:K09815	ccof:VC76_08015
ko:K09817	ccof:VC76_08020
ko:K09816	ccof:VC76_08025
ko:K19147	ccof:VC76_08030
ko:K07452	ccof:VC76_08035
ko:K07452	ccof:VC76_08040
ko:K09748	ccof:VC76_08045
ko:K02834	ccof:VC76_08050
ko:K02519	ccof:VC76_08055
ko:K00872	ccof:VC76_08065
ko:K02535	ccof:VC76_08075
ko:K04517	ccof:VC76_08085
ko:K07277	ccof:VC76_08090
ko:K01092	ccof:VC76_08095
ko:K01963	ccof:VC76_08100
ko:K00783	ccof:VC76_08105
ko:K06204	ccof:VC76_08110
ko:K05540	ccof:VC76_08120
ko:K07042	ccof:VC76_08135
ko:K18284	ccof:VC76_08155
ko:K00645	ccof:VC76_08160
ko:K03775	ccof:VC76_08165
ko:K03640	ccof:VC76_08175
ko:K03641	ccof:VC76_08180
ko:K03832	ccof:VC76_08185
ko:K03559	ccof:VC76_08190
ko:K02114	ccof:VC76_08200
ko:K02112	ccof:VC76_08205
ko:K02115	ccof:VC76_08210
ko:K02111	ccof:VC76_08215
ko:K02113	ccof:VC76_08220
ko:K02109	ccof:VC76_08225
ko:K02109	ccof:VC76_08230
ko:K03497	ccof:VC76_08235
ko:K03496	ccof:VC76_08240
ko:K03524	ccof:VC76_08245
ko:K00604	ccof:VC76_08250
ko:K03711	ccof:VC76_02095
ko:K04567	ccof:VC76_02100
ko:K00600	ccof:VC76_02105
ko:K03749	ccof:VC76_02115
ko:K00014	ccof:VC76_02120
ko:K13292	ccof:VC76_02130
ko:K00246	ccof:VC76_02135
ko:K00244	ccof:VC76_02140
ko:K00245	ccof:VC76_02145
ko:K07126	ccof:VC76_02160
ko:K03406	ccof:VC76_02240
ko:K01925	ccof:VC76_02270
ko:K01000	ccof:VC76_02275
ko:K15633	ccof:VC76_02280
ko:K00059	ccof:VC76_02285
ko:K03707	ccof:VC76_02295
ko:K02078	ccof:VC76_02300
ko:K09458	ccof:VC76_02305
ko:K01962	ccof:VC76_02310
ko:K18289	ccof:VC76_02325
ko:K18292	ccof:VC76_02330
ko:K16089	ccof:VC76_02335
ko:K08077	ccof:VC76_02340
ko:K09794	ccof:VC76_02350
ko:K02902	ccof:VC76_02355
ko:K01783	ccof:VC76_02360
ko:K01945	ccof:VC76_06230
ko:K04744	ccof:VC76_06240
ko:K00962	ccof:VC76_06245
ko:K01821	ccof:VC76_06260
ko:K01104	ccof:VC76_06280
ko:K02557	ccof:VC76_06290
ko:K01624	ccof:VC76_06300
ko:K10773	ccof:VC76_06310
ko:K01173	ccof:VC76_06315
ko:K15256	ccof:VC76_06330
ko:K11753	ccof:VC76_06335
ko:K06442	ccof:VC76_06340
ko:K01972	ccof:VC76_06350
ko:K00796	ccof:VC76_06355
ko:K02341	ccof:VC76_06360
ko:K00928	ccof:VC76_06370
ko:K08311	ccof:VC76_06375
ko:K03117	ccof:VC76_06385
ko:K03118	ccof:VC76_06390
ko:K07568	ccof:VC76_06395
ko:K02536	ccof:VC76_06400
ko:K01653	ccof:VC76_06405
ko:K01652	ccof:VC76_06410
ko:K09117	ccof:VC76_06415
ko:K14652	ccof:VC76_06420
ko:K03498	ccof:VC76_06440
ko:K03499	ccof:VC76_06445
ko:K11782	ccof:VC76_06450
ko:K00761	ccof:VC76_06455
ko:K00029	ccof:VC76_06460
ko:K01885	ccof:VC76_06465
ko:K01961	ccof:VC76_06475
ko:K00343	ccof:VC76_01065
ko:K03406	ccof:VC76_01075
ko:K07812	ccof:VC76_01085
ko:K07812	ccof:VC76_01090
ko:K03532	ccof:VC76_01095
ko:K07052	ccof:VC76_01100
ko:K00764	ccof:VC76_01105
ko:K00215	ccof:VC76_01110
ko:K07478	ccof:VC76_01115
ko:K06894	ccof:VC76_01130
ko:K05367	ccof:VC76_01135
ko:K06153	ccof:VC76_01155
ko:K01868	ccof:VC76_01160
ko:K02520	ccof:VC76_01165
ko:K07318	ccof:VC76_01170
ko:K00145	ccof:VC76_01175
ko:K00930	ccof:VC76_01185
ko:K00573	ccof:VC76_01195
ko:K00763	ccof:VC76_01205
ko:K00762	ccof:VC76_01220
ko:K02838	ccof:VC76_01225
ko:K03075	ccof:VC76_01230
ko:K01673	ccof:VC76_01240
ko:K16052	ccof:VC76_01245
ko:K13819	ccof:VC76_01250
ko:K04487	ccof:VC76_01255
ko:K02916	ccof:VC76_01265
ko:K02887	ccof:VC76_01270
ko:K03637	ccof:VC76_01295
ko:K01142	ccof:VC76_01310
ko:K03760	ccof:VC76_01315
ko:K00901	ccof:VC76_01320
ko:K02990	ccof:VC76_05245
ko:K03111	ccof:VC76_05250
ko:K02963	ccof:VC76_05255
ko:K01338	ccof:VC76_05260
ko:K05807	ccof:VC76_05265
ko:K13626	ccof:VC76_05270
ko:K00286	ccof:VC76_05275
ko:K01719	ccof:VC76_05295
ko:K00788	ccof:VC76_05300
ko:K00941	ccof:VC76_05305
ko:K07457	ccof:VC76_05310
ko:K06923	ccof:VC76_05315
ko:K03723	ccof:VC76_05320
ko:K11754	ccof:VC76_05335
ko:K01869	ccof:VC76_05350
ko:K03074	ccof:VC76_05355
ko:K03072	ccof:VC76_05360
ko:K03210	ccof:VC76_05365
ko:K03820	ccof:VC76_05370
ko:K00789	ccof:VC76_05390
ko:K07862	ccof:VC76_05395
ko:K00609	ccof:VC76_05400
ko:K08602	ccof:VC76_05405
ko:K03657	ccof:VC76_05415
ko:K03177	ccof:VC76_05420
ko:K03563	ccof:VC76_05425
ko:K00919	ccof:VC76_05430
ko:K03664	ccof:VC76_05435
ko:K06891	ccof:VC76_05445
ko:K03694	ccof:VC76_05450
ko:K00684	ccof:VC76_05455
ko:K05595	ccof:VC76_05460
ko:K07305	ccof:VC76_05465
ko:K17103	ccof:VC76_05475
ko:K01613	ccof:VC76_05480
ko:K03798	ccof:VC76_05485
ko:K04655	ccof:VC76_03155
ko:K04651	ccof:VC76_03160
ko:K02340	ccof:VC76_03165
ko:K12573	ccof:VC76_03170
ko:K00053	ccof:VC76_03175
ko:K09798	ccof:VC76_03180
ko:K04096	ccof:VC76_03185
ko:K07447	ccof:VC76_03190
ko:K07304	ccof:VC76_03200
ko:K01507	ccof:VC76_03205
ko:K00939	ccof:VC76_03210
ko:K01876	ccof:VC76_03215
ko:K00858	ccof:VC76_03220
ko:K03631	ccof:VC76_03225
ko:K03424	ccof:VC76_03235
ko:K08307	ccof:VC76_03240
ko:K03642	ccof:VC76_03245
ko:K03270	ccof:VC76_03250
ko:K09774	ccof:VC76_03260
ko:K03978	ccof:VC76_03265
ko:K05515	ccof:VC76_03275
ko:K01262	ccof:VC76_03280
ko:K03667	ccof:VC76_03300
ko:K01419	ccof:VC76_03305
ko:K02939	ccof:VC76_03310
ko:K01940	ccof:VC76_03315
ko:K06925	ccof:VC76_03325
ko:K06861	ccof:VC76_03330
ko:K03092	ccof:VC76_03335
ko:K07792	ccof:VC76_03340
ko:K03702	ccof:VC76_03345
ko:K02456	ccof:VC76_03360
ko:K04066	ccof:VC76_03365
ko:K03526	ccof:VC76_03370
ko:K02393	ccof:VC76_03375
ko:K13788	ccof:VC76_03380
ko:K00925	ccof:VC76_03385
ko:K03438	ccof:VC76_03400
ko:K03770	ccof:VC76_03405
ko:K03590	ccof:VC76_03410
ko:K02396	ccof:VC76_07240
ko:K07090	ccof:VC76_07250
ko:K02455	ccof:VC76_07255
ko:K02454	ccof:VC76_07260
ko:K01714	ccof:VC76_07270
ko:K02453	ccof:VC76_07275
ko:K03737	ccof:VC76_07285
ko:K01091	ccof:VC76_07290
ko:K03286	ccof:VC76_07295
ko:K02996	ccof:VC76_07300
ko:K02871	ccof:VC76_07305
ko:K05801	ccof:VC76_07310
ko:K03582	ccof:VC76_07320
ko:K00406	ccof:VC76_07350
ko:K00407	ccof:VC76_07355
ko:K00405	ccof:VC76_07360
ko:K00404	ccof:VC76_07365
ko:K09792	ccof:VC76_07380
ko:K01956	ccof:VC76_07385
ko:K09804	ccof:VC76_07390
ko:K01939	ccof:VC76_07405
ko:K07112	ccof:VC76_07415
ko:K11928	ccof:VC76_07425
ko:K13821	ccof:VC76_07430
ko:K01008	ccof:VC76_07435
ko:K03406	ccof:VC76_07445
ko:K02379	ccof:VC76_07455
ko:K00127	ccof:VC76_07460
ko:K00124	ccof:VC76_07465
ko:K00123	ccof:VC76_07470
ko:K00123	ccof:VC76_07475
ko:K01465	ccof:VC76_01330
ko:K03406	ccof:VC76_01345
ko:K00826	ccof:VC76_01365
ko:K01821	ccof:VC76_01370
ko:K03564	ccof:VC76_01375
ko:K09765	ccof:VC76_01380
ko:K02372	ccof:VC76_01385
ko:K00677	ccof:VC76_01390
ko:K03544	ccof:VC76_01395
ko:K03569	ccof:VC76_01400
ko:K03570	ccof:VC76_01405
ko:K01908	ccof:VC76_01415
ko:K03417	ccof:VC76_01420
ko:K01659	ccof:VC76_01425
ko:K01720	ccof:VC76_01430
ko:K02342	ccof:VC76_02365
ko:K03147	ccof:VC76_02370
ko:K09778	ccof:VC76_02390
ko:K06168	ccof:VC76_02395
ko:K02600	ccof:VC76_02405
ko:K11784	ccof:VC76_02415
ko:K03655	ccof:VC76_02425
ko:K06886	ccof:VC76_02430
ko:K02029	ccof:VC76_02440
ko:K02029	ccof:VC76_02445
ko:K02028	ccof:VC76_02450
ko:K02358	ccof:VC76_02475
ko:K02913	ccof:VC76_02480
ko:K03073	ccof:VC76_02490
ko:K02601	ccof:VC76_02495
ko:K02867	ccof:VC76_02500
ko:K02863	ccof:VC76_02505
ko:K02864	ccof:VC76_02510
ko:K02935	ccof:VC76_02515
ko:K03043	ccof:VC76_02520
ko:K01714	ccof:VC76_02535
ko:K16849	ccof:VC76_02540
ko:K16850	ccof:VC76_02545
ko:K18333	ccof:VC76_02555
ko:K02429	ccof:VC76_02560
ko:K03534	ccof:VC76_02570
ko:K07248	ccof:VC76_02575
ko:K02950	ccof:VC76_02580
ko:K02992	ccof:VC76_02585
ko:K02355	ccof:VC76_02590
ko:K06940	ccof:VC76_02610
ko:K01609	ccof:VC76_02620
ko:K06917	ccof:VC76_02630
ko:K03320	ccof:VC76_02635
ko:K02160	ccof:VC76_06480
ko:K01494	ccof:VC76_06485
ko:K15894	ccof:VC76_06490
ko:K15895	ccof:VC76_06495
ko:K00662	ccof:VC76_06505
ko:K00648	ccof:VC76_06530
ko:K03789	ccof:VC76_06555
ko:K00648	ccof:VC76_06585
ko:K15897	ccof:VC76_06600
ko:K15896	ccof:VC76_06605
ko:K02500	ccof:VC76_06610
ko:K02501	ccof:VC76_06615
ko:K02501	ccof:VC76_06620
ko:K15898	ccof:VC76_06635
ko:K18430	ccof:VC76_06660
ko:K18429	ccof:VC76_06665
ko:K02406	ccof:VC76_06705
ko:K02406	ccof:VC76_06710
ko:K02456	ccof:VC76_06725
ko:K19416	ccof:VC76_01235
ko:K07126	ccof:VC76_01440
ko:K01955	ccof:VC76_01450
ko:K00616	ccof:VC76_01460
ko:K01079	ccof:VC76_01465
ko:K03408	ccof:VC76_01470
ko:K03407	ccof:VC76_01475
ko:K03415	ccof:VC76_01480
ko:K03269	ccof:VC76_01485
ko:K03624	ccof:VC76_01490
ko:K00748	ccof:VC76_01495
ko:K07238	ccof:VC76_01500
ko:K11015	ccof:VC76_01505
ko:K11014	ccof:VC76_01510
