ko:K03168	bapu:BUMPUSDA_CDS00313
ko:K02470	bapu:BUMPUSDA_CDS00575
ko:K02338	bapu:BUMPUSDA_CDS00574
ko:K02313	bapu:BUMPUSDA_CDS00573
ko:K02914	bapu:BUMPUSDA_CDS00572
ko:K03536	bapu:BUMPUSDA_CDS00571
ko:K03217	bapu:BUMPUSDA_CDS00570
ko:K03650	bapu:BUMPUSDA_CDS00569
ko:K04078	bapu:BUMPUSDA_CDS00568
ko:K04077	bapu:BUMPUSDA_CDS00567
ko:K02356	bapu:BUMPUSDA_CDS00565
ko:K02317	bapu:BUMPUSDA_CDS00563
ko:K08316	bapu:BUMPUSDA_CDS00562
ko:K03110	bapu:BUMPUSDA_CDS00561
ko:K03089	bapu:BUMPUSDA_CDS00560
ko:K00820	bapu:BUMPUSDA_CDS00559
ko:K04042	bapu:BUMPUSDA_CDS00558
ko:K03576	bapu:BUMPUSDA_CDS00556
ko:K00549	bapu:BUMPUSDA_CDS00555
ko:K00602	bapu:BUMPUSDA_CDS00554
ko:K05787	bapu:BUMPUSDA_CDS00553
ko:K03046	bapu:BUMPUSDA_CDS00552
ko:K03043	bapu:BUMPUSDA_CDS00551
ko:K02935	bapu:BUMPUSDA_CDS00550
ko:K02864	bapu:BUMPUSDA_CDS00549
ko:K02863	bapu:BUMPUSDA_CDS00548
ko:K02867	bapu:BUMPUSDA_CDS00547
ko:K02601	bapu:BUMPUSDA_CDS00546
ko:K03073	bapu:BUMPUSDA_CDS00545
ko:K00075	bapu:BUMPUSDA_CDS00544
ko:K00297	bapu:BUMPUSDA_CDS00543
ko:K01438	bapu:BUMPUSDA_CDS00542
ko:K00145	bapu:BUMPUSDA_CDS00541
ko:K02389	bapu:BUMPUSDA_CDS00257
ko:K02390	bapu:BUMPUSDA_CDS00256
ko:K02391	bapu:BUMPUSDA_CDS00255
ko:K02392	bapu:BUMPUSDA_CDS00254
ko:K02393	bapu:BUMPUSDA_CDS00253
ko:K02394	bapu:BUMPUSDA_CDS00252
ko:K02395	bapu:BUMPUSDA_CDS00251
ko:K02396	bapu:BUMPUSDA_CDS00250
ko:K08300	bapu:BUMPUSDA_CDS00249
ko:K06179	bapu:BUMPUSDA_CDS00248
ko:K02911	bapu:BUMPUSDA_CDS00247
ko:K00645	bapu:BUMPUSDA_CDS00246
ko:K00059	bapu:BUMPUSDA_CDS00245
ko:K02078	bapu:BUMPUSDA_CDS00244
ko:K00943	bapu:BUMPUSDA_CDS00243
ko:K02341	bapu:BUMPUSDA_CDS00242
ko:K03424	bapu:BUMPUSDA_CDS00241
ko:K02778	bapu:BUMPUSDA_CDS00240
ko:K02779	bapu:BUMPUSDA_CDS00240
ko:K02503	bapu:BUMPUSDA_CDS00239
ko:K07337	bapu:BUMPUSDA_CDS00238
ko:K09476	bapu:BUMPUSDA_CDS00237
ko:K01893	bapu:BUMPUSDA_CDS00236
ko:K00763	bapu:BUMPUSDA_CDS00235
ko:K00254	bapu:BUMPUSDA_CDS00234
ko:K12297	bapu:BUMPUSDA_CDS00233
ko:K15738	bapu:BUMPUSDA_CDS00232
ko:K07146	bapu:BUMPUSDA_CDS00231
ko:K01873	bapu:BUMPUSDA_CDS00230
ko:K01255	bapu:BUMPUSDA_CDS00229
ko:K00611	bapu:BUMPUSDA_CDS00228
ko:K00609	bapu:BUMPUSDA_CDS00227
ko:K00610	bapu:BUMPUSDA_CDS00226
ko:K09022	bapu:BUMPUSDA_CDS00225
ko:K05592	bapu:BUMPUSDA_CDS00224
ko:K00962	bapu:BUMPUSDA_CDS00223
ko:K02956	bapu:BUMPUSDA_CDS00222
ko:K03177	bapu:BUMPUSDA_CDS00221
ko:K02834	bapu:BUMPUSDA_CDS00220
ko:K02519	bapu:BUMPUSDA_CDS00219
ko:K02600	bapu:BUMPUSDA_CDS00218
ko:K03075	bapu:BUMPUSDA_CDS00217
ko:K03431	bapu:BUMPUSDA_CDS00216
ko:K03798	bapu:BUMPUSDA_CDS00215
ko:K02427	bapu:BUMPUSDA_CDS00214
ko:K03624	bapu:BUMPUSDA_CDS00213
ko:K00790	bapu:BUMPUSDA_CDS00211
ko:K02888	bapu:BUMPUSDA_CDS00210
ko:K02899	bapu:BUMPUSDA_CDS00209
ko:K03979	bapu:BUMPUSDA_CDS00208
ko:K02996	bapu:BUMPUSDA_CDS00207
ko:K02871	bapu:BUMPUSDA_CDS00206
ko:K14170	bapu:BUMPUSDA_CDS00205
ko:K03106	bapu:BUMPUSDA_CDS00204
ko:K02959	bapu:BUMPUSDA_CDS00203
ko:K02860	bapu:BUMPUSDA_CDS00202
ko:K00554	bapu:BUMPUSDA_CDS00201
ko:K02884	bapu:BUMPUSDA_CDS00200
ko:K03568	bapu:BUMPUSDA_CDS00199
ko:K00930	bapu:BUMPUSDA_CDS00540
ko:K01940	bapu:BUMPUSDA_CDS00539
ko:K01755	bapu:BUMPUSDA_CDS00538
ko:K03071	bapu:BUMPUSDA_CDS00536
ko:K00640	bapu:BUMPUSDA_CDS00535
ko:K03086	bapu:BUMPUSDA_CDS00534
ko:K02970	bapu:BUMPUSDA_CDS00532
ko:K01409	bapu:BUMPUSDA_CDS00531
ko:K02858	bapu:BUMPUSDA_CDS00530
ko:K03272	bapu:BUMPUSDA_CDS00529
ko:K00974	bapu:BUMPUSDA_CDS00528
ko:K06153	bapu:BUMPUSDA_CDS00527
ko:K08483	bapu:BUMPUSDA_CDS00525
ko:K02784	bapu:BUMPUSDA_CDS00524
ko:K01738	bapu:BUMPUSDA_CDS00523
ko:K01972	bapu:BUMPUSDA_CDS00522
ko:K01885	bapu:BUMPUSDA_CDS00521
ko:K02408	bapu:BUMPUSDA_CDS00520
ko:K02409	bapu:BUMPUSDA_CDS00519
ko:K02410	bapu:BUMPUSDA_CDS00518
ko:K02411	bapu:BUMPUSDA_CDS00517
ko:K02412	bapu:BUMPUSDA_CDS00516
ko:K02413	bapu:BUMPUSDA_CDS00515
ko:K02414	bapu:BUMPUSDA_CDS00513
ko:K02419	bapu:BUMPUSDA_CDS00511
ko:K02420	bapu:BUMPUSDA_CDS00510
ko:K02421	bapu:BUMPUSDA_CDS00509
ko:K02913	bapu:BUMPUSDA_CDS00508
ko:K02902	bapu:BUMPUSDA_CDS00507
ko:K09800	bapu:BUMPUSDA_CDS00506
ko:K01507	bapu:BUMPUSDA_CDS00505
ko:K03592	bapu:BUMPUSDA_CDS00504
ko:K07056	bapu:BUMPUSDA_CDS00503
ko:K00647	bapu:BUMPUSDA_CDS00502
ko:K00616	bapu:BUMPUSDA_CDS00501
ko:K00615	bapu:BUMPUSDA_CDS00500
ko:K01439	bapu:BUMPUSDA_CDS00499
ko:K01714	bapu:BUMPUSDA_CDS00498
ko:K01736	bapu:BUMPUSDA_CDS00497
ko:K00765	bapu:BUMPUSDA_CDS00495
ko:K00013	bapu:BUMPUSDA_CDS00494
ko:K00817	bapu:BUMPUSDA_CDS00493
ko:K01089	bapu:BUMPUSDA_CDS00492
ko:K02501	bapu:BUMPUSDA_CDS00491
ko:K01814	bapu:BUMPUSDA_CDS00490
ko:K02500	bapu:BUMPUSDA_CDS00489
ko:K11755	bapu:BUMPUSDA_CDS00488
ko:K00033	bapu:BUMPUSDA_CDS00487
ko:K01494	bapu:BUMPUSDA_CDS00486
ko:K01874	bapu:BUMPUSDA_CDS00485
ko:K04075	bapu:BUMPUSDA_CDS00484
ko:K03786	bapu:BUMPUSDA_CDS00198
ko:K03557	bapu:BUMPUSDA_CDS00197
ko:K06180	bapu:BUMPUSDA_CDS00196
ko:K05807	bapu:BUMPUSDA_CDS00195
ko:K01872	bapu:BUMPUSDA_CDS00194
ko:K03563	bapu:BUMPUSDA_CDS00193
ko:K01919	bapu:BUMPUSDA_CDS00192
ko:K00789	bapu:BUMPUSDA_CDS00191
ko:K09761	bapu:BUMPUSDA_CDS00189
ko:K01934	bapu:BUMPUSDA_CDS00188
ko:K01807	bapu:BUMPUSDA_CDS00187
ko:K01886	bapu:BUMPUSDA_CDS00186
ko:K01937	bapu:BUMPUSDA_CDS00185
ko:K01689	bapu:BUMPUSDA_CDS00184
ko:K10026	bapu:BUMPUSDA_CDS00183
ko:K01737	bapu:BUMPUSDA_CDS00182
ko:K06194	bapu:BUMPUSDA_CDS00181
ko:K01770	bapu:BUMPUSDA_CDS00180
ko:K00991	bapu:BUMPUSDA_CDS00179
ko:K05589	bapu:BUMPUSDA_CDS00178
ko:K00860	bapu:BUMPUSDA_CDS00177
ko:K00956	bapu:BUMPUSDA_CDS00176
ko:K00957	bapu:BUMPUSDA_CDS00175
ko:K02302	bapu:BUMPUSDA_CDS00174
ko:K00390	bapu:BUMPUSDA_CDS00173
ko:K00381	bapu:BUMPUSDA_CDS00172
ko:K00380	bapu:BUMPUSDA_CDS00171
ko:K03555	bapu:BUMPUSDA_CDS00170
ko:K03673	bapu:BUMPUSDA_CDS00169
ko:K03978	bapu:BUMPUSDA_CDS00167
ko:K06207	bapu:BUMPUSDA_CDS00166
ko:K00942	bapu:BUMPUSDA_CDS00165
ko:K06980	bapu:BUMPUSDA_CDS00164
ko:K02836	bapu:BUMPUSDA_CDS00163
ko:K04567	bapu:BUMPUSDA_CDS00162
ko:K01586	bapu:BUMPUSDA_CDS00161
ko:K13292	bapu:BUMPUSDA_CDS00160
ko:K06168	bapu:BUMPUSDA_CDS00158
ko:K07042	bapu:BUMPUSDA_CDS00157
ko:K06189	bapu:BUMPUSDA_CDS00156
ko:K01869	bapu:BUMPUSDA_CDS00155
ko:K02340	bapu:BUMPUSDA_CDS00154
ko:K04085	bapu:BUMPUSDA_CDS00152
ko:K00133	bapu:BUMPUSDA_CDS00151
ko:K00927	bapu:BUMPUSDA_CDS00149
ko:K01624	bapu:BUMPUSDA_CDS00148
ko:K03442	bapu:BUMPUSDA_CDS00147
ko:K00793	bapu:BUMPUSDA_CDS00483
ko:K03617	bapu:BUMPUSDA_CDS00482
ko:K03616	bapu:BUMPUSDA_CDS00481
ko:K03615	bapu:BUMPUSDA_CDS00480
ko:K03614	bapu:BUMPUSDA_CDS00479
ko:K03612	bapu:BUMPUSDA_CDS00478
ko:K03613	bapu:BUMPUSDA_CDS00477
ko:K10773	bapu:BUMPUSDA_CDS00476
ko:K04066	bapu:BUMPUSDA_CDS00475
ko:K01866	bapu:BUMPUSDA_CDS00474
ko:K05997	bapu:BUMPUSDA_CDS00473
ko:K01626	bapu:BUMPUSDA_CDS00471
ko:K01868	bapu:BUMPUSDA_CDS00470
ko:K02520	bapu:BUMPUSDA_CDS00469
ko:K02916	bapu:BUMPUSDA_CDS00468
ko:K02887	bapu:BUMPUSDA_CDS00467
ko:K01889	bapu:BUMPUSDA_CDS00466
ko:K01890	bapu:BUMPUSDA_CDS00465
ko:K04764	bapu:BUMPUSDA_CDS00464
ko:K07568	bapu:BUMPUSDA_CDS00463
ko:K00773	bapu:BUMPUSDA_CDS00462
ko:K03210	bapu:BUMPUSDA_CDS00461
ko:K01879	bapu:BUMPUSDA_CDS00460
ko:K01878	bapu:BUMPUSDA_CDS00459
ko:K01495	bapu:BUMPUSDA_CDS00458
ko:K01151	bapu:BUMPUSDA_CDS00457
ko:K02897	bapu:BUMPUSDA_CDS00456
ko:K03771	bapu:BUMPUSDA_CDS00454
ko:K02528	bapu:BUMPUSDA_CDS00453
ko:K01525	bapu:BUMPUSDA_CDS00452
ko:K01955	bapu:BUMPUSDA_CDS00450
ko:K01956	bapu:BUMPUSDA_CDS00449
ko:K00215	bapu:BUMPUSDA_CDS00448
ko:K03527	bapu:BUMPUSDA_CDS00447
ko:K03101	bapu:BUMPUSDA_CDS00446
ko:K01870	bapu:BUMPUSDA_CDS00445
ko:K11753	bapu:BUMPUSDA_CDS00444
ko:K02968	bapu:BUMPUSDA_CDS00443
ko:K03686	bapu:BUMPUSDA_CDS00442
ko:K04043	bapu:BUMPUSDA_CDS00441
ko:K00330	bapu:BUMPUSDA_CDS00440
ko:K00331	bapu:BUMPUSDA_CDS00439
ko:K13378	bapu:BUMPUSDA_CDS00438
ko:K00337	bapu:BUMPUSDA_CDS00434
ko:K00338	bapu:BUMPUSDA_CDS00433
ko:K00339	bapu:BUMPUSDA_CDS00432
ko:K00340	bapu:BUMPUSDA_CDS00431
ko:K00341	bapu:BUMPUSDA_CDS00430
ko:K00342	bapu:BUMPUSDA_CDS00429
ko:K00343	bapu:BUMPUSDA_CDS00428
ko:K11754	bapu:BUMPUSDA_CDS00426
ko:K00948	bapu:BUMPUSDA_CDS00425
ko:K03583	bapu:BUMPUSDA_CDS00146
ko:K03582	bapu:BUMPUSDA_CDS00145
ko:K03581	bapu:BUMPUSDA_CDS00144
ko:K14682	bapu:BUMPUSDA_CDS00143
ko:K08304	bapu:BUMPUSDA_CDS00142
ko:K00794	bapu:BUMPUSDA_CDS00141
ko:K00946	bapu:BUMPUSDA_CDS00140
ko:K03625	bapu:BUMPUSDA_CDS00137
ko:K01662	bapu:BUMPUSDA_CDS00136
ko:K00795	bapu:BUMPUSDA_CDS00135
ko:K11179	bapu:BUMPUSDA_CDS00133
ko:K02300	bapu:BUMPUSDA_CDS00131
ko:K02299	bapu:BUMPUSDA_CDS00130
ko:K02298	bapu:BUMPUSDA_CDS00129
ko:K02297	bapu:BUMPUSDA_CDS00128
ko:K05527	bapu:BUMPUSDA_CDS00127
ko:K03545	bapu:BUMPUSDA_CDS00126
ko:K01358	bapu:BUMPUSDA_CDS00125
ko:K03544	bapu:BUMPUSDA_CDS00124
ko:K01338	bapu:BUMPUSDA_CDS00123
ko:K03770	bapu:BUMPUSDA_CDS00122
ko:K06920	bapu:BUMPUSDA_CDS00121
ko:K02343	bapu:BUMPUSDA_CDS00118
ko:K09747	bapu:BUMPUSDA_CDS00116
ko:K04079	bapu:BUMPUSDA_CDS00115
ko:K00939	bapu:BUMPUSDA_CDS00114
ko:K01491	bapu:BUMPUSDA_CDS00113
ko:K01883	bapu:BUMPUSDA_CDS00112
ko:K09158	bapu:BUMPUSDA_CDS00111
ko:K03704	bapu:BUMPUSDA_CDS00110
ko:K00014	bapu:BUMPUSDA_CDS00109
ko:K07566	bapu:BUMPUSDA_CDS00108
ko:K03747	bapu:BUMPUSDA_CDS00107
ko:K01462	bapu:BUMPUSDA_CDS00106
ko:K00604	bapu:BUMPUSDA_CDS00105
ko:K02879	bapu:BUMPUSDA_CDS00104
ko:K03040	bapu:BUMPUSDA_CDS00103
ko:K02986	bapu:BUMPUSDA_CDS00102
ko:K02948	bapu:BUMPUSDA_CDS00101
ko:K02952	bapu:BUMPUSDA_CDS00100
ko:K02919	bapu:BUMPUSDA_CDS00595
ko:K03076	bapu:BUMPUSDA_CDS00099
ko:K02876	bapu:BUMPUSDA_CDS00098
ko:K02907	bapu:BUMPUSDA_CDS00097
ko:K02988	bapu:BUMPUSDA_CDS00096
ko:K02881	bapu:BUMPUSDA_CDS00095
ko:K02933	bapu:BUMPUSDA_CDS00094
ko:K02994	bapu:BUMPUSDA_CDS00093
ko:K00919	bapu:BUMPUSDA_CDS00424
ko:K02835	bapu:BUMPUSDA_CDS00423
ko:K02493	bapu:BUMPUSDA_CDS00422
ko:K01916	bapu:BUMPUSDA_CDS00420
ko:K00925	bapu:BUMPUSDA_CDS00419
ko:K13788	bapu:BUMPUSDA_CDS00418
ko:K11107	bapu:BUMPUSDA_CDS00417
ko:K02469	bapu:BUMPUSDA_CDS00414
ko:K09945	bapu:BUMPUSDA_CDS00413
ko:K03386	bapu:BUMPUSDA_CDS00412
ko:K03648	bapu:BUMPUSDA_CDS00411
ko:K03687	bapu:BUMPUSDA_CDS00410
ko:K00858	bapu:BUMPUSDA_CDS00409
ko:K06186	bapu:BUMPUSDA_CDS00408
ko:K07390	bapu:BUMPUSDA_CDS00407
ko:K03683	bapu:BUMPUSDA_CDS00406
ko:K04564	bapu:BUMPUSDA_CDS00405
ko:K01056	bapu:BUMPUSDA_CDS00404
ko:K06942	bapu:BUMPUSDA_CDS00403
ko:K01733	bapu:BUMPUSDA_CDS00402
ko:K00872	bapu:BUMPUSDA_CDS00401
ko:K12524	bapu:BUMPUSDA_CDS00400
ko:K00760	bapu:BUMPUSDA_CDS00399
ko:K01918	bapu:BUMPUSDA_CDS00398
ko:K00606	bapu:BUMPUSDA_CDS00397
ko:K06204	bapu:BUMPUSDA_CDS00396
ko:K06173	bapu:BUMPUSDA_CDS00395
ko:K03070	bapu:BUMPUSDA_CDS00393
ko:K03574	bapu:BUMPUSDA_CDS00392
ko:K00859	bapu:BUMPUSDA_CDS00391
ko:K00364	bapu:BUMPUSDA_CDS00390
ko:K00163	bapu:BUMPUSDA_CDS00389
ko:K00627	bapu:BUMPUSDA_CDS00388
ko:K00382	bapu:BUMPUSDA_CDS00387
ko:K01611	bapu:BUMPUSDA_CDS00386
ko:K00797	bapu:BUMPUSDA_CDS00385
ko:K01243	bapu:BUMPUSDA_CDS00384
ko:K15724	bapu:BUMPUSDA_CDS00383
ko:K03531	bapu:BUMPUSDA_CDS00382
ko:K03590	bapu:BUMPUSDA_CDS00381
ko:K01921	bapu:BUMPUSDA_CDS00380
ko:K01924	bapu:BUMPUSDA_CDS00379
ko:K02563	bapu:BUMPUSDA_CDS00378
ko:K03588	bapu:BUMPUSDA_CDS00377
ko:K01925	bapu:BUMPUSDA_CDS00376
ko:K01000	bapu:BUMPUSDA_CDS00375
ko:K01929	bapu:BUMPUSDA_CDS00374
ko:K01928	bapu:BUMPUSDA_CDS00373
ko:K03587	bapu:BUMPUSDA_CDS00372
ko:K03438	bapu:BUMPUSDA_CDS00370
ko:K01653	bapu:BUMPUSDA_CDS00369
ko:K02954	bapu:BUMPUSDA_CDS00092
ko:K02931	bapu:BUMPUSDA_CDS00091
ko:K02895	bapu:BUMPUSDA_CDS00090
ko:K02874	bapu:BUMPUSDA_CDS00089
ko:K02961	bapu:BUMPUSDA_CDS00088
ko:K02904	bapu:BUMPUSDA_CDS00087
ko:K02878	bapu:BUMPUSDA_CDS00086
ko:K02982	bapu:BUMPUSDA_CDS00085
ko:K02890	bapu:BUMPUSDA_CDS00084
ko:K02965	bapu:BUMPUSDA_CDS00083
ko:K02886	bapu:BUMPUSDA_CDS00082
ko:K02892	bapu:BUMPUSDA_CDS00081
ko:K02926	bapu:BUMPUSDA_CDS00080
ko:K02906	bapu:BUMPUSDA_CDS00079
ko:K02946	bapu:BUMPUSDA_CDS00078
ko:K02358	bapu:BUMPUSDA_CDS00077
ko:K02355	bapu:BUMPUSDA_CDS00076
ko:K02992	bapu:BUMPUSDA_CDS00075
ko:K02950	bapu:BUMPUSDA_CDS00074
ko:K07237	bapu:BUMPUSDA_CDS00073
ko:K07236	bapu:BUMPUSDA_CDS00072
ko:K07235	bapu:BUMPUSDA_CDS00071
ko:K03772	bapu:BUMPUSDA_CDS00070
ko:K06141	bapu:BUMPUSDA_CDS00068
ko:K01867	bapu:BUMPUSDA_CDS00067
ko:K01783	bapu:BUMPUSDA_CDS00066
ko:K01735	bapu:BUMPUSDA_CDS00065
ko:K00891	bapu:BUMPUSDA_CDS00064
ko:K03784	bapu:BUMPUSDA_CDS00063
ko:K01839	bapu:BUMPUSDA_CDS00062
ko:K02837	bapu:BUMPUSDA_CDS00061
ko:K01424	bapu:BUMPUSDA_CDS00060
ko:K07400	bapu:BUMPUSDA_CDS00059
ko:K01920	bapu:BUMPUSDA_CDS00056
ko:K07447	bapu:BUMPUSDA_CDS00055
ko:K03439	bapu:BUMPUSDA_CDS00052
ko:K03575	bapu:BUMPUSDA_CDS00051
ko:K01776	bapu:BUMPUSDA_CDS00049
ko:K01141	bapu:BUMPUSDA_CDS00048
ko:K09802	bapu:BUMPUSDA_CDS00047
ko:K00762	bapu:BUMPUSDA_CDS00046
ko:K01082	bapu:BUMPUSDA_CDS00044
ko:K02939	bapu:BUMPUSDA_CDS00043
ko:K02963	bapu:BUMPUSDA_CDS00042
ko:K02990	bapu:BUMPUSDA_CDS00041
ko:K12573	bapu:BUMPUSDA_CDS00040
ko:K01939	bapu:BUMPUSDA_CDS00039
ko:K14237	bapu:BUMPUSDA_tRNA25
ko:K14237	bapu:BUMPUSDA_tRNA26
ko:K14218	bapu:BUMPUSDA_tRNA1
ko:K14218	bapu:BUMPUSDA_tRNA3
ko:K14227	bapu:BUMPUSDA_tRNA2
ko:K14221	bapu:BUMPUSDA_tRNA4
ko:K14228	bapu:BUMPUSDA_tRNA24
ko:K14228	bapu:BUMPUSDA_tRNA22
ko:K14228	bapu:BUMPUSDA_tRNA20
ko:K14222	bapu:BUMPUSDA_tRNA23
ko:K14233	bapu:BUMPUSDA_tRNA5
ko:K14233	bapu:BUMPUSDA_tRNA6
ko:K14219	bapu:BUMPUSDA_tRNA7
ko:K14219	bapu:BUMPUSDA_tRNA12
ko:K14223	bapu:BUMPUSDA_tRNA21
ko:K14230	bapu:BUMPUSDA_tRNA19
ko:K14230	bapu:BUMPUSDA_tRNA18
ko:K04087	bapu:BUMPUSDA_CDS00038
ko:K04088	bapu:BUMPUSDA_CDS00037
ko:K00791	bapu:BUMPUSDA_CDS00036
ko:K03572	bapu:BUMPUSDA_CDS00035
ko:K00009	bapu:BUMPUSDA_CDS00034
ko:K02798	bapu:BUMPUSDA_CDS00033
ko:K02799	bapu:BUMPUSDA_CDS00033
ko:K02800	bapu:BUMPUSDA_CDS00033
ko:K01810	bapu:BUMPUSDA_CDS00032
ko:K13288	bapu:BUMPUSDA_CDS00031
ko:K01448	bapu:BUMPUSDA_CDS00030
ko:K02909	bapu:BUMPUSDA_CDS00029
ko:K01419	bapu:BUMPUSDA_CDS00027
ko:K03667	bapu:BUMPUSDA_CDS00026
ko:K04080	bapu:BUMPUSDA_CDS00025
ko:K00528	bapu:BUMPUSDA_CDS00024
ko:K04568	bapu:BUMPUSDA_CDS00023
ko:K00954	bapu:BUMPUSDA_CDS00022
ko:K15984	bapu:BUMPUSDA_CDS00019
ko:K16322	bapu:BUMPUSDA_CDS00018
ko:K08224	bapu:BUMPUSDA_CDS00017
ko:K01778	bapu:BUMPUSDA_CDS00016
ko:K06202	bapu:BUMPUSDA_CDS00015
ko:K01749	bapu:BUMPUSDA_CDS00014
ko:K01719	bapu:BUMPUSDA_CDS00013
ko:K03628	bapu:BUMPUSDA_CDS00012
ko:K03671	bapu:BUMPUSDA_CDS00011
ko:K03656	bapu:BUMPUSDA_CDS00010
ko:K00053	bapu:BUMPUSDA_CDS00009
ko:K01687	bapu:BUMPUSDA_CDS00008
ko:K04487	bapu:BUMPUSDA_CDS00007
ko:K04488	bapu:BUMPUSDA_CDS00006
ko:K04082	bapu:BUMPUSDA_CDS00005
ko:K04044	bapu:BUMPUSDA_CDS00004
ko:K04755	bapu:BUMPUSDA_CDS00003
ko:K03977	bapu:BUMPUSDA_CDS00002
ko:K01649	bapu:BUMPUSDApLeu00004
ko:K00052	bapu:BUMPUSDApLeu00005
ko:K01703	bapu:BUMPUSDApLeu00006
ko:K01704	bapu:BUMPUSDApLeu00007
ko:K01652	bapu:BUMPUSDA_CDS00368
ko:K03734	bapu:BUMPUSDA_CDS00367
ko:K00674	bapu:BUMPUSDA_CDS00365
ko:K01265	bapu:BUMPUSDA_CDS00364
ko:K02967	bapu:BUMPUSDA_CDS00363
ko:K02357	bapu:BUMPUSDA_CDS00362
ko:K09903	bapu:BUMPUSDA_CDS00361
ko:K02838	bapu:BUMPUSDA_CDS00360
ko:K00099	bapu:BUMPUSDA_CDS00359
ko:K00806	bapu:BUMPUSDA_CDS00358
ko:K07277	bapu:BUMPUSDA_CDS00357
ko:K02372	bapu:BUMPUSDA_CDS00356
ko:K14231	bapu:BUMPUSDA_tRNA32
ko:K14234	bapu:BUMPUSDA_tRNA31
ko:K14234	bapu:BUMPUSDA_tRNA28
ko:K14225	bapu:BUMPUSDA_tRNA30
ko:K14225	bapu:BUMPUSDA_tRNA10
ko:K14236	bapu:BUMPUSDA_tRNA29
ko:K14229	bapu:BUMPUSDA_tRNA27
ko:K14233	bapu:BUMPUSDA_tRNA8
ko:K14219	bapu:BUMPUSDA_tRNA17
ko:K14230	bapu:BUMPUSDA_tRNA9
ko:K14224	bapu:BUMPUSDA_tRNA16
ko:K14220	bapu:BUMPUSDA_tRNA15
ko:K14232	bapu:BUMPUSDA_tRNA14
ko:K14226	bapu:BUMPUSDA_tRNA13
ko:K14235	bapu:BUMPUSDA_tRNA11
ko:K01977	bapu:BUMPUSDA_rRNA2
ko:K01985	bapu:BUMPUSDA_rRNA3
ko:K01980	bapu:BUMPUSDA_rRNA1
ko:K02337	bapu:BUMPUSDA_CDS00355
ko:K01881	bapu:BUMPUSDA_CDS00354
ko:K02401	bapu:BUMPUSDA_CDS00353
ko:K02400	bapu:BUMPUSDA_CDS00352
ko:K01887	bapu:BUMPUSDA_CDS00351
ko:K01069	bapu:BUMPUSDA_CDS00350
ko:K02342	bapu:BUMPUSDA_CDS00347
