ko:K03560	rrc:RPL_02375
ko:K05939	rrc:RPL_05330
ko:K09816	rrc:RPL_05340
ko:K04566	rrc:RPL_02835
ko:K07088	rrc:RPL_02840
ko:K00029	rrc:RPL_02845
ko:K00024	rrc:RPL_02920
ko:K01937	rrc:RPL_02940
ko:K00979	rrc:RPL_02945
ko:K01495	rrc:RPL_02965
ko:K01881	rrc:RPL_02970
ko:K03550	rrc:RPL_02985
ko:K03551	rrc:RPL_03000
ko:K08218	rrc:RPL_03010
ko:K03642	rrc:RPL_03020
ko:K06190	rrc:RPL_03030
ko:K07243	rrc:RPL_03035
ko:K00449	rrc:RPL_03050
ko:K08309	rrc:RPL_03070
ko:K07010	rrc:RPL_03095
ko:K02275	rrc:RPL_03110
ko:K03101	rrc:RPL_03120
ko:K07568	rrc:RPL_01595
ko:K00425	rrc:RPL_01625
ko:K00426	rrc:RPL_01630
ko:K01923	rrc:RPL_01655
ko:K01868	rrc:RPL_01665
ko:K09991	rrc:RPL_01730
ko:K02622	rrc:RPL_01745
ko:K03797	rrc:RPL_01750
ko:K07716	rrc:RPL_01755
ko:K02871	rrc:RPL_01775
ko:K02996	rrc:RPL_01780
ko:K08641	rrc:RPL_01785
ko:K08311	rrc:RPL_01810
ko:K02356	rrc:RPL_01820
ko:K01613	rrc:RPL_01835
ko:K03543	rrc:RPL_01845
ko:K05527	rrc:RPL_01860
ko:K01924	rrc:RPL_01870
ko:K00075	rrc:RPL_01875
ko:K01921	rrc:RPL_01880
ko:K03589	rrc:RPL_01885
ko:K03590	rrc:RPL_01890
ko:K07726	rrc:RPL_06735
ko:K00339	rrc:RPL_06740
ko:K00340	rrc:RPL_06745
ko:K00341	rrc:RPL_06750
ko:K00342	rrc:RPL_06755
ko:K00338	rrc:RPL_06765
ko:K00337	rrc:RPL_06770
ko:K01681	rrc:RPL_06785
ko:K02114	rrc:RPL_06790
ko:K02112	rrc:RPL_06795
ko:K02115	rrc:RPL_06800
ko:K02111	rrc:RPL_06805
ko:K02113	rrc:RPL_06810
ko:K00382	rrc:RPL_06815
ko:K04047	rrc:RPL_06820
ko:K05366	rrc:RPL_06850
ko:K06168	rrc:RPL_06855
ko:K09710	rrc:RPL_06905
ko:K02518	rrc:RPL_06980
ko:K06287	rrc:RPL_06985
ko:K06204	rrc:RPL_06990
ko:K03733	rrc:RPL_06995
ko:K03182	rrc:RPL_07020
ko:K00343	rrc:RPL_04440
ko:K01698	rrc:RPL_04450
ko:K04066	rrc:RPL_04475
ko:K03186	rrc:RPL_04480
ko:K06178	rrc:RPL_04515
ko:K04485	rrc:RPL_04530
ko:K03584	rrc:RPL_04540
ko:K02519	rrc:RPL_04560
ko:K02600	rrc:RPL_04565
ko:K09748	rrc:RPL_04570
ko:K13771	rrc:RPL_04585
ko:K06442	rrc:RPL_04590
ko:K01866	rrc:RPL_04595
ko:K03185	rrc:RPL_04760
ko:K13599	rrc:RPL_04770
ko:K05515	rrc:RPL_04785
ko:K02355	rrc:RPL_00985
ko:K03073	rrc:RPL_00990
ko:K02601	rrc:RPL_00995
ko:K02867	rrc:RPL_01000
ko:K02863	rrc:RPL_01005
ko:K02864	rrc:RPL_01010
ko:K02935	rrc:RPL_01015
ko:K03043	rrc:RPL_01020
ko:K03046	rrc:RPL_01025
ko:K01255	rrc:RPL_01035
ko:K01876	rrc:RPL_01050
ko:K06890	rrc:RPL_01060
ko:K00215	rrc:RPL_01065
ko:K02434	rrc:RPL_01080
ko:K02435	rrc:RPL_01090
ko:K02838	rrc:RPL_01100
ko:K09903	rrc:RPL_01105
ko:K05569	rrc:RPL_01110
ko:K07277	rrc:RPL_01140
ko:K11749	rrc:RPL_01145
ko:K03625	rrc:RPL_01150
ko:K09761	rrc:RPL_01180
ko:K09779	rrc:RPL_01185
ko:K03530	rrc:RPL_01195
ko:K02341	rrc:RPL_01200
ko:K03106	rrc:RPL_01205
ko:K04764	rrc:RPL_06095
ko:K03564	rrc:RPL_06105
ko:K02517	rrc:RPL_06110
ko:K00912	rrc:RPL_06115
ko:K07115	rrc:RPL_06125
ko:K01972	rrc:RPL_06130
ko:K00773	rrc:RPL_06140
ko:K09985	rrc:RPL_06195
ko:K00859	rrc:RPL_06205
ko:K00645	rrc:RPL_06235
ko:K03821	rrc:RPL_06305
ko:K07042	rrc:RPL_06330
ko:K03644	rrc:RPL_06345
ko:K00600	rrc:RPL_06350
ko:K06999	rrc:RPL_06355
ko:K07390	rrc:RPL_06360
ko:K10773	rrc:RPL_06365
ko:K07056	rrc:RPL_06410
ko:K03116	rrc:RPL_06420
ko:K03555	rrc:RPL_02260
ko:K01808	rrc:RPL_02265
ko:K07043	rrc:RPL_02275
ko:K03641	rrc:RPL_02285
ko:K03089	rrc:RPL_02290
ko:K00566	rrc:RPL_02305
ko:K01892	rrc:RPL_02320
ko:K03562	rrc:RPL_02370
ko:K00133	rrc:RPL_02410
ko:K01419	rrc:RPL_02430
ko:K03667	rrc:RPL_02435
ko:K07391	rrc:RPL_02450
ko:K00748	rrc:RPL_02470
ko:K07082	rrc:RPL_02480
ko:K06202	rrc:RPL_02485
ko:K03168	rrc:RPL_02520
ko:K04096	rrc:RPL_02530
ko:K02343	rrc:RPL_07350
ko:K09747	rrc:RPL_07355
ko:K06985	rrc:RPL_07370
ko:K06167	rrc:RPL_07410
ko:K07091	rrc:RPL_07430
ko:K02339	rrc:RPL_07435
ko:K01154	rrc:RPL_07450
ko:K03427	rrc:RPL_07460
ko:K03313	rrc:RPL_07480
ko:K03801	rrc:RPL_07495
ko:K11066	rrc:RPL_07500
ko:K02959	rrc:RPL_07505
ko:K02913	rrc:RPL_07510
ko:K03572	rrc:RPL_07515
ko:K00019	rrc:RPL_07525
ko:K03762	rrc:RPL_07540
ko:K00228	rrc:RPL_07545
ko:K08973	rrc:RPL_07560
ko:K01772	rrc:RPL_07565
ko:K01599	rrc:RPL_07570
ko:K03523	rrc:RPL_03840
ko:K11754	rrc:RPL_03845
ko:K04564	rrc:RPL_03850
ko:K03524	rrc:RPL_03875
ko:K02520	rrc:RPL_03905
ko:K00627	rrc:RPL_03910
ko:K02835	rrc:RPL_03915
ko:K07462	rrc:RPL_03920
ko:K03628	rrc:RPL_03930
ko:K04773	rrc:RPL_03935
ko:K05788	rrc:RPL_03940
ko:K09861	rrc:RPL_03960
ko:K01867	rrc:RPL_03995
ko:K00655	rrc:RPL_04000
ko:K07018	rrc:RPL_04020
ko:K06895	rrc:RPL_04040
ko:K08218	rrc:RPL_04050
ko:K02523	rrc:RPL_04080
ko:K02990	rrc:RPL_00390
ko:K02963	rrc:RPL_00395
ko:K02939	rrc:RPL_00400
ko:K04075	rrc:RPL_00405
ko:K03798	rrc:RPL_00410
ko:K00240	rrc:RPL_00425
ko:K13292	rrc:RPL_00440
ko:K03217	rrc:RPL_00455
ko:K00995	rrc:RPL_00460
ko:K01462	rrc:RPL_00485
ko:K03301	rrc:RPL_00490
ko:K02445	rrc:RPL_00495
ko:K00940	rrc:RPL_00500
ko:K03495	rrc:RPL_00505
ko:K03501	rrc:RPL_00510
ko:K01627	rrc:RPL_00535
ko:K01129	rrc:RPL_00555
ko:K01887	rrc:RPL_00560
ko:K02621	rrc:RPL_00570
ko:K01494	rrc:RPL_00585
ko:K03071	rrc:RPL_00590
ko:K13584	rrc:RPL_00595
ko:K06879	rrc:RPL_00600
ko:K09987	rrc:RPL_00605
ko:K00325	rrc:RPL_00610
ko:K07275	rrc:RPL_00615
ko:K03762	rrc:RPL_00625
ko:K03075	rrc:RPL_00640
ko:K01883	rrc:RPL_00650
ko:K02967	rrc:RPL_00655
ko:K04077	rrc:RPL_05365
ko:K04078	rrc:RPL_05370
ko:K00989	rrc:RPL_05415
ko:K03687	rrc:RPL_05420
ko:K02968	rrc:RPL_05470
ko:K02879	rrc:RPL_05475
ko:K03040	rrc:RPL_05480
ko:K02948	rrc:RPL_05485
ko:K02952	rrc:RPL_05490
ko:K03076	rrc:RPL_05500
ko:K02876	rrc:RPL_05505
ko:K02907	rrc:RPL_05510
ko:K02988	rrc:RPL_05515
ko:K02881	rrc:RPL_05520
ko:K02933	rrc:RPL_05525
ko:K02994	rrc:RPL_05530
ko:K02954	rrc:RPL_05535
ko:K02931	rrc:RPL_05540
ko:K02895	rrc:RPL_05545
ko:K02874	rrc:RPL_05550
ko:K02961	rrc:RPL_05555
ko:K02904	rrc:RPL_05560
ko:K02878	rrc:RPL_05565
ko:K02982	rrc:RPL_05570
ko:K02890	rrc:RPL_05575
ko:K02965	rrc:RPL_05580
ko:K02886	rrc:RPL_05585
ko:K02892	rrc:RPL_05590
ko:K02926	rrc:RPL_05595
ko:K02906	rrc:RPL_05600
ko:K02946	rrc:RPL_05605
ko:K02358	rrc:RPL_05615
ko:K03218	rrc:RPL_05620
ko:K03531	rrc:RPL_05645
ko:K08276	rrc:RPL_05655
ko:K09773	rrc:RPL_00005
ko:K03671	rrc:RPL_00010
ko:K03587	rrc:RPL_04800
ko:K03438	rrc:RPL_04810
ko:K03925	rrc:RPL_04815
ko:K03703	rrc:RPL_04835
ko:K03070	rrc:RPL_04910
ko:K00997	rrc:RPL_04920
ko:K03060	rrc:RPL_04925
ko:K00790	rrc:RPL_04930
ko:K02470	rrc:RPL_04935
ko:K06213	rrc:RPL_04945
ko:K03210	rrc:RPL_04990
ko:K03072	rrc:RPL_04995
ko:K07152	rrc:RPL_05000
ko:K02197	rrc:RPL_05005
ko:K03980	rrc:RPL_05015
ko:K03655	rrc:RPL_05030
ko:K01028	rrc:RPL_05050
ko:K01029	rrc:RPL_05055
ko:K01000	rrc:RPL_05075
ko:K03926	rrc:RPL_01270
ko:K01737	rrc:RPL_01275
ko:K00658	rrc:RPL_01280
ko:K00164	rrc:RPL_01290
ko:K01299	rrc:RPL_01295
ko:K03631	rrc:RPL_01300
ko:K05807	rrc:RPL_01305
ko:K03686	rrc:RPL_01320
ko:K04043	rrc:RPL_01325
ko:K02340	rrc:RPL_01350
ko:K06134	rrc:RPL_01355
ko:K02276	rrc:RPL_01360
ko:K07080	rrc:RPL_01460
ko:K04044	rrc:RPL_01475
ko:K04082	rrc:RPL_01480
ko:K03470	rrc:RPL_01485
ko:K03702	rrc:RPL_01490
ko:K02469	rrc:RPL_01525
ko:K01462	rrc:RPL_01565
ko:K00604	rrc:RPL_01570
ko:K06916	rrc:RPL_01585
ko:K01095	rrc:RPL_06425
ko:K02888	rrc:RPL_06430
ko:K02899	rrc:RPL_06435
ko:K00928	rrc:RPL_06440
ko:K09888	rrc:RPL_06480
ko:K15371	rrc:RPL_06495
ko:K03650	rrc:RPL_06500
ko:K02078	rrc:RPL_06540
ko:K09458	rrc:RPL_06545
ko:K15738	rrc:RPL_06550
ko:K07133	rrc:RPL_06565
ko:K00942	rrc:RPL_06570
ko:K03570	rrc:RPL_06580
ko:K03569	rrc:RPL_06585
ko:K11720	rrc:RPL_06590
ko:K03640	rrc:RPL_06595
ko:K00648	rrc:RPL_06605
ko:K02911	rrc:RPL_06610
ko:K03110	rrc:RPL_06620
ko:K00789	rrc:RPL_06640
ko:K00789	rrc:RPL_06650
ko:K02337	rrc:RPL_06670
ko:K00012	rrc:RPL_06675
ko:K03118	rrc:RPL_06690
ko:K01875	rrc:RPL_06695
ko:K07447	rrc:RPL_02555
ko:K00067	rrc:RPL_02570
ko:K02986	rrc:RPL_02630
ko:K02860	rrc:RPL_02660
ko:K03602	rrc:RPL_02670
ko:K03652	rrc:RPL_02690
ko:K08998	rrc:RPL_02705
ko:K00334	rrc:RPL_02710
ko:K00333	rrc:RPL_02715
ko:K00332	rrc:RPL_02720
ko:K00331	rrc:RPL_02725
ko:K00330	rrc:RPL_02730
ko:K00208	rrc:RPL_02770
ko:K03820	rrc:RPL_02775
ko:K04487	rrc:RPL_04105
ko:K04487	rrc:RPL_04110
ko:K13643	rrc:RPL_04115
ko:K01358	rrc:RPL_04175
ko:K02945	rrc:RPL_04180
ko:K00945	rrc:RPL_04185
ko:K01749	rrc:RPL_04240
ko:K06980	rrc:RPL_04280
ko:K03684	rrc:RPL_04290
ko:K00382	rrc:RPL_04305
ko:K02919	rrc:RPL_04360
ko:K02357	rrc:RPL_00660
ko:K02527	rrc:RPL_00680
ko:K09778	rrc:RPL_00685
ko:K00812	rrc:RPL_00690
ko:K04754	rrc:RPL_00710
ko:K00948	rrc:RPL_00720
ko:K01775	rrc:RPL_00735
ko:K02066	rrc:RPL_00740
ko:K02065	rrc:RPL_00745
ko:K02902	rrc:RPL_00780
ko:K02909	rrc:RPL_00785
ko:K03978	rrc:RPL_00790
ko:K00930	rrc:RPL_00795
ko:K00554	rrc:RPL_00865
ko:K02884	rrc:RPL_00870
ko:K03074	rrc:RPL_00880
ko:K03100	rrc:RPL_00890
ko:K03685	rrc:RPL_00895
ko:K01159	rrc:RPL_00905
ko:K07276	rrc:RPL_00925
ko:K04088	rrc:RPL_00935
ko:K04087	rrc:RPL_00940
ko:K07146	rrc:RPL_00950
ko:K00242	rrc:RPL_00960
ko:K00239	rrc:RPL_00965
ko:K02950	rrc:RPL_00975
ko:K02992	rrc:RPL_00980
ko:K03704	rrc:RPL_05675
ko:K02528	rrc:RPL_05680
ko:K04744	rrc:RPL_05690
ko:K03601	rrc:RPL_05695
ko:K01142	rrc:RPL_05715
ko:K03977	rrc:RPL_05725
ko:K03688	rrc:RPL_05765
ko:K03183	rrc:RPL_05770
ko:K03424	rrc:RPL_05840
ko:K01874	rrc:RPL_05845
ko:K00943	rrc:RPL_05850
ko:K03179	rrc:RPL_05860
ko:K01873	rrc:RPL_05885
ko:K09760	rrc:RPL_05915
ko:K03544	rrc:RPL_05970
ko:K03790	rrc:RPL_05975
ko:K06920	rrc:RPL_05980
ko:K07552	rrc:RPL_06005
ko:K09808	rrc:RPL_06010
ko:K02198	rrc:RPL_06030
ko:K05349	rrc:RPL_06085
ko:K02535	rrc:RPL_01910
ko:K08300	rrc:RPL_01920
ko:K02259	rrc:RPL_01925
ko:K01142	rrc:RPL_01950
ko:K00161	rrc:RPL_01955
ko:K00162	rrc:RPL_01960
ko:K06207	rrc:RPL_01965
ko:K00031	rrc:RPL_01990
ko:K05571	rrc:RPL_01995
ko:K05566	rrc:RPL_02000
ko:K02194	rrc:RPL_02005
ko:K00411	rrc:RPL_02015
ko:K00412	rrc:RPL_02020
ko:K00413	rrc:RPL_02030
ko:K02836	rrc:RPL_02065
ko:K03596	rrc:RPL_02070
ko:K05837	rrc:RPL_02135
ko:K01354	rrc:RPL_02140
ko:K05567	rrc:RPL_02170
ko:K01524	rrc:RPL_02215
ko:K03466	rrc:RPL_07050
ko:K01265	rrc:RPL_07060
ko:K03630	rrc:RPL_07070
ko:K02195	rrc:RPL_07100
ko:K09817	rrc:RPL_07125
ko:K03701	rrc:RPL_07155
ko:K09131	rrc:RPL_07185
ko:K04079	rrc:RPL_07190
ko:K00643	rrc:RPL_07195
ko:K03545	rrc:RPL_07205
ko:K03979	rrc:RPL_07210
ko:K01647	rrc:RPL_07215
ko:K06180	rrc:RPL_07230
ko:K02493	rrc:RPL_07245
ko:K07566	rrc:RPL_07250
ko:K01879	rrc:RPL_07255
ko:K01878	rrc:RPL_07260
ko:K09765	rrc:RPL_07275
ko:K01872	rrc:RPL_07305
ko:K06173	rrc:RPL_07310
ko:K03086	rrc:RPL_07315
ko:K03624	rrc:RPL_07330
ko:K00324	rrc:RPL_07335
ko:K00324	rrc:RPL_07340
ko:K12340	rrc:RPL_01725
ko:K02533	rrc:RPL_00910
ko:K03593	rrc:RPL_00930
ko:K00241	rrc:RPL_00955
ko:K15383	rrc:RPL_05720
ko:K10563	rrc:RPL_05775
ko:K06147	rrc:RPL_05995
ko:K00799	rrc:RPL_03830
ko:K01262	rrc:RPL_04085
ko:K03294	rrc:RPL_04090
ko:K13628	rrc:RPL_04095
ko:K04488	rrc:RPL_04100
ko:K05570	rrc:RPL_04765
ko:K00674	rrc:RPL_01375
ko:K06147	rrc:RPL_01510
ko:K00059	rrc:RPL_06535
ko:K05794	rrc:RPL_06715
ko:K09815	rrc:RPL_00100
ko:K00970	rrc:RPL_00105
ko:K02116	rrc:RPL_00180
ko:K01965	rrc:RPL_05315
ko:K01966	rrc:RPL_05320
ko:K07343	rrc:RPL_05335
ko:K00568	rrc:RPL_05345
ko:K01885	rrc:RPL_05350
ko:K01409	rrc:RPL_00375
ko:K00939	rrc:RPL_05495
ko:K01679	rrc:RPL_05630
ko:K01823	rrc:RPL_04170
ko:K01934	rrc:RPL_04300
ko:K11528	rrc:RPL_04370
ko:K02433	rrc:RPL_01085
ko:K02427	rrc:RPL_01155
ko:K01322	rrc:RPL_01210
ko:K00567	rrc:RPL_04870
ko:K03769	rrc:RPL_04915
ko:K01507	rrc:RPL_05010
ko:K01724	rrc:RPL_01795
ko:K01092	rrc:RPL_01825
ko:K02193	rrc:RPL_06760
ko:K03455	rrc:RPL_06900
ko:K02067	rrc:RPL_06180
ko:K03469	rrc:RPL_06190
ko:K09949	rrc:RPL_06200
ko:K02342	rrc:RPL_06210
ko:K05833	rrc:RPL_02800
ko:K04763	rrc:RPL_02755
ko:K01989	rrc:RPL_02790
ko:K05832	rrc:RPL_02795
ko:K08738	rrc:RPL_01900
ko:K06179	rrc:RPL_01930
ko:K05568	rrc:RPL_02145
ko:K05568	rrc:RPL_02160
ko:K05568	rrc:RPL_02165
ko:K05524	rrc:RPL_07095
ko:K06910	rrc:RPL_07120
ko:K00135	rrc:RPL_03495
ko:K03177	rrc:RPL_03760
ko:K09691	rrc:RPL_00015
ko:K01082	rrc:RPL_02255
ko:K02258	rrc:RPL_02295
ko:K03294	rrc:RPL_02315
ko:K01885	rrc:RPL_02515
ko:K03386	rrc:RPL_02535
ko:K01439	rrc:RPL_07445
ko:K03574	rrc:RPL_02955
ko:K11085	rrc:RPL_03005
ko:K07258	rrc:RPL_03015
ko:K01297	rrc:RPL_03080
ko:K02274	rrc:RPL_03100
ko:K03301	rrc:RPL_03765
ko:K03301	rrc:RPL_06310
ko:K14235	rrc:RPL_t07585
ko:K14232	rrc:RPL_t07637
ko:K16053	rrc:RPL_00450
ko:K01840	rrc:RPL_03720
ko:K12262	rrc:RPL_03375
ko:K12262	rrc:RPL_03380
ko:K14230	rrc:RPL_t07635
ko:K14222	rrc:RPL_t07593
ko:K14223	rrc:RPL_t07605
ko:K07323	rrc:RPL_00715
ko:K14229	rrc:RPL_t07595
ko:K14227	rrc:RPL_t07597
ko:K14221	rrc:RPL_t07599
ko:K14233	rrc:RPL_t07601
ko:K14219	rrc:RPL_t07603
ko:K14223	rrc:RPL_t07607
ko:K14218	rrc:RPL_t07609
ko:K14237	rrc:RPL_t07611
ko:K14233	rrc:RPL_t07613
ko:K14218	rrc:RPL_t07617
ko:K14228	rrc:RPL_t07619
ko:K14237	rrc:RPL_t07623
ko:K14236	rrc:RPL_t07627
ko:K14226	rrc:RPL_t07631
ko:K14233	rrc:RPL_t07633
ko:K14234	rrc:RPL_t07587
ko:K14230	rrc:RPL_t07589
ko:K01980	rrc:RPL_r07649
ko:K01985	rrc:RPL_r07645
ko:K14220	rrc:RPL_t07591
ko:K01977	rrc:RPL_r07647
ko:K14230	rrc:RPL_t07583
ko:K14228	rrc:RPL_t07641
ko:K14225	rrc:RPL_t07621
ko:K14231	rrc:RPL_t07577
ko:K14224	rrc:RPL_t07579
ko:K14234	rrc:RPL_t07643
ko:K14219	rrc:RPL_t07615
ko:K14219	rrc:RPL_t07639
ko:K14228	rrc:RPL_t07629
ko:K14225	rrc:RPL_t07625
ko:K14234	rrc:RPL_t07581
ko:K00335	rrc:RPL_00885
ko:K02030	rrc:RPL_01075
ko:K17717	rrc:RPL_07005
ko:K17716	rrc:RPL_02575
ko:K14998	rrc:RPL_06215
ko:K09810	rrc:RPL_06015
ko:K02488	rrc:RPL_01815
ko:K02028	rrc:RPL_07405
ko:K17103	rrc:RPL_01840
ko:K08316	rrc:RPL_04525
ko:K05540	rrc:RPL_00080
ko:K00971	rrc:RPL_05780
ko:K01791	rrc:RPL_02580
ko:K12574	rrc:RPL_03455
ko:K15270	rrc:RPL_00620
ko:K06867	rrc:RPL_01740
ko:K06900	rrc:RPL_05140
ko:K00567	rrc:RPL_04850
ko:K04096	rrc:RPL_02525
ko:K02022	rrc:RPL_02400
ko:K03446	rrc:RPL_01115
ko:K18588	rrc:RPL_01170
ko:K18587	rrc:RPL_05270
ko:K18707	rrc:RPL_03255
ko:K06147	rrc:RPL_01615
ko:K07171	rrc:RPL_00030
ko:K03496	rrc:RPL_00515
ko:K03497	rrc:RPL_00520
ko:K03201	rrc:RPL_00810
ko:K03201	rrc:RPL_00815
ko:K03201	rrc:RPL_00820
ko:K03201	rrc:RPL_00825
ko:K03201	rrc:RPL_00830
ko:K03496	rrc:RPL_01040
ko:K03204	rrc:RPL_02175
ko:K03203	rrc:RPL_02180
ko:K03203	rrc:RPL_02190
ko:K03204	rrc:RPL_02195
ko:K03196	rrc:RPL_02205
ko:K03205	rrc:RPL_02210
ko:K03111	rrc:RPL_07160
ko:K07473	rrc:RPL_07420
ko:K16898	rrc:RPL_06220
ko:K16899	rrc:RPL_03085
ko:K19157	rrc:RPL_07425
ko:K19159	rrc:RPL_00700
ko:K07062	rrc:RPL_07265
ko:K00336	rrc:RPL_06775
ko:K04771	rrc:RPL_00945
ko:K09690	rrc:RPL_00020
ko:K00525	rrc:RPL_03670
ko:K09796	rrc:RPL_04840
ko:K00507	rrc:RPL_00380
ko:K03198	rrc:RPL_00800
ko:K03199	rrc:RPL_06705
ko:K04755	rrc:RPL_01470
ko:K03195	rrc:RPL_02200
ko:K03199	rrc:RPL_00805
ko:K06223	rrc:RPL_04320
ko:K02314	rrc:RPL_04490
ko:K00287	rrc:RPL_00215
ko:K00558	rrc:RPL_00415
ko:K06197	rrc:RPL_01310
ko:K06197	rrc:RPL_01315
ko:K03676	rrc:RPL_01495
ko:K03553	rrc:RPL_06530
ko:K01185	rrc:RPL_07175
ko:K02316	rrc:RPL_07320
ko:K03465	rrc:RPL_02280
ko:K01520	rrc:RPL_03065
ko:K06889	rrc:RPL_02610
ko:K06148	rrc:RPL_02405
ko:K00526	rrc:RPL_03680
ko:K02335	rrc:RPL_06625
ko:K21498	rrc:RPL_02085
ko:K21498	rrc:RPL_02560
ko:K10026	rrc:RPL_05190
ko:K21929	rrc:RPL_07225
ko:K03595	rrc:RPL_00900
ko:K11991	rrc:RPL_07105
ko:K02257	rrc:RPL_02635
