ko:K00942	aby:ABAYE0312
ko:K00784	aby:ABAYE1210
ko:K00057	aby:ABAYE1223
ko:K00764	aby:ABAYE1280
ko:K00090	aby:ABAYE1283
ko:K01409	aby:ABAYE1288
ko:K00822	aby:ABAYE1295
ko:K00140	aby:ABAYE1296
ko:K00507	aby:ABAYE1343
ko:K00574	aby:ABAYE1346
ko:K01069	aby:ABAYE1362
ko:K01945	aby:ABAYE1366
ko:K01775	aby:ABAYE1380
ko:K01007	aby:ABAYE1391
ko:K01895	aby:ABAYE1413
ko:K01633	aby:ABAYE1417
ko:K00950	aby:ABAYE1418
ko:K01915	aby:ABAYE1425
ko:K00791	aby:ABAYE1448
ko:K01886	aby:ABAYE1455
ko:K01693	aby:ABAYE0254
ko:K01525	aby:ABAYE0491
ko:K00382	aby:ABAYE0505
ko:K00773	aby:ABAYE0528
ko:K01740	aby:ABAYE0264
ko:K01885	aby:ABAYE0277
ko:K00982	aby:ABAYE0576
ko:K00826	aby:ABAYE0577
ko:K01876	aby:ABAYE0588
ko:K01928	aby:ABAYE0283
ko:K01929	aby:ABAYE0284
ko:K01126	aby:ABAYE0604
ko:K01000	aby:ABAYE0285
ko:K00563	aby:ABAYE0287
ko:K00798	aby:ABAYE0605
ko:K01817	aby:ABAYE0607
ko:K00891	aby:ABAYE0295
ko:K01735	aby:ABAYE0296
ko:K01139	aby:ABAYE0310
ko:K01782	aby:ABAYE0628
ko:K00117	aby:ABAYE0633
ko:K00001	aby:ABAYE0763
ko:K01759	aby:ABAYE1052
ko:K05297	aby:ABAYE1067
ko:K01647	aby:ABAYE0773
ko:K00164	aby:ABAYE0780
ko:K00658	aby:ABAYE0781
ko:K00382	aby:ABAYE0782
ko:K01867	aby:ABAYE0788
ko:K00796	aby:ABAYE0807
ko:K00864	aby:ABAYE0816
ko:K01596	aby:ABAYE0818
ko:K00121	aby:ABAYE1861
ko:K00901	aby:ABAYE0824
ko:K01126	aby:ABAYE0826
ko:K00865	aby:ABAYE0849
ko:K01586	aby:ABAYE0860
ko:K01778	aby:ABAYE0861
ko:K00831	aby:ABAYE0877
ko:K12297	aby:ABAYE2580
ko:K09483	aby:ABAYE1683
ko:K07460	aby:ABAYE2669
ko:K07056	aby:ABAYE2670
ko:K05596	aby:ABAYE2672
ko:K06895	aby:ABAYE2673
ko:K09895	aby:ABAYE2680
ko:K03563	aby:ABAYE2597
ko:K03088	aby:ABAYE0897
ko:K06901	aby:ABAYE2602
ko:K06911	aby:ABAYE2610
ko:K05819	aby:ABAYE2627
ko:K02014	aby:ABAYE2648
ko:K03498	aby:ABAYE1647
ko:K00627	aby:ABAYE1946
ko:K02867	aby:ABAYE3493
ko:K09017	aby:ABAYE3845
ko:K02110	aby:ABAYE3721
ko:K07566	aby:ABAYE3708
ko:K01695	aby:ABAYE0613
ko:K08369	aby:ABAYE3680
ko:K07044	aby:ABAYE1743
ko:K09967	aby:ABAYE2430
ko:K08195	aby:ABAYE2465
ko:K03306	aby:ABAYE2820
ko:K02168	aby:ABAYE2865
ko:K06992	aby:ABAYE3127
ko:K03455	aby:ABAYE3327
ko:K06878	aby:ABAYE3402
ko:K03631	aby:ABAYE3453
ko:K04759	aby:ABAYE3526
ko:K09806	aby:ABAYE3550
ko:K03325	aby:ABAYE3659
ko:K03217	aby:ABAYE3900
ko:K03701	aby:p3ABAYE0005
ko:K03043	aby:ABAYE3489
ko:K02338	aby:ABAYE0002
ko:K06177	aby:ABAYE1013
ko:K04774	aby:ABAYE1036
ko:K06916	aby:ABAYE2054
ko:K03559	aby:ABAYE2051
ko:K03559	aby:ABAYE2050
ko:K01055	aby:ABAYE1714
ko:K07124	aby:ABAYE1741
ko:K03710	aby:ABAYE1771
ko:K06889	aby:ABAYE1812
ko:K10857	aby:ABAYE0535
ko:K03308	aby:ABAYE0019
ko:K03500	aby:ABAYE0021
ko:K07090	aby:ABAYE0025
ko:K03686	aby:ABAYE0033
ko:K09160	aby:ABAYE0051
ko:K05836	aby:ABAYE0073
ko:K06518	aby:ABAYE2241
ko:K02314	aby:ABAYE1381
ko:K02990	aby:ABAYE1384
ko:K07667	aby:ABAYE1424
ko:K09800	aby:ABAYE1430
ko:K03576	aby:ABAYE1439
ko:K02020	aby:ABAYE1894
ko:K02019	aby:ABAYE1895
ko:K02049	aby:ABAYE1926
ko:K00425	aby:ABAYE2219
ko:K00426	aby:ABAYE2220
ko:K00666	aby:ABAYE2286
ko:K00253	aby:ABAYE2288
ko:K00459	aby:ABAYE2310
ko:K02010	aby:ABAYE2321
ko:K02049	aby:ABAYE2420
ko:K07126	aby:ABAYE2436
ko:K03704	aby:ABAYE2535
ko:K03704	aby:ABAYE2687
ko:K03189	aby:ABAYE2773
ko:K02003	aby:ABAYE2807
ko:K02358	aby:ABAYE2946
ko:K03809	aby:ABAYE2971
ko:K02858	aby:ABAYE2987
ko:K01091	aby:ABAYE2988
ko:K02078	aby:ABAYE2991
ko:K08196	aby:ABAYE3095
ko:K03517	aby:ABAYE3104
ko:K03671	aby:ABAYE3155
ko:K07501	aby:ABAYE3183
ko:K07665	aby:ABAYE3203
ko:K07156	aby:ABAYE3206
ko:K07245	aby:ABAYE3207
ko:K07336	aby:ABAYE3291
ko:K03116	aby:ABAYE3298
ko:K04085	aby:ABAYE3399
ko:K05560	aby:ABAYE3432
ko:K05563	aby:ABAYE3435
ko:K05564	aby:ABAYE3436
ko:K02863	aby:ABAYE3492
ko:K04752	aby:ABAYE3549
ko:K04043	aby:ABAYE3865
ko:K02914	aby:ABAYE3903
ko:K02014	aby:p2ABAYE0008
ko:K06218	aby:p3ABAYE0047
ko:K07213	aby:ABAYE2552
ko:K07004	aby:ABAYE2571
ko:K01465	aby:ABAYE2577
ko:K03695	aby:ABAYE2583
ko:K02072	aby:ABAYE1363
ko:K02071	aby:ABAYE1364
ko:K02073	aby:ABAYE1365
ko:K03495	aby:ABAYE1373
ko:K03752	aby:ABAYE1547
ko:K02300	aby:ABAYE1386
ko:K09773	aby:ABAYE1392
ko:K06445	aby:ABAYE1145
ko:K08305	aby:ABAYE1161
ko:K05365	aby:ABAYE1198
ko:K08296	aby:ABAYE1224
ko:K03185	aby:ABAYE2678
ko:K03683	aby:ABAYE2647
ko:K02502	aby:ABAYE2593
ko:K08303	aby:ABAYE1183
ko:K03578	aby:ABAYE2563
ko:K03387	aby:ABAYE2568
ko:K00609	aby:ABAYE2578
ko:K05549	aby:ABAYE2555
ko:K02687	aby:ABAYE1371
ko:K00372	aby:ABAYE1546
ko:K02337	aby:ABAYE2189
ko:K02299	aby:ABAYE1387
ko:K02298	aby:ABAYE1388
ko:K07084	aby:ABAYE3483
ko:K02653	aby:ABAYE3445
ko:K02652	aby:ABAYE3444
ko:K02956	aby:ABAYE3415
ko:K04066	aby:ABAYE3407
ko:K03814	aby:ABAYE2804
ko:K00381	aby:ABAYE0634
ko:K03769	aby:ABAYE0649
ko:K02658	aby:ABAYE0668
ko:K00380	aby:ABAYE0682
ko:K02434	aby:ABAYE0697
ko:K02433	aby:ABAYE0698
ko:K02435	aby:ABAYE0699
ko:K08301	aby:ABAYE0705
ko:K00390	aby:ABAYE0709
ko:K02523	aby:ABAYE0751
ko:K03216	aby:ABAYE0759
ko:K03801	aby:ABAYE0765
ko:K00241	aby:ABAYE0774
ko:K00242	aby:ABAYE0775
ko:K00239	aby:ABAYE0776
ko:K03685	aby:ABAYE0941
ko:K05540	aby:ABAYE0965
ko:K07258	aby:ABAYE0978
ko:K06181	aby:ABAYE0981
ko:K02297	aby:ABAYE1389
ko:K02493	aby:ABAYE1407
ko:K01546	aby:ABAYE1420
ko:K01547	aby:ABAYE1421
ko:K07646	aby:ABAYE1423
ko:K01682	aby:ABAYE1432
ko:K06183	aby:ABAYE1442
ko:K03666	aby:ABAYE1449
ko:K03269	aby:ABAYE1453
ko:K03768	aby:ABAYE1454
ko:K03735	aby:ABAYE1458
ko:K07042	aby:ABAYE0460
ko:K18137	aby:ABAYE1572
ko:K09903	aby:ABAYE1577
ko:K02536	aby:ABAYE1585
ko:K02372	aby:ABAYE1586
ko:K02341	aby:ABAYE2075
ko:K03501	aby:ABAYE2083
ko:K03771	aby:ABAYE2087
ko:K01624	aby:ABAYE2088
ko:K03320	aby:ABAYE3548
ko:K07091	aby:ABAYE3539
ko:K01883	aby:ABAYE2493
ko:K03601	aby:ABAYE2542
ko:K09857	aby:ABAYE1337
ko:K01428	aby:ABAYE2776
ko:K01429	aby:ABAYE2777
ko:K01430	aby:ABAYE2778
ko:K00956	aby:ABAYE2790
ko:K00957	aby:ABAYE2791
ko:K04567	aby:ABAYE2794
ko:K01673	aby:ABAYE2809
ko:K03153	aby:ABAYE2910
ko:K03656	aby:ABAYE2930
ko:K03789	aby:ABAYE2943
ko:K00954	aby:ABAYE2969
ko:K02316	aby:ABAYE2975
ko:K00647	aby:ABAYE2951
ko:K03525	aby:ABAYE3016
ko:K00249	aby:ABAYE2013
ko:K03770	aby:ABAYE2016
ko:K04487	aby:ABAYE2021
ko:K03684	aby:ABAYE1965
ko:K10764	aby:ABAYE1970
ko:K02231	aby:ABAYE1994
ko:K07320	aby:ABAYE1954
ko:K05599	aby:ABAYE1896
ko:K05600	aby:ABAYE1897
ko:K01031	aby:ABAYE1717
ko:K01032	aby:ABAYE1674
ko:K00449	aby:ABAYE1680
ko:K00448	aby:ABAYE1681
ko:K00426	aby:ABAYE1636
ko:K01807	aby:ABAYE1650
ko:K02073	aby:ABAYE2167
ko:K02071	aby:ABAYE2169
ko:K02072	aby:ABAYE2170
ko:K01159	aby:ABAYE2126
ko:K08289	aby:ABAYE2179
ko:K02343	aby:ABAYE1519
ko:K03786	aby:ABAYE1539
ko:K02492	aby:ABAYE2976
ko:K01056	aby:ABAYE2983
ko:K06178	aby:ABAYE3000
ko:K03449	aby:ABAYE2395
ko:K00059	aby:ABAYE1514
ko:K06204	aby:ABAYE3521
ko:K03073	aby:ABAYE3495
ko:K03546	aby:ABAYE2916
ko:K02835	aby:ABAYE1406
ko:K03746	aby:ABAYE3503
ko:K02935	aby:ABAYE3490
ko:K07258	aby:ABAYE1044
ko:K03787	aby:ABAYE1047
ko:K07402	aby:ABAYE1116
ko:K01263	aby:ABAYE1122
ko:K01658	aby:ABAYE1123
ko:K03181	aby:ABAYE1127
ko:K03179	aby:ABAYE1128
ko:K04564	aby:ABAYE1134
ko:K01096	aby:ABAYE0749
ko:K10563	aby:ABAYE0650
ko:K03602	aby:ABAYE2543
ko:K02302	aby:ABAYE0758
ko:K11209	aby:ABAYE2244
ko:K09986	aby:ABAYE3396
ko:K02909	aby:ABAYE3385
ko:K09936	aby:ABAYE3380
ko:K02518	aby:ABAYE3354
ko:K02913	aby:ABAYE3326
ko:K02902	aby:ABAYE3325
ko:K03117	aby:ABAYE3299
ko:K03545	aby:ABAYE3289
ko:K06949	aby:ABAYE3253
ko:K03470	aby:ABAYE2598
ko:K14159	aby:ABAYE2664
ko:K04084	aby:ABAYE0138
ko:K07447	aby:ABAYE3455
ko:K10017	aby:ABAYE1180
ko:K02315	aby:ABAYE1240
ko:K00064	aby:ABAYE1312
ko:K06954	aby:ABAYE1344
ko:K03824	aby:ABAYE1493
ko:K07107	aby:ABAYE1521
ko:K03502	aby:ABAYE1540
ko:K03635	aby:ABAYE1551
ko:K01895	aby:ABAYE3766
ko:K00020	aby:ABAYE3767
ko:K00140	aby:ABAYE3768
ko:K01775	aby:ABAYE3773
ko:K00285	aby:ABAYE3774
ko:K01659	aby:ABAYE3792
ko:K03417	aby:ABAYE3793
ko:K00101	aby:ABAYE3797
ko:K01810	aby:ABAYE3801
ko:K00012	aby:ABAYE3802
ko:K00963	aby:ABAYE3803
ko:K01104	aby:ABAYE3817
ko:K00767	aby:ABAYE3823
ko:K01114	aby:ABAYE3825
ko:K00989	aby:ABAYE3828
ko:K00568	aby:ABAYE3834
ko:K04091	aby:ABAYE3842
ko:K01870	aby:ABAYE3852
ko:K03101	aby:ABAYE3853
ko:K01487	aby:ABAYE3885
ko:K00760	aby:ABAYE3887
ko:K00799	aby:p3ABAYE0014
ko:K08688	aby:p3ABAYE0029
ko:K00525	aby:ABAYE3065
ko:K00526	aby:ABAYE3067
ko:K01866	aby:ABAYE0014
ko:K00799	aby:ABAYE0016
ko:K00604	aby:ABAYE0022
ko:K01687	aby:ABAYE0023
ko:K01595	aby:ABAYE0028
ko:K00215	aby:ABAYE0036
ko:K01246	aby:ABAYE0044
ko:K01923	aby:ABAYE0056
ko:K01714	aby:ABAYE0058
ko:K00457	aby:ABAYE0064
ko:K01555	aby:ABAYE0068
ko:K01712	aby:ABAYE0075
ko:K01745	aby:ABAYE0076
ko:K01468	aby:ABAYE0078
ko:K01479	aby:ABAYE0079
ko:K01776	aby:ABAYE0082
ko:K00558	aby:ABAYE0084
ko:K00820	aby:ABAYE0089
ko:K00946	aby:ABAYE0093
ko:K00763	aby:ABAYE0102
ko:K01613	aby:ABAYE0104
ko:K01919	aby:ABAYE0116
ko:K00940	aby:ABAYE3267
ko:K03797	aby:ABAYE3271
ko:K01207	aby:ABAYE3272
ko:K00147	aby:ABAYE3276
ko:K00131	aby:ABAYE3277
ko:K00851	aby:ABAYE3278
ko:K01690	aby:ABAYE3281
ko:K00925	aby:ABAYE3282
ko:K01358	aby:ABAYE3288
ko:K01649	aby:ABAYE3292
ko:K00641	aby:ABAYE3293
ko:K00560	aby:ABAYE3314
ko:K00287	aby:ABAYE3315
ko:K07304	aby:ABAYE3317
ko:K01433	aby:ABAYE3322
ko:K00154	aby:ABAYE3324
ko:K00344	aby:ABAYE3339
ko:K00133	aby:ABAYE3348
ko:K01424	aby:ABAYE3351
ko:K00052	aby:ABAYE3357
ko:K00799	aby:ABAYE3371
ko:K01091	aby:ABAYE3373
ko:K01772	aby:ABAYE3393
ko:K00240	aby:ABAYE0777
ko:K01903	aby:ABAYE0783
ko:K01902	aby:ABAYE0784
ko:K01955	aby:ABAYE0800
ko:K02427	aby:ABAYE0805
ko:K03798	aby:ABAYE0806
ko:K00111	aby:ABAYE0817
ko:K03799	aby:ABAYE0829
ko:K01776	aby:ABAYE3395
ko:K00311	aby:ABAYE3397
ko:K00962	aby:ABAYE3414
ko:K01803	aby:ABAYE3443
ko:K00859	aby:ABAYE3447
ko:K00995	aby:ABAYE3463
ko:K00632	aby:ABAYE3471
ko:K01719	aby:ABAYE3507
ko:K01749	aby:ABAYE3508
ko:K01755	aby:ABAYE3511
ko:K01515	aby:ABAYE3519
ko:K01925	aby:ABAYE3524
ko:K00003	aby:ABAYE3530
ko:K01733	aby:ABAYE3531
ko:K03797	aby:ABAYE3536
ko:K01255	aby:ABAYE3540
ko:K03101	aby:ABAYE3558
ko:K00984	aby:ABAYE3570
ko:K03395	aby:ABAYE3573
ko:K00520	aby:ABAYE3605
ko:K00984	aby:ABAYE3618
ko:K00663	aby:ABAYE3630
ko:K10673	aby:ABAYE3648
ko:K03101	aby:ABAYE3651
ko:K00384	aby:ABAYE3661
ko:K01714	aby:ABAYE3671
ko:K01507	aby:ABAYE3675
ko:K01897	aby:ABAYE3678
ko:K01738	aby:ABAYE3696
ko:K01462	aby:ABAYE3705
ko:K00432	aby:ABAYE3713
ko:K00027	aby:ABAYE3731
ko:K01887	aby:ABAYE3732
ko:K00799	aby:ABAYE3734
ko:K00984	aby:ABAYE3739
ko:K01951	aby:ABAYE3740
ko:K03841	aby:ABAYE0899
ko:K07107	aby:ABAYE0907
ko:K02619	aby:ABAYE0931
ko:K07345	aby:ABAYE1856
ko:K01574	aby:ABAYE1742
ko:K02614	aby:ABAYE2363
ko:K03744	aby:ABAYE0529
ko:K03566	aby:ABAYE1061
ko:K07346	aby:ABAYE1857
ko:K02612	aby:ABAYE2372
ko:K05834	aby:ABAYE3729
ko:K01892	aby:ABAYE3262
ko:K01676	aby:ABAYE3284
ko:K03657	aby:ABAYE3332
ko:K03168	aby:ABAYE3335
ko:K02517	aby:ABAYE3343
ko:K06173	aby:ABAYE3352
ko:K01703	aby:ABAYE3360
ko:K08311	aby:ABAYE3364
ko:K08484	aby:ABAYE3365
ko:K06179	aby:ABAYE3374
ko:K08300	aby:ABAYE3375
ko:K03820	aby:ABAYE3401
ko:K03581	aby:ABAYE3418
ko:K03582	aby:ABAYE3419
ko:K03583	aby:ABAYE3420
ko:K01091	aby:ABAYE3498
ko:K03183	aby:ABAYE3424
ko:K02654	aby:ABAYE3446
ko:K03218	aby:ABAYE3449
ko:K00249	aby:ABAYE0476
ko:K03215	aby:ABAYE3182
ko:K07678	aby:ABAYE3185
ko:K00325	aby:ABAYE3191
ko:K00324	aby:ABAYE3192
ko:K00324	aby:ABAYE3193
ko:K01681	aby:ABAYE3228
ko:K07078	aby:ABAYE0449
ko:K09767	aby:ABAYE0515
ko:K06190	aby:ABAYE0520
ko:K07053	aby:ABAYE0521
ko:K03074	aby:ABAYE0525
ko:K03072	aby:ABAYE0526
ko:K03210	aby:ABAYE0527
ko:K07276	aby:ABAYE0578
ko:K02014	aby:ABAYE0591
ko:K06966	aby:ABAYE3684
ko:K06889	aby:ABAYE1816
ko:K03070	aby:ABAYE0620
ko:K07267	aby:ABAYE0632
ko:K04750	aby:ABAYE0637
ko:K08084	aby:ABAYE0639
ko:K03286	aby:ABAYE0640
ko:K06207	aby:ABAYE0646
ko:K03282	aby:ABAYE0647
ko:K02014	aby:ABAYE0653
ko:K07088	aby:ABAYE0655
ko:K03981	aby:ABAYE0657
ko:K06980	aby:ABAYE0658
ko:K03296	aby:ABAYE0664
ko:K02657	aby:ABAYE0667
ko:K02659	aby:ABAYE0669
ko:K02660	aby:ABAYE0670
ko:K09977	aby:ABAYE0678
ko:K09790	aby:ABAYE0679
ko:K07552	aby:ABAYE0685
ko:K03310	aby:ABAYE0689
ko:K07001	aby:ABAYE0690
ko:K03569	aby:ABAYE0700
ko:K03570	aby:ABAYE0701
ko:K03571	aby:ABAYE0703
ko:K03832	aby:ABAYE3320
ko:K00840	aby:ABAYE0352
ko:K01653	aby:ABAYE3239
ko:K01652	aby:ABAYE3240
ko:K02933	aby:ABAYE0423
ko:K02988	aby:ABAYE0425
ko:K03076	aby:ABAYE0428
ko:K02919	aby:ABAYE0429
ko:K02952	aby:ABAYE0430
ko:K02948	aby:ABAYE0431
ko:K02986	aby:ABAYE0432
ko:K02879	aby:ABAYE0434
ko:K09159	aby:ABAYE0437
ko:K07070	aby:ABAYE0443
ko:K07636	aby:ABAYE0106
ko:K01095	aby:ABAYE0091
ko:K00794	aby:ABAYE0095
ko:K07560	aby:ABAYE0101
ko:K06287	aby:ABAYE0704
ko:K06076	aby:ABAYE0711
ko:K02616	aby:ABAYE0715
ko:K05523	aby:ABAYE0719
ko:K03293	aby:ABAYE0720
ko:K07340	aby:ABAYE0725
ko:K07001	aby:ABAYE0726
ko:K07666	aby:ABAYE0732
ko:K02888	aby:ABAYE0753
ko:K03086	aby:ABAYE0767
ko:K07039	aby:ABAYE0770
ko:K02622	aby:ABAYE0126
ko:K01091	aby:ABAYE0081
ko:K03625	aby:ABAYE0094
ko:K07657	aby:ABAYE0107
ko:K07000	aby:ABAYE0125
ko:K01142	aby:ABAYE0143
ko:K03589	aby:ABAYE0151
ko:K03590	aby:ABAYE0152
ko:K03981	aby:ABAYE3529
ko:K07262	aby:ABAYE3532
ko:K02339	aby:ABAYE3541
ko:K02563	aby:ABAYE0148
ko:K02535	aby:ABAYE0154
ko:K02527	aby:ABAYE0175
ko:K09858	aby:ABAYE3682
ko:K02014	aby:ABAYE3703
ko:K02116	aby:ABAYE3724
ko:K09815	aby:ABAYE3725
ko:K09823	aby:ABAYE3726
ko:K09817	aby:ABAYE3727
ko:K09816	aby:ABAYE3728
ko:K07223	aby:ABAYE3730
ko:K07397	aby:ABAYE3735
ko:K06956	aby:ABAYE0988
ko:K03580	aby:ABAYE1014
ko:K02040	aby:ABAYE1032
ko:K02037	aby:ABAYE1033
ko:K02038	aby:ABAYE1034
ko:K02036	aby:ABAYE1035
ko:K06186	aby:ABAYE2921
ko:K02355	aby:ABAYE2947
ko:K02992	aby:ABAYE2948
ko:K08973	aby:ABAYE2952
ko:K05810	aby:ABAYE2972
ko:K03529	aby:ABAYE3012
ko:K05808	aby:ABAYE3135
ko:K03628	aby:ABAYE3156
ko:K02520	aby:ABAYE3168
ko:K00666	aby:ABAYE3170
ko:K09710	aby:ABAYE3189
ko:K05539	aby:ABAYE3223
ko:K03424	aby:ABAYE3229
ko:K03544	aby:ABAYE3287
ko:K03118	aby:ABAYE3300
ko:K07093	aby:ABAYE3308
ko:K07093	aby:ABAYE3309
ko:K07007	aby:ABAYE3389
ko:K02456	aby:ABAYE3405
ko:K05562	aby:ABAYE3434
ko:K08083	aby:ABAYE3509
ko:K08082	aby:ABAYE3510
ko:K03651	aby:ABAYE3520
ko:K00375	aby:ABAYE3669
ko:K03687	aby:ABAYE3864
ko:K03650	aby:ABAYE3899
ko:K03071	aby:ABAYE3257
ko:K03676	aby:ABAYE3256
ko:K02340	aby:ABAYE3246
ko:K03643	aby:ABAYE3245
ko:K03707	aby:ABAYE0200
ko:K03809	aby:ABAYE0455
ko:K03832	aby:ABAYE0459
ko:K06217	aby:ABAYE0461
ko:K06168	aby:ABAYE0462
ko:K07394	aby:ABAYE0468
ko:K08984	aby:ABAYE1038
ko:K07153	aby:ABAYE1040
ko:K06194	aby:ABAYE1048
ko:K08218	aby:ABAYE1051
ko:K06200	aby:ABAYE1059
ko:K04691	aby:ABAYE1136
ko:K09761	aby:ABAYE1140
ko:K02575	aby:ABAYE1150
ko:K02967	aby:ABAYE1153
ko:K03642	aby:ABAYE1160
ko:K05837	aby:ABAYE1162
ko:K02454	aby:ABAYE1191
ko:K02483	aby:ABAYE1193
ko:K03574	aby:ABAYE1196
ko:K09916	aby:ABAYE1200
ko:K07017	aby:ABAYE1205
ko:K07018	aby:ABAYE1211
ko:K09861	aby:ABAYE1212
ko:K03149	aby:ABAYE1214
ko:K03154	aby:ABAYE1215
ko:K03089	aby:ABAYE1217
ko:K03704	aby:ABAYE1219
ko:K03732	aby:ABAYE1220
ko:K02461	aby:ABAYE1276
ko:K02462	aby:ABAYE1277
ko:K03558	aby:ABAYE1279
ko:K09117	aby:ABAYE1285
ko:K06923	aby:ABAYE1290
ko:K03312	aby:ABAYE1309
ko:K07346	aby:ABAYE1322
ko:K07347	aby:ABAYE1323
ko:K03762	aby:ABAYE1328
ko:K07090	aby:ABAYE1988
ko:K02503	aby:ABAYE1978
ko:K09747	aby:ABAYE1967
ko:K06187	aby:ABAYE1966
ko:K09902	aby:ABAYE1960
ko:K01252	aby:ABAYE1097
ko:K00343	aby:ABAYE3048
ko:K00342	aby:ABAYE3049
ko:K00341	aby:ABAYE3050
ko:K00340	aby:ABAYE3051
ko:K00339	aby:ABAYE3052
ko:K00338	aby:ABAYE3053
ko:K00337	aby:ABAYE3054
ko:K00336	aby:ABAYE3055
ko:K00335	aby:ABAYE3056
ko:K00334	aby:ABAYE3057
ko:K00331	aby:ABAYE3059
ko:K00330	aby:ABAYE3060
ko:K02528	aby:ABAYE0490
ko:K01889	aby:ABAYE3160
ko:K03830	aby:ABAYE3571
ko:K03655	aby:ABAYE3629
ko:K00537	aby:ABAYE3656
ko:K01628	aby:ABAYE3670
ko:K07273	aby:ABAYE3686
ko:K09768	aby:ABAYE0880
ko:K09808	aby:ABAYE0882
ko:K09810	aby:ABAYE0883
ko:K02238	aby:ABAYE0884
ko:K03646	aby:ABAYE0904
ko:K03560	aby:ABAYE0905
ko:K03562	aby:ABAYE0906
ko:K03551	aby:ABAYE0909
ko:K03550	aby:ABAYE0910
ko:K07552	aby:ABAYE0913
ko:K03564	aby:ABAYE0918
ko:K06920	aby:ABAYE0921
ko:K10026	aby:ABAYE0922
ko:K02045	aby:ABAYE0926
ko:K02047	aby:ABAYE0927
ko:K03694	aby:ABAYE1656
ko:K07043	aby:ABAYE1651
ko:K03499	aby:ABAYE1648
ko:K06972	aby:ABAYE1645
ko:K09909	aby:ABAYE1634
ko:K03311	aby:ABAYE1619
ko:K09912	aby:ABAYE2099
ko:K02437	aby:ABAYE2103
ko:K03719	aby:ABAYE2106
ko:K07113	aby:ABAYE2121
ko:K03823	aby:ABAYE2123
ko:K06925	aby:ABAYE1446
ko:K03572	aby:ABAYE1447
ko:K01951	aby:ABAYE1456
ko:K07346	aby:ABAYE1471
ko:K03750	aby:ABAYE1553
ko:K07235	aby:ABAYE1561
ko:K07712	aby:ABAYE1573
ko:K01031	aby:ABAYE1673
ko:K03785	aby:ABAYE1682
ko:K01032	aby:ABAYE1716
ko:K00433	aby:ABAYE1730
ko:K02017	aby:ABAYE1892
ko:K01118	aby:ABAYE1933
ko:K02233	aby:ABAYE1990
ko:K00537	aby:ABAYE2200
ko:K07277	aby:ABAYE1583
ko:K06142	aby:ABAYE1584
ko:K03553	aby:ABAYE1590
ko:K04762	aby:ABAYE1591
ko:K03561	aby:ABAYE2080
ko:K03497	aby:ABAYE2081
ko:K03496	aby:ABAYE2082
ko:K07102	aby:ABAYE2085
ko:K09966	aby:ABAYE2091
ko:K03387	aby:ABAYE2194
ko:K02473	aby:ABAYE3814
ko:K02676	aby:ABAYE2074
ko:K03424	aby:ABAYE2073
ko:K02456	aby:ABAYE2071
ko:K02458	aby:ABAYE2070
ko:K02459	aby:ABAYE2069
ko:K02460	aby:ABAYE2068
ko:K01737	aby:ABAYE2067
ko:K01028	aby:ABAYE1913
ko:K01029	aby:ABAYE1914
ko:K05788	aby:ABAYE2060
ko:K03832	aby:ABAYE2047
ko:K02033	aby:ABAYE2042
