ko:K19271	cjq:UC78_1474
ko:K00615	cjq:UC78_1579
ko:K02066	cjq:UC78_1580
ko:K00826	cjq:UC78_0256
ko:K01821	cjq:UC78_0257
ko:K03564	cjq:UC78_0258
ko:K09765	cjq:UC78_0259
ko:K02372	cjq:UC78_0260
ko:K00677	cjq:UC78_0261
ko:K03544	cjq:UC78_0262
ko:K03569	cjq:UC78_0263
ko:K03570	cjq:UC78_0264
ko:K01955	cjq:UC78_0265
ko:K00616	cjq:UC78_0267
ko:K01079	cjq:UC78_0268
ko:K03408	cjq:UC78_0269
ko:K03407	cjq:UC78_0270
ko:K03415	cjq:UC78_0271
ko:K03269	cjq:UC78_0272
ko:K03624	cjq:UC78_0273
ko:K00748	cjq:UC78_0274
ko:K07316	cjq:UC78_0277
ko:K01156	cjq:UC78_0278
ko:K11382	cjq:UC78_0280
ko:K03787	cjq:UC78_0281
ko:K03830	cjq:UC78_0283
ko:K01579	cjq:UC78_0284
ko:K01918	cjq:UC78_0285
ko:K00606	cjq:UC78_0286
ko:K07052	cjq:UC78_0288
ko:K02017	cjq:UC78_0289
ko:K02018	cjq:UC78_0290
ko:K02020	cjq:UC78_0292
ko:K02169	cjq:UC78_0293
ko:K09789	cjq:UC78_0294
ko:K00652	cjq:UC78_0295
ko:K00833	cjq:UC78_0296
ko:K01935	cjq:UC78_0297
ko:K18925	cjq:UC78_0298
ko:K18924	cjq:UC78_0299
ko:K02897	cjq:UC78_0300
ko:K01056	cjq:UC78_0301
ko:K11720	cjq:UC78_0302
ko:K01586	cjq:UC78_0303
ko:K02566	cjq:UC78_0304
ko:K14170	cjq:UC78_0305
ko:K02343	cjq:UC78_1110
ko:K01533	cjq:UC78_1112
ko:K16264	cjq:UC78_1114
ko:K09981	cjq:UC78_1115
ko:K00016	cjq:UC78_1118
ko:K03768	cjq:UC78_1122
ko:K11743	cjq:UC78_1124
ko:K11742	cjq:UC78_1125
ko:K01887	cjq:UC78_1126
ko:K03116	cjq:UC78_1127
ko:K00942	cjq:UC78_1128
ko:K02421	cjq:UC78_1130
ko:K02003	cjq:UC78_1131
ko:K02357	cjq:UC78_1132
ko:K02967	cjq:UC78_1133
ko:K00574	cjq:UC78_1134
ko:K00413	cjq:UC78_1135
ko:K00412	cjq:UC78_1136
ko:K00411	cjq:UC78_1137
ko:K03893	cjq:UC78_1138
ko:K03495	cjq:UC78_1139
ko:K11103	cjq:UC78_1143
ko:K03306	cjq:UC78_1145
ko:K01465	cjq:UC78_1146
ko:K00057	cjq:UC78_1147
ko:K02434	cjq:UC78_1148
ko:K07173	cjq:UC78_1149
ko:K02073	cjq:UC78_1151
ko:K00549	cjq:UC78_1152
ko:K00297	cjq:UC78_1153
ko:K02108	cjq:UC78_1154
ko:K04485	cjq:UC78_1155
ko:K03110	cjq:UC78_1156
ko:K18682	cjq:UC78_1158
ko:K02238	cjq:UC78_1160
ko:K07058	cjq:UC78_1161
ko:K02573	cjq:UC78_0744
ko:K02574	cjq:UC78_0745
ko:K02568	cjq:UC78_0746
ko:K02570	cjq:UC78_0748
ko:K00974	cjq:UC78_0752
ko:K01433	cjq:UC78_0753
ko:K06921	cjq:UC78_0755
ko:K01929	cjq:UC78_0758
ko:K01921	cjq:UC78_0761
ko:K03550	cjq:UC78_0762
ko:K03980	cjq:UC78_0764
ko:K01883	cjq:UC78_0765
ko:K11085	cjq:UC78_0766
ko:K00254	cjq:UC78_0767
ko:K01714	cjq:UC78_0769
ko:K00076	cjq:UC78_0770
ko:K01916	cjq:UC78_0773
ko:K00912	cjq:UC78_0774
ko:K01733	cjq:UC78_0775
ko:K00979	cjq:UC78_0776
ko:K02030	cjq:UC78_0778
ko:K02419	cjq:UC78_0779
ko:K04042	cjq:UC78_0780
ko:K13038	cjq:UC78_0781
ko:K00806	cjq:UC78_0783
ko:K02654	cjq:UC78_0784
ko:K07091	cjq:UC78_0786
ko:K06173	cjq:UC78_0787
ko:K01754	cjq:UC78_0788
ko:K06929	cjq:UC78_0789
ko:K09943	cjq:UC78_0790
ko:K00557	cjq:UC78_0791
ko:K01682	cjq:UC78_0796
ko:K02065	cjq:UC78_1581
ko:K02067	cjq:UC78_1582
ko:K18480	cjq:UC78_1583
ko:K01265	cjq:UC78_1585
ko:K01776	cjq:UC78_1586
ko:K03313	cjq:UC78_1588
ko:K03313	cjq:UC78_1589
ko:K07243	cjq:UC78_1592
ko:K07230	cjq:UC78_1593
ko:K02004	cjq:UC78_1595
ko:K02004	cjq:UC78_1596
ko:K02003	cjq:UC78_1597
ko:K01689	cjq:UC78_1610
ko:K11785	cjq:UC78_1612
ko:K02420	cjq:UC78_1613
ko:K00075	cjq:UC78_1614
ko:K01082	cjq:UC78_1616
ko:K01647	cjq:UC78_1617
ko:K01012	cjq:UC78_1619
ko:K03168	cjq:UC78_1620
ko:K06978	cjq:UC78_1622
ko:K03076	cjq:UC78_1624
ko:K02876	cjq:UC78_1625
ko:K02988	cjq:UC78_1626
ko:K02881	cjq:UC78_1627
ko:K02933	cjq:UC78_1628
ko:K02994	cjq:UC78_1629
ko:K02954	cjq:UC78_1630
ko:K02931	cjq:UC78_1631
ko:K02895	cjq:UC78_1632
ko:K02874	cjq:UC78_1633
ko:K02961	cjq:UC78_1634
ko:K02904	cjq:UC78_1635
ko:K00817	cjq:UC78_0306
ko:K02409	cjq:UC78_0307
ko:K02410	cjq:UC78_0308
ko:K02411	cjq:UC78_0309
ko:K01662	cjq:UC78_0310
ko:K09825	cjq:UC78_0311
ko:K03183	cjq:UC78_0313
ko:K03601	cjq:UC78_0314
ko:K00831	cjq:UC78_0315
ko:K00648	cjq:UC78_0317
ko:K03621	cjq:UC78_0318
ko:K02911	cjq:UC78_0319
ko:K00940	cjq:UC78_0321
ko:K03386	cjq:UC78_0323
ko:K02401	cjq:UC78_0324
ko:K02557	cjq:UC78_0325
ko:K02556	cjq:UC78_0326
ko:K08173	cjq:UC78_0328
ko:K03701	cjq:UC78_0331
ko:K07090	cjq:UC78_0332
ko:K01657	cjq:UC78_0333
ko:K13497	cjq:UC78_0334
ko:K01817	cjq:UC78_0335
ko:K01696	cjq:UC78_0336
ko:K01695	cjq:UC78_0337
ko:K02417	cjq:UC78_0339
ko:K01524	cjq:UC78_0341
ko:K01633	cjq:UC78_0344
ko:K08591	cjq:UC78_0345
ko:K00428	cjq:UC78_0346
ko:K03431	cjq:UC78_0347
ko:K03101	cjq:UC78_0348
ko:K08973	cjq:UC78_0349
ko:K18139	cjq:UC78_0352
ko:K18138	cjq:UC78_0353
ko:K03585	cjq:UC78_0354
ko:K18992	cjq:UC78_0355
ko:K02970	cjq:UC78_0357
ko:K00104	cjq:UC78_1162
ko:K05810	cjq:UC78_1166
ko:K00793	cjq:UC78_1167
ko:K04078	cjq:UC78_1169
ko:K04077	cjq:UC78_1170
ko:K02484	cjq:UC78_1171
ko:K02484	cjq:UC78_1176
ko:K05516	cjq:UC78_1179
ko:K13640	cjq:UC78_1180
ko:K03455	cjq:UC78_1181
ko:K01091	cjq:UC78_1183
ko:K01879	cjq:UC78_1184
ko:K01524	cjq:UC78_1187
ko:K03474	cjq:UC78_1188
ko:K00097	cjq:UC78_1189
ko:K01599	cjq:UC78_1194
ko:K03703	cjq:UC78_1198
ko:K01951	cjq:UC78_1200
ko:K01945	cjq:UC78_1202
ko:K04744	cjq:UC78_1204
ko:K00962	cjq:UC78_1205
ko:K01104	cjq:UC78_1209
ko:K03686	cjq:UC78_1211
ko:K02484	cjq:UC78_1213
ko:K06187	cjq:UC78_1214
ko:K03605	cjq:UC78_1215
ko:K00567	cjq:UC78_0797
ko:K01772	cjq:UC78_0798
ko:K01874	cjq:UC78_0799
ko:K03841	cjq:UC78_0801
ko:K03753	cjq:UC78_0802
ko:K08309	cjq:UC78_0804
ko:K02221	cjq:UC78_0805
ko:K01885	cjq:UC78_0806
ko:K07098	cjq:UC78_0807
ko:K01613	cjq:UC78_0808
ko:K04061	cjq:UC78_0809
ko:K01845	cjq:UC78_0814
ko:K01491	cjq:UC78_0816
ko:K03100	cjq:UC78_0817
ko:K03750	cjq:UC78_0818
ko:K00790	cjq:UC78_0819
ko:K01664	cjq:UC78_0822
ko:K03342	cjq:UC78_0823
ko:K04763	cjq:UC78_0824
ko:K03673	cjq:UC78_0825
ko:K03611	cjq:UC78_0826
ko:K03673	cjq:UC78_0829
ko:K02400	cjq:UC78_0836
ko:K02956	cjq:UC78_0838
ko:K03466	cjq:UC78_0839
ko:K02397	cjq:UC78_0840
ko:K15738	cjq:UC78_0843
ko:K00058	cjq:UC78_0846
ko:K02945	cjq:UC78_0848
ko:K03527	cjq:UC78_0849
ko:K02878	cjq:UC78_1636
ko:K02982	cjq:UC78_1637
ko:K02890	cjq:UC78_1638
ko:K02965	cjq:UC78_1639
ko:K02886	cjq:UC78_1640
ko:K02892	cjq:UC78_1641
ko:K02926	cjq:UC78_1642
ko:K02906	cjq:UC78_1643
ko:K02946	cjq:UC78_1644
ko:K06178	cjq:UC78_1645
ko:K12574	cjq:UC78_1646
ko:K02528	cjq:UC78_1647
ko:K06941	cjq:UC78_1649
ko:K01704	cjq:UC78_1656
ko:K01703	cjq:UC78_1657
ko:K00052	cjq:UC78_1658
ko:K01649	cjq:UC78_1659
ko:K09457	cjq:UC78_1662
ko:K02390	cjq:UC78_1663
ko:K01159	cjq:UC78_1664
ko:K09767	cjq:UC78_0361
ko:K17247	cjq:UC78_0365
ko:K01591	cjq:UC78_0367
ko:K03625	cjq:UC78_0368
ko:K00794	cjq:UC78_0369
ko:K01627	cjq:UC78_0370
ko:K03977	cjq:UC78_0372
ko:K00891	cjq:UC78_0373
ko:K01867	cjq:UC78_0374
ko:K01875	cjq:UC78_0375
ko:K00873	cjq:UC78_0378
ko:K00116	cjq:UC78_0379
ko:K03525	cjq:UC78_0380
ko:K02435	cjq:UC78_0384
ko:K03558	cjq:UC78_0385
ko:K03711	cjq:UC78_0386
ko:K04567	cjq:UC78_0387
ko:K00600	cjq:UC78_0388
ko:K03749	cjq:UC78_0390
ko:K00014	cjq:UC78_0391
ko:K13292	cjq:UC78_0393
ko:K00246	cjq:UC78_0394
ko:K00244	cjq:UC78_0395
ko:K00245	cjq:UC78_0396
ko:K07126	cjq:UC78_0399
ko:K06152	cjq:UC78_0400
ko:K06151	cjq:UC78_0401
ko:K03620	cjq:UC78_1216
ko:K05922	cjq:UC78_1217
ko:K05927	cjq:UC78_1218
ko:K15461	cjq:UC78_1219
ko:K01448	cjq:UC78_1220
ko:K00459	cjq:UC78_1221
ko:K01866	cjq:UC78_1222
ko:K03060	cjq:UC78_1224
ko:K09903	cjq:UC78_1225
ko:K09811	cjq:UC78_1227
ko:K09812	cjq:UC78_1228
ko:K03439	cjq:UC78_1229
ko:K06180	cjq:UC78_1231
ko:K05837	cjq:UC78_1232
ko:K03498	cjq:UC78_1235
ko:K03499	cjq:UC78_1236
ko:K11782	cjq:UC78_1237
ko:K00761	cjq:UC78_1238
ko:K00029	cjq:UC78_1239
ko:K01885	cjq:UC78_1240
ko:K01961	cjq:UC78_1242
ko:K02160	cjq:UC78_1243
ko:K01494	cjq:UC78_1244
ko:K15894	cjq:UC78_1245
ko:K15895	cjq:UC78_1246
ko:K00662	cjq:UC78_1248
ko:K00648	cjq:UC78_1252
ko:K15897	cjq:UC78_1261
ko:K15896	cjq:UC78_1262
ko:K02500	cjq:UC78_1263
ko:K02501	cjq:UC78_1264
ko:K00800	cjq:UC78_0850
ko:K01890	cjq:UC78_0851
ko:K01889	cjq:UC78_0852
ko:K02503	cjq:UC78_0853
ko:K03152	cjq:UC78_0854
ko:K02029	cjq:UC78_0856
ko:K02028	cjq:UC78_0857
ko:K03310	cjq:UC78_0858
ko:K03216	cjq:UC78_0859
ko:K01775	cjq:UC78_0860
ko:K07152	cjq:UC78_0865
ko:K01738	cjq:UC78_0866
ko:K03530	cjq:UC78_0867
ko:K10806	cjq:UC78_0869
ko:K06200	cjq:UC78_0871
ko:K00948	cjq:UC78_0872
ko:K10040	cjq:UC78_0873
ko:K10040	cjq:UC78_0874
ko:K10039	cjq:UC78_0875
ko:K10041	cjq:UC78_0876
ko:K00575	cjq:UC78_0877
ko:K03412	cjq:UC78_0878
ko:K01808	cjq:UC78_0879
ko:K00759	cjq:UC78_0881
ko:K01255	cjq:UC78_0883
ko:K06942	cjq:UC78_0884
ko:K01755	cjq:UC78_0885
ko:K01610	cjq:UC78_0886
ko:K01960	cjq:UC78_0887
ko:K03308	cjq:UC78_0888
ko:K03308	cjq:UC78_0889
ko:K02110	cjq:UC78_0890
ko:K07088	cjq:UC78_0892
ko:K05939	cjq:UC78_0893
ko:K05939	cjq:UC78_0894
ko:K02029	cjq:UC78_0903
ko:K01925	cjq:UC78_0416
ko:K01000	cjq:UC78_0417
ko:K15633	cjq:UC78_0418
ko:K00059	cjq:UC78_0419
ko:K00239	cjq:UC78_0421
ko:K00240	cjq:UC78_0422
ko:K00241	cjq:UC78_0423
ko:K03707	cjq:UC78_0424
ko:K02078	cjq:UC78_0425
ko:K09458	cjq:UC78_0426
ko:K01962	cjq:UC78_0427
ko:K16089	cjq:UC78_0428
ko:K08077	cjq:UC78_0429
ko:K09794	cjq:UC78_0431
ko:K02902	cjq:UC78_0432
ko:K01783	cjq:UC78_0433
ko:K02342	cjq:UC78_0434
ko:K03147	cjq:UC78_0435
ko:K09778	cjq:UC78_0439
ko:K06168	cjq:UC78_0440
ko:K02600	cjq:UC78_0442
ko:K11784	cjq:UC78_0444
ko:K03655	cjq:UC78_0446
ko:K06886	cjq:UC78_0447
ko:K02029	cjq:UC78_0449
ko:K02029	cjq:UC78_0450
ko:K02028	cjq:UC78_0451
ko:K02358	cjq:UC78_0456
ko:K02913	cjq:UC78_0457
ko:K02601	cjq:UC78_0459
ko:K02867	cjq:UC78_0460
ko:K02863	cjq:UC78_0461
ko:K02864	cjq:UC78_0462
ko:K02935	cjq:UC78_0463
ko:K03043	cjq:UC78_0464
ko:K01714	cjq:UC78_0467
ko:K16849	cjq:UC78_0468
ko:K15898	cjq:UC78_1266
ko:K18430	cjq:UC78_1270
ko:K18429	cjq:UC78_1271
ko:K02406	cjq:UC78_1280
ko:K02406	cjq:UC78_1281
ko:K02456	cjq:UC78_1286
ko:K01409	cjq:UC78_1287
ko:K00099	cjq:UC78_1290
ko:K00981	cjq:UC78_1291
ko:K03752	cjq:UC78_1294
ko:K01058	cjq:UC78_1295
ko:K02015	cjq:UC78_1296
ko:K02015	cjq:UC78_1297
ko:K02013	cjq:UC78_1298
ko:K02016	cjq:UC78_1299
ko:K06966	cjq:UC78_0057
ko:K06992	cjq:UC78_0062
ko:K02417	cjq:UC78_0063
ko:K02416	cjq:UC78_0064
ko:K02405	cjq:UC78_0065
ko:K04562	cjq:UC78_0067
ko:K02404	cjq:UC78_0068
ko:K00950	cjq:UC78_0069
ko:K03786	cjq:UC78_0070
ko:K04773	cjq:UC78_0072
ko:K00782	cjq:UC78_0076
ko:K18929	cjq:UC78_0077
ko:K18928	cjq:UC78_0078
ko:K03303	cjq:UC78_0079
ko:K11015	cjq:UC78_0080
ko:K11014	cjq:UC78_0081
ko:K11013	cjq:UC78_0082
ko:K00425	cjq:UC78_0084
ko:K00426	cjq:UC78_0085
ko:K01779	cjq:UC78_0086
ko:K03648	cjq:UC78_0087
ko:K01744	cjq:UC78_0088
ko:K02004	cjq:UC78_0904
ko:K03070	cjq:UC78_0905
ko:K03634	cjq:UC78_0906
ko:K12251	cjq:UC78_0910
ko:K03406	cjq:UC78_0914
ko:K00602	cjq:UC78_0915
ko:K05801	cjq:UC78_0916
ko:K01952	cjq:UC78_0917
ko:K03650	cjq:UC78_0918
ko:K06346	cjq:UC78_0919
ko:K03217	cjq:UC78_0920
ko:K03536	cjq:UC78_0922
ko:K02914	cjq:UC78_0923
ko:K07107	cjq:UC78_0927
ko:K15257	cjq:UC78_0934
ko:K01270	cjq:UC78_0938
ko:K02030	cjq:UC78_0940
ko:K09861	cjq:UC78_0942
ko:K00611	cjq:UC78_0950
ko:K03385	cjq:UC78_1302
ko:K15876	cjq:UC78_1303
ko:K00937	cjq:UC78_1304
ko:K03407	cjq:UC78_1309
ko:K03551	cjq:UC78_1310
ko:K01679	cjq:UC78_1312
ko:K00820	cjq:UC78_1313
ko:K00990	cjq:UC78_1314
ko:K18285	cjq:UC78_1315
ko:K06901	cjq:UC78_1316
ko:K00769	cjq:UC78_1317
ko:K04754	cjq:UC78_1318
ko:K01698	cjq:UC78_0951
ko:K01497	cjq:UC78_0952
ko:K03501	cjq:UC78_0953
ko:K03086	cjq:UC78_0957
ko:K07791	cjq:UC78_0089
ko:K09859	cjq:UC78_0090
ko:K07337	cjq:UC78_0092
ko:K02888	cjq:UC78_0096
ko:K02899	cjq:UC78_0097
ko:K03979	cjq:UC78_0098
ko:K00931	cjq:UC78_0099
ko:K00604	cjq:UC78_0100
ko:K03524	cjq:UC78_0101
ko:K03496	cjq:UC78_0102
ko:K03497	cjq:UC78_0103
ko:K02109	cjq:UC78_0104
ko:K02109	cjq:UC78_0105
ko:K02113	cjq:UC78_0106
ko:K02111	cjq:UC78_0107
ko:K02115	cjq:UC78_0108
ko:K02112	cjq:UC78_0109
ko:K02114	cjq:UC78_0110
ko:K03559	cjq:UC78_0112
ko:K03832	cjq:UC78_0113
ko:K03641	cjq:UC78_0114
ko:K03640	cjq:UC78_0115
ko:K03775	cjq:UC78_0117
ko:K00645	cjq:UC78_0118
ko:K18284	cjq:UC78_0119
ko:K07042	cjq:UC78_0123
ko:K05540	cjq:UC78_0125
ko:K06204	cjq:UC78_0127
ko:K00783	cjq:UC78_0128
ko:K01963	cjq:UC78_0129
ko:K01092	cjq:UC78_0130
ko:K07277	cjq:UC78_0131
ko:K04517	cjq:UC78_0132
ko:K02535	cjq:UC78_0134
ko:K00872	cjq:UC78_0136
ko:K02519	cjq:UC78_0138
ko:K02834	cjq:UC78_0139
ko:K09748	cjq:UC78_0140
ko:K07452	cjq:UC78_0141
ko:K19147	cjq:UC78_0142
ko:K09816	cjq:UC78_0143
ko:K08296	cjq:UC78_0958
ko:K01735	cjq:UC78_0964
ko:K09944	cjq:UC78_0965
ko:K00773	cjq:UC78_0966
ko:K01996	cjq:UC78_0971
ko:K01995	cjq:UC78_0972
ko:K01998	cjq:UC78_0973
ko:K01997	cjq:UC78_0974
ko:K01999	cjq:UC78_0975
ko:K01999	cjq:UC78_0976
ko:K00133	cjq:UC78_0980
ko:K09860	cjq:UC78_0983
ko:K02469	cjq:UC78_0984
ko:K02242	cjq:UC78_0985
ko:K03596	cjq:UC78_0987
ko:K03686	cjq:UC78_0991
ko:K01959	cjq:UC78_0994
ko:K03588	cjq:UC78_0995
ko:K02563	cjq:UC78_0996
ko:K03449	cjq:UC78_0997
ko:K00788	cjq:UC78_1000
ko:K03150	cjq:UC78_1001
