ko:K18928	but:X994_4295
ko:K08296	but:X994_1286
ko:K08296	but:X994_1287
ko:K01524	but:X994_1297
ko:K00937	but:X994_1298
ko:K07636	but:X994_1299
ko:K07657	but:X994_1300
ko:K02039	but:X994_1301
ko:K02036	but:X994_1302
ko:K02038	but:X994_1303
ko:K02037	but:X994_1304
ko:K02040	but:X994_1305
ko:K03431	but:X994_1306
ko:K00796	but:X994_1307
ko:K03798	but:X994_1308
ko:K02055	but:X994_1423
ko:K02053	but:X994_1424
ko:K02053	but:X994_1426
ko:K02052	but:X994_1427
ko:K03147	but:X994_1437
ko:K04062	but:X994_1438
ko:K15034	but:X994_1443
ko:K03581	but:X994_1444
ko:K03582	but:X994_1445
ko:K03583	but:X994_1446
ko:K16234	but:X994_1448
ko:K02012	but:X994_1450
ko:K02011	but:X994_1451
ko:K02010	but:X994_1452
ko:K05800	but:X994_1453
ko:K07118	but:X994_1455
ko:K07093	but:X994_1458
ko:K07799	but:X994_1460
ko:K07788	but:X994_1461
ko:K07789	but:X994_1462
ko:K09989	but:X994_1620
ko:K05782	but:X994_1621
ko:K00616	but:X994_1622
ko:K04750	but:X994_1623
ko:K03307	but:X994_1624
ko:K03181	but:X994_1628
ko:K04079	but:X994_1629
ko:K05825	but:X994_1633
ko:K07240	but:X994_1637
ko:K06016	but:X994_1639
ko:K02621	but:X994_1645
ko:K02622	but:X994_1646
ko:K15738	but:X994_1647
ko:K02518	but:X994_1652
ko:K06910	but:X994_1689
ko:K08169	but:X994_1690
ko:K00697	but:X994_1693
ko:K02049	but:X994_1696
ko:K02050	but:X994_1697
ko:K07638	but:X994_1700
ko:K07659	but:X994_1701
ko:K06911	but:X994_1703
ko:K10014	but:X994_1704
ko:K10016	but:X994_1705
ko:K10015	but:X994_1706
ko:K10017	but:X994_1707
ko:K04751	but:X994_1709
ko:K01950	but:X994_1710
ko:K09919	but:X994_1711
ko:K07461	but:X994_1713
ko:K01507	but:X994_1714
ko:K00128	but:X994_1715
ko:K00059	but:X994_1716
ko:K02498	but:X994_1718
ko:K01749	but:X994_1720
ko:K01595	but:X994_1721
ko:K07346	but:X994_1726
ko:K07347	but:X994_1727
ko:K01755	but:X994_1728
ko:K01584	but:X994_1731
ko:K01494	but:X994_1732
ko:K03593	but:X994_1734
ko:K01874	but:X994_1736
ko:K09800	but:X994_1739
ko:K05896	but:X994_1742
ko:K01918	but:X994_1743
ko:K01579	but:X994_1744
ko:K15977	but:X994_1746
ko:K02232	but:X994_1747
ko:K02231	but:X994_1748
ko:K02227	but:X994_1749
ko:K02225	but:X994_1750
ko:K02016	but:X994_1751
ko:K02226	but:X994_1753
ko:K02233	but:X994_1754
ko:K00768	but:X994_1755
ko:K02013	but:X994_1756
ko:K02015	but:X994_1757
ko:K16092	but:X994_1758
ko:K09888	but:X994_1760
ko:K13292	but:X994_1763
ko:K01687	but:X994_1765
ko:K08738	but:X994_1766
ko:K02339	but:X994_1768
ko:K01255	but:X994_1769
ko:K07091	but:X994_1770
ko:K11720	but:X994_1771
ko:K02303	but:X994_1773
ko:K00956	but:X994_1774
ko:K00957	but:X994_1775
ko:K00390	but:X994_1776
ko:K00381	but:X994_1778
ko:K13634	but:X994_1779
ko:K01628	but:X994_1794
ko:K01714	but:X994_1795
ko:K07156	but:X994_1800
ko:K06183	but:X994_1801
ko:K00523	but:X994_1804
ko:K01996	but:X994_1808
ko:K01995	but:X994_1809
ko:K01998	but:X994_1810
ko:K01997	but:X994_1811
ko:K03527	but:X994_1813
ko:K03774	but:X994_1814
ko:K03630	but:X994_1815
ko:K02902	but:X994_1816
ko:K02913	but:X994_1817
ko:K00278	but:X994_1818
ko:K00767	but:X994_1819
ko:K03517	but:X994_1820
ko:K03500	but:X994_1823
ko:K11175	but:X994_1824
ko:K11753	but:X994_1825
ko:K01870	but:X994_1826
ko:K03101	but:X994_1827
ko:K13038	but:X994_1828
ko:K03694	but:X994_1833
ko:K06891	but:X994_1834
ko:K03704	but:X994_1835
ko:K00031	but:X994_1837
ko:K06181	but:X994_1838
ko:K09005	but:X994_1839
ko:K02355	but:X994_1840
ko:K01647	but:X994_1846
ko:K03710	but:X994_1844
ko:K00077	but:X994_1850
ko:K07240	but:X994_1853
ko:K04564	but:X994_1856
ko:K03601	but:X994_1857
ko:K00912	but:X994_1858
ko:K09791	but:X994_1859
ko:K00979	but:X994_1860
ko:K00939	but:X994_1861
ko:K03980	but:X994_1864
ko:K02968	but:X994_1865
ko:K00075	but:X994_1868
ko:K09767	but:X994_1869
ko:K08591	but:X994_1870
ko:K04763	but:X994_1873
ko:K00567	but:X994_1874
ko:K06925	but:X994_1876
ko:K01448	but:X994_1877
ko:K15268	but:X994_1878
ko:K06911	but:X994_1879
ko:K05838	but:X994_1880
ko:K00275	but:X994_1882
ko:K00574	but:X994_1883
ko:K07304	but:X994_1885
ko:K07130	but:X994_1888
ko:K01556	but:X994_1889
ko:K00453	but:X994_1890
ko:K08195	but:X994_1891
ko:K00077	but:X994_1892
ko:K00141	but:X994_1893
ko:K01576	but:X994_1894
ko:K00826	but:X994_1943
ko:K02843	but:X994_1945
ko:K07019	but:X994_1947
ko:K03637	but:X994_1950
ko:K03832	but:X994_1951
ko:K01902	but:X994_1956
ko:K01903	but:X994_1957
ko:K03565	but:X994_1959
ko:K07649	but:X994_1962
ko:K00800	but:X994_1967
ko:K00027	but:X994_1973
ko:K01434	but:X994_1984
ko:K11896	but:X994_1986
ko:K00156	but:X994_1991
ko:K02275	but:X994_1992
ko:K15408	but:X994_1993
ko:K07043	but:X994_2051
ko:K01759	but:X994_2052
ko:K02528	but:X994_2054
ko:K00097	but:X994_2055
ko:K03771	but:X994_2056
ko:K04744	but:X994_2057
ko:K07102	but:X994_2058
ko:K06147	but:X994_2060
ko:K10806	but:X994_2061
ko:K02379	but:X994_2063
ko:K07516	but:X994_2066
ko:K08310	but:X994_2070
ko:K01876	but:X994_2071
ko:K03688	but:X994_2075
ko:K03690	but:X994_2076
ko:K03183	but:X994_2078
ko:K01754	but:X994_2082
ko:K06879	but:X994_2083
ko:K06015	but:X994_2085
ko:K01753	but:X994_2087
ko:K05520	but:X994_2088
ko:K01991	but:X994_2096
ko:K03606	but:X994_2097
ko:K03270	but:X994_2156
ko:K06041	but:X994_2155
ko:K11719	but:X994_2157
ko:K09774	but:X994_2158
ko:K06861	but:X994_2159
ko:K03092	but:X994_2161
ko:K05808	but:X994_2162
ko:K02806	but:X994_2163
ko:K06023	but:X994_2164
ko:K06958	but:X994_2165
ko:K07157	but:X994_2166
ko:K03575	but:X994_2167
ko:K10563	but:X994_2168
ko:K02494	but:X994_2170
ko:K00919	but:X994_2171
ko:K00948	but:X994_2173
ko:K02897	but:X994_2174
ko:K01056	but:X994_2175
ko:K00817	but:X994_2176
ko:K00954	but:X994_2178
ko:K03110	but:X994_2180
ko:K00362	but:X994_2182
ko:K00363	but:X994_2183
ko:K00372	but:X994_2184
ko:K01649	but:X994_2187
ko:K03089	but:X994_2190
ko:K00425	but:X994_2192
ko:K00426	but:X994_2193
ko:K12373	but:X994_2196
ko:K02803	but:X994_2197
ko:K02804	but:X994_2197
ko:K02768	but:X994_2198
ko:K08483	but:X994_2198
ko:K11183	but:X994_2198
ko:K01443	but:X994_2200
ko:K03710	but:X994_2201
ko:K00548	but:X994_2312
ko:K00548	but:X994_2313
ko:K01887	but:X994_2315
ko:K03673	but:X994_2317
ko:K12368	but:X994_2321
ko:K00906	but:X994_2324
ko:K01673	but:X994_2325
ko:K00626	but:X994_2326
ko:K09858	but:X994_2328
ko:K00833	but:X994_2330
ko:K00652	but:X994_2331
ko:K01935	but:X994_2332
ko:K01012	but:X994_2333
ko:K06201	but:X994_2334
ko:K01077	but:X994_2336
ko:K01077	but:X994_2337
ko:K03316	but:X994_2340
ko:K04090	but:X994_2341
ko:K08715	but:X994_2342
ko:K02048	but:X994_2345
ko:K01714	but:X994_2349
ko:K01114	but:X994_2357
ko:K07002	but:X994_2359
ko:K06991	but:X994_2360
ko:K12972	but:X994_2361
ko:K01640	but:X994_2362
ko:K06160	but:X994_949
ko:K02016	but:X994_951
ko:K13255	but:X994_952
ko:K02015	but:X994_953
ko:K02013	but:X994_954
ko:K03088	but:X994_957
ko:K00854	but:X994_959
ko:K00008	but:X994_960
ko:K10440	but:X994_961
ko:K10441	but:X994_962
ko:K10439	but:X994_963
ko:K07345	but:X994_969
ko:K07346	but:X994_970
ko:K07347	but:X994_971
ko:K07345	but:X994_972
ko:K18095	but:X994_974
ko:K18094	but:X994_975
ko:K18129	but:X994_976
ko:K02029	but:X994_978
ko:K02029	but:X994_979
ko:K02030	but:X994_980
ko:K12511	but:X994_984
ko:K02283	but:X994_986
ko:K02282	but:X994_987
ko:K02280	but:X994_989
ko:K02279	but:X994_990
ko:K02278	but:X994_991
ko:K02651	but:X994_992
ko:K02050	but:X994_993
ko:K02049	but:X994_994
ko:K11066	but:X994_1047
ko:K03218	but:X994_1048
ko:K12573	but:X994_1049
ko:K03406	but:X994_1052
ko:K01114	but:X994_1053
ko:K08178	but:X994_1058
ko:K01897	but:X994_1060
ko:K03666	but:X994_1063
ko:K12511	but:X994_1069
ko:K12510	but:X994_1070
ko:K02283	but:X994_1071
ko:K02280	but:X994_1074
ko:K02279	but:X994_1075
ko:K02278	but:X994_1077
ko:K02651	but:X994_1078
ko:K06916	but:X994_1084
ko:K00382	but:X994_1085
ko:K00658	but:X994_1086
ko:K00164	but:X994_1087
ko:K06207	but:X994_1088
ko:K03543	but:X994_1091
ko:K03446	but:X994_1092
ko:K03177	but:X994_1093
ko:K02834	but:X994_1094
ko:K02519	but:X994_1095
ko:K02600	but:X994_1096
ko:K09748	but:X994_1097
ko:K06178	but:X994_1098
ko:K03406	but:X994_1155
ko:K08223	but:X994_1156
ko:K01243	but:X994_1157
ko:K03657	but:X994_1158
ko:K01873	but:X994_1159
ko:K00963	but:X994_1160
ko:K00010	but:X994_1167
ko:K00010	but:X994_1168
ko:K02058	but:X994_1170
ko:K02057	but:X994_1171
ko:K02056	but:X994_1172
ko:K03338	but:X994_1173
ko:K03336	but:X994_1174
ko:K03335	but:X994_1175
ko:K03337	but:X994_1176
ko:K01996	but:X994_1177
ko:K01995	but:X994_1178
ko:K01998	but:X994_1178
ko:K01997	but:X994_1179
ko:K07107	but:X994_1180
ko:K01872	but:X994_1188
ko:K04062	but:X994_1190
ko:K01886	but:X994_1191
ko:K01207	but:X994_1194
ko:K00428	but:X994_1196
ko:K00209	but:X994_1198
ko:K03543	but:X994_1199
ko:K03446	but:X994_1200
ko:K02427	but:X994_1309
ko:K03624	but:X994_1312
ko:K01955	but:X994_1313
ko:K11250	but:X994_1314
ko:K01956	but:X994_1315
ko:K08307	but:X994_1319
ko:K01069	but:X994_1320
ko:K03469	but:X994_1322
ko:K02342	but:X994_1323
ko:K09771	but:X994_1324
ko:K03762	but:X994_1325
ko:K00645	but:X994_1330
ko:K13930	but:X994_1331
ko:K13934	but:X994_1332
ko:K13933	but:X994_1333
ko:K13932	but:X994_1334
ko:K13931	but:X994_1335
ko:K13929	but:X994_1336
ko:K01596	but:X994_1341
ko:K00381	but:X994_1348
ko:K09965	but:X994_1353
ko:K11159	but:X994_1354
ko:K00820	but:X994_1355
ko:K00375	but:X994_1358
ko:K02274	but:X994_1468
ko:K02275	but:X994_1469
ko:K15553	but:X994_1475
ko:K00058	but:X994_1477
ko:K01262	but:X994_1480
ko:K09861	but:X994_1493
ko:K14287	but:X994_1495
ko:K00799	but:X994_1496
ko:K01515	but:X994_1508
ko:K00343	but:X994_1510
ko:K00342	but:X994_1511
ko:K00341	but:X994_1512
ko:K00340	but:X994_1513
ko:K00339	but:X994_1514
ko:K00338	but:X994_1515
ko:K00337	but:X994_1516
ko:K15125	but:X994_1680
ko:K07262	but:X994_1683
ko:K08276	but:X994_1684
ko:K00007	but:X994_1896
ko:K00854	but:X994_1897
ko:K10111	but:X994_1903
ko:K10229	but:X994_1905
ko:K10228	but:X994_1906
ko:K10227	but:X994_1907
ko:K16371	but:X994_1908
ko:K00847	but:X994_1909
ko:K09823	but:X994_1911
ko:K02077	but:X994_1912
ko:K02074	but:X994_1913
ko:K02075	but:X994_1914
ko:K01070	but:X994_1915
ko:K00121	but:X994_1916
ko:K00854	but:X994_1918
ko:K18139	but:X994_1920
ko:K18138	but:X994_1922
ko:K03585	but:X994_1923
ko:K03577	but:X994_1924
ko:K02484	but:X994_1929
ko:K07259	but:X994_1931
ko:K07566	but:X994_1934
ko:K01589	but:X994_1935
ko:K01588	but:X994_1936
ko:K01923	but:X994_1937
ko:K01624	but:X994_1938
ko:K00873	but:X994_1939
ko:K00927	but:X994_1940
ko:K00763	but:X994_1998
ko:K02050	but:X994_2001
ko:K02049	but:X994_2002
ko:K06917	but:X994_2004
ko:K11103	but:X994_2007
ko:K03776	but:X994_2009
ko:K01684	but:X994_2016
ko:K07245	but:X994_2017
ko:K11927	but:X994_2020
ko:K00681	but:X994_2023
ko:K02444	but:X994_2024
ko:K00111	but:X994_2027
ko:K00864	but:X994_2028
ko:K02440	but:X994_2029
ko:K00800	but:X994_2031
ko:K00800	but:X994_2032
ko:K01953	but:X994_2033
ko:K02858	but:X994_2037
ko:K06168	but:X994_2041
ko:K07042	but:X994_2043
ko:K07232	but:X994_2044
ko:K06189	but:X994_2045
ko:K03820	but:X994_2046
ko:K01878	but:X994_2047
ko:K01879	but:X994_2048
ko:K03273	but:X994_2049
ko:K00655	but:X994_2050
ko:K01192	but:X994_2104
ko:K09136	but:X994_2115
ko:K03424	but:X994_2136
ko:K03701	but:X994_2148
ko:K01433	but:X994_2150
ko:K00759	but:X994_2153
ko:K03455	but:X994_2154
ko:K01586	but:X994_2210
ko:K01990	but:X994_2217
ko:K01992	but:X994_2218
ko:K00836	but:X994_2220
ko:K14162	but:X994_2224
ko:K14161	but:X994_2225
ko:K14160	but:X994_2226
ko:K05833	but:X994_2227
ko:K05832	but:X994_2228
ko:K01989	but:X994_2229
ko:K02073	but:X994_2230
ko:K03406	but:X994_2232
ko:K07152	but:X994_2234
ko:K02259	but:X994_2236
ko:K02276	but:X994_2240
ko:K02258	but:X994_2242
ko:K02274	but:X994_2243
ko:K02275	but:X994_2244
ko:K02169	but:X994_2246
ko:K03216	but:X994_2248
ko:K00057	but:X994_2250
ko:K03071	but:X994_2251
ko:K01834	but:X994_2254
ko:K03797	but:X994_2255
ko:K08483	but:X994_2257
ko:K07275	but:X994_3455
ko:K04078	but:X994_3461
ko:K04077	but:X994_3462
ko:K00941	but:X994_3463
ko:K07735	but:X994_3466
ko:K07447	but:X994_3467
ko:K02825	but:X994_3468
ko:K00609	but:X994_3469
ko:K01465	but:X994_3470
ko:K00655	but:X994_3471
ko:K01525	but:X994_3472
ko:K00973	but:X994_3474
ko:K01790	but:X994_3475
ko:K00067	but:X994_3476
ko:K17947	but:X994_3480
ko:K01784	but:X994_3485
ko:K01784	but:X994_3489
ko:K15778	but:X994_3493
ko:K02841	but:X994_3494
ko:K02527	but:X994_3496
ko:K03189	but:X994_3497
ko:K03188	but:X994_3498
ko:K03187	but:X994_3499
ko:K01428	but:X994_3500
ko:K01429	but:X994_3501
ko:K01430	but:X994_3502
ko:K03190	but:X994_3503
ko:K11963	but:X994_3504
ko:K11962	but:X994_3505
ko:K00384	but:X994_3555
ko:K03466	but:X994_3556
ko:K03634	but:X994_3557
ko:K07478	but:X994_3558
ko:K01875	but:X994_3560
ko:K03610	but:X994_3565
ko:K03609	but:X994_3566
ko:K03608	but:X994_3567
ko:K02841	but:X994_3571
ko:K03832	but:X994_3574
ko:K02428	but:X994_3579
ko:K00989	but:X994_3580
ko:K00942	but:X994_3582
ko:K03060	but:X994_3583
ko:K04760	but:X994_3587
ko:K03704	but:X994_3590
ko:K02342	but:X994_3591
ko:K04093	but:X994_3592
ko:K02014	but:X994_3595
ko:K03841	but:X994_3602
ko:K03576	but:X994_3603
ko:K00549	but:X994_3604
ko:K01256	but:X994_3605
ko:K01487	but:X994_3608
ko:K02227	but:X994_3663
ko:K06949	but:X994_3665
ko:K06013	but:X994_3666
ko:K13288	but:X994_3667
ko:K03831	but:X994_3668
ko:K09889	but:X994_3669
ko:K03592	but:X994_3670
ko:K01679	but:X994_3682
ko:K03327	but:X994_3683
ko:K14761	but:X994_3684
ko:K05805	but:X994_3687
ko:K05524	but:X994_3691
ko:K00763	but:X994_3692
ko:K00782	but:X994_3693
ko:K09760	but:X994_3696
ko:K03750	but:X994_3699
ko:K03752	but:X994_3700
ko:K03639	but:X994_3701
ko:K08300	but:X994_3702
ko:K06179	but:X994_3703
ko:K01091	but:X994_3704
ko:K04773	but:X994_3706
ko:K07056	but:X994_3707
ko:K06287	but:X994_3708
ko:K07040	but:X994_3709
ko:K02911	but:X994_3710
ko:K03621	but:X994_3711
ko:K00648	but:X994_3712
ko:K00645	but:X994_3713
ko:K03534	but:X994_3774
ko:K18333	but:X994_3775
ko:K18335	but:X994_3777
ko:K07046	but:X994_3778
