ko:K09896	eclo:ENC_00120
ko:K01428	eclo:ENC_33040
ko:K03187	eclo:ENC_33050
ko:K03192	eclo:ENC_33060
ko:K03188	eclo:ENC_33070
ko:K03189	eclo:ENC_33080
ko:K02970	eclo:ENC_33100
ko:K03086	eclo:ENC_33120
ko:K07229	eclo:ENC_33180
ko:K07351	eclo:ENC_33260
ko:K10555	eclo:ENC_33360
ko:K10557	eclo:ENC_33370
ko:K10556	eclo:ENC_33380
ko:K10558	eclo:ENC_33390
ko:K11531	eclo:ENC_33400
ko:K11216	eclo:ENC_33410
ko:K01825	eclo:ENC_47270
ko:K01879	eclo:ENC_47290
ko:K01878	eclo:ENC_47300
ko:K01805	eclo:ENC_47340
ko:K10543	eclo:ENC_47350
ko:K10545	eclo:ENC_47360
ko:K10544	eclo:ENC_47370
ko:K02529	eclo:ENC_47380
ko:K00835	eclo:ENC_47410
ko:K08092	eclo:ENC_47440
ko:K00880	eclo:ENC_47480
ko:K09955	eclo:ENC_47550
ko:K01042	eclo:ENC_47610
ko:K00009	eclo:ENC_47640
ko:K02562	eclo:ENC_47650
ko:K14762	eclo:ENC_47660
ko:K07347	eclo:ENC_47680
ko:K07345	eclo:ENC_47700
ko:K00427	eclo:ENC_47720
ko:K14348	eclo:ENC_47730
ko:K08195	eclo:ENC_47750
ko:K03216	eclo:ENC_47760
ko:K00053	eclo:ENC_47770
ko:K01754	eclo:ENC_47790
ko:K01687	eclo:ENC_47800
ko:K00826	eclo:ENC_47810
ko:K11258	eclo:ENC_47820
ko:K07391	eclo:ENC_47840
ko:K04072	eclo:ENC_07970
ko:K15581	eclo:ENC_08010
ko:K09901	eclo:ENC_08060
ko:K06131	eclo:ENC_08070
ko:K03832	eclo:ENC_08110
ko:K10806	eclo:ENC_08120
ko:K06190	eclo:ENC_08150
ko:K07275	eclo:ENC_08170
ko:K07112	eclo:ENC_08190
ko:K01695	eclo:ENC_08200
ko:K01696	eclo:ENC_08210
ko:K13498	eclo:ENC_08230
ko:K13497	eclo:ENC_08240
ko:K01657	eclo:ENC_08250
ko:K06178	eclo:ENC_08280
ko:K03168	eclo:ENC_08330
ko:K13634	eclo:ENC_08340
ko:K01591	eclo:ENC_08420
ko:K03113	eclo:ENC_08430
ko:K14051	eclo:ENC_08480
ko:K00208	eclo:ENC_08530
ko:K03974	eclo:ENC_08640
ko:K03969	eclo:ENC_08650
ko:K03970	eclo:ENC_08660
ko:K03971	eclo:ENC_08680
ko:K03750	eclo:ENC_18850
ko:K04069	eclo:ENC_18890
ko:K00656	eclo:ENC_18900
ko:K08191	eclo:ENC_18940
ko:K02761	eclo:ENC_18990
ko:K01223	eclo:ENC_19000
ko:K03446	eclo:ENC_19140
ko:K03543	eclo:ENC_19150
ko:K11924	eclo:ENC_19170
ko:K11934	eclo:ENC_19200
ko:K11939	eclo:ENC_19220
ko:K04047	eclo:ENC_19230
ko:K10036	eclo:ENC_19240
ko:K13650	eclo:ENC_19300
ko:K07345	eclo:ENC_19340
ko:K07347	eclo:ENC_19360
ko:K07349	eclo:ENC_19380
ko:K01993	eclo:ENC_19430
ko:K02000	eclo:ENC_29260
ko:K02001	eclo:ENC_29270
ko:K02002	eclo:ENC_29280
ko:K15974	eclo:ENC_29300
ko:K03446	eclo:ENC_29330
ko:K01649	eclo:ENC_29340
ko:K07173	eclo:ENC_29370
ko:K03563	eclo:ENC_29410
ko:K01872	eclo:ENC_29420
ko:K02468	eclo:ENC_29560
ko:K02467	eclo:ENC_29570
ko:K12266	eclo:ENC_29580
ko:K12264	eclo:ENC_29600
ko:K12265	eclo:ENC_29610
ko:K04656	eclo:ENC_29630
ko:K05796	eclo:ENC_29640
ko:K03487	eclo:ENC_29650
ko:K02752	eclo:ENC_29660
ko:K02753	eclo:ENC_29660
ko:K01223	eclo:ENC_29690
ko:K08315	eclo:ENC_29700
ko:K15834	eclo:ENC_29710
ko:K15832	eclo:ENC_29720
ko:K15831	eclo:ENC_29730
ko:K15830	eclo:ENC_29740
ko:K15829	eclo:ENC_29750
ko:K15828	eclo:ENC_29760
ko:K15833	eclo:ENC_29780
ko:K07095	eclo:ENC_39080
ko:K00615	eclo:ENC_39120
ko:K00615	eclo:ENC_39130
ko:K13788	eclo:ENC_39140
ko:K00925	eclo:ENC_39150
ko:K09899	eclo:ENC_39160
ko:K09161	eclo:ENC_39170
ko:K14260	eclo:ENC_39210
ko:K00331	eclo:ENC_39240
ko:K13378	eclo:ENC_39250
ko:K00334	eclo:ENC_39260
ko:K00337	eclo:ENC_39290
ko:K00338	eclo:ENC_39300
ko:K00339	eclo:ENC_39310
ko:K00340	eclo:ENC_39320
ko:K00341	eclo:ENC_39330
ko:K00342	eclo:ENC_39340
ko:K00343	eclo:ENC_39350
ko:K11745	eclo:ENC_45620
ko:K10014	eclo:ENC_38990
ko:K02114	eclo:ENC_04170
ko:K02112	eclo:ENC_04180
ko:K02115	eclo:ENC_04190
ko:K02111	eclo:ENC_04200
ko:K02113	eclo:ENC_04210
ko:K02109	eclo:ENC_04220
ko:K02110	eclo:ENC_04230
ko:K02108	eclo:ENC_04240
ko:K03495	eclo:ENC_04270
ko:K06205	eclo:ENC_04280
ko:K01914	eclo:ENC_04300
ko:K03924	eclo:ENC_04320
ko:K03549	eclo:ENC_04330
ko:K06726	eclo:ENC_04340
ko:K10441	eclo:ENC_04350
ko:K02529	eclo:ENC_04390
ko:K01638	eclo:ENC_04440
ko:K01637	eclo:ENC_04450
ko:K00906	eclo:ENC_04460
ko:K03324	eclo:ENC_04490
ko:K06182	eclo:ENC_04520
ko:K03453	eclo:ENC_04540
ko:K00928	eclo:ENC_04550
ko:K01810	eclo:ENC_04560
ko:K13256	eclo:ENC_04610
ko:K10110	eclo:ENC_04620
ko:K10109	eclo:ENC_04630
ko:K10108	eclo:ENC_04640
ko:K10111	eclo:ENC_04650
ko:K02024	eclo:ENC_04660
ko:K05775	eclo:ENC_04670
ko:K03181	eclo:ENC_04700
ko:K03179	eclo:ENC_04710
ko:K00631	eclo:ENC_04720
ko:K09712	eclo:ENC_14920
ko:K13069	eclo:ENC_14930
ko:K00031	eclo:ENC_14990
ko:K12152	eclo:ENC_15010
ko:K00566	eclo:ENC_15020
ko:K01756	eclo:ENC_15040
ko:K07637	eclo:ENC_15080
ko:K12410	eclo:ENC_15170
ko:K09808	eclo:ENC_15200
ko:K09810	eclo:ENC_15210
ko:K09808	eclo:ENC_15220
ko:K03723	eclo:ENC_15240
ko:K07000	eclo:ENC_15300
ko:K01207	eclo:ENC_15310
ko:K16088	eclo:ENC_15360
ko:K03424	eclo:ENC_15380
ko:K02341	eclo:ENC_15390
ko:K00943	eclo:ENC_15400
ko:K09458	eclo:ENC_15440
ko:K02078	eclo:ENC_15450
ko:K00645	eclo:ENC_15470
ko:K03621	eclo:ENC_15500
ko:K02911	eclo:ENC_15510
ko:K07040	eclo:ENC_15520
ko:K02906	eclo:ENC_25340
ko:K02946	eclo:ENC_25350
ko:K08172	eclo:ENC_41610
ko:K03445	eclo:ENC_03510
ko:K02485	eclo:ENC_07930
ko:K07645	eclo:ENC_32580
ko:K00557	eclo:ENC_01160
ko:K03594	eclo:ENC_25370
ko:K02192	eclo:ENC_25380
ko:K02355	eclo:ENC_25390
ko:K02992	eclo:ENC_25400
ko:K02950	eclo:ENC_25410
ko:K07237	eclo:ENC_25420
ko:K07236	eclo:ENC_25430
ko:K07235	eclo:ENC_25440
ko:K03745	eclo:ENC_25470
ko:K03775	eclo:ENC_25480
ko:K07070	eclo:ENC_25490
ko:K06158	eclo:ENC_25530
ko:K13928	eclo:ENC_25540
ko:K13935	eclo:ENC_25550
ko:K13934	eclo:ENC_25560
ko:K13936	eclo:ENC_25570
ko:K13933	eclo:ENC_25580
ko:K13932	eclo:ENC_25590
ko:K13931	eclo:ENC_25600
ko:K13930	eclo:ENC_25610
ko:K13929	eclo:ENC_25620
ko:K07397	eclo:ENC_25680
ko:K06141	eclo:ENC_25760
ko:K00362	eclo:ENC_25780
ko:K00363	eclo:ENC_25790
ko:K01867	eclo:ENC_25810
ko:K01091	eclo:ENC_25820
ko:K01783	eclo:ENC_25830
ko:K03112	eclo:ENC_25850
ko:K00891	eclo:ENC_25870
ko:K12291	eclo:ENC_25900
ko:K12289	eclo:ENC_25920
ko:K12288	eclo:ENC_25930
ko:K07233	eclo:ENC_35390
ko:K07787	eclo:ENC_35480
ko:K07798	eclo:ENC_35490
ko:K07644	eclo:ENC_35530
ko:K06915	eclo:ENC_35590
ko:K03415	eclo:ENC_39360
ko:K05594	eclo:ENC_39390
ko:K02551	eclo:ENC_39410
ko:K01661	eclo:ENC_39440
ko:K01911	eclo:ENC_39460
ko:K07795	eclo:ENC_39490
ko:K07774	eclo:ENC_39500
ko:K07649	eclo:ENC_39510
ko:K00113	eclo:ENC_39540
ko:K00112	eclo:ENC_39550
ko:K00111	eclo:ENC_39560
ko:K02445	eclo:ENC_39570
ko:K01126	eclo:ENC_39580
ko:K02469	eclo:ENC_39630
ko:K07687	eclo:ENC_39660
ko:K07676	eclo:ENC_39670
ko:K03734	eclo:ENC_39700
ko:K01465	eclo:ENC_43510
ko:K01042	eclo:ENC_43520
ko:K02818	eclo:ENC_43660
ko:K02819	eclo:ENC_43660
ko:K03485	eclo:ENC_43670
ko:K01531	eclo:ENC_43680
ko:K00610	eclo:ENC_43720
ko:K00609	eclo:ENC_43730
ko:K00926	eclo:ENC_43770
ko:K01198	eclo:ENC_43830
ko:K00611	eclo:ENC_43850
ko:K09893	eclo:ENC_43860
ko:K06169	eclo:ENC_43870
ko:K07733	eclo:ENC_43950
ko:K03719	eclo:ENC_17930
ko:K08194	eclo:ENC_03820
ko:K00901	eclo:ENC_04730
ko:K01356	eclo:ENC_04740
ko:K03327	eclo:ENC_04750
ko:K09823	eclo:ENC_04770
ko:K05539	eclo:ENC_04800
ko:K01775	eclo:ENC_04840
ko:K03788	eclo:ENC_04860
ko:K03701	eclo:ENC_04890
ko:K13631	eclo:ENC_04950
ko:K06901	eclo:ENC_04980
ko:K14393	eclo:ENC_05030
ko:K01895	eclo:ENC_05050
ko:K11102	eclo:ENC_05060
ko:K01624	eclo:ENC_05120
ko:K09988	eclo:ENC_05130
ko:K10441	eclo:ENC_05160
ko:K00881	eclo:ENC_05180
ko:K10551	eclo:ENC_05210
ko:K10549	eclo:ENC_05220
ko:K01808	eclo:ENC_05240
ko:K06167	eclo:ENC_05260
ko:K09994	eclo:ENC_05270
ko:K05774	eclo:ENC_05280
ko:K06162	eclo:ENC_05290
ko:K05780	eclo:ENC_05300
ko:K05781	eclo:ENC_05310
ko:K06163	eclo:ENC_05320
ko:K02397	eclo:ENC_15600
ko:K02396	eclo:ENC_15610
ko:K02395	eclo:ENC_15620
ko:K02394	eclo:ENC_15630
ko:K02393	eclo:ENC_15640
ko:K02392	eclo:ENC_15650
ko:K02391	eclo:ENC_15660
ko:K02390	eclo:ENC_15670
ko:K02389	eclo:ENC_15680
ko:K02388	eclo:ENC_15690
ko:K02387	eclo:ENC_15700
ko:K02386	eclo:ENC_15710
ko:K02398	eclo:ENC_15720
ko:K02399	eclo:ENC_15730
ko:K09915	eclo:ENC_15770
ko:K03790	eclo:ENC_15780
ko:K08162	eclo:ENC_15790
ko:K01465	eclo:ENC_15810
ko:K12149	eclo:ENC_15820
ko:K12148	eclo:ENC_15830
ko:K02846	eclo:ENC_15840
ko:K07146	eclo:ENC_15860
ko:K02517	eclo:ENC_15870
ko:K12147	eclo:ENC_15890
ko:K03669	eclo:ENC_15910
ko:K03670	eclo:ENC_15920
ko:K11941	eclo:ENC_15940
ko:K04336	eclo:ENC_15970
ko:K04334	eclo:ENC_15980
ko:K04335	eclo:ENC_15990
ko:K12972	eclo:ENC_16040
ko:K06911	eclo:ENC_16060
ko:K03310	eclo:ENC_16080
ko:K16301	eclo:ENC_16110
ko:K07224	eclo:ENC_16120
ko:K08312	eclo:ENC_25960
ko:K04762	eclo:ENC_26010
ko:K04083	eclo:ENC_26020
ko:K01610	eclo:ENC_26030
ko:K07659	eclo:ENC_26050
ko:K06959	eclo:ENC_26070
ko:K04758	eclo:ENC_26080
ko:K04759	eclo:ENC_26090
ko:K07490	eclo:ENC_26100
ko:K02170	eclo:ENC_26110
ko:K07400	eclo:ENC_26130
ko:K06155	eclo:ENC_26140
ko:K00705	eclo:ENC_26150
ko:K00688	eclo:ENC_26160
ko:K03556	eclo:ENC_26170
ko:K02444	eclo:ENC_26180
ko:K02439	eclo:ENC_26200
ko:K00111	eclo:ENC_26210
ko:K00688	eclo:ENC_26220
ko:K00703	eclo:ENC_26230
ko:K00975	eclo:ENC_26240
ko:K00133	eclo:ENC_26270
ko:K06145	eclo:ENC_26330
ko:K06911	eclo:ENC_26340
ko:K01126	eclo:ENC_26390
ko:K01996	eclo:ENC_26440
ko:K01995	eclo:ENC_26450
ko:K01998	eclo:ENC_26460
ko:K01997	eclo:ENC_26470
ko:K01999	eclo:ENC_26480
ko:K14189	eclo:ENC_36040
ko:K07124	eclo:ENC_36050
ko:K08990	eclo:ENC_08830
ko:K03721	eclo:ENC_08840
ko:K11065	eclo:ENC_08850
ko:K14054	eclo:ENC_08870
ko:K11901	eclo:ENC_08900
ko:K11900	eclo:ENC_08910
ko:K11893	eclo:ENC_08920
ko:K11892	eclo:ENC_08930
ko:K11903	eclo:ENC_08950
ko:K11907	eclo:ENC_08960
ko:K11910	eclo:ENC_09050
ko:K11896	eclo:ENC_09060
ko:K11895	eclo:ENC_09070
ko:K11905	eclo:ENC_09090
ko:K14058	eclo:ENC_09200
ko:K03737	eclo:ENC_09260
ko:K00426	eclo:ENC_09290
ko:K00425	eclo:ENC_09300
ko:K09936	eclo:ENC_09430
ko:K06890	eclo:ENC_19510
ko:K03636	eclo:ENC_19530
ko:K03637	eclo:ENC_19540
ko:K03638	eclo:ENC_19550
ko:K03702	eclo:ENC_19570
ko:K02169	eclo:ENC_19600
ko:K01012	eclo:ENC_19630
ko:K00833	eclo:ENC_19640
ko:K01745	eclo:ENC_19660
ko:K01712	eclo:ENC_19670
ko:K05836	eclo:ENC_19680
ko:K01468	eclo:ENC_19700
ko:K01051	eclo:ENC_19710
ko:K02018	eclo:ENC_19770
ko:K02020	eclo:ENC_19780
ko:K02019	eclo:ENC_19800
ko:K05776	eclo:ENC_19810
ko:K00849	eclo:ENC_19850
ko:K01626	eclo:ENC_19880
ko:K16264	eclo:ENC_19910
ko:K03811	eclo:ENC_19920
ko:K03517	eclo:ENC_19930
ko:K03640	eclo:ENC_19960
ko:K03562	eclo:ENC_20000
ko:K07107	eclo:ENC_20010
ko:K00426	eclo:ENC_20040
ko:K00425	eclo:ENC_20050
ko:K11198	eclo:ENC_20070
ko:K11199	eclo:ENC_20070
ko:K11200	eclo:ENC_20070
ko:K11922	eclo:ENC_20080
ko:K04651	eclo:ENC_29790
ko:K04653	eclo:ENC_29810
ko:K04654	eclo:ENC_29820
ko:K15836	eclo:ENC_29840
ko:K03555	eclo:ENC_29870
ko:K03186	eclo:ENC_29900
ko:K06194	eclo:ENC_29960
ko:K00573	eclo:ENC_29970
ko:K06176	eclo:ENC_30000
ko:K01770	eclo:ENC_30010
ko:K00991	eclo:ENC_30020
ko:K05589	eclo:ENC_30030
ko:K00860	eclo:ENC_30050
ko:K00957	eclo:ENC_30070
ko:K09612	eclo:ENC_30090
ko:K00390	eclo:ENC_30100
ko:K00381	eclo:ENC_30110
ko:K01737	eclo:ENC_30130
ko:K08170	eclo:ENC_30170
ko:K10026	eclo:ENC_30180
ko:K01689	eclo:ENC_30220
ko:K01937	eclo:ENC_30230
ko:K03215	eclo:ENC_30260
ko:K07678	eclo:ENC_30270
ko:K01706	eclo:ENC_30300
ko:K13918	eclo:ENC_30310
ko:K06175	eclo:ENC_30350
ko:K10778	eclo:ENC_39710
ko:K03919	eclo:ENC_39720
ko:K06159	eclo:ENC_39730
ko:K06213	eclo:ENC_39740
ko:K00116	eclo:ENC_39760
ko:K08276	eclo:ENC_39770
ko:K07014	eclo:ENC_39800
ko:K09904	eclo:ENC_39810
ko:K06899	eclo:ENC_39820
ko:K02897	eclo:ENC_39830
ko:K13896	eclo:ENC_39880
ko:K13895	eclo:ENC_39890
ko:K13894	eclo:ENC_39900
ko:K13694	eclo:ENC_39940
ko:K01686	eclo:ENC_40010
ko:K06940	eclo:ENC_40020
ko:K03291	eclo:ENC_40030
ko:K02768	eclo:ENC_40040
ko:K11183	eclo:ENC_40040
ko:K02769	eclo:ENC_40060
ko:K02770	eclo:ENC_40060
ko:K11733	eclo:ENC_40110
ko:K16089	eclo:ENC_40120
ko:K01070	eclo:ENC_40130
ko:K01495	eclo:ENC_40160
ko:K07148	eclo:ENC_40170
ko:K02529	eclo:ENC_40180
ko:K10542	eclo:ENC_40200
ko:K05541	eclo:ENC_40250
ko:K07262	eclo:ENC_40320
ko:K03823	eclo:ENC_40330
ko:K03777	eclo:ENC_40340
ko:K05349	eclo:ENC_40350
ko:K01867	eclo:ENC_44170
ko:K02529	eclo:ENC_44190
ko:K15977	eclo:ENC_44240
ko:K01358	eclo:ENC_44340
ko:K00375	eclo:ENC_44420
ko:K09803	eclo:ENC_44500
ko:K02508	eclo:ENC_44650
ko:K02511	eclo:ENC_44660
ko:K02509	eclo:ENC_44680
ko:K00455	eclo:ENC_44700
ko:K05921	eclo:ENC_44720
ko:K11645	eclo:ENC_40640
ko:K06164	eclo:ENC_05330
ko:K06165	eclo:ENC_05340
ko:K06166	eclo:ENC_05350
ko:K02043	eclo:ENC_05360
ko:K02042	eclo:ENC_05370
ko:K02044	eclo:ENC_05380
ko:K02041	eclo:ENC_05390
ko:K06193	eclo:ENC_05410
ko:K02526	eclo:ENC_05440
ko:K03762	eclo:ENC_05450
ko:K02423	eclo:ENC_05490
ko:K02422	eclo:ENC_05500
ko:K02407	eclo:ENC_05510
ko:K02405	eclo:ENC_05540
ko:K02425	eclo:ENC_05550
ko:K02424	eclo:ENC_05560
ko:K03823	eclo:ENC_09440
ko:K11738	eclo:ENC_09510
ko:K02029	eclo:ENC_09610
ko:K01821	eclo:ENC_09640
