ko:K07046	bpse:BDL_4073
ko:K07001	bpse:BDL_3998
ko:K10716	bpse:BDL_4226
ko:K01607	bpse:BDL_4228
ko:K07044	bpse:BDL_4213
ko:K15553	bpse:BDL_4217
ko:K03823	bpse:BDL_4219
ko:K03406	bpse:BDL_4222
ko:K06147	bpse:BDL_3819
ko:K16088	bpse:BDL_3820
ko:K06901	bpse:BDL_3828
ko:K07090	bpse:BDL_3832
ko:K01281	bpse:BDL_3885
ko:K01387	bpse:BDL_3897
ko:K09927	bpse:BDL_3899
ko:K01194	bpse:BDL_3901
ko:K02164	bpse:BDL_3903
ko:K01953	bpse:BDL_3907
ko:K07303	bpse:BDL_3909
ko:K07302	bpse:BDL_3910
ko:K06194	bpse:BDL_4235
ko:K00208	bpse:BDL_3957
ko:K04064	bpse:BDL_3959
ko:K00375	bpse:BDL_3961
ko:K07644	bpse:BDL_3963
ko:K03566	bpse:BDL_4237
ko:K02034	bpse:BDL_4242
ko:K02033	bpse:BDL_4243
ko:K03119	bpse:BDL_3835
ko:K02035	bpse:BDL_4244
ko:K08641	bpse:BDL_4245
ko:K12685	bpse:BDL_4255
ko:K07394	bpse:BDL_4256
ko:K01841	bpse:BDL_3837
ko:K02035	bpse:BDL_4257
ko:K01569	bpse:BDL_4258
ko:K03322	bpse:BDL_4259
ko:K07044	bpse:BDL_3838
ko:K07403	bpse:BDL_3842
ko:K01531	bpse:BDL_4266
ko:K14645	bpse:BDL_4268
ko:K15977	bpse:BDL_4273
ko:K11734	bpse:BDL_4091
ko:K01895	bpse:BDL_3845
ko:K00832	bpse:BDL_4092
ko:K03410	bpse:BDL_4100
ko:K05367	bpse:BDL_4101
ko:K06894	bpse:BDL_4102
ko:K01869	bpse:BDL_4106
ko:K03119	bpse:BDL_4111
ko:K04127	bpse:BDL_4112
ko:K01387	bpse:BDL_4114
ko:K02025	bpse:BDL_4012
ko:K00140	bpse:BDL_3846
ko:K02026	bpse:BDL_4013
ko:K03534	bpse:BDL_4015
ko:K01685	bpse:BDL_4017
ko:K00064	bpse:BDL_4018
ko:K16856	bpse:BDL_4021
ko:K01266	bpse:BDL_4031
ko:K10974	bpse:BDL_4038
ko:K07044	bpse:BDL_4137
ko:K00852	bpse:BDL_4141
ko:K02407	bpse:BDL_4148
ko:K07396	bpse:BDL_4150
ko:K00059	bpse:BDL_4154
ko:K06140	bpse:BDL_4168
ko:K02484	bpse:BDL_3918
ko:K01497	bpse:BDL_4172
ko:K07507	bpse:BDL_4176
ko:K07098	bpse:BDL_4177
ko:K09019	bpse:BDL_4178
ko:K06989	bpse:BDL_4191
ko:K01426	bpse:BDL_4200
ko:K05921	bpse:BDL_3923
ko:K01761	bpse:BDL_4202
ko:K00675	bpse:BDL_4205
ko:K09957	bpse:BDL_4206
ko:K03762	bpse:BDL_4211
ko:K11900	bpse:BDL_3744
ko:K11903	bpse:BDL_3745
ko:K11897	bpse:BDL_3746
ko:K11896	bpse:BDL_3747
ko:K11895	bpse:BDL_3748
ko:K11907	bpse:BDL_3749
ko:K11904	bpse:BDL_3751
ko:K18101	bpse:BDL_3764
ko:K12990	bpse:BDL_3767
ko:K03543	bpse:BDL_3769
ko:K00692	bpse:BDL_3771
ko:K10016	bpse:BDL_4276
ko:K10015	bpse:BDL_4277
ko:K10017	bpse:BDL_4278
ko:K00790	bpse:BDL_4279
ko:K03781	bpse:BDL_4287
ko:K02056	bpse:BDL_4069
ko:K02057	bpse:BDL_4070
ko:K01685	bpse:BDL_4072
ko:K03534	bpse:BDL_4077
ko:K01999	bpse:BDL_4086
ko:K11068	bpse:BDL_4087
ko:K02529	bpse:BDL_3772
ko:K00600	bpse:BDL_3775
ko:K01273	bpse:BDL_3776
ko:K03522	bpse:BDL_3780
ko:K03521	bpse:BDL_3781
ko:K00479	bpse:BDL_3782
ko:K02002	bpse:BDL_3784
ko:K01433	bpse:BDL_3786
ko:K02002	bpse:BDL_3789
ko:K08720	bpse:BDL_3790
ko:K05994	bpse:BDL_3791
ko:K02002	bpse:BDL_3794
ko:K05685	bpse:BDL_3851
ko:K13888	bpse:BDL_3852
ko:K17228	bpse:BDL_3853
ko:K01166	bpse:BDL_3854
ko:K01425	bpse:BDL_3855
ko:K02484	bpse:BDL_3859
ko:K07001	bpse:BDL_3860
ko:K03569	bpse:BDL_3862
ko:K07107	bpse:BDL_3797
ko:K00285	bpse:BDL_3802
ko:K01999	bpse:BDL_3803
ko:K01997	bpse:BDL_3804
ko:K01998	bpse:BDL_3805
ko:K01995	bpse:BDL_3806
ko:K01996	bpse:BDL_3807
ko:K04782	bpse:BDL_3811
ko:K12243	bpse:BDL_3814
ko:K07023	bpse:BDL_3864
ko:K00799	bpse:BDL_3870
ko:K07771	bpse:BDL_3873
ko:K13633	bpse:BDL_3878
ko:K07140	bpse:BDL_3939
ko:K01775	bpse:BDL_3945
ko:K03928	bpse:BDL_3950
ko:K16137	bpse:BDL_3953
ko:K07649	bpse:BDL_3938
ko:K03387	bpse:BDL_3717
ko:K03386	bpse:BDL_3718
ko:K00375	bpse:BDL_3728
ko:K07552	bpse:BDL_3729
ko:K03430	bpse:BDL_3733
ko:K01841	bpse:BDL_3735
ko:K00428	bpse:BDL_4047
ko:K01114	bpse:BDL_4048
ko:K10538	bpse:BDL_4056
ko:K13874	bpse:BDL_4057
ko:K06995	bpse:BDL_4058
ko:K12508	bpse:BDL_4063
ko:K05819	bpse:BDL_4064
ko:K18139	bpse:BDL_4407
ko:K01497	bpse:BDL_4408
ko:K11752	bpse:BDL_4412
ko:K00219	bpse:BDL_4420
ko:K00878	bpse:BDL_4422
ko:K07088	bpse:BDL_4424
ko:K12141	bpse:BDL_4431
ko:K12140	bpse:BDL_4432
ko:K11189	bpse:BDL_4437
ko:K00797	bpse:BDL_4438
ko:K02575	bpse:BDL_4441
ko:K03769	bpse:BDL_4442
ko:K00374	bpse:BDL_4443
ko:K00373	bpse:BDL_4444
ko:K00371	bpse:BDL_4445
ko:K00370	bpse:BDL_4446
ko:K03119	bpse:BDL_4452
ko:K00646	bpse:BDL_4292
ko:K15337	bpse:BDL_4293
ko:K15313	bpse:BDL_4294
ko:K15312	bpse:BDL_4295
ko:K15311	bpse:BDL_4296
ko:K13611	bpse:BDL_4303
ko:K14257	bpse:BDL_4306
ko:K07168	bpse:BDL_4310
ko:K07300	bpse:BDL_4312
ko:K05595	bpse:BDL_4313
ko:K07052	bpse:BDL_4314
ko:K03088	bpse:BDL_4318
ko:K03088	bpse:BDL_4322
ko:K07165	bpse:BDL_4323
ko:K02014	bpse:BDL_4324
ko:K10440	bpse:BDL_4325
ko:K10440	bpse:BDL_4326
ko:K10441	bpse:BDL_4327
ko:K10439	bpse:BDL_4328
ko:K00471	bpse:BDL_4396
ko:K03758	bpse:BDL_4399
ko:K03798	bpse:BDL_4401
ko:K07644	bpse:BDL_4335
ko:K07665	bpse:BDL_4336
ko:K15726	bpse:BDL_4337
ko:K15727	bpse:BDL_4338
ko:K15725	bpse:BDL_4339
ko:K09129	bpse:BDL_4342
ko:K00694	bpse:BDL_4358
ko:K00259	bpse:BDL_4374
ko:K03607	bpse:BDL_4377
ko:K07282	bpse:BDL_4382
ko:K01537	bpse:BDL_4386
ko:K00941	bpse:BDL_4390
ko:K01414	bpse:BDL_4462
ko:K00375	bpse:BDL_4485
ko:K00609	bpse:BDL_4489
ko:K16090	bpse:BDL_4490
ko:K07126	bpse:BDL_4491
ko:K03762	bpse:BDL_4500
ko:K07141	bpse:BDL_4503
ko:K03406	bpse:BDL_4504
ko:K03587	bpse:BDL_4506
ko:K08325	bpse:BDL_4550
ko:K04780	bpse:BDL_4558
ko:K05351	bpse:BDL_4525
ko:K03455	bpse:BDL_4509
ko:K07044	bpse:BDL_4510
ko:K16074	bpse:BDL_4515
ko:K02025	bpse:BDL_4523
ko:K02026	bpse:BDL_4524
ko:K07258	bpse:BDL_4529
ko:K03587	bpse:BDL_4530
ko:K00380	bpse:BDL_4532
ko:K00363	bpse:BDL_4533
ko:K00362	bpse:BDL_4534
ko:K02575	bpse:BDL_4535
ko:K02303	bpse:BDL_4536
ko:K01495	bpse:BDL_4539
ko:K00059	bpse:BDL_4546
ko:K00854	bpse:BDL_4528
ko:K18333	bpse:BDL_4076
ko:K07005	bpse:BDL_3962
ko:K03088	bpse:BDL_4568
ko:K00231	bpse:BDL_4572
ko:K01754	bpse:BDL_4573
ko:K13408	bpse:BDL_4578
ko:K13409	bpse:BDL_4580
ko:K12340	bpse:BDL_4583
ko:K00681	bpse:BDL_4584
ko:K03724	bpse:BDL_4587
ko:K16263	bpse:BDL_4588
ko:K01626	bpse:BDL_4591
ko:K02623	bpse:BDL_4597
ko:K00449	bpse:BDL_4599
ko:K00448	bpse:BDL_4600
ko:K16203	bpse:BDL_4601
ko:K01266	bpse:BDL_4602
ko:K13891	bpse:BDL_4603
ko:K13890	bpse:BDL_4604
ko:K13889	bpse:BDL_4605
ko:K13892	bpse:BDL_4606
ko:K13051	bpse:BDL_4607
ko:K02168	bpse:BDL_4609
ko:K01114	bpse:BDL_4612
ko:K01870	bpse:BDL_4615
ko:K03710	bpse:BDL_4628
ko:K07112	bpse:BDL_4638
ko:K07112	bpse:BDL_4639
ko:K11717	bpse:BDL_4643
ko:K10111	bpse:BDL_5540
ko:K14742	bpse:BDL_3363
ko:K12979	bpse:BDL_4729
ko:K01652	bpse:BDL_4190
ko:K03297	bpse:BDL_391
ko:K14219	bpse:BDL_2871
ko:K14219	bpse:BDL_2872
ko:K01977	bpse:BDL_3583
ko:K01977	bpse:BDL_2158
ko:K01977	bpse:BDL_2377
ko:K01977	bpse:BDL_780
ko:K14227	bpse:BDL_2159
ko:K14227	bpse:BDL_3584
ko:K14227	bpse:BDL_2378
ko:K14227	bpse:BDL_779
ko:K14218	bpse:BDL_2160
ko:K14218	bpse:BDL_778
ko:K01178	bpse:BDL_6035
ko:K16238	bpse:BDL_2005
ko:K18129	bpse:BDL_331
ko:K07485	bpse:BDL_5081
ko:K01322	bpse:BDL_4648
ko:K07045	bpse:BDL_5464
ko:K18100	bpse:BDL_3763
ko:K11741	bpse:BDL_851
ko:K15634	bpse:BDL_2540
ko:K05799	bpse:BDL_2493
ko:K18336	bpse:BDL_4075
ko:K18139	bpse:BDL_328
ko:K01458	bpse:BDL_6182
ko:K05375	bpse:BDL_4559
ko:K03746	bpse:BDL_4134
ko:K03746	bpse:BDL_4080
ko:K03746	bpse:BDL_4376
ko:K06893	bpse:BDL_1892
ko:K21449	bpse:BDL_174
ko:K20542	bpse:BDL_4932
ko:K01992	bpse:BDL_157
ko:K01992	bpse:BDL_2255
ko:K16320	bpse:BDL_5292
ko:K18249	bpse:BDL_5290
ko:K18816	bpse:BDL_6157
ko:K00241	bpse:BDL_5074
ko:K02055	bpse:BDL_5094
ko:K02052	bpse:BDL_5095
ko:K02014	bpse:BDL_5100
ko:K00033	bpse:BDL_5107
ko:K01409	bpse:BDL_5159
ko:K01011	bpse:BDL_5165
ko:K02017	bpse:BDL_5187
ko:K07004	bpse:BDL_5247
ko:K02014	bpse:BDL_5252
ko:K06147	bpse:BDL_5265
ko:K07052	bpse:BDL_5271
ko:K01560	bpse:BDL_5273
ko:K03316	bpse:BDL_5285
ko:K04073	bpse:BDL_5208
ko:K01104	bpse:BDL_5233
ko:K03606	bpse:BDL_5235
ko:K00799	bpse:BDL_4681
ko:K00380	bpse:BDL_4771
ko:K09471	bpse:BDL_4778
ko:K01916	bpse:BDL_4791
ko:K00368	bpse:BDL_4797
ko:K03227	bpse:BDL_4712
ko:K03325	bpse:BDL_4741
ko:K00368	bpse:BDL_4759
ko:K13741	bpse:BDL_4834
ko:K13287	bpse:BDL_4838
ko:K13286	bpse:BDL_4840
ko:K13285	bpse:BDL_4841
ko:K03711	bpse:BDL_4879
ko:K00101	bpse:BDL_4908
ko:K10831	bpse:BDL_4922
ko:K07657	bpse:BDL_4958
ko:K03227	bpse:BDL_4970
ko:K01426	bpse:BDL_5011
ko:K00127	bpse:BDL_5015
ko:K00124	bpse:BDL_5016
ko:K02030	bpse:BDL_5021
ko:K02030	bpse:BDL_5025
ko:K06045	bpse:BDL_5818
ko:K00639	bpse:BDL_5836
ko:K00799	bpse:BDL_5845
ko:K03406	bpse:BDL_5334
ko:K02004	bpse:BDL_5340
ko:K03406	bpse:BDL_5349
ko:K13953	bpse:BDL_5352
ko:K02116	bpse:BDL_5359
ko:K00625	bpse:BDL_5363
ko:K16370	bpse:BDL_5365
ko:K01489	bpse:BDL_5367
ko:K00758	bpse:BDL_5368
ko:K01619	bpse:BDL_5371
ko:K03317	bpse:BDL_5372
ko:K00799	bpse:BDL_5375
ko:K01158	bpse:BDL_5397
ko:K01281	bpse:BDL_5406
ko:K07665	bpse:BDL_5408
ko:K09981	bpse:BDL_5442
ko:K00854	bpse:BDL_5449
ko:K02030	bpse:BDL_5489
ko:K02052	bpse:BDL_5490
ko:K02055	bpse:BDL_5493
ko:K01424	bpse:BDL_5513
ko:K02056	bpse:BDL_5522
ko:K02025	bpse:BDL_5538
ko:K00666	bpse:BDL_5766
ko:K01426	bpse:BDL_5786
ko:K03825	bpse:BDL_5788
ko:K02480	bpse:BDL_5793
ko:K02004	bpse:BDL_5803
ko:K01607	bpse:BDL_5811
ko:K01607	bpse:BDL_5879
ko:K11071	bpse:BDL_5909
ko:K11069	bpse:BDL_5911
ko:K02414	bpse:BDL_5991
ko:K06887	bpse:BDL_5560
ko:K00101	bpse:BDL_5589
ko:K10823	bpse:BDL_5603
ko:K15583	bpse:BDL_5604
ko:K15582	bpse:BDL_5605
ko:K06147	bpse:BDL_5733
ko:K03333	bpse:BDL_5753
ko:K07028	bpse:BDL_5758
ko:K00219	bpse:BDL_5303
ko:K13953	bpse:BDL_5323
ko:K02274	bpse:BDL_5920
ko:K03406	bpse:BDL_5969
ko:K00575	bpse:BDL_5970
ko:K03417	bpse:BDL_6098
ko:K00254	bpse:BDL_397
ko:K07245	bpse:BDL_1306
ko:K03559	bpse:BDL_2501
ko:K00040	bpse:BDL_4784
ko:K15555	bpse:BDL_386
ko:K17713	bpse:BDL_63
ko:K03458	bpse:BDL_1210
ko:K11070	bpse:BDL_5910
ko:K03832	bpse:BDL_1242
ko:K01902	bpse:BDL_1247
ko:K01903	bpse:BDL_1248
ko:K03565	bpse:BDL_1250
ko:K07649	bpse:BDL_1253
ko:K06188	bpse:BDL_2061
ko:K02403	bpse:BDL_2064
ko:K02402	bpse:BDL_2065
ko:K02556	bpse:BDL_2066
ko:K02557	bpse:BDL_2067
ko:K03413	bpse:BDL_2068
ko:K03407	bpse:BDL_2069
ko:K03408	bpse:BDL_2070
ko:K03411	bpse:BDL_2073
ko:K03412	bpse:BDL_2074
ko:K03413	bpse:BDL_2075
ko:K03414	bpse:BDL_2076
ko:K02401	bpse:BDL_2080
ko:K02400	bpse:BDL_2081
ko:K02404	bpse:BDL_2082
ko:K04562	bpse:BDL_2083
ko:K02405	bpse:BDL_2084
ko:K01251	bpse:BDL_2085
ko:K08972	bpse:BDL_2086
ko:K00297	bpse:BDL_2087
ko:K01061	bpse:BDL_2089
ko:K00459	bpse:BDL_2090
ko:K01999	bpse:BDL_2091
ko:K07226	bpse:BDL_2093
ko:K03642	bpse:BDL_2099
ko:K07056	bpse:BDL_2100
ko:K07460	bpse:BDL_2101
ko:K03271	bpse:BDL_2102
ko:K14170	bpse:BDL_2918
ko:K00800	bpse:BDL_2919
ko:K00945	bpse:BDL_2920
ko:K02945	bpse:BDL_2921
ko:K05788	bpse:BDL_2922
ko:K00012	bpse:BDL_2925
ko:K03274	bpse:BDL_2927
ko:K02237	bpse:BDL_2928
ko:K12339	bpse:BDL_2929
ko:K02071	bpse:BDL_2933
ko:K02072	bpse:BDL_2934
ko:K02073	bpse:BDL_2935
ko:K03521	bpse:BDL_2936
ko:K03522	bpse:BDL_2937
ko:K00285	bpse:BDL_2939
ko:K02959	bpse:BDL_2944
ko:K02860	bpse:BDL_2945
ko:K00554	bpse:BDL_2946
ko:K02884	bpse:BDL_2947
ko:K02227	bpse:BDL_2951
ko:K06949	bpse:BDL_2953
ko:K13288	bpse:BDL_2955
ko:K03831	bpse:BDL_2956
ko:K09889	bpse:BDL_2957
ko:K03592	bpse:BDL_2958
ko:K03327	bpse:BDL_2971
ko:K02483	bpse:BDL_3857
ko:K02226	bpse:BDL_1055
ko:K09823	bpse:BDL_4895
ko:K08677	bpse:BDL_4911
ko:K03306	bpse:BDL_4915
ko:K09990	bpse:BDL_4916
ko:K15552	bpse:BDL_4921
ko:K15551	bpse:BDL_4923
ko:K03119	bpse:BDL_4924
ko:K00694	bpse:BDL_4927
ko:K07154	bpse:BDL_4936
ko:K07152	bpse:BDL_5003
ko:K08195	bpse:BDL_5006
ko:K05349	bpse:BDL_5009
ko:K03833	bpse:BDL_5012
ko:K01042	bpse:BDL_5013
ko:K02380	bpse:BDL_5014
ko:K00123	bpse:BDL_5017
ko:K00123	bpse:BDL_5018
ko:K02028	bpse:BDL_5022
ko:K02029	bpse:BDL_5022
ko:K06987	bpse:BDL_5027
ko:K07058	bpse:BDL_5029
ko:K00963	bpse:BDL_5034
ko:K01711	bpse:BDL_5041
ko:K10764	bpse:BDL_5044
ko:K00764	bpse:BDL_5045
ko:K03558	bpse:BDL_5046
ko:K03749	bpse:BDL_5047
ko:K11754	bpse:BDL_5048
ko:K01963	bpse:BDL_5049
ko:K01695	bpse:BDL_5050
ko:K01696	bpse:BDL_5052
ko:K01817	bpse:BDL_5053
ko:K06173	bpse:BDL_5054
ko:K00133	bpse:BDL_5056
ko:K00052	bpse:BDL_5058
ko:K01704	bpse:BDL_5059
ko:K01703	bpse:BDL_5061
ko:K00163	bpse:BDL_5065
ko:K01647	bpse:BDL_5069
ko:K09159	bpse:BDL_5070
ko:K00240	bpse:BDL_5071
ko:K00239	bpse:BDL_5072
ko:K00242	bpse:BDL_5073
ko:K03710	bpse:BDL_5075
ko:K00024	bpse:BDL_5076
ko:K01644	bpse:BDL_5077
ko:K01720	bpse:BDL_5079
ko:K01681	bpse:BDL_5080
ko:K15125	bpse:BDL_5082
ko:K05998	bpse:BDL_5091
ko:K02053	bpse:BDL_5092
ko:K02054	bpse:BDL_5093
ko:K00375	bpse:BDL_5096
ko:K12262	bpse:BDL_5102
ko:K06194	bpse:BDL_5104
ko:K03457	bpse:BDL_5110
ko:K03086	bpse:BDL_5154
ko:K09117	bpse:BDL_5156
ko:K00826	bpse:BDL_5210
ko:K07044	bpse:BDL_5222
ko:K16692	bpse:BDL_5231
ko:K01991	bpse:BDL_5232
ko:K00012	bpse:BDL_5234
ko:K07397	bpse:BDL_5262
ko:K07223	bpse:BDL_5264
ko:K01867	bpse:BDL_5268
ko:K13491	bpse:BDL_5274
ko:K13490	bpse:BDL_5275
ko:K13489	bpse:BDL_5276
ko:K13486	bpse:BDL_5277
ko:K13488	bpse:BDL_5278
ko:K13487	bpse:BDL_5279
ko:K01652	bpse:BDL_5284
ko:K02503	bpse:BDL_5289
ko:K03381	bpse:BDL_5297
ko:K03464	bpse:BDL_5298
ko:K02300	bpse:BDL_5299
ko:K02299	bpse:BDL_5300
ko:K02298	bpse:BDL_5301
ko:K02297	bpse:BDL_5302
ko:K05549	bpse:BDL_5309
ko:K05550	bpse:BDL_5310
ko:K05784	bpse:BDL_5311
ko:K05783	bpse:BDL_5312
ko:K11733	bpse:BDL_5318
ko:K07044	bpse:BDL_5319
ko:K00023	bpse:BDL_5321
ko:K06966	bpse:BDL_5328
ko:K00860	bpse:BDL_5333
ko:K02003	bpse:BDL_5339
ko:K01993	bpse:BDL_5345
ko:K13926	bpse:BDL_5346
ko:K02115	bpse:BDL_5353
ko:K02111	bpse:BDL_5354
ko:K02109	bpse:BDL_5355
ko:K02110	bpse:BDL_5356
ko:K02108	bpse:BDL_5357
ko:K02114	bpse:BDL_5360
ko:K02112	bpse:BDL_5361
ko:K03821	bpse:BDL_5362
ko:K00925	bpse:BDL_5364
ko:K07006	bpse:BDL_5373
ko:K16692	bpse:BDL_5389
ko:K14645	bpse:BDL_5407
ko:K07644	bpse:BDL_5409
ko:K07243	bpse:BDL_5415
ko:K10001	bpse:BDL_5419
ko:K00640	bpse:BDL_4646
ko:K03543	bpse:BDL_4649
ko:K12990	bpse:BDL_4651
ko:K02167	bpse:BDL_4655
ko:K08369	bpse:BDL_4662
ko:K07675	bpse:BDL_4663
ko:K03704	bpse:BDL_4671
ko:K01633	bpse:BDL_4672
ko:K00305	bpse:BDL_4673
ko:K00303	bpse:BDL_4676
ko:K01752	bpse:BDL_4677
ko:K09915	bpse:BDL_4680
ko:K00426	bpse:BDL_4683
ko:K00425	bpse:BDL_4684
ko:K07507	bpse:BDL_4686
ko:K03219	bpse:BDL_4697
ko:K03228	bpse:BDL_4699
ko:K03224	bpse:BDL_4701
ko:K03223	bpse:BDL_4702
ko:K03222	bpse:BDL_4704
ko:K03229	bpse:BDL_4707
ko:K03230	bpse:BDL_4708
ko:K03225	bpse:BDL_4710
ko:K03226	bpse:BDL_4711
ko:K03220	bpse:BDL_4714
ko:K02002	bpse:BDL_4730
ko:K02001	bpse:BDL_4732
ko:K02000	bpse:BDL_4733
ko:K00299	bpse:BDL_4735
ko:K01968	bpse:BDL_4753
ko:K13766	bpse:BDL_4754
ko:K01969	bpse:BDL_4755
ko:K00253	bpse:BDL_4756
ko:K04561	bpse:BDL_4758
ko:K13747	bpse:BDL_4760
ko:K08369	bpse:BDL_4765
ko:K03734	bpse:BDL_4772
ko:K08323	bpse:BDL_4786
ko:K08322	bpse:BDL_4787
ko:K07152	bpse:BDL_4800
ko:K11910	bpse:BDL_4805
ko:K11901	bpse:BDL_4808
ko:K11900	bpse:BDL_4809
ko:K11903	bpse:BDL_4810
ko:K11905	bpse:BDL_4811
ko:K11896	bpse:BDL_4812
ko:K11895	bpse:BDL_4813
ko:K11907	bpse:BDL_4814
ko:K11893	bpse:BDL_4821
ko:K11892	bpse:BDL_4822
ko:K11891	bpse:BDL_4823
ko:K01495	bpse:BDL_4825
ko:K03225	bpse:BDL_4847
ko:K03230	bpse:BDL_4852
ko:K03221	bpse:BDL_4857
ko:K01465	bpse:BDL_4880
ko:K01868	bpse:BDL_4881
ko:K16515	bpse:BDL_4882
ko:K01737	bpse:BDL_4886
ko:K08998	bpse:BDL_4887
ko:K01883	bpse:BDL_4888
ko:K09007	bpse:BDL_4890
ko:K03219	bpse:BDL_4946
ko:K02669	bpse:BDL_4956
ko:K03220	bpse:BDL_4968
ko:K03226	bpse:BDL_4971
ko:K03225	bpse:BDL_4972
ko:K03230	bpse:BDL_4974
ko:K03229	bpse:BDL_4975
ko:K03222	bpse:BDL_4978
ko:K03223	bpse:BDL_4980
ko:K03224	bpse:BDL_4981
ko:K03228	bpse:BDL_4983
ko:K00836	bpse:BDL_4988
ko:K00156	bpse:BDL_4989
ko:K03092	bpse:BDL_5690
ko:K07217	bpse:BDL_5692
ko:K08995	bpse:BDL_5712
ko:K00612	bpse:BDL_5728
ko:K01613	bpse:BDL_5735
ko:K00240	bpse:BDL_5736
ko:K06133	bpse:BDL_5740
ko:K02278	bpse:BDL_346
ko:K02651	bpse:BDL_347
ko:K09786	bpse:BDL_354
ko:K07180	bpse:BDL_355
ko:K02529	bpse:BDL_358
ko:K10441	bpse:BDL_360
ko:K13635	bpse:BDL_362
ko:K02045	bpse:BDL_363
ko:K02047	bpse:BDL_364
ko:K02046	bpse:BDL_365
ko:K02048	bpse:BDL_366
ko:K01356	bpse:BDL_367
ko:K09695	bpse:BDL_371
ko:K09694	bpse:BDL_372
ko:K07089	bpse:BDL_374
ko:K05539	bpse:BDL_380
ko:K15554	bpse:BDL_387
ko:K00684	bpse:BDL_395
ko:K02424	bpse:BDL_398
ko:K03585	bpse:BDL_1214
ko:K03577	bpse:BDL_1215
ko:K07259	bpse:BDL_1222
ko:K07566	bpse:BDL_1225
ko:K01589	bpse:BDL_1226
ko:K01588	bpse:BDL_1227
ko:K01923	bpse:BDL_1228
ko:K01624	bpse:BDL_1229
ko:K00873	bpse:BDL_1230
ko:K00927	bpse:BDL_1231
ko:K00826	bpse:BDL_1234
ko:K03637	bpse:BDL_1241
ko:K02970	bpse:BDL_5157
ko:K07007	bpse:BDL_5158
ko:K09007	bpse:BDL_5160
ko:K01662	bpse:BDL_5161
ko:K00795	bpse:BDL_5162
ko:K03602	bpse:BDL_5163
ko:K01061	bpse:BDL_5166
ko:K03885	bpse:BDL_5168
ko:K06966	bpse:BDL_5170
ko:K01241	bpse:BDL_5175
ko:K02204	bpse:BDL_5177
ko:K02020	bpse:BDL_5185
ko:K02018	bpse:BDL_5186
ko:K02019	bpse:BDL_5188
ko:K01821	bpse:BDL_5190
ko:K00788	bpse:BDL_5195
ko:K15256	bpse:BDL_5197
ko:K01666	bpse:BDL_5207
ko:K11890	bpse:BDL_5565
