ko:K00984	senh:CFSAN002069_02690
ko:K01878	senh:CFSAN002069_13765
ko:K01879	senh:CFSAN002069_13770
ko:K03704	senh:CFSAN002069_13795
ko:K07726	senh:CFSAN002069_13800
ko:K03826	senh:CFSAN002069_13825
ko:K01246	senh:CFSAN002069_13830
ko:K00573	senh:CFSAN002069_17640
ko:K06194	senh:CFSAN002069_17645
ko:K03186	senh:CFSAN002069_17665
ko:K03555	senh:CFSAN002069_17725
ko:K07314	senh:CFSAN002069_17735
ko:K03230	senh:CFSAN002069_17790
ko:K03225	senh:CFSAN002069_17815
ko:K02078	senh:CFSAN002069_17865
ko:K02224	senh:CFSAN002069_21645
ko:K02227	senh:CFSAN002069_21650
ko:K06042	senh:CFSAN002069_21655
ko:K02188	senh:CFSAN002069_21660
ko:K02191	senh:CFSAN002069_21670
ko:K05936	senh:CFSAN002069_21675
ko:K02189	senh:CFSAN002069_21680
ko:K05895	senh:CFSAN002069_21690
ko:K03394	senh:CFSAN002069_21700
ko:K02007	senh:CFSAN002069_21705
ko:K02008	senh:CFSAN002069_21715
ko:K02006	senh:CFSAN002069_21720
ko:K02232	senh:CFSAN002069_21725
ko:K02231	senh:CFSAN002069_21730
ko:K02233	senh:CFSAN002069_21735
ko:K00768	senh:CFSAN002069_21740
ko:K01241	senh:CFSAN002069_21780
ko:K09933	senh:CFSAN002069_21835
ko:K03704	senh:CFSAN002069_21860
ko:K06950	senh:CFSAN002069_21875
ko:K07458	senh:CFSAN002069_21885
ko:K01647	senh:CFSAN002069_05190
ko:K07357	senh:CFSAN002069_05255
ko:K07160	senh:CFSAN002069_05265
ko:K03305	senh:CFSAN002069_05285
ko:K01669	senh:CFSAN002069_05290
ko:K01546	senh:CFSAN002069_05305
ko:K01547	senh:CFSAN002069_05310
ko:K01548	senh:CFSAN002069_05315
ko:K07646	senh:CFSAN002069_05320
ko:K07667	senh:CFSAN002069_05325
ko:K01581	senh:CFSAN002069_05335
ko:K03645	senh:CFSAN002069_05355
ko:K07347	senh:CFSAN002069_09090
ko:K03686	senh:CFSAN002069_09140
ko:K04043	senh:CFSAN002069_09145
ko:K03831	senh:CFSAN002069_09170
ko:K03310	senh:CFSAN002069_09180
ko:K09861	senh:CFSAN002069_09185
ko:K01733	senh:CFSAN002069_09190
ko:K00872	senh:CFSAN002069_09195
ko:K12524	senh:CFSAN002069_09200
ko:K07773	senh:CFSAN002069_09210
ko:K06143	senh:CFSAN002069_09250
ko:K07641	senh:CFSAN002069_09255
ko:K07663	senh:CFSAN002069_09260
ko:K05805	senh:CFSAN002069_09265
ko:K05804	senh:CFSAN002069_09270
ko:K03720	senh:CFSAN002069_09285
ko:K08309	senh:CFSAN002069_09290
ko:K06211	senh:CFSAN002069_09300
ko:K04485	senh:CFSAN002069_09305
ko:K01079	senh:CFSAN002069_09310
ko:K03800	senh:CFSAN002069_09320
ko:K02773	senh:CFSAN002069_13115
ko:K02774	senh:CFSAN002069_13120
ko:K07726	senh:CFSAN002069_13145
ko:K01223	senh:CFSAN002069_13160
ko:K07507	senh:CFSAN002069_13215
ko:K01531	senh:CFSAN002069_13220
ko:K01811	senh:CFSAN002069_13290
ko:K16345	senh:CFSAN002069_13300
ko:K03312	senh:CFSAN002069_13305
ko:K03655	senh:CFSAN002069_13315
ko:K00556	senh:CFSAN002069_13320
ko:K03060	senh:CFSAN002069_13330
ko:K00942	senh:CFSAN002069_13335
ko:K01972	senh:CFSAN002069_13340
ko:K01586	senh:CFSAN002069_17150
ko:K02529	senh:CFSAN002069_17160
ko:K05939	senh:CFSAN002069_17165
ko:K08227	senh:CFSAN002069_17170
ko:K03573	senh:CFSAN002069_17190
ko:K08311	senh:CFSAN002069_17195
ko:K08484	senh:CFSAN002069_17200
ko:K13292	senh:CFSAN002069_17205
ko:K02679	senh:CFSAN002069_17220
ko:K02680	senh:CFSAN002069_17225
ko:K02681	senh:CFSAN002069_17235
ko:K03583	senh:CFSAN002069_17240
ko:K01407	senh:CFSAN002069_17245
ko:K03582	senh:CFSAN002069_17250
ko:K03581	senh:CFSAN002069_17255
ko:K14682	senh:CFSAN002069_17260
ko:K01448	senh:CFSAN002069_17265
ko:K08304	senh:CFSAN002069_17280
ko:K02426	senh:CFSAN002069_17295
ko:K01766	senh:CFSAN002069_17300
ko:K06968	senh:CFSAN002069_17320
ko:K02430	senh:CFSAN002069_17325
ko:K02431	senh:CFSAN002069_17330
ko:K01818	senh:CFSAN002069_17340
ko:K02429	senh:CFSAN002069_17345
ko:K01628	senh:CFSAN002069_17350
ko:K00048	senh:CFSAN002069_17355
ko:K01146	senh:CFSAN002069_17360
ko:K01752	senh:CFSAN002069_17365
ko:K03837	senh:CFSAN002069_17370
ko:K06966	senh:CFSAN002069_17375
ko:K06879	senh:CFSAN002069_17380
ko:K15723	senh:CFSAN002069_17385
ko:K07664	senh:CFSAN002069_21165
ko:K07642	senh:CFSAN002069_21170
ko:K07789	senh:CFSAN002069_21180
ko:K07788	senh:CFSAN002069_21185
ko:K07799	senh:CFSAN002069_21190
ko:K04046	senh:CFSAN002069_21195
ko:K01247	senh:CFSAN002069_21200
ko:K00876	senh:CFSAN002069_21210
ko:K01494	senh:CFSAN002069_21215
ko:K07289	senh:CFSAN002069_21220
ko:K01991	senh:CFSAN002069_21230
ko:K16692	senh:CFSAN002069_21240
ko:K03819	senh:CFSAN002069_21250
ko:K13684	senh:CFSAN002069_21255
ko:K13620	senh:CFSAN002069_21260
ko:K13683	senh:CFSAN002069_21265
ko:K03818	senh:CFSAN002069_21270
ko:K01711	senh:CFSAN002069_21275
ko:K02377	senh:CFSAN002069_21280
ko:K03207	senh:CFSAN002069_21285
ko:K03208	senh:CFSAN002069_21290
ko:K16695	senh:CFSAN002069_21310
ko:K16710	senh:CFSAN002069_21315
ko:K16703	senh:CFSAN002069_21320
ko:K00963	senh:CFSAN002069_21330
ko:K00067	senh:CFSAN002069_21340
ko:K00973	senh:CFSAN002069_21345
ko:K01790	senh:CFSAN002069_21350
ko:K00978	senh:CFSAN002069_21360
ko:K01709	senh:CFSAN002069_21365
ko:K12452	senh:CFSAN002069_21370
ko:K13821	senh:CFSAN002069_03410
ko:K03809	senh:CFSAN002069_03430
ko:K01085	senh:CFSAN002069_03440
ko:K05516	senh:CFSAN002069_03465
ko:K02508	senh:CFSAN002069_03480
ko:K02511	senh:CFSAN002069_03485
ko:K02509	senh:CFSAN002069_03495
ko:K00455	senh:CFSAN002069_03505
ko:K05921	senh:CFSAN002069_03515
ko:K07127	senh:CFSAN002069_03535
ko:K01512	senh:CFSAN002069_03600
ko:K06969	senh:CFSAN002069_03615
ko:K11940	senh:CFSAN002069_03620
ko:K06929	senh:CFSAN002069_03625
ko:K00147	senh:CFSAN002069_07530
ko:K00931	senh:CFSAN002069_07535
ko:K11929	senh:CFSAN002069_07540
ko:K11926	senh:CFSAN002069_07545
ko:K11750	senh:CFSAN002069_07550
ko:K02839	senh:CFSAN002069_07565
ko:K02346	senh:CFSAN002069_07575
ko:K03271	senh:CFSAN002069_07590
ko:K02864	senh:CFSAN002069_11350
ko:K02863	senh:CFSAN002069_11355
ko:K02867	senh:CFSAN002069_11360
ko:K02601	senh:CFSAN002069_11365
ko:K03073	senh:CFSAN002069_11370
ko:K02358	senh:CFSAN002069_11375
ko:K03524	senh:CFSAN002069_11405
ko:K00075	senh:CFSAN002069_11410
ko:K01776	senh:CFSAN002069_11440
ko:K16092	senh:CFSAN002069_11445
ko:K00322	senh:CFSAN002069_11465
ko:K04761	senh:CFSAN002069_11470
ko:K01755	senh:CFSAN002069_11475
ko:K00930	senh:CFSAN002069_11480
ko:K00145	senh:CFSAN002069_11485
ko:K01438	senh:CFSAN002069_11490
ko:K01595	senh:CFSAN002069_11495
ko:K00005	senh:CFSAN002069_11515
ko:K09974	senh:CFSAN002069_11520
ko:K03782	senh:CFSAN002069_11525
ko:K00297	senh:CFSAN002069_11530
ko:K12525	senh:CFSAN002069_11555
ko:K03764	senh:CFSAN002069_11565
ko:K02909	senh:CFSAN002069_11585
ko:K04066	senh:CFSAN002069_11590
ko:K00024	senh:CFSAN002069_15375
ko:K03780	senh:CFSAN002069_15400
ko:K01573	senh:CFSAN002069_15405
ko:K04691	senh:CFSAN002069_15425
ko:K09908	senh:CFSAN002069_15435
ko:K06916	senh:CFSAN002069_15440
ko:K02871	senh:CFSAN002069_15445
ko:K02996	senh:CFSAN002069_15450
ko:K03599	senh:CFSAN002069_15455
ko:K03600	senh:CFSAN002069_15460
ko:K03290	senh:CFSAN002069_15475
ko:K00885	senh:CFSAN002069_15485
ko:K10974	senh:CFSAN002069_15500
ko:K00266	senh:CFSAN002069_15510
ko:K07139	senh:CFSAN002069_15525
ko:K07648	senh:CFSAN002069_15530
ko:K03814	senh:CFSAN002069_15540
ko:K06958	senh:CFSAN002069_15555
ko:K05808	senh:CFSAN002069_15565
ko:K03092	senh:CFSAN002069_15570
ko:K06861	senh:CFSAN002069_15575
ko:K09774	senh:CFSAN002069_15580
ko:K11719	senh:CFSAN002069_15585
ko:K03270	senh:CFSAN002069_15590
ko:K06041	senh:CFSAN002069_15595
ko:K07301	senh:CFSAN002069_15600
ko:K02065	senh:CFSAN002069_15605
ko:K02066	senh:CFSAN002069_15610
ko:K00615	senh:CFSAN002069_19395
ko:K00029	senh:CFSAN002069_19405
ko:K04031	senh:CFSAN002069_19410
ko:K04029	senh:CFSAN002069_19415
ko:K04030	senh:CFSAN002069_19420
ko:K04032	senh:CFSAN002069_19425
ko:K04020	senh:CFSAN002069_19430
ko:K04027	senh:CFSAN002069_19435
ko:K04021	senh:CFSAN002069_19445
ko:K04024	senh:CFSAN002069_19450
ko:K04022	senh:CFSAN002069_19455
ko:K04023	senh:CFSAN002069_19460
ko:K04019	senh:CFSAN002069_19465
ko:K03735	senh:CFSAN002069_19470
ko:K03736	senh:CFSAN002069_19475
ko:K04026	senh:CFSAN002069_19480
ko:K04025	senh:CFSAN002069_19485
ko:K04033	senh:CFSAN002069_19490
ko:K00228	senh:CFSAN002069_19500
ko:K01448	senh:CFSAN002069_19505
ko:K07223	senh:CFSAN002069_19525
ko:K02048	senh:CFSAN002069_19535
ko:K02046	senh:CFSAN002069_19540
ko:K02047	senh:CFSAN002069_19545
ko:K02045	senh:CFSAN002069_19550
ko:K12339	senh:CFSAN002069_19555
ko:K01951	senh:CFSAN002069_19570
ko:K00868	senh:CFSAN002069_19580
ko:K01738	senh:CFSAN002069_19610
ko:K06203	senh:CFSAN002069_19615
ko:K03528	senh:CFSAN002069_19620
ko:K01972	senh:CFSAN002069_19625
ko:K09954	senh:CFSAN002069_19630
ko:K14347	senh:CFSAN002069_19635
ko:K12410	senh:CFSAN002069_02910
ko:K09808	senh:CFSAN002069_02920
ko:K09810	senh:CFSAN002069_02925
ko:K09808	senh:CFSAN002069_02930
ko:K03723	senh:CFSAN002069_02935
ko:K12151	senh:CFSAN002069_02945
ko:K03885	senh:CFSAN002069_02965
ko:K07000	senh:CFSAN002069_02970
ko:K01207	senh:CFSAN002069_02975
ko:K07251	senh:CFSAN002069_02980
ko:K07337	senh:CFSAN002069_02985
ko:K02503	senh:CFSAN002069_02995
ko:K16088	senh:CFSAN002069_03000
ko:K03424	senh:CFSAN002069_03010
ko:K02341	senh:CFSAN002069_03015
ko:K00943	senh:CFSAN002069_03020
ko:K07082	senh:CFSAN002069_03025
ko:K09458	senh:CFSAN002069_03035
ko:K02078	senh:CFSAN002069_03040
ko:K00645	senh:CFSAN002069_03050
ko:K00648	senh:CFSAN002069_03055
ko:K03621	senh:CFSAN002069_03060
ko:K02911	senh:CFSAN002069_03065
ko:K07040	senh:CFSAN002069_03070
ko:K08300	senh:CFSAN002069_03095
ko:K02397	senh:CFSAN002069_03100
ko:K02396	senh:CFSAN002069_03105
ko:K02395	senh:CFSAN002069_03110
ko:K02394	senh:CFSAN002069_03115
ko:K02393	senh:CFSAN002069_03120
ko:K00847	senh:CFSAN002069_06875
ko:K03554	senh:CFSAN002069_06880
ko:K09913	senh:CFSAN002069_06885
ko:K14591	senh:CFSAN002069_06890
ko:K00891	senh:CFSAN002069_06900
ko:K09768	senh:CFSAN002069_06905
ko:K00286	senh:CFSAN002069_06910
ko:K01921	senh:CFSAN002069_06940
ko:K01698	senh:CFSAN002069_06990
ko:K01908	senh:CFSAN002069_06995
ko:K01720	senh:CFSAN002069_07000
ko:K02688	senh:CFSAN002069_07015
ko:K03329	senh:CFSAN002069_07025
ko:K00426	senh:CFSAN002069_07045
ko:K00425	senh:CFSAN002069_07050
ko:K03788	senh:CFSAN002069_10855
ko:K00832	senh:CFSAN002069_10860
ko:K01775	senh:CFSAN002069_10865
ko:K05539	senh:CFSAN002069_10885
ko:K09823	senh:CFSAN002069_10895
ko:K03327	senh:CFSAN002069_10910
ko:K01356	senh:CFSAN002069_10915
ko:K00901	senh:CFSAN002069_10920
ko:K00631	senh:CFSAN002069_10925
ko:K03179	senh:CFSAN002069_10930
ko:K03181	senh:CFSAN002069_10935
ko:K05775	senh:CFSAN002069_10940
ko:K02024	senh:CFSAN002069_10945
ko:K10111	senh:CFSAN002069_10950
ko:K10108	senh:CFSAN002069_10955
ko:K10109	senh:CFSAN002069_10960
ko:K10110	senh:CFSAN002069_10965
ko:K13256	senh:CFSAN002069_10970
ko:K01810	senh:CFSAN002069_10995
ko:K00928	senh:CFSAN002069_11000
ko:K06158	senh:CFSAN002069_14875
ko:K07070	senh:CFSAN002069_14890
ko:K03775	senh:CFSAN002069_14895
ko:K03745	senh:CFSAN002069_14900
ko:K07235	senh:CFSAN002069_14915
ko:K07236	senh:CFSAN002069_14920
ko:K07237	senh:CFSAN002069_14925
ko:K02950	senh:CFSAN002069_14930
ko:K02992	senh:CFSAN002069_14935
ko:K02355	senh:CFSAN002069_14940
ko:K02358	senh:CFSAN002069_14945
ko:K02192	senh:CFSAN002069_14950
ko:K03594	senh:CFSAN002069_14955
ko:K02946	senh:CFSAN002069_14965
ko:K02906	senh:CFSAN002069_14970
ko:K02926	senh:CFSAN002069_14975
ko:K02892	senh:CFSAN002069_14980
ko:K02886	senh:CFSAN002069_14985
ko:K02965	senh:CFSAN002069_14990
ko:K02890	senh:CFSAN002069_14995
ko:K02982	senh:CFSAN002069_15000
ko:K02878	senh:CFSAN002069_15005
ko:K02904	senh:CFSAN002069_15010
ko:K02961	senh:CFSAN002069_15015
ko:K02874	senh:CFSAN002069_15020
ko:K02895	senh:CFSAN002069_15025
ko:K02931	senh:CFSAN002069_15030
ko:K02954	senh:CFSAN002069_15035
ko:K02994	senh:CFSAN002069_15040
ko:K02933	senh:CFSAN002069_15045
ko:K02881	senh:CFSAN002069_15050
ko:K02988	senh:CFSAN002069_15055
ko:K02907	senh:CFSAN002069_15060
ko:K02876	senh:CFSAN002069_15065
ko:K03076	senh:CFSAN002069_15070
ko:K02952	senh:CFSAN002069_15075
ko:K02948	senh:CFSAN002069_15080
ko:K02986	senh:CFSAN002069_15085
ko:K03040	senh:CFSAN002069_15090
ko:K02879	senh:CFSAN002069_15095
ko:K03282	senh:CFSAN002069_15110
ko:K00997	senh:CFSAN002069_18885
ko:K08177	senh:CFSAN002069_18900
ko:K00077	senh:CFSAN002069_18905
ko:K07106	senh:CFSAN002069_18915
ko:K11991	senh:CFSAN002069_18930
ko:K01952	senh:CFSAN002069_18940
ko:K07711	senh:CFSAN002069_18945
ko:K07715	senh:CFSAN002069_18955
ko:K04751	senh:CFSAN002069_18960
ko:K03305	senh:CFSAN002069_18965
ko:K03765	senh:CFSAN002069_18980
ko:K05916	senh:CFSAN002069_18985
ko:K00600	senh:CFSAN002069_18990
ko:K05820	senh:CFSAN002069_18995
ko:K15396	senh:CFSAN002069_19040
ko:K13643	senh:CFSAN002069_19045
ko:K04487	senh:CFSAN002069_19050
ko:K04082	senh:CFSAN002069_19065
ko:K04044	senh:CFSAN002069_19070
ko:K04755	senh:CFSAN002069_19075
ko:K07751	senh:CFSAN002069_19085
ko:K06894	senh:CFSAN002069_19105
ko:K05367	senh:CFSAN002069_19110
