ko:K07496	bax:H9401_5147
ko:K14221	bax:H9401_trnaAsp4
ko:K14221	bax:H9401_trnaAsp2
ko:K14221	bax:H9401_trnaAsp3
ko:K10039	bax:H9401_0611
ko:K10009	bax:H9401_0816
ko:K18926	bax:H9401_0895
ko:K14227	bax:H9401_trnaIle1
ko:K14227	bax:H9401_trnaIle2
ko:K14227	bax:H9401_trnaIle4
ko:K14227	bax:H9401_trnaIle3
ko:K14218	bax:H9401_trnaAla1
ko:K14218	bax:H9401_trnaAla2
ko:K14218	bax:H9401_trnaAla5
ko:K14218	bax:H9401_trnaAla4
ko:K14218	bax:H9401_trnaAla3
ko:K14224	bax:H9401_trnaGlu1
ko:K14224	bax:H9401_trnaGlu7
ko:K14224	bax:H9401_trnaGlu3
ko:K14224	bax:H9401_trnaGlu5
ko:K14224	bax:H9401_trnaGlu4
ko:K14224	bax:H9401_trnaGlu6
ko:K14224	bax:H9401_trnaGlu2
ko:K14237	bax:H9401_trnaVal1
ko:K14237	bax:H9401_trnaVal4
ko:K14237	bax:H9401_trnaVal6
ko:K14237	bax:H9401_trnaVal2
ko:K14237	bax:H9401_trnaVal3
ko:K14228	bax:H9401_trnaLeu3
ko:K14228	bax:H9401_trnaLeu6
ko:K14225	bax:H9401_trnaGly3
ko:K14225	bax:H9401_trnaGly5
ko:K14225	bax:H9401_trnaGly8
ko:K14225	bax:H9401_trnaGly1
ko:K14228	bax:H9401_trnaLeu4
ko:K14228	bax:H9401_trnaLeu5
ko:K14219	bax:H9401_trnaArg1
ko:K14219	bax:H9401_trnaArg2
ko:K14219	bax:H9401_trnaArg4
ko:K10716	bax:H9401_4895
ko:K14220	bax:H9401_trnaAsn1
ko:K14220	bax:H9401_trnaAsn2
ko:K14220	bax:H9401_trnaAsn4
ko:K14220	bax:H9401_trnaAsn5
ko:K14220	bax:H9401_trnaAsn3
ko:K02338	bax:H9401_0002
ko:K03215	bax:H9401_0309
ko:K07043	bax:H9401_0313
ko:K03315	bax:H9401_0317
ko:K14665	bax:H9401_0318
ko:K03387	bax:H9401_0320
ko:K00899	bax:H9401_0322
ko:K08963	bax:H9401_0323
ko:K01628	bax:H9401_0324
ko:K02015	bax:H9401_0325
ko:K02015	bax:H9401_0326
ko:K02016	bax:H9401_0327
ko:K07074	bax:H9401_0340
ko:K05548	bax:H9401_0341
ko:K02029	bax:H9401_0344
ko:K01421	bax:H9401_0353
ko:K00878	bax:H9401_0355
ko:K00788	bax:H9401_0356
ko:K07791	bax:H9401_0357
ko:K06180	bax:H9401_1219
ko:K11473	bax:H9401_1223
ko:K02647	bax:H9401_1225
ko:K00782	bax:H9401_1232
ko:K02598	bax:H9401_1236
ko:K00023	bax:H9401_1244
ko:K03821	bax:H9401_1245
ko:K02012	bax:H9401_1250
ko:K02011	bax:H9401_1253
ko:K00655	bax:H9401_2127
ko:K11068	bax:H9401_2128
ko:K03116	bax:H9401_2129
ko:K03118	bax:H9401_2130
ko:K07152	bax:H9401_2135
ko:K01953	bax:H9401_2137
ko:K02016	bax:H9401_2140
ko:K00824	bax:H9401_2141
ko:K05847	bax:H9401_2167
ko:K03758	bax:H9401_2169
ko:K11686	bax:H9401_2174
ko:K01034	bax:H9401_2182
ko:K01438	bax:H9401_2184
ko:K02548	bax:H9401_3040
ko:K04045	bax:H9401_3055
ko:K11210	bax:H9401_3918
ko:K07001	bax:H9401_3943
ko:K00954	bax:H9401_3945
ko:K02276	bax:H9401_3959
ko:K02275	bax:H9401_3961
ko:K02259	bax:H9401_3963
ko:K01779	bax:H9401_4783
ko:K03752	bax:H9401_4791
ko:K03638	bax:H9401_4792
ko:K00789	bax:H9401_4795
ko:K01610	bax:H9401_4796
ko:K07173	bax:H9401_4819
ko:K08998	bax:H9401_4820
ko:K01673	bax:H9401_4821
ko:K00425	bax:H9401_4822
ko:K00426	bax:H9401_4823
ko:K03969	bax:H9401_4832
ko:K04759	bax:H9401_4835
ko:K04758	bax:H9401_4836
ko:K03666	bax:H9401_5673
ko:K03168	bax:H9401_5680
ko:K02283	bax:H9401_5704
ko:K14232	bax:H9401_trnaPro1
ko:K14232	bax:H9401_trnaPro3
ko:K14232	bax:H9401_trnaPro2
ko:K14229	bax:H9401_trnaLys1
ko:K14229	bax:H9401_trnaLys3
ko:K14229	bax:H9401_trnaLys5
ko:K14229	bax:H9401_trnaLys4
ko:K14229	bax:H9401_trnaLys2
ko:K00656	bax:H9401_0482
ko:K04069	bax:H9401_0483
ko:K07071	bax:H9401_0488
ko:K03565	bax:H9401_0489
ko:K06428	bax:H9401_0492
ko:K03575	bax:H9401_0495
ko:K06422	bax:H9401_0497
ko:K01845	bax:H9401_0504
ko:K08713	bax:H9401_0508
ko:K03564	bax:H9401_0509
ko:K03216	bax:H9401_0519
ko:K07180	bax:H9401_0521
ko:K09786	bax:H9401_0522
ko:K11622	bax:H9401_1369
ko:K03311	bax:H9401_1373
ko:K05916	bax:H9401_1379
ko:K07090	bax:H9401_1382
ko:K03306	bax:H9401_1383
ko:K07220	bax:H9401_1384
ko:K14205	bax:H9401_1395
ko:K04564	bax:H9401_1398
ko:K06373	bax:H9401_1400
ko:K06374	bax:H9401_1401
ko:K06178	bax:H9401_1402
ko:K07399	bax:H9401_1404
ko:K07775	bax:H9401_1406
ko:K07651	bax:H9401_1407
ko:K03654	bax:H9401_1414
ko:K00260	bax:H9401_1421
ko:K00384	bax:H9401_1425
ko:K03704	bax:H9401_2302
ko:K00133	bax:H9401_2314
ko:K01448	bax:H9401_2323
ko:K03088	bax:H9401_2331
ko:K02760	bax:H9401_2339
ko:K02761	bax:H9401_2340
ko:K09001	bax:H9401_2342
ko:K01754	bax:H9401_2346
ko:K02003	bax:H9401_2358
ko:K02553	bax:H9401_3206
ko:K08591	bax:H9401_3212
ko:K01892	bax:H9401_3214
ko:K00873	bax:H9401_3220
ko:K02003	bax:H9401_3241
ko:K01867	bax:H9401_3242
ko:K00099	bax:H9401_3243
ko:K09984	bax:H9401_3259
ko:K01443	bax:H9401_4074
ko:K06024	bax:H9401_4076
ko:K05896	bax:H9401_4077
ko:K02859	bax:H9401_4079
ko:K06408	bax:H9401_4084
ko:K06407	bax:H9401_4085
ko:K06407	bax:H9401_4086
ko:K06406	bax:H9401_4087
ko:K06405	bax:H9401_4088
ko:K06404	bax:H9401_4089
ko:K06403	bax:H9401_4090
ko:K03308	bax:H9401_4092
ko:K03091	bax:H9401_4093
ko:K06379	bax:H9401_4094
ko:K09807	bax:H9401_4103
ko:K06901	bax:H9401_4104
ko:K03284	bax:H9401_4105
ko:K00756	bax:H9401_4106
ko:K01839	bax:H9401_4108
ko:K07084	bax:H9401_4125
ko:K01778	bax:H9401_4936
ko:K03885	bax:H9401_4938
ko:K02068	bax:H9401_4940
ko:K02069	bax:H9401_4941
ko:K06193	bax:H9401_4942
ko:K03644	bax:H9401_4969
ko:K09014	bax:H9401_4977
ko:K11717	bax:H9401_4979
ko:K09015	bax:H9401_4980
ko:K09013	bax:H9401_4981
ko:K02073	bax:H9401_4982
ko:K02034	bax:H9401_0217
ko:K00457	bax:H9401_0227
ko:K00451	bax:H9401_0229
ko:K01921	bax:H9401_0231
ko:K01929	bax:H9401_0233
ko:K05592	bax:H9401_0234
ko:K00997	bax:H9401_0237
ko:K01775	bax:H9401_0239
ko:K07723	bax:H9401_0240
ko:K06959	bax:H9401_0242
ko:K06925	bax:H9401_0244
ko:K03789	bax:H9401_0246
ko:K06158	bax:H9401_0248
ko:K01926	bax:H9401_0249
ko:K04078	bax:H9401_0251
ko:K04077	bax:H9401_0252
ko:K01951	bax:H9401_0253
ko:K06901	bax:H9401_0254
ko:K06299	bax:H9401_1084
ko:K01953	bax:H9401_1091
ko:K01772	bax:H9401_1092
ko:K03781	bax:H9401_1093
ko:K03320	bax:H9401_1094
ko:K09767	bax:H9401_1097
ko:K00243	bax:H9401_1098
ko:K03695	bax:H9401_1108
ko:K02254	bax:H9401_1112
ko:K00648	bax:H9401_1113
ko:K09458	bax:H9401_1114
ko:K01867	bax:H9401_1117
ko:K15580	bax:H9401_1119
ko:K15581	bax:H9401_1120
ko:K06131	bax:H9401_1131
ko:K08602	bax:H9401_1133
ko:K06886	bax:H9401_1136
ko:K00858	bax:H9401_1140
ko:K06180	bax:H9401_1141
ko:K00432	bax:H9401_2012
ko:K03924	bax:H9401_2015
ko:K00370	bax:H9401_2018
ko:K00371	bax:H9401_2019
ko:K00373	bax:H9401_2020
ko:K03639	bax:H9401_2026
ko:K03750	bax:H9401_2028
ko:K03636	bax:H9401_2030
ko:K02575	bax:H9401_2031
ko:K07088	bax:H9401_2032
ko:K02304	bax:H9401_2034
ko:K13542	bax:H9401_2036
ko:K00363	bax:H9401_2037
ko:K00362	bax:H9401_2038
ko:K07322	bax:H9401_2039
ko:K00675	bax:H9401_2044
ko:K06416	bax:H9401_2046
ko:K06950	bax:H9401_2051
ko:K15738	bax:H9401_2052
ko:K01887	bax:H9401_2063
ko:K00876	bax:H9401_2930
ko:K07090	bax:H9401_2934
ko:K03100	bax:H9401_2945
ko:K01304	bax:H9401_2949
ko:K07160	bax:H9401_2953
ko:K06350	bax:H9401_2954
ko:K03100	bax:H9401_2957
ko:K06385	bax:H9401_2959
ko:K09190	bax:H9401_2977
ko:K03655	bax:H9401_3804
ko:K02902	bax:H9401_3807
ko:K01783	bax:H9401_3809
ko:K06949	bax:H9401_3810
ko:K06941	bax:H9401_3813
ko:K03500	bax:H9401_3814
ko:K00604	bax:H9401_3815
ko:K01462	bax:H9401_3816
ko:K04066	bax:H9401_3817
ko:K13038	bax:H9401_3818
ko:K03060	bax:H9401_3819
ko:K00942	bax:H9401_3820
ko:K09777	bax:H9401_3821
ko:K00762	bax:H9401_3832
ko:K01591	bax:H9401_3833
ko:K01955	bax:H9401_3836
ko:K01956	bax:H9401_3837
ko:K01465	bax:H9401_3838
ko:K00609	bax:H9401_3839
ko:K02825	bax:H9401_3841
ko:K06180	bax:H9401_3842
ko:K03101	bax:H9401_3843
ko:K01870	bax:H9401_3845
ko:K04074	bax:H9401_3846
ko:K02221	bax:H9401_3848
ko:K09772	bax:H9401_3849
ko:K06997	bax:H9401_3850
ko:K05810	bax:H9401_3851
ko:K03091	bax:H9401_3853
ko:K03091	bax:H9401_3854
ko:K06383	bax:H9401_3855
ko:K03531	bax:H9401_3856
ko:K01895	bax:H9401_4672
ko:K03151	bax:H9401_4674
ko:K04487	bax:H9401_4675
ko:K01761	bax:H9401_4683
ko:K02986	bax:H9401_4684
ko:K01866	bax:H9401_4687
ko:K03088	bax:H9401_4689
ko:K01895	bax:H9401_4691
ko:K04766	bax:H9401_4692
ko:K04768	bax:H9401_4694
ko:K14235	bax:H9401_trnaTrp1
ko:K14235	bax:H9401_trnaTrp2
ko:K02890	bax:H9401_0108
ko:K02982	bax:H9401_0109
ko:K02878	bax:H9401_0110
ko:K02904	bax:H9401_0111
ko:K02961	bax:H9401_0112
ko:K02874	bax:H9401_0113
ko:K02895	bax:H9401_0114
ko:K02931	bax:H9401_0115
ko:K02954	bax:H9401_0116
ko:K02994	bax:H9401_0117
ko:K02933	bax:H9401_0118
ko:K02881	bax:H9401_0119
ko:K02988	bax:H9401_0120
ko:K02907	bax:H9401_0121
ko:K02876	bax:H9401_0122
ko:K03076	bax:H9401_0123
ko:K01265	bax:H9401_0125
ko:K02518	bax:H9401_0126
ko:K02919	bax:H9401_0127
ko:K02952	bax:H9401_0128
ko:K02948	bax:H9401_0129
ko:K03040	bax:H9401_0130
ko:K02879	bax:H9401_0131
ko:K06173	bax:H9401_0135
ko:K02871	bax:H9401_0136
ko:K02996	bax:H9401_0137
ko:K01448	bax:H9401_0139
ko:K06294	bax:H9401_0141
ko:K06349	bax:H9401_0142
ko:K00865	bax:H9401_0146
ko:K01476	bax:H9401_0147
ko:K03431	bax:H9401_0150
ko:K00820	bax:H9401_0151
ko:K11476	bax:H9401_0153
ko:K02440	bax:H9401_0971
ko:K00864	bax:H9401_0972
ko:K00111	bax:H9401_0973
ko:K03088	bax:H9401_0976
ko:K03657	bax:H9401_0984
ko:K09682	bax:H9401_0988
ko:K02503	bax:H9401_0990
ko:K08987	bax:H9401_1002
ko:K01599	bax:H9401_1011
ko:K01772	bax:H9401_1012
ko:K00231	bax:H9401_1013
ko:K01421	bax:H9401_1021
ko:K13275	bax:H9401_1900
ko:K06949	bax:H9401_1907
ko:K04047	bax:H9401_1912
ko:K11210	bax:H9401_1937
ko:K06330	bax:H9401_1941
ko:K03284	bax:H9401_1945
ko:K07089	bax:H9401_1946
ko:K06131	bax:H9401_1949
ko:K00800	bax:H9401_2817
ko:K00817	bax:H9401_2819
ko:K01736	bax:H9401_2820
ko:K13853	bax:H9401_2821
ko:K03088	bax:H9401_2832
ko:K00116	bax:H9401_2836
ko:K10555	bax:H9401_2837
ko:K10557	bax:H9401_2838
ko:K10556	bax:H9401_2839
ko:K10558	bax:H9401_2840
ko:K11216	bax:H9401_2842
ko:K00147	bax:H9401_2854
ko:K00931	bax:H9401_2855
ko:K00286	bax:H9401_2857
ko:K10255	bax:H9401_2862
ko:K07727	bax:H9401_2865
ko:K01449	bax:H9401_3707
ko:K07137	bax:H9401_3708
ko:K01442	bax:H9401_3712
ko:K03572	bax:H9401_3718
ko:K03555	bax:H9401_3719
ko:K06328	bax:H9401_3720
ko:K06168	bax:H9401_3722
ko:K00175	bax:H9401_3723
ko:K00174	bax:H9401_3724
ko:K01273	bax:H9401_3725
ko:K06416	bax:H9401_3726
ko:K09769	bax:H9401_3727
ko:K00995	bax:H9401_3732
ko:K02057	bax:H9401_3739
ko:K02057	bax:H9401_3740
ko:K07335	bax:H9401_3743
ko:K03710	bax:H9401_3744
ko:K03466	bax:H9401_3745
ko:K01714	bax:H9401_3749
ko:K00928	bax:H9401_3750
ko:K06969	bax:H9401_4562
ko:K08600	bax:H9401_4565
ko:K02013	bax:H9401_4566
ko:K02015	bax:H9401_4567
ko:K02016	bax:H9401_4568
ko:K03311	bax:H9401_4572
ko:K06182	bax:H9401_4573
ko:K07456	bax:H9401_4574
ko:K02347	bax:H9401_4575
ko:K09888	bax:H9401_4577
ko:K01893	bax:H9401_4581
ko:K01890	bax:H9401_4582
ko:K01889	bax:H9401_4583
ko:K03437	bax:H9401_4584
ko:K06426	bax:H9401_4585
ko:K06950	bax:H9401_4586
ko:K02887	bax:H9401_4596
ko:K02916	bax:H9401_4597
ko:K02520	bax:H9401_4598
ko:K01868	bax:H9401_4599
ko:K07738	bax:H9401_4603
ko:K01611	bax:H9401_4604
ko:K00134	bax:H9401_4606
ko:K00859	bax:H9401_4607
ko:K07636	bax:H9401_4611
ko:K00024	bax:H9401_4615
ko:K12267	bax:H9401_5430
ko:K05339	bax:H9401_5432
ko:K05338	bax:H9401_5433
ko:K07704	bax:H9401_5435
ko:K00491	bax:H9401_5438
ko:K04564	bax:H9401_5439
ko:K11068	bax:H9401_5444
ko:K00364	bax:H9401_5448
ko:K00783	bax:H9401_5451
ko:K01939	bax:H9401_5459
ko:K02939	bax:H9401_5461
ko:K02963	bax:H9401_5464
ko:K02990	bax:H9401_5466
ko:K06942	bax:H9401_5467
ko:K03501	bax:H9401_5474
ko:K03282	bax:H9401_4700
ko:K02529	bax:H9401_4705
ko:K03817	bax:H9401_4712
ko:K01924	bax:H9401_4713
ko:K00763	bax:H9401_4714
ko:K03466	bax:H9401_4715
ko:K06878	bax:H9401_4717
ko:K03439	bax:H9401_4724
ko:K02279	bax:H9401_5555
ko:K02283	bax:H9401_5558
ko:K14230	bax:H9401_trnaMet7
ko:K14230	bax:H9401_trnaMet5
ko:K01881	bax:H9401_0375
ko:K05795	bax:H9401_0379
ko:K05795	bax:H9401_0380
ko:K07058	bax:H9401_0388
ko:K01534	bax:H9401_0389
ko:K03100	bax:H9401_0392
ko:K07300	bax:H9401_0399
ko:K06215	bax:H9401_0010
ko:K08681	bax:H9401_0011
ko:K01875	bax:H9401_0012
ko:K15519	bax:H9401_0014
ko:K15518	bax:H9401_0015
ko:K02343	bax:H9401_0018
ko:K09747	bax:H9401_0019
ko:K06187	bax:H9401_0020
ko:K06317	bax:H9401_0022
ko:K00943	bax:H9401_0025
ko:K02341	bax:H9401_0026
ko:K07461	bax:H9401_0030
ko:K07056	bax:H9401_0031
ko:K06284	bax:H9401_0032
ko:K01874	bax:H9401_0033
ko:K03424	bax:H9401_0034
ko:K05985	bax:H9401_0035
ko:K02528	bax:H9401_0036
ko:K06436	bax:H9401_0037
ko:K06423	bax:H9401_0039
ko:K00919	bax:H9401_0040
ko:K06412	bax:H9401_0043
ko:K04042	bax:H9401_0044
ko:K00948	bax:H9401_0045
ko:K01056	bax:H9401_0046
ko:K03723	bax:H9401_0048
ko:K04769	bax:H9401_0049
ko:K01448	bax:H9401_0854
ko:K02034	bax:H9401_0868
ko:K09124	bax:H9401_0883
ko:K07090	bax:H9401_0893
ko:K00077	bax:H9401_1780
ko:K11034	bax:H9401_1785
ko:K11034	bax:H9401_1786
ko:K05346	bax:H9401_1788
ko:K11535	bax:H9401_1790
ko:K00756	bax:H9401_1791
ko:K01118	bax:H9401_1805
ko:K03311	bax:H9401_1806
ko:K03311	bax:H9401_1807
ko:K14166	bax:H9401_1810
ko:K00648	bax:H9401_1828
ko:K01999	bax:H9401_1829
ko:K01995	bax:H9401_1830
ko:K01996	bax:H9401_1831
ko:K01997	bax:H9401_1832
ko:K01998	bax:H9401_1833
ko:K03740	bax:H9401_2715
ko:K15580	bax:H9401_2717
ko:K05946	bax:H9401_2737
ko:K03088	bax:H9401_3616
ko:K02003	bax:H9401_4456
ko:K03979	bax:H9401_4460
ko:K06375	bax:H9401_4461
ko:K02899	bax:H9401_4462
ko:K02888	bax:H9401_4464
ko:K08301	bax:H9401_4465
ko:K06401	bax:H9401_4467
ko:K03609	bax:H9401_4468
ko:K03610	bax:H9401_4469
ko:K03571	bax:H9401_4470
ko:K03570	bax:H9401_4471
ko:K03569	bax:H9401_4472
ko:K03630	bax:H9401_4473
ko:K06287	bax:H9401_4474
ko:K11754	bax:H9401_4476
ko:K01873	bax:H9401_4477
ko:K06417	bax:H9401_4479
ko:K01845	bax:H9401_4480
ko:K01698	bax:H9401_4481
ko:K01749	bax:H9401_4483
ko:K02497	bax:H9401_4485
ko:K02492	bax:H9401_4486
ko:K03978	bax:H9401_4489
ko:K01338	bax:H9401_4490
ko:K03544	bax:H9401_4492
ko:K03545	bax:H9401_4493
ko:K07095	bax:H9401_4498
ko:K00989	bax:H9401_4500
ko:K01776	bax:H9401_4502
ko:K06387	bax:H9401_5313
ko:K02493	bax:H9401_5314
ko:K02835	bax:H9401_5315
ko:K03628	bax:H9401_5318
ko:K00790	bax:H9401_5320
ko:K01624	bax:H9401_5321
ko:K02490	bax:H9401_5322
ko:K01937	bax:H9401_5324
ko:K00074	bax:H9401_5329
ko:K06131	bax:H9401_5332
ko:K07693	bax:H9401_5338
ko:K07778	bax:H9401_5339
ko:K01265	bax:H9401_5342
ko:K03088	bax:H9401_5351
ko:K01887	bax:H9401_5352
ko:K01676	bax:H9401_0403
ko:K01247	bax:H9401_0406
ko:K05306	bax:H9401_1254
ko:K03430	bax:H9401_1255
ko:K09798	bax:H9401_1265
ko:K15973	bax:H9401_1268
ko:K07697	bax:H9401_1272
ko:K06920	bax:H9401_1273
ko:K01737	bax:H9401_1274
ko:K10026	bax:H9401_1275
ko:K09457	bax:H9401_1276
ko:K00459	bax:H9401_1300
ko:K03740	bax:H9401_1301
ko:K14188	bax:H9401_1302
ko:K03739	bax:H9401_1303
ko:K03367	bax:H9401_1304
ko:K03839	bax:H9401_1308
ko:K06714	bax:H9401_2186
ko:K06304	bax:H9401_2222
ko:K05366	bax:H9401_2225
ko:K01647	bax:H9401_2228
ko:K01720	bax:H9401_2229
ko:K00140	bax:H9401_2234
ko:K03547	bax:H9401_2239
ko:K00648	bax:H9401_3096
ko:K02003	bax:H9401_3100
ko:K07734	bax:H9401_3109
ko:K00782	bax:H9401_3112
ko:K04095	bax:H9401_3142
ko:K03837	bax:H9401_3146
ko:K01752	bax:H9401_3147
ko:K03588	bax:H9401_3965
ko:K07175	bax:H9401_3968
ko:K06207	bax:H9401_3973
ko:K00686	bax:H9401_3980
ko:K00382	bax:H9401_3986
ko:K00627	bax:H9401_3987
ko:K00162	bax:H9401_3988
ko:K00161	bax:H9401_3989
ko:K01462	bax:H9401_3991
ko:K00426	bax:H9401_3996
ko:K05823	bax:H9401_3997
ko:K09776	bax:H9401_4002
ko:K00937	bax:H9401_4012
ko:K01524	bax:H9401_4013
ko:K00760	bax:H9401_4844
ko:K02003	bax:H9401_4855
ko:K13653	bax:H9401_4856
ko:K00874	bax:H9401_4868
ko:K01042	bax:H9401_4870
ko:K01465	bax:H9401_4871
ko:K01911	bax:H9401_4878
ko:K01661	bax:H9401_4879
ko:K02551	bax:H9401_4881
ko:K02548	bax:H9401_4883
ko:K03704	bax:H9401_4885
ko:K00688	bax:H9401_4888
ko:K00703	bax:H9401_4889
ko:K00975	bax:H9401_4890
ko:K00975	bax:H9401_4891
ko:K01448	bax:H9401_5730
ko:K07282	bax:H9401_5749
ko:K03100	bax:H9401_5756
ko:K02529	bax:H9401_0636
ko:K06726	bax:H9401_0638
ko:K10441	bax:H9401_0639
ko:K01114	bax:H9401_0648
ko:K06153	bax:H9401_0654
ko:K03305	bax:H9401_0660
ko:K03311	bax:H9401_0661
ko:K02829	bax:H9401_0671
ko:K02828	bax:H9401_0672
ko:K02827	bax:H9401_0673
ko:K02826	bax:H9401_0674
ko:K06310	bax:H9401_0679
ko:K06311	bax:H9401_0680
ko:K06312	bax:H9401_0681
ko:K04758	bax:H9401_0684
ko:K02040	bax:H9401_0685
ko:K02037	bax:H9401_0686
ko:K02038	bax:H9401_0687
ko:K03666	bax:H9401_1561
ko:K07023	bax:H9401_1562
ko:K02556	bax:H9401_1563
ko:K02557	bax:H9401_1564
ko:K03413	bax:H9401_1565
ko:K03407	bax:H9401_1567
ko:K02417	bax:H9401_1568
ko:K09770	bax:H9401_1573
ko:K02396	bax:H9401_1575
ko:K02397	bax:H9401_1576
ko:K02407	bax:H9401_1578
ko:K02422	bax:H9401_1579
ko:K02387	bax:H9401_1581
ko:K00797	bax:H9401_5359
ko:K01126	bax:H9401_5363
ko:K01821	bax:H9401_5367
ko:K18682	bax:H9401_3728
ko:K02388	bax:H9401_1582
ko:K02408	bax:H9401_1583
ko:K02409	bax:H9401_1584
ko:K02410	bax:H9401_1586
ko:K02411	bax:H9401_1587
ko:K02412	bax:H9401_1588
ko:K02389	bax:H9401_1593
ko:K02390	bax:H9401_1594
ko:K03415	bax:H9401_1598
ko:K00003	bax:H9401_2485
ko:K01921	bax:H9401_2487
ko:K03707	bax:H9401_2488
ko:K01779	bax:H9401_2514
ko:K07697	bax:H9401_2519
ko:K00675	bax:H9401_3378
ko:K08602	bax:H9401_3379
ko:K01126	bax:H9401_3386
ko:K07734	bax:H9401_3396
ko:K03453	bax:H9401_3398
ko:K07507	bax:H9401_3408
ko:K03704	bax:H9401_3417
ko:K03839	bax:H9401_3419
ko:K00283	bax:H9401_4241
ko:K00282	bax:H9401_4242
ko:K00605	bax:H9401_4243
ko:K00891	bax:H9401_4251
ko:K00472	bax:H9401_4253
ko:K02247	bax:H9401_4256
ko:K06956	bax:H9401_4263
ko:K02563	bax:H9401_4270
ko:K02913	bax:H9401_4283
ko:K02039	bax:H9401_4285
ko:K02036	bax:H9401_4286
ko:K02038	bax:H9401_4287
ko:K02037	bax:H9401_4288
ko:K02040	bax:H9401_4289
ko:K01689	bax:H9401_5115
ko:K15633	bax:H9401_5116
ko:K01803	bax:H9401_5117
ko:K00927	bax:H9401_5118
ko:K00134	bax:H9401_5119
ko:K05311	bax:H9401_5120
ko:K03092	bax:H9401_5122
ko:K06405	bax:H9401_5125
ko:K06406	bax:H9401_5126
ko:K06407	bax:H9401_5127
ko:K01358	bax:H9401_5130
ko:K11184	bax:H9401_5131
ko:K06958	bax:H9401_5134
ko:K00384	bax:H9401_5137
ko:K06019	bax:H9401_5140
ko:K13292	bax:H9401_5141
ko:K08972	bax:H9401_5143
ko:K03701	bax:H9401_5145
ko:K03702	bax:H9401_5146
ko:K03324	bax:H9401_0750
ko:K02759	bax:H9401_0754
ko:K02760	bax:H9401_0755
ko:K02761	bax:H9401_0756
ko:K02034	bax:H9401_0766
ko:K03311	bax:H9401_0767
ko:K06334	bax:H9401_0768
ko:K06333	bax:H9401_0769
ko:K06332	bax:H9401_0770
ko:K10979	bax:H9401_0773
ko:K07106	bax:H9401_0785
ko:K03315	bax:H9401_1669
ko:K05995	bax:H9401_1676
ko:K01753	bax:H9401_1686
ko:K06131	bax:H9401_1697
