ko:K00054	ssu:SSU05_1642
ko:K01489	ssu:SSU05_1084
ko:K00974	ssu:SSU05_0829
ko:K03177	ssu:SSU05_1114
ko:K03086	ssu:SSU05_1428
ko:K01868	ssu:SSU05_1366
ko:K00297	ssu:SSU05_1775
ko:K03570	ssu:SSU05_0019
ko:K03151	ssu:SSU05_0777
ko:K05337	ssu:SSU05_1272
ko:K02956	ssu:SSU05_1934
ko:K04074	ssu:SSU05_0487
ko:K09772	ssu:SSU05_0484
ko:K07816	ssu:SSU05_1060
ko:K00858	ssu:SSU05_1059
ko:K02238	ssu:SSU05_0654
ko:K02358	ssu:SSU05_0530
ko:K03589	ssu:SSU05_0478
ko:K06191	ssu:SSU05_1206
ko:K01924	ssu:SSU05_1720
ko:K06958	ssu:SSU05_0620
ko:K03544	ssu:SSU05_0837
ko:K07009	ssu:SSU05_1472
ko:K02887	ssu:SSU05_1268
ko:K07042	ssu:SSU05_1399
ko:K03595	ssu:SSU05_1397
ko:K03664	ssu:SSU05_1390
ko:K06198	ssu:SSU05_1244
ko:K01992	ssu:SSU05_0256
ko:K02114	ssu:SSU05_1171
ko:K02909	ssu:SSU05_1531
ko:K01955	ssu:SSU05_0792
ko:K00067	ssu:SSU05_1296
ko:K00648	ssu:SSU05_1807
ko:K02821	ssu:SSU05_2061
ko:K02822	ssu:SSU05_2062
ko:K03475	ssu:SSU05_2063
ko:K02248	ssu:SSU05_0131
ko:K02246	ssu:SSU05_0129
ko:K02245	ssu:SSU05_0128
ko:K02243	ssu:SSU05_0126
ko:K08987	ssu:SSU05_1135
ko:K07010	ssu:SSU05_1773
ko:K03555	ssu:SSU05_2123
ko:K03402	ssu:SSU05_2125
ko:K10773	ssu:SSU05_0813
ko:K01962	ssu:SSU05_1796
ko:K02902	ssu:SSU05_0340
ko:K01653	ssu:SSU05_1887
ko:K00053	ssu:SSU05_1886
ko:K06969	ssu:SSU05_1264
ko:K02036	ssu:SSU05_1101
ko:K06023	ssu:SSU05_1606
ko:K02970	ssu:SSU05_1433
ko:K05823	ssu:SSU05_2044
ko:K03693	ssu:SSU05_0120
ko:K03475	ssu:SSU05_0189
ko:K02822	ssu:SSU05_0188
ko:K06967	ssu:SSU05_1304
ko:K02316	ssu:SSU05_1429
ko:K01879	ssu:SSU05_1764
ko:K03466	ssu:SSU05_1335
ko:K00867	ssu:SSU05_1088
ko:K00791	ssu:SSU05_1316
ko:K00995	ssu:SSU05_2177
ko:K04069	ssu:SSU05_0705
ko:K02759	ssu:SSU05_0709
ko:K02838	ssu:SSU05_1326
ko:K01104	ssu:SSU05_1691
ko:K00615	ssu:SSU05_2054
ko:K01191	ssu:SSU05_1919
ko:K01925	ssu:SSU05_0476
ko:K02760	ssu:SSU05_0710
ko:K00656	ssu:SSU05_0714
ko:K01881	ssu:SSU05_1961
ko:K06901	ssu:SSU05_1776
ko:K03491	ssu:SSU05_2076
ko:K00874	ssu:SSU05_1223
ko:K00046	ssu:SSU05_1225
ko:K02744	ssu:SSU05_1221
ko:K02745	ssu:SSU05_1219
ko:K02746	ssu:SSU05_1218
ko:K02747	ssu:SSU05_1217
ko:K03210	ssu:SSU05_1216
ko:K03438	ssu:SSU05_1744
ko:K03700	ssu:SSU05_0415
ko:K07444	ssu:SSU05_0418
ko:K03581	ssu:SSU05_0224
ko:K03471	ssu:SSU05_0226
ko:K01915	ssu:SSU05_0160
ko:K03427	ssu:SSU05_1452
ko:K03705	ssu:SSU05_0298
ko:K02503	ssu:SSU05_1856
ko:K02237	ssu:SSU05_0653
ko:K02520	ssu:SSU05_1270
ko:K00891	ssu:SSU05_0599
ko:K04517	ssu:SSU05_1261
ko:K07457	ssu:SSU05_0208
ko:K03439	ssu:SSU05_1851
ko:K02519	ssu:SSU05_1846
ko:K03488	ssu:SSU05_1491
ko:K01223	ssu:SSU05_1489
ko:K01889	ssu:SSU05_1152
ko:K00549	ssu:SSU05_1774
ko:K07533	ssu:SSU05_1238
ko:K03976	ssu:SSU05_0521
ko:K08974	ssu:SSU05_0522
ko:K01515	ssu:SSU05_1583
ko:K02335	ssu:SSU05_1378
ko:K01990	ssu:SSU05_1855
ko:K01126	ssu:SSU05_0193
ko:K00841	ssu:SSU05_0022
ko:K02242	ssu:SSU05_0438
ko:K01512	ssu:SSU05_1714
ko:K03217	ssu:SSU05_1715
ko:K07015	ssu:SSU05_0365
ko:K02916	ssu:SSU05_1269
ko:K01866	ssu:SSU05_0119
ko:K01821	ssu:SSU05_0842
ko:K00537	ssu:SSU05_1447
ko:K02528	ssu:SSU05_2001
ko:K00847	ssu:SSU05_1816
ko:K02621	ssu:SSU05_0764
ko:K01635	ssu:SSU05_1258
ko:K01923	ssu:SSU05_0026
ko:K00262	ssu:SSU05_0252
ko:K00226	ssu:SSU05_0253
ko:K01823	ssu:SSU05_0292
ko:K01426	ssu:SSU05_0304
ko:K01914	ssu:SSU05_0467
ko:K01870	ssu:SSU05_0489
ko:K01595	ssu:SSU05_0527
ko:K00873	ssu:SSU05_0544
ko:K00820	ssu:SSU05_0549
ko:K00931	ssu:SSU05_0557
ko:K00147	ssu:SSU05_0558
ko:K01893	ssu:SSU05_0614
ko:K01478	ssu:SSU05_0624
ko:K00611	ssu:SSU05_0626
ko:K00926	ssu:SSU05_0627
ko:K03367	ssu:SSU05_0638
ko:K00005	ssu:SSU05_0717
ko:K00864	ssu:SSU05_0722
ko:K01304	ssu:SSU05_0794
ko:K00075	ssu:SSU05_0804
ko:K01819	ssu:SSU05_1042
ko:K00948	ssu:SSU05_1065
ko:K00016	ssu:SSU05_1076
ko:K01258	ssu:SSU05_1128
ko:K01686	ssu:SSU05_1157
ko:K00790	ssu:SSU05_1170
ko:K01972	ssu:SSU05_1180
ko:K01626	ssu:SSU05_1250
ko:K00014	ssu:SSU05_1251
ko:K01736	ssu:SSU05_1262
ko:K00784	ssu:SSU05_1313
ko:K00077	ssu:SSU05_1324
ko:K01839	ssu:SSU05_1448
ko:K00876	ssu:SSU05_1631
ko:K01916	ssu:SSU05_1673
ko:K01000	ssu:SSU05_1741
ko:K06153	ssu:SSU05_1879
ko:K01754	ssu:SSU05_1885
ko:K01462	ssu:SSU05_1944
ko:K00566	ssu:SSU05_2170
ko:K00088	ssu:SSU05_2183
ko:K03111	ssu:SSU05_1833
ko:K02963	ssu:SSU05_1832
ko:K02939	ssu:SSU05_2160
ko:K03629	ssu:SSU05_2182
ko:K07462	ssu:SSU05_1309
ko:K02470	ssu:SSU05_1510
ko:K02469	ssu:SSU05_1075
ko:K02990	ssu:SSU05_1834
ko:K03070	ssu:SSU05_1814
ko:K01626	ssu:SSU05_1249
ko:K01940	ssu:SSU05_2017
ko:K01755	ssu:SSU05_2016
ko:K00783	ssu:SSU05_2191
ko:K00215	ssu:SSU05_0828
ko:K00927	ssu:SSU05_0157
ko:K02913	ssu:SSU05_0276
ko:K02911	ssu:SSU05_0277
ko:K09761	ssu:SSU05_2106
ko:K02313	ssu:SSU05_0001
ko:K02338	ssu:SSU05_0002
ko:K06942	ssu:SSU05_0006
ko:K01056	ssu:SSU05_0007
ko:K03723	ssu:SSU05_0008
ko:K02340	ssu:SSU05_1540
ko:K00760	ssu:SSU05_0014
ko:K03798	ssu:SSU05_0015
ko:K03800	ssu:SSU05_1836
ko:K01867	ssu:SSU05_2184
ko:K03710	ssu:SSU05_0874
ko:K00001	ssu:SSU05_1388
ko:K03152	ssu:SSU05_1511
ko:K01591	ssu:SSU05_1009
ko:K00849	ssu:SSU05_0360
ko:K01963	ssu:SSU05_1797
ko:K00826	ssu:SSU05_0767
ko:K03424	ssu:SSU05_2011
ko:K01154	ssu:SSU05_1451
ko:K02945	ssu:SSU05_0769
ko:K02945	ssu:SSU05_0770
ko:K01620	ssu:SSU05_0774
ko:K02768	ssu:SSU05_0824
ko:K02769	ssu:SSU05_0824
ko:K02770	ssu:SSU05_0824
ko:K02770	ssu:SSU05_0825
ko:K00845	ssu:SSU05_0832
ko:K00287	ssu:SSU05_0835
ko:K00940	ssu:SSU05_0839
ko:K00857	ssu:SSU05_0846
ko:K00857	ssu:SSU05_0847
ko:K07566	ssu:SSU05_0850
ko:K09787	ssu:SSU05_0875
ko:K07467	ssu:SSU05_0930
ko:K11189	ssu:SSU05_1201
ko:K07407	ssu:SSU05_0172
ko:K01951	ssu:SSU05_0873
ko:K00567	ssu:SSU05_0668
ko:K00600	ssu:SSU05_0852
ko:K02082	ssu:SSU05_0195
ko:K06180	ssu:SSU05_1987
ko:K03095	ssu:SSU05_1611
ko:K01934	ssu:SSU05_2043
ko:K00563	ssu:SSU05_1473
ko:K03111	ssu:SSU05_0145
ko:K01928	ssu:SSU05_1471
ko:K00031	ssu:SSU05_1202
ko:K01647	ssu:SSU05_1204
ko:K01681	ssu:SSU05_1205
ko:K01714	ssu:SSU05_0719
ko:K00133	ssu:SSU05_0718
ko:K03823	ssu:SSU05_0701
ko:K07025	ssu:SSU05_0743
ko:K02003	ssu:SSU05_1594
ko:K00627	ssu:SSU05_1839
ko:K00162	ssu:SSU05_1840
ko:K00161	ssu:SSU05_1841
ko:K01465	ssu:SSU05_1002
ko:K01079	ssu:SSU05_1508
ko:K00058	ssu:SSU05_0667
ko:K00831	ssu:SSU05_0665
ko:K01759	ssu:SSU05_1636
ko:K03686	ssu:SSU05_0302
ko:K00928	ssu:SSU05_1811
ko:K00645	ssu:SSU05_1804
ko:K00059	ssu:SSU05_1803
ko:K09458	ssu:SSU05_1802
ko:K06962	ssu:SSU05_1901
ko:K01281	ssu:SSU05_0197
ko:K01739	ssu:SSU05_1562
ko:K01738	ssu:SSU05_0435
ko:K01992	ssu:SSU05_1287
ko:K09153	ssu:SSU05_1276
ko:K07461	ssu:SSU05_1567
ko:K01921	ssu:SSU05_1352
ko:K01687	ssu:SSU05_1892
ko:K07173	ssu:SSU05_0420
ko:K00882	ssu:SSU05_0823
ko:K07282	ssu:SSU05_0254
ko:K07166	ssu:SSU05_0295
ko:K09157	ssu:SSU05_0296
ko:K03545	ssu:SSU05_0328
ko:K01119	ssu:SSU05_2095
ko:K01990	ssu:SSU05_0748
ko:K07485	ssu:SSU05_1345
ko:K04564	ssu:SSU05_1539
ko:K03734	ssu:SSU05_1532
ko:K01488	ssu:SSU05_0538
ko:K01938	ssu:SSU05_0690
ko:K05833	ssu:SSU05_1253
ko:K03437	ssu:SSU05_1713
ko:K03565	ssu:SSU05_0443
ko:K00969	ssu:SSU05_0369
ko:K02529	ssu:SSU05_0359
ko:K01919	ssu:SSU05_1967
ko:K00687	ssu:SSU05_1354
ko:K00554	ssu:SSU05_0820
ko:K03060	ssu:SSU05_0423
ko:K00786	ssu:SSU05_1277
ko:K07478	ssu:SSU05_2113
ko:K01421	ssu:SSU05_0261
ko:K03495	ssu:SSU05_2163
ko:K01961	ssu:SSU05_1799
ko:K03704	ssu:SSU05_0411
ko:K00547	ssu:SSU05_2024
ko:K00865	ssu:SSU05_1505
ko:K01735	ssu:SSU05_1252
ko:K04758	ssu:SSU05_1408
ko:K04759	ssu:SSU05_1409
ko:K00938	ssu:SSU05_0291
ko:K00560	ssu:SSU05_0834
ko:K02343	ssu:SSU05_1627
ko:K04516	ssu:SSU05_1536
ko:K02884	ssu:SSU05_0352
ko:K00057	ssu:SSU05_2040
ko:K01588	ssu:SSU05_0034
ko:K03574	ssu:SSU05_1145
ko:K03572	ssu:SSU05_0059
ko:K08602	ssu:SSU05_1243
ko:K00003	ssu:SSU05_0801
ko:K00872	ssu:SSU05_0803
ko:K01873	ssu:SSU05_0459
ko:K03536	ssu:SSU05_2015
ko:K03217	ssu:SSU05_2014
ko:K06346	ssu:SSU05_2013
ko:K07447	ssu:SSU05_0067
ko:K00773	ssu:SSU05_1374
ko:K02433	ssu:SSU05_0355
ko:K02434	ssu:SSU05_0356
ko:K02761	ssu:SSU05_2071
ko:K01520	ssu:SSU05_2035
ko:K02787	ssu:SSU05_1037
ko:K02788	ssu:SSU05_1037
ko:K01635	ssu:SSU05_1040
ko:K00917	ssu:SSU05_1041
ko:K06147	ssu:SSU05_1054
ko:K06148	ssu:SSU05_1056
ko:K00625	ssu:SSU05_1057
ko:K00564	ssu:SSU05_1087
ko:K07491	ssu:SSU05_1090
ko:K02039	ssu:SSU05_1100
ko:K02040	ssu:SSU05_1105
ko:K02040	ssu:SSU05_1106
ko:K01875	ssu:SSU05_1782
ko:K03427	ssu:SSU05_1784
ko:K03427	ssu:SSU05_1785
ko:K01154	ssu:SSU05_1786
ko:K01153	ssu:SSU05_1787
ko:K03625	ssu:SSU05_1820
ko:K03625	ssu:SSU05_1821
ko:K02356	ssu:SSU05_1823
ko:K01262	ssu:SSU05_1825
ko:K03284	ssu:SSU05_1830
ko:K00382	ssu:SSU05_1838
ko:K03531	ssu:SSU05_0481
ko:K03100	ssu:SSU05_0471
ko:K02563	ssu:SSU05_0477
ko:K02221	ssu:SSU05_0485
ko:K02029	ssu:SSU05_0494
ko:K03100	ssu:SSU05_0499
ko:K02004	ssu:SSU05_0516
ko:K02004	ssu:SSU05_0517
ko:K07273	ssu:SSU05_0524
ko:K03588	ssu:SSU05_0526
ko:K01869	ssu:SSU05_2081
ko:K01876	ssu:SSU05_2141
ko:K03703	ssu:SSU05_0749
ko:K03979	ssu:SSU05_0751
ko:K01467	ssu:SSU05_0012
ko:K03553	ssu:SSU05_0064
ko:K02879	ssu:SSU05_0096
ko:K02879	ssu:SSU05_0097
ko:K03427	ssu:SSU05_0695
ko:K01154	ssu:SSU05_0696
ko:K00105	ssu:SSU05_0723
ko:K03657	ssu:SSU05_0731
ko:K00878	ssu:SSU05_0734
ko:K00788	ssu:SSU05_0735
ko:K00757	ssu:SSU05_0737
ko:K04095	ssu:SSU05_0761
ko:K03671	ssu:SSU05_0237
ko:K01776	ssu:SSU05_1706
ko:K01271	ssu:SSU05_1373
ko:K07058	ssu:SSU05_1616
ko:K00963	ssu:SSU05_2041
ko:K09817	ssu:SSU05_0110
ko:K09816	ssu:SSU05_0111
ko:K09815	ssu:SSU05_0112
ko:K01261	ssu:SSU05_0138
ko:K04077	ssu:SSU05_0148
ko:K04077	ssu:SSU05_0149
ko:K07386	ssu:SSU05_0153
ko:K00134	ssu:SSU05_0155
ko:K02027	ssu:SSU05_0168
ko:K02027	ssu:SSU05_0169
ko:K02025	ssu:SSU05_0170
ko:K02026	ssu:SSU05_0171
ko:K00656	ssu:SSU05_0200
ko:K02050	ssu:SSU05_0216
ko:K02049	ssu:SSU05_0217
ko:K02051	ssu:SSU05_0218
ko:K03100	ssu:SSU05_0225
ko:K01226	ssu:SSU05_0230
ko:K02003	ssu:SSU05_0248
ko:K03310	ssu:SSU05_0249
ko:K03101	ssu:SSU05_0785
ko:K10947	ssu:SSU05_1590
ko:K02899	ssu:SSU05_0782
ko:K00688	ssu:SSU05_0394
ko:K05366	ssu:SSU05_0414
ko:K07727	ssu:SSU05_0307
ko:K09825	ssu:SSU05_0310
ko:K09815	ssu:SSU05_0330
ko:K01624	ssu:SSU05_0336
ko:K03655	ssu:SSU05_0342
ko:K01129	ssu:SSU05_0357
ko:K01129	ssu:SSU05_0358
ko:K06201	ssu:SSU05_0363
ko:K07574	ssu:SSU05_0368
ko:K09762	ssu:SSU05_0622
ko:K07393	ssu:SSU05_0643
ko:K06183	ssu:SSU05_0644
ko:K00432	ssu:SSU05_0645
ko:K02015	ssu:SSU05_0646
ko:K02015	ssu:SSU05_0647
ko:K02016	ssu:SSU05_0649
ko:K02013	ssu:SSU05_0650
ko:K00655	ssu:SSU05_0652
ko:K01142	ssu:SSU05_0671
ko:K03294	ssu:SSU05_0675
ko:K02037	ssu:SSU05_1104
ko:K02038	ssu:SSU05_1103
ko:K02036	ssu:SSU05_1102
ko:K04047	ssu:SSU05_1689
ko:K03550	ssu:SSU05_0060
ko:K03551	ssu:SSU05_0050
ko:K00036	ssu:SSU05_1184
ko:K02346	ssu:SSU05_0201
ko:K01872	ssu:SSU05_1236
ko:K01265	ssu:SSU05_1617
ko:K06158	ssu:SSU05_1476
ko:K02071	ssu:SSU05_1769
ko:K01926	ssu:SSU05_1069
ko:K07456	ssu:SSU05_0235
ko:K01807	ssu:SSU05_1449
ko:K00789	ssu:SSU05_1621
ko:K07258	ssu:SSU05_1870
ko:K01887	ssu:SSU05_2126
ko:K02244	ssu:SSU05_0127
ko:K11065	ssu:SSU05_1383
ko:K02493	ssu:SSU05_0849
ko:K01733	ssu:SSU05_0281
ko:K02835	ssu:SSU05_0848
ko:K01810	ssu:SSU05_2051
ko:K01448	ssu:SSU05_1294
ko:K00948	ssu:SSU05_0021
ko:K10112	ssu:SSU05_1907
ko:K06885	ssu:SSU05_0533
ko:K02796	ssu:SSU05_0452
ko:K01372	ssu:SSU05_1709
ko:K04485	ssu:SSU05_2033
ko:K03218	ssu:SSU05_1902
ko:K07570	ssu:SSU05_0434
ko:K03621	ssu:SSU05_0024
ko:K02031	ssu:SSU05_1867
ko:K02032	ssu:SSU05_1866
ko:K02033	ssu:SSU05_1865
ko:K02034	ssu:SSU05_1864
ko:K03685	ssu:SSU05_1191
ko:K03110	ssu:SSU05_1187
ko:K03106	ssu:SSU05_0876
ko:K03470	ssu:SSU05_0996
ko:K03168	ssu:SSU05_0985
ko:K07118	ssu:SSU05_0204
ko:K11071	ssu:SSU05_0806
ko:K08483	ssu:SSU05_1200
ko:K02529	ssu:SSU05_1372
ko:K11072	ssu:SSU05_0805
ko:K11145	ssu:SSU05_1923
ko:K00762	ssu:SSU05_1007
ko:K01507	ssu:SSU05_1008
ko:K00703	ssu:SSU05_1015
ko:K00700	ssu:SSU05_1016
ko:K03702	ssu:SSU05_1024
ko:K03702	ssu:SSU05_1025
ko:K01740	ssu:SSU05_1033
ko:K06948	ssu:SSU05_0366
ko:K01992	ssu:SSU05_0747
ko:K02786	ssu:SSU05_1038
ko:K05593	ssu:SSU05_0957
ko:K06940	ssu:SSU05_0998
ko:K06287	ssu:SSU05_0999
ko:K01874	ssu:SSU05_1245
