ko:K07046	bpsu:BBN_4245
ko:K04043	bpsu:BBN_610
ko:K03686	bpsu:BBN_611
ko:K03342	bpsu:BBN_612
ko:K00606	bpsu:BBN_613
ko:K00950	bpsu:BBN_615
ko:K00970	bpsu:BBN_616
ko:K10763	bpsu:BBN_618
ko:K01933	bpsu:BBN_619
ko:K00791	bpsu:BBN_621
ko:K03572	bpsu:BBN_622
ko:K03975	bpsu:BBN_623
ko:K03442	bpsu:BBN_624
ko:K07266	bpsu:BBN_627
ko:K01991	bpsu:BBN_629
ko:K10107	bpsu:BBN_630
ko:K09688	bpsu:BBN_631
ko:K09689	bpsu:BBN_633
ko:K01784	bpsu:BBN_771
ko:K15778	bpsu:BBN_775
ko:K02841	bpsu:BBN_776
ko:K02527	bpsu:BBN_778
ko:K03189	bpsu:BBN_779
ko:K03188	bpsu:BBN_780
ko:K03187	bpsu:BBN_781
ko:K01428	bpsu:BBN_782
ko:K01429	bpsu:BBN_783
ko:K01430	bpsu:BBN_784
ko:K03190	bpsu:BBN_785
ko:K11963	bpsu:BBN_786
ko:K11962	bpsu:BBN_787
ko:K11961	bpsu:BBN_788
ko:K11960	bpsu:BBN_789
ko:K11959	bpsu:BBN_790
ko:K00822	bpsu:BBN_791
ko:K00573	bpsu:BBN_793
ko:K06940	bpsu:BBN_796
ko:K06153	bpsu:BBN_798
ko:K03439	bpsu:BBN_799
ko:K06199	bpsu:BBN_804
ko:K02221	bpsu:BBN_806
ko:K01591	bpsu:BBN_470
ko:K03743	bpsu:BBN_471
ko:K01095	bpsu:BBN_472
ko:K00946	bpsu:BBN_473
ko:K00029	bpsu:BBN_474
ko:K09761	bpsu:BBN_477
ko:K00797	bpsu:BBN_479
ko:K00615	bpsu:BBN_480
ko:K00134	bpsu:BBN_481
ko:K01725	bpsu:BBN_483
ko:K01673	bpsu:BBN_484
ko:K11921	bpsu:BBN_485
ko:K11103	bpsu:BBN_487
ko:K01477	bpsu:BBN_488
ko:K01483	bpsu:BBN_489
ko:K03711	bpsu:BBN_490
ko:K06186	bpsu:BBN_491
ko:K00215	bpsu:BBN_492
ko:K03561	bpsu:BBN_493
ko:K03559	bpsu:BBN_494
ko:K01869	bpsu:BBN_495
ko:K03643	bpsu:BBN_496
ko:K02340	bpsu:BBN_497
ko:K00147	bpsu:BBN_498
ko:K08973	bpsu:BBN_499
ko:K01690	bpsu:BBN_501
ko:K01625	bpsu:BBN_502
ko:K01126	bpsu:BBN_728
ko:K07275	bpsu:BBN_737
ko:K04078	bpsu:BBN_743
ko:K04077	bpsu:BBN_744
ko:K00941	bpsu:BBN_745
ko:K01586	bpsu:BBN_243
ko:K06202	bpsu:BBN_245
ko:K05366	bpsu:BBN_246
ko:K02666	bpsu:BBN_250
ko:K00891	bpsu:BBN_251
ko:K01735	bpsu:BBN_252
ko:K01129	bpsu:BBN_253
ko:K05813	bpsu:BBN_254
ko:K05814	bpsu:BBN_255
ko:K05815	bpsu:BBN_256
ko:K05816	bpsu:BBN_257
ko:K01126	bpsu:BBN_258
ko:K07275	bpsu:BBN_259
ko:K07491	bpsu:BBN_260
ko:K00265	bpsu:BBN_261
ko:K00266	bpsu:BBN_262
ko:K03310	bpsu:BBN_263
ko:K01975	bpsu:BBN_264
ko:K02471	bpsu:BBN_265
ko:K03153	bpsu:BBN_266
ko:K03154	bpsu:BBN_267
ko:K03149	bpsu:BBN_268
ko:K00788	bpsu:BBN_269
ko:K02065	bpsu:BBN_270
ko:K02066	bpsu:BBN_271
ko:K02067	bpsu:BBN_272
ko:K04754	bpsu:BBN_273
ko:K07323	bpsu:BBN_274
ko:K07122	bpsu:BBN_275
ko:K01990	bpsu:BBN_276
ko:K01992	bpsu:BBN_277
ko:K00790	bpsu:BBN_279
ko:K00765	bpsu:BBN_280
ko:K00013	bpsu:BBN_281
ko:K00817	bpsu:BBN_282
ko:K01693	bpsu:BBN_283
ko:K05595	bpsu:BBN_284
ko:K02501	bpsu:BBN_285
ko:K07735	bpsu:BBN_748
ko:K07447	bpsu:BBN_749
ko:K02825	bpsu:BBN_750
ko:K00609	bpsu:BBN_751
ko:K01465	bpsu:BBN_752
ko:K00655	bpsu:BBN_753
ko:K01525	bpsu:BBN_754
ko:K00973	bpsu:BBN_756
ko:K01790	bpsu:BBN_757
ko:K00067	bpsu:BBN_758
ko:K17947	bpsu:BBN_762
ko:K01784	bpsu:BBN_767
ko:K03299	bpsu:BBN_503
ko:K00851	bpsu:BBN_504
ko:K01756	bpsu:BBN_505
ko:K02575	bpsu:BBN_506
ko:K00261	bpsu:BBN_508
ko:K10001	bpsu:BBN_509
ko:K10003	bpsu:BBN_510
ko:K10002	bpsu:BBN_511
ko:K10004	bpsu:BBN_512
ko:K04078	bpsu:BBN_515
ko:K13993	bpsu:BBN_516
ko:K01711	bpsu:BBN_640
ko:K07031	bpsu:BBN_641
ko:K03271	bpsu:BBN_642
ko:K03273	bpsu:BBN_644
ko:K07265	bpsu:BBN_646
ko:K02535	bpsu:BBN_650
ko:K01991	bpsu:BBN_658
ko:K01104	bpsu:BBN_659
ko:K16692	bpsu:BBN_660
ko:K07265	bpsu:BBN_662
ko:K03819	bpsu:BBN_663
ko:K01627	bpsu:BBN_666
ko:K03588	bpsu:BBN_403
ko:K02563	bpsu:BBN_404
ko:K01924	bpsu:BBN_405
ko:K01921	bpsu:BBN_406
ko:K03589	bpsu:BBN_407
ko:K03590	bpsu:BBN_408
ko:K03531	bpsu:BBN_409
ko:K02535	bpsu:BBN_411
ko:K03070	bpsu:BBN_414
ko:K00620	bpsu:BBN_415
ko:K06923	bpsu:BBN_416
ko:K03574	bpsu:BBN_417
ko:K09862	bpsu:BBN_418
ko:K00859	bpsu:BBN_420
ko:K02654	bpsu:BBN_421
ko:K02653	bpsu:BBN_422
ko:K02652	bpsu:BBN_423
ko:K02523	bpsu:BBN_426
ko:K02888	bpsu:BBN_427
ko:K02899	bpsu:BBN_428
ko:K03979	bpsu:BBN_429
ko:K00931	bpsu:BBN_430
ko:K08311	bpsu:BBN_432
ko:K01881	bpsu:BBN_433
ko:K00760	bpsu:BBN_435
ko:K03106	bpsu:BBN_436
ko:K01925	bpsu:BBN_402
ko:K01465	bpsu:BBN_520
ko:K07397	bpsu:BBN_522
ko:K02871	bpsu:BBN_523
ko:K02996	bpsu:BBN_524
ko:K15724	bpsu:BBN_525
ko:K09001	bpsu:BBN_530
ko:K01866	bpsu:BBN_531
ko:K07560	bpsu:BBN_532
ko:K03551	bpsu:BBN_536
ko:K03550	bpsu:BBN_537
ko:K01159	bpsu:BBN_538
ko:K00602	bpsu:BBN_539
ko:K03557	bpsu:BBN_540
ko:K05540	bpsu:BBN_541
ko:K03185	bpsu:BBN_542
ko:K01262	bpsu:BBN_543
ko:K00799	bpsu:BBN_544
ko:K00566	bpsu:BBN_546
ko:K00324	bpsu:BBN_548
ko:K00324	bpsu:BBN_549
ko:K00325	bpsu:BBN_550
ko:K06996	bpsu:BBN_552
ko:K07444	bpsu:BBN_554
ko:K09857	bpsu:BBN_556
ko:K06192	bpsu:BBN_557
ko:K03808	bpsu:BBN_558
ko:K03808	bpsu:BBN_559
ko:K12262	bpsu:BBN_560
ko:K03074	bpsu:BBN_564
ko:K03072	bpsu:BBN_565
ko:K03210	bpsu:BBN_566
ko:K00773	bpsu:BBN_567
ko:K07568	bpsu:BBN_568
ko:K02500	bpsu:BBN_287
ko:K06929	bpsu:BBN_29
ko:K04066	bpsu:BBN_32
ko:K01713	bpsu:BBN_30
ko:K01599	bpsu:BBN_31
ko:K01999	bpsu:BBN_35
ko:K12508	bpsu:BBN_36
ko:K09456	bpsu:BBN_37
ko:K13821	bpsu:BBN_34
ko:K10013	bpsu:BBN_40
ko:K06895	bpsu:BBN_810
ko:K03182	bpsu:BBN_811
ko:K03625	bpsu:BBN_814
ko:K00794	bpsu:BBN_815
ko:K14652	bpsu:BBN_816
ko:K00793	bpsu:BBN_817
ko:K11752	bpsu:BBN_818
ko:K01845	bpsu:BBN_819
ko:K01496	bpsu:BBN_288
ko:K15977	bpsu:BBN_1689
ko:K09930	bpsu:BBN_1691
ko:K01434	bpsu:BBN_1695
ko:K00612	bpsu:BBN_1696
ko:K02051	bpsu:BBN_1814
ko:K09786	bpsu:BBN_1817
ko:K07180	bpsu:BBN_1818
ko:K00852	bpsu:BBN_1820
ko:K02529	bpsu:BBN_1821
ko:K10440	bpsu:BBN_1822
ko:K01523	bpsu:BBN_289
ko:K02503	bpsu:BBN_291
ko:K03116	bpsu:BBN_292
ko:K03117	bpsu:BBN_293
ko:K03118	bpsu:BBN_294
ko:K00411	bpsu:BBN_297
ko:K00412	bpsu:BBN_298
ko:K00413	bpsu:BBN_299
ko:K03599	bpsu:BBN_300
ko:K03600	bpsu:BBN_301
ko:K03707	bpsu:BBN_305
ko:K11892	bpsu:BBN_307
ko:K11893	bpsu:BBN_308
ko:K11906	bpsu:BBN_309
ko:K11901	bpsu:BBN_311
ko:K11900	bpsu:BBN_312
ko:K11903	bpsu:BBN_313
ko:K11897	bpsu:BBN_314
ko:K11896	bpsu:BBN_315
ko:K11895	bpsu:BBN_316
ko:K11907	bpsu:BBN_317
ko:K11902	bpsu:BBN_318
ko:K03286	bpsu:BBN_319
ko:K11890	bpsu:BBN_320
ko:K11891	bpsu:BBN_321
ko:K12340	bpsu:BBN_324
ko:K13409	bpsu:BBN_325
ko:K13408	bpsu:BBN_326
ko:K01256	bpsu:BBN_329
ko:K09941	bpsu:BBN_334
ko:K04046	bpsu:BBN_338
ko:K01814	bpsu:BBN_286
ko:K03655	bpsu:BBN_569
ko:K04761	bpsu:BBN_570
ko:K03782	bpsu:BBN_572
ko:K04047	bpsu:BBN_574
ko:K03179	bpsu:BBN_576
ko:K05774	bpsu:BBN_577
ko:K02043	bpsu:BBN_579
ko:K06166	bpsu:BBN_580
ko:K06165	bpsu:BBN_581
ko:K06164	bpsu:BBN_582
ko:K06163	bpsu:BBN_583
ko:K05781	bpsu:BBN_584
ko:K05780	bpsu:BBN_585
ko:K06162	bpsu:BBN_586
ko:K03270	bpsu:BBN_667
ko:K06041	bpsu:BBN_668
ko:K00963	bpsu:BBN_669
ko:K02403	bpsu:BBN_670
ko:K03640	bpsu:BBN_674
ko:K03641	bpsu:BBN_675
ko:K03560	bpsu:BBN_677
ko:K03562	bpsu:BBN_678
ko:K07107	bpsu:BBN_679
ko:K16066	bpsu:BBN_680
ko:K00600	bpsu:BBN_681
ko:K07738	bpsu:BBN_682
ko:K03642	bpsu:BBN_144
ko:K07056	bpsu:BBN_145
ko:K07460	bpsu:BBN_146
ko:K03271	bpsu:BBN_147
ko:K08738	bpsu:BBN_149
ko:K09122	bpsu:BBN_155
ko:K07275	bpsu:BBN_160
ko:K06950	bpsu:BBN_438
ko:K03806	bpsu:BBN_439
ko:K06077	bpsu:BBN_444
ko:K00856	bpsu:BBN_445
ko:K11065	bpsu:BBN_446
ko:K02687	bpsu:BBN_448
ko:K01961	bpsu:BBN_449
ko:K02160	bpsu:BBN_450
ko:K03786	bpsu:BBN_451
ko:K02041	bpsu:BBN_587
ko:K02044	bpsu:BBN_588
ko:K02042	bpsu:BBN_589
ko:K00286	bpsu:BBN_590
ko:K06997	bpsu:BBN_591
ko:K11473	bpsu:BBN_592
ko:K11472	bpsu:BBN_593
ko:K00104	bpsu:BBN_594
ko:K00798	bpsu:BBN_596
ko:K05916	bpsu:BBN_597
ko:K01626	bpsu:BBN_598
ko:K03568	bpsu:BBN_599
ko:K00982	bpsu:BBN_602
ko:K03631	bpsu:BBN_603
ko:K00858	bpsu:BBN_604
ko:K03705	bpsu:BBN_605
ko:K01772	bpsu:BBN_606
ko:K04762	bpsu:BBN_607
ko:K03687	bpsu:BBN_608
ko:K02841	bpsu:BBN_853
ko:K03832	bpsu:BBN_856
ko:K02428	bpsu:BBN_861
ko:K00989	bpsu:BBN_862
ko:K00942	bpsu:BBN_864
ko:K03060	bpsu:BBN_865
ko:K04760	bpsu:BBN_869
ko:K03704	bpsu:BBN_872
ko:K02342	bpsu:BBN_873
ko:K04093	bpsu:BBN_874
ko:K02014	bpsu:BBN_877
ko:K03841	bpsu:BBN_884
ko:K03576	bpsu:BBN_885
ko:K00549	bpsu:BBN_886
ko:K01256	bpsu:BBN_887
ko:K01487	bpsu:BBN_890
ko:K06901	bpsu:BBN_891
ko:K07402	bpsu:BBN_893
ko:K03611	bpsu:BBN_894
ko:K02433	bpsu:BBN_895
ko:K00126	bpsu:BBN_900
ko:K00123	bpsu:BBN_901
ko:K00124	bpsu:BBN_902
ko:K00127	bpsu:BBN_903
ko:K00568	bpsu:BBN_908
ko:K03286	bpsu:BBN_909
ko:K02469	bpsu:BBN_910
ko:K09924	bpsu:BBN_911
ko:K00831	bpsu:BBN_912
ko:K14170	bpsu:BBN_913
ko:K00800	bpsu:BBN_914
ko:K00945	bpsu:BBN_915
ko:K02945	bpsu:BBN_916
ko:K05788	bpsu:BBN_917
ko:K00012	bpsu:BBN_920
ko:K03274	bpsu:BBN_922
ko:K02237	bpsu:BBN_923
ko:K12339	bpsu:BBN_924
ko:K08305	bpsu:BBN_925
ko:K03704	bpsu:BBN_339
ko:K03186	bpsu:BBN_342
ko:K07390	bpsu:BBN_343
ko:K02493	bpsu:BBN_344
ko:K02835	bpsu:BBN_345
ko:K02492	bpsu:BBN_346
ko:K01262	bpsu:BBN_348
ko:K01560	bpsu:BBN_350
ko:K01126	bpsu:BBN_353
ko:K11735	bpsu:BBN_355
ko:K06942	bpsu:BBN_359
ko:K03981	bpsu:BBN_363
ko:K01118	bpsu:BBN_365
ko:K03648	bpsu:BBN_366
ko:K02860	bpsu:BBN_940
ko:K00554	bpsu:BBN_941
ko:K02884	bpsu:BBN_942
ko:K02227	bpsu:BBN_945
ko:K06949	bpsu:BBN_947
ko:K06013	bpsu:BBN_948
ko:K13288	bpsu:BBN_949
ko:K03831	bpsu:BBN_950
ko:K09889	bpsu:BBN_951
ko:K03592	bpsu:BBN_952
ko:K06179	bpsu:BBN_983
ko:K01091	bpsu:BBN_984
ko:K04773	bpsu:BBN_986
ko:K07056	bpsu:BBN_987
ko:K06287	bpsu:BBN_988
ko:K07040	bpsu:BBN_989
ko:K02911	bpsu:BBN_990
ko:K03621	bpsu:BBN_991
ko:K00648	bpsu:BBN_992
ko:K00645	bpsu:BBN_993
ko:K00059	bpsu:BBN_994
ko:K02078	bpsu:BBN_995
ko:K09458	bpsu:BBN_996
ko:K03088	bpsu:BBN_998
ko:K03597	bpsu:BBN_999
ko:K03598	bpsu:BBN_1000
ko:K03596	bpsu:BBN_1003
ko:K03100	bpsu:BBN_1004
ko:K03685	bpsu:BBN_1005
ko:K03584	bpsu:BBN_1007
ko:K03474	bpsu:BBN_1008
ko:K00997	bpsu:BBN_1009
ko:K01207	bpsu:BBN_1010
ko:K02356	bpsu:BBN_1012
ko:K01534	bpsu:BBN_45
ko:K03735	bpsu:BBN_51
ko:K03736	bpsu:BBN_52
ko:K04033	bpsu:BBN_55
ko:K01652	bpsu:BBN_57
ko:K01752	bpsu:BBN_59
ko:K03703	bpsu:BBN_1014
ko:K06911	bpsu:BBN_1021
ko:K02348	bpsu:BBN_1022
ko:K07152	bpsu:BBN_1025
ko:K01087	bpsu:BBN_1026
ko:K00697	bpsu:BBN_1027
ko:K06147	bpsu:BBN_1028
ko:K08983	bpsu:BBN_1031
ko:K01999	bpsu:BBN_1033
ko:K01114	bpsu:BBN_1034
ko:K00281	bpsu:BBN_61
ko:K02437	bpsu:BBN_62
ko:K00605	bpsu:BBN_63
ko:K03656	bpsu:BBN_69
ko:K03406	bpsu:BBN_82
ko:K02407	bpsu:BBN_99
ko:K02406	bpsu:BBN_100
ko:K02970	bpsu:BBN_101
ko:K01246	bpsu:BBN_102
ko:K06188	bpsu:BBN_105
ko:K02403	bpsu:BBN_108
ko:K02402	bpsu:BBN_109
ko:K02556	bpsu:BBN_110
ko:K02557	bpsu:BBN_111
ko:K03413	bpsu:BBN_112
ko:K03408	bpsu:BBN_115
ko:K00575	bpsu:BBN_117
ko:K00145	bpsu:BBN_163
ko:K03809	bpsu:BBN_164
ko:K06910	bpsu:BBN_165
ko:K00762	bpsu:BBN_166
ko:K00029	bpsu:BBN_167
ko:K04090	bpsu:BBN_168
ko:K00457	bpsu:BBN_170
ko:K03719	bpsu:BBN_171
ko:K02613	bpsu:BBN_175
ko:K02612	bpsu:BBN_176
ko:K02611	bpsu:BBN_177
ko:K02610	bpsu:BBN_178
ko:K02609	bpsu:BBN_179
ko:K02358	bpsu:BBN_190
ko:K03073	bpsu:BBN_192
ko:K02601	bpsu:BBN_193
ko:K02867	bpsu:BBN_194
ko:K02863	bpsu:BBN_195
ko:K02864	bpsu:BBN_196
ko:K02935	bpsu:BBN_197
ko:K03043	bpsu:BBN_198
ko:K03046	bpsu:BBN_199
ko:K03654	bpsu:BBN_200
ko:K02950	bpsu:BBN_201
ko:K02992	bpsu:BBN_202
ko:K02355	bpsu:BBN_203
ko:K02358	bpsu:BBN_204
ko:K01679	bpsu:BBN_963
ko:K03327	bpsu:BBN_964
ko:K14761	bpsu:BBN_965
ko:K05805	bpsu:BBN_968
ko:K05524	bpsu:BBN_971
ko:K00763	bpsu:BBN_972
ko:K00782	bpsu:BBN_973
ko:K09760	bpsu:BBN_976
ko:K03750	bpsu:BBN_979
ko:K03752	bpsu:BBN_980
ko:K03639	bpsu:BBN_981
ko:K08300	bpsu:BBN_982
ko:K02028	bpsu:BBN_825
ko:K10009	bpsu:BBN_826
ko:K02424	bpsu:BBN_827
ko:K00845	bpsu:BBN_828
ko:K01057	bpsu:BBN_829
ko:K00036	bpsu:BBN_830
ko:K17315	bpsu:BBN_831
ko:K17316	bpsu:BBN_832
ko:K17317	bpsu:BBN_833
ko:K10112	bpsu:BBN_834
ko:K03411	bpsu:BBN_118
ko:K03412	bpsu:BBN_119
ko:K03413	bpsu:BBN_120
ko:K03414	bpsu:BBN_121
ko:K02401	bpsu:BBN_125
ko:K02400	bpsu:BBN_126
ko:K02404	bpsu:BBN_127
ko:K04562	bpsu:BBN_128
ko:K02405	bpsu:BBN_129
ko:K01251	bpsu:BBN_130
ko:K08972	bpsu:BBN_131
ko:K00297	bpsu:BBN_132
ko:K01061	bpsu:BBN_134
ko:K00459	bpsu:BBN_135
ko:K01999	bpsu:BBN_136
ko:K07226	bpsu:BBN_138
ko:K02946	bpsu:BBN_205
ko:K02906	bpsu:BBN_206
ko:K02926	bpsu:BBN_207
ko:K02892	bpsu:BBN_208
ko:K02886	bpsu:BBN_209
ko:K02965	bpsu:BBN_210
ko:K02890	bpsu:BBN_211
ko:K02982	bpsu:BBN_212
ko:K02878	bpsu:BBN_213
ko:K02904	bpsu:BBN_214
ko:K02961	bpsu:BBN_215
ko:K02874	bpsu:BBN_216
ko:K02895	bpsu:BBN_217
ko:K02931	bpsu:BBN_218
ko:K02954	bpsu:BBN_219
ko:K02994	bpsu:BBN_220
ko:K02933	bpsu:BBN_221
ko:K02881	bpsu:BBN_222
ko:K02988	bpsu:BBN_223
ko:K02907	bpsu:BBN_224
ko:K02876	bpsu:BBN_225
ko:K03076	bpsu:BBN_226
ko:K02518	bpsu:BBN_227
ko:K02919	bpsu:BBN_228
ko:K02952	bpsu:BBN_229
ko:K02948	bpsu:BBN_230
ko:K02986	bpsu:BBN_231
ko:K03040	bpsu:BBN_232
ko:K02879	bpsu:BBN_233
ko:K03926	bpsu:BBN_234
ko:K04084	bpsu:BBN_235
ko:K01698	bpsu:BBN_236
ko:K03978	bpsu:BBN_237
ko:K07399	bpsu:BBN_239
ko:K17247	bpsu:BBN_242
ko:K02558	bpsu:BBN_454
ko:K07000	bpsu:BBN_455
ko:K01147	bpsu:BBN_456
ko:K00014	bpsu:BBN_457
ko:K03814	bpsu:BBN_458
ko:K00883	bpsu:BBN_462
ko:K01631	bpsu:BBN_463
ko:K10537	bpsu:BBN_465
ko:K10539	bpsu:BBN_466
ko:K10538	bpsu:BBN_467
ko:K07552	bpsu:BBN_822
ko:K02071	bpsu:BBN_928
ko:K02072	bpsu:BBN_929
ko:K02073	bpsu:BBN_930
ko:K03521	bpsu:BBN_931
ko:K03522	bpsu:BBN_932
ko:K00285	bpsu:BBN_934
ko:K03719	bpsu:BBN_935
ko:K02959	bpsu:BBN_939
ko:K00384	bpsu:BBN_837
ko:K03466	bpsu:BBN_838
ko:K03634	bpsu:BBN_839
ko:K07478	bpsu:BBN_840
ko:K01875	bpsu:BBN_842
ko:K03610	bpsu:BBN_847
ko:K03609	bpsu:BBN_848
ko:K03608	bpsu:BBN_849
ko:K04561	bpsu:BBN_1087
ko:K00496	bpsu:BBN_1088
ko:K01669	bpsu:BBN_1089
ko:K00860	bpsu:BBN_1090
ko:K07782	bpsu:BBN_1091
ko:K06133	bpsu:BBN_1093
ko:K01745	bpsu:BBN_1094
ko:K05836	bpsu:BBN_1095
ko:K01712	bpsu:BBN_1096
ko:K09975	bpsu:BBN_1097
ko:K01468	bpsu:BBN_1098
ko:K05603	bpsu:BBN_1099
ko:K07010	bpsu:BBN_1101
ko:K01915	bpsu:BBN_1102
ko:K12256	bpsu:BBN_1103
ko:K00868	bpsu:BBN_1036
ko:K00720	bpsu:BBN_1039
ko:K10016	bpsu:BBN_1044
ko:K10015	bpsu:BBN_1045
ko:K10017	bpsu:BBN_1046
ko:K00673	bpsu:BBN_1050
ko:K00673	bpsu:BBN_1051
ko:K06447	bpsu:BBN_1052
ko:K01484	bpsu:BBN_1053
ko:K05526	bpsu:BBN_1054
ko:K00799	bpsu:BBN_1055
ko:K10013	bpsu:BBN_1056
ko:K10255	bpsu:BBN_1057
ko:K02300	bpsu:BBN_1058
ko:K02299	bpsu:BBN_1059
ko:K02298	bpsu:BBN_1060
ko:K02297	bpsu:BBN_1061
ko:K13771	bpsu:BBN_1063
ko:K04488	bpsu:BBN_1066
ko:K11717	bpsu:BBN_1067
ko:K09015	bpsu:BBN_1068
ko:K09013	bpsu:BBN_1069
ko:K09014	bpsu:BBN_1070
ko:K07234	bpsu:BBN_1071
ko:K00459	bpsu:BBN_1076
ko:K08303	bpsu:BBN_1077
ko:K14682	bpsu:BBN_1114
ko:K03578	bpsu:BBN_1115
ko:K01915	bpsu:BBN_1121
ko:K07708	bpsu:BBN_1122
ko:K07712	bpsu:BBN_1123
ko:K01142	bpsu:BBN_1124
ko:K07684	bpsu:BBN_1125
ko:K07673	bpsu:BBN_1126
ko:K00374	bpsu:BBN_1127
ko:K00373	bpsu:BBN_1128
ko:K00371	bpsu:BBN_1129
ko:K00370	bpsu:BBN_1130
ko:K02575	bpsu:BBN_1131
ko:K02575	bpsu:BBN_1132
ko:K02346	bpsu:BBN_1134
ko:K01414	bpsu:BBN_1135
ko:K01491	bpsu:BBN_1136
ko:K00163	bpsu:BBN_1139
ko:K00627	bpsu:BBN_1140
ko:K00382	bpsu:BBN_1141
ko:K07262	bpsu:BBN_1143
ko:K01104	bpsu:BBN_1149
ko:K13643	bpsu:BBN_1150
ko:K04488	bpsu:BBN_1152
ko:K13628	bpsu:BBN_1153
ko:K04082	bpsu:BBN_1154
ko:K04044	bpsu:BBN_1155
ko:K04755	bpsu:BBN_1156
ko:K04567	bpsu:BBN_1159
ko:K02836	bpsu:BBN_1160
ko:K07462	bpsu:BBN_1161
ko:K09808	bpsu:BBN_1163
ko:K09810	bpsu:BBN_1164
ko:K03424	bpsu:BBN_1165
ko:K02238	bpsu:BBN_1166
ko:K01937	bpsu:BBN_1168
ko:K01627	bpsu:BBN_1169
ko:K01689	bpsu:BBN_1170
ko:K05589	bpsu:BBN_1171
ko:K04487	bpsu:BBN_1151
ko:K04083	bpsu:BBN_1173
ko:K07053	bpsu:BBN_1177
ko:K01867	bpsu:BBN_1180
ko:K07287	bpsu:BBN_1925
ko:K04764	bpsu:BBN_1932
ko:K01890	bpsu:BBN_1933
ko:K01889	bpsu:BBN_1934
ko:K02887	bpsu:BBN_1935
ko:K02916	bpsu:BBN_1936
ko:K02520	bpsu:BBN_1937
ko:K01868	bpsu:BBN_1938
ko:K00951	bpsu:BBN_1940
ko:K01029	bpsu:BBN_1948
ko:K01028	bpsu:BBN_1949
ko:K07107	bpsu:BBN_1953
ko:K03657	bpsu:BBN_1976
ko:K01873	bpsu:BBN_1977
ko:K00963	bpsu:BBN_1978
ko:K00010	bpsu:BBN_1985
ko:K00010	bpsu:BBN_1986
ko:K02058	bpsu:BBN_1988
ko:K02057	bpsu:BBN_1989
ko:K02056	bpsu:BBN_1990
ko:K03338	bpsu:BBN_1991
ko:K03336	bpsu:BBN_1992
