ko:K03741	fpv:IA03_07715
ko:K03671	fpv:IA03_01210
ko:K00789	fpv:IA03_01255
ko:K03584	fpv:IA03_01260
ko:K01991	fpv:IA03_06115
ko:K00648	fpv:IA03_06140
ko:K00648	fpv:IA03_06150
ko:K01791	fpv:IA03_06165
ko:K19068	fpv:IA03_06170
ko:K17716	fpv:IA03_06180
ko:K00973	fpv:IA03_06205
ko:K00012	fpv:IA03_06215
ko:K02474	fpv:IA03_06220
ko:K02473	fpv:IA03_06225
ko:K01991	fpv:IA03_06235
ko:K06187	fpv:IA03_06240
ko:K06929	fpv:IA03_06250
ko:K01647	fpv:IA03_06275
ko:K01689	fpv:IA03_06285
ko:K01956	fpv:IA03_06295
ko:K02879	fpv:IA03_06300
ko:K03040	fpv:IA03_06305
ko:K02986	fpv:IA03_06310
ko:K02948	fpv:IA03_06315
ko:K02952	fpv:IA03_06320
ko:K00334	fpv:IA03_11010
ko:K00333	fpv:IA03_11015
ko:K00332	fpv:IA03_11020
ko:K00331	fpv:IA03_11025
ko:K00330	fpv:IA03_11030
ko:K06894	fpv:IA03_11040
ko:K05367	fpv:IA03_11045
ko:K00452	fpv:IA03_11050
ko:K03596	fpv:IA03_11085
ko:K03565	fpv:IA03_11090
ko:K00655	fpv:IA03_11110
ko:K01867	fpv:IA03_11115
ko:K01737	fpv:IA03_11120
ko:K03092	fpv:IA03_11125
ko:K01893	fpv:IA03_11130
ko:K07003	fpv:IA03_11135
ko:K01912	fpv:IA03_11145
ko:K02372	fpv:IA03_11175
ko:K02078	fpv:IA03_11215
ko:K00647	fpv:IA03_11225
ko:K07107	fpv:IA03_11230
ko:K01992	fpv:IA03_11235
ko:K00648	fpv:IA03_11275
ko:K02078	fpv:IA03_11295
ko:K02357	fpv:IA03_02235
ko:K02967	fpv:IA03_02240
ko:K02996	fpv:IA03_02245
ko:K02871	fpv:IA03_02250
ko:K05595	fpv:IA03_02270
ko:K03797	fpv:IA03_02285
ko:K09748	fpv:IA03_02310
ko:K02600	fpv:IA03_02315
ko:K02519	fpv:IA03_02320
ko:K06207	fpv:IA03_02360
ko:K00243	fpv:IA03_02365
ko:K01661	fpv:IA03_02370
ko:K02548	fpv:IA03_02375
ko:K03790	fpv:IA03_02480
ko:K01627	fpv:IA03_02505
ko:K03446	fpv:IA03_02510
ko:K03543	fpv:IA03_02515
ko:K01695	fpv:IA03_02535
ko:K01696	fpv:IA03_02540
ko:K01817	fpv:IA03_02545
ko:K01609	fpv:IA03_02550
ko:K00766	fpv:IA03_02555
ko:K00648	fpv:IA03_07230
ko:K04079	fpv:IA03_07270
ko:K02477	fpv:IA03_07305
ko:K15342	fpv:IA03_07320
ko:K09951	fpv:IA03_07325
ko:K03655	fpv:IA03_07490
ko:K03657	fpv:IA03_07525
ko:K02111	fpv:IA03_12195
ko:K02113	fpv:IA03_12200
ko:K02109	fpv:IA03_12205
ko:K02110	fpv:IA03_12210
ko:K02108	fpv:IA03_12215
ko:K02613	fpv:IA03_12245
ko:K00761	fpv:IA03_12260
ko:K01945	fpv:IA03_12275
ko:K01912	fpv:IA03_12280
ko:K03606	fpv:IA03_12290
ko:K00067	fpv:IA03_12300
ko:K01790	fpv:IA03_12305
ko:K03116	fpv:IA03_12335
ko:K06959	fpv:IA03_12340
ko:K16264	fpv:IA03_12350
ko:K01808	fpv:IA03_12360
ko:K12573	fpv:IA03_12365
ko:K01633	fpv:IA03_12385
ko:K01886	fpv:IA03_12390
ko:K01885	fpv:IA03_12415
ko:K03495	fpv:IA03_12430
ko:K06142	fpv:IA03_12440
ko:K02341	fpv:IA03_12475
ko:K01736	fpv:IA03_03835
ko:K00626	fpv:IA03_03860
ko:K00605	fpv:IA03_03890
ko:K01745	fpv:IA03_03900
ko:K13653	fpv:IA03_03905
ko:K03718	fpv:IA03_03930
ko:K06966	fpv:IA03_03940
ko:K03701	fpv:IA03_03960
ko:K02014	fpv:IA03_03970
ko:K01840	fpv:IA03_03985
ko:K02517	fpv:IA03_04020
ko:K09807	fpv:IA03_04030
ko:K04043	fpv:IA03_04040
ko:K03657	fpv:IA03_04065
ko:K01354	fpv:IA03_04075
ko:K01697	fpv:IA03_04080
ko:K02836	fpv:IA03_04090
ko:K01620	fpv:IA03_04095
ko:K09747	fpv:IA03_04100
ko:K07462	fpv:IA03_04105
ko:K15726	fpv:IA03_04125
ko:K15727	fpv:IA03_04130
ko:K01752	fpv:IA03_04145
ko:K00606	fpv:IA03_04155
ko:K06180	fpv:IA03_04165
ko:K00128	fpv:IA03_04170
ko:K03671	fpv:IA03_08795
ko:K07090	fpv:IA03_08815
ko:K05592	fpv:IA03_08825
ko:K02428	fpv:IA03_08830
ko:K00088	fpv:IA03_08835
ko:K01640	fpv:IA03_08855
ko:K00254	fpv:IA03_08860
ko:K07636	fpv:IA03_08900
ko:K00859	fpv:IA03_08905
ko:K01081	fpv:IA03_08935
ko:K01714	fpv:IA03_08950
ko:K05807	fpv:IA03_08955
ko:K13038	fpv:IA03_08965
ko:K03631	fpv:IA03_08975
ko:K00209	fpv:IA03_08980
ko:K01972	fpv:IA03_09000
ko:K02939	fpv:IA03_09010
ko:K02963	fpv:IA03_09015
ko:K02990	fpv:IA03_09020
ko:K04066	fpv:IA03_09030
ko:K07058	fpv:IA03_09040
ko:K00767	fpv:IA03_09045
ko:K05916	fpv:IA03_09050
ko:K13771	fpv:IA03_09055
ko:K00783	fpv:IA03_09065
ko:K00262	fpv:IA03_01270
ko:K01876	fpv:IA03_01295
ko:K03704	fpv:IA03_01300
ko:K11991	fpv:IA03_01305
ko:K01662	fpv:IA03_01315
ko:K01129	fpv:IA03_01335
ko:K07098	fpv:IA03_01385
ko:K03671	fpv:IA03_01390
ko:K01993	fpv:IA03_01405
ko:K03841	fpv:IA03_01425
ko:K00928	fpv:IA03_01440
ko:K03646	fpv:IA03_01450
ko:K07007	fpv:IA03_01480
ko:K01597	fpv:IA03_01490
ko:K00869	fpv:IA03_01505
ko:K03179	fpv:IA03_01510
ko:K06178	fpv:IA03_01515
ko:K01963	fpv:IA03_01550
ko:K01624	fpv:IA03_01555
ko:K03437	fpv:IA03_01565
ko:K03183	fpv:IA03_01575
ko:K08999	fpv:IA03_01610
ko:K02919	fpv:IA03_06325
ko:K02518	fpv:IA03_06330
ko:K03076	fpv:IA03_06335
ko:K02876	fpv:IA03_06340
ko:K00927	fpv:IA03_00020
ko:K08307	fpv:IA03_00025
ko:K02348	fpv:IA03_00030
ko:K07146	fpv:IA03_00040
ko:K05366	fpv:IA03_00055
ko:K01028	fpv:IA03_00060
ko:K01029	fpv:IA03_00085
ko:K07501	fpv:IA03_00095
ko:K00567	fpv:IA03_00100
ko:K08738	fpv:IA03_00105
ko:K01698	fpv:IA03_00110
ko:K00228	fpv:IA03_00120
ko:K03790	fpv:IA03_00130
ko:K01599	fpv:IA03_00140
ko:K01719	fpv:IA03_00145
ko:K01749	fpv:IA03_00150
ko:K02492	fpv:IA03_00155
ko:K01772	fpv:IA03_00165
ko:K08973	fpv:IA03_00170
ko:K01715	fpv:IA03_00180
ko:K06950	fpv:IA03_00185
ko:K03921	fpv:IA03_00190
ko:K00655	fpv:IA03_00195
ko:K07025	fpv:IA03_00205
ko:K01874	fpv:IA03_00210
ko:K01297	fpv:IA03_00225
ko:K07460	fpv:IA03_00230
ko:K02557	fpv:IA03_00240
ko:K01142	fpv:IA03_00245
ko:K00058	fpv:IA03_00255
ko:K00286	fpv:IA03_00265
ko:K06213	fpv:IA03_00270
ko:K02528	fpv:IA03_00275
ko:K01923	fpv:IA03_05110
ko:K01992	fpv:IA03_05160
ko:K02338	fpv:IA03_05170
ko:K11927	fpv:IA03_05175
ko:K01465	fpv:IA03_05185
ko:K06999	fpv:IA03_05195
ko:K06167	fpv:IA03_05205
ko:K03564	fpv:IA03_05215
ko:K10773	fpv:IA03_05220
ko:K03088	fpv:IA03_05245
ko:K03701	fpv:IA03_05250
ko:K01424	fpv:IA03_05260
ko:K13282	fpv:IA03_05265
ko:K03802	fpv:IA03_05270
ko:K01278	fpv:IA03_05275
ko:K00876	fpv:IA03_05310
ko:K01847	fpv:IA03_05320
ko:K01847	fpv:IA03_05330
ko:K03100	fpv:IA03_05345
ko:K00215	fpv:IA03_05350
ko:K03497	fpv:IA03_05360
ko:K03496	fpv:IA03_05365
ko:K18707	fpv:IA03_05380
ko:K02909	fpv:IA03_05390
ko:K11085	fpv:IA03_05410
ko:K06876	fpv:IA03_10045
ko:K01669	fpv:IA03_10050
ko:K02956	fpv:IA03_10060
ko:K00962	fpv:IA03_10070
ko:K03086	fpv:IA03_10080
ko:K01783	fpv:IA03_10085
ko:K09933	fpv:IA03_10090
ko:K09117	fpv:IA03_10100
ko:K03531	fpv:IA03_10115
ko:K03590	fpv:IA03_10120
ko:K03589	fpv:IA03_10125
ko:K01924	fpv:IA03_10130
ko:K02563	fpv:IA03_10135
ko:K03588	fpv:IA03_10140
ko:K01925	fpv:IA03_10145
ko:K01000	fpv:IA03_10150
ko:K01928	fpv:IA03_10155
ko:K03587	fpv:IA03_10160
ko:K03438	fpv:IA03_10170
ko:K03925	fpv:IA03_10175
ko:K03978	fpv:IA03_10185
ko:K01916	fpv:IA03_10200
ko:K03088	fpv:IA03_10235
ko:K02523	fpv:IA03_10240
ko:K06941	fpv:IA03_10250
ko:K03116	fpv:IA03_10265
ko:K03544	fpv:IA03_10270
ko:K01358	fpv:IA03_10275
ko:K03545	fpv:IA03_10280
ko:K08972	fpv:IA03_10285
ko:K01990	fpv:IA03_10300
ko:K03474	fpv:IA03_10305
ko:K00858	fpv:IA03_10315
ko:K00806	fpv:IA03_10325
ko:K07277	fpv:IA03_10330
ko:K02907	fpv:IA03_06345
ko:K02988	fpv:IA03_06350
ko:K02881	fpv:IA03_06355
ko:K02933	fpv:IA03_06360
ko:K02994	fpv:IA03_06365
ko:K02954	fpv:IA03_06370
ko:K02931	fpv:IA03_06375
ko:K02895	fpv:IA03_06380
ko:K02874	fpv:IA03_06385
ko:K02961	fpv:IA03_06390
ko:K02904	fpv:IA03_06395
ko:K02878	fpv:IA03_06400
ko:K02982	fpv:IA03_06405
ko:K02890	fpv:IA03_06410
ko:K02965	fpv:IA03_06415
ko:K02886	fpv:IA03_06420
ko:K02892	fpv:IA03_06425
ko:K02926	fpv:IA03_06430
ko:K02906	fpv:IA03_06435
ko:K02946	fpv:IA03_06440
ko:K02355	fpv:IA03_06445
ko:K02992	fpv:IA03_06450
ko:K02950	fpv:IA03_06455
ko:K03218	fpv:IA03_06475
ko:K07478	fpv:IA03_06485
ko:K07025	fpv:IA03_06495
ko:K03630	fpv:IA03_06500
ko:K02558	fpv:IA03_06505
ko:K03979	fpv:IA03_06525
ko:K03699	fpv:IA03_06535
ko:K00939	fpv:IA03_06540
ko:K00760	fpv:IA03_06545
ko:K01589	fpv:IA03_06555
ko:K01588	fpv:IA03_06560
ko:K01284	fpv:IA03_06565
ko:K00281	fpv:IA03_06600
ko:K06886	fpv:IA03_06605
ko:K00648	fpv:IA03_06610
ko:K00647	fpv:IA03_11300
ko:K00059	fpv:IA03_11305
ko:K01745	fpv:IA03_11315
ko:K03424	fpv:IA03_11325
ko:K01424	fpv:IA03_11335
ko:K02666	fpv:IA03_11380
ko:K02652	fpv:IA03_11385
ko:K02655	fpv:IA03_11395
ko:K06142	fpv:IA03_11400
ko:K02653	fpv:IA03_11475
ko:K00128	fpv:IA03_11520
ko:K00946	fpv:IA03_11525
ko:K00833	fpv:IA03_11535
ko:K01935	fpv:IA03_11540
ko:K00748	fpv:IA03_11545
ko:K03787	fpv:IA03_11555
ko:K03797	fpv:IA03_11560
ko:K02238	fpv:IA03_11565
ko:K03305	fpv:IA03_11580
ko:K03305	fpv:IA03_11585
ko:K01278	fpv:IA03_11590
ko:K00054	fpv:IA03_11600
ko:K01658	fpv:IA03_02560
ko:K01657	fpv:IA03_02565
ko:K09812	fpv:IA03_02595
ko:K02014	fpv:IA03_02610
ko:K00133	fpv:IA03_02620
ko:K01953	fpv:IA03_02630
ko:K02470	fpv:IA03_02635
ko:K00024	fpv:IA03_02640
ko:K12257	fpv:IA03_02645
ko:K06878	fpv:IA03_02650
ko:K00263	fpv:IA03_02665
ko:K03625	fpv:IA03_02670
ko:K03210	fpv:IA03_02680
ko:K01591	fpv:IA03_02685
ko:K11754	fpv:IA03_02710
ko:K03561	fpv:IA03_02715
ko:K03559	fpv:IA03_02720
ko:K05794	fpv:IA03_02725
ko:K01915	fpv:IA03_02730
ko:K03088	fpv:IA03_02745
ko:K07114	fpv:IA03_02755
ko:K07000	fpv:IA03_02770
ko:K06158	fpv:IA03_02795
ko:K03327	fpv:IA03_02855
ko:K07588	fpv:IA03_02870
ko:K08223	fpv:IA03_02875
ko:K07107	fpv:IA03_07610
ko:K00606	fpv:IA03_07615
ko:K00077	fpv:IA03_07625
ko:K00626	fpv:IA03_07645
ko:K14652	fpv:IA03_07665
ko:K07091	fpv:IA03_07670
ko:K03466	fpv:IA03_07680
ko:K00901	fpv:IA03_07685
ko:K11065	fpv:IA03_07690
ko:K02536	fpv:IA03_07720
ko:K01911	fpv:IA03_07725
ko:K07052	fpv:IA03_07730
ko:K00537	fpv:IA03_07735
ko:K01679	fpv:IA03_07750
ko:K02429	fpv:IA03_07760
ko:K05786	fpv:IA03_07765
ko:K07391	fpv:IA03_07770
ko:K00134	fpv:IA03_07785
ko:K00850	fpv:IA03_07790
ko:K01409	fpv:IA03_07800
ko:K09761	fpv:IA03_07805
ko:K08641	fpv:IA03_07835
ko:K01665	fpv:IA03_07845
ko:K02887	fpv:IA03_04190
ko:K02916	fpv:IA03_04195
ko:K02520	fpv:IA03_04200
ko:K01868	fpv:IA03_04205
ko:K03702	fpv:IA03_04225
ko:K01903	fpv:IA03_04250
ko:K03386	fpv:IA03_04280
ko:K00405	fpv:IA03_04305
ko:K00404	fpv:IA03_04310
ko:K09810	fpv:IA03_04315
ko:K09808	fpv:IA03_04320
ko:K09858	fpv:IA03_04355
ko:K03585	fpv:IA03_04365
ko:K01895	fpv:IA03_04420
ko:K02342	fpv:IA03_04425
ko:K07182	fpv:IA03_04430
ko:K16053	fpv:IA03_04455
ko:K03574	fpv:IA03_04465
ko:K11755	fpv:IA03_04475
ko:K02500	fpv:IA03_04480
ko:K00951	fpv:IA03_09095
ko:K03437	fpv:IA03_09100
ko:K00031	fpv:IA03_09130
ko:K02884	fpv:IA03_09140
ko:K00554	fpv:IA03_09145
ko:K06147	fpv:IA03_09165
ko:K06871	fpv:IA03_09175
ko:K01284	fpv:IA03_09195
ko:K03664	fpv:IA03_09200
ko:K03790	fpv:IA03_09210
ko:K01951	fpv:IA03_09250
ko:K09954	fpv:IA03_09270
ko:K01937	fpv:IA03_09275
ko:K03217	fpv:IA03_09280
ko:K01939	fpv:IA03_09290
ko:K03711	fpv:IA03_09295
ko:K00573	fpv:IA03_09325
ko:K00074	fpv:IA03_09335
ko:K06997	fpv:IA03_09350
ko:K02342	fpv:IA03_09360
ko:K00791	fpv:IA03_09365
ko:K01258	fpv:IA03_09380
ko:K02835	fpv:IA03_09390
ko:K02014	fpv:IA03_09395
ko:K09939	fpv:IA03_09400
ko:K03522	fpv:IA03_01615
ko:K03521	fpv:IA03_01620
ko:K00162	fpv:IA03_01625
ko:K01507	fpv:IA03_01635
ko:K02337	fpv:IA03_01655
ko:K02959	fpv:IA03_01670
ko:K02860	fpv:IA03_01675
ko:K15460	fpv:IA03_01680
ko:K00252	fpv:IA03_01685
ko:K00942	fpv:IA03_01690
ko:K01760	fpv:IA03_01720
ko:K07658	fpv:IA03_01740
ko:K07636	fpv:IA03_01745
ko:K02040	fpv:IA03_01755
ko:K02037	fpv:IA03_01760
ko:K02038	fpv:IA03_01765
ko:K02036	fpv:IA03_01770
ko:K02039	fpv:IA03_01775
ko:K03439	fpv:IA03_01790
ko:K07443	fpv:IA03_01800
ko:K00184	fpv:IA03_01815
ko:K00185	fpv:IA03_01820
ko:K02275	fpv:IA03_01840
ko:K02274	fpv:IA03_01845
ko:K09946	fpv:IA03_01870
ko:K03502	fpv:IA03_01900
ko:K03503	fpv:IA03_01905
ko:K02066	fpv:IA03_06630
ko:K02065	fpv:IA03_06635
ko:K00971	fpv:IA03_06645
ko:K00627	fpv:IA03_06660
ko:K00161	fpv:IA03_06665
ko:K01489	fpv:IA03_06670
ko:K01929	fpv:IA03_06690
ko:K02968	fpv:IA03_06700
ko:K01881	fpv:IA03_06715
ko:K14441	fpv:IA03_06730
ko:K07636	fpv:IA03_06740
ko:K00940	fpv:IA03_06760
ko:K00432	fpv:IA03_06805
ko:K03270	fpv:IA03_06820
ko:K03179	fpv:IA03_06825
ko:K06287	fpv:IA03_06830
ko:K06173	fpv:IA03_06835
ko:K00796	fpv:IA03_06845
ko:K01875	fpv:IA03_00295
ko:K03322	fpv:IA03_00315
ko:K03709	fpv:IA03_00320
ko:K07394	fpv:IA03_00330
ko:K11749	fpv:IA03_00340
ko:K03111	fpv:IA03_00350
ko:K07386	fpv:IA03_00365
ko:K07152	fpv:IA03_00380
ko:K04758	fpv:IA03_00385
ko:K04759	fpv:IA03_00390
ko:K00241	fpv:IA03_00405
ko:K00239	fpv:IA03_00410
ko:K00240	fpv:IA03_00420
ko:K11031	fpv:IA03_00430
ko:K04485	fpv:IA03_00465
ko:K07017	fpv:IA03_00470
ko:K07027	fpv:IA03_00475
ko:K01579	fpv:IA03_00480
ko:K01918	fpv:IA03_00485
ko:K00703	fpv:IA03_00490
ko:K00820	fpv:IA03_00500
ko:K02112	fpv:IA03_00515
ko:K02114	fpv:IA03_00520
ko:K00652	fpv:IA03_00535
ko:K01889	fpv:IA03_00560
ko:K03558	fpv:IA03_00570
ko:K07114	fpv:IA03_00590
ko:K07114	fpv:IA03_00600
ko:K03924	fpv:IA03_00615
ko:K09888	fpv:IA03_05440
ko:K18682	fpv:IA03_05445
ko:K03572	fpv:IA03_05450
ko:K17686	fpv:IA03_05485
ko:K03921	fpv:IA03_05495
ko:K15862	fpv:IA03_05500
ko:K00406	fpv:IA03_05510
ko:K09792	fpv:IA03_05525
ko:K09794	fpv:IA03_05530
ko:K01681	fpv:IA03_05540
ko:K03924	fpv:IA03_05555
ko:K03771	fpv:IA03_05565
ko:K03771	fpv:IA03_05570
ko:K02837	fpv:IA03_05590
ko:K03046	fpv:IA03_05600
ko:K03043	fpv:IA03_05605
ko:K02935	fpv:IA03_05610
ko:K02864	fpv:IA03_05615
ko:K02863	fpv:IA03_05620
ko:K02867	fpv:IA03_05625
ko:K02601	fpv:IA03_05630
ko:K03073	fpv:IA03_05635
ko:K02358	fpv:IA03_05645
ko:K05808	fpv:IA03_05665
ko:K03733	fpv:IA03_05670
ko:K02970	fpv:IA03_05675
ko:K02342	fpv:IA03_05705
ko:K01697	fpv:IA03_05710
ko:K03470	fpv:IA03_05730
ko:K06142	fpv:IA03_10340
ko:K01776	fpv:IA03_10345
ko:K06888	fpv:IA03_10370
ko:K14742	fpv:IA03_10380
ko:K02276	fpv:IA03_10390
ko:K02276	fpv:IA03_10395
ko:K07152	fpv:IA03_10410
ko:K08976	fpv:IA03_10415
ko:K12340	fpv:IA03_10430
ko:K02005	fpv:IA03_10435
ko:K01619	fpv:IA03_10445
ko:K02437	fpv:IA03_10455
ko:K03550	fpv:IA03_10470
ko:K00029	fpv:IA03_10475
ko:K18979	fpv:IA03_10480
ko:K03551	fpv:IA03_10485
ko:K03294	fpv:IA03_10490
ko:K05995	fpv:IA03_10515
ko:K15633	fpv:IA03_10540
ko:K08151	fpv:IA03_10560
ko:K01803	fpv:IA03_06865
ko:K03110	fpv:IA03_06870
ko:K02913	fpv:IA03_06880
ko:K02902	fpv:IA03_06885
ko:K03742	fpv:IA03_06890
ko:K02342	fpv:IA03_06910
ko:K04762	fpv:IA03_06920
ko:K03797	fpv:IA03_11625
ko:K01759	fpv:IA03_11630
ko:K03814	fpv:IA03_11635
ko:K00684	fpv:IA03_11660
ko:K01246	fpv:IA03_11670
ko:K03177	fpv:IA03_11685
ko:K06153	fpv:IA03_11690
ko:K09811	fpv:IA03_11700
ko:K01869	fpv:IA03_11720
ko:K06973	fpv:IA03_11725
ko:K03624	fpv:IA03_11735
ko:K02503	fpv:IA03_11740
ko:K01372	fpv:IA03_11750
ko:K02014	fpv:IA03_11755
ko:K03269	fpv:IA03_11760
ko:K03718	fpv:IA03_11765
ko:K01610	fpv:IA03_11780
ko:K03536	fpv:IA03_11785
ko:K01961	fpv:IA03_11790
ko:K02160	fpv:IA03_11795
ko:K00648	fpv:IA03_11800
ko:K02911	fpv:IA03_11805
ko:K00097	fpv:IA03_11815
ko:K00793	fpv:IA03_11820
ko:K02426	fpv:IA03_11840
ko:K11717	fpv:IA03_11850
ko:K09015	fpv:IA03_11860
ko:K09013	fpv:IA03_11865
ko:K09014	fpv:IA03_11870
ko:K13628	fpv:IA03_11875
ko:K00104	fpv:IA03_02880
ko:K00428	fpv:IA03_02905
ko:K03070	fpv:IA03_02915
ko:K02003	fpv:IA03_02930
ko:K15738	fpv:IA03_02950
ko:K00658	fpv:IA03_02965
ko:K01495	fpv:IA03_02995
ko:K01883	fpv:IA03_03000
ko:K08998	fpv:IA03_03005
ko:K03524	fpv:IA03_03015
ko:K09710	fpv:IA03_03020
ko:K03798	fpv:IA03_03025
ko:K00981	fpv:IA03_03035
ko:K01613	fpv:IA03_03040
ko:K00773	fpv:IA03_03060
ko:K11720	fpv:IA03_03065
ko:K01962	fpv:IA03_03075
ko:K00384	fpv:IA03_03085
ko:K03549	fpv:IA03_03110
ko:K03088	fpv:IA03_03130
ko:K03650	fpv:IA03_03140
ko:K09810	fpv:IA03_03150
ko:K07304	fpv:IA03_03155
ko:K01495	fpv:IA03_03160
ko:K00058	fpv:IA03_03185
ko:K04075	fpv:IA03_07850
ko:K04084	fpv:IA03_07855
ko:K00674	fpv:IA03_07860
ko:K01711	fpv:IA03_07925
ko:K07566	fpv:IA03_07940
ko:K02259	fpv:IA03_07950
ko:K03111	fpv:IA03_08045
ko:K03575	fpv:IA03_08050
ko:K03530	fpv:IA03_08055
ko:K08301	fpv:IA03_08060
ko:K03593	fpv:IA03_08065
ko:K00384	fpv:IA03_08075
ko:K02551	fpv:IA03_08105
ko:K03823	fpv:IA03_08110
ko:K02687	fpv:IA03_08120
ko:K06891	fpv:IA03_08125
ko:K07112	fpv:IA03_08145
ko:K07112	fpv:IA03_08150
ko:K01814	fpv:IA03_04485
ko:K02501	fpv:IA03_04490
ko:K01089	fpv:IA03_04495
ko:K00817	fpv:IA03_04500
ko:K00013	fpv:IA03_04505
ko:K00765	fpv:IA03_04510
ko:K00059	fpv:IA03_04530
ko:K02343	fpv:IA03_04535
ko:K01524	fpv:IA03_04550
ko:K00937	fpv:IA03_04555
ko:K01902	fpv:IA03_04565
ko:K02536	fpv:IA03_04575
ko:K02356	fpv:IA03_04580
ko:K00677	fpv:IA03_04585
ko:K16363	fpv:IA03_04590
ko:K02536	fpv:IA03_04595
ko:K06885	fpv:IA03_04600
ko:K00979	fpv:IA03_04610
ko:K10254	fpv:IA03_04680
ko:K00074	fpv:IA03_04685
ko:K10254	fpv:IA03_04690
ko:K03306	fpv:IA03_04700
ko:K07220	fpv:IA03_04705
ko:K06910	fpv:IA03_04730
ko:K01256	fpv:IA03_04740
ko:K03655	fpv:IA03_04750
ko:K09001	fpv:IA03_09420
ko:K01270	fpv:IA03_09430
ko:K06193	fpv:IA03_00635
ko:K00057	fpv:IA03_00640
ko:K08325	fpv:IA03_00645
ko:K00969	fpv:IA03_00650
ko:K01810	fpv:IA03_00660
ko:K00831	fpv:IA03_03190
ko:K06942	fpv:IA03_03210
ko:K02014	fpv:IA03_03215
ko:K02622	fpv:IA03_03220
ko:K02621	fpv:IA03_03235
ko:K06180	fpv:IA03_03250
ko:K01921	fpv:IA03_03260
ko:K00954	fpv:IA03_03265
ko:K02361	fpv:IA03_03290
ko:K00762	fpv:IA03_03315
ko:K01992	fpv:IA03_03340
ko:K01990	fpv:IA03_03345
ko:K03686	fpv:IA03_03350
ko:K03687	fpv:IA03_03355
ko:K07071	fpv:IA03_03360
ko:K09940	fpv:IA03_03370
ko:K10947	fpv:IA03_03375
ko:K01555	fpv:IA03_03400
ko:K00600	fpv:IA03_03405
ko:K00615	fpv:IA03_03410
ko:K00615	fpv:IA03_03415
ko:K01933	fpv:IA03_03425
ko:K01952	fpv:IA03_03480
ko:K03500	fpv:IA03_03490
ko:K07646	fpv:IA03_08170
ko:K01548	fpv:IA03_08180
ko:K01547	fpv:IA03_08185
ko:K01546	fpv:IA03_08190
ko:K00812	fpv:IA03_08210
ko:K01873	fpv:IA03_08225
ko:K01479	fpv:IA03_08235
ko:K11927	fpv:IA03_08240
ko:K03744	fpv:IA03_08245
ko:K00275	fpv:IA03_08255
ko:K00784	fpv:IA03_08260
ko:K00318	fpv:IA03_08265
ko:K01735	fpv:IA03_08270
ko:K01585	fpv:IA03_08280
ko:K00809	fpv:IA03_08285
ko:K11537	fpv:IA03_08295
