ko:K18929	hep:HPPN120_00710
ko:K03182	hep:HPPN120_05110
ko:K06997	hep:HPPN120_05115
ko:K03415	hep:HPPN120_05130
ko:K03407	hep:HPPN120_05135
ko:K03408	hep:HPPN120_05140
ko:K11065	hep:HPPN120_05145
ko:K04564	hep:HPPN120_05150
ko:K15256	hep:HPPN120_05155
ko:K02493	hep:HPPN120_05195
ko:K00262	hep:HPPN120_05200
ko:K01772	hep:HPPN120_05220
ko:K09761	hep:HPPN120_05230
ko:K01494	hep:HPPN120_05240
ko:K02160	hep:HPPN120_05245
ko:K01961	hep:HPPN120_05250
ko:K04096	hep:HPPN120_01695
ko:K07447	hep:HPPN120_01700
ko:K06180	hep:HPPN120_01755
ko:K07462	hep:HPPN120_01760
ko:K01937	hep:HPPN120_01765
ko:K02409	hep:HPPN120_01775
ko:K02410	hep:HPPN120_01780
ko:K02411	hep:HPPN120_01785
ko:K01662	hep:HPPN120_01790
ko:K03596	hep:HPPN120_01795
ko:K02392	hep:HPPN120_01805
ko:K03466	hep:HPPN120_01815
ko:K00615	hep:HPPN120_01830
ko:K11753	hep:HPPN120_01835
ko:K06442	hep:HPPN120_01840
ko:K00609	hep:HPPN120_01850
ko:K07241	hep:HPPN120_01880
ko:K03798	hep:HPPN120_01915
ko:K02687	hep:HPPN120_01920
ko:K03413	hep:HPPN120_01925
ko:K06950	hep:HPPN120_01940
ko:K03501	hep:HPPN120_01945
ko:K07568	hep:HPPN120_01950
ko:K03118	hep:HPPN120_01955
ko:K03117	hep:HPPN120_01960
ko:K03551	hep:HPPN120_01965
ko:K00606	hep:HPPN120_01970
ko:K08311	hep:HPPN120_06010
ko:K00928	hep:HPPN120_06015
ko:K02341	hep:HPPN120_06025
ko:K00796	hep:HPPN120_06030
ko:K09804	hep:HPPN120_06055
ko:K01956	hep:HPPN120_06060
ko:K06287	hep:HPPN120_06075
ko:K09794	hep:HPPN120_06090
ko:K02963	hep:HPPN120_06110
ko:K02990	hep:HPPN120_06120
ko:K02340	hep:HPPN120_06130
ko:K12573	hep:HPPN120_06135
ko:K00014	hep:HPPN120_06140
ko:K13894	hep:HPPN120_06150
ko:K13893	hep:HPPN120_06155
ko:K01867	hep:HPPN120_06160
ko:K02169	hep:HPPN120_06165
ko:K03075	hep:HPPN120_06170
ko:K02838	hep:HPPN120_06175
ko:K00762	hep:HPPN120_06180
ko:K12410	hep:HPPN120_06190
ko:K00330	hep:HPPN120_06195
ko:K00331	hep:HPPN120_06200
ko:K00332	hep:HPPN120_06205
ko:K00333	hep:HPPN120_06210
ko:K00334	hep:HPPN120_06215
ko:K00337	hep:HPPN120_06230
ko:K00338	hep:HPPN120_06235
ko:K00339	hep:HPPN120_06240
ko:K00340	hep:HPPN120_06245
ko:K00341	hep:HPPN120_06250
ko:K00342	hep:HPPN120_06255
ko:K00343	hep:HPPN120_06260
ko:K15778	hep:HPPN120_06270
ko:K16091	hep:HPPN120_03285
ko:K16091	hep:HPPN120_07680
ko:K00104	hep:HPPN120_02460
ko:K14218	hep:HPPN120_t08068
ko:K14219	hep:HPPN120_t08094
ko:K14226	hep:HPPN120_t08096
ko:K15726	hep:HPPN120_04780
ko:K01977	hep:HPPN120_r08128
ko:K01977	hep:HPPN120_r08130
ko:K14230	hep:HPPN120_t08106
ko:K14234	hep:HPPN120_t08110
ko:K14225	hep:HPPN120_t08112
ko:K14236	hep:HPPN120_t08114
ko:K14234	hep:HPPN120_t08116
ko:K14228	hep:HPPN120_t08118
ko:K14228	hep:HPPN120_t08120
ko:K14231	hep:HPPN120_t08122
ko:K10716	hep:HPPN120_02375
ko:K02014	hep:HPPN120_04330
ko:K02014	hep:HPPN120_07420
ko:K03496	hep:HPPN120_07605
ko:K02028	hep:HPPN120_05715
ko:K02030	hep:HPPN120_05720
ko:K04093	hep:HPPN120_01480
ko:K03342	hep:HPPN120_01490
ko:K01916	hep:HPPN120_01675
ko:K01674	hep:HPPN120_05795
ko:K02843	hep:HPPN120_05825
ko:K01719	hep:HPPN120_05985
ko:K03455	hep:HPPN120_02280
ko:K02017	hep:HPPN120_02300
ko:K01885	hep:HPPN120_02305
ko:K08077	hep:HPPN120_02450
ko:K07126	hep:HPPN120_02515
ko:K02238	hep:HPPN120_06695
ko:K00059	hep:HPPN120_02755
ko:K04517	hep:HPPN120_06805
ko:K03279	hep:HPPN120_06890
ko:K03768	hep:HPPN120_07035
ko:K07126	hep:HPPN120_01710
ko:K11085	hep:HPPN120_01860
