ko:K01699	lmob:BN419_1350
ko:K06180	lmob:BN419_2219
ko:K03101	lmob:BN419_2220
ko:K06901	lmob:BN419_2221
ko:K03327	lmob:BN419_2223
ko:K03797	lmob:BN419_2229
ko:K11068	lmob:BN419_2246
ko:K00014	lmob:BN419_2692
ko:K13531	lmob:BN419_2698
ko:K13530	lmob:BN419_2699
ko:K06180	lmob:BN419_2700
ko:K07220	lmob:BN419_2704
ko:K03306	lmob:BN419_2705
ko:K06901	lmob:BN419_2711
ko:K02759	lmob:BN419_2715
ko:K16898	lmob:BN419_2723
ko:K02250	lmob:BN419_2726
ko:K06193	lmob:BN419_0429
ko:K02761	lmob:BN419_0433
ko:K02760	lmob:BN419_0434
ko:K00140	lmob:BN419_0444
ko:K03337	lmob:BN419_0445
ko:K03338	lmob:BN419_0446
ko:K03336	lmob:BN419_0448
ko:K03648	lmob:BN419_0452
ko:K00286	lmob:BN419_0458
ko:K07238	lmob:BN419_0481
ko:K16651	lmob:BN419_1371
ko:K04019	lmob:BN419_1376
ko:K03735	lmob:BN419_1377
ko:K03736	lmob:BN419_1378
ko:K04026	lmob:BN419_1379
ko:K04027	lmob:BN419_1382
ko:K04032	lmob:BN419_1383
ko:K04023	lmob:BN419_1388
ko:K04030	lmob:BN419_1389
ko:K02224	lmob:BN419_1395
ko:K02227	lmob:BN419_1396
ko:K06042	lmob:BN419_1398
ko:K02188	lmob:BN419_1399
ko:K02191	lmob:BN419_1401
ko:K05936	lmob:BN419_1402
ko:K02189	lmob:BN419_1403
ko:K13542	lmob:BN419_1408
ko:K03394	lmob:BN419_1410
ko:K02007	lmob:BN419_1411
ko:K02008	lmob:BN419_1413
ko:K02006	lmob:BN419_1414
ko:K02232	lmob:BN419_1416
ko:K09936	lmob:BN419_1418
ko:K09773	lmob:BN419_2248
ko:K00563	lmob:BN419_2255
ko:K15738	lmob:BN419_2258
ko:K01938	lmob:BN419_2260
ko:K03704	lmob:BN419_2262
ko:K02954	lmob:BN419_2265
ko:K16169	lmob:BN419_2267
ko:K03816	lmob:BN419_2268
ko:K01299	lmob:BN419_2269
ko:K07444	lmob:BN419_2270
ko:K05366	lmob:BN419_2276
ko:K10773	lmob:BN419_2278
ko:K01893	lmob:BN419_2280
ko:K00812	lmob:BN419_2281
ko:K01579	lmob:BN419_2284
ko:K01918	lmob:BN419_2285
ko:K00606	lmob:BN419_2286
ko:K03524	lmob:BN419_2288
ko:K01734	lmob:BN419_2290
ko:K00215	lmob:BN419_2291
ko:K00656	lmob:BN419_2302
ko:K03088	lmob:BN419_0491
ko:K03924	lmob:BN419_0535
ko:K10974	lmob:BN419_0538
ko:K09703	lmob:BN419_0539
ko:K03437	lmob:BN419_1429
ko:K01889	lmob:BN419_1433
ko:K01890	lmob:BN419_1435
ko:K02003	lmob:BN419_1436
ko:K03648	lmob:BN419_1442
ko:K09015	lmob:BN419_2869
ko:K09015	lmob:BN419_2870
ko:K09013	lmob:BN419_2871
ko:K02073	lmob:BN419_2873
ko:K02072	lmob:BN419_2874
ko:K02071	lmob:BN419_2875
ko:K02437	lmob:BN419_2882
ko:K05837	lmob:BN419_2884
ko:K05837	lmob:BN419_2885
ko:K02013	lmob:BN419_2887
ko:K02015	lmob:BN419_2888
ko:K02016	lmob:BN419_2889
ko:K03664	lmob:BN419_2908
ko:K12573	lmob:BN419_2909
ko:K03928	lmob:BN419_2911
ko:K03075	lmob:BN419_2912
ko:K15633	lmob:BN419_2918
ko:K01803	lmob:BN419_2919
ko:K00927	lmob:BN419_2920
ko:K00134	lmob:BN419_2921
ko:K05311	lmob:BN419_2922
ko:K02358	lmob:BN419_3148
ko:K02355	lmob:BN419_3149
ko:K02992	lmob:BN419_3150
ko:K02950	lmob:BN419_3151
ko:K01129	lmob:BN419_3152
ko:K01783	lmob:BN419_3154
ko:K00615	lmob:BN419_3155
ko:K01808	lmob:BN419_3158
ko:K02774	lmob:BN419_3162
ko:K02773	lmob:BN419_3163
ko:K01808	lmob:BN419_3171
ko:K07667	lmob:BN419_3174
ko:K07646	lmob:BN419_3175
ko:K01548	lmob:BN419_3176
ko:K01547	lmob:BN419_3177
ko:K01546	lmob:BN419_3179
ko:K02761	lmob:BN419_3182
ko:K02759	lmob:BN419_3183
ko:K01531	lmob:BN419_3190
ko:K07726	lmob:BN419_0854
ko:K02529	lmob:BN419_0855
ko:K01783	lmob:BN419_0856
ko:K01808	lmob:BN419_0857
ko:K01223	lmob:BN419_0860
ko:K15975	lmob:BN419_0884
ko:K06999	lmob:BN419_0885
ko:K03665	lmob:BN419_0887
ko:K03800	lmob:BN419_0889
ko:K07447	lmob:BN419_1760
ko:K01872	lmob:BN419_1762
ko:K02003	lmob:BN419_1763
ko:K03581	lmob:BN419_1767
ko:K00566	lmob:BN419_1770
ko:K04487	lmob:BN419_1771
ko:K07478	lmob:BN419_1772
ko:K03320	lmob:BN419_1774
ko:K04751	lmob:BN419_1775
ko:K01876	lmob:BN419_1777
ko:K09888	lmob:BN419_1444
ko:K02347	lmob:BN419_1446
ko:K07456	lmob:BN419_1447
ko:K03671	lmob:BN419_1448
ko:K03703	lmob:BN419_1450
ko:K00928	lmob:BN419_1452
ko:K01776	lmob:BN419_1454
ko:K00989	lmob:BN419_1456
ko:K07095	lmob:BN419_1458
ko:K02818	lmob:BN419_1482
ko:K02819	lmob:BN419_1482
ko:K00147	lmob:BN419_1487
ko:K07007	lmob:BN419_2303
ko:K06973	lmob:BN419_2304
ko:K00800	lmob:BN419_2310
ko:K00817	lmob:BN419_2313
ko:K06208	lmob:BN419_2314
ko:K01735	lmob:BN419_2315
ko:K01736	lmob:BN419_2317
ko:K00940	lmob:BN419_2318
ko:K03183	lmob:BN419_2321
ko:K01495	lmob:BN419_2323
ko:K03530	lmob:BN419_2324
ko:K00057	lmob:BN419_2326
ko:K03977	lmob:BN419_2327
ko:K02945	lmob:BN419_2328
ko:K00945	lmob:BN419_2329
ko:K03654	lmob:BN419_2332
ko:K07651	lmob:BN419_2337
ko:K07775	lmob:BN419_2338
ko:K06178	lmob:BN419_2339
ko:K06024	lmob:BN419_2340
ko:K05896	lmob:BN419_2341
ko:K01586	lmob:BN419_2342
ko:K01839	lmob:BN419_2346
ko:K02015	lmob:BN419_2349
ko:K02015	lmob:BN419_2350
ko:K02016	lmob:BN419_2352
ko:K02013	lmob:BN419_2353
ko:K00865	lmob:BN419_3256
ko:K12410	lmob:BN419_3260
ko:K01875	lmob:BN419_3270
ko:K06978	lmob:BN419_3279
ko:K03654	lmob:BN419_3281
ko:K02760	lmob:BN419_3290
ko:K02761	lmob:BN419_3291
ko:K02759	lmob:BN419_3295
ko:K01919	lmob:BN419_3300
ko:K01223	lmob:BN419_3301
ko:K06942	lmob:BN419_3308
ko:K02759	lmob:BN419_3310
ko:K01892	lmob:BN419_1778
ko:K01448	lmob:BN419_1779
ko:K07560	lmob:BN419_1780
ko:K00759	lmob:BN419_1782
ko:K07462	lmob:BN419_1783
ko:K12257	lmob:BN419_1785
ko:K03210	lmob:BN419_1787
ko:K00773	lmob:BN419_1788
ko:K07568	lmob:BN419_1789
ko:K03551	lmob:BN419_1790
ko:K03550	lmob:BN419_1792
ko:K03979	lmob:BN419_1796
ko:K00864	lmob:BN419_1797
ko:K02440	lmob:BN419_1798
ko:K02899	lmob:BN419_1799
ko:K02888	lmob:BN419_1801
ko:K08301	lmob:BN419_1802
ko:K03609	lmob:BN419_1804
ko:K03610	lmob:BN419_1805
ko:K03571	lmob:BN419_1806
ko:K03570	lmob:BN419_1807
ko:K03569	lmob:BN419_1808
ko:K03630	lmob:BN419_1809
ko:K08600	lmob:BN419_2635
ko:K02013	lmob:BN419_2636
ko:K02015	lmob:BN419_2637
ko:K02016	lmob:BN419_2638
ko:K08602	lmob:BN419_2642
ko:K16511	lmob:BN419_2644
ko:K15581	lmob:BN419_2649
ko:K15580	lmob:BN419_2650
ko:K01867	lmob:BN419_2652
ko:K09458	lmob:BN419_2655
ko:K00648	lmob:BN419_2656
ko:K03695	lmob:BN419_2660
ko:K06890	lmob:BN419_2661
ko:K01772	lmob:BN419_2665
ko:K01599	lmob:BN419_2666
ko:K02503	lmob:BN419_2671
ko:K06941	lmob:BN419_0557
ko:K13653	lmob:BN419_0558
ko:K02911	lmob:BN419_0561
ko:K03785	lmob:BN419_0570
ko:K01808	lmob:BN419_0575
ko:K01783	lmob:BN419_0576
ko:K02773	lmob:BN419_0581
ko:K01783	lmob:BN419_0583
ko:K02774	lmob:BN419_0586
ko:K00948	lmob:BN419_0588
ko:K07282	lmob:BN419_0597
ko:K08987	lmob:BN419_0599
ko:K00931	lmob:BN419_1488
ko:K03545	lmob:BN419_1495
ko:K03544	lmob:BN419_1496
ko:K03100	lmob:BN419_1497
ko:K03100	lmob:BN419_1498
ko:K03100	lmob:BN419_1499
ko:K14540	lmob:BN419_1500
ko:K03470	lmob:BN419_1501
ko:K04096	lmob:BN419_1502
ko:K03168	lmob:BN419_1503
ko:K04094	lmob:BN419_1504
ko:K03733	lmob:BN419_1505
ko:K01419	lmob:BN419_1506
ko:K03667	lmob:BN419_1508
ko:K03706	lmob:BN419_1509
ko:K07107	lmob:BN419_1510
ko:K08591	lmob:BN419_1513
ko:K02622	lmob:BN419_1515
ko:K02621	lmob:BN419_1517
ko:K07173	lmob:BN419_1518
ko:K01126	lmob:BN419_1522
ko:K00111	lmob:BN419_1523
ko:K00791	lmob:BN419_1524
ko:K03666	lmob:BN419_1525
ko:K03665	lmob:BN419_1526
ko:K01915	lmob:BN419_1529
ko:K03893	lmob:BN419_1530
ko:K01356	lmob:BN419_1532
ko:K00615	lmob:BN419_1535
ko:K09903	lmob:BN419_1543
ko:K02838	lmob:BN419_1544
ko:K01625	lmob:BN419_2362
ko:K03710	lmob:BN419_2367
ko:K02346	lmob:BN419_2368
ko:K07124	lmob:BN419_2369
ko:K00036	lmob:BN419_2373
ko:K01687	lmob:BN419_2378
ko:K01652	lmob:BN419_2381
ko:K01653	lmob:BN419_2382
ko:K01653	lmob:BN419_2383
ko:K00053	lmob:BN419_2385
ko:K01649	lmob:BN419_2386
ko:K00052	lmob:BN419_2387
ko:K01703	lmob:BN419_2388
ko:K01704	lmob:BN419_2389
ko:K01754	lmob:BN419_2390
ko:K01575	lmob:BN419_2393
ko:K00756	lmob:BN419_2394
ko:K02529	lmob:BN419_2397
ko:K05346	lmob:BN419_2400
ko:K02909	lmob:BN419_3028
ko:K03628	lmob:BN419_3031
ko:K00790	lmob:BN419_3032
ko:K13678	lmob:BN419_3034
ko:K01937	lmob:BN419_3041
ko:K01887	lmob:BN419_3043
ko:K01821	lmob:BN419_3046
ko:K06885	lmob:BN419_3047
ko:K08281	lmob:BN419_3054
ko:K02003	lmob:BN419_3064
ko:K02379	lmob:BN419_3069
ko:K00123	lmob:BN419_3072
ko:K02313	lmob:BN419_0001
ko:K02338	lmob:BN419_0002
ko:K03629	lmob:BN419_0005
ko:K02470	lmob:BN419_0006
ko:K02469	lmob:BN419_0007
ko:K01118	lmob:BN419_0915
ko:K11737	lmob:BN419_0916
ko:K07150	lmob:BN419_0928
ko:K07118	lmob:BN419_0929
ko:K05786	lmob:BN419_0931
ko:K11733	lmob:BN419_0934
ko:K00847	lmob:BN419_0955
ko:K11754	lmob:BN419_1811
ko:K01873	lmob:BN419_1812
ko:K01845	lmob:BN419_1813
ko:K01698	lmob:BN419_1814
ko:K01749	lmob:BN419_1816
ko:K02492	lmob:BN419_1817
ko:K03978	lmob:BN419_1818
ko:K01868	lmob:BN419_1821
ko:K07738	lmob:BN419_1826
ko:K00859	lmob:BN419_1827
ko:K00031	lmob:BN419_1833
ko:K01647	lmob:BN419_1834
ko:K07113	lmob:BN419_1836
ko:K00873	lmob:BN419_1837
ko:K00850	lmob:BN419_1838
ko:K01962	lmob:BN419_1839
ko:K01963	lmob:BN419_1841
ko:K02337	lmob:BN419_1843
ko:K00259	lmob:BN419_1852
ko:K11065	lmob:BN419_1858
ko:K04773	lmob:BN419_1860
ko:K00858	lmob:BN419_1861
ko:K00611	lmob:BN419_1862
ko:K00930	lmob:BN419_1864
ko:K06131	lmob:BN419_0008
ko:K02826	lmob:BN419_0014
ko:K02827	lmob:BN419_0016
ko:K02828	lmob:BN419_0017
ko:K02829	lmob:BN419_0018
ko:K07282	lmob:BN419_0020
ko:K01223	lmob:BN419_0021
ko:K02529	lmob:BN419_0034
ko:K07166	lmob:BN419_0618
ko:K09157	lmob:BN419_0619
ko:K02016	lmob:BN419_0628
ko:K02781	lmob:BN419_0629
ko:K08325	lmob:BN419_0643
ko:K03305	lmob:BN419_0645
ko:K00262	lmob:BN419_0651
ko:K02500	lmob:BN419_0654
ko:K01814	lmob:BN419_0656
ko:K02501	lmob:BN419_0658
ko:K01693	lmob:BN419_0660
ko:K00013	lmob:BN419_0661
ko:K00765	lmob:BN419_0663
ko:K02502	lmob:BN419_0664
ko:K04486	lmob:BN419_0665
ko:K00806	lmob:BN419_1545
ko:K00981	lmob:BN419_1546
ko:K00099	lmob:BN419_1548
ko:K11749	lmob:BN419_1549
ko:K01881	lmob:BN419_1550
ko:K03763	lmob:BN419_1551
ko:K09748	lmob:BN419_1552
ko:K02600	lmob:BN419_1554
ko:K07742	lmob:BN419_1555
ko:K02519	lmob:BN419_1557
ko:K02834	lmob:BN419_1559
ko:K11753	lmob:BN419_1561
ko:K02956	lmob:BN419_1562
ko:K00962	lmob:BN419_1563
ko:K06949	lmob:BN419_1565
ko:K02913	lmob:BN419_1568
ko:K02247	lmob:BN419_1576
ko:K00605	lmob:BN419_1581
ko:K00282	lmob:BN419_1582
ko:K00283	lmob:BN419_1583
ko:K02356	lmob:BN419_1588
ko:K02160	lmob:BN419_1589
ko:K01961	lmob:BN419_1590
ko:K03625	lmob:BN419_1592
ko:K01491	lmob:BN419_1593
ko:K03601	lmob:BN419_1594
ko:K03602	lmob:BN419_1595
ko:K13789	lmob:BN419_1596
ko:K03704	lmob:BN419_1597
ko:K01662	lmob:BN419_1598
ko:K06442	lmob:BN419_1599
ko:K03402	lmob:BN419_1600
ko:K01652	lmob:BN419_2411
ko:K07718	lmob:BN419_2416
ko:K03704	lmob:BN419_2427
ko:K01778	lmob:BN419_2429
ko:K01870	lmob:BN419_2431
ko:K04074	lmob:BN419_2434
ko:K04487	lmob:BN419_2436
ko:K00278	lmob:BN419_2437
ko:K00767	lmob:BN419_2440
ko:K03517	lmob:BN419_2443
ko:K02221	lmob:BN419_2447
ko:K09772	lmob:BN419_2448
ko:K06997	lmob:BN419_2449
ko:K03531	lmob:BN419_2450
ko:K03590	lmob:BN419_2451
