ko:K05934	lmy:LM5923_1225
ko:K00763	lmy:LM5923_1129
ko:K02760	lmy:LM5923_1132
ko:K01951	lmy:LM5923_1133
ko:K07094	lmy:LM5923_1911
ko:K03308	lmy:LM5923_1912
ko:K01945	lmy:LM5923_1915
ko:K00602	lmy:LM5923_1916
ko:K11175	lmy:LM5923_1917
ko:K01933	lmy:LM5923_1918
ko:K00764	lmy:LM5923_1919
ko:K01952	lmy:LM5923_1920
ko:K01952	lmy:LM5923_1921
ko:K01952	lmy:LM5923_1922
ko:K01923	lmy:LM5923_1923
ko:K01756	lmy:LM5923_1924
ko:K01589	lmy:LM5923_1925
ko:K01588	lmy:LM5923_1926
ko:K06950	lmy:LM5923_1928
ko:K01258	lmy:LM5923_1931
ko:K01142	lmy:LM5923_1933
ko:K02887	lmy:LM5923_1934
ko:K02916	lmy:LM5923_1935
ko:K02520	lmy:LM5923_1936
ko:K02884	lmy:LM5923_1940
ko:K00554	lmy:LM5923_1945
ko:K02860	lmy:LM5923_1946
ko:K07010	lmy:LM5923_1948
ko:K06960	lmy:LM5923_1949
ko:K02959	lmy:LM5923_1950
ko:K01104	lmy:LM5923_1953
ko:K03106	lmy:LM5923_1954
ko:K09787	lmy:LM5923_1955
ko:K03110	lmy:LM5923_1956
ko:K03529	lmy:LM5923_1957
ko:K03685	lmy:LM5923_1958
ko:K02078	lmy:LM5923_1959
ko:K00059	lmy:LM5923_1960
ko:K01759	lmy:LM5923_0439
ko:K05592	lmy:LM5923_0900
ko:K02760	lmy:LM5923_0909
ko:K02761	lmy:LM5923_0910
ko:K09167	lmy:LM5923_0916
ko:K08981	lmy:LM5923_0917
ko:K00231	lmy:LM5923_0918
ko:K00997	lmy:LM5923_0919
ko:K01775	lmy:LM5923_0920
ko:K07315	lmy:LM5923_0926
ko:K03090	lmy:LM5923_0929
ko:K03321	lmy:LM5923_0931
ko:K06959	lmy:LM5923_0932
ko:K03095	lmy:LM5923_0933
ko:K02761	lmy:LM5923_0936
ko:K03492	lmy:LM5923_0937
ko:K00383	lmy:LM5923_0941
ko:K00135	lmy:LM5923_0948
ko:K02760	lmy:LM5923_0949
ko:K02761	lmy:LM5923_0950
ko:K02759	lmy:LM5923_0951
ko:K01223	lmy:LM5923_0952
ko:K07089	lmy:LM5923_0955
ko:K00867	lmy:LM5923_0957
ko:K08998	lmy:LM5923_1769
ko:K09815	lmy:LM5923_1770
ko:K01911	lmy:LM5923_1771
ko:K01661	lmy:LM5923_1772
ko:K08680	lmy:LM5923_1773
ko:K02551	lmy:LM5923_1774
ko:K02552	lmy:LM5923_1775
ko:K02548	lmy:LM5923_1776
ko:K00549	lmy:LM5923_1780
ko:K09825	lmy:LM5923_1782
ko:K01845	lmy:LM5923_1784
ko:K07586	lmy:LM5923_1786
ko:K03575	lmy:LM5923_1788
ko:K01520	lmy:LM5923_1790
ko:K03565	lmy:LM5923_1792
ko:K07071	lmy:LM5923_1793
ko:K03790	lmy:LM5923_1797
ko:K09015	lmy:LM5923_2558
ko:K09013	lmy:LM5923_2559
ko:K02073	lmy:LM5923_2561
ko:K02072	lmy:LM5923_2562
ko:K02071	lmy:LM5923_2563
ko:K02437	lmy:LM5923_2569
ko:K05837	lmy:LM5923_2571
ko:K05837	lmy:LM5923_2572
ko:K02013	lmy:LM5923_2573
ko:K02015	lmy:LM5923_2574
ko:K02016	lmy:LM5923_2575
ko:K03488	lmy:LM5923_2580
ko:K07032	lmy:LM5923_2581
ko:K03664	lmy:LM5923_2593
ko:K12573	lmy:LM5923_2594
ko:K03928	lmy:LM5923_2595
ko:K03075	lmy:LM5923_2596
ko:K01689	lmy:LM5923_2599
ko:K01803	lmy:LM5923_2601
ko:K00927	lmy:LM5923_2602
ko:K00134	lmy:LM5923_2603
ko:K05311	lmy:LM5923_2604
ko:K03092	lmy:LM5923_2605
ko:K06994	lmy:LM5923_2607
ko:K03933	lmy:LM5923_2611
ko:K01358	lmy:LM5923_2612
ko:K02914	lmy:LM5923_0002
ko:K03536	lmy:LM5923_0003
ko:K03217	lmy:LM5923_0004
ko:K06346	lmy:LM5923_0005
ko:K00848	lmy:LM5923_0009
ko:K01629	lmy:LM5923_0011
ko:K03534	lmy:LM5923_0012
ko:K02025	lmy:LM5923_0019
ko:K02026	lmy:LM5923_0020
ko:K04844	lmy:LM5923_0024
ko:K00865	lmy:LM5923_0025
ko:K07078	lmy:LM5923_0028
ko:K00831	lmy:LM5923_0032
ko:K08170	lmy:LM5923_0039
ko:K00059	lmy:LM5923_0042
ko:K03650	lmy:LM5923_0047
ko:K03495	lmy:LM5923_0048
ko:K03501	lmy:LM5923_0057
ko:K01788	lmy:LM5923_0058
ko:K03652	lmy:LM5923_0963
ko:K03800	lmy:LM5923_0966
ko:K03216	lmy:LM5923_0970
ko:K01104	lmy:LM5923_0973
ko:K04079	lmy:LM5923_0977
ko:K04047	lmy:LM5923_0978
ko:K03449	lmy:LM5923_0982
ko:K01443	lmy:LM5923_0991
ko:K02564	lmy:LM5923_0992
ko:K03710	lmy:LM5923_0993
ko:K08303	lmy:LM5923_0996
ko:K03744	lmy:LM5923_0997
ko:K03799	lmy:LM5923_0998
ko:K07816	lmy:LM5923_1002
ko:K00858	lmy:LM5923_1003
ko:K06180	lmy:LM5923_1004
ko:K00208	lmy:LM5923_1005
ko:K03740	lmy:LM5923_1006
ko:K03739	lmy:LM5923_1008
ko:K03367	lmy:LM5923_1009
ko:K01807	lmy:LM5923_1011
ko:K00826	lmy:LM5923_1014
ko:K02283	lmy:LM5923_1841
ko:K02279	lmy:LM5923_1843
ko:K06223	lmy:LM5923_1853
ko:K01273	lmy:LM5923_2606
ko:K03502	lmy:LM5923_0184
ko:K01808	lmy:LM5923_0186
ko:K02773	lmy:LM5923_0193
ko:K02774	lmy:LM5923_0194
ko:K02775	lmy:LM5923_0195
ko:K01808	lmy:LM5923_0198
ko:K01783	lmy:LM5923_0199
ko:K00615	lmy:LM5923_0200
ko:K01783	lmy:LM5923_0201
ko:K01129	lmy:LM5923_0203
ko:K02950	lmy:LM5923_0204
ko:K02992	lmy:LM5923_0205
ko:K02355	lmy:LM5923_0206
ko:K02358	lmy:LM5923_0207
ko:K02822	lmy:LM5923_0210
ko:K03475	lmy:LM5923_0211
ko:K07048	lmy:LM5923_0212
ko:K03885	lmy:LM5923_0222
ko:K03734	lmy:LM5923_0224
ko:K02946	lmy:LM5923_0227
ko:K02906	lmy:LM5923_0228
ko:K02926	lmy:LM5923_0229
ko:K02892	lmy:LM5923_0230
ko:K02886	lmy:LM5923_0231
ko:K02965	lmy:LM5923_0232
ko:K02890	lmy:LM5923_0233
ko:K02982	lmy:LM5923_0234
ko:K02878	lmy:LM5923_0235
ko:K02904	lmy:LM5923_0236
ko:K02961	lmy:LM5923_0237
ko:K02874	lmy:LM5923_0238
ko:K02895	lmy:LM5923_0239
ko:K02931	lmy:LM5923_0240
ko:K02954	lmy:LM5923_0241
ko:K02994	lmy:LM5923_0242
ko:K02933	lmy:LM5923_0243
ko:K03827	lmy:LM5923_1152
ko:K06889	lmy:LM5923_1154
ko:K01358	lmy:LM5923_1165
ko:K04031	lmy:LM5923_1170
ko:K04029	lmy:LM5923_1171
ko:K02231	lmy:LM5923_1173
ko:K02233	lmy:LM5923_1174
ko:K04024	lmy:LM5923_1187
ko:K02440	lmy:LM5923_1193
ko:K00925	lmy:LM5923_1194
ko:K00645	lmy:LM5923_1961
ko:K03621	lmy:LM5923_1962
ko:K03655	lmy:LM5923_1964
ko:K01752	lmy:LM5923_1965
ko:K01752	lmy:LM5923_1966
ko:K07030	lmy:LM5923_1967
ko:K02902	lmy:LM5923_1969
ko:K01783	lmy:LM5923_1971
ko:K06949	lmy:LM5923_1972
ko:K03500	lmy:LM5923_1975
ko:K00604	lmy:LM5923_1976
ko:K04066	lmy:LM5923_1977
ko:K13038	lmy:LM5923_1978
ko:K03060	lmy:LM5923_1979
ko:K00942	lmy:LM5923_1980
ko:K00762	lmy:LM5923_1984
ko:K01591	lmy:LM5923_1985
ko:K01955	lmy:LM5923_1988
ko:K01956	lmy:LM5923_1989
ko:K01465	lmy:LM5923_1990
ko:K00609	lmy:LM5923_1991
ko:K02824	lmy:LM5923_1992
ko:K02825	lmy:LM5923_1993
ko:K06180	lmy:LM5923_1996
ko:K03101	lmy:LM5923_1997
ko:K06901	lmy:LM5923_1998
ko:K03327	lmy:LM5923_1999
ko:K03797	lmy:LM5923_2004
ko:K03784	lmy:LM5923_2009
ko:K03810	lmy:LM5923_2011
ko:K07305	lmy:LM5923_2012
ko:K07304	lmy:LM5923_2013
ko:K10778	lmy:LM5923_2887
ko:K07090	lmy:LM5923_2552
ko:K09014	lmy:LM5923_2555
ko:K04488	lmy:LM5923_2556
ko:K11717	lmy:LM5923_2557
ko:K11071	lmy:LM5923_0842
ko:K11070	lmy:LM5923_0843
ko:K11069	lmy:LM5923_0844
ko:K00847	lmy:LM5923_0847
ko:K02371	lmy:LM5923_0848
ko:K03737	lmy:LM5923_0863
ko:K04041	lmy:LM5923_0864
ko:K07088	lmy:LM5923_0865
ko:K13256	lmy:LM5923_0870
ko:K07784	lmy:LM5923_0871
ko:K08151	lmy:LM5923_0872
ko:K01921	lmy:LM5923_0888
ko:K01929	lmy:LM5923_0889
ko:K02529	lmy:LM5923_0891
ko:K02025	lmy:LM5923_0893
ko:K02026	lmy:LM5923_0894
ko:K01226	lmy:LM5923_0895
ko:K02417	lmy:LM5923_0734
ko:K09770	lmy:LM5923_0737
ko:K02396	lmy:LM5923_0739
ko:K02397	lmy:LM5923_0740
ko:K02407	lmy:LM5923_0741
ko:K02422	lmy:LM5923_0742
ko:K02387	lmy:LM5923_0744
ko:K02388	lmy:LM5923_0745
ko:K02408	lmy:LM5923_0746
ko:K02409	lmy:LM5923_0747
ko:K02410	lmy:LM5923_0748
ko:K02411	lmy:LM5923_0749
ko:K02412	lmy:LM5923_0750
ko:K00158	lmy:LM5923_0756
ko:K03406	lmy:LM5923_0757
ko:K00820	lmy:LM5923_0761
ko:K02529	lmy:LM5923_0769
ko:K01783	lmy:LM5923_0770
ko:K01808	lmy:LM5923_0771
ko:K02755	lmy:LM5923_0773
ko:K02756	lmy:LM5923_0773
ko:K02757	lmy:LM5923_0773
ko:K01223	lmy:LM5923_0774
ko:K11144	lmy:LM5923_1658
ko:K03346	lmy:LM5923_1659
ko:K07738	lmy:LM5923_1660
ko:K00859	lmy:LM5923_1661
ko:K10563	lmy:LM5923_1662
ko:K02335	lmy:LM5923_1663
ko:K00031	lmy:LM5923_1664
ko:K01647	lmy:LM5923_1665
ko:K07113	lmy:LM5923_1667
ko:K00873	lmy:LM5923_1668
ko:K00850	lmy:LM5923_1669
ko:K01962	lmy:LM5923_1670
ko:K01963	lmy:LM5923_1671
ko:K02337	lmy:LM5923_1672
ko:K00259	lmy:LM5923_1677
ko:K00925	lmy:LM5923_1679
ko:K11065	lmy:LM5923_1682
ko:K04773	lmy:LM5923_1684
ko:K00858	lmy:LM5923_1685
ko:K00930	lmy:LM5923_1688
ko:K00620	lmy:LM5923_1689
ko:K00145	lmy:LM5923_1690
ko:K03151	lmy:LM5923_1691
ko:K04487	lmy:LM5923_1692
ko:K06286	lmy:LM5923_1693
ko:K08281	lmy:LM5923_2716
ko:K03284	lmy:LM5923_0678
ko:K07313	lmy:LM5923_0685
ko:K08976	lmy:LM5923_0686
ko:K07457	lmy:LM5923_0688
ko:K00661	lmy:LM5923_0695
ko:K02419	lmy:LM5923_0710
ko:K02420	lmy:LM5923_0711
ko:K02421	lmy:LM5923_0712
ko:K02986	lmy:LM5923_1695
ko:K01866	lmy:LM5923_1697
ko:K02529	lmy:LM5923_1698
ko:K01924	lmy:LM5923_1704
ko:K03466	lmy:LM5923_1705
ko:K06878	lmy:LM5923_1706
ko:K02768	lmy:LM5923_2483
ko:K02769	lmy:LM5923_2483
ko:K02770	lmy:LM5923_2483
ko:K00882	lmy:LM5923_2484
ko:K01372	lmy:LM5923_2486
ko:K00299	lmy:LM5923_2499
ko:K02564	lmy:LM5923_2507
ko:K07729	lmy:LM5923_0784
ko:K06999	lmy:LM5923_0795
ko:K03665	lmy:LM5923_0797
ko:K07098	lmy:LM5923_0798
ko:K03800	lmy:LM5923_0799
