ko:K19743	zmr:A254_01222
ko:K02199	zmr:A254_00083
ko:K02200	zmr:A254_00084
ko:K02919	zmr:A254_00089
ko:K01834	zmr:A254_00092
ko:K03778	zmr:A254_00093
ko:K13953	zmr:A254_00094
ko:K09823	zmr:A254_00095
ko:K01662	zmr:A254_00096
ko:K09688	zmr:A254_00099
ko:K01711	zmr:A254_00103
ko:K07462	zmr:A254_00105
ko:K01495	zmr:A254_00106
ko:K02939	zmr:A254_00108
ko:K01207	zmr:A254_00162
ko:K06978	zmr:A254_00165
ko:K07657	zmr:A254_00168
ko:K02039	zmr:A254_00169
ko:K07636	zmr:A254_00170
ko:K01613	zmr:A254_00171
ko:K17103	zmr:A254_00172
ko:K01779	zmr:A254_00173
ko:K02967	zmr:A254_00175
ko:K02357	zmr:A254_00176
ko:K09903	zmr:A254_00177
ko:K02838	zmr:A254_00178
ko:K00806	zmr:A254_00179
ko:K00981	zmr:A254_00180
ko:K00099	zmr:A254_00181
ko:K11749	zmr:A254_00182
ko:K07277	zmr:A254_00183
ko:K02372	zmr:A254_00185
ko:K02909	zmr:A254_00186
ko:K00384	zmr:A254_00189
ko:K00053	zmr:A254_00190
ko:K01653	zmr:A254_00191
ko:K01652	zmr:A254_00192
ko:K00791	zmr:A254_00193
ko:K01079	zmr:A254_00194
ko:K00428	zmr:A254_00195
ko:K03592	zmr:A254_00196
ko:K01673	zmr:A254_00198
ko:K03644	zmr:A254_00199
ko:K03743	zmr:A254_00201
ko:K12506	zmr:A254_00203
ko:K05540	zmr:A254_00204
ko:K13598	zmr:A254_00206
ko:K13599	zmr:A254_00207
ko:K04764	zmr:A254_00209
ko:K00799	zmr:A254_00211
ko:K00265	zmr:A254_00212
ko:K00266	zmr:A254_00213
ko:K06153	zmr:A254_00214
ko:K02621	zmr:A254_00270
ko:K01923	zmr:A254_00271
ko:K02036	zmr:A254_00272
ko:K02038	zmr:A254_00273
ko:K02037	zmr:A254_00274
ko:K02040	zmr:A254_00275
ko:K03282	zmr:A254_00277
ko:K03744	zmr:A254_00278
ko:K06872	zmr:A254_00279
ko:K01515	zmr:A254_00280
ko:K01940	zmr:A254_00285
ko:K00574	zmr:A254_00287
ko:K06941	zmr:A254_00288
ko:K04069	zmr:A254_00291
ko:K06920	zmr:A254_00294
ko:K04487	zmr:A254_00295
ko:K07018	zmr:A254_00296
ko:K01581	zmr:A254_00297
ko:K00809	zmr:A254_00298
ko:K02066	zmr:A254_00299
ko:K02065	zmr:A254_00300
ko:K02067	zmr:A254_00301
ko:K18480	zmr:A254_00302
ko:K02518	zmr:A254_00303
ko:K06287	zmr:A254_00304
ko:K09862	zmr:A254_10001
ko:K00796	zmr:A254_00311
ko:K03470	zmr:A254_00313
ko:K00941	zmr:A254_00314
ko:K03431	zmr:A254_00315
ko:K03305	zmr:A254_00316
ko:K00549	zmr:A254_00317
ko:K07566	zmr:A254_00318
ko:K07304	zmr:A254_00319
ko:K01625	zmr:A254_00320
ko:K16092	zmr:A254_00335
ko:K02016	zmr:A254_00336
ko:K00720	zmr:A254_00342
ko:K06901	zmr:A254_00345
ko:K03317	zmr:A254_00347
ko:K03446	zmr:A254_00348
ko:K03543	zmr:A254_00349
ko:K01443	zmr:A254_00352
ko:K03814	zmr:A254_00354
ko:K00413	zmr:A254_00355
ko:K00412	zmr:A254_00356
ko:K00411	zmr:A254_00357
ko:K03216	zmr:A254_00358
ko:K00228	zmr:A254_00359
ko:K03544	zmr:A254_00361
ko:K01358	zmr:A254_00362
ko:K03545	zmr:A254_00364
ko:K01193	zmr:A254_00368
ko:K08679	zmr:A254_00370
ko:K01487	zmr:A254_00372
ko:K00832	zmr:A254_00374
ko:K00684	zmr:A254_00382
ko:K02067	zmr:A254_00384
ko:K03704	zmr:A254_00385
ko:K03070	zmr:A254_00386
ko:K00620	zmr:A254_00387
ko:K01840	zmr:A254_00921
ko:K00788	zmr:A254_00924
ko:K01092	zmr:A254_00926
ko:K02356	zmr:A254_00927
ko:K01760	zmr:A254_00928
ko:K09457	zmr:A254_00929
ko:K03101	zmr:A254_00931
ko:K01870	zmr:A254_00932
ko:K11753	zmr:A254_00933
ko:K18009	zmr:A254_00937
ko:K06131	zmr:A254_00939
ko:K00286	zmr:A254_00942
ko:K07266	zmr:A254_00944
ko:K01772	zmr:A254_00947
ko:K09939	zmr:A254_00949
ko:K03601	zmr:A254_00950
ko:K01945	zmr:A254_00951
ko:K03699	zmr:A254_00953
ko:K02902	zmr:A254_00955
ko:K13292	zmr:A254_00958
ko:K09807	zmr:A254_00961
ko:K18139	zmr:A254_00962
ko:K18138	zmr:A254_00963
ko:K03585	zmr:A254_00964
ko:K03704	zmr:A254_00966
ko:K03684	zmr:A254_00967
ko:K11719	zmr:A254_00968
ko:K09774	zmr:A254_00969
ko:K06861	zmr:A254_00970
ko:K03092	zmr:A254_00971
ko:K01159	zmr:A254_01077
ko:K00873	zmr:A254_01080
ko:K03439	zmr:A254_01082
ko:K00278	zmr:A254_01085
ko:K01990	zmr:A254_01086
ko:K06997	zmr:A254_01087
ko:K01104	zmr:A254_01088
ko:K07126	zmr:A254_01090
ko:K07126	zmr:A254_01091
ko:K07126	zmr:A254_01094
ko:K07126	zmr:A254_01095
ko:K09474	zmr:A254_01099
ko:K02014	zmr:A254_01100
ko:K06915	zmr:A254_01105
ko:K07478	zmr:A254_01107
ko:K03313	zmr:A254_01111
ko:K05601	zmr:A254_01112
ko:K00826	zmr:A254_01114
ko:K01664	zmr:A254_01115
ko:K01665	zmr:A254_01116
ko:K15738	zmr:A254_01118
ko:K01704	zmr:A254_01123
ko:K01703	zmr:A254_01124
ko:K01467	zmr:A254_01125
ko:K00782	zmr:A254_01186
ko:K01783	zmr:A254_01188
ko:K03500	zmr:A254_01189
ko:K03687	zmr:A254_01190
ko:K03705	zmr:A254_01191
ko:K00989	zmr:A254_01192
ko:K02428	zmr:A254_01193
ko:K07043	zmr:A254_01196
ko:K00380	zmr:A254_01197
ko:K00381	zmr:A254_01198
ko:K00390	zmr:A254_01199
ko:K02302	zmr:A254_01200
ko:K00957	zmr:A254_01201
ko:K00956	zmr:A254_01202
ko:K00860	zmr:A254_01203
ko:K00817	zmr:A254_01204
ko:K02014	zmr:A254_01205
ko:K01599	zmr:A254_01206
ko:K08973	zmr:A254_01207
ko:K03628	zmr:A254_01208
ko:K01061	zmr:A254_01210
ko:K00567	zmr:A254_01211
ko:K03650	zmr:A254_01212
ko:K02352	zmr:A254_01215
ko:K03495	zmr:A254_01216
ko:K03501	zmr:A254_01217
ko:K05596	zmr:A254_01223
ko:K06895	zmr:A254_01224
ko:K01918	zmr:A254_01225
ko:K00606	zmr:A254_01226
ko:K17836	zmr:A254_01228
ko:K02238	zmr:A254_01230
ko:K01885	zmr:A254_01231
ko:K01647	zmr:A254_01232
ko:K12972	zmr:A254_01287
ko:K07120	zmr:A254_01288
ko:K01698	zmr:A254_01291
ko:K01873	zmr:A254_01292
ko:K09991	zmr:A254_01294
ko:K07390	zmr:A254_01297
ko:K03517	zmr:A254_01299
ko:K00767	zmr:A254_01300
ko:K01166	zmr:A254_01301
ko:K03524	zmr:A254_01302
ko:K03525	zmr:A254_01303
ko:K12574	zmr:A254_01304
ko:K02371	zmr:A254_01313
ko:K07267	zmr:A254_01315
ko:K01951	zmr:A254_01325
ko:K00375	zmr:A254_01326
ko:K01714	zmr:A254_01327
ko:K03839	zmr:A254_01328
ko:K02016	zmr:A254_01331
ko:K02015	zmr:A254_01332
ko:K02013	zmr:A254_01333
ko:K06193	zmr:A254_01334
ko:K03734	zmr:A254_01336
ko:K03803	zmr:A254_01337
ko:K03813	zmr:A254_01340
ko:K02595	zmr:A254_01341
ko:K02594	zmr:A254_01342
ko:K04487	zmr:A254_01343
ko:K08325	zmr:A254_01398
ko:K01755	zmr:A254_01399
ko:K01586	zmr:A254_01401
ko:K00963	zmr:A254_01402
ko:K16074	zmr:A254_01403
ko:K07460	zmr:A254_10004
ko:K07056	zmr:A254_01406
ko:K05807	zmr:A254_01408
ko:K00851	zmr:A254_01409
ko:K03299	zmr:A254_01410
ko:K00135	zmr:A254_01412
ko:K00528	zmr:A254_01413
ko:K14475	zmr:A254_01416
ko:K04754	zmr:A254_01417
ko:K00297	zmr:A254_01419
ko:K00548	zmr:A254_01420
ko:K00548	zmr:A254_01421
ko:K03596	zmr:A254_01423
ko:K04761	zmr:A254_01429
ko:K03386	zmr:A254_01430
ko:K00640	zmr:A254_01431
ko:K14261	zmr:A254_01434
ko:K06891	zmr:A254_01435
ko:K00790	zmr:A254_01436
ko:K05810	zmr:A254_01438
ko:K00121	zmr:A254_01439
ko:K03060	zmr:A254_01441
ko:K00847	zmr:A254_01442
ko:K03832	zmr:A254_01444
ko:K03561	zmr:A254_01445
ko:K03559	zmr:A254_01446
ko:K03559	zmr:A254_01447
ko:K02970	zmr:A254_01448
ko:K07003	zmr:A254_01558
ko:K01662	zmr:A254_01559
ko:K13954	zmr:A254_01560
ko:K01775	zmr:A254_01562
ko:K02066	zmr:A254_01563
ko:K02065	zmr:A254_01564
ko:K06878	zmr:A254_01565
ko:K07090	zmr:A254_01566
ko:K03701	zmr:A254_01567
ko:K03594	zmr:A254_01569
