ko:K19405	ctcf:CTRC69_03595
ko:K01807	ctcf:CTRC69_01115
ko:K03787	ctcf:CTRC69_01140
ko:K03179	ctcf:CTRC69_01145
ko:K03186	ctcf:CTRC69_01150
ko:K03308	ctcf:CTRC69_01210
ko:K02078	ctcf:CTRC69_01235
ko:K00645	ctcf:CTRC69_01245
ko:K00648	ctcf:CTRC69_01250
ko:K06187	ctcf:CTRC69_01255
ko:K07277	ctcf:CTRC69_01260
ko:K06142	ctcf:CTRC69_01265
ko:K02536	ctcf:CTRC69_01270
ko:K00161	ctcf:CTRC69_01280
ko:K00162	ctcf:CTRC69_01285
ko:K00627	ctcf:CTRC69_01290
ko:K00688	ctcf:CTRC69_01295
ko:K02313	ctcf:CTRC69_01305
ko:K03217	ctcf:CTRC69_01310
ko:K04487	ctcf:CTRC69_01345
ko:K07083	ctcf:CTRC69_01370
ko:K01962	ctcf:CTRC69_01385
ko:K01448	ctcf:CTRC69_01400
ko:K01928	ctcf:CTRC69_01405
ko:K03587	ctcf:CTRC69_01410
ko:K03438	ctcf:CTRC69_01420
ko:K02313	ctcf:CTRC69_01435
ko:K00347	ctcf:CTRC69_01450
ko:K00348	ctcf:CTRC69_01455
ko:K00349	ctcf:CTRC69_01460
ko:K00350	ctcf:CTRC69_01465
ko:K02437	ctcf:CTRC69_01470
ko:K03980	ctcf:CTRC69_03310
ko:K01151	ctcf:CTRC69_03315
ko:K02986	ctcf:CTRC69_03325
ko:K07146	ctcf:CTRC69_03330
ko:K13789	ctcf:CTRC69_03335
ko:K01698	ctcf:CTRC69_03365
ko:K00346	ctcf:CTRC69_03370
ko:K03582	ctcf:CTRC69_03395
ko:K03583	ctcf:CTRC69_03400
ko:K03168	ctcf:CTRC69_03420
ko:K02221	ctcf:CTRC69_03430
ko:K03581	ctcf:CTRC69_03470
ko:K06861	ctcf:CTRC69_03480
ko:K01627	ctcf:CTRC69_03490
ko:K06180	ctcf:CTRC69_03510
ko:K06960	ctcf:CTRC69_03515
ko:K02469	ctcf:CTRC69_03520
ko:K02470	ctcf:CTRC69_03525
ko:K02492	ctcf:CTRC69_03530
ko:K03224	ctcf:CTRC69_03565
ko:K02417	ctcf:CTRC69_03580
ko:K03219	ctcf:CTRC69_03590
ko:K02838	ctcf:CTRC69_03605
ko:K09903	ctcf:CTRC69_03610
ko:K02357	ctcf:CTRC69_03615
ko:K02967	ctcf:CTRC69_03620
ko:K03162	ctcf:CTRC69_03630
ko:K09013	ctcf:CTRC69_03655
ko:K09015	ctcf:CTRC69_03660
ko:K11717	ctcf:CTRC69_03665
ko:K07220	ctcf:CTRC69_03685
ko:K03306	ctcf:CTRC69_03690
ko:K00927	ctcf:CTRC69_03695
ko:K10773	ctcf:CTRC69_03715
ko:K03650	ctcf:CTRC69_03720
ko:K01613	ctcf:CTRC69_03725
ko:K03070	ctcf:CTRC69_03735
ko:K03977	ctcf:CTRC69_03745
ko:K03544	ctcf:CTRC69_03755
ko:K01358	ctcf:CTRC69_03760
ko:K03545	ctcf:CTRC69_03765
ko:K03569	ctcf:CTRC69_03780
ko:K00057	ctcf:CTRC69_03805
ko:K01000	ctcf:CTRC69_04045
ko:K01925	ctcf:CTRC69_04050
ko:K03588	ctcf:CTRC69_04060
ko:K02563	ctcf:CTRC69_04065
ko:K06960	ctcf:CTRC69_04075
ko:K00791	ctcf:CTRC69_04090
ko:K09710	ctcf:CTRC69_04105
ko:K09458	ctcf:CTRC69_04110
ko:K00263	ctcf:CTRC69_04125
ko:K00655	ctcf:CTRC69_04135
ko:K04066	ctcf:CTRC69_04150
ko:K04567	ctcf:CTRC69_04165
ko:K01883	ctcf:CTRC69_04170
ko:K03536	ctcf:CTRC69_04185
ko:K02919	ctcf:CTRC69_04190
ko:K02954	ctcf:CTRC69_04195
ko:K03703	ctcf:CTRC69_04220
ko:K03555	ctcf:CTRC69_04225
ko:K14164	ctcf:CTRC69_04250
ko:K00995	ctcf:CTRC69_04255
ko:K00703	ctcf:CTRC69_04260
ko:K02897	ctcf:CTRC69_04265
ko:K01056	ctcf:CTRC69_04270
ko:K02990	ctcf:CTRC69_04275
ko:K02963	ctcf:CTRC69_04280
ko:K02939	ctcf:CTRC69_04285
ko:K00919	ctcf:CTRC69_04290
ko:K00630	ctcf:CTRC69_04310
ko:K08301	ctcf:CTRC69_04315
ko:K02911	ctcf:CTRC69_04330
ko:K03621	ctcf:CTRC69_04335
ko:K03431	ctcf:CTRC69_04370
ko:K00820	ctcf:CTRC69_04375
ko:K03834	ctcf:CTRC69_04380
ko:K03834	ctcf:CTRC69_04390
ko:K06890	ctcf:CTRC69_04395
ko:K03110	ctcf:CTRC69_04400
ko:K01903	ctcf:CTRC69_04405
ko:K01902	ctcf:CTRC69_04410
ko:K09760	ctcf:CTRC69_04425
ko:K17103	ctcf:CTRC69_04430
ko:K03439	ctcf:CTRC69_04445
ko:K00075	ctcf:CTRC69_04455
ko:K03625	ctcf:CTRC69_04465
ko:K02520	ctcf:CTRC69_04470
ko:K02916	ctcf:CTRC69_04475
ko:K02887	ctcf:CTRC69_04480
ko:K01889	ctcf:CTRC69_04485
ko:K11720	ctcf:CTRC69_04500
ko:K07091	ctcf:CTRC69_04505
ko:K04075	ctcf:CTRC69_04510
ko:K03798	ctcf:CTRC69_04515
ko:K00962	ctcf:CTRC69_04520
ko:K02956	ctcf:CTRC69_04525
ko:K01265	ctcf:CTRC69_04575
ko:K03321	ctcf:CTRC69_04610
ko:K03527	ctcf:CTRC69_04625
ko:K03800	ctcf:CTRC69_01485
ko:K03696	ctcf:CTRC69_01490
ko:K00566	ctcf:CTRC69_01495
ko:K01963	ctcf:CTRC69_01530
ko:K04564	ctcf:CTRC69_01535
ko:K03685	ctcf:CTRC69_01550
ko:K04485	ctcf:CTRC69_01555
ko:K01749	ctcf:CTRC69_01560
ko:K01873	ctcf:CTRC69_01570
ko:K03046	ctcf:CTRC69_01630
ko:K03043	ctcf:CTRC69_01635
ko:K02935	ctcf:CTRC69_01640
ko:K02864	ctcf:CTRC69_01645
ko:K02863	ctcf:CTRC69_01650
ko:K02867	ctcf:CTRC69_01655
ko:K02601	ctcf:CTRC69_01660
ko:K03073	ctcf:CTRC69_01665
ko:K02358	ctcf:CTRC69_01670
ko:K02518	ctcf:CTRC69_01675
ko:K01803	ctcf:CTRC69_01720
ko:K03601	ctcf:CTRC69_01725
ko:K03602	ctcf:CTRC69_01730
ko:K01662	ctcf:CTRC69_01740
ko:K00873	ctcf:CTRC69_01745
ko:K03701	ctcf:CTRC69_01750
ko:K02343	ctcf:CTRC69_01755
ko:K09747	ctcf:CTRC69_01760
ko:K11381	ctcf:CTRC69_01790
ko:K03686	ctcf:CTRC69_01795
ko:K02970	ctcf:CTRC69_01800
ko:K01338	ctcf:CTRC69_01810
ko:K03733	ctcf:CTRC69_01830
ko:K06287	ctcf:CTRC69_01840
ko:K03075	ctcf:CTRC69_01855
ko:K01462	ctcf:CTRC69_01860
ko:K02528	ctcf:CTRC69_01865
ko:K06888	ctcf:CTRC69_01875
ko:K03523	ctcf:CTRC69_01895
ko:K01714	ctcf:CTRC69_01910
ko:K00928	ctcf:CTRC69_01915
ko:K00133	ctcf:CTRC69_01920
ko:K00215	ctcf:CTRC69_01925
ko:K00800	ctcf:CTRC69_01935
ko:K00891	ctcf:CTRC69_01940
ko:K01736	ctcf:CTRC69_01945
ko:K01735	ctcf:CTRC69_01950
ko:K13832	ctcf:CTRC69_01955
ko:K03758	ctcf:CTRC69_01975
ko:K00024	ctcf:CTRC69_01985
ko:K09779	ctcf:CTRC69_00010
ko:K02435	ctcf:CTRC69_00015
ko:K02434	ctcf:CTRC69_00025
ko:K02517	ctcf:CTRC69_00055
ko:K00425	ctcf:CTRC69_00070
ko:K00426	ctcf:CTRC69_00075
ko:K07175	ctcf:CTRC69_00080
ko:K01870	ctcf:CTRC69_00105
ko:K03100	ctcf:CTRC69_00110
ko:K02909	ctcf:CTRC69_00120
ko:K02835	ctcf:CTRC69_00125
ko:K02493	ctcf:CTRC69_00130
ko:K03106	ctcf:CTRC69_00135
ko:K02959	ctcf:CTRC69_00140
ko:K00554	ctcf:CTRC69_00145
ko:K02884	ctcf:CTRC69_00150
ko:K03470	ctcf:CTRC69_00155
ko:K00942	ctcf:CTRC69_00160
ko:K01874	ctcf:CTRC69_00170
ko:K03581	ctcf:CTRC69_00175
ko:K01494	ctcf:CTRC69_00200
ko:K03551	ctcf:CTRC69_00210
ko:K01255	ctcf:CTRC69_00240
ko:K02340	ctcf:CTRC69_00250
ko:K07056	ctcf:CTRC69_00255
ko:K00164	ctcf:CTRC69_00290
ko:K00658	ctcf:CTRC69_00295
ko:K05810	ctcf:CTRC69_00300
ko:K03526	ctcf:CTRC69_00305
ko:K02400	ctcf:CTRC69_00320
ko:K02405	ctcf:CTRC69_00325
ko:K01866	ctcf:CTRC69_00330
ko:K03596	ctcf:CTRC69_00340
ko:K03301	ctcf:CTRC69_00345
ko:K00099	ctcf:CTRC69_00380
ko:K03629	ctcf:CTRC69_00395
ko:K02338	ctcf:CTRC69_00400
ko:K03664	ctcf:CTRC69_00405
ko:K03734	ctcf:CTRC69_00410
ko:K01491	ctcf:CTRC69_00415
ko:K02902	ctcf:CTRC69_00450
ko:K00705	ctcf:CTRC69_00455
ko:K04058	ctcf:CTRC69_00465
ko:K03230	ctcf:CTRC69_00470
ko:K03229	ctcf:CTRC69_00475
ko:K06942	ctcf:CTRC69_00480
ko:K11753	ctcf:CTRC69_00485
ko:K02834	ctcf:CTRC69_00495
ko:K02519	ctcf:CTRC69_00500
ko:K02600	ctcf:CTRC69_00505
ko:K02945	ctcf:CTRC69_00510
ko:K00384	ctcf:CTRC69_00515
ko:K00997	ctcf:CTRC69_00520
ko:K00208	ctcf:CTRC69_00540
ko:K03575	ctcf:CTRC69_00555
ko:K04077	ctcf:CTRC69_00570
ko:K04078	ctcf:CTRC69_00575
ko:K08602	ctcf:CTRC69_00585
ko:K03695	ctcf:CTRC69_00595
ko:K01783	ctcf:CTRC69_00635
ko:K02356	ctcf:CTRC69_00640
ko:K02160	ctcf:CTRC69_00645
ko:K01961	ctcf:CTRC69_00650
ko:K02871	ctcf:CTRC69_00660
ko:K02996	ctcf:CTRC69_00665
ko:K02029	ctcf:CTRC69_00680
ko:K07058	ctcf:CTRC69_00695
ko:K06999	ctcf:CTRC69_00715
ko:K07566	ctcf:CTRC69_00720
ko:K09125	ctcf:CTRC69_00735
ko:K07039	ctcf:CTRC69_00740
ko:K01972	ctcf:CTRC69_00770
ko:K02913	ctcf:CTRC69_00790
ko:K09808	ctcf:CTRC69_00795
ko:K09810	ctcf:CTRC69_00800
ko:K03720	ctcf:CTRC69_00890
ko:K01696	ctcf:CTRC69_00900
ko:K01695	ctcf:CTRC69_00905
ko:K03611	ctcf:CTRC69_00930
ko:K00979	ctcf:CTRC69_00960
ko:K01937	ctcf:CTRC69_00965
ko:K07447	ctcf:CTRC69_00970
ko:K01810	ctcf:CTRC69_01995
ko:K03665	ctcf:CTRC69_02000
ko:K06167	ctcf:CTRC69_02005
ko:K09996	ctcf:CTRC69_02010
ko:K06966	ctcf:CTRC69_02040
ko:K09131	ctcf:CTRC69_02045
ko:K10206	ctcf:CTRC69_02055
ko:K01881	ctcf:CTRC69_02070
ko:K03705	ctcf:CTRC69_02075
ko:K03687	ctcf:CTRC69_02080
ko:K04043	ctcf:CTRC69_02085
ko:K12573	ctcf:CTRC69_02090
ko:K07164	ctcf:CTRC69_02095
ko:K06041	ctcf:CTRC69_02100
ko:K00658	ctcf:CTRC69_02105
ko:K00912	ctcf:CTRC69_02115
ko:K03437	ctcf:CTRC69_02120
ko:K06969	ctcf:CTRC69_02125
ko:K00793	ctcf:CTRC69_02130
ko:K07738	ctcf:CTRC69_02135
ko:K06204	ctcf:CTRC69_02140
ko:K03101	ctcf:CTRC69_02145
ko:K03310	ctcf:CTRC69_02150
ko:K00748	ctcf:CTRC69_02160
ko:K09817	ctcf:CTRC69_02185
ko:K09816	ctcf:CTRC69_02190
ko:K03979	ctcf:CTRC69_02195
ko:K02899	ctcf:CTRC69_02200
ko:K02888	ctcf:CTRC69_02205
ko:K07042	ctcf:CTRC69_02225
ko:K03183	ctcf:CTRC69_02255
ko:K01778	ctcf:CTRC69_02265
ko:K01358	ctcf:CTRC69_02270
ko:K00600	ctcf:CTRC69_02275
ko:K01770	ctcf:CTRC69_02290
ko:K02946	ctcf:CTRC69_02300
ko:K02355	ctcf:CTRC69_02305
ko:K02992	ctcf:CTRC69_02310
ko:K02950	ctcf:CTRC69_02315
ko:K03797	ctcf:CTRC69_02325
ko:K07462	ctcf:CTRC69_02365
ko:K12257	ctcf:CTRC69_02375
ko:K00806	ctcf:CTRC69_02390
ko:K00981	ctcf:CTRC69_02400
ko:K00945	ctcf:CTRC69_02405
ko:K00655	ctcf:CTRC69_02410
ko:K01887	ctcf:CTRC69_02415
ko:K00790	ctcf:CTRC69_02420
ko:K02836	ctcf:CTRC69_02440
ko:K00991	ctcf:CTRC69_02455
ko:K06173	ctcf:CTRC69_02460
ko:K07710	ctcf:CTRC69_02480
ko:K07714	ctcf:CTRC69_02485
ko:K03584	ctcf:CTRC69_02495
ko:K01890	ctcf:CTRC69_02525
ko:K02034	ctcf:CTRC69_02540
ko:K01772	ctcf:CTRC69_02585
ko:K07099	ctcf:CTRC69_02600
ko:K00975	ctcf:CTRC69_02605
ko:K03628	ctcf:CTRC69_02615
ko:K00859	ctcf:CTRC69_02620
ko:K03301	ctcf:CTRC69_02635
ko:K00995	ctcf:CTRC69_02640
ko:K03495	ctcf:CTRC69_02660
ko:K03800	ctcf:CTRC69_02665
ko:K00940	ctcf:CTRC69_02670
ko:K03550	ctcf:CTRC69_02675
ko:K01159	ctcf:CTRC69_02680
ko:K00134	ctcf:CTRC69_02695
ko:K02879	ctcf:CTRC69_02700
ko:K03040	ctcf:CTRC69_02705
ko:K02948	ctcf:CTRC69_02710
ko:K02952	ctcf:CTRC69_02715
ko:K03076	ctcf:CTRC69_02720
ko:K02876	ctcf:CTRC69_02725
ko:K02988	ctcf:CTRC69_02730
ko:K02881	ctcf:CTRC69_02735
ko:K02933	ctcf:CTRC69_02740
ko:K02994	ctcf:CTRC69_02745
ko:K02931	ctcf:CTRC69_02750
ko:K02895	ctcf:CTRC69_02755
ko:K02874	ctcf:CTRC69_02760
ko:K02961	ctcf:CTRC69_02765
ko:K02904	ctcf:CTRC69_02770
ko:K02878	ctcf:CTRC69_02775
ko:K02982	ctcf:CTRC69_02780
ko:K02890	ctcf:CTRC69_02785
ko:K02965	ctcf:CTRC69_02790
ko:K02886	ctcf:CTRC69_02795
ko:K02892	ctcf:CTRC69_02800
ko:K02926	ctcf:CTRC69_02805
ko:K02906	ctcf:CTRC69_02810
ko:K00604	ctcf:CTRC69_02820
ko:K00677	ctcf:CTRC69_02825
ko:K02372	ctcf:CTRC69_02830
ko:K02535	ctcf:CTRC69_02835
ko:K03820	ctcf:CTRC69_02840
ko:K06925	ctcf:CTRC69_02855
ko:K03671	ctcf:CTRC69_02865
ko:K03216	ctcf:CTRC69_02870
ko:K01876	ctcf:CTRC69_02880
ko:K01892	ctcf:CTRC69_02885
ko:K07783	ctcf:CTRC69_02890
ko:K02337	ctcf:CTRC69_02895
ko:K03311	ctcf:CTRC69_02940
ko:K00382	ctcf:CTRC69_02955
ko:K03644	ctcf:CTRC69_02960
ko:K03222	ctcf:CTRC69_02965
ko:K03223	ctcf:CTRC69_02980
ko:K03226	ctcf:CTRC69_02985
ko:K03228	ctcf:CTRC69_02995
ko:K02455	ctcf:CTRC69_03025
ko:K02453	ctcf:CTRC69_03035
ko:K03572	ctcf:CTRC69_03050
ko:K01868	ctcf:CTRC69_03080
ko:K01867	ctcf:CTRC69_03100
ko:K03702	ctcf:CTRC69_03105
ko:K01689	ctcf:CTRC69_03110
ko:K00240	ctcf:CTRC69_03130
ko:K03424	ctcf:CTRC69_03150
ko:K03562	ctcf:CTRC69_03160
ko:K03641	ctcf:CTRC69_03175
ko:K03640	ctcf:CTRC69_03180
ko:K03648	ctcf:CTRC69_03220
ko:K03657	ctcf:CTRC69_03225
ko:K03092	ctcf:CTRC69_03230
ko:K06137	ctcf:CTRC69_03235
ko:K13941	ctcf:CTRC69_03250
ko:K01633	ctcf:CTRC69_03255
ko:K03086	ctcf:CTRC69_03260
ko:K02968	ctcf:CTRC69_03270
ko:K02412	ctcf:CTRC69_03820
ko:K02411	ctcf:CTRC69_03825
ko:K02409	ctcf:CTRC69_03830
ko:K13819	ctcf:CTRC69_03840
ko:K04487	ctcf:CTRC69_03845
ko:K06178	ctcf:CTRC69_03860
ko:K03524	ctcf:CTRC69_03870
ko:K05837	ctcf:CTRC69_03875
ko:K01875	ctcf:CTRC69_03890
ko:K11752	ctcf:CTRC69_03895
ko:K14652	ctcf:CTRC69_03900
ko:K00794	ctcf:CTRC69_03905
ko:K03310	ctcf:CTRC69_03920
ko:K03466	ctcf:CTRC69_03940
ko:K00351	ctcf:CTRC69_03950
ko:K03210	ctcf:CTRC69_03955
ko:K00231	ctcf:CTRC69_03975
ko:K01599	ctcf:CTRC69_03985
ko:K03723	ctcf:CTRC69_03990
ko:K01872	ctcf:CTRC69_03995
ko:K00615	ctcf:CTRC69_04005
ko:K01241	ctcf:CTRC69_04010
ko:K02356	ctcf:CTRC69_04020
ko:K01929	ctcf:CTRC69_04040
ko:K14234	ctcf:CTRC69_t04784
ko:K14225	ctcf:CTRC69_t04790
ko:K14228	ctcf:CTRC69_t04768
ko:K14228	ctcf:CTRC69_t04804
ko:K14232	ctcf:CTRC69_t04734
ko:K14237	ctcf:CTRC69_t04750
ko:K14230	ctcf:CTRC69_t04746
ko:K01977	ctcf:CTRC69_r04810
ko:K01977	ctcf:CTRC69_r04812
ko:K14220	ctcf:CTRC69_t04732
ko:K14234	ctcf:CTRC69_t04736
ko:K14234	ctcf:CTRC69_t04754
ko:K14236	ctcf:CTRC69_t04738
ko:K14225	ctcf:CTRC69_t04792
ko:K14237	ctcf:CTRC69_t04800
ko:K01507	ctcf:CTRC69_04120
ko:K01082	ctcf:CTRC69_04130
ko:K01909	ctcf:CTRC69_04140
ko:K00652	ctcf:CTRC69_04145
ko:K01408	ctcf:CTRC69_04305
ko:K15582	ctcf:CTRC69_01050
ko:K10823	ctcf:CTRC69_01055
ko:K15583	ctcf:CTRC69_01060
ko:K06889	ctcf:CTRC69_01080
ko:K00059	ctcf:CTRC69_01240
ko:K07052	ctcf:CTRC69_01325
ko:K02342	ctcf:CTRC69_01365
ko:K01409	ctcf:CTRC69_01035
ko:K04763	ctcf:CTRC69_04665
ko:K00700	ctcf:CTRC69_04675
ko:K00813	ctcf:CTRC69_03385
ko:K01934	ctcf:CTRC69_03450
ko:K00970	ctcf:CTRC69_03750
ko:K01596	ctcf:CTRC69_03785
ko:K00972	ctcf:CTRC69_03810
ko:K01840	ctcf:CTRC69_01540
ko:K06972	ctcf:CTRC69_04420
ko:K11645	ctcf:CTRC69_01125
ko:K08274	ctcf:CTRC69_01990
ko:K07081	ctcf:CTRC69_02250
ko:K22100	ctcf:CTRC69_01715
ko:K01802	ctcf:CTRC69_02875
ko:K08275	ctcf:CTRC69_00425
ko:K03309	ctcf:CTRC69_02110
ko:K08719	ctcf:CTRC69_03800
ko:K01829	ctcf:CTRC69_04160
ko:K01829	ctcf:CTRC69_04180
ko:K07033	ctcf:CTRC69_03650
ko:K01214	ctcf:CTRC69_00220
ko:K03825	ctcf:CTRC69_02435
ko:K03497	ctcf:CTRC69_03670
ko:K03111	ctcf:CTRC69_00230
ko:K03496	ctcf:CTRC69_03085
ko:K02626	ctcf:CTRC69_01970
ko:K11991	ctcf:CTRC69_04530
ko:K04771	ctcf:CTRC69_04415
ko:K19411	ctcf:CTRC69_03600
ko:K02031	ctcf:CTRC69_03680
ko:K07125	ctcf:CTRC69_01690
ko:K12132	ctcf:CTRC69_01565
ko:K20265	ctcf:CTRC69_01130
ko:K20074	ctcf:CTRC69_01350
ko:K11749	ctcf:CTRC69_00385
ko:K22099	ctcf:CTRC69_03240
ko:K00526	ctcf:CTRC69_04440
ko:K02335	ctcf:CTRC69_02625
ko:K03553	ctcf:CTRC69_03460
ko:K02316	ctcf:CTRC69_04235
ko:K01520	ctcf:CTRC69_01525
ko:K02314	ctcf:CTRC69_02655
ko:K00287	ctcf:CTRC69_03245
ko:K02032	ctcf:CTRC69_03675
ko:K00525	ctcf:CTRC69_04435
ko:K02050	ctcf:CTRC69_04590
ko:K02051	ctcf:CTRC69_04590
ko:K01534	ctcf:CTRC69_03880
ko:K16239	ctcf:CTRC69_00445
