ko:K03602	abaa:IX88_08195
ko:K02687	abaa:IX88_13470
ko:K03557	abaa:IX88_13480
ko:K00602	abaa:IX88_13485
ko:K01945	abaa:IX88_13490
ko:K02073	abaa:IX88_13495
ko:K02071	abaa:IX88_13500
ko:K02072	abaa:IX88_13505
ko:K01069	abaa:IX88_13510
ko:K11103	abaa:IX88_13520
ko:K01779	abaa:IX88_13550
ko:K00574	abaa:IX88_13580
ko:K00574	abaa:IX88_13590
ko:K09701	abaa:IX88_13595
ko:K03098	abaa:IX88_13610
ko:K07644	abaa:IX88_13615
ko:K07665	abaa:IX88_13620
ko:K07127	abaa:IX88_13630
ko:K09857	abaa:IX88_13635
ko:K06192	abaa:IX88_13640
ko:K03808	abaa:IX88_13645
ko:K03808	abaa:IX88_13650
ko:K03762	abaa:IX88_13675
ko:K07347	abaa:IX88_13690
ko:K07346	abaa:IX88_13695
ko:K03786	abaa:IX88_12275
ko:K02160	abaa:IX88_12280
ko:K01961	abaa:IX88_12285
ko:K05820	abaa:IX88_12295
ko:K06923	abaa:IX88_13730
ko:K03312	abaa:IX88_13735
ko:K03821	abaa:IX88_13740
ko:K11735	abaa:IX88_13795
ko:K00140	abaa:IX88_13800
ko:K00822	abaa:IX88_13805
ko:K06923	abaa:IX88_13880
ko:K01409	abaa:IX88_13890
ko:K02970	abaa:IX88_13895
ko:K09117	abaa:IX88_13900
ko:K00090	abaa:IX88_13910
ko:K00764	abaa:IX88_13925
ko:K03558	abaa:IX88_13930
ko:K00254	abaa:IX88_13935
ko:K02462	abaa:IX88_13940
ko:K02461	abaa:IX88_13945
ko:K18697	abaa:IX88_01600
ko:K11755	abaa:IX88_04035
ko:K03688	abaa:IX88_04045
ko:K03690	abaa:IX88_04050
ko:K03183	abaa:IX88_04055
ko:K03583	abaa:IX88_04075
ko:K03582	abaa:IX88_04080
ko:K03581	abaa:IX88_04085
ko:K02956	abaa:IX88_04095
ko:K00962	abaa:IX88_04100
ko:K05516	abaa:IX88_04115
ko:K04083	abaa:IX88_04125
ko:K11747	abaa:IX88_04130
ko:K04066	abaa:IX88_04135
ko:K02455	abaa:IX88_04140
ko:K02456	abaa:IX88_04145
ko:K06878	abaa:IX88_04155
ko:K03820	abaa:IX88_04160
ko:K06189	abaa:IX88_04165
ko:K04085	abaa:IX88_04170
ko:K00311	abaa:IX88_04180
ko:K09986	abaa:IX88_04185
ko:K01776	abaa:IX88_04190
ko:K01772	abaa:IX88_04200
ko:K09862	abaa:IX88_04210
ko:K07007	abaa:IX88_04220
ko:K06199	abaa:IX88_04230
ko:K02909	abaa:IX88_04240
ko:K03327	abaa:IX88_04260
ko:K09936	abaa:IX88_04265
ko:K13776	abaa:IX88_04295
ko:K08300	abaa:IX88_04300
ko:K06179	abaa:IX88_04305
ko:K01091	abaa:IX88_04310
ko:K14170	abaa:IX88_14380
ko:K07017	abaa:IX88_14385
ko:K11103	abaa:IX88_14395
ko:K09916	abaa:IX88_14405
ko:K00858	abaa:IX88_14410
ko:K05365	abaa:IX88_14415
ko:K03574	abaa:IX88_14425
ko:K07645	abaa:IX88_14435
ko:K02454	abaa:IX88_14450
ko:K00528	abaa:IX88_14465
ko:K08303	abaa:IX88_14480
ko:K00600	abaa:IX88_14520
ko:K10857	abaa:IX88_14530
ko:K01990	abaa:IX88_14545
ko:K01992	abaa:IX88_14550
ko:K06879	abaa:IX88_14555
ko:K05837	abaa:IX88_14565
ko:K08305	abaa:IX88_14570
ko:K03642	abaa:IX88_14575
ko:K02357	abaa:IX88_14605
ko:K02967	abaa:IX88_14610
ko:K01265	abaa:IX88_14615
ko:K02575	abaa:IX88_14625
ko:K00322	abaa:IX88_14640
ko:K03644	abaa:IX88_14645
ko:K06445	abaa:IX88_14650
ko:K01607	abaa:IX88_14655
ko:K01251	abaa:IX88_14665
ko:K00799	abaa:IX88_04320
ko:K05817	abaa:IX88_04330
ko:K03782	abaa:IX88_04340
ko:K08484	abaa:IX88_04345
ko:K08311	abaa:IX88_04350
ko:K01703	abaa:IX88_04370
ko:K01704	abaa:IX88_04375
ko:K00052	abaa:IX88_04385
ko:K02518	abaa:IX88_04400
ko:K06173	abaa:IX88_04410
ko:K01424	abaa:IX88_04415
ko:K00133	abaa:IX88_04430
ko:K11102	abaa:IX88_04440
ko:K02517	abaa:IX88_04450
ko:K15738	abaa:IX88_04465
ko:K03745	abaa:IX88_04470
ko:K03168	abaa:IX88_04490
ko:K03657	abaa:IX88_04505
ko:K03455	abaa:IX88_04530
ko:K02913	abaa:IX88_04535
ko:K02902	abaa:IX88_04540
ko:K00154	abaa:IX88_04545
ko:K01433	abaa:IX88_04555
ko:K03832	abaa:IX88_04560
ko:K03561	abaa:IX88_04565
ko:K03559	abaa:IX88_04570
ko:K07304	abaa:IX88_04575
ko:K00297	abaa:IX88_14670
ko:K09761	abaa:IX88_14675
ko:K00029	abaa:IX88_14685
ko:K00974	abaa:IX88_14690
ko:K04691	abaa:IX88_14695
ko:K04564	abaa:IX88_14705
ko:K03179	abaa:IX88_14740
ko:K03181	abaa:IX88_14745
ko:K01915	abaa:IX88_14750
ko:K03305	abaa:IX88_14755
ko:K01262	abaa:IX88_14760
ko:K09768	abaa:IX88_16100
ko:K00831	abaa:IX88_16110
ko:K01993	abaa:IX88_16120
ko:K01992	abaa:IX88_16125
ko:K02469	abaa:IX88_16155
ko:K03522	abaa:IX88_16160
ko:K03521	abaa:IX88_16165
ko:K03733	abaa:IX88_16170
ko:K01778	abaa:IX88_16180
ko:K01586	abaa:IX88_16185
ko:K11737	abaa:IX88_16195
ko:K04485	abaa:IX88_16200
ko:K04568	abaa:IX88_16210
ko:K03473	abaa:IX88_16215
ko:K02379	abaa:IX88_16225
ko:K00865	abaa:IX88_16235
ko:K16137	abaa:IX88_16240
ko:K07124	abaa:IX88_16245
ko:K07044	abaa:IX88_16260
ko:K13292	abaa:IX88_04605
ko:K07093	abaa:IX88_04615
ko:K07093	abaa:IX88_04620
ko:K03118	abaa:IX88_04625
ko:K03117	abaa:IX88_04630
ko:K03116	abaa:IX88_04635
ko:K07088	abaa:IX88_04640
ko:K02428	abaa:IX88_04645
ko:K00641	abaa:IX88_04660
ko:K01649	abaa:IX88_04665
ko:K16090	abaa:IX88_04675
ko:K03545	abaa:IX88_04680
ko:K01358	abaa:IX88_04685
ko:K03544	abaa:IX88_04690
ko:K01676	abaa:IX88_04705
ko:K13788	abaa:IX88_04710
ko:K00925	abaa:IX88_04715
ko:K01690	abaa:IX88_04725
ko:K01625	abaa:IX88_04730
ko:K03299	abaa:IX88_04735
ko:K00851	abaa:IX88_04740
ko:K00131	abaa:IX88_04745
ko:K00147	abaa:IX88_04750
ko:K01207	abaa:IX88_04765
ko:K03797	abaa:IX88_04770
ko:K00940	abaa:IX88_04790
ko:K06941	abaa:IX88_04795
ko:K02656	abaa:IX88_04800
ko:K01892	abaa:IX88_04815
ko:K17713	abaa:IX88_04825
ko:K03977	abaa:IX88_04830
ko:K06133	abaa:IX88_04835
ko:K03071	abaa:IX88_04840
ko:K06949	abaa:IX88_04855
ko:K13288	abaa:IX88_04860
ko:K00208	abaa:IX88_04870
ko:K05685	abaa:IX88_04880
ko:K13888	abaa:IX88_04885
ko:K02340	abaa:IX88_04890
ko:K03643	abaa:IX88_04895
ko:K01658	abaa:IX88_15080
ko:K00766	abaa:IX88_15095
ko:K01609	abaa:IX88_15100
ko:K07402	abaa:IX88_15110
ko:K13482	abaa:IX88_15115
ko:K13481	abaa:IX88_15120
ko:K01495	abaa:IX88_15125
ko:K01599	abaa:IX88_15150
ko:K02361	abaa:IX88_15160
ko:K01590	abaa:IX88_15190
ko:K01252	abaa:IX88_15195
ko:K02363	abaa:IX88_15200
ko:K03897	abaa:IX88_15210
ko:K02014	abaa:IX88_15215
ko:K02016	abaa:IX88_15220
ko:K02013	abaa:IX88_15225
ko:K02015	abaa:IX88_15230
ko:K02015	abaa:IX88_15235
ko:K04760	abaa:IX88_16420
ko:K14058	abaa:IX88_16440
ko:K03799	abaa:IX88_16450
ko:K01126	abaa:IX88_16465
ko:K00901	abaa:IX88_16475
ko:K04077	abaa:IX88_16480
ko:K04078	abaa:IX88_16485
ko:K01596	abaa:IX88_16500
ko:K00111	abaa:IX88_16505
ko:K00864	abaa:IX88_16510
ko:K01491	abaa:IX88_16530
ko:K01113	abaa:IX88_16550
ko:K00796	abaa:IX88_16570
ko:K03798	abaa:IX88_16575
ko:K02427	abaa:IX88_16580
ko:K07574	abaa:IX88_16585
ko:K01956	abaa:IX88_16600
ko:K01955	abaa:IX88_16605
ko:K03624	abaa:IX88_16610
ko:K07443	abaa:IX88_16625
ko:K03316	abaa:IX88_16655
ko:K07054	abaa:IX88_16660
ko:K09781	abaa:IX88_16665
ko:K01867	abaa:IX88_16670
ko:K01902	abaa:IX88_16675
ko:K01903	abaa:IX88_16680
ko:K00382	abaa:IX88_16685
ko:K00798	abaa:IX88_17565
ko:K01126	abaa:IX88_17570
ko:K08997	abaa:IX88_17585
ko:K07664	abaa:IX88_17590
ko:K07642	abaa:IX88_17595
ko:K02014	abaa:IX88_17635
ko:K01876	abaa:IX88_17645
ko:K07276	abaa:IX88_17695
ko:K00826	abaa:IX88_17700
ko:K00982	abaa:IX88_17705
ko:K07568	abaa:IX88_17730
ko:K03744	abaa:IX88_17740
ko:K00773	abaa:IX88_17745
ko:K03210	abaa:IX88_17750
ko:K03072	abaa:IX88_17755
ko:K03074	abaa:IX88_17760
ko:K13038	abaa:IX88_17765
ko:K03630	abaa:IX88_17770
ko:K07053	abaa:IX88_17780
ko:K06190	abaa:IX88_17785
ko:K09780	abaa:IX88_17790
ko:K15461	abaa:IX88_17800
ko:K09767	abaa:IX88_17810
ko:K10806	abaa:IX88_17820
ko:K03672	abaa:IX88_17825
ko:K00382	abaa:IX88_17845
ko:K01869	abaa:IX88_04900
ko:K01652	abaa:IX88_04910
ko:K01653	abaa:IX88_04915
ko:K00053	abaa:IX88_04920
ko:K02837	abaa:IX88_04955
ko:K03424	abaa:IX88_04970
ko:K01681	abaa:IX88_04975
ko:K05539	abaa:IX88_05000
ko:K00324	abaa:IX88_05040
ko:K00324	abaa:IX88_05045
ko:K00325	abaa:IX88_05050
ko:K09710	abaa:IX88_05060
ko:K07678	abaa:IX88_05080
ko:K12339	abaa:IX88_05085
ko:K07501	abaa:IX88_05090
ko:K03215	abaa:IX88_05095
ko:K00951	abaa:IX88_05100
ko:K02237	abaa:IX88_05115
ko:K00970	abaa:IX88_05120
ko:K00950	abaa:IX88_05125
ko:K00606	abaa:IX88_05130
ko:K01918	abaa:IX88_05135
ko:K06958	abaa:IX88_05140
ko:K08485	abaa:IX88_05145
ko:K09889	abaa:IX88_05150
ko:K00666	abaa:IX88_05155
ko:K01868	abaa:IX88_05160
ko:K02520	abaa:IX88_05165
ko:K09748	abaa:IX88_03975
ko:K02600	abaa:IX88_03980
ko:K02519	abaa:IX88_03985
ko:K02834	abaa:IX88_03990
ko:K05564	abaa:IX88_03995
ko:K05563	abaa:IX88_04000
ko:K05562	abaa:IX88_04005
ko:K05561	abaa:IX88_04010
ko:K02916	abaa:IX88_05185
ko:K06911	abaa:IX88_15265
ko:K06200	abaa:IX88_15300
ko:K02356	abaa:IX88_15305
ko:K02909	abaa:IX88_15325
ko:K14347	abaa:IX88_15330
ko:K01759	abaa:IX88_15335
ko:K08218	abaa:IX88_15340
ko:K06194	abaa:IX88_15355
ko:K03787	abaa:IX88_15360
ko:K07258	abaa:IX88_15375
ko:K00566	abaa:IX88_15390
ko:K07153	abaa:IX88_15395
ko:K01756	abaa:IX88_15400
ko:K08984	abaa:IX88_15405
ko:K04774	abaa:IX88_15415
ko:K02036	abaa:IX88_15420
ko:K02038	abaa:IX88_15425
ko:K02037	abaa:IX88_15430
ko:K02040	abaa:IX88_15435
ko:K11734	abaa:IX88_15440
ko:K13745	abaa:IX88_15460
ko:K00836	abaa:IX88_15465
ko:K00508	abaa:IX88_15485
ko:K03580	abaa:IX88_15505
ko:K06177	abaa:IX88_15510
ko:K01845	abaa:IX88_15520
ko:K00788	abaa:IX88_15525
ko:K00658	abaa:IX88_16690
ko:K00164	abaa:IX88_16695
ko:K00240	abaa:IX88_16700
ko:K00239	abaa:IX88_16705
ko:K00242	abaa:IX88_16710
ko:K00241	abaa:IX88_16715
ko:K01647	abaa:IX88_16725
ko:K06938	abaa:IX88_16730
ko:K07146	abaa:IX88_16735
ko:K07039	abaa:IX88_16740
ko:K03086	abaa:IX88_16750
ko:K09158	abaa:IX88_16755
ko:K03801	abaa:IX88_16760
ko:K03216	abaa:IX88_16790
ko:K02302	abaa:IX88_16795
ko:K01875	abaa:IX88_16800
ko:K03634	abaa:IX88_16810
ko:K02899	abaa:IX88_16815
ko:K02888	abaa:IX88_16820
ko:K02523	abaa:IX88_16830
ko:K05560	abaa:IX88_04015
ko:K05559	abaa:IX88_04020
ko:K03585	abaa:IX88_16845
ko:K18138	abaa:IX88_16850
ko:K18139	abaa:IX88_16855
ko:K01873	abaa:IX88_16885
ko:K07088	abaa:IX88_16900
ko:K03320	abaa:IX88_16910
ko:K07645	abaa:IX88_16920
ko:K07666	abaa:IX88_16925
ko:K03760	abaa:IX88_16930
ko:K07001	abaa:IX88_16955
ko:K07340	abaa:IX88_16960
ko:K00795	abaa:IX88_16975
ko:K11734	abaa:IX88_16985
ko:K07098	abaa:IX88_17890
ko:K03665	abaa:IX88_17905
ko:K01525	abaa:IX88_17925
ko:K02528	abaa:IX88_17930
ko:K00097	abaa:IX88_17935
ko:K02871	abaa:IX88_17940
ko:K02996	abaa:IX88_17945
ko:K03599	abaa:IX88_17950
ko:K03600	abaa:IX88_17955
ko:K13777	abaa:IX88_17965
ko:K13779	abaa:IX88_17970
ko:K11731	abaa:IX88_17975
ko:K13778	abaa:IX88_17980
ko:K13774	abaa:IX88_17985
ko:K17103	abaa:IX88_18045
ko:K07115	abaa:IX88_18050
ko:K07394	abaa:IX88_18055
ko:K00024	abaa:IX88_18070
ko:K01166	abaa:IX88_18075
ko:K08309	abaa:IX88_18080
ko:K06168	abaa:IX88_18085
ko:K07042	abaa:IX88_18095
ko:K03832	abaa:IX88_18100
ko:K03816	abaa:IX88_18115
ko:K03809	abaa:IX88_18120
ko:K07058	abaa:IX88_18125
ko:K02887	abaa:IX88_05190
ko:K01889	abaa:IX88_05210
ko:K01890	abaa:IX88_05215
ko:K04764	abaa:IX88_05220
ko:K03628	abaa:IX88_05230
ko:K03671	abaa:IX88_05235
ko:K01524	abaa:IX88_05240
ko:K01962	abaa:IX88_05245
ko:K04075	abaa:IX88_05250
ko:K00286	abaa:IX88_05255
ko:K02221	abaa:IX88_05260
ko:K02454	abaa:IX88_05285
ko:K04754	abaa:IX88_05320
ko:K03092	abaa:IX88_05350
ko:K05808	abaa:IX88_05355
ko:K00790	abaa:IX88_05365
ko:K00765	abaa:IX88_05370
ko:K00013	abaa:IX88_05375
ko:K00817	abaa:IX88_05380
ko:K01665	abaa:IX88_05385
ko:K15984	abaa:IX88_05455
ko:K01070	abaa:IX88_05465
ko:K09956	abaa:IX88_05470
ko:K01783	abaa:IX88_05475
ko:K07263	abaa:IX88_15550
ko:K06956	abaa:IX88_15560
ko:K00031	abaa:IX88_15590
ko:K06181	abaa:IX88_15595
ko:K00031	abaa:IX88_15600
ko:K07258	abaa:IX88_15610
ko:K03885	abaa:IX88_15615
ko:K03775	abaa:IX88_15620
ko:K01669	abaa:IX88_15625
ko:K01791	abaa:IX88_15655
ko:K00459	abaa:IX88_15670
ko:K05540	abaa:IX88_15675
ko:K00931	abaa:IX88_15690
ko:K03979	abaa:IX88_15695
ko:K00134	abaa:IX88_15710
ko:K05786	abaa:IX88_15715
ko:K03098	abaa:IX88_15720
ko:K03702	abaa:IX88_15725
ko:K00812	abaa:IX88_15745
ko:K06169	abaa:IX88_15775
ko:K03474	abaa:IX88_15780
ko:K03584	abaa:IX88_15785
ko:K03685	abaa:IX88_15800
ko:K03100	abaa:IX88_15810
ko:K03596	abaa:IX88_15815
ko:K05523	abaa:IX88_16995
ko:K06153	abaa:IX88_17010
ko:K02616	abaa:IX88_17015
ko:K00355	abaa:IX88_17030
ko:K06076	abaa:IX88_17035
ko:K02203	abaa:IX88_17040
ko:K00390	abaa:IX88_17045
ko:K08301	abaa:IX88_17060
ko:K06287	abaa:IX88_17065
ko:K03571	abaa:IX88_17070
ko:K03570	abaa:IX88_17075
ko:K03569	abaa:IX88_17080
ko:K02435	abaa:IX88_17085
ko:K02433	abaa:IX88_17090
ko:K02434	abaa:IX88_17095
ko:K05520	abaa:IX88_17100
ko:K17938	abaa:IX88_17120
ko:K01754	abaa:IX88_17125
ko:K07001	abaa:IX88_17130
ko:K03310	abaa:IX88_17135
ko:K07552	abaa:IX88_17155
ko:K00380	abaa:IX88_17170
ko:K09790	abaa:IX88_17215
ko:K09977	abaa:IX88_17220
ko:K01439	abaa:IX88_17230
ko:K02660	abaa:IX88_17245
ko:K02659	abaa:IX88_17250
ko:K02658	abaa:IX88_17255
ko:K02657	abaa:IX88_17260
ko:K07078	abaa:IX88_18150
ko:K12573	abaa:IX88_18190
ko:K01414	abaa:IX88_18195
ko:K07070	abaa:IX88_18200
ko:K09159	abaa:IX88_18235
ko:K02879	abaa:IX88_18250
ko:K03040	abaa:IX88_18255
ko:K02986	abaa:IX88_18260
ko:K02948	abaa:IX88_18265
ko:K02952	abaa:IX88_18270
ko:K02919	abaa:IX88_18275
ko:K03076	abaa:IX88_18280
ko:K02876	abaa:IX88_18285
ko:K02907	abaa:IX88_18290
ko:K02933	abaa:IX88_18305
ko:K07233	abaa:IX88_05495
ko:K00620	abaa:IX88_05515
ko:K03517	abaa:IX88_05520
ko:K01488	abaa:IX88_05550
ko:K00252	abaa:IX88_05565
ko:K08196	abaa:IX88_05570
ko:K13795	abaa:IX88_05590
ko:K13796	abaa:IX88_05595
ko:K13794	abaa:IX88_05600
ko:K03288	abaa:IX88_05610
ko:K13794	abaa:IX88_05615
ko:K00549	abaa:IX88_05635
ko:K09024	abaa:IX88_05640
ko:K07661	abaa:IX88_05720
ko:K07639	abaa:IX88_05725
ko:K00330	abaa:IX88_05740
ko:K00331	abaa:IX88_05745
ko:K13378	abaa:IX88_05750
ko:K00334	abaa:IX88_05755
ko:K00337	abaa:IX88_05770
ko:K02470	abaa:IX88_02185
ko:K03629	abaa:IX88_02190
ko:K02338	abaa:IX88_02195
ko:K02313	abaa:IX88_02200
ko:K02914	abaa:IX88_02205
ko:K03536	abaa:IX88_02210
ko:K08998	abaa:IX88_02215
ko:K03217	abaa:IX88_02220
ko:K03650	abaa:IX88_02225
ko:K03981	abaa:IX88_02240
ko:K00760	abaa:IX88_02250
ko:K01487	abaa:IX88_02260
ko:K05794	abaa:IX88_02280
ko:K02558	abaa:IX88_02295
ko:K09922	abaa:IX88_02300
ko:K01588	abaa:IX88_02305
ko:K01589	abaa:IX88_02310
ko:K04043	abaa:IX88_02335
ko:K03687	abaa:IX88_02340
ko:K03767	abaa:IX88_02370
ko:K03774	abaa:IX88_02410
ko:K03101	abaa:IX88_02415
ko:K01870	abaa:IX88_02420
ko:K11753	abaa:IX88_02425
ko:K01243	abaa:IX88_02435
ko:K15555	abaa:IX88_02445
ko:K15554	abaa:IX88_02450
ko:K04091	abaa:IX88_02455
ko:K15553	abaa:IX88_02460
ko:K15553	abaa:IX88_02465
ko:K03046	abaa:IX88_03670
ko:K07084	abaa:IX88_03770
ko:K07275	abaa:IX88_03775
ko:K04079	abaa:IX88_03785
ko:K07002	abaa:IX88_03815
ko:K01825	abaa:IX88_03830
ko:K03703	abaa:IX88_03845
ko:K00995	abaa:IX88_03855
ko:K10778	abaa:IX88_03860
ko:K07447	abaa:IX88_03890
ko:K07735	abaa:IX88_03895
ko:K03631	abaa:IX88_03900
ko:K09913	abaa:IX88_03910
ko:K03218	abaa:IX88_03915
ko:K00859	abaa:IX88_03925
ko:K02654	abaa:IX88_03930
ko:K02653	abaa:IX88_03935
ko:K02652	abaa:IX88_03940
ko:K01803	abaa:IX88_03945
ko:K03075	abaa:IX88_03950
ko:K14682	abaa:IX88_02470
ko:K00568	abaa:IX88_02500
ko:K03673	abaa:IX88_02505
ko:K00989	abaa:IX88_02530
ko:K01114	abaa:IX88_02540
ko:K00767	abaa:IX88_02550
ko:K03806	abaa:IX88_02555
ko:K03980	abaa:IX88_02560
ko:K03773	abaa:IX88_02565
ko:K03772	abaa:IX88_02570
ko:K16692	abaa:IX88_02575
ko:K01104	abaa:IX88_02580
ko:K01991	abaa:IX88_02585
ko:K02474	abaa:IX88_02590
ko:K00963	abaa:IX88_02630
ko:K00012	abaa:IX88_02635
ko:K01810	abaa:IX88_02640
ko:K01784	abaa:IX88_02645
ko:K01840	abaa:IX88_02655
ko:K00427	abaa:IX88_02660
ko:K14348	abaa:IX88_02665
ko:K00101	abaa:IX88_02670
ko:K03777	abaa:IX88_02675
ko:K00832	abaa:IX88_02680
ko:K03417	abaa:IX88_02690
ko:K01659	abaa:IX88_02695
ko:K06177	abaa:IX88_02755
ko:K02014	abaa:IX88_02770
ko:K03719	abaa:IX88_02780
ko:K00285	abaa:IX88_02785
ko:K01775	abaa:IX88_02790
ko:K11737	abaa:IX88_02800
ko:K11737	abaa:IX88_02805
ko:K00140	abaa:IX88_02815
ko:K01895	abaa:IX88_02825
ko:K01692	abaa:IX88_02835
ko:K07782	abaa:IX88_02860
ko:K07003	abaa:IX88_02885
ko:K06133	abaa:IX88_02900
ko:K05527	abaa:IX88_02915
ko:K03975	abaa:IX88_02940
ko:K15977	abaa:IX88_02945
ko:K01951	abaa:IX88_02955
ko:K06911	abaa:IX88_02975
ko:K07397	abaa:IX88_02980
ko:K00799	abaa:IX88_02985
ko:K01887	abaa:IX88_02995
ko:K00027	abaa:IX88_03000
ko:K07223	abaa:IX88_03005
ko:K05834	abaa:IX88_03010
ko:K09816	abaa:IX88_03015
ko:K09817	abaa:IX88_03020
ko:K09823	abaa:IX88_03025
ko:K09815	abaa:IX88_03030
ko:K02116	abaa:IX88_03035
ko:K02108	abaa:IX88_03040
ko:K02110	abaa:IX88_03045
ko:K02109	abaa:IX88_03050
ko:K07107	abaa:IX88_15820
ko:K00278	abaa:IX88_15830
ko:K00943	abaa:IX88_15840
ko:K07082	abaa:IX88_15845
ko:K02619	abaa:IX88_15850
ko:K02048	abaa:IX88_15855
ko:K07002	abaa:IX88_15860
ko:K02046	abaa:IX88_15865
ko:K02047	abaa:IX88_15870
ko:K02045	abaa:IX88_15875
ko:K13635	abaa:IX88_15880
ko:K00674	abaa:IX88_15890
ko:K10026	abaa:IX88_15895
ko:K06920	abaa:IX88_15900
ko:K03564	abaa:IX88_15915
ko:K07552	abaa:IX88_15945
ko:K01952	abaa:IX88_15950
ko:K01129	abaa:IX88_15955
ko:K03550	abaa:IX88_15960
ko:K03551	abaa:IX88_15965
ko:K07107	abaa:IX88_15975
ko:K03562	abaa:IX88_15980
ko:K03560	abaa:IX88_15985
ko:K03641	abaa:IX88_15995
ko:K03640	abaa:IX88_16000
ko:K03841	abaa:IX88_16010
ko:K03437	abaa:IX88_16015
