ko:K19743	apx:APA26_08140
ko:K00077	apx:APA26_12730
ko:K07402	apx:APA26_12880
ko:K13482	apx:APA26_12890
ko:K13481	apx:APA26_12900
ko:K07127	apx:APA26_12920
ko:K01129	apx:APA26_21190
ko:K01142	apx:APA26_21210
ko:K06136	apx:APA26_21260
ko:K06137	apx:APA26_21270
ko:K06138	apx:APA26_21280
ko:K06139	apx:APA26_21290
ko:K01358	apx:APA26_21310
ko:K14261	apx:APA26_21330
ko:K00003	apx:APA26_21340
ko:K07462	apx:APA26_21360
ko:K03089	apx:APA26_21370
ko:K06180	apx:APA26_21380
ko:K02015	apx:APA26_21390
ko:K02013	apx:APA26_21400
ko:K00826	apx:APA26_21420
ko:K07152	apx:APA26_21440
ko:K03762	apx:APA26_21460
ko:K00426	apx:APA26_21490
ko:K00425	apx:APA26_21500
ko:K07223	apx:APA26_21510
ko:K11738	apx:APA26_21530
ko:K05358	apx:APA26_21550
ko:K00822	apx:APA26_21580
ko:K01464	apx:APA26_21680
ko:K01153	apx:APA26_43180
ko:K01154	apx:APA26_43200
ko:K03427	apx:APA26_43210
ko:K07146	apx:APA26_05200
ko:K03811	apx:APA26_05480
ko:K01433	apx:APA26_05510
ko:K13771	apx:APA26_05530
ko:K06199	apx:APA26_05550
ko:K10806	apx:APA26_05590
ko:K03521	apx:APA26_05750
ko:K09024	apx:APA26_14130
ko:K01154	apx:APA26_14250
ko:K07043	apx:APA26_14290
ko:K03701	apx:APA26_14430
ko:K03675	apx:APA26_14460
ko:K02188	apx:APA26_14480
ko:K05936	apx:APA26_14490
ko:K02189	apx:APA26_14500
ko:K05895	apx:APA26_14520
ko:K03394	apx:APA26_14540
ko:K06042	apx:APA26_14550
ko:K02229	apx:APA26_14560
ko:K08137	apx:APA26_22940
ko:K03303	apx:APA26_22960
ko:K03274	apx:APA26_22980
ko:K13292	apx:APA26_22990
ko:K05810	apx:APA26_23010
ko:K09771	apx:APA26_23060
ko:K00817	apx:APA26_23090
ko:K00615	apx:APA26_23110
ko:K13810	apx:APA26_23120
ko:K01057	apx:APA26_23150
ko:K01807	apx:APA26_23160
ko:K02016	apx:APA26_23200
ko:K03281	apx:APA26_23210
ko:K06997	apx:APA26_23230
ko:K03549	apx:APA26_23240
ko:K00919	apx:APA26_04030
ko:K00948	apx:APA26_04120
ko:K02016	apx:APA26_04240
ko:K02015	apx:APA26_04250
ko:K02013	apx:APA26_04260
ko:K07106	apx:APA26_04290
ko:K01669	apx:APA26_04380
ko:K09758	apx:APA26_04430
ko:K04047	apx:APA26_04480
ko:K00057	apx:APA26_04490
ko:K15229	apx:APA26_04540
ko:K03832	apx:APA26_13020
ko:K01993	apx:APA26_13030
ko:K13926	apx:APA26_13040
ko:K03313	apx:APA26_13140
ko:K10680	apx:APA26_13160
ko:K03781	apx:APA26_13180
ko:K15034	apx:APA26_13190
ko:K13688	apx:APA26_13220
ko:K00941	apx:APA26_13250
ko:K02471	apx:APA26_13300
ko:K04046	apx:APA26_13330
ko:K07290	apx:APA26_13400
ko:K03832	apx:APA26_13490
ko:K01817	apx:APA26_21730
ko:K01591	apx:APA26_21740
ko:K03071	apx:APA26_21760
ko:K00097	apx:APA26_21780
ko:K03474	apx:APA26_21790
ko:K09001	apx:APA26_21810
ko:K03919	apx:APA26_21860
ko:K05916	apx:APA26_21890
ko:K02072	apx:APA26_21900
ko:K02071	apx:APA26_21910
ko:K02073	apx:APA26_21920
ko:K02302	apx:APA26_21940
ko:K00077	apx:APA26_22010
ko:K02053	apx:APA26_22140
ko:K00137	apx:APA26_22210
ko:K07341	apx:APA26_43770
ko:K07726	apx:APA26_43930
ko:K03522	apx:APA26_05800
ko:K02429	apx:APA26_05830
ko:K07267	apx:APA26_05850
ko:K03306	apx:APA26_05920
ko:K00627	apx:APA26_05960
ko:K13993	apx:APA26_05970
ko:K03885	apx:APA26_05990
ko:K07137	apx:APA26_06050
ko:K00873	apx:APA26_06160
ko:K01053	apx:APA26_06170
ko:K06207	apx:APA26_06200
ko:K00285	apx:APA26_06230
ko:K00384	apx:APA26_06240
ko:K00031	apx:APA26_06250
ko:K04751	apx:APA26_06300
ko:K01915	apx:APA26_06310
ko:K00117	apx:APA26_06330
ko:K00117	apx:APA26_14620
ko:K00925	apx:APA26_14700
ko:K03737	apx:APA26_14730
ko:K02379	apx:APA26_14790
ko:K03752	apx:APA26_14800
ko:K03753	apx:APA26_14810
ko:K03750	apx:APA26_14820
ko:K02380	apx:APA26_14830
ko:K00123	apx:APA26_14860
ko:K01524	apx:APA26_14880
ko:K00847	apx:APA26_14900
ko:K03602	apx:APA26_14920
ko:K00795	apx:APA26_14930
ko:K01662	apx:APA26_14940
ko:K06442	apx:APA26_14950
ko:K06941	apx:APA26_14970
ko:K01940	apx:APA26_14980
ko:K03773	apx:APA26_14990
ko:K01867	apx:APA26_15010
ko:K03500	apx:APA26_15070
ko:K02034	apx:APA26_15100
ko:K03189	apx:APA26_23410
ko:K03188	apx:APA26_23420
ko:K03187	apx:APA26_23430
ko:K01428	apx:APA26_23440
ko:K01429	apx:APA26_23450
ko:K01430	apx:APA26_23460
ko:K03190	apx:APA26_23470
ko:K07241	apx:APA26_23480
ko:K03594	apx:APA26_23530
ko:K15228	apx:APA26_04570
ko:K07248	apx:APA26_04640
ko:K07303	apx:APA26_04660
ko:K07302	apx:APA26_04670
ko:K03561	apx:APA26_13510
ko:K03088	apx:APA26_13610
ko:K03088	apx:APA26_13660
ko:K15553	apx:APA26_13670
ko:K15554	apx:APA26_13690
ko:K03119	apx:APA26_13710
ko:K00140	apx:APA26_13920
ko:K07722	apx:APA26_13960
ko:K09967	apx:APA26_13970
ko:K09967	apx:APA26_13980
ko:K03561	apx:APA26_22290
ko:K03832	apx:APA26_22310
ko:K11103	apx:APA26_22340
ko:K02231	apx:APA26_22420
ko:K00768	apx:APA26_22430
ko:K02233	apx:APA26_22440
ko:K02225	apx:APA26_22460
ko:K02227	apx:APA26_22450
ko:K04719	apx:APA26_22470
ko:K02232	apx:APA26_22480
ko:K02224	apx:APA26_22510
ko:K02230	apx:APA26_22520
ko:K02234	apx:APA26_22530
ko:K09024	apx:APA26_22600
ko:K09823	apx:APA26_22640
ko:K08963	apx:APA26_22670
ko:K01738	apx:APA26_22700
ko:K01951	apx:APA26_22710
ko:K01246	apx:APA26_23560
ko:K07090	apx:APA26_23600
ko:K06911	apx:APA26_23640
ko:K03543	apx:APA26_23660
ko:K01799	apx:APA26_23730
ko:K15357	apx:APA26_23740
ko:K14974	apx:APA26_23790
ko:K03596	apx:APA26_06360
ko:K00641	apx:APA26_06370
ko:K11927	apx:APA26_06390
ko:K01673	apx:APA26_06410
ko:K00950	apx:APA26_06430
ko:K03060	apx:APA26_06440
ko:K00997	apx:APA26_06460
ko:K03100	apx:APA26_06470
ko:K03685	apx:APA26_06480
ko:K09903	apx:APA26_06500
ko:K02838	apx:APA26_06510
ko:K00806	apx:APA26_06520
ko:K00981	apx:APA26_06530
ko:K00099	apx:APA26_06540
ko:K11749	apx:APA26_06550
ko:K07277	apx:APA26_06560
ko:K02536	apx:APA26_06580
ko:K02372	apx:APA26_06590
ko:K00677	apx:APA26_06600
ko:K02914	apx:APA26_06640
ko:K03536	apx:APA26_06650
ko:K03217	apx:APA26_06660
ko:K03978	apx:APA26_06670
ko:K00930	apx:APA26_06680
ko:K06173	apx:APA26_06720
ko:K00604	apx:APA26_06730
ko:K01462	apx:APA26_06740
ko:K07140	apx:APA26_06790
ko:K06861	apx:APA26_06800
ko:K09774	apx:APA26_06810
ko:K11719	apx:APA26_06820
ko:K06041	apx:APA26_06830
ko:K03684	apx:APA26_06840
ko:K03218	apx:APA26_06850
ko:K00942	apx:APA26_06880
ko:K03272	apx:APA26_06890
ko:K00459	apx:APA26_15140
ko:K09474	apx:APA26_15150
ko:K01169	apx:APA26_15160
ko:K01114	apx:APA26_15180
ko:K15549	apx:APA26_15280
ko:K15547	apx:APA26_15290
ko:K08995	apx:APA26_15320
ko:K00426	apx:APA26_15380
ko:K00425	apx:APA26_15390
ko:K09758	apx:APA26_15490
ko:K13979	apx:APA26_15620
ko:K09958	apx:APA26_15640
ko:K07507	apx:APA26_15670
ko:K08679	apx:APA26_24140
ko:K09005	apx:APA26_24150
ko:K07402	apx:APA26_24180
ko:K07141	apx:APA26_24190
ko:K00281	apx:APA26_24220
ko:K02437	apx:APA26_24230
ko:K00605	apx:APA26_24240
ko:K00797	apx:APA26_24250
ko:K01611	apx:APA26_24260
ko:K00954	apx:APA26_24310
ko:K02469	apx:APA26_24320
ko:K00962	apx:APA26_24350
ko:K02956	apx:APA26_24360
ko:K02066	apx:APA26_24380
ko:K02065	apx:APA26_24390
ko:K06192	apx:APA26_24400
ko:K09857	apx:APA26_24410
ko:K02065	apx:APA26_06950
ko:K02066	apx:APA26_06960
ko:K04485	apx:APA26_06980
ko:K13821	apx:APA26_07050
ko:K01895	apx:APA26_07080
ko:K06968	apx:APA26_07120
ko:K07566	apx:APA26_07190
ko:K01255	apx:APA26_07210
ko:K02339	apx:APA26_07220
ko:K03579	apx:APA26_07250
ko:K04083	apx:APA26_07270
ko:K03565	apx:APA26_07310
ko:K03116	apx:APA26_07330
ko:K08967	apx:APA26_07350
ko:K09880	apx:APA26_07360
ko:K11753	apx:APA26_07370
ko:K01870	apx:APA26_07380
ko:K03101	apx:APA26_07390
ko:K03572	apx:APA26_07410
ko:K00342	apx:APA26_07420
ko:K11939	apx:APA26_07430
ko:K02622	apx:APA26_07440
ko:K01738	apx:APA26_07480
ko:K08169	apx:APA26_15800
ko:K03088	apx:APA26_15880
ko:K11720	apx:APA26_16110
ko:K01091	apx:APA26_16140
ko:K04042	apx:APA26_16150
ko:K00820	apx:APA26_16160
ko:K00432	apx:APA26_16240
ko:K03558	apx:APA26_24510
ko:K00764	apx:APA26_24520
ko:K09857	apx:APA26_24530
ko:K06192	apx:APA26_24540
ko:K03808	apx:APA26_24550
ko:K02109	apx:APA26_24590
ko:K02109	apx:APA26_24600
ko:K02110	apx:APA26_24610
ko:K02108	apx:APA26_24620
ko:K03110	apx:APA26_24640
ko:K01778	apx:APA26_24660
ko:K05592	apx:APA26_24690
ko:K02996	apx:APA26_24720
ko:K02871	apx:APA26_24730
ko:K02039	apx:APA26_24760
ko:K02036	apx:APA26_24770
ko:K02038	apx:APA26_24780
ko:K02037	apx:APA26_24790
ko:K01687	apx:APA26_24800
ko:K09985	apx:APA26_24930
ko:K01676	apx:APA26_24940
ko:K00285	apx:APA26_24980
ko:K01775	apx:APA26_24990
ko:K03797	apx:APA26_07510
ko:K12573	apx:APA26_07520
ko:K03168	apx:APA26_07530
ko:K04096	apx:APA26_07580
ko:K08591	apx:APA26_07590
ko:K01465	apx:APA26_07600
ko:K00609	apx:APA26_07610
ko:K06916	apx:APA26_07650
ko:K00164	apx:APA26_07660
ko:K00658	apx:APA26_07670
ko:K00382	apx:APA26_07680
ko:K01251	apx:APA26_07710
ko:K00655	apx:APA26_07720
ko:K01613	apx:APA26_07830
ko:K01872	apx:APA26_07840
ko:K13829	apx:APA26_07870
ko:K01962	apx:APA26_07900
ko:K04566	apx:APA26_07920
ko:K07115	apx:APA26_07950
ko:K01749	apx:APA26_07970
ko:K03071	apx:APA26_07990
ko:K00428	apx:APA26_08030
ko:K09808	apx:APA26_16260
ko:K01881	apx:APA26_16270
ko:K03525	apx:APA26_16290
ko:K03524	apx:APA26_16300
ko:K00343	apx:APA26_16310
ko:K00341	apx:APA26_16320
ko:K00340	apx:APA26_16330
ko:K00339	apx:APA26_16340
ko:K00338	apx:APA26_16350
ko:K00337	apx:APA26_16360
ko:K00334	apx:APA26_16390
ko:K00333	apx:APA26_16400
ko:K00332	apx:APA26_16410
ko:K00331	apx:APA26_16420
ko:K00330	apx:APA26_16430
ko:K03530	apx:APA26_16460
ko:K01338	apx:APA26_16470
ko:K03544	apx:APA26_16480
ko:K01358	apx:APA26_16490
ko:K03545	apx:APA26_16500
ko:K03215	apx:APA26_16550
ko:K11717	apx:APA26_16590
ko:K09015	apx:APA26_16600
ko:K09013	apx:APA26_16610
ko:K09014	apx:APA26_16620
ko:K01595	apx:APA26_16650
ko:K02355	apx:APA26_16670
ko:K02902	apx:APA26_16680
ko:K00990	apx:APA26_16720
ko:K03555	apx:APA26_16730
ko:K01299	apx:APA26_16750
ko:K01733	apx:APA26_16770
ko:K02834	apx:APA26_25010
ko:K02519	apx:APA26_25020
ko:K07742	apx:APA26_25030
ko:K02600	apx:APA26_25040
ko:K09748	apx:APA26_25050
ko:K01681	apx:APA26_25120
ko:K02194	apx:APA26_25140
ko:K01581	apx:APA26_25160
ko:K07058	apx:APA26_25170
ko:K03642	apx:APA26_25180
ko:K03786	apx:APA26_25190
ko:K02160	apx:APA26_25200
ko:K01961	apx:APA26_25210
ko:K03147	apx:APA26_25230
ko:K07243	apx:APA26_25260
ko:K07230	apx:APA26_25270
ko:K07267	apx:APA26_25280
ko:K07267	apx:APA26_25310
ko:K07447	apx:APA26_25350
ko:K02435	apx:APA26_25360
ko:K02434	apx:APA26_25380
ko:K10773	apx:APA26_25410
ko:K01772	apx:APA26_25420
ko:K03575	apx:APA26_25430
ko:K01869	apx:APA26_25480
ko:K03643	apx:APA26_25490
ko:K02340	apx:APA26_25500
ko:K00228	apx:APA26_08060
ko:K00413	apx:APA26_08080
ko:K10679	apx:APA26_08130
ko:K00154	apx:APA26_08150
ko:K00606	apx:APA26_08560
ko:K04775	apx:APA26_08600
ko:K01586	apx:APA26_08630
ko:K03592	apx:APA26_16790
ko:K01920	apx:APA26_16860
ko:K00384	apx:APA26_16900
ko:K05788	apx:APA26_16930
ko:K03980	apx:APA26_16950
ko:K04764	apx:APA26_16990
ko:K00648	apx:APA26_17000
ko:K03621	apx:APA26_17010
ko:K02911	apx:APA26_17020
ko:K07638	apx:APA26_17050
ko:K07659	apx:APA26_17060
ko:K01462	apx:APA26_17090
ko:K02970	apx:APA26_17100
ko:K00052	apx:APA26_17110
ko:K01704	apx:APA26_17120
ko:K01703	apx:APA26_17130
ko:K02884	apx:APA26_17140
ko:K00554	apx:APA26_17150
ko:K02860	apx:APA26_17160
ko:K02959	apx:APA26_17170
ko:K03106	apx:APA26_17180
ko:K06006	apx:APA26_17190
ko:K07289	apx:APA26_17210
ko:K07478	apx:APA26_17230
ko:K03179	apx:APA26_17250
ko:K09761	apx:APA26_17260
ko:K01919	apx:APA26_17270
ko:K08169	apx:APA26_17280
ko:K03522	apx:APA26_25590
ko:K03521	apx:APA26_25600
ko:K00311	apx:APA26_25610
ko:K07275	apx:APA26_25640
ko:K07010	apx:APA26_25690
ko:K06178	apx:APA26_25700
ko:K06204	apx:APA26_25740
ko:K01866	apx:APA26_25860
ko:K03568	apx:APA26_25870
ko:K00973	apx:APA26_25910
ko:K01790	apx:APA26_25920
ko:K00067	apx:APA26_25930
ko:K03466	apx:APA26_25950
ko:K00566	apx:APA26_25990
ko:K04755	apx:APA26_26000
ko:K04487	apx:APA26_26010
ko:K04487	apx:APA26_26020
ko:K07018	apx:APA26_26030
ko:K01883	apx:APA26_26050
ko:K11754	apx:APA26_26070
ko:K01963	apx:APA26_26080
ko:K03671	apx:APA26_26090
ko:K09768	apx:APA26_00030
ko:K01755	apx:APA26_08650
ko:K00014	apx:APA26_08690
ko:K00859	apx:APA26_08700
ko:K01783	apx:APA26_08750
ko:K03500	apx:APA26_08760
ko:K11175	apx:APA26_08770
ko:K01933	apx:APA26_08780
ko:K00937	apx:APA26_08800
ko:K01524	apx:APA26_08810
ko:K08715	apx:APA26_08880
ko:K02199	apx:APA26_08950
ko:K02198	apx:APA26_08960
ko:K02197	apx:APA26_08970
ko:K02195	apx:APA26_08990
ko:K09780	apx:APA26_09000
ko:K00684	apx:APA26_09070
ko:K00982	apx:APA26_09120
ko:K03564	apx:APA26_09130
ko:K09760	apx:APA26_09170
ko:K03977	apx:APA26_17300
ko:K01953	apx:APA26_17360
ko:K06980	apx:APA26_17370
ko:K00748	apx:APA26_17390
ko:K02291	apx:APA26_17430
ko:K04564	apx:APA26_17440
ko:K03695	apx:APA26_17450
ko:K03665	apx:APA26_17470
ko:K03666	apx:APA26_17480
ko:K13599	apx:APA26_17490
ko:K13598	apx:APA26_17500
ko:K07712	apx:APA26_17510
ko:K07708	apx:APA26_17520
ko:K12506	apx:APA26_17540
ko:K00761	apx:APA26_17660
ko:K00012	apx:APA26_17690
ko:K04752	apx:APA26_17710
ko:K00640	apx:APA26_17720
ko:K03185	apx:APA26_17730
ko:K02356	apx:APA26_17810
ko:K03704	apx:APA26_17840
ko:K06925	apx:APA26_26120
ko:K13584	apx:APA26_26130
ko:K03431	apx:APA26_26140
ko:K00796	apx:APA26_26150
ko:K03798	apx:APA26_26160
ko:K04075	apx:APA26_26170
ko:K03640	apx:APA26_26190
ko:K03641	apx:APA26_26200
ko:K03562	apx:APA26_26230
ko:K07107	apx:APA26_26240
ko:K03551	apx:APA26_26250
ko:K03550	apx:APA26_26260
ko:K01159	apx:APA26_26270
ko:K03070	apx:APA26_26290
ko:K00620	apx:APA26_26310
ko:K00286	apx:APA26_26410
ko:K03530	apx:APA26_26450
ko:K01950	apx:APA26_26510
ko:K01693	apx:APA26_26520
ko:K02501	apx:APA26_26530
ko:K01814	apx:APA26_26540
ko:K02500	apx:APA26_26550
ko:K07552	apx:APA26_00050
ko:K09791	apx:APA26_00070
ko:K07157	apx:APA26_00080
ko:K05838	apx:APA26_00090
ko:K03701	apx:APA26_00110
ko:K09384	apx:APA26_00140
ko:K09019	apx:APA26_00160
ko:K03789	apx:APA26_00180
ko:K01945	apx:APA26_00190
ko:K03601	apx:APA26_00200
ko:K00831	apx:APA26_00230
ko:K00325	apx:APA26_00260
ko:K00324	apx:APA26_00270
ko:K00324	apx:APA26_00280
ko:K00133	apx:APA26_00300
ko:K00242	apx:APA26_00320
ko:K00239	apx:APA26_00330
ko:K00240	apx:APA26_00340
ko:K00927	apx:APA26_00370
ko:K00134	apx:APA26_00380
ko:K00615	apx:APA26_00390
ko:K00643	apx:APA26_00410
ko:K02019	apx:APA26_00460
ko:K03670	apx:APA26_00470
ko:K03669	apx:APA26_00480
ko:K01443	apx:APA26_00490
ko:K02343	apx:APA26_00520
ko:K09747	apx:APA26_00530
ko:K06187	apx:APA26_00540
ko:K01633	apx:APA26_00560
ko:K00800	apx:APA26_00580
ko:K00945	apx:APA26_00590
ko:K02945	apx:APA26_00600
ko:K02867	apx:APA26_09230
ko:K02863	apx:APA26_09240
ko:K02864	apx:APA26_09250
ko:K02935	apx:APA26_09260
ko:K03043	apx:APA26_09270
ko:K03046	apx:APA26_09280
ko:K02950	apx:APA26_09290
ko:K02992	apx:APA26_09300
ko:K02358	apx:APA26_09310
ko:K02946	apx:APA26_09315
ko:K02906	apx:APA26_09320
ko:K02926	apx:APA26_09330
ko:K02892	apx:APA26_09340
ko:K02886	apx:APA26_09350
ko:K02965	apx:APA26_09355
ko:K02890	apx:APA26_09360
ko:K02982	apx:APA26_09370
ko:K02878	apx:APA26_09380
ko:K02904	apx:APA26_09390
ko:K02961	apx:APA26_09400
ko:K02874	apx:APA26_09410
ko:K02895	apx:APA26_09420
ko:K02931	apx:APA26_09430
ko:K02954	apx:APA26_09440
ko:K02994	apx:APA26_09450
ko:K02933	apx:APA26_09460
ko:K02881	apx:APA26_09470
ko:K02988	apx:APA26_09480
ko:K02907	apx:APA26_09490
ko:K02876	apx:APA26_09500
ko:K03076	apx:APA26_09510
ko:K02952	apx:APA26_09530
ko:K02948	apx:APA26_09540
ko:K03040	apx:APA26_09552
ko:K02879	apx:APA26_09560
ko:K07789	apx:APA26_09630
ko:K07788	apx:APA26_09640
ko:K07799	apx:APA26_09650
ko:K03470	apx:APA26_09680
ko:K01061	apx:APA26_17850
ko:K04078	apx:APA26_17860
ko:K04077	apx:APA26_17870
ko:K00973	apx:APA26_18070
ko:K03320	apx:APA26_18280
ko:K03733	apx:APA26_18320
ko:K04066	apx:APA26_18330
ko:K03210	apx:APA26_18340
ko:K06923	apx:APA26_18350
ko:K10764	apx:APA26_18390
ko:K06195	apx:APA26_18400
ko:K01495	apx:APA26_18410
ko:K05520	apx:APA26_18420
ko:K03501	apx:APA26_26660
ko:K03495	apx:APA26_26670
ko:K03650	apx:APA26_26680
ko:K06966	apx:APA26_26740
ko:K08973	apx:APA26_26770
ko:K01599	apx:APA26_26790
ko:K06287	apx:APA26_26800
ko:K00989	apx:APA26_00630
ko:K03705	apx:APA26_00640
ko:K05366	apx:APA26_00650
ko:K02836	apx:APA26_00660
ko:K03832	apx:APA26_00670
ko:K03561	apx:APA26_00680
ko:K05837	apx:APA26_00720
ko:K05515	apx:APA26_00730
ko:K03571	apx:APA26_00740
ko:K03570	apx:APA26_00750
ko:K03569	apx:APA26_00760
ko:K01649	apx:APA26_00770
ko:K02259	apx:APA26_00780
ko:K07552	apx:APA26_00800
ko:K00759	apx:APA26_00820
ko:K01975	apx:APA26_00880
ko:K06890	apx:APA26_00890
ko:K02297	apx:APA26_00900
ko:K02298	apx:APA26_00910
ko:K02299	apx:APA26_00920
ko:K02300	apx:APA26_00930
ko:K01255	apx:APA26_00970
ko:K13013	apx:APA26_01000
ko:K01465	apx:APA26_01040
ko:K00528	apx:APA26_01060
ko:K00029	apx:APA26_01110
ko:K02601	apx:APA26_01120
ko:K03073	apx:APA26_01130
ko:K02113	apx:APA26_01170
ko:K02111	apx:APA26_01180
ko:K03924	apx:APA26_09740
ko:K09986	apx:APA26_09750
ko:K03543	apx:APA26_09780
ko:K03446	apx:APA26_09790
ko:K08311	apx:APA26_09800
ko:K09798	apx:APA26_09810
ko:K03797	apx:APA26_09820
ko:K15633	apx:APA26_09840
ko:K01754	apx:APA26_09850
ko:K03624	apx:APA26_09860
ko:K01955	apx:APA26_09870
ko:K01956	apx:APA26_09880
ko:K09117	apx:APA26_09890
ko:K03086	apx:APA26_09910
ko:K02990	apx:APA26_09930
ko:K02963	apx:APA26_09940
ko:K02939	apx:APA26_09950
ko:K00574	apx:APA26_09960
ko:K02528	apx:APA26_09970
ko:K03771	apx:APA26_09980
ko:K04744	apx:APA26_09990
ko:K11720	apx:APA26_10000
ko:K07091	apx:APA26_10010
ko:K03608	apx:APA26_10050
ko:K03609	apx:APA26_10060
ko:K03610	apx:APA26_10070
ko:K07007	apx:APA26_10090
ko:K07056	apx:APA26_10110
ko:K07736	apx:APA26_10130
ko:K01070	apx:APA26_10150
ko:K09811	apx:APA26_10170
ko:K09812	apx:APA26_10180
ko:K01419	apx:APA26_10230
ko:K03667	apx:APA26_10240
ko:K03638	apx:APA26_18430
ko:K07267	apx:APA26_18440
ko:K00794	apx:APA26_18550
ko:K14652	apx:APA26_18560
ko:K00793	apx:APA26_18570
ko:K11752	apx:APA26_18580
ko:K00412	apx:APA26_18590
ko:K00413	apx:APA26_18600
ko:K00411	apx:APA26_18610
ko:K06901	apx:APA26_18650
ko:K02888	apx:APA26_18810
ko:K02899	apx:APA26_18820
ko:K03979	apx:APA26_18830
ko:K00931	apx:APA26_18840
ko:K00036	apx:APA26_18870
ko:K03925	apx:APA26_18900
ko:K03438	apx:APA26_18910
ko:K03587	apx:APA26_18930
ko:K01928	apx:APA26_18940
ko:K01929	apx:APA26_18950
