ko:K22220	mava:LA64_17525
ko:K00128	mava:LA64_08680
ko:K00705	mava:LA64_13265
ko:K01692	mava:LA64_13335
ko:K05898	mava:LA64_13350
ko:K03090	mava:LA64_13395
ko:K06994	mava:LA64_17790
ko:K01758	mava:LA64_17810
ko:K01972	mava:LA64_17815
ko:K00566	mava:LA64_17830
ko:K04487	mava:LA64_17835
ko:K03522	mava:LA64_17850
ko:K03521	mava:LA64_17855
ko:K16149	mava:LA64_17865
ko:K16150	mava:LA64_17870
ko:K07071	mava:LA64_17875
ko:K13787	mava:LA64_17895
ko:K10027	mava:LA64_17900
ko:K02291	mava:LA64_17905
ko:K09879	mava:LA64_17925
ko:K01823	mava:LA64_17940
ko:K06994	mava:LA64_17945
ko:K01669	mava:LA64_17955
ko:K01692	mava:LA64_17995
ko:K02013	mava:LA64_18005
ko:K01079	mava:LA64_18010
ko:K02274	mava:LA64_18015
ko:K02016	mava:LA64_18020
ko:K13979	mava:LA64_18025
ko:K13640	mava:LA64_22390
ko:K03686	mava:LA64_22395
ko:K03687	mava:LA64_22400
ko:K04043	mava:LA64_22405
ko:K14260	mava:LA64_22455
ko:K00973	mava:LA64_22465
ko:K00012	mava:LA64_22480
ko:K01494	mava:LA64_22505
ko:K00045	mava:LA64_22565
ko:K14340	mava:LA64_22590
ko:K04719	mava:LA64_22660
ko:K00598	mava:LA64_22670
ko:K01710	mava:LA64_18865
ko:K01710	mava:LA64_20415
ko:K05337	mava:LA64_04020
ko:K05337	mava:LA64_04030
ko:K01607	mava:LA64_04110
ko:K18481	mava:LA64_04135
ko:K18481	mava:LA64_04140
ko:K02066	mava:LA64_04175
ko:K02066	mava:LA64_04180
ko:K02067	mava:LA64_04190
ko:K02067	mava:LA64_04195
ko:K18481	mava:LA64_04220
ko:K18481	mava:LA64_04225
ko:K02164	mava:LA64_04250
ko:K02509	mava:LA64_08725
ko:K02510	mava:LA64_08730
ko:K07068	mava:LA64_08790
ko:K00128	mava:LA64_08805
ko:K02164	mava:LA64_08865
ko:K07068	mava:LA64_08885
ko:K15866	mava:LA64_08890
ko:K00121	mava:LA64_08910
ko:K05337	mava:LA64_08940
ko:K01006	mava:LA64_08995
ko:K01130	mava:LA64_13525
ko:K12507	mava:LA64_13555
ko:K00666	mava:LA64_13575
ko:K07068	mava:LA64_13590
ko:K16051	mava:LA64_13685
ko:K15982	mava:LA64_13755
ko:K03647	mava:LA64_18065
ko:K02346	mava:LA64_18085
ko:K06200	mava:LA64_18155
ko:K03297	mava:LA64_18205
ko:K06994	mava:LA64_18230
ko:K16786	mava:LA64_18235
ko:K16787	mava:LA64_18235
ko:K01689	mava:LA64_18240
ko:K07341	mava:LA64_18310
ko:K01835	mava:LA64_18330
ko:K06199	mava:LA64_18335
ko:K06199	mava:LA64_18340
ko:K14743	mava:LA64_22685
ko:K02902	mava:LA64_22750
ko:K02913	mava:LA64_22755
ko:K07089	mava:LA64_22765
ko:K00666	mava:LA64_22830
ko:K02575	mava:LA64_22840
ko:K02016	mava:LA64_22850
ko:K02575	mava:LA64_22865
ko:K01719	mava:LA64_22870
ko:K00363	mava:LA64_22885
ko:K00362	mava:LA64_22890
ko:K00239	mava:LA64_22910
ko:K00240	mava:LA64_22915
ko:K00626	mava:LA64_22940
ko:K00059	mava:LA64_22945
ko:K01207	mava:LA64_22965
ko:K18687	mava:LA64_04290
ko:K02192	mava:LA64_04300
ko:K01796	mava:LA64_04315
ko:K14267	mava:LA64_04330
ko:K00626	mava:LA64_04335
ko:K01782	mava:LA64_04340
ko:K10843	mava:LA64_04385
ko:K03637	mava:LA64_04400
ko:K03635	mava:LA64_04410
ko:K03639	mava:LA64_04425
ko:K01126	mava:LA64_00905
ko:K04518	mava:LA64_00920
ko:K01875	mava:LA64_00955
ko:K14952	mava:LA64_00990
ko:K01854	mava:LA64_01030
ko:K16650	mava:LA64_01035
ko:K14136	mava:LA64_01045
ko:K13687	mava:LA64_01050
ko:K18851	mava:LA64_01055
ko:K12428	mava:LA64_01070
ko:K12437	mava:LA64_01075
ko:K11386	mava:LA64_01105
ko:K11385	mava:LA64_01110
ko:K11387	mava:LA64_01130
ko:K13686	mava:LA64_01135
ko:K16652	mava:LA64_01140
ko:K16653	mava:LA64_01145
ko:K01992	mava:LA64_01165
ko:K16649	mava:LA64_01170
ko:K01990	mava:LA64_01175
ko:K04748	mava:LA64_05770
ko:K08299	mava:LA64_05805
ko:K16168	mava:LA64_05815
ko:K16167	mava:LA64_05820
ko:K07052	mava:LA64_05830
ko:K01692	mava:LA64_05835
ko:K01796	mava:LA64_05840
ko:K06994	mava:LA64_05855
ko:K12410	mava:LA64_05865
ko:K13669	mava:LA64_05910
ko:K01724	mava:LA64_05915
ko:K03574	mava:LA64_05925
ko:K00370	mava:LA64_05930
ko:K00371	mava:LA64_05935
ko:K00373	mava:LA64_05940
ko:K00374	mava:LA64_05945
ko:K06207	mava:LA64_05950
ko:K15525	mava:LA64_05965
ko:K11779	mava:LA64_05975
ko:K12432	mava:LA64_06005
ko:K00860	mava:LA64_06030
ko:K00958	mava:LA64_06035
ko:K12423	mava:LA64_06045
ko:K00294	mava:LA64_06060
ko:K03891	mava:LA64_10580
ko:K03890	mava:LA64_10585
ko:K03889	mava:LA64_10590
ko:K02276	mava:LA64_10595
ko:K00766	mava:LA64_10600
ko:K02342	mava:LA64_10605
ko:K13668	mava:LA64_10620
ko:K01897	mava:LA64_10625
ko:K00655	mava:LA64_10650
ko:K13671	mava:LA64_10655
ko:K01626	mava:LA64_10670
ko:K14337	mava:LA64_10690
ko:K13787	mava:LA64_10695
ko:K03925	mava:LA64_10720
ko:K03438	mava:LA64_10725
ko:K03587	mava:LA64_10735
ko:K01928	mava:LA64_10740
ko:K01929	mava:LA64_10745
ko:K01000	mava:LA64_10750
ko:K01925	mava:LA64_10755
ko:K03588	mava:LA64_10760
ko:K02563	mava:LA64_10765
ko:K01924	mava:LA64_10770
ko:K03589	mava:LA64_10775
ko:K03531	mava:LA64_10780
ko:K05810	mava:LA64_10785
ko:K06997	mava:LA64_10790
ko:K09772	mava:LA64_10795
ko:K02221	mava:LA64_10800
ko:K06910	mava:LA64_10835
ko:K00254	mava:LA64_10845
ko:K03075	mava:LA64_15225
ko:K01803	mava:LA64_15230
ko:K00927	mava:LA64_15235
ko:K00134	mava:LA64_15240
ko:K09762	mava:LA64_15310
ko:K06958	mava:LA64_15320
ko:K03703	mava:LA64_15325
ko:K00794	mava:LA64_15345
ko:K14652	mava:LA64_15350
ko:K00793	mava:LA64_15355
ko:K14954	mava:LA64_15360
ko:K11752	mava:LA64_15370
ko:K01783	mava:LA64_15375
ko:K03500	mava:LA64_15380
ko:K00604	mava:LA64_15385
ko:K04066	mava:LA64_15400
ko:K00789	mava:LA64_15435
ko:K13038	mava:LA64_15440
ko:K03060	mava:LA64_15445
ko:K00942	mava:LA64_15450
ko:K01591	mava:LA64_15465
ko:K01955	mava:LA64_15470
ko:K01956	mava:LA64_15475
ko:K01465	mava:LA64_15485
ko:K00609	mava:LA64_15490
ko:K02825	mava:LA64_15495
ko:K06177	mava:LA64_19820
ko:K00111	mava:LA64_19825
ko:K00382	mava:LA64_19830
ko:K03783	mava:LA64_19855
ko:K01840	mava:LA64_19860
ko:K07114	mava:LA64_19880
ko:K07114	mava:LA64_19885
ko:K01488	mava:LA64_19905
ko:K00758	mava:LA64_19910
ko:K01489	mava:LA64_19915
ko:K00241	mava:LA64_19920
ko:K00242	mava:LA64_19925
ko:K00239	mava:LA64_19930
ko:K00240	mava:LA64_19935
ko:K03088	mava:LA64_19945
ko:K07258	mava:LA64_19960
ko:K01443	mava:LA64_19970
ko:K11741	mava:LA64_19975
ko:K07058	mava:LA64_19980
ko:K01867	mava:LA64_19985
ko:K00031	mava:LA64_19995
ko:K00031	mava:LA64_20000
ko:K00641	mava:LA64_20010
ko:K01491	mava:LA64_20040
ko:K06945	mava:LA64_20065
ko:K07131	mava:LA64_20075
ko:K03216	mava:LA64_20090
ko:K00970	mava:LA64_24475
ko:K03980	mava:LA64_24505
ko:K03088	mava:LA64_24510
ko:K00384	mava:LA64_24520
ko:K03671	mava:LA64_24525
ko:K03497	mava:LA64_24540
ko:K03496	mava:LA64_24545
ko:K03501	mava:LA64_24555
ko:K06346	mava:LA64_24560
ko:K03217	mava:LA64_24565
ko:K03536	mava:LA64_24570
ko:K02313	mava:LA64_00005
ko:K02338	mava:LA64_00010
ko:K03629	mava:LA64_00015
ko:K02470	mava:LA64_00025
ko:K02469	mava:LA64_00030
ko:K03767	mava:LA64_00065
ko:K01664	mava:LA64_00085
ko:K02078	mava:LA64_00145
ko:K01909	mava:LA64_00150
ko:K06975	mava:LA64_00185
ko:K06911	mava:LA64_00190
ko:K18956	mava:LA64_00200
ko:K07735	mava:LA64_00255
ko:K01869	mava:LA64_00270
ko:K02028	mava:LA64_00285
ko:K02911	mava:LA64_04885
ko:K07669	mava:LA64_04890
ko:K07653	mava:LA64_04895
ko:K08372	mava:LA64_04900
ko:K03282	mava:LA64_04915
ko:K00963	mava:LA64_04935
ko:K03750	mava:LA64_04940
ko:K03790	mava:LA64_04945
ko:K07031	mava:LA64_05000
ko:K03271	mava:LA64_05005
ko:K03273	mava:LA64_05010
ko:K01478	mava:LA64_05035
ko:K07056	mava:LA64_05045
ko:K01665	mava:LA64_05050
ko:K03088	mava:LA64_05055
ko:K01874	mava:LA64_05135
ko:K03424	mava:LA64_05140
ko:K02528	mava:LA64_05150
ko:K00919	mava:LA64_05155
ko:K00666	mava:LA64_05160
ko:K01056	mava:LA64_05165
ko:K02897	mava:LA64_05170
ko:K07028	mava:LA64_09675
ko:K04079	mava:LA64_09740
ko:K00626	mava:LA64_09785
ko:K01082	mava:LA64_09795
ko:K14155	mava:LA64_09810
ko:K07090	mava:LA64_09855
ko:K01011	mava:LA64_09860
ko:K14335	mava:LA64_09865
ko:K03316	mava:LA64_09875
ko:K14475	mava:LA64_09880
ko:K00390	mava:LA64_09915
ko:K00392	mava:LA64_09920
ko:K00425	mava:LA64_14375
ko:K00426	mava:LA64_14380
ko:K16013	mava:LA64_14385
ko:K16012	mava:LA64_14390
ko:K10805	mava:LA64_14400
ko:K00873	mava:LA64_14405
ko:K01695	mava:LA64_14420
ko:K01696	mava:LA64_14425
ko:K01609	mava:LA64_14430
ko:K01657	mava:LA64_14440
ko:K03564	mava:LA64_14445
ko:K07300	mava:LA64_14450
ko:K01496	mava:LA64_14455
ko:K02500	mava:LA64_14460
ko:K01092	mava:LA64_14465
ko:K01814	mava:LA64_14470
ko:K01817	mava:LA64_14470
ko:K02501	mava:LA64_14475
ko:K01693	mava:LA64_14480
ko:K00817	mava:LA64_14485
ko:K00013	mava:LA64_14490
ko:K00767	mava:LA64_14500
ko:K00278	mava:LA64_14505
ko:K03517	mava:LA64_14510
ko:K01012	mava:LA64_14535
ko:K01935	mava:LA64_14575
ko:K00652	mava:LA64_14580
ko:K00833	mava:LA64_14585
ko:K06044	mava:LA64_14610
ko:K01236	mava:LA64_14615
ko:K01754	mava:LA64_14640
ko:K03885	mava:LA64_18965
ko:K13993	mava:LA64_18980
ko:K07044	mava:LA64_19055
ko:K02067	mava:LA64_19085
ko:K00432	mava:LA64_19100
ko:K09118	mava:LA64_19140
ko:K07177	mava:LA64_19145
ko:K18958	mava:LA64_19165
ko:K03657	mava:LA64_19170
ko:K18917	mava:LA64_19175
ko:K03426	mava:LA64_19180
ko:K10716	mava:LA64_19185
ko:K03657	mava:LA64_19190
ko:K12141	mava:LA64_23585
ko:K12140	mava:LA64_23590
ko:K00038	mava:LA64_23710
ko:K00325	mava:LA64_23730
ko:K00324	mava:LA64_23735
ko:K00324	mava:LA64_23740
ko:K09958	mava:LA64_23745
ko:K01104	mava:LA64_23755
ko:K10773	mava:LA64_02180
ko:K01895	mava:LA64_02215
ko:K15580	mava:LA64_02225
ko:K15581	mava:LA64_02230
ko:K15582	mava:LA64_02235
ko:K02031	mava:LA64_02240
ko:K02032	mava:LA64_02240
ko:K12510	mava:LA64_02330
ko:K06877	mava:LA64_02360
ko:K03704	mava:LA64_02365
ko:K03168	mava:LA64_02375
ko:K02341	mava:LA64_02385
ko:K01784	mava:LA64_02400
ko:K09153	mava:LA64_02405
ko:K09799	mava:LA64_02420
ko:K01507	mava:LA64_02425
ko:K07259	mava:LA64_02430
ko:K04075	mava:LA64_02440
ko:K00760	mava:LA64_02445
ko:K09807	mava:LA64_02450
ko:K07503	mava:LA64_06965
ko:K05606	mava:LA64_06975
ko:K00626	mava:LA64_06980
ko:K05838	mava:LA64_06985
ko:K00700	mava:LA64_06990
ko:K16147	mava:LA64_06995
ko:K00688	mava:LA64_07000
ko:K00763	mava:LA64_07010
ko:K06891	mava:LA64_07015
ko:K01776	mava:LA64_07035
ko:K00989	mava:LA64_07045
ko:K02428	mava:LA64_07055
ko:K14698	mava:LA64_07090
ko:K14699	mava:LA64_07095
ko:K06446	mava:LA64_07115
ko:K00059	mava:LA64_07120
ko:K00626	mava:LA64_07125
ko:K14470	mava:LA64_07130
ko:K15866	mava:LA64_07175
ko:K01714	mava:LA64_07200
ko:K00666	mava:LA64_07220
ko:K00059	mava:LA64_11755
ko:K00626	mava:LA64_11795
ko:K01692	mava:LA64_11800
ko:K00128	mava:LA64_11830
ko:K00626	mava:LA64_11935
ko:K08299	mava:LA64_12000
ko:K00231	mava:LA64_16360
ko:K01599	mava:LA64_16365
ko:K01692	mava:LA64_16370
ko:K03684	mava:LA64_16380
ko:K01662	mava:LA64_16385
ko:K03499	mava:LA64_16410
ko:K03499	mava:LA64_16415
ko:K01092	mava:LA64_16465
ko:K00886	mava:LA64_16470
ko:K03086	mava:LA64_16475
ko:K07058	mava:LA64_16500
ko:K03087	mava:LA64_16515
ko:K03709	mava:LA64_16520
ko:K00322	mava:LA64_16530
ko:K07738	mava:LA64_16560
ko:K01356	mava:LA64_16570
ko:K03665	mava:LA64_16585
ko:K01778	mava:LA64_16590
ko:K00791	mava:LA64_16595
ko:K06168	mava:LA64_16625
ko:K03565	mava:LA64_16630
ko:K00574	mava:LA64_20960
ko:K00574	mava:LA64_20965
ko:K03088	mava:LA64_20975
ko:K02863	mava:LA64_20980
ko:K02867	mava:LA64_20985
ko:K02601	mava:LA64_20990
ko:K03073	mava:LA64_20995
ko:K02913	mava:LA64_21020
ko:K01692	mava:LA64_21050
ko:K07001	mava:LA64_21065
ko:K01725	mava:LA64_21070
ko:K00574	mava:LA64_21085
ko:K03583	mava:LA64_21090
ko:K03582	mava:LA64_21095
ko:K03581	mava:LA64_21100
ko:K02067	mava:LA64_21110
ko:K02067	mava:LA64_21115
ko:K02067	mava:LA64_21120
ko:K02067	mava:LA64_21125
ko:K02067	mava:LA64_21130
ko:K02067	mava:LA64_21135
ko:K02066	mava:LA64_21140
ko:K02066	mava:LA64_21145
ko:K07746	mava:LA64_21155
ko:K09122	mava:LA64_21195
ko:K00849	mava:LA64_21200
ko:K00965	mava:LA64_21205
ko:K00128	mava:LA64_23765
ko:K06911	mava:LA64_23790
ko:K04047	mava:LA64_23795
ko:K07304	mava:LA64_23825
ko:K01692	mava:LA64_01220
ko:K00817	mava:LA64_01235
ko:K02484	mava:LA64_01430
ko:K14953	mava:LA64_01435
ko:K05845	mava:LA64_01490
ko:K05847	mava:LA64_01495
ko:K05846	mava:LA64_01500
ko:K05846	mava:LA64_01505
ko:K09957	mava:LA64_01510
ko:K04517	mava:LA64_01515
ko:K11991	mava:LA64_01525
ko:K00318	mava:LA64_06065
ko:K12429	mava:LA64_06125
ko:K00674	mava:LA64_06135
ko:K01439	mava:LA64_06150
ko:K06966	mava:LA64_06160
ko:K00666	mava:LA64_06165
ko:K00796	mava:LA64_06170
ko:K13693	mava:LA64_06175
ko:K01246	mava:LA64_06185
ko:K16148	mava:LA64_06190
ko:K00975	mava:LA64_06195
ko:K06978	mava:LA64_06200
ko:K01992	mava:LA64_06210
ko:K01990	mava:LA64_06215
ko:K03088	mava:LA64_06230
ko:K03117	mava:LA64_06245
ko:K03593	mava:LA64_06250
ko:K02027	mava:LA64_06280
ko:K02025	mava:LA64_06285
ko:K02026	mava:LA64_06290
ko:K10112	mava:LA64_06295
ko:K03284	mava:LA64_06305
ko:K00024	mava:LA64_06310
ko:K00027	mava:LA64_06315
ko:K01616	mava:LA64_06335
ko:K01082	mava:LA64_10880
ko:K15526	mava:LA64_10885
ko:K01652	mava:LA64_10905
ko:K12433	mava:LA64_10925
ko:K00548	mava:LA64_10970
