ko:K19743	apg:APA12_08140
ko:K03777	apg:APA12_20440
ko:K04754	apg:APA12_02150
ko:K05801	apg:APA12_02160
ko:K00773	apg:APA12_02190
ko:K07568	apg:APA12_02200
ko:K00297	apg:APA12_02240
ko:K01491	apg:APA12_02250
ko:K09919	apg:APA12_02260
ko:K01087	apg:APA12_02330
ko:K00697	apg:APA12_02340
ko:K03702	apg:APA12_02400
ko:K11738	apg:APA12_02480
ko:K02346	apg:APA12_02490
ko:K09769	apg:APA12_02550
ko:K09888	apg:APA12_02570
ko:K00788	apg:APA12_02610
ko:K07082	apg:APA12_11720
ko:K09458	apg:APA12_11730
ko:K02078	apg:APA12_11740
ko:K00645	apg:APA12_11760
ko:K02002	apg:APA12_11790
ko:K03704	apg:APA12_11840
ko:K03664	apg:APA12_11850
ko:K01714	apg:APA12_11860
ko:K00979	apg:APA12_11880
ko:K07391	apg:APA12_11920
ko:K06131	apg:APA12_11980
ko:K07460	apg:APA12_11970
ko:K07390	apg:APA12_12000
ko:K01952	apg:APA12_12020
ko:K01952	apg:APA12_12030
ko:K01952	apg:APA12_12050
ko:K01923	apg:APA12_12060
ko:K01756	apg:APA12_12070
ko:K08309	apg:APA12_12090
ko:K01095	apg:APA12_12100
ko:K03644	apg:APA12_12140
ko:K00382	apg:APA12_12150
ko:K00627	apg:APA12_12160
ko:K00162	apg:APA12_12170
ko:K00161	apg:APA12_12180
ko:K03637	apg:APA12_12190
ko:K01609	apg:APA12_12200
ko:K00766	apg:APA12_12210
ko:K01657	apg:APA12_12230
ko:K03770	apg:APA12_12240
ko:K00286	apg:APA12_26410
ko:K03530	apg:APA12_26450
ko:K01950	apg:APA12_26510
ko:K01693	apg:APA12_26520
ko:K02501	apg:APA12_26530
ko:K01814	apg:APA12_26540
ko:K02500	apg:APA12_26550
ko:K03501	apg:APA12_26660
ko:K03495	apg:APA12_26670
ko:K03650	apg:APA12_26680
ko:K06966	apg:APA12_26740
ko:K08973	apg:APA12_26770
ko:K01599	apg:APA12_26790
ko:K06287	apg:APA12_26800
ko:K04568	apg:APA12_02750
ko:K01265	apg:APA12_02780
ko:K06891	apg:APA12_02800
ko:K03694	apg:APA12_02810
ko:K07735	apg:APA12_02840
ko:K06958	apg:APA12_02850
ko:K14980	apg:APA12_02870
ko:K14981	apg:APA12_02880
ko:K03687	apg:APA12_02890
ko:K04043	apg:APA12_02900
ko:K03686	apg:APA12_02910
ko:K00215	apg:APA12_02920
ko:K00789	apg:APA12_02930
ko:K03439	apg:APA12_02940
ko:K00602	apg:APA12_02950
ko:K01879	apg:APA12_03000
ko:K01878	apg:APA12_03010
ko:K09945	apg:APA12_03020
ko:K03820	apg:APA12_03040
ko:K03628	apg:APA12_03080
ko:K03284	apg:APA12_03100
ko:K01696	apg:APA12_03110
ko:K01695	apg:APA12_03120
ko:K07007	apg:APA12_03130
ko:K06915	apg:APA12_03140
ko:K02502	apg:APA12_03150
ko:K01939	apg:APA12_03160
ko:K07636	apg:APA12_03180
ko:K02040	apg:APA12_03190
ko:K01093	apg:APA12_03230
ko:K01803	apg:APA12_12250
ko:K03075	apg:APA12_12260
ko:K01937	apg:APA12_12270
ko:K01627	apg:APA12_12280
ko:K02470	apg:APA12_12290
ko:K03629	apg:APA12_12300
ko:K02338	apg:APA12_12310
ko:K02313	apg:APA12_12320
ko:K02968	apg:APA12_12330
ko:K03183	apg:APA12_12350
ko:K13038	apg:APA12_12360
ko:K01873	apg:APA12_12410
ko:K09991	apg:APA12_12420
ko:K00573	apg:APA12_12440
ko:K00946	apg:APA12_12510
ko:K03625	apg:APA12_12520
ko:K07738	apg:APA12_12530
ko:K00864	apg:APA12_12552
ko:K02440	apg:APA12_12560
ko:K00111	apg:APA12_12570
ko:K02444	apg:APA12_12580
ko:K03654	apg:APA12_12590
ko:K03088	apg:APA12_12650
ko:K03088	apg:APA12_12660
ko:K15738	apg:APA12_12680
ko:K01194	apg:APA12_12690
ko:K06193	apg:APA12_12710
ko:K00077	apg:APA12_12730
ko:K00767	apg:APA12_20490
ko:K03517	apg:APA12_20500
ko:K03885	apg:APA12_20530
ko:K01548	apg:APA12_40520
ko:K07646	apg:APA12_40530
ko:K07667	apg:APA12_40540
ko:K01126	apg:APA12_40680
ko:K06199	apg:APA12_40710
ko:K03322	apg:APA12_40840
ko:K11924	apg:APA12_40860
ko:K02471	apg:APA12_40850
ko:K06911	apg:APA12_20580
ko:K03561	apg:APA12_20630
ko:K03832	apg:APA12_20640
ko:K07160	apg:APA12_20680
ko:K01961	apg:APA12_20730
ko:K00812	apg:APA12_20750
ko:K06044	apg:APA12_20790
ko:K01236	apg:APA12_20800
ko:K00703	apg:APA12_20820
ko:K00156	apg:APA12_20860
ko:K07152	apg:APA12_20910
ko:K00145	apg:APA12_03310
ko:K04079	apg:APA12_03340
ko:K01173	apg:APA12_03550
ko:K01720	apg:APA12_03590
ko:K01895	apg:APA12_03620
ko:K01876	apg:APA12_03690
ko:K01620	apg:APA12_03700
ko:K02897	apg:APA12_03710
ko:K01056	apg:APA12_03720
ko:K06942	apg:APA12_03730
ko:K00147	apg:APA12_03740
ko:K00969	apg:APA12_03750
ko:K09710	apg:APA12_03760
ko:K00783	apg:APA12_03770
ko:K01575	apg:APA12_03800
ko:K01652	apg:APA12_03810
ko:K01576	apg:APA12_03830
ko:K07402	apg:APA12_12880
ko:K13482	apg:APA12_12890
ko:K13481	apg:APA12_12900
ko:K07127	apg:APA12_12920
ko:K03832	apg:APA12_13020
ko:K01993	apg:APA12_13030
ko:K13926	apg:APA12_13040
ko:K03313	apg:APA12_13140
ko:K10680	apg:APA12_13160
ko:K03781	apg:APA12_13180
ko:K15034	apg:APA12_13190
ko:K13688	apg:APA12_13220
ko:K00941	apg:APA12_13250
ko:K02471	apg:APA12_13300
ko:K04046	apg:APA12_13330
ko:K05358	apg:APA12_21550
ko:K00822	apg:APA12_21580
ko:K01464	apg:APA12_21680
ko:K01817	apg:APA12_21730
ko:K01591	apg:APA12_21740
ko:K03071	apg:APA12_21760
ko:K00097	apg:APA12_21780
ko:K03474	apg:APA12_21790
ko:K09001	apg:APA12_21810
ko:K03919	apg:APA12_21860
ko:K05916	apg:APA12_21890
ko:K02072	apg:APA12_21900
ko:K02071	apg:APA12_21910
ko:K02073	apg:APA12_21920
ko:K02302	apg:APA12_21940
ko:K00077	apg:APA12_22010
ko:K00782	apg:APA12_03860
ko:K00790	apg:APA12_03880
ko:K01494	apg:APA12_03890
ko:K00720	apg:APA12_03950
ko:K01662	apg:APA12_03970
ko:K00919	apg:APA12_04030
ko:K00948	apg:APA12_04120
ko:K02016	apg:APA12_04240
ko:K02015	apg:APA12_04250
ko:K02013	apg:APA12_04260
ko:K07106	apg:APA12_04290
ko:K01669	apg:APA12_04380
ko:K07290	apg:APA12_13400
ko:K03832	apg:APA12_13490
ko:K03561	apg:APA12_13510
ko:K03088	apg:APA12_13610
ko:K03088	apg:APA12_13660
ko:K15553	apg:APA12_13670
ko:K15554	apg:APA12_13690
ko:K03119	apg:APA12_13710
ko:K09823	apg:APA12_22640
ko:K08963	apg:APA12_22670
ko:K01738	apg:APA12_22700
ko:K15342	apg:APA12_41090
ko:K03530	apg:APA12_41420
ko:K07090	apg:APA12_41560
ko:K01951	apg:APA12_22710
ko:K08137	apg:APA12_22940
ko:K03303	apg:APA12_22960
ko:K03274	apg:APA12_22980
ko:K13292	apg:APA12_22990
ko:K05810	apg:APA12_23010
ko:K09771	apg:APA12_23060
ko:K00817	apg:APA12_23090
ko:K00615	apg:APA12_23110
ko:K13810	apg:APA12_23120
ko:K01057	apg:APA12_23150
ko:K01807	apg:APA12_23160
ko:K09758	apg:APA12_04430
ko:K04047	apg:APA12_04480
ko:K00057	apg:APA12_04490
ko:K15229	apg:APA12_04540
ko:K15228	apg:APA12_04570
ko:K07248	apg:APA12_04640
ko:K07303	apg:APA12_04660
ko:K07302	apg:APA12_04670
ko:K00140	apg:APA12_13920
ko:K07722	apg:APA12_13960
ko:K09967	apg:APA12_13970
ko:K09967	apg:APA12_13980
ko:K09024	apg:APA12_14130
ko:K01154	apg:APA12_14250
ko:K07043	apg:APA12_14290
ko:K03701	apg:APA12_14430
ko:K15357	apg:APA12_23740
ko:K14974	apg:APA12_23790
ko:K08679	apg:APA12_24140
ko:K09005	apg:APA12_24150
ko:K07402	apg:APA12_24180
ko:K07141	apg:APA12_24190
ko:K00281	apg:APA12_24220
ko:K02437	apg:APA12_24230
ko:K00605	apg:APA12_24240
ko:K00797	apg:APA12_24250
ko:K01611	apg:APA12_24260
ko:K07146	apg:APA12_05200
ko:K03811	apg:APA12_05480
ko:K01433	apg:APA12_05510
ko:K13771	apg:APA12_05530
ko:K06199	apg:APA12_05550
ko:K03675	apg:APA12_14460
ko:K02188	apg:APA12_14480
ko:K05936	apg:APA12_14490
ko:K02189	apg:APA12_14500
ko:K05895	apg:APA12_14520
ko:K03394	apg:APA12_14540
ko:K06042	apg:APA12_14550
ko:K02229	apg:APA12_14560
ko:K00117	apg:APA12_14620
ko:K00925	apg:APA12_14700
ko:K03737	apg:APA12_14730
ko:K02379	apg:APA12_14790
ko:K03752	apg:APA12_14800
ko:K03753	apg:APA12_14810
ko:K03750	apg:APA12_14820
ko:K02380	apg:APA12_14830
ko:K00123	apg:APA12_14860
ko:K01524	apg:APA12_14880
ko:K00847	apg:APA12_14900
ko:K03602	apg:APA12_14920
ko:K00795	apg:APA12_14930
ko:K01662	apg:APA12_14940
ko:K06442	apg:APA12_14950
ko:K06941	apg:APA12_14970
ko:K09985	apg:APA12_24930
ko:K01676	apg:APA12_24940
ko:K00285	apg:APA12_24980
ko:K01775	apg:APA12_24990
ko:K02834	apg:APA12_25010
ko:K02519	apg:APA12_25020
ko:K07742	apg:APA12_25030
ko:K02600	apg:APA12_25040
ko:K09748	apg:APA12_25050
ko:K01681	apg:APA12_25120
ko:K02194	apg:APA12_25140
ko:K01581	apg:APA12_25160
ko:K07058	apg:APA12_25170
ko:K03642	apg:APA12_25180
ko:K03786	apg:APA12_25190
ko:K02160	apg:APA12_25200
ko:K01961	apg:APA12_25210
ko:K03147	apg:APA12_25230
ko:K07243	apg:APA12_25260
ko:K07230	apg:APA12_25270
ko:K07267	apg:APA12_25280
ko:K07267	apg:APA12_25310
ko:K07447	apg:APA12_25350
ko:K02435	apg:APA12_25360
ko:K02434	apg:APA12_25380
ko:K10806	apg:APA12_05590
ko:K01908	apg:APA12_41600
ko:K01502	apg:APA12_41660
ko:K03581	apg:APA12_41760
ko:K01154	apg:APA12_41860
ko:K03427	apg:APA12_41890
ko:K01438	apg:APA12_41960
ko:K03521	apg:APA12_05750
ko:K03522	apg:APA12_05800
ko:K02429	apg:APA12_05830
ko:K07267	apg:APA12_05850
ko:K03306	apg:APA12_05920
ko:K00627	apg:APA12_05960
ko:K13993	apg:APA12_05970
ko:K03885	apg:APA12_05990
ko:K07137	apg:APA12_06050
ko:K01940	apg:APA12_14980
ko:K03773	apg:APA12_14990
ko:K01867	apg:APA12_15010
ko:K03500	apg:APA12_15070
ko:K02034	apg:APA12_15100
ko:K00459	apg:APA12_15140
ko:K09474	apg:APA12_15150
ko:K01169	apg:APA12_15160
ko:K01114	apg:APA12_15180
ko:K15549	apg:APA12_15280
ko:K15547	apg:APA12_15290
ko:K08995	apg:APA12_15320
ko:K00426	apg:APA12_15380
ko:K00425	apg:APA12_15390
ko:K09758	apg:APA12_15490
ko:K01866	apg:APA12_25860
ko:K03568	apg:APA12_25870
ko:K00973	apg:APA12_25910
ko:K01790	apg:APA12_25920
ko:K00067	apg:APA12_25930
ko:K03466	apg:APA12_25950
ko:K00566	apg:APA12_25990
ko:K04755	apg:APA12_26000
ko:K04487	apg:APA12_26010
ko:K04487	apg:APA12_26020
ko:K07018	apg:APA12_26030
ko:K01883	apg:APA12_26050
ko:K11754	apg:APA12_26070
ko:K01963	apg:APA12_26080
ko:K03671	apg:APA12_26090
ko:K06925	apg:APA12_26120
ko:K13584	apg:APA12_26130
ko:K03431	apg:APA12_26140
ko:K00796	apg:APA12_26150
ko:K03798	apg:APA12_26160
ko:K04075	apg:APA12_26170
ko:K03640	apg:APA12_26190
ko:K03641	apg:APA12_26200
ko:K03562	apg:APA12_26230
ko:K07107	apg:APA12_26240
ko:K03551	apg:APA12_26250
ko:K03550	apg:APA12_26260
ko:K01159	apg:APA12_26270
ko:K03070	apg:APA12_26290
ko:K00620	apg:APA12_26310
ko:K00873	apg:APA12_06160
ko:K01053	apg:APA12_06170
ko:K06207	apg:APA12_06200
ko:K00285	apg:APA12_06230
ko:K00384	apg:APA12_06240
ko:K00031	apg:APA12_06250
ko:K04751	apg:APA12_06300
ko:K01915	apg:APA12_06310
ko:K00117	apg:APA12_06330
ko:K03596	apg:APA12_06360
ko:K00641	apg:APA12_06370
ko:K11927	apg:APA12_06390
ko:K01673	apg:APA12_06410
ko:K00950	apg:APA12_06430
ko:K03060	apg:APA12_06440
ko:K00997	apg:APA12_06460
ko:K03100	apg:APA12_06470
ko:K03685	apg:APA12_06480
ko:K09903	apg:APA12_06500
ko:K02838	apg:APA12_06510
ko:K00806	apg:APA12_06520
ko:K00981	apg:APA12_06530
ko:K00099	apg:APA12_06540
ko:K11749	apg:APA12_06550
ko:K07277	apg:APA12_06560
ko:K02536	apg:APA12_06580
ko:K02372	apg:APA12_06590
ko:K00677	apg:APA12_06600
ko:K02914	apg:APA12_06640
ko:K03536	apg:APA12_06650
ko:K03217	apg:APA12_06660
ko:K03978	apg:APA12_06670
ko:K00930	apg:APA12_06680
ko:K06173	apg:APA12_06720
ko:K00604	apg:APA12_06730
ko:K13979	apg:APA12_15620
ko:K09958	apg:APA12_15640
ko:K07507	apg:APA12_15670
ko:K08169	apg:APA12_15800
ko:K03088	apg:APA12_15880
ko:K03530	apg:APA12_40350
ko:K08325	apg:APA12_40430
ko:K01462	apg:APA12_06740
ko:K07140	apg:APA12_06790
ko:K06861	apg:APA12_06800
ko:K09774	apg:APA12_06810
ko:K11719	apg:APA12_06820
ko:K06041	apg:APA12_06830
ko:K03684	apg:APA12_06840
ko:K03218	apg:APA12_06850
ko:K00942	apg:APA12_06880
ko:K03272	apg:APA12_06890
ko:K02065	apg:APA12_06950
ko:K02066	apg:APA12_06960
ko:K04485	apg:APA12_06980
ko:K13821	apg:APA12_07050
ko:K01895	apg:APA12_07080
ko:K06968	apg:APA12_07120
ko:K07566	apg:APA12_07190
ko:K01255	apg:APA12_07210
ko:K02339	apg:APA12_07220
ko:K03579	apg:APA12_07250
ko:K04083	apg:APA12_07270
ko:K11720	apg:APA12_16110
ko:K01091	apg:APA12_16140
ko:K04042	apg:APA12_16150
ko:K00820	apg:APA12_16160
ko:K00432	apg:APA12_16240
ko:K09808	apg:APA12_16260
ko:K01881	apg:APA12_16270
ko:K03525	apg:APA12_16290
ko:K03524	apg:APA12_16300
ko:K00343	apg:APA12_16310
ko:K00341	apg:APA12_16320
ko:K00340	apg:APA12_16330
ko:K00339	apg:APA12_16340
ko:K00338	apg:APA12_16350
ko:K00337	apg:APA12_16360
ko:K00334	apg:APA12_16390
ko:K00333	apg:APA12_16400
ko:K00332	apg:APA12_16410
ko:K00331	apg:APA12_16420
ko:K00330	apg:APA12_16430
ko:K03530	apg:APA12_16460
ko:K01338	apg:APA12_16470
ko:K03544	apg:APA12_16480
ko:K01358	apg:APA12_16490
ko:K03545	apg:APA12_16500
ko:K03215	apg:APA12_16550
ko:K11717	apg:APA12_16590
ko:K09015	apg:APA12_16600
ko:K01875	apg:APA12_21120
ko:K03118	apg:APA12_21130
ko:K03117	apg:APA12_21140
ko:K06024	apg:APA12_21150
ko:K05896	apg:APA12_21160
ko:K01887	apg:APA12_21180
ko:K01129	apg:APA12_21190
ko:K01142	apg:APA12_21210
ko:K06136	apg:APA12_21260
ko:K06137	apg:APA12_21270
ko:K06138	apg:APA12_21280
ko:K06139	apg:APA12_21290
ko:K01358	apg:APA12_21310
ko:K14261	apg:APA12_21330
ko:K00003	apg:APA12_21340
ko:K07462	apg:APA12_21360
ko:K03089	apg:APA12_21370
ko:K06180	apg:APA12_21380
ko:K02015	apg:APA12_21390
ko:K02013	apg:APA12_21400
ko:K00826	apg:APA12_21420
ko:K07152	apg:APA12_21440
ko:K03762	apg:APA12_21460
ko:K00426	apg:APA12_21490
ko:K00425	apg:APA12_21500
ko:K07223	apg:APA12_21510
ko:K11738	apg:APA12_21530
ko:K03565	apg:APA12_07310
ko:K03116	apg:APA12_07330
ko:K08967	apg:APA12_07350
ko:K09880	apg:APA12_07360
ko:K11753	apg:APA12_07370
ko:K01870	apg:APA12_07380
ko:K03101	apg:APA12_07390
ko:K03572	apg:APA12_07410
ko:K00342	apg:APA12_07420
ko:K11939	apg:APA12_07430
ko:K02622	apg:APA12_07440
ko:K01738	apg:APA12_07480
ko:K03797	apg:APA12_07510
ko:K12573	apg:APA12_07520
ko:K03168	apg:APA12_07530
ko:K04096	apg:APA12_07580
ko:K08591	apg:APA12_07590
ko:K01465	apg:APA12_07600
ko:K00609	apg:APA12_07610
ko:K06916	apg:APA12_07650
ko:K00164	apg:APA12_07660
ko:K00658	apg:APA12_07670
ko:K00382	apg:APA12_07680
ko:K01251	apg:APA12_07710
ko:K00655	apg:APA12_07720
ko:K01613	apg:APA12_07830
ko:K01872	apg:APA12_07840
ko:K09013	apg:APA12_16610
ko:K09014	apg:APA12_16620
ko:K01595	apg:APA12_16650
ko:K02355	apg:APA12_16670
ko:K02902	apg:APA12_16680
ko:K00990	apg:APA12_16720
ko:K03555	apg:APA12_16730
ko:K01299	apg:APA12_16750
ko:K01733	apg:APA12_16770
ko:K03592	apg:APA12_16790
ko:K01920	apg:APA12_16860
ko:K00384	apg:APA12_16900
ko:K05788	apg:APA12_16930
ko:K03980	apg:APA12_16950
ko:K04764	apg:APA12_16990
ko:K00648	apg:APA12_17000
ko:K03621	apg:APA12_17010
ko:K02911	apg:APA12_17020
ko:K07638	apg:APA12_17050
ko:K07659	apg:APA12_17060
ko:K01462	apg:APA12_17090
ko:K02970	apg:APA12_17100
ko:K00052	apg:APA12_17110
ko:K01704	apg:APA12_17120
ko:K01703	apg:APA12_17130
ko:K02053	apg:APA12_22140
ko:K00137	apg:APA12_22210
ko:K03561	apg:APA12_22290
ko:K03832	apg:APA12_22310
ko:K11103	apg:APA12_22340
ko:K02231	apg:APA12_22420
ko:K00768	apg:APA12_22430
ko:K02233	apg:APA12_22440
ko:K02225	apg:APA12_22460
ko:K02227	apg:APA12_22450
ko:K04719	apg:APA12_22470
ko:K02232	apg:APA12_22480
ko:K02224	apg:APA12_22510
ko:K02230	apg:APA12_22520
ko:K02234	apg:APA12_22530
ko:K09024	apg:APA12_22600
ko:K13829	apg:APA12_07870
ko:K01962	apg:APA12_07900
ko:K04566	apg:APA12_07920
ko:K07115	apg:APA12_07950
ko:K01749	apg:APA12_07970
ko:K03071	apg:APA12_07990
ko:K00428	apg:APA12_08030
ko:K00228	apg:APA12_08060
ko:K00413	apg:APA12_08080
ko:K10679	apg:APA12_08130
ko:K00154	apg:APA12_08150
ko:K00554	apg:APA12_17150
ko:K02860	apg:APA12_17160
ko:K02959	apg:APA12_17170
ko:K03106	apg:APA12_17180
ko:K06006	apg:APA12_17190
ko:K07289	apg:APA12_17210
ko:K07478	apg:APA12_17230
ko:K03179	apg:APA12_17250
ko:K09761	apg:APA12_17260
ko:K01919	apg:APA12_17270
ko:K08169	apg:APA12_17280
ko:K03977	apg:APA12_17300
ko:K01953	apg:APA12_17360
ko:K06980	apg:APA12_17370
ko:K00748	apg:APA12_17390
ko:K02291	apg:APA12_17430
ko:K04564	apg:APA12_17440
ko:K03695	apg:APA12_17450
ko:K03665	apg:APA12_17470
ko:K03666	apg:APA12_17480
ko:K13599	apg:APA12_17490
ko:K13598	apg:APA12_17500
ko:K07712	apg:APA12_17510
ko:K07708	apg:APA12_17520
ko:K12506	apg:APA12_17540
ko:K00761	apg:APA12_17660
ko:K02884	apg:APA12_17140
ko:K00362	apg:APA12_42110
ko:K02575	apg:APA12_42150
ko:K00549	apg:APA12_42270
ko:K03576	apg:APA12_42280
ko:K07726	apg:APA12_42310
ko:K03893	apg:APA12_42350
ko:K07043	apg:APA12_42370
ko:K01153	apg:APA12_42380
ko:K01154	apg:APA12_42390
ko:K03427	apg:APA12_42400
ko:K03549	apg:APA12_42600
ko:K03281	apg:APA12_23210
ko:K06997	apg:APA12_23230
ko:K03549	apg:APA12_23240
ko:K03189	apg:APA12_23410
ko:K03188	apg:APA12_23420
ko:K03187	apg:APA12_23430
ko:K01428	apg:APA12_23440
ko:K01429	apg:APA12_23450
ko:K01430	apg:APA12_23460
ko:K03190	apg:APA12_23470
ko:K07241	apg:APA12_23480
ko:K03594	apg:APA12_23530
ko:K01246	apg:APA12_23560
ko:K07090	apg:APA12_23600
ko:K06911	apg:APA12_23640
ko:K03543	apg:APA12_23660
ko:K01799	apg:APA12_23730
ko:K02016	apg:APA12_23200
ko:K00606	apg:APA12_08560
ko:K04775	apg:APA12_08600
ko:K01586	apg:APA12_08630
ko:K01755	apg:APA12_08650
ko:K00014	apg:APA12_08690
ko:K00859	apg:APA12_08700
ko:K01783	apg:APA12_08750
ko:K03500	apg:APA12_08760
ko:K11175	apg:APA12_08770
ko:K01933	apg:APA12_08780
ko:K00937	apg:APA12_08800
ko:K01524	apg:APA12_08810
ko:K08715	apg:APA12_08880
ko:K02199	apg:APA12_08950
ko:K02198	apg:APA12_08960
ko:K02197	apg:APA12_08970
ko:K02195	apg:APA12_08990
ko:K09780	apg:APA12_09000
ko:K00012	apg:APA12_17690
ko:K04752	apg:APA12_17710
ko:K00640	apg:APA12_17720
ko:K03185	apg:APA12_17730
ko:K02356	apg:APA12_17810
ko:K03704	apg:APA12_17840
ko:K01061	apg:APA12_17850
ko:K04078	apg:APA12_17860
ko:K04077	apg:APA12_17870
ko:K00973	apg:APA12_18070
ko:K00954	apg:APA12_24310
ko:K02469	apg:APA12_24320
ko:K00962	apg:APA12_24350
ko:K02956	apg:APA12_24360
ko:K02066	apg:APA12_24380
ko:K02065	apg:APA12_24390
ko:K06192	apg:APA12_24400
ko:K09857	apg:APA12_24410
ko:K03558	apg:APA12_24510
ko:K00764	apg:APA12_24520
ko:K09857	apg:APA12_24530
ko:K06192	apg:APA12_24540
ko:K03808	apg:APA12_24550
ko:K02109	apg:APA12_24590
ko:K02109	apg:APA12_24600
ko:K02110	apg:APA12_24610
ko:K02108	apg:APA12_24620
ko:K03110	apg:APA12_24640
ko:K01778	apg:APA12_24660
ko:K05592	apg:APA12_24690
ko:K02996	apg:APA12_24720
ko:K02871	apg:APA12_24730
ko:K02039	apg:APA12_24760
ko:K02036	apg:APA12_24770
ko:K02038	apg:APA12_24780
ko:K02037	apg:APA12_24790
ko:K01687	apg:APA12_24800
ko:K09768	apg:APA12_00030
ko:K07552	apg:APA12_00050
ko:K09791	apg:APA12_00070
ko:K07157	apg:APA12_00080
ko:K05838	apg:APA12_00090
ko:K03701	apg:APA12_00110
ko:K09384	apg:APA12_00140
ko:K09019	apg:APA12_00160
ko:K03789	apg:APA12_00180
ko:K01945	apg:APA12_00190
ko:K03601	apg:APA12_00200
ko:K00831	apg:APA12_00230
ko:K00325	apg:APA12_00260
ko:K00324	apg:APA12_00270
ko:K00324	apg:APA12_00280
ko:K00133	apg:APA12_00300
ko:K00242	apg:APA12_00320
ko:K00239	apg:APA12_00330
ko:K00240	apg:APA12_00340
ko:K00927	apg:APA12_00370
ko:K00134	apg:APA12_00380
ko:K00615	apg:APA12_00390
ko:K00643	apg:APA12_00410
ko:K00684	apg:APA12_09070
ko:K00982	apg:APA12_09120
ko:K03564	apg:APA12_09130
ko:K09760	apg:APA12_09170
ko:K02867	apg:APA12_09230
ko:K02863	apg:APA12_09240
ko:K02864	apg:APA12_09250
