ko:K16235	bbrc:B7019_1155
ko:K01523	bbrc:B7019_1116
ko:K01783	bbrc:B7019_1117
ko:K01695	bbrc:B7019_1119
ko:K01696	bbrc:B7019_1120
ko:K01151	bbrc:B7019_1122
ko:K04127	bbrc:B7019_1125
ko:K11939	bbrc:B7019_1133
ko:K01990	bbrc:B7019_1136
ko:K07154	bbrc:B7019_1149
ko:K02004	bbrc:B7019_2029
ko:K02003	bbrc:B7019_2030
ko:K10119	bbrc:B7019_2033
ko:K10118	bbrc:B7019_2034
ko:K10117	bbrc:B7019_2036
ko:K01421	bbrc:B7019_2040
ko:K01421	bbrc:B7019_2041
ko:K12410	bbrc:B7019_2044
ko:K01754	bbrc:B7019_2045
ko:K01182	bbrc:B7019_2046
ko:K01187	bbrc:B7019_2048
ko:K10119	bbrc:B7019_2049
ko:K10118	bbrc:B7019_2050
ko:K10117	bbrc:B7019_2051
ko:K10117	bbrc:B7019_2053
ko:K10119	bbrc:B7019_2056
ko:K10118	bbrc:B7019_2057
ko:K10117	bbrc:B7019_2058
ko:K07407	bbrc:B7019_2060
ko:K11991	bbrc:B7019_2061
ko:K03316	bbrc:B7019_2062
ko:K07090	bbrc:B7019_2063
ko:K06999	bbrc:B7019_2064
ko:K01494	bbrc:B7019_2066
ko:K03218	bbrc:B7019_2073
ko:K01792	bbrc:B7019_2074
ko:K00965	bbrc:B7019_2075
ko:K02029	bbrc:B7019_0482
ko:K02028	bbrc:B7019_0483
ko:K00820	bbrc:B7019_0484
ko:K06177	bbrc:B7019_0485
ko:K02025	bbrc:B7019_0487
ko:K02026	bbrc:B7019_0488
ko:K12308	bbrc:B7019_0489
ko:K02027	bbrc:B7019_0490
ko:K02027	bbrc:B7019_0491
ko:K03525	bbrc:B7019_0492
ko:K02035	bbrc:B7019_0493
ko:K02033	bbrc:B7019_0494
ko:K02034	bbrc:B7019_0495
ko:K01697	bbrc:B7019_0498
ko:K01739	bbrc:B7019_0499
ko:K03654	bbrc:B7019_0500
ko:K07173	bbrc:B7019_0501
ko:K03294	bbrc:B7019_0503
ko:K01775	bbrc:B7019_0504
ko:K01129	bbrc:B7019_0505
ko:K06215	bbrc:B7019_0509
ko:K08681	bbrc:B7019_0510
ko:K02027	bbrc:B7019_0517
ko:K01182	bbrc:B7019_0519
ko:K15580	bbrc:B7019_0521
ko:K12267	bbrc:B7019_0522
ko:K02003	bbrc:B7019_0523
ko:K01662	bbrc:B7019_0526
ko:K01588	bbrc:B7019_0528
ko:K01589	bbrc:B7019_0529
ko:K03711	bbrc:B7019_0530
ko:K02077	bbrc:B7019_0532
ko:K00128	bbrc:B7019_0534
ko:K01945	bbrc:B7019_0535
ko:K00058	bbrc:B7019_1450
ko:K07738	bbrc:B7019_1451
ko:K01356	bbrc:B7019_1453
ko:K16264	bbrc:B7019_1454
ko:K00016	bbrc:B7019_1455
ko:K03665	bbrc:B7019_1456
ko:K03578	bbrc:B7019_1458
ko:K01915	bbrc:B7019_1460
ko:K01814	bbrc:B7019_1462
ko:K01817	bbrc:B7019_1462
ko:K02501	bbrc:B7019_1463
ko:K01693	bbrc:B7019_1465
ko:K00817	bbrc:B7019_1466
ko:K00013	bbrc:B7019_1467
ko:K01512	bbrc:B7019_1468
ko:K02034	bbrc:B7019_1476
ko:K02033	bbrc:B7019_1477
ko:K02035	bbrc:B7019_1478
ko:K00384	bbrc:B7019_1480
ko:K10254	bbrc:B7019_1481
ko:K02337	bbrc:B7019_1484
ko:K06180	bbrc:B7019_1486
ko:K03101	bbrc:B7019_1487
ko:K02221	bbrc:B7019_1489
ko:K09772	bbrc:B7019_1490
ko:K03531	bbrc:B7019_1491
ko:K01880	bbrc:B7019_1493
ko:K01992	bbrc:B7019_1496
ko:K02803	bbrc:B7019_1919
ko:K02804	bbrc:B7019_1919
ko:K02004	bbrc:B7019_1128
ko:K11068	bbrc:B7019_0708
ko:K03466	bbrc:B7019_0711
ko:K00700	bbrc:B7019_0721
ko:K07736	bbrc:B7019_0722
ko:K01770	bbrc:B7019_0723
ko:K02075	bbrc:B7019_0724
ko:K02074	bbrc:B7019_0725
ko:K02077	bbrc:B7019_0726
ko:K01491	bbrc:B7019_0727
ko:K02945	bbrc:B7019_0728
ko:K00859	bbrc:B7019_0729
ko:K03702	bbrc:B7019_0730
ko:K05794	bbrc:B7019_0731
ko:K00873	bbrc:B7019_0732
ko:K01515	bbrc:B7019_0733
ko:K00800	bbrc:B7019_0745
ko:K00925	bbrc:B7019_0746
ko:K13788	bbrc:B7019_0747
ko:K00948	bbrc:B7019_0748
ko:K05995	bbrc:B7019_0753
ko:K01951	bbrc:B7019_0758
ko:K04042	bbrc:B7019_0760
ko:K09710	bbrc:B7019_0761
ko:K04069	bbrc:B7019_1663
ko:K06990	bbrc:B7019_1664
ko:K13288	bbrc:B7019_1666
ko:K00088	bbrc:B7019_1667
ko:K02851	bbrc:B7019_1668
ko:K01996	bbrc:B7019_1670
ko:K01995	bbrc:B7019_1671
ko:K01998	bbrc:B7019_1672
ko:K01997	bbrc:B7019_1673
ko:K01999	bbrc:B7019_1674
ko:K02493	bbrc:B7019_1675
ko:K02835	bbrc:B7019_1676
ko:K02909	bbrc:B7019_1677
ko:K01462	bbrc:B7019_1680
ko:K00845	bbrc:B7019_1684
ko:K10805	bbrc:B7019_1687
ko:K13940	bbrc:B7019_1689
ko:K00796	bbrc:B7019_1690
ko:K01495	bbrc:B7019_1691
ko:K03798	bbrc:B7019_1692
ko:K00760	bbrc:B7019_1693
ko:K04075	bbrc:B7019_1694
ko:K07259	bbrc:B7019_1695
ko:K01992	bbrc:B7019_1696
ko:K01990	bbrc:B7019_1697
ko:K00048	bbrc:B7019_1701
ko:K00574	bbrc:B7019_1702
ko:K03439	bbrc:B7019_1703
ko:K01673	bbrc:B7019_0029
ko:K03386	bbrc:B7019_0030
ko:K00384	bbrc:B7019_0031
ko:K01784	bbrc:B7019_0032
ko:K06330	bbrc:B7019_0037
ko:K03655	bbrc:B7019_0041
ko:K01595	bbrc:B7019_0043
ko:K01867	bbrc:B7019_0048
ko:K00688	bbrc:B7019_0054
ko:K01664	bbrc:B7019_0060
ko:K01278	bbrc:B7019_0068
ko:K01048	bbrc:B7019_0069
ko:K12267	bbrc:B7019_0075
ko:K11068	bbrc:B7019_0082
ko:K00773	bbrc:B7019_0083
ko:K08372	bbrc:B7019_0084
ko:K01304	bbrc:B7019_1869
ko:K08303	bbrc:B7019_1872
ko:K00554	bbrc:B7019_1873
ko:K08316	bbrc:B7019_1874
ko:K03655	bbrc:B7019_1875
ko:K02902	bbrc:B7019_1876
ko:K06902	bbrc:B7019_1878
ko:K11533	bbrc:B7019_1885
ko:K11263	bbrc:B7019_1887
ko:K03523	bbrc:B7019_1888
ko:K03524	bbrc:B7019_1889
ko:K02863	bbrc:B7019_1892
ko:K02867	bbrc:B7019_1893
ko:K02601	bbrc:B7019_1895
ko:K03073	bbrc:B7019_1896
ko:K00931	bbrc:B7019_1899
ko:K03979	bbrc:B7019_1900
ko:K02899	bbrc:B7019_1901
ko:K02888	bbrc:B7019_1902
ko:K01439	bbrc:B7019_1904
ko:K07088	bbrc:B7019_1905
ko:K02429	bbrc:B7019_1908
ko:K18333	bbrc:B7019_1909
ko:K18334	bbrc:B7019_1910
ko:K02003	bbrc:B7019_1913
ko:K06287	bbrc:B7019_1916
ko:K00872	bbrc:B7019_1917
ko:K00003	bbrc:B7019_1918
ko:K01744	bbrc:B7019_0315
ko:K00567	bbrc:B7019_0321
ko:K00997	bbrc:B7019_0322
ko:K02956	bbrc:B7019_0333
ko:K00962	bbrc:B7019_0334
ko:K03744	bbrc:B7019_0335
ko:K02860	bbrc:B7019_0344
ko:K06960	bbrc:B7019_0345
ko:K02959	bbrc:B7019_0346
ko:K03106	bbrc:B7019_0348
ko:K01883	bbrc:B7019_0350
ko:K01653	bbrc:B7019_0355
ko:K01652	bbrc:B7019_0356
ko:K03685	bbrc:B7019_0357
ko:K02911	bbrc:B7019_0358
ko:K07040	bbrc:B7019_0359
ko:K00954	bbrc:B7019_0361
ko:K00763	bbrc:B7019_0366
ko:K00989	bbrc:B7019_0367
ko:K02428	bbrc:B7019_0368
ko:K09704	bbrc:B7019_1208
ko:K02026	bbrc:B7019_1214
ko:K02025	bbrc:B7019_1215
ko:K02027	bbrc:B7019_1216
ko:K01191	bbrc:B7019_1217
ko:K01191	bbrc:B7019_1218
ko:K01191	bbrc:B7019_1219
ko:K07560	bbrc:B7019_1220
ko:K10947	bbrc:B7019_1238
ko:K04095	bbrc:B7019_1239
ko:K07729	bbrc:B7019_1241
ko:K03531	bbrc:B7019_1244
ko:K03767	bbrc:B7019_1253
ko:K00951	bbrc:B7019_1254
ko:K02469	bbrc:B7019_1259
ko:K02027	bbrc:B7019_1260
ko:K01933	bbrc:B7019_0536
ko:K00764	bbrc:B7019_0537
ko:K03315	bbrc:B7019_0542
ko:K01952	bbrc:B7019_0552
ko:K01923	bbrc:B7019_0553
ko:K08289	bbrc:B7019_0554
ko:K08969	bbrc:B7019_0555
ko:K01620	bbrc:B7019_0557
ko:K03453	bbrc:B7019_0558
ko:K02950	bbrc:B7019_0559
ko:K02992	bbrc:B7019_0560
ko:K02355	bbrc:B7019_0561
ko:K02358	bbrc:B7019_0562
ko:K06199	bbrc:B7019_0566
ko:K06199	bbrc:B7019_0567
ko:K07133	bbrc:B7019_0570
ko:K05970	bbrc:B7019_0572
ko:K05350	bbrc:B7019_0574
ko:K02035	bbrc:B7019_0575
ko:K02033	bbrc:B7019_0576
ko:K02034	bbrc:B7019_0577
ko:K01192	bbrc:B7019_0580
ko:K03701	bbrc:B7019_0588
ko:K07457	bbrc:B7019_0590
ko:K00878	bbrc:B7019_1499
ko:K03147	bbrc:B7019_1500
ko:K13525	bbrc:B7019_1501
ko:K00941	bbrc:B7019_1502
ko:K08369	bbrc:B7019_1504
ko:K02529	bbrc:B7019_1509
ko:K02532	bbrc:B7019_1511
ko:K01193	bbrc:B7019_1512
ko:K00886	bbrc:B7019_1513
ko:K07574	bbrc:B7019_1518
ko:K08972	bbrc:B7019_1519
ko:K07478	bbrc:B7019_1525
ko:K06895	bbrc:B7019_1529
ko:K10007	bbrc:B7019_1531
ko:K10006	bbrc:B7019_1532
ko:K10005	bbrc:B7019_1533
ko:K10008	bbrc:B7019_1534
ko:K01876	bbrc:B7019_1536
ko:K01892	bbrc:B7019_1537
ko:K01470	bbrc:B7019_1540
ko:K03762	bbrc:B7019_1541
ko:K01485	bbrc:B7019_1544
ko:K03696	bbrc:B7019_1545
ko:K03704	bbrc:B7019_1548
ko:K02484	bbrc:B7019_1549
ko:K04077	bbrc:B7019_1553
ko:K02073	bbrc:B7019_0764
ko:K02071	bbrc:B7019_0765
ko:K02072	bbrc:B7019_0766
ko:K01950	bbrc:B7019_0768
ko:K00656	bbrc:B7019_0770
ko:K04069	bbrc:B7019_0771
ko:K03684	bbrc:B7019_0773
ko:K03545	bbrc:B7019_0774
ko:K01358	bbrc:B7019_0777
ko:K01358	bbrc:B7019_0778
ko:K03544	bbrc:B7019_0779
ko:K14155	bbrc:B7019_0780
ko:K03313	bbrc:B7019_0781
ko:K06966	bbrc:B7019_0782
ko:K00240	bbrc:B7019_0784
ko:K00239	bbrc:B7019_0785
ko:K04096	bbrc:B7019_0786
ko:K07391	bbrc:B7019_0787
ko:K07460	bbrc:B7019_0788
ko:K00868	bbrc:B7019_0790
ko:K01740	bbrc:B7019_0791
ko:K02003	bbrc:B7019_0792
ko:K02004	bbrc:B7019_0793
ko:K00286	bbrc:B7019_0797
ko:K02030	bbrc:B7019_0798
ko:K02028	bbrc:B7019_0799
ko:K02029	bbrc:B7019_0800
ko:K02029	bbrc:B7019_0801
ko:K06942	bbrc:B7019_0802
ko:K00688	bbrc:B7019_0811
ko:K01443	bbrc:B7019_0812
ko:K02564	bbrc:B7019_0813
ko:K01792	bbrc:B7019_0816
ko:K01079	bbrc:B7019_1713
ko:K16209	bbrc:B7019_1719
ko:K01190	bbrc:B7019_1720
ko:K02529	bbrc:B7019_1721
ko:K02027	bbrc:B7019_1723
ko:K02004	bbrc:B7019_1728
ko:K02004	bbrc:B7019_1729
ko:K02003	bbrc:B7019_1730
ko:K01104	bbrc:B7019_1731
ko:K00831	bbrc:B7019_1739
ko:K02039	bbrc:B7019_1742
ko:K01834	bbrc:B7019_1743
ko:K02548	bbrc:B7019_1744
ko:K04567	bbrc:B7019_1745
ko:K01784	bbrc:B7019_1754
ko:K15533	bbrc:B7019_1756
ko:K02026	bbrc:B7019_1757
ko:K02025	bbrc:B7019_1758
ko:K02027	bbrc:B7019_1759
ko:K01875	bbrc:B7019_1760
ko:K03488	bbrc:B7019_1762
ko:K02755	bbrc:B7019_1763
ko:K02756	bbrc:B7019_1763
ko:K02757	bbrc:B7019_1763
ko:K01835	bbrc:B7019_1764
ko:K00528	bbrc:B7019_0087
ko:K03799	bbrc:B7019_0088
ko:K01624	bbrc:B7019_0091
ko:K01939	bbrc:B7019_0092
ko:K06199	bbrc:B7019_0094
ko:K06199	bbrc:B7019_0095
ko:K03484	bbrc:B7019_0098
ko:K00690	bbrc:B7019_0099
ko:K03484	bbrc:B7019_0101
ko:K00053	bbrc:B7019_0103
ko:K00053	bbrc:B7019_0104
ko:K01187	bbrc:B7019_0107
ko:K07284	bbrc:B7019_0112
ko:K00705	bbrc:B7019_0113
ko:K05343	bbrc:B7019_0114
ko:K15770	bbrc:B7019_0115
ko:K15771	bbrc:B7019_0116
ko:K15772	bbrc:B7019_0117
ko:K07025	bbrc:B7019_0119
ko:K04043	bbrc:B7019_0124
ko:K03687	bbrc:B7019_0125
ko:K03686	bbrc:B7019_0126
ko:K13640	bbrc:B7019_0127
ko:K00059	bbrc:B7019_0130
ko:K03975	bbrc:B7019_0132
ko:K02283	bbrc:B7019_0134
ko:K12510	bbrc:B7019_0135
ko:K02343	bbrc:B7019_0142
ko:K01897	bbrc:B7019_1004
ko:K00324	bbrc:B7019_1005
ko:K00324	bbrc:B7019_1006
ko:K00325	bbrc:B7019_1007
ko:K08177	bbrc:B7019_1008
ko:K02897	bbrc:B7019_1009
ko:K00826	bbrc:B7019_1010
ko:K02428	bbrc:B7019_1011
ko:K02968	bbrc:B7019_1013
ko:K03596	bbrc:B7019_1014
ko:K00265	bbrc:B7019_1018
ko:K00266	bbrc:B7019_1019
ko:K15580	bbrc:B7019_1021
ko:K16148	bbrc:B7019_1024
ko:K02013	bbrc:B7019_1025
ko:K03564	bbrc:B7019_1031
ko:K03707	bbrc:B7019_1037
ko:K06999	bbrc:B7019_1039
ko:K07442	bbrc:B7019_1040
ko:K08296	bbrc:B7019_1041
ko:K00549	bbrc:B7019_1043
ko:K01586	bbrc:B7019_1922
ko:K01887	bbrc:B7019_1923
ko:K00790	bbrc:B7019_1926
ko:K16957	bbrc:B7019_1928
ko:K16958	bbrc:B7019_1929
ko:K16959	bbrc:B7019_1930
ko:K01704	bbrc:B7019_1936
ko:K01810	bbrc:B7019_0370
ko:K01703	bbrc:B7019_1937
ko:K00937	bbrc:B7019_1940
ko:K02026	bbrc:B7019_1944
ko:K00761	bbrc:B7019_1945
ko:K00783	bbrc:B7019_1946
ko:K01885	bbrc:B7019_1948
ko:K03695	bbrc:B7019_1950
ko:K01854	bbrc:B7019_1956
ko:K08094	bbrc:B7019_1960
ko:K02057	bbrc:B7019_1961
ko:K02057	bbrc:B7019_1962
ko:K02056	bbrc:B7019_1963
ko:K02058	bbrc:B7019_1964
ko:K00854	bbrc:B7019_1965
ko:K12992	bbrc:B7019_1971
ko:K02049	bbrc:B7019_0371
ko:K02050	bbrc:B7019_0372
ko:K02884	bbrc:B7019_0373
ko:K03100	bbrc:B7019_0374
ko:K03470	bbrc:B7019_0375
ko:K01897	bbrc:B7019_0377
ko:K02027	bbrc:B7019_0381
ko:K02025	bbrc:B7019_0382
ko:K12308	bbrc:B7019_0383
ko:K07133	bbrc:B7019_0387
ko:K03322	bbrc:B7019_0388
ko:K01104	bbrc:B7019_0392
ko:K07506	bbrc:B7019_1261
ko:K03724	bbrc:B7019_1264
ko:K00852	bbrc:B7019_1265
ko:K02470	bbrc:B7019_1267
ko:K03086	bbrc:B7019_1268
ko:K13787	bbrc:B7019_1270
ko:K00655	bbrc:B7019_1272
ko:K00766	bbrc:B7019_1274
ko:K03070	bbrc:B7019_1275
ko:K03565	bbrc:B7019_1277
ko:K03743	bbrc:B7019_1281
ko:K00995	bbrc:B7019_1282
ko:K03466	bbrc:B7019_1283
ko:K04095	bbrc:B7019_1284
ko:K00791	bbrc:B7019_1285
ko:K06168	bbrc:B7019_1286
ko:K06890	bbrc:B7019_1289
ko:K01681	bbrc:B7019_1292
ko:K01142	bbrc:B7019_1298
ko:K02031	bbrc:B7019_1299
ko:K02032	bbrc:B7019_1299
ko:K15582	bbrc:B7019_1300
ko:K15581	bbrc:B7019_1301
ko:K15580	bbrc:B7019_1302
ko:K03733	bbrc:B7019_1303
ko:K02003	bbrc:B7019_1304
ko:K02004	bbrc:B7019_1305
ko:K04517	bbrc:B7019_1307
ko:K14170	bbrc:B7019_1308
ko:K06207	bbrc:B7019_1310
ko:K02003	bbrc:B7019_1312
ko:K01183	bbrc:B7019_0598
ko:K02069	bbrc:B7019_0600
ko:K02068	bbrc:B7019_0601
ko:K02356	bbrc:B7019_0602
ko:K03625	bbrc:B7019_0603
ko:K01956	bbrc:B7019_0604
ko:K01955	bbrc:B7019_0605
ko:K01591	bbrc:B7019_0606
ko:K00942	bbrc:B7019_0607
ko:K02342	bbrc:B7019_0608
ko:K06999	bbrc:B7019_0611
ko:K01760	bbrc:B7019_0612
ko:K01740	bbrc:B7019_0614
ko:K01776	bbrc:B7019_0618
ko:K01778	bbrc:B7019_0619
ko:K07053	bbrc:B7019_0621
ko:K03657	bbrc:B7019_0624
ko:K07177	bbrc:B7019_0626
ko:K00099	bbrc:B7019_0629
ko:K03584	bbrc:B7019_0632
ko:K00806	bbrc:B7019_0633
ko:K16784	bbrc:B7019_0637
ko:K01972	bbrc:B7019_0641
ko:K03593	bbrc:B7019_0642
ko:K01915	bbrc:B7019_0643
ko:K00382	bbrc:B7019_0645
ko:K16925	bbrc:B7019_0648
ko:K03704	bbrc:B7019_1554
ko:K03648	bbrc:B7019_1556
ko:K03924	bbrc:B7019_1557
ko:K07114	bbrc:B7019_1561
ko:K01756	bbrc:B7019_1565
ko:K03530	bbrc:B7019_1567
ko:K13571	bbrc:B7019_1568
ko:K01092	bbrc:B7019_1570
ko:K17195	bbrc:B7019_1572
ko:K02770	bbrc:B7019_1573
ko:K02769	bbrc:B7019_1574
ko:K02768	bbrc:B7019_1575
ko:K13527	bbrc:B7019_1579
ko:K01079	bbrc:B7019_1581
ko:K04066	bbrc:B7019_1582
ko:K07025	bbrc:B7019_1583
ko:K00604	bbrc:B7019_1584
ko:K01687	bbrc:B7019_1585
ko:K03060	bbrc:B7019_1586
ko:K00789	bbrc:B7019_1587
ko:K15342	bbrc:B7019_1593
ko:K01870	bbrc:B7019_1599
ko:K00852	bbrc:B7019_1600
ko:K03326	bbrc:B7019_1601
ko:K12700	bbrc:B7019_1602
ko:K02529	bbrc:B7019_1604
ko:K06147	bbrc:B7019_1605
ko:K06147	bbrc:B7019_1606
ko:K05349	bbrc:B7019_1608
ko:K06871	bbrc:B7019_0819
ko:K07090	bbrc:B7019_0820
ko:K07090	bbrc:B7019_0824
ko:K03306	bbrc:B7019_0833
ko:K07220	bbrc:B7019_0834
ko:K03655	bbrc:B7019_0841
ko:K17319	bbrc:B7019_0846
ko:K17320	bbrc:B7019_0847
ko:K17318	bbrc:B7019_0848
ko:K01201	bbrc:B7019_0849
ko:K05349	bbrc:B7019_0852
ko:K09136	bbrc:B7019_0858
ko:K05995	bbrc:B7019_0860
ko:K08281	bbrc:B7019_0861
ko:K03816	bbrc:B7019_0866
ko:K03657	bbrc:B7019_0867
ko:K02004	bbrc:B7019_0869
ko:K02003	bbrc:B7019_0870
ko:K02986	bbrc:B7019_0871
ko:K07010	bbrc:B7019_0872
ko:K01489	bbrc:B7019_0873
ko:K03469	bbrc:B7019_1768
ko:K01807	bbrc:B7019_1769
ko:K04485	bbrc:B7019_1772
ko:K11753	bbrc:B7019_1773
ko:K03177	bbrc:B7019_1774
ko:K02834	bbrc:B7019_1775
ko:K02519	bbrc:B7019_1776
ko:K02600	bbrc:B7019_1777
ko:K06173	bbrc:B7019_1782
ko:K02879	bbrc:B7019_1783
ko:K03040	bbrc:B7019_1784
ko:K02948	bbrc:B7019_1785
ko:K02952	bbrc:B7019_1786
ko:K02919	bbrc:B7019_1787
ko:K02518	bbrc:B7019_1788
ko:K00939	bbrc:B7019_1789
ko:K03076	bbrc:B7019_1790
ko:K02876	bbrc:B7019_1791
ko:K02907	bbrc:B7019_1792
ko:K02988	bbrc:B7019_1793
ko:K02881	bbrc:B7019_1794
ko:K02933	bbrc:B7019_1795
ko:K02994	bbrc:B7019_1796
ko:K02954	bbrc:B7019_1797
ko:K02931	bbrc:B7019_1798
ko:K02895	bbrc:B7019_1799
ko:K02874	bbrc:B7019_1800
