ko:K00632	sega:SPUCDC_0495
ko:K06079	sega:SPUCDC_0261
ko:K01881	sega:SPUCDC_0262
ko:K06080	sega:SPUCDC_0264
ko:K02073	sega:SPUCDC_0265
ko:K02072	sega:SPUCDC_0266
ko:K02071	sega:SPUCDC_0267
ko:K03273	sega:SPUCDC_0268
ko:K01792	sega:SPUCDC_1093
ko:K00134	sega:SPUCDC_1094
ko:K07305	sega:SPUCDC_1095
ko:K09916	sega:SPUCDC_1096
ko:K08369	sega:SPUCDC_1100
ko:K08281	sega:SPUCDC_1107
ko:K01424	sega:SPUCDC_1108
ko:K04773	sega:SPUCDC_1109
ko:K01008	sega:SPUCDC_1111
ko:K00262	sega:SPUCDC_1113
ko:K08320	sega:SPUCDC_1115
ko:K01142	sega:SPUCDC_1116
ko:K00840	sega:SPUCDC_1118
ko:K00673	sega:SPUCDC_1119
ko:K06447	sega:SPUCDC_1120
ko:K01484	sega:SPUCDC_1121
ko:K05526	sega:SPUCDC_1122
ko:K05984	sega:SPUCDC_1125
ko:K01916	sega:SPUCDC_1127
ko:K04064	sega:SPUCDC_1128
ko:K02760	sega:SPUCDC_1129
ko:K02761	sega:SPUCDC_1130
ko:K02759	sega:SPUCDC_1131
ko:K03490	sega:SPUCDC_1132
ko:K01222	sega:SPUCDC_1133
ko:K03478	sega:SPUCDC_1134
ko:K03781	sega:SPUCDC_1135
ko:K15722	sega:SPUCDC_1136
ko:K06956	sega:SPUCDC_1137
ko:K07038	sega:SPUCDC_1138
ko:K16370	sega:SPUCDC_1143
ko:K13085	sega:SPUCDC_1952
ko:K11179	sega:SPUCDC_1957
ko:K01512	sega:SPUCDC_1958
ko:K06910	sega:SPUCDC_1960
ko:K06969	sega:SPUCDC_1961
ko:K11940	sega:SPUCDC_1962
ko:K06929	sega:SPUCDC_1963
ko:K09909	sega:SPUCDC_1964
ko:K01734	sega:SPUCDC_1965
ko:K03658	sega:SPUCDC_1966
ko:K07343	sega:SPUCDC_1969
ko:K03286	sega:SPUCDC_1971
ko:K09911	sega:SPUCDC_1972
ko:K04770	sega:SPUCDC_1973
ko:K01716	sega:SPUCDC_1974
ko:K09857	sega:SPUCDC_1976
ko:K06192	sega:SPUCDC_1977
ko:K03808	sega:SPUCDC_1978
ko:K15738	sega:SPUCDC_1979
ko:K12297	sega:SPUCDC_1980
ko:K07140	sega:SPUCDC_1981
ko:K01256	sega:SPUCDC_1984
ko:K00763	sega:SPUCDC_1985
ko:K03310	sega:SPUCDC_1986
ko:K01751	sega:SPUCDC_1988
ko:K01893	sega:SPUCDC_1991
ko:K09476	sega:SPUCDC_1994
ko:K00813	sega:SPUCDC_1995
ko:K03632	sega:SPUCDC_1999
ko:K03804	sega:SPUCDC_2000
ko:K03633	sega:SPUCDC_2001
ko:K06219	sega:SPUCDC_2002
ko:K03543	sega:SPUCDC_2798
ko:K07173	sega:SPUCDC_2802
ko:K02573	sega:SPUCDC_0633
ko:K02574	sega:SPUCDC_0634
ko:K02568	sega:SPUCDC_0635
ko:K02569	sega:SPUCDC_0636
ko:K02194	sega:SPUCDC_0638
ko:K02567	sega:SPUCDC_0632
ko:K02195	sega:SPUCDC_0639
ko:K02196	sega:SPUCDC_0640
ko:K02197	sega:SPUCDC_0641
ko:K02198	sega:SPUCDC_0642
ko:K02199	sega:SPUCDC_0643
ko:K07685	sega:SPUCDC_0646
ko:K07014	sega:SPUCDC_0656
ko:K09904	sega:SPUCDC_0657
ko:K06899	sega:SPUCDC_0658
ko:K03778	sega:SPUCDC_1463
ko:K03737	sega:SPUCDC_1467
ko:K14061	sega:SPUCDC_1468
ko:K14058	sega:SPUCDC_1472
ko:K05591	sega:SPUCDC_1473
ko:K16074	sega:SPUCDC_1474
ko:K00567	sega:SPUCDC_1479
ko:K14055	sega:SPUCDC_1481
ko:K16052	sega:SPUCDC_1483
ko:K15580	sega:SPUCDC_1487
ko:K14054	sega:SPUCDC_1488
ko:K11065	sega:SPUCDC_1490
ko:K03721	sega:SPUCDC_1491
ko:K08990	sega:SPUCDC_1492
ko:K06918	sega:SPUCDC_1493
ko:K03972	sega:SPUCDC_1494
ko:K03971	sega:SPUCDC_1495
ko:K03970	sega:SPUCDC_1497
ko:K03969	sega:SPUCDC_1498
ko:K03974	sega:SPUCDC_1499
ko:K00208	sega:SPUCDC_1509
ko:K01147	sega:SPUCDC_1511
ko:K14051	sega:SPUCDC_1512
ko:K04062	sega:SPUCDC_1515
ko:K03113	sega:SPUCDC_1516
ko:K06199	sega:SPUCDC_2318
ko:K03704	sega:SPUCDC_2319
ko:K12973	sega:SPUCDC_2320
ko:K03326	sega:SPUCDC_2321
ko:K07702	sega:SPUCDC_2322
ko:K07700	sega:SPUCDC_2323
ko:K01910	sega:SPUCDC_2326
ko:K01646	sega:SPUCDC_2327
ko:K01644	sega:SPUCDC_2328
ko:K01643	sega:SPUCDC_2329
ko:K05964	sega:SPUCDC_2330
ko:K05966	sega:SPUCDC_2331
ko:K01169	sega:SPUCDC_2333
ko:K06140	sega:SPUCDC_2334
ko:K11932	sega:SPUCDC_2338
ko:K03387	sega:SPUCDC_2343
ko:K00788	sega:SPUCDC_3407
ko:K03148	sega:SPUCDC_3408
ko:K03154	sega:SPUCDC_3409
ko:K03149	sega:SPUCDC_3410
ko:K03150	sega:SPUCDC_3411
ko:K03046	sega:SPUCDC_3418
ko:K03043	sega:SPUCDC_3419
ko:K02935	sega:SPUCDC_3420
ko:K02864	sega:SPUCDC_3421
ko:K02863	sega:SPUCDC_3422
ko:K02867	sega:SPUCDC_3423
ko:K02601	sega:SPUCDC_3424
ko:K03073	sega:SPUCDC_3425
ko:K02358	sega:SPUCDC_3426
ko:K09823	sega:SPUCDC_4217
ko:K05539	sega:SPUCDC_4219
ko:K01775	sega:SPUCDC_4223
ko:K00832	sega:SPUCDC_4225
ko:K03788	sega:SPUCDC_4226
ko:K03701	sega:SPUCDC_4231
ko:K13631	sega:SPUCDC_4243
ko:K13639	sega:SPUCDC_4244
ko:K00799	sega:SPUCDC_4245
ko:K06901	sega:SPUCDC_4246
ko:K03316	sega:SPUCDC_4247
ko:K14393	sega:SPUCDC_4251
ko:K01895	sega:SPUCDC_4253
ko:K03385	sega:SPUCDC_4254
ko:K04013	sega:SPUCDC_4255
ko:K04014	sega:SPUCDC_4256
ko:K04015	sega:SPUCDC_4257
ko:K04016	sega:SPUCDC_4258
ko:K04018	sega:SPUCDC_4260
ko:K11102	sega:SPUCDC_4261
ko:K07126	sega:SPUCDC_4262
ko:K09994	sega:SPUCDC_4265
ko:K04750	sega:SPUCDC_4266
ko:K06193	sega:SPUCDC_4267
ko:K03762	sega:SPUCDC_4268
ko:K07643	sega:SPUCDC_4269
ko:K07771	sega:SPUCDC_4270
ko:K03760	sega:SPUCDC_4271
ko:K01919	sega:SPUCDC_2803
ko:K03563	sega:SPUCDC_2806
ko:K01872	sega:SPUCDC_2807
ko:K03565	sega:SPUCDC_2808
ko:K03743	sega:SPUCDC_2810
ko:K02783	sega:SPUCDC_2812
ko:K02782	sega:SPUCDC_2813
ko:K02783	sega:SPUCDC_2813
ko:K02781	sega:SPUCDC_2814
ko:K00068	sega:SPUCDC_2815
ko:K02466	sega:SPUCDC_2816
ko:K02468	sega:SPUCDC_2817
ko:K02467	sega:SPUCDC_2818
ko:K12266	sega:SPUCDC_2819
ko:K12264	sega:SPUCDC_2820
ko:K04656	sega:SPUCDC_2822
ko:K05796	sega:SPUCDC_2823
ko:K08315	sega:SPUCDC_2826
ko:K15834	sega:SPUCDC_2827
ko:K15832	sega:SPUCDC_2828
ko:K15831	sega:SPUCDC_2829
ko:K15830	sega:SPUCDC_2830
ko:K15829	sega:SPUCDC_2831
ko:K15828	sega:SPUCDC_2832
ko:K15827	sega:SPUCDC_2833
ko:K15833	sega:SPUCDC_2835
ko:K04651	sega:SPUCDC_2837
ko:K04652	sega:SPUCDC_2838
ko:K04653	sega:SPUCDC_2839
ko:K04654	sega:SPUCDC_2840
ko:K04655	sega:SPUCDC_2841
ko:K15836	sega:SPUCDC_2842
ko:K11604	sega:SPUCDC_2844
ko:K11607	sega:SPUCDC_2845
ko:K07560	sega:SPUCDC_3629
ko:K07058	sega:SPUCDC_3630
ko:K08318	sega:SPUCDC_3635
ko:K01671	sega:SPUCDC_3636
ko:K15922	sega:SPUCDC_3639
ko:K06207	sega:SPUCDC_3649
ko:K01915	sega:SPUCDC_3650
ko:K07708	sega:SPUCDC_3651
ko:K07712	sega:SPUCDC_3652
ko:K03978	sega:SPUCDC_3656
ko:K03673	sega:SPUCDC_3660
ko:K09896	sega:SPUCDC_3662
ko:K03752	sega:SPUCDC_3663
ko:K03753	sega:SPUCDC_3664
ko:K02529	sega:SPUCDC_3667
ko:K00852	sega:SPUCDC_3668
ko:K10439	sega:SPUCDC_3669
ko:K10440	sega:SPUCDC_3670
ko:K10441	sega:SPUCDC_3671
ko:K06726	sega:SPUCDC_3672
ko:K03549	sega:SPUCDC_3673
ko:K03924	sega:SPUCDC_3674
ko:K01154	sega:SPUCDC_4499
ko:K03427	sega:SPUCDC_4500
ko:K03427	sega:SPUCDC_4502
ko:K09803	sega:SPUCDC_4505
ko:K01002	sega:SPUCDC_4519
ko:K02317	sega:SPUCDC_4522
ko:K13255	sega:SPUCDC_4529
ko:K00564	sega:SPUCDC_4532
ko:K02344	sega:SPUCDC_4533
ko:K03789	sega:SPUCDC_4534
ko:K08723	sega:SPUCDC_4535
ko:K02837	sega:SPUCDC_4536
ko:K03424	sega:SPUCDC_4541
ko:K03805	sega:SPUCDC_2345
ko:K14287	sega:SPUCDC_2349
ko:K08317	sega:SPUCDC_2350
ko:K06200	sega:SPUCDC_2352
ko:K00216	sega:SPUCDC_2354
ko:K01252	sega:SPUCDC_2355
ko:K02363	sega:SPUCDC_2356
ko:K02361	sega:SPUCDC_2357
ko:K02016	sega:SPUCDC_2358
ko:K08225	sega:SPUCDC_2359
ko:K02015	sega:SPUCDC_2360
ko:K02015	sega:SPUCDC_2361
ko:K02013	sega:SPUCDC_2362
ko:K02364	sega:SPUCDC_2364
ko:K07214	sega:SPUCDC_2366
ko:K02362	sega:SPUCDC_2369
ko:K00655	sega:SPUCDC_3168
ko:K02621	sega:SPUCDC_3169
ko:K13652	sega:SPUCDC_3170
ko:K07666	sega:SPUCDC_3172
ko:K03923	sega:SPUCDC_3175
ko:K02622	sega:SPUCDC_3178
ko:K07000	sega:SPUCDC_3179
ko:K03651	sega:SPUCDC_3180
ko:K09920	sega:SPUCDC_3181
ko:K01515	sega:SPUCDC_3182
ko:K12340	sega:SPUCDC_3183
ko:K07238	sega:SPUCDC_3187
ko:K03673	sega:SPUCDC_3190
ko:K03611	sega:SPUCDC_3191
ko:K02858	sega:SPUCDC_3192
ko:K09806	sega:SPUCDC_3194
ko:K03272	sega:SPUCDC_3199
ko:K00982	sega:SPUCDC_3200
ko:K07184	sega:SPUCDC_3202
ko:K00974	sega:SPUCDC_3203
ko:K06153	sega:SPUCDC_3204
ko:K01633	sega:SPUCDC_3205
ko:K08591	sega:SPUCDC_3206
ko:K01409	sega:SPUCDC_3207
ko:K02970	sega:SPUCDC_3208
ko:K03086	sega:SPUCDC_3210
ko:K03386	sega:SPUCDC_2344
ko:K03649	sega:SPUCDC_3211
ko:K07229	sega:SPUCDC_3212
ko:K03776	sega:SPUCDC_3215
ko:K09251	sega:SPUCDC_3217
ko:K00219	sega:SPUCDC_3218
ko:K11391	sega:SPUCDC_3219
ko:K07043	sega:SPUCDC_3220
ko:K01998	sega:SPUCDC_4002
ko:K01995	sega:SPUCDC_4003
ko:K01996	sega:SPUCDC_4004
ko:K07341	sega:SPUCDC_4007
ko:K05813	sega:SPUCDC_4008
ko:K05814	sega:SPUCDC_4009
ko:K05815	sega:SPUCDC_4010
ko:K05816	sega:SPUCDC_4011
ko:K01126	sega:SPUCDC_4012
ko:K07048	sega:SPUCDC_4015
ko:K09936	sega:SPUCDC_4016
ko:K03825	sega:SPUCDC_4020
ko:K06911	sega:SPUCDC_4022
ko:K06145	sega:SPUCDC_4023
ko:K00851	sega:SPUCDC_4024
ko:K06156	sega:SPUCDC_4025
ko:K00133	sega:SPUCDC_4026
ko:K00975	sega:SPUCDC_4030
ko:K00688	sega:SPUCDC_4032
ko:K01687	sega:SPUCDC_4035
ko:K00005	sega:SPUCDC_4037
ko:K02040	sega:SPUCDC_4038
ko:K00111	sega:SPUCDC_4040
ko:K02439	sega:SPUCDC_4041
ko:K02441	sega:SPUCDC_4042
ko:K02444	sega:SPUCDC_4043
ko:K14414	sega:SPUCDC_4044
ko:K14415	sega:SPUCDC_4046
ko:K01974	sega:SPUCDC_4047
ko:K03556	sega:SPUCDC_4050
ko:K00688	sega:SPUCDC_4051
ko:K00705	sega:SPUCDC_4052
ko:K06155	sega:SPUCDC_4053
ko:K07400	sega:SPUCDC_4054
ko:K10558	sega:SPUCDC_3576
ko:K01682	sega:SPUCDC_0171
ko:K09910	sega:SPUCDC_0175
ko:K02526	sega:SPUCDC_0177
ko:K01611	sega:SPUCDC_0181
ko:K00797	sega:SPUCDC_0182
ko:K14588	sega:SPUCDC_0184
ko:K00117	sega:SPUCDC_0185
ko:K00760	sega:SPUCDC_0186
ko:K01673	sega:SPUCDC_0187
ko:K01990	sega:SPUCDC_0188
ko:K01992	sega:SPUCDC_0189
ko:K01579	sega:SPUCDC_0196
ko:K01918	sega:SPUCDC_0197
ko:K00606	sega:SPUCDC_0198
ko:K00950	sega:SPUCDC_0199
ko:K00970	sega:SPUCDC_0200
ko:K01894	sega:SPUCDC_0201
ko:K06204	sega:SPUCDC_0202
ko:K06206	sega:SPUCDC_0203
ko:K01975	sega:SPUCDC_0204
ko:K03579	sega:SPUCDC_0205
ko:K05365	sega:SPUCDC_0206
ko:K02014	sega:SPUCDC_0208
ko:K02013	sega:SPUCDC_0209
ko:K02016	sega:SPUCDC_0210
ko:K02015	sega:SPUCDC_0211
ko:K01845	sega:SPUCDC_0220
ko:K07660	sega:SPUCDC_1035
ko:K01756	sega:SPUCDC_1036
ko:K07153	sega:SPUCDC_1037
ko:K00566	sega:SPUCDC_1038
ko:K12152	sega:SPUCDC_1039
ko:K06181	sega:SPUCDC_1041
ko:K00031	sega:SPUCDC_1042
ko:K07804	sega:SPUCDC_1050
ko:K04080	sega:SPUCDC_1054
ko:K02035	sega:SPUCDC_1059
ko:K02033	sega:SPUCDC_1060
ko:K02034	sega:SPUCDC_1061
ko:K04093	sega:SPUCDC_1071
ko:K11250	sega:SPUCDC_1072
ko:K09712	sega:SPUCDC_1080
ko:K03449	sega:SPUCDC_1084
ko:K11893	sega:SPUCDC_1897
ko:K11892	sega:SPUCDC_1898
ko:K11907	sega:SPUCDC_1899
ko:K11909	sega:SPUCDC_1900
ko:K11910	sega:SPUCDC_1901
ko:K11891	sega:SPUCDC_1902
ko:K11911	sega:SPUCDC_1903
ko:K06887	sega:SPUCDC_1904
ko:K01788	sega:SPUCDC_1914
ko:K03307	sega:SPUCDC_1915
ko:K13821	sega:SPUCDC_1920
ko:K03809	sega:SPUCDC_1924
ko:K01085	sega:SPUCDC_1926
ko:K08344	sega:SPUCDC_1929
ko:K05516	sega:SPUCDC_1931
ko:K02508	sega:SPUCDC_1935
ko:K02511	sega:SPUCDC_1936
ko:K02510	sega:SPUCDC_1937
ko:K02509	sega:SPUCDC_1938
ko:K01826	sega:SPUCDC_1939
ko:K00455	sega:SPUCDC_1940
ko:K05921	sega:SPUCDC_1942
ko:K00484	sega:SPUCDC_1945
ko:K07127	sega:SPUCDC_1946
ko:K12543	sega:SPUCDC_2743
ko:K12542	sega:SPUCDC_2745
ko:K07017	sega:SPUCDC_2754
ko:K09824	sega:SPUCDC_2758
ko:K07241	sega:SPUCDC_2762
ko:K07649	sega:SPUCDC_2763
ko:K07795	sega:SPUCDC_2765
ko:K07793	sega:SPUCDC_2767
ko:K15737	sega:SPUCDC_2769
ko:K00135	sega:SPUCDC_2771
ko:K11735	sega:SPUCDC_2773
ko:K15735	sega:SPUCDC_2774
ko:K03647	sega:SPUCDC_2789
ko:K02000	sega:SPUCDC_2792
ko:K02002	sega:SPUCDC_2794
ko:K15974	sega:SPUCDC_2797
ko:K10555	sega:SPUCDC_3572
ko:K10557	sega:SPUCDC_3573
ko:K10556	sega:SPUCDC_3574
ko:K01572	sega:SPUCDC_0058
ko:K01571	sega:SPUCDC_0059
ko:K01573	sega:SPUCDC_0060
ko:K01910	sega:SPUCDC_0062
ko:K01646	sega:SPUCDC_0063
ko:K01643	sega:SPUCDC_0065
ko:K05964	sega:SPUCDC_0066
ko:K05966	sega:SPUCDC_0067
ko:K00215	sega:SPUCDC_0068
ko:K01956	sega:SPUCDC_0071
ko:K01955	sega:SPUCDC_0072
ko:K11531	sega:SPUCDC_3577
ko:K00847	sega:SPUCDC_3584
ko:K01521	sega:SPUCDC_3586
ko:K02048	sega:SPUCDC_3587
ko:K00850	sega:SPUCDC_3588
ko:K13283	sega:SPUCDC_3589
ko:K06006	sega:SPUCDC_3590
ko:K07640	sega:SPUCDC_3592
ko:K04564	sega:SPUCDC_3596
ko:K02856	sega:SPUCDC_3603
ko:K02854	sega:SPUCDC_3604
ko:K02855	sega:SPUCDC_3605
ko:K00848	sega:SPUCDC_3606
ko:K01813	sega:SPUCDC_3607
ko:K01629	sega:SPUCDC_3608
ko:K03534	sega:SPUCDC_3610
ko:K02379	sega:SPUCDC_3617
ko:K00124	sega:SPUCDC_3619
ko:K00127	sega:SPUCDC_3620
ko:K02380	sega:SPUCDC_3621
ko:K03828	sega:SPUCDC_4436
ko:K01873	sega:SPUCDC_4438
ko:K02339	sega:SPUCDC_4439
ko:K01255	sega:SPUCDC_4440
ko:K07091	sega:SPUCDC_4441
ko:K11720	sega:SPUCDC_4442
ko:K06146	sega:SPUCDC_4443
ko:K00098	sega:SPUCDC_4446
ko:K00851	sega:SPUCDC_4447
ko:K12957	sega:SPUCDC_4448
ko:K09982	sega:SPUCDC_4473
ko:K13637	sega:SPUCDC_4480
ko:K01867	sega:SPUCDC_4481
ko:K06887	sega:SPUCDC_4483
ko:K01779	sega:SPUCDC_4485
ko:K01305	sega:SPUCDC_4487
ko:K01247	sega:SPUCDC_0770
ko:K08277	sega:SPUCDC_0073
ko:K08279	sega:SPUCDC_0074
ko:K08299	sega:SPUCDC_0075
ko:K02182	sega:SPUCDC_0076
ko:K08298	sega:SPUCDC_0077
ko:K08297	sega:SPUCDC_0078
ko:K05245	sega:SPUCDC_0079
ko:K03521	sega:SPUCDC_0081
ko:K03522	sega:SPUCDC_0082
ko:K00313	sega:SPUCDC_0083
ko:K03855	sega:SPUCDC_0084
ko:K08368	sega:SPUCDC_0085
ko:K11746	sega:SPUCDC_0090
ko:K01525	sega:SPUCDC_0093
ko:K06195	sega:SPUCDC_0094
ko:K02528	sega:SPUCDC_0095
ko:K00097	sega:SPUCDC_0096
ko:K03771	sega:SPUCDC_0097
ko:K04744	sega:SPUCDC_0098
ko:K05801	sega:SPUCDC_0100
ko:K06177	sega:SPUCDC_0101
ko:K03580	sega:SPUCDC_0102
ko:K02336	sega:SPUCDC_0103
ko:K01804	sega:SPUCDC_0107
ko:K00853	sega:SPUCDC_0108
ko:K02099	sega:SPUCDC_0109
ko:K02062	sega:SPUCDC_0111
ko:K02063	sega:SPUCDC_0112
ko:K12972	sega:SPUCDC_0933
ko:K04477	sega:SPUCDC_0935
ko:K06214	sega:SPUCDC_0938
ko:K04338	sega:SPUCDC_0939
ko:K04337	sega:SPUCDC_0940
ko:K04335	sega:SPUCDC_0942
ko:K04334	sega:SPUCDC_0943
ko:K04336	sega:SPUCDC_0944
ko:K11941	sega:SPUCDC_0948
ko:K03670	sega:SPUCDC_0949
ko:K03669	sega:SPUCDC_0950
ko:K08161	sega:SPUCDC_0953
ko:K02517	sega:SPUCDC_0954
ko:K07146	sega:SPUCDC_0955
ko:K02846	sega:SPUCDC_0960
ko:K12148	sega:SPUCDC_0961
ko:K12149	sega:SPUCDC_0962
ko:K01465	sega:SPUCDC_0963
ko:K03675	sega:SPUCDC_0965
ko:K08162	sega:SPUCDC_0966
ko:K03790	sega:SPUCDC_0967
ko:K02064	sega:SPUCDC_0113
ko:K11925	sega:SPUCDC_0115
ko:K01704	sega:SPUCDC_0118
ko:K01703	sega:SPUCDC_0119
ko:K00052	sega:SPUCDC_0120
ko:K05798	sega:SPUCDC_0122
ko:K01653	sega:SPUCDC_0124
ko:K03435	sega:SPUCDC_0126
ko:K03925	sega:SPUCDC_0127
ko:K03438	sega:SPUCDC_0128
ko:K03586	sega:SPUCDC_0129
ko:K03587	sega:SPUCDC_0130
ko:K01928	sega:SPUCDC_0131
ko:K01929	sega:SPUCDC_0132
ko:K01000	sega:SPUCDC_0133
ko:K01925	sega:SPUCDC_0134
ko:K03588	sega:SPUCDC_0135
ko:K02563	sega:SPUCDC_0136
ko:K01494	sega:SPUCDC_0774
ko:K07289	sega:SPUCDC_0775
ko:K01991	sega:SPUCDC_0779
ko:K01104	sega:SPUCDC_0780
ko:K16692	sega:SPUCDC_0781
ko:K03819	sega:SPUCDC_0783
ko:K13684	sega:SPUCDC_0784
ko:K13620	sega:SPUCDC_0785
ko:K13683	sega:SPUCDC_0786
ko:K03818	sega:SPUCDC_0787
ko:K01711	sega:SPUCDC_0788
ko:K02377	sega:SPUCDC_0789
ko:K03207	sega:SPUCDC_0790
ko:K03208	sega:SPUCDC_0791
ko:K03606	sega:SPUCDC_0794
ko:K16695	sega:SPUCDC_0795
ko:K16710	sega:SPUCDC_0796
ko:K16703	sega:SPUCDC_0797
ko:K00963	sega:SPUCDC_0799
ko:K00067	sega:SPUCDC_0801
ko:K00973	sega:SPUCDC_0802
ko:K01790	sega:SPUCDC_0803
ko:K00978	sega:SPUCDC_0805
ko:K01709	sega:SPUCDC_0806
ko:K12452	sega:SPUCDC_0807
ko:K12454	sega:SPUCDC_0809
ko:K13005	sega:SPUCDC_0811
ko:K12992	sega:SPUCDC_0813
ko:K00033	sega:SPUCDC_0817
ko:K00012	sega:SPUCDC_0818
ko:K05789	sega:SPUCDC_0819
ko:K11755	sega:SPUCDC_0820
ko:K02500	sega:SPUCDC_0821
ko:K01814	sega:SPUCDC_0822
ko:K02501	sega:SPUCDC_0823
ko:K09160	sega:SPUCDC_1628
ko:K09902	sega:SPUCDC_1630
ko:K03610	sega:SPUCDC_1631
ko:K03609	sega:SPUCDC_1632
ko:K03608	sega:SPUCDC_1633
ko:K03684	sega:SPUCDC_1634
ko:K07285	sega:SPUCDC_1636
ko:K09917	sega:SPUCDC_1640
ko:K01665	sega:SPUCDC_1641
ko:K01752	sega:SPUCDC_1643
ko:K02793	sega:SPUCDC_1647
ko:K02794	sega:SPUCDC_1647
ko:K02795	sega:SPUCDC_1648
ko:K00563	sega:SPUCDC_1652
ko:K03587	sega:SPUCDC_1653
ko:K03704	sega:SPUCDC_1654
ko:K08169	sega:SPUCDC_1660
ko:K03799	sega:SPUCDC_1661
ko:K03797	sega:SPUCDC_1662
ko:K03607	sega:SPUCDC_1663
ko:K03808	sega:SPUCDC_1665
ko:K11392	sega:SPUCDC_1667
ko:K13741	sega:SPUCDC_1675
ko:K02919	sega:SPUCDC_2480
ko:K02909	sega:SPUCDC_2481
ko:K07443	sega:SPUCDC_2483
ko:K09914	sega:SPUCDC_2484
ko:K10805	sega:SPUCDC_2485
ko:K03320	sega:SPUCDC_2486
ko:K04752	sega:SPUCDC_2487
ko:K05800	sega:SPUCDC_2491
ko:K01738	sega:SPUCDC_2492
ko:K11938	sega:SPUCDC_2493
ko:K06920	sega:SPUCDC_2495
ko:K12500	sega:SPUCDC_2497
ko:K02237	sega:SPUCDC_2498
ko:K03770	sega:SPUCDC_2499
ko:K03530	sega:SPUCDC_2500
ko:K01338	sega:SPUCDC_2501
ko:K03544	sega:SPUCDC_2502
ko:K01358	sega:SPUCDC_2503
ko:K03545	sega:SPUCDC_2504
ko:K05527	sega:SPUCDC_2505
ko:K07286	sega:SPUCDC_2507
ko:K08218	sega:SPUCDC_2508
ko:K02297	sega:SPUCDC_2510
ko:K02298	sega:SPUCDC_2511
ko:K02299	sega:SPUCDC_2512
ko:K02300	sega:SPUCDC_2513
ko:K09767	sega:SPUCDC_2518
ko:K00077	sega:SPUCDC_2519
ko:K03152	sega:SPUCDC_2520
ko:K05306	sega:SPUCDC_2521
ko:K03430	sega:SPUCDC_2522
ko:K11081	sega:SPUCDC_2524
ko:K11084	sega:SPUCDC_2525
ko:K11083	sega:SPUCDC_2526
ko:K11082	sega:SPUCDC_2527
ko:K03151	sega:SPUCDC_2528
ko:K10974	sega:SPUCDC_3329
ko:K00885	sega:SPUCDC_3332
ko:K01788	sega:SPUCDC_3333
ko:K03290	sega:SPUCDC_3334
ko:K01639	sega:SPUCDC_3335
ko:K03600	sega:SPUCDC_3337
ko:K03599	sega:SPUCDC_3338
ko:K02996	sega:SPUCDC_3340
ko:K02871	sega:SPUCDC_3341
ko:K06916	sega:SPUCDC_3342
ko:K09908	sega:SPUCDC_3343
ko:K04691	sega:SPUCDC_3345
ko:K01572	sega:SPUCDC_3347
ko:K01571	sega:SPUCDC_3348
ko:K01573	sega:SPUCDC_3349
ko:K03780	sega:SPUCDC_3350
ko:K00024	sega:SPUCDC_3355
ko:K03402	sega:SPUCDC_3356
ko:K03623	sega:SPUCDC_3359
ko:K03468	sega:SPUCDC_3360
