ko:K01212	bqy:MUS_4457
ko:K01633	bqy:MUS_0086
ko:K00950	bqy:MUS_0087
ko:K07118	bqy:MUS_0490
ko:K10255	bqy:MUS_0493
ko:K03704	bqy:MUS_0495
ko:K07736	bqy:MUS_0496
ko:K07090	bqy:MUS_0502
ko:K01779	bqy:MUS_0503
ko:K01751	bqy:MUS_0508
ko:K03837	bqy:MUS_0511
ko:K03704	bqy:MUS_0945
ko:K02073	bqy:MUS_0946
ko:K06956	bqy:MUS_0948
ko:K06180	bqy:MUS_0958
ko:K02440	bqy:MUS_0966
ko:K00864	bqy:MUS_0967
ko:K00111	bqy:MUS_0968
ko:K13771	bqy:MUS_0976
ko:K02759	bqy:MUS_4250
ko:K02761	bqy:MUS_4251
ko:K02760	bqy:MUS_4252
ko:K03652	bqy:MUS_4255
ko:K02015	bqy:MUS_4256
ko:K02015	bqy:MUS_4258
ko:K02016	bqy:MUS_4259
ko:K03893	bqy:MUS_4261
ko:K02760	bqy:MUS_4262
ko:K02759	bqy:MUS_4263
ko:K02761	bqy:MUS_4264
ko:K00847	bqy:MUS_4266
ko:K01809	bqy:MUS_4267
ko:K03781	bqy:MUS_4269
ko:K01442	bqy:MUS_4270
ko:K00426	bqy:MUS_4276
ko:K00425	bqy:MUS_4277
ko:K00563	bqy:MUS_4296
ko:K03781	bqy:MUS_4302
ko:K03300	bqy:MUS_4303
ko:K02994	bqy:MUS_0137
ko:K02933	bqy:MUS_0138
ko:K02881	bqy:MUS_0139
ko:K02988	bqy:MUS_0140
ko:K02907	bqy:MUS_0141
ko:K02876	bqy:MUS_0143
ko:K03076	bqy:MUS_0144
ko:K01265	bqy:MUS_0146
ko:K02952	bqy:MUS_0147
ko:K03040	bqy:MUS_0148
ko:K06173	bqy:MUS_0152
ko:K01448	bqy:MUS_0156
ko:K06294	bqy:MUS_0158
ko:K06349	bqy:MUS_0159
ko:K07090	bqy:MUS_0572
ko:K07246	bqy:MUS_0579
ko:K03449	bqy:MUS_0592
ko:K07217	bqy:MUS_0597
ko:K09682	bqy:MUS_1047
ko:K00831	bqy:MUS_1051
ko:K02503	bqy:MUS_1052
ko:K01599	bqy:MUS_1064
ko:K01772	bqy:MUS_1065
ko:K00231	bqy:MUS_1066
ko:K01421	bqy:MUS_1068
ko:K00648	bqy:MUS_1069
ko:K01425	bqy:MUS_0240
ko:K07717	bqy:MUS_0241
ko:K07719	bqy:MUS_0242
ko:K01449	bqy:MUS_0246
ko:K03116	bqy:MUS_0249
ko:K03118	bqy:MUS_0250
ko:K01304	bqy:MUS_0251
ko:K07039	bqy:MUS_0258
ko:K03657	bqy:MUS_0678
ko:K01972	bqy:MUS_0679
ko:K07507	bqy:MUS_0682
ko:K02435	bqy:MUS_0684
ko:K02434	bqy:MUS_0686
ko:K03215	bqy:MUS_0690
ko:K02003	bqy:MUS_0691
ko:K06332	bqy:MUS_0710
ko:K11210	bqy:MUS_1156
ko:K00145	bqy:MUS_1159
ko:K00620	bqy:MUS_1160
ko:K00930	bqy:MUS_1161
ko:K01956	bqy:MUS_1163
ko:K01955	bqy:MUS_1164
ko:K00611	bqy:MUS_1166
ko:K02254	bqy:MUS_1173
ko:K00648	bqy:MUS_1175
ko:K09458	bqy:MUS_1176
ko:K02034	bqy:MUS_1182
ko:K15581	bqy:MUS_1187
ko:K08602	bqy:MUS_1197
ko:K06886	bqy:MUS_1201
ko:K00858	bqy:MUS_1206
ko:K06180	bqy:MUS_1207
ko:K03707	bqy:MUS_1210
ko:K03154	bqy:MUS_1213
ko:K03149	bqy:MUS_1214
ko:K00941	bqy:MUS_1216
ko:K00208	bqy:MUS_1217
ko:K06342	bqy:MUS_1221
ko:K03657	bqy:MUS_1228
ko:K07507	bqy:MUS_1303
ko:K00123	bqy:MUS_1307
ko:K02069	bqy:MUS_1313
ko:K03885	bqy:MUS_1319
ko:K01812	bqy:MUS_1320
ko:K02529	bqy:MUS_1322
ko:K00041	bqy:MUS_1323
ko:K01685	bqy:MUS_1324
ko:K07090	bqy:MUS_1325
ko:K03088	bqy:MUS_1343
ko:K03306	bqy:MUS_1355
ko:K07220	bqy:MUS_1356
ko:K15975	bqy:MUS_1360
ko:K03716	bqy:MUS_1476
ko:K03415	bqy:MUS_1485
ko:K09776	bqy:MUS_1495
ko:K03839	bqy:MUS_1500
ko:K03839	bqy:MUS_1502
ko:K05823	bqy:MUS_1504
ko:K03752	bqy:MUS_1510
ko:K03750	bqy:MUS_1512
ko:K03753	bqy:MUS_1513
ko:K03636	bqy:MUS_1515
ko:K02003	bqy:MUS_1519
ko:K02768	bqy:MUS_1523
ko:K02769	bqy:MUS_1523
ko:K02770	bqy:MUS_1523
ko:K03100	bqy:MUS_1525
ko:K00077	bqy:MUS_1528
ko:K09777	bqy:MUS_1718
ko:K00942	bqy:MUS_1719
ko:K03060	bqy:MUS_1720
ko:K13038	bqy:MUS_1721
ko:K04066	bqy:MUS_1722
ko:K01462	bqy:MUS_1723
ko:K00604	bqy:MUS_1724
ko:K03500	bqy:MUS_1725
ko:K06941	bqy:MUS_1726
ko:K06949	bqy:MUS_1729
ko:K01783	bqy:MUS_1730
ko:K01752	bqy:MUS_1736
ko:K01752	bqy:MUS_1737
ko:K03655	bqy:MUS_1738
ko:K03621	bqy:MUS_1740
ko:K00645	bqy:MUS_1741
ko:K02078	bqy:MUS_1743
ko:K03685	bqy:MUS_1744
ko:K03529	bqy:MUS_1745
ko:K03110	bqy:MUS_1746
ko:K03106	bqy:MUS_1749
ko:K02959	bqy:MUS_1750
ko:K06960	bqy:MUS_1751
ko:K02860	bqy:MUS_1753
ko:K00554	bqy:MUS_1754
ko:K14540	bqy:MUS_1756
ko:K03470	bqy:MUS_1757
ko:K04061	bqy:MUS_1759
ko:K01903	bqy:MUS_1760
ko:K01902	bqy:MUS_1761
ko:K04096	bqy:MUS_1764
ko:K03168	bqy:MUS_1766
ko:K04094	bqy:MUS_1767
ko:K03733	bqy:MUS_1768
ko:K01419	bqy:MUS_1769
ko:K03667	bqy:MUS_1770
ko:K03706	bqy:MUS_1771
ko:K01198	bqy:MUS_2073
ko:K01805	bqy:MUS_2075
ko:K03088	bqy:MUS_2436
ko:K03816	bqy:MUS_2457
ko:K01299	bqy:MUS_2458
ko:K07444	bqy:MUS_2462
ko:K07502	bqy:MUS_2465
ko:K01151	bqy:MUS_2808
ko:K03527	bqy:MUS_2811
ko:K06967	bqy:MUS_2813
ko:K03086	bqy:MUS_2816
ko:K09768	bqy:MUS_2818
ko:K09773	bqy:MUS_2819
ko:K01879	bqy:MUS_2821
ko:K01878	bqy:MUS_2822
ko:K03584	bqy:MUS_2823
ko:K07042	bqy:MUS_2828
ko:K07037	bqy:MUS_2829
ko:K06438	bqy:MUS_2831
ko:K07403	bqy:MUS_2835
ko:K09117	bqy:MUS_2836
ko:K03324	bqy:MUS_2837
ko:K09761	bqy:MUS_2839
ko:K02687	bqy:MUS_2840
ko:K03686	bqy:MUS_2841
ko:K04043	bqy:MUS_2842
ko:K03687	bqy:MUS_2843
ko:K03705	bqy:MUS_2844
ko:K03596	bqy:MUS_2846
ko:K06385	bqy:MUS_2848
ko:K06012	bqy:MUS_2849
ko:K02968	bqy:MUS_2850
ko:K02340	bqy:MUS_2851
ko:K02237	bqy:MUS_2855
ko:K02239	bqy:MUS_2856
ko:K09710	bqy:MUS_2858
ko:K01866	bqy:MUS_3259
ko:K01895	bqy:MUS_3261
ko:K04766	bqy:MUS_3262
ko:K04768	bqy:MUS_3264
ko:K02557	bqy:MUS_3265
ko:K02556	bqy:MUS_3266
ko:K02529	bqy:MUS_3267
ko:K13853	bqy:MUS_3268
ko:K01924	bqy:MUS_3272
ko:K03466	bqy:MUS_3273
ko:K06878	bqy:MUS_3274
ko:K03439	bqy:MUS_3283
ko:K01975	bqy:MUS_3288
ko:K01738	bqy:MUS_3289
ko:K06901	bqy:MUS_3291
ko:K07007	bqy:MUS_3298
ko:K02529	bqy:MUS_3302
ko:K10117	bqy:MUS_3303
ko:K07406	bqy:MUS_3306
ko:K01869	bqy:MUS_3309
ko:K03303	bqy:MUS_3746
ko:K03092	bqy:MUS_3747
ko:K13727	bqy:MUS_3774
ko:K01193	bqy:MUS_3786
ko:K02532	bqy:MUS_3787
ko:K03484	bqy:MUS_3789
ko:K01358	bqy:MUS_3791
ko:K09683	bqy:MUS_4327
ko:K01745	bqy:MUS_4328
ko:K01712	bqy:MUS_4329
ko:K01468	bqy:MUS_4330
ko:K00756	bqy:MUS_4333
ko:K11535	bqy:MUS_4334
ko:K05346	bqy:MUS_4336
ko:K02016	bqy:MUS_4343
ko:K08094	bqy:MUS_0324
ko:K01126	bqy:MUS_0218
ko:K02445	bqy:MUS_0219
ko:K08317	bqy:MUS_0226
ko:K08289	bqy:MUS_0227
ko:K01613	bqy:MUS_0231
ko:K07146	bqy:MUS_0233
ko:K11102	bqy:MUS_0234
ko:K00826	bqy:MUS_0235
ko:K03088	bqy:MUS_0651
ko:K06901	bqy:MUS_0653
ko:K01588	bqy:MUS_0658
ko:K01589	bqy:MUS_0659
ko:K01756	bqy:MUS_0660
ko:K01923	bqy:MUS_0661
ko:K01952	bqy:MUS_0662
ko:K01952	bqy:MUS_0663
ko:K01952	bqy:MUS_0664
ko:K00764	bqy:MUS_0665
ko:K01933	bqy:MUS_0666
ko:K11175	bqy:MUS_0667
ko:K00602	bqy:MUS_0668
ko:K01945	bqy:MUS_0669
ko:K01486	bqy:MUS_0671
ko:K06304	bqy:MUS_1116
ko:K01953	bqy:MUS_1127
ko:K02291	bqy:MUS_1128
ko:K06895	bqy:MUS_1135
ko:K09767	bqy:MUS_1141
ko:K00243	bqy:MUS_1142
ko:K07335	bqy:MUS_1144
ko:K06133	bqy:MUS_0334
ko:K10010	bqy:MUS_0336
ko:K10009	bqy:MUS_0337
ko:K02424	bqy:MUS_0338
ko:K03186	bqy:MUS_0340
ko:K03305	bqy:MUS_0344
ko:K00491	bqy:MUS_0779
ko:K01512	bqy:MUS_0780
ko:K01265	bqy:MUS_0785
ko:K13993	bqy:MUS_0791
ko:K02818	bqy:MUS_0793
ko:K02819	bqy:MUS_0793
ko:K05520	bqy:MUS_0800
ko:K02529	bqy:MUS_0801
ko:K00014	bqy:MUS_0802
ko:K03785	bqy:MUS_0803
ko:K07058	bqy:MUS_0808
ko:K00077	bqy:MUS_1659
ko:K03925	bqy:MUS_1661
ko:K03438	bqy:MUS_1662
ko:K08384	bqy:MUS_1666
ko:K01928	bqy:MUS_1667
ko:K01000	bqy:MUS_1668
ko:K01925	bqy:MUS_1669
ko:K03588	bqy:MUS_1670
ko:K02563	bqy:MUS_1671
ko:K00075	bqy:MUS_1672
ko:K03589	bqy:MUS_1673
ko:K03590	bqy:MUS_1674
ko:K03531	bqy:MUS_1675
ko:K06383	bqy:MUS_1677
ko:K03091	bqy:MUS_1678
ko:K03091	bqy:MUS_1679
ko:K02013	bqy:MUS_1680
ko:K05810	bqy:MUS_1684
ko:K06997	bqy:MUS_1685
ko:K09772	bqy:MUS_1686
ko:K02221	bqy:MUS_1687
ko:K04074	bqy:MUS_1689
ko:K01870	bqy:MUS_1690
ko:K03101	bqy:MUS_1693
ko:K06180	bqy:MUS_1694
ko:K02825	bqy:MUS_1695
ko:K00609	bqy:MUS_1698
ko:K01465	bqy:MUS_1699
ko:K01956	bqy:MUS_1700
ko:K01955	bqy:MUS_1701
ko:K01591	bqy:MUS_1704
ko:K00762	bqy:MUS_1705
ko:K00390	bqy:MUS_1707
ko:K00958	bqy:MUS_1709
ko:K00860	bqy:MUS_1710
ko:K02304	bqy:MUS_1713
ko:K00791	bqy:MUS_1902
ko:K03666	bqy:MUS_1905
ko:K01448	bqy:MUS_1913
ko:K06413	bqy:MUS_1915
ko:K03665	bqy:MUS_1916
ko:K03733	bqy:MUS_1950
ko:K00266	bqy:MUS_2225
ko:K00931	bqy:MUS_2228
ko:K00286	bqy:MUS_2229
ko:K11216	bqy:MUS_2235
ko:K06878	bqy:MUS_2251
ko:K08976	bqy:MUS_2259
ko:K03654	bqy:MUS_2267
ko:K01118	bqy:MUS_2269
ko:K13993	bqy:MUS_2273
ko:K04564	bqy:MUS_2282
ko:K03308	bqy:MUS_2283
ko:K03453	bqy:MUS_2284
ko:K02859	bqy:MUS_2575
ko:K00794	bqy:MUS_2576
ko:K14652	bqy:MUS_2577
ko:K00793	bqy:MUS_2578
ko:K11752	bqy:MUS_2579
ko:K03100	bqy:MUS_2581
ko:K01586	bqy:MUS_2585
ko:K06408	bqy:MUS_2586
ko:K06407	bqy:MUS_2587
ko:K06407	bqy:MUS_2588
ko:K06406	bqy:MUS_2589
ko:K06405	bqy:MUS_2590
ko:K06404	bqy:MUS_2591
ko:K06403	bqy:MUS_2592
ko:K03091	bqy:MUS_2593
ko:K06379	bqy:MUS_2594
ko:K01839	bqy:MUS_2598
ko:K03315	bqy:MUS_2606
ko:K01744	bqy:MUS_2607
ko:K02346	bqy:MUS_2621
ko:K08303	bqy:MUS_2991
ko:K08303	bqy:MUS_2992
ko:K07082	bqy:MUS_2994
ko:K07447	bqy:MUS_2996
ko:K01872	bqy:MUS_2998
ko:K10039	bqy:MUS_3001
ko:K10040	bqy:MUS_3002
ko:K03581	bqy:MUS_3007
ko:K00566	bqy:MUS_3010
ko:K04487	bqy:MUS_3011
ko:K07478	bqy:MUS_3013
ko:K01876	bqy:MUS_3017
ko:K01892	bqy:MUS_3018
ko:K01448	bqy:MUS_3021
ko:K07560	bqy:MUS_3022
ko:K00759	bqy:MUS_3024
ko:K07462	bqy:MUS_3025
ko:K07228	bqy:MUS_3027
ko:K12257	bqy:MUS_3029
ko:K06409	bqy:MUS_3031
ko:K03210	bqy:MUS_3036
ko:K00773	bqy:MUS_3037
ko:K07568	bqy:MUS_3038
ko:K03551	bqy:MUS_3040
ko:K03550	bqy:MUS_3041
ko:K00459	bqy:MUS_3408
ko:K06973	bqy:MUS_3415
ko:K10716	bqy:MUS_3418
ko:K01810	bqy:MUS_3421
ko:K09779	bqy:MUS_3428
ko:K10907	bqy:MUS_3430
ko:K14155	bqy:MUS_3434
ko:K07697	bqy:MUS_3436
ko:K06347	bqy:MUS_3437
ko:K06348	bqy:MUS_3438
ko:K11614	bqy:MUS_3444
ko:K07335	bqy:MUS_3447
ko:K02057	bqy:MUS_3450
ko:K02057	bqy:MUS_3451
ko:K05566	bqy:MUS_3454
ko:K05567	bqy:MUS_3455
ko:K05569	bqy:MUS_3457
ko:K05571	bqy:MUS_3459
ko:K07691	bqy:MUS_3461
ko:K07680	bqy:MUS_3462
ko:K00963	bqy:MUS_3910
ko:K05946	bqy:MUS_3916
ko:K01809	bqy:MUS_3919
ko:K07282	bqy:MUS_3933
ko:K06295	bqy:MUS_3939
ko:K02529	bqy:MUS_3942
ko:K06726	bqy:MUS_3944
ko:K10441	bqy:MUS_3945
ko:K01575	bqy:MUS_3951
ko:K01652	bqy:MUS_3952
ko:K03893	bqy:MUS_3956
ko:K06330	bqy:MUS_3959
ko:K07137	bqy:MUS_4471
ko:K06888	bqy:MUS_4478
ko:K08369	bqy:MUS_4481
ko:K01142	bqy:MUS_4484
ko:K13531	bqy:MUS_4486
ko:K13530	bqy:MUS_4487
ko:K02990	bqy:MUS_4489
ko:K06942	bqy:MUS_4490
ko:K03501	bqy:MUS_4500
ko:K03495	bqy:MUS_4501
ko:K03650	bqy:MUS_4502
ko:K03217	bqy:MUS_4504
ko:K03536	bqy:MUS_4505
ko:K00375	bqy:MUS_0377
ko:K14166	bqy:MUS_0384
ko:K00009	bqy:MUS_0389
ko:K07160	bqy:MUS_0396
ko:K06350	bqy:MUS_0401
ko:K06425	bqy:MUS_0840
ko:K01232	bqy:MUS_0841
ko:K03481	bqy:MUS_0842
ko:K02749	bqy:MUS_0843
ko:K02750	bqy:MUS_0843
ko:K03623	bqy:MUS_0856
ko:K14205	bqy:MUS_0865
ko:K01083	bqy:MUS_2344
ko:K07152	bqy:MUS_2351
ko:K01754	bqy:MUS_2353
ko:K11068	bqy:MUS_2355
ko:K00655	bqy:MUS_2356
ko:K01687	bqy:MUS_2362
ko:K06950	bqy:MUS_2364
ko:K00432	bqy:MUS_2365
ko:K00651	bqy:MUS_2367
ko:K03704	bqy:MUS_2369
ko:K09125	bqy:MUS_2374
ko:K07443	bqy:MUS_2385
ko:K00263	bqy:MUS_2698
ko:K01720	bqy:MUS_2703
ko:K01647	bqy:MUS_2704
ko:K00074	bqy:MUS_2706
ko:K01126	bqy:MUS_2708
ko:K01448	bqy:MUS_2709
ko:K01775	bqy:MUS_2718
ko:K07699	bqy:MUS_2719
ko:K06399	bqy:MUS_2720
ko:K03631	bqy:MUS_2721
ko:K03402	bqy:MUS_2722
ko:K06442	bqy:MUS_2723
ko:K01662	bqy:MUS_2724
ko:K13789	bqy:MUS_2725
ko:K03602	bqy:MUS_2726
ko:K03601	bqy:MUS_2727
ko:K03625	bqy:MUS_2729
ko:K01961	bqy:MUS_2732
ko:K02160	bqy:MUS_2733
ko:K06397	bqy:MUS_2734
ko:K06396	bqy:MUS_2735
ko:K06395	bqy:MUS_2736
ko:K06394	bqy:MUS_2737
ko:K06393	bqy:MUS_2738
ko:K06392	bqy:MUS_2739
ko:K06391	bqy:MUS_2740
ko:K06390	bqy:MUS_2741
ko:K02356	bqy:MUS_2743
ko:K07001	bqy:MUS_2748
ko:K03800	bqy:MUS_2750
ko:K01653	bqy:MUS_3096
ko:K01652	bqy:MUS_3097
ko:K01154	bqy:MUS_3103
ko:K03427	bqy:MUS_3104
ko:K01153	bqy:MUS_3105
ko:K07095	bqy:MUS_3108
ko:K00989	bqy:MUS_3110
ko:K01776	bqy:MUS_3112
ko:K01994	bqy:MUS_3114
ko:K07107	bqy:MUS_3115
ko:K00240	bqy:MUS_3116
ko:K00239	bqy:MUS_3117
ko:K00928	bqy:MUS_3120
ko:K03703	bqy:MUS_3121
ko:K03671	bqy:MUS_3122
ko:K03522	bqy:MUS_3125
ko:K03521	bqy:MUS_3126
ko:K13767	bqy:MUS_3127
ko:K13770	bqy:MUS_3128
ko:K08989	bqy:MUS_3131
ko:K07456	bqy:MUS_3132
ko:K02347	bqy:MUS_3133
ko:K09888	bqy:MUS_3135
ko:K01890	bqy:MUS_3137
ko:K01889	bqy:MUS_3138
ko:K03437	bqy:MUS_3140
ko:K06426	bqy:MUS_3141
ko:K02647	bqy:MUS_3142
ko:K11473	bqy:MUS_3144
ko:K06200	bqy:MUS_3145
ko:K00872	bqy:MUS_3524
ko:K01733	bqy:MUS_3525
ko:K00003	bqy:MUS_3526
ko:K03644	bqy:MUS_3533
ko:K07090	bqy:MUS_3536
ko:K08153	bqy:MUS_3545
ko:K02083	bqy:MUS_3547
ko:K10711	bqy:MUS_3550
ko:K00285	bqy:MUS_3562
ko:K09014	bqy:MUS_3568
ko:K11717	bqy:MUS_3570
ko:K09015	bqy:MUS_3571
ko:K09013	bqy:MUS_3572
ko:K02073	bqy:MUS_3575
ko:K02072	bqy:MUS_3576
ko:K06386	bqy:MUS_4021
ko:K03823	bqy:MUS_4022
ko:K06131	bqy:MUS_4026
ko:K01428	bqy:MUS_4030
ko:K01429	bqy:MUS_4031
ko:K01430	bqy:MUS_4032
ko:K03639	bqy:MUS_4037
ko:K02379	bqy:MUS_4038
ko:K06381	bqy:MUS_4044
ko:K00790	bqy:MUS_4045
ko:K02114	bqy:MUS_4049
ko:K02112	bqy:MUS_4050
ko:K02115	bqy:MUS_4051
ko:K02111	bqy:MUS_4052
ko:K02113	bqy:MUS_4053
ko:K02109	bqy:MUS_4054
ko:K02110	bqy:MUS_4055
ko:K02108	bqy:MUS_4056
ko:K00761	bqy:MUS_4059
ko:K07566	bqy:MUS_4067
ko:K06387	bqy:MUS_4069
ko:K02835	bqy:MUS_4076
ko:K11686	bqy:MUS_4078
ko:K07088	bqy:MUS_4079
ko:K07217	bqy:MUS_0445
ko:K11692	bqy:MUS_0448
ko:K11103	bqy:MUS_0449
ko:K01921	bqy:MUS_0459
ko:K01929	bqy:MUS_0460
ko:K05592	bqy:MUS_0462
ko:K03147	bqy:MUS_0903
ko:K03781	bqy:MUS_0911
ko:K15553	bqy:MUS_0915
ko:K02337	bqy:MUS_3204
ko:K01755	bqy:MUS_3214
ko:K01940	bqy:MUS_3215
ko:K03638	bqy:MUS_3216
ko:K00925	bqy:MUS_3217
ko:K11065	bqy:MUS_3219
ko:K04773	bqy:MUS_3223
ko:K00858	bqy:MUS_3224
ko:K01895	bqy:MUS_3226
ko:K03151	bqy:MUS_3228
ko:K04487	bqy:MUS_3229
ko:K03311	bqy:MUS_3230
ko:K04486	bqy:MUS_3233
ko:K02986	bqy:MUS_3239
ko:K05916	bqy:MUS_3248
ko:K05520	bqy:MUS_3250
ko:K02013	bqy:MUS_3636
ko:K02015	bqy:MUS_3637
ko:K02015	bqy:MUS_3638
ko:K02016	bqy:MUS_3639
ko:K03758	bqy:MUS_3642
ko:K07038	bqy:MUS_3644
ko:K07219	bqy:MUS_3646
ko:K02020	bqy:MUS_3647
ko:K02018	bqy:MUS_3648
ko:K00381	bqy:MUS_3658
ko:K03657	bqy:MUS_3660
ko:K03611	bqy:MUS_3664
ko:K01534	bqy:MUS_3666
ko:K01118	bqy:MUS_3673
ko:K07552	bqy:MUS_4154
ko:K00260	bqy:MUS_4160
ko:K01790	bqy:MUS_4166
ko:K00067	bqy:MUS_4167
ko:K00973	bqy:MUS_4169
ko:K06305	bqy:MUS_4180
ko:K03648	bqy:MUS_4184
ko:K00868	bqy:MUS_4189
ko:K01193	bqy:MUS_4191
ko:K04567	bqy:MUS_0090
ko:K03696	bqy:MUS_0096
ko:K04485	bqy:MUS_0097
ko:K00991	bqy:MUS_0100
ko:K01770	bqy:MUS_0101
ko:K00640	bqy:MUS_0104
ko:K01883	bqy:MUS_0105
ko:K11145	bqy:MUS_0106
ko:K01714	bqy:MUS_0527
ko:K00941	bqy:MUS_0533
ko:K13979	bqy:MUS_0537
ko:K00375	bqy:MUS_0542
ko:K07734	bqy:MUS_0543
ko:K01647	bqy:MUS_0983
ko:K03308	bqy:MUS_0986
ko:K03088	bqy:MUS_0989
ko:K00655	bqy:MUS_0990
ko:K11358	bqy:MUS_0994
ko:K00646	bqy:MUS_0995
ko:K06199	bqy:MUS_0998
ko:K06199	bqy:MUS_0999
ko:K01126	bqy:MUS_1000
ko:K16052	bqy:MUS_1003
ko:K12410	bqy:MUS_1004
ko:K02470	bqy:MUS_0007
ko:K02469	bqy:MUS_0008
ko:K03629	bqy:MUS_0005
ko:K02338	bqy:MUS_0003
ko:K02015	bqy:MUS_0173
ko:K02015	bqy:MUS_0174
ko:K02016	bqy:MUS_0175
ko:K01207	bqy:MUS_0178
ko:K07106	bqy:MUS_0181
ko:K00946	bqy:MUS_0603
ko:K06925	bqy:MUS_0604
ko:K03789	bqy:MUS_0606
ko:K06158	bqy:MUS_0608
ko:K03637	bqy:MUS_0609
ko:K01926	bqy:MUS_0610
ko:K03116	bqy:MUS_0611
ko:K03118	bqy:MUS_0612
ko:K04078	bqy:MUS_0615
ko:K04077	bqy:MUS_0616
ko:K00847	bqy:MUS_0621
ko:K11102	bqy:MUS_1073
ko:K03800	bqy:MUS_1076
ko:K02016	bqy:MUS_1083
ko:K03523	bqy:MUS_1088
ko:K02250	bqy:MUS_1093
ko:K09817	bqy:MUS_0269
ko:K09816	bqy:MUS_0270
ko:K05795	bqy:MUS_0273
ko:K05795	bqy:MUS_0274
ko:K08369	bqy:MUS_0278
ko:K02000	bqy:MUS_0279
ko:K02001	bqy:MUS_0280
ko:K02002	bqy:MUS_0281
ko:K14665	bqy:MUS_0282
ko:K06333	bqy:MUS_0711
ko:K06334	bqy:MUS_0712
ko:K06890	bqy:MUS_0722
ko:K00978	bqy:MUS_0736
ko:K01709	bqy:MUS_0737
ko:K08223	bqy:MUS_0741
ko:K15580	bqy:MUS_1186
ko:K02503	bqy:MUS_1283
ko:K01224	bqy:MUS_1291
ko:K00965	bqy:MUS_1292
ko:K00849	bqy:MUS_1294
ko:K02787	bqy:MUS_1295
ko:K02788	bqy:MUS_1295
ko:K01433	bqy:MUS_1384
