ko:K15039	sin:YN1551_1342
ko:K06883	sin:YN1551_1680
ko:K04802	sin:YN1551_1681
ko:K02683	sin:YN1551_1682
ko:K02929	sin:YN1551_1684
ko:K02978	sin:YN1551_1685
ko:K02379	sin:YN1551_0284
ko:K00123	sin:YN1551_0286
ko:K01895	sin:YN1551_0311
ko:K07034	sin:YN1551_0312
ko:K00027	sin:YN1551_0317
ko:K00626	sin:YN1551_0321
ko:K07402	sin:YN1551_0325
ko:K00600	sin:YN1551_1249
ko:K00927	sin:YN1551_1252
ko:K09140	sin:YN1551_1255
ko:K02319	sin:YN1551_1256
ko:K01874	sin:YN1551_1262
ko:K02123	sin:YN1551_1263
ko:K02122	sin:YN1551_1264
ko:K02117	sin:YN1551_1266
ko:K02118	sin:YN1551_1267
ko:K02120	sin:YN1551_1268
ko:K02124	sin:YN1551_1270
ko:K01881	sin:YN1551_1271
ko:K02976	sin:YN1551_1272
ko:K06215	sin:YN1551_1273
ko:K08681	sin:YN1551_1274
ko:K06865	sin:YN1551_1275
ko:K03552	sin:YN1551_1276
ko:K00053	sin:YN1551_1277
ko:K01652	sin:YN1551_1279
ko:K07301	sin:YN1551_0623
ko:K03281	sin:YN1551_0631
ko:K01652	sin:YN1551_0639
ko:K00681	sin:YN1551_0646
ko:K03168	sin:YN1551_1550
ko:K01689	sin:YN1551_1555
ko:K00283	sin:YN1551_1559
ko:K00282	sin:YN1551_1560
ko:K00605	sin:YN1551_1561
ko:K02437	sin:YN1551_1562
ko:K06869	sin:YN1551_1563
ko:K09013	sin:YN1551_1566
ko:K09014	sin:YN1551_1567
ko:K00525	sin:YN1551_1570
ko:K07108	sin:YN1551_1571
ko:K03330	sin:YN1551_1573
ko:K09482	sin:YN1551_1574
ko:K02983	sin:YN1551_1575
ko:K04795	sin:YN1551_1577
ko:K07728	sin:YN1551_1579
ko:K00555	sin:YN1551_1580
ko:K03124	sin:YN1551_1582
ko:K08975	sin:YN1551_1585
ko:K03120	sin:YN1551_1588
ko:K06953	sin:YN1551_1589
ko:K07732	sin:YN1551_1592
ko:K02433	sin:YN1551_1594
ko:K02435	sin:YN1551_1595
ko:K01304	sin:YN1551_2531
ko:K02032	sin:YN1551_2557
ko:K02031	sin:YN1551_2558
ko:K02034	sin:YN1551_2559
ko:K02033	sin:YN1551_2560
ko:K02035	sin:YN1551_2561
ko:K00820	sin:YN1551_2566
ko:K06966	sin:YN1551_2570
ko:K07241	sin:YN1551_2576
ko:K01644	sin:YN1551_2580
ko:K07503	sin:YN1551_0025
ko:K01895	sin:YN1551_0033
ko:K07060	sin:YN1551_0034
ko:K00858	sin:YN1551_0035
ko:K07055	sin:YN1551_0039
ko:K09738	sin:YN1551_0040
ko:K07574	sin:YN1551_0041
ko:K03671	sin:YN1551_0050
ko:K09716	sin:YN1551_0052
ko:K09825	sin:YN1551_0058
ko:K06915	sin:YN1551_0065
ko:K03564	sin:YN1551_0068
ko:K07588	sin:YN1551_0075
ko:K01849	sin:YN1551_0076
ko:K07090	sin:YN1551_0082
ko:K00174	sin:YN1551_0267
ko:K00175	sin:YN1551_0268
ko:K00313	sin:YN1551_0271
ko:K07739	sin:YN1551_1186
ko:K03116	sin:YN1551_1188
ko:K03118	sin:YN1551_1190
ko:K02015	sin:YN1551_1192
ko:K02013	sin:YN1551_1193
ko:K02036	sin:YN1551_1194
ko:K02040	sin:YN1551_1195
ko:K02037	sin:YN1551_1196
ko:K02038	sin:YN1551_1197
ko:K01733	sin:YN1551_1198
ko:K00286	sin:YN1551_1200
ko:K01869	sin:YN1551_1211
ko:K06920	sin:YN1551_1237
ko:K01611	sin:YN1551_1244
ko:K03497	sin:YN1551_2149
ko:K04561	sin:YN1551_2203
ko:K06871	sin:YN1551_2208
ko:K01151	sin:YN1551_3142
ko:K07743	sin:YN1551_3146
ko:K00067	sin:YN1551_3147
ko:K00031	sin:YN1551_3171
ko:K03427	sin:YN1551_3201
ko:K01611	sin:YN1551_1286
ko:K09732	sin:YN1551_1287
ko:K01869	sin:YN1551_1290
ko:K00817	sin:YN1551_1292
ko:K00765	sin:YN1551_1293
ko:K01814	sin:YN1551_1294
ko:K01693	sin:YN1551_1295
ko:K02500	sin:YN1551_1296
ko:K00170	sin:YN1551_0157
ko:K00169	sin:YN1551_0158
ko:K00171	sin:YN1551_0159
ko:K00172	sin:YN1551_0160
ko:K03522	sin:YN1551_0165
ko:K03521	sin:YN1551_0166
ko:K00384	sin:YN1551_0168
ko:K00313	sin:YN1551_0178
ko:K06153	sin:YN1551_0205
ko:K02975	sin:YN1551_1127
ko:K07442	sin:YN1551_1130
ko:K02977	sin:YN1551_1138
ko:K02974	sin:YN1551_1139
ko:K03186	sin:YN1551_1142
ko:K01880	sin:YN1551_1148
ko:K03237	sin:YN1551_1686
ko:K07151	sin:YN1551_1688
ko:K03320	sin:YN1551_1690
ko:K02437	sin:YN1551_1697
ko:K01588	sin:YN1551_1701
ko:K01589	sin:YN1551_1702
ko:K02019	sin:YN1551_1703
ko:K01679	sin:YN1551_1709
ko:K00140	sin:YN1551_2665
ko:K00172	sin:YN1551_2679
ko:K00171	sin:YN1551_2680
ko:K00169	sin:YN1551_2681
ko:K00170	sin:YN1551_2682
ko:K08296	sin:YN1551_2684
ko:K00943	sin:YN1551_2686
ko:K00943	sin:YN1551_2687
ko:K03307	sin:YN1551_2696
ko:K03303	sin:YN1551_2707
ko:K00171	sin:YN1551_2709
ko:K00169	sin:YN1551_2710
ko:K00170	sin:YN1551_2711
ko:K01512	sin:YN1551_1530
ko:K01695	sin:YN1551_1532
ko:K00766	sin:YN1551_1533
ko:K01817	sin:YN1551_1534
ko:K01657	sin:YN1551_1535
ko:K01658	sin:YN1551_1536
ko:K01609	sin:YN1551_1537
ko:K00812	sin:YN1551_1538
ko:K01873	sin:YN1551_1539
ko:K00261	sin:YN1551_2473
ko:K00053	sin:YN1551_2489
ko:K02440	sin:YN1551_2523
ko:K07095	sin:YN1551_2528
ko:K00013	sin:YN1551_1297
ko:K01523	sin:YN1551_1298
ko:K02501	sin:YN1551_1299
ko:K01496	sin:YN1551_1300
ko:K01875	sin:YN1551_1302
ko:K09703	sin:YN1551_2246
ko:K06915	sin:YN1551_2262
ko:K01439	sin:YN1551_2265
ko:K02291	sin:YN1551_0908
ko:K03789	sin:YN1551_0919
ko:K02946	sin:YN1551_0924
ko:K01480	sin:YN1551_1149
ko:K03113	sin:YN1551_1151
ko:K03124	sin:YN1551_1152
ko:K00817	sin:YN1551_1154
ko:K01867	sin:YN1551_1159
ko:K03593	sin:YN1551_1166
ko:K06994	sin:YN1551_1173
ko:K06915	sin:YN1551_1176
ko:K09744	sin:YN1551_1182
ko:K00451	sin:YN1551_2104
ko:K00573	sin:YN1551_3077
ko:K03707	sin:YN1551_3080
ko:K01803	sin:YN1551_3085
ko:K01647	sin:YN1551_3088
ko:K01720	sin:YN1551_3091
ko:K06206	sin:YN1551_3105
ko:K04719	sin:YN1551_3111
ko:K00382	sin:YN1551_3112
ko:K01915	sin:YN1551_3117
ko:K01890	sin:YN1551_0770
ko:K07744	sin:YN1551_0778
ko:K03724	sin:YN1551_0780
ko:K10773	sin:YN1551_0783
ko:K03500	sin:YN1551_0790
ko:K03179	sin:YN1551_0794
ko:K01649	sin:YN1551_0795
ko:K06915	sin:YN1551_0809
ko:K05827	sin:YN1551_0815
ko:K02995	sin:YN1551_0819
ko:K03105	sin:YN1551_0820
ko:K02003	sin:YN1551_1717
ko:K01039	sin:YN1551_1721
ko:K01040	sin:YN1551_1722
ko:K01681	sin:YN1551_1731
ko:K06929	sin:YN1551_1747
ko:K01012	sin:YN1551_1750
ko:K00382	sin:YN1551_1757
ko:K03390	sin:YN1551_1761
ko:K03389	sin:YN1551_1762
ko:K03388	sin:YN1551_1763
ko:K03390	sin:YN1551_1765
ko:K03389	sin:YN1551_1766
ko:K03609	sin:YN1551_2734
ko:K03265	sin:YN1551_2741
ko:K07101	sin:YN1551_2742
ko:K00772	sin:YN1551_2743
ko:K05844	sin:YN1551_2746
ko:K03718	sin:YN1551_2747
ko:K08979	sin:YN1551_2755
ko:K01101	sin:YN1551_2758
ko:K00239	sin:YN1551_2759
ko:K00240	sin:YN1551_2760
ko:K00241	sin:YN1551_2761
ko:K03924	sin:YN1551_2764
ko:K07466	sin:YN1551_2766
ko:K03750	sin:YN1551_2768
ko:K00872	sin:YN1551_2770
ko:K01714	sin:YN1551_0084
ko:K00059	sin:YN1551_0086
ko:K00615	sin:YN1551_1007
ko:K00615	sin:YN1551_1008
ko:K03856	sin:YN1551_1010
ko:K01735	sin:YN1551_1011
ko:K00014	sin:YN1551_1012
ko:K01736	sin:YN1551_1013
ko:K00891	sin:YN1551_1014
ko:K00800	sin:YN1551_1015
ko:K03785	sin:YN1551_1016
ko:K04564	sin:YN1551_1023
ko:K03465	sin:YN1551_1028
ko:K00330	sin:YN1551_1029
ko:K00332	sin:YN1551_1030
ko:K00333	sin:YN1551_1031
ko:K00337	sin:YN1551_1032
ko:K00338	sin:YN1551_1033
ko:K00339	sin:YN1551_1034
ko:K00343	sin:YN1551_1037
ko:K01858	sin:YN1551_1038
ko:K03151	sin:YN1551_1039
ko:K01872	sin:YN1551_1044
ko:K02869	sin:YN1551_1045
ko:K02864	sin:YN1551_1046
ko:K02863	sin:YN1551_1047
ko:K02867	sin:YN1551_1048
ko:K02601	sin:YN1551_1049
ko:K03110	sin:YN1551_1051
ko:K04797	sin:YN1551_1052
ko:K02944	sin:YN1551_1053
ko:K03264	sin:YN1551_1054
ko:K02910	sin:YN1551_1055
ko:K02924	sin:YN1551_1056
ko:K06875	sin:YN1551_1057
ko:K02966	sin:YN1551_1058
ko:K00763	sin:YN1551_1059
ko:K09157	sin:YN1551_1061
ko:K01738	sin:YN1551_1064
ko:K02319	sin:YN1551_3269
ko:K07402	sin:YN1551_1988
ko:K07402	sin:YN1551_1996
ko:K03519	sin:YN1551_1997
ko:K03518	sin:YN1551_1998
ko:K07161	sin:YN1551_2001
ko:K02616	sin:YN1551_2021
ko:K01895	sin:YN1551_2023
ko:K06016	sin:YN1551_2957
ko:K06940	sin:YN1551_2965
ko:K00772	sin:YN1551_2969
ko:K06137	sin:YN1551_2977
ko:K03799	sin:YN1551_2982
ko:K01443	sin:YN1551_3002
ko:K02032	sin:YN1551_3003
ko:K02031	sin:YN1551_3004
ko:K02034	sin:YN1551_3005
ko:K02035	sin:YN1551_3006
ko:K02033	sin:YN1551_3007
ko:K07572	sin:YN1551_1456
ko:K03051	sin:YN1551_1457
ko:K02889	sin:YN1551_1458
ko:K01251	sin:YN1551_1460
ko:K00797	sin:YN1551_1461
ko:K02922	sin:YN1551_1462
ko:K07041	sin:YN1551_1466
ko:K02433	sin:YN1551_1470
ko:K03433	sin:YN1551_1471
ko:K06910	sin:YN1551_1472
ko:K04801	sin:YN1551_1473
ko:K04800	sin:YN1551_1474
ko:K03637	sin:YN1551_1475
ko:K00012	sin:YN1551_2405
ko:K00963	sin:YN1551_2406
ko:K01790	sin:YN1551_2443
ko:K00973	sin:YN1551_2445
ko:K01710	sin:YN1551_2446
ko:K01724	sin:YN1551_0005
ko:K06915	sin:YN1551_0017
ko:K06888	sin:YN1551_0021
ko:K01754	sin:YN1551_0952
ko:K04483	sin:YN1551_0954
ko:K05873	sin:YN1551_0957
ko:K00952	sin:YN1551_0959
ko:K09120	sin:YN1551_0960
ko:K06932	sin:YN1551_0962
ko:K00558	sin:YN1551_0971
ko:K07254	sin:YN1551_0973
ko:K03665	sin:YN1551_0974
ko:K03627	sin:YN1551_0975
ko:K03420	sin:YN1551_0976
ko:K06869	sin:YN1551_0978
ko:K03433	sin:YN1551_0982
ko:K01892	sin:YN1551_0983
ko:K06915	sin:YN1551_0987
ko:K02962	sin:YN1551_0990
ko:K06174	sin:YN1551_0992
ko:K03056	sin:YN1551_0999
ko:K07573	sin:YN1551_1000
ko:K07561	sin:YN1551_1001
ko:K02866	sin:YN1551_1002
ko:K02616	sin:YN1551_1903
ko:K03183	sin:YN1551_1938
ko:K00626	sin:YN1551_2896
ko:K00526	sin:YN1551_2898
ko:K00059	sin:YN1551_2899
ko:K07048	sin:YN1551_2919
ko:K00111	sin:YN1551_2922
ko:K00938	sin:YN1551_0396
ko:K01597	sin:YN1551_0397
ko:K00074	sin:YN1551_0403
ko:K01714	sin:YN1551_0448
ko:K01195	sin:YN1551_0450
ko:K03753	sin:YN1551_1369
ko:K03750	sin:YN1551_1370
ko:K03752	sin:YN1551_1371
ko:K02003	sin:YN1551_1380
ko:K06974	sin:YN1551_1395
ko:K00945	sin:YN1551_1401
ko:K02915	sin:YN1551_1402
ko:K00939	sin:YN1551_1404
ko:K03076	sin:YN1551_1405
ko:K02876	sin:YN1551_1406
ko:K02907	sin:YN1551_1407
ko:K02988	sin:YN1551_1408
ko:K02881	sin:YN1551_1409
ko:K02885	sin:YN1551_1410
ko:K02912	sin:YN1551_1411
ko:K02933	sin:YN1551_1412
ko:K02994	sin:YN1551_1413
ko:K02954	sin:YN1551_1414
ko:K02931	sin:YN1551_1415
ko:K02987	sin:YN1551_1416
ko:K02895	sin:YN1551_1417
ko:K02874	sin:YN1551_1418
ko:K02961	sin:YN1551_1419
ko:K02904	sin:YN1551_1421
ko:K02982	sin:YN1551_1422
ko:K02890	sin:YN1551_1423
ko:K02965	sin:YN1551_1424
ko:K01637	sin:YN1551_2349
ko:K01638	sin:YN1551_2350
ko:K01895	sin:YN1551_2356
ko:K05710	sin:YN1551_2359
ko:K03564	sin:YN1551_2367
ko:K01895	sin:YN1551_2368
ko:K00180	sin:YN1551_2369
ko:K00179	sin:YN1551_2370
ko:K03231	sin:YN1551_0925
ko:K02992	sin:YN1551_0926
ko:K02950	sin:YN1551_0928
ko:K02600	sin:YN1551_0929
ko:K02908	sin:YN1551_0930
ko:K03042	sin:YN1551_0931
ko:K03041	sin:YN1551_0932
ko:K03053	sin:YN1551_0934
ko:K03243	sin:YN1551_0935
ko:K00940	sin:YN1551_0936
ko:K02896	sin:YN1551_0937
ko:K02979	sin:YN1551_0938
ko:K00761	sin:YN1551_0939
ko:K02434	sin:YN1551_0940
ko:K06937	sin:YN1551_0943
ko:K00946	sin:YN1551_0944
ko:K01756	sin:YN1551_0945
ko:K06863	sin:YN1551_0946
ko:K06863	sin:YN1551_0947
ko:K01939	sin:YN1551_0948
ko:K07137	sin:YN1551_0949
ko:K00626	sin:YN1551_1856
ko:K00626	sin:YN1551_1857
ko:K01895	sin:YN1551_1859
ko:K00483	sin:YN1551_1864
ko:K00261	sin:YN1551_1875
ko:K01895	sin:YN1551_1878
ko:K05592	sin:YN1551_1885
ko:K01915	sin:YN1551_2839
ko:K02873	sin:YN1551_2841
ko:K01974	sin:YN1551_2842
ko:K00852	sin:YN1551_2845
ko:K01951	sin:YN1551_2847
ko:K05982	sin:YN1551_2850
ko:K09003	sin:YN1551_2854
ko:K03306	sin:YN1551_2856
ko:K03726	sin:YN1551_2858
ko:K02050	sin:YN1551_2863
ko:K02049	sin:YN1551_2864
ko:K01704	sin:YN1551_2866
ko:K01703	sin:YN1551_2867
ko:K01669	sin:YN1551_2868
ko:K03307	sin:YN1551_2874
ko:K01902	sin:YN1551_2883
ko:K01903	sin:YN1551_2884
ko:K07457	sin:YN1551_2885
ko:K01868	sin:YN1551_2887
ko:K00567	sin:YN1551_2888
ko:K02927	sin:YN1551_0830
ko:K06176	sin:YN1551_0833
ko:K04794	sin:YN1551_0834
ko:K07580	sin:YN1551_0835
ko:K03232	sin:YN1551_0836
ko:K04799	sin:YN1551_0839
ko:K02492	sin:YN1551_0841
ko:K01698	sin:YN1551_0842
ko:K01845	sin:YN1551_0843
ko:K01749	sin:YN1551_0844
ko:K01719	sin:YN1551_0845
ko:K10747	sin:YN1551_0851
ko:K01494	sin:YN1551_0852
ko:K09141	sin:YN1551_0855
ko:K09122	sin:YN1551_0856
ko:K07179	sin:YN1551_0859
ko:K09150	sin:YN1551_0860
ko:K00789	sin:YN1551_0861
ko:K01937	sin:YN1551_0864
ko:K08093	sin:YN1551_0865
ko:K06206	sin:YN1551_0888
ko:K01478	sin:YN1551_1781
ko:K03568	sin:YN1551_1786
ko:K03592	sin:YN1551_1787
ko:K07301	sin:YN1551_1811
ko:K03552	sin:YN1551_1813
ko:K06961	sin:YN1551_2776
ko:K07178	sin:YN1551_2777
ko:K03236	sin:YN1551_2778
ko:K00626	sin:YN1551_2779
ko:K03238	sin:YN1551_2781
ko:K09148	sin:YN1551_2782
ko:K07562	sin:YN1551_2783
ko:K03470	sin:YN1551_2784
ko:K01507	sin:YN1551_2789
ko:K07023	sin:YN1551_2790
ko:K06982	sin:YN1551_2795
ko:K09722	sin:YN1551_2796
ko:K00606	sin:YN1551_2797
ko:K01649	sin:YN1551_2807
ko:K07142	sin:YN1551_2808
ko:K01737	sin:YN1551_2813
ko:K00384	sin:YN1551_2816
ko:K01092	sin:YN1551_2817
ko:K07101	sin:YN1551_2821
ko:K01848	sin:YN1551_2822
ko:K05830	sin:YN1551_0816
ko:K01259	sin:YN1551_0528
ko:K01473	sin:YN1551_2242
ko:K01474	sin:YN1551_2241
ko:K09711	sin:YN1551_1749
ko:K00446	sin:YN1551_2660
ko:K01990	sin:YN1551_2477
ko:K01992	sin:YN1551_2478
ko:K00021	sin:YN1551_1248
ko:K01934	sin:YN1551_1163
ko:K07388	sin:YN1551_0749
ko:K10197	sin:YN1551_0480
ko:K02303	sin:YN1551_0338
ko:K13057	sin:YN1551_3067
ko:K05934	sin:YN1551_0112
ko:K07330	sin:YN1551_2937
ko:K07325	sin:YN1551_2935
ko:K03234	sin:YN1551_1435
ko:K13051	sin:YN1551_2750
ko:K03386	sin:YN1551_2701
ko:K05520	sin:YN1551_1704
ko:K00666	sin:YN1551_0322
ko:K07068	sin:YN1551_0320
ko:K02025	sin:YN1551_2962
ko:K02026	sin:YN1551_2962
ko:K13048	sin:YN1551_2498
ko:K04479	sin:YN1551_2844
ko:K01990	sin:YN1551_2799
ko:K01992	sin:YN1551_2800
ko:K03055	sin:YN1551_1549
ko:K08094	sin:YN1551_0808
ko:K02826	sin:YN1551_3017
ko:K01385	sin:YN1551_1874
ko:K12410	sin:YN1551_2875
ko:K06889	sin:YN1551_2018
ko:K01533	sin:YN1551_3025
ko:K00074	sin:YN1551_0319
ko:K03496	sin:YN1551_0706
ko:K02827	sin:YN1551_3018
ko:K07068	sin:YN1551_3049
ko:K01990	sin:YN1551_3076
ko:K00020	sin:YN1551_1613
ko:K07033	sin:YN1551_1568
ko:K00303	sin:YN1551_0849
ko:K00611	sin:YN1551_1518
ko:K01061	sin:YN1551_2611
ko:K00381	sin:YN1551_0339
ko:K00390	sin:YN1551_0340
ko:K00958	sin:YN1551_0341
ko:K01494	sin:YN1551_0362
ko:K02032	sin:YN1551_0365
ko:K02031	sin:YN1551_0366
ko:K02034	sin:YN1551_0367
ko:K02033	sin:YN1551_0368
ko:K02035	sin:YN1551_0369
ko:K05595	sin:YN1551_1307
ko:K00226	sin:YN1551_1310
ko:K01465	sin:YN1551_1311
ko:K00610	sin:YN1551_1313
ko:K00609	sin:YN1551_1314
ko:K00762	sin:YN1551_1315
ko:K01591	sin:YN1551_1316
ko:K06943	sin:YN1551_1324
ko:K06878	sin:YN1551_1325
ko:K01923	sin:YN1551_1326
ko:K01952	sin:YN1551_1328
ko:K01952	sin:YN1551_1329
ko:K00764	sin:YN1551_1330
ko:K00764	sin:YN1551_1331
ko:K01945	sin:YN1551_1332
ko:K01933	sin:YN1551_1333
ko:K01940	sin:YN1551_1336
ko:K01755	sin:YN1551_1337
ko:K01956	sin:YN1551_1338
ko:K01955	sin:YN1551_1339
ko:K07477	sin:YN1551_1341
ko:K09129	sin:YN1551_1347
ko:K04069	sin:YN1551_1349
ko:K00003	sin:YN1551_1353
ko:K07722	sin:YN1551_1355
ko:K03568	sin:YN1551_1356
ko:K03592	sin:YN1551_1357
ko:K03524	sin:YN1551_1358
ko:K07566	sin:YN1551_1359
ko:K00331	sin:YN1551_1360
ko:K01710	sin:YN1551_2293
ko:K00973	sin:YN1551_2294
ko:K00067	sin:YN1551_2295
ko:K01114	sin:YN1551_2296
ko:K00012	sin:YN1551_2332
ko:K00963	sin:YN1551_2333
ko:K15778	sin:YN1551_0869
ko:K01426	sin:YN1551_2702
ko:K01533	sin:YN1551_2949
ko:K01239	sin:YN1551_0057
ko:K01239	sin:YN1551_1212
ko:K09963	sin:YN1551_2562
ko:K03116	sin:YN1551_1189
ko:K05349	sin:YN1551_0446
ko:K07025	sin:YN1551_3145
ko:K07025	sin:YN1551_1434
ko:K03166	sin:YN1551_1609
ko:K00020	sin:YN1551_2593
ko:K05989	sin:YN1551_0432
ko:K00096	sin:YN1551_1465
ko:K01916	sin:YN1551_3159
ko:K07064	sin:YN1551_2061
ko:K00058	sin:YN1551_1547
ko:K07073	sin:YN1551_0758
ko:K09715	sin:YN1551_2990
ko:K03059	sin:YN1551_1150
ko:K06957	sin:YN1551_1096
ko:K08177	sin:YN1551_2708
