ko:K12132	btg:BTB_c39880
ko:K08602	btg:BTB_c12460
ko:K06886	btg:BTB_c12480
ko:K07816	btg:BTB_c12510
ko:K00858	btg:BTB_c12520
ko:K03091	btg:BTB_c07140
ko:K00619	btg:BTB_c09170
ko:K07124	btg:BTB_c09180
ko:K03923	btg:BTB_c09260
ko:K08152	btg:BTB_c09280
ko:K05520	btg:BTB_c09300
ko:K03781	btg:BTB_c09310
ko:K03758	btg:BTB_c09330
ko:K01776	btg:BTB_c09340
ko:K02424	btg:BTB_c09390
ko:K10009	btg:BTB_c09400
ko:K10010	btg:BTB_c09410
ko:K07396	btg:BTB_c09880
ko:K05795	btg:BTB_c04600
ko:K05795	btg:BTB_c04610
ko:K01104	btg:BTB_c04670
ko:K07058	btg:BTB_c04690
ko:K01534	btg:BTB_c04700
ko:K03574	btg:BTB_c05550
ko:K03216	btg:BTB_c05610
ko:K07180	btg:BTB_c05640
ko:K09786	btg:BTB_c05650
ko:K01387	btg:BTB_c05690
ko:K07192	btg:BTB_c05710
ko:K03406	btg:BTB_c05720
ko:K03300	btg:BTB_c05750
ko:K02443	btg:BTB_c05800
ko:K05816	btg:BTB_c05810
ko:K05814	btg:BTB_c05820
ko:K05815	btg:BTB_c05830
ko:K03406	btg:BTB_c05900
ko:K00639	btg:BTB_c06330
ko:K00639	btg:BTB_c06350
ko:K04748	btg:BTB_c06390
ko:K06131	btg:BTB_c06400
ko:K03486	btg:BTB_c06440
ko:K02818	btg:BTB_c06450
ko:K02819	btg:BTB_c06450
ko:K01226	btg:BTB_c06460
ko:K06295	btg:BTB_c06490
ko:K07052	btg:BTB_c06500
ko:K06153	btg:BTB_c07530
ko:K03484	btg:BTB_c08450
ko:K03611	btg:BTB_c08480
ko:K03324	btg:BTB_c08740
ko:K09963	btg:BTB_c08760
ko:K03491	btg:BTB_c08770
ko:K02759	btg:BTB_c08780
ko:K02760	btg:BTB_c08790
ko:K02761	btg:BTB_c08800
ko:K01652	btg:BTB_c09510
ko:K01575	btg:BTB_c09530
ko:K03652	btg:BTB_c09550
ko:K01867	btg:BTB_c12310
ko:K02035	btg:BTB_c12330
ko:K15581	btg:BTB_c12340
ko:K15582	btg:BTB_c12350
ko:K15583	btg:BTB_c12360
ko:K10823	btg:BTB_c12370
ko:K02035	btg:BTB_c12390
ko:K16509	btg:BTB_c12410
ko:K02961	btg:BTB_c01410
ko:K02874	btg:BTB_c01420
ko:K02895	btg:BTB_c01430
ko:K02931	btg:BTB_c01440
ko:K02954	btg:BTB_c01450
ko:K02994	btg:BTB_c01460
ko:K02933	btg:BTB_c01470
ko:K02881	btg:BTB_c01480
ko:K02988	btg:BTB_c01490
ko:K02907	btg:BTB_c01500
ko:K02876	btg:BTB_c01510
ko:K03076	btg:BTB_c01520
ko:K00939	btg:BTB_c01530
ko:K01265	btg:BTB_c01540
ko:K02518	btg:BTB_c01550
ko:K02919	btg:BTB_c01560
ko:K02952	btg:BTB_c01570
ko:K02948	btg:BTB_c01580
ko:K03040	btg:BTB_c01590
ko:K02879	btg:BTB_c01600
ko:K06173	btg:BTB_c01640
ko:K02871	btg:BTB_c01650
ko:K06925	btg:BTB_c02890
ko:K03789	btg:BTB_c02910
ko:K01409	btg:BTB_c02920
ko:K06158	btg:BTB_c02930
ko:K01926	btg:BTB_c02940
ko:K07052	btg:BTB_c02960
ko:K04078	btg:BTB_c02970
ko:K04077	btg:BTB_c02980
ko:K01951	btg:BTB_c03020
ko:K06901	btg:BTB_c03030
ko:K06889	btg:BTB_c03090
ko:K00375	btg:BTB_c03140
ko:K00318	btg:BTB_c03150
ko:K06325	btg:BTB_c04050
ko:K06325	btg:BTB_c04060
ko:K07074	btg:BTB_c04130
ko:K05548	btg:BTB_c04140
ko:K02029	btg:BTB_c04170
ko:K03406	btg:BTB_c04200
ko:K03402	btg:BTB_c04210
ko:K01478	btg:BTB_c04220
ko:K00611	btg:BTB_c04230
ko:K03758	btg:BTB_c04240
ko:K00926	btg:BTB_c04250
ko:K01187	btg:BTB_c04290
ko:K01421	btg:BTB_c04320
ko:K00878	btg:BTB_c04340
ko:K00788	btg:BTB_c04350
ko:K07791	btg:BTB_c04360
ko:K03406	btg:BTB_c04370
ko:K02049	btg:BTB_c04420
ko:K01183	btg:BTB_c04440
ko:K07729	btg:BTB_c04520
ko:K06902	btg:BTB_c04530
ko:K01881	btg:BTB_c04560
ko:K07071	btg:BTB_c05110
ko:K03565	btg:BTB_c05120
ko:K06428	btg:BTB_c05150
ko:K07038	btg:BTB_c05170
ko:K03575	btg:BTB_c05180
ko:K06422	btg:BTB_c05200
ko:K07586	btg:BTB_c05220
ko:K11085	btg:BTB_c05230
ko:K15599	btg:BTB_c08200
ko:K15598	btg:BTB_c08210
ko:K03153	btg:BTB_c08230
ko:K03154	btg:BTB_c08240
ko:K03149	btg:BTB_c08250
ko:K00941	btg:BTB_c08270
ko:K01546	btg:BTB_c08300
ko:K01547	btg:BTB_c08310
ko:K01548	btg:BTB_c08320
ko:K07646	btg:BTB_c08330
ko:K06901	btg:BTB_c08380
ko:K00847	btg:BTB_c08420
ko:K01193	btg:BTB_c08430
ko:K01695	btg:BTB_c12890
ko:K03303	btg:BTB_c12910
ko:K09136	btg:BTB_c13030
ko:K00658	btg:BTB_c13050
ko:K13280	btg:BTB_c13220
ko:K09607	btg:BTB_c13280
ko:K00164	btg:BTB_c13060
ko:K07729	btg:BTB_c13070
ko:K11072	btg:BTB_c13300
ko:K11071	btg:BTB_c13310
ko:K11070	btg:BTB_c13320
ko:K11069	btg:BTB_c13330
ko:K06994	btg:BTB_c13350
ko:K06180	btg:BTB_c13370
ko:K11473	btg:BTB_c13400
ko:K02647	btg:BTB_c13420
ko:K00782	btg:BTB_c13490
ko:K02236	btg:BTB_c13500
ko:K02598	btg:BTB_c13520
ko:K11928	btg:BTB_c12820
ko:K01657	btg:BTB_c12830
ko:K01658	btg:BTB_c12840
ko:K00766	btg:BTB_c12850
ko:K01609	btg:BTB_c12860
ko:K01817	btg:BTB_c12870
ko:K01696	btg:BTB_c12880
ko:K06885	btg:BTB_c11640
ko:K03088	btg:BTB_c11660
ko:K13653	btg:BTB_c11670
ko:K07052	btg:BTB_c11720
ko:K03406	btg:BTB_c11770
ko:K01638	btg:BTB_c11800
ko:K01637	btg:BTB_c11810
ko:K15580	btg:BTB_c02140
ko:K15580	btg:BTB_c02170
ko:K02035	btg:BTB_c02180
ko:K11616	btg:BTB_c05930
ko:K00286	btg:BTB_c02200
ko:K03811	btg:BTB_c02210
ko:K05340	btg:BTB_c02220
ko:K02018	btg:BTB_c02230
ko:K02020	btg:BTB_c02240
ko:K07219	btg:BTB_c02250
ko:K01588	btg:BTB_c03370
ko:K01589	btg:BTB_c03380
ko:K01756	btg:BTB_c03390
ko:K01923	btg:BTB_c03400
ko:K01952	btg:BTB_c03410
ko:K01952	btg:BTB_c03420
ko:K01952	btg:BTB_c03430
ko:K00764	btg:BTB_c03440
ko:K01933	btg:BTB_c03450
ko:K11175	btg:BTB_c03460
ko:K00602	btg:BTB_c03470
ko:K01945	btg:BTB_c03480
ko:K03100	btg:BTB_c04730
ko:K08978	btg:BTB_c04760
ko:K07300	btg:BTB_c04790
ko:K01676	btg:BTB_c04830
ko:K03310	btg:BTB_c06520
ko:K10041	btg:BTB_c06530
ko:K10039	btg:BTB_c06540
ko:K10040	btg:BTB_c06550
ko:K02205	btg:BTB_c06570
ko:K03088	btg:BTB_c06600
ko:K03321	btg:BTB_c06690
ko:K02035	btg:BTB_c06720
ko:K02034	btg:BTB_c06730
ko:K03406	btg:BTB_c07540
ko:K03305	btg:BTB_c07600
ko:K03311	btg:BTB_c07610
ko:K07729	btg:BTB_c07660
ko:K03499	btg:BTB_c07700
ko:K02829	btg:BTB_c07710
ko:K02828	btg:BTB_c07720
ko:K02827	btg:BTB_c07730
ko:K02826	btg:BTB_c07740
ko:K03307	btg:BTB_c07790
ko:K06310	btg:BTB_c07800
ko:K06311	btg:BTB_c07810
ko:K06312	btg:BTB_c07820
ko:K04759	btg:BTB_c07830
ko:K04758	btg:BTB_c07850
ko:K02040	btg:BTB_c07860
ko:K02037	btg:BTB_c07870
ko:K02038	btg:BTB_c07880
ko:K02004	btg:BTB_c08840
ko:K02003	btg:BTB_c08850
ko:K02005	btg:BTB_c08860
ko:K02033	btg:BTB_c08880
ko:K02034	btg:BTB_c08890
ko:K03311	btg:BTB_c08900
ko:K06334	btg:BTB_c08910
ko:K06333	btg:BTB_c08920
ko:K06332	btg:BTB_c08930
ko:K10979	btg:BTB_c08960
ko:K03321	btg:BTB_c09630
ko:K01448	btg:BTB_c09730
ko:K02035	btg:BTB_c09790
ko:K02033	btg:BTB_c09800
ko:K02034	btg:BTB_c09810
ko:K07090	btg:BTB_c10030
ko:K06889	btg:BTB_c10120
ko:K04749	btg:BTB_c10520
ko:K03090	btg:BTB_c10540
ko:K03594	btg:BTB_c10550
ko:K00575	btg:BTB_c10570
ko:K03407	btg:BTB_c10580
ko:K01442	btg:BTB_c10700
ko:K03698	btg:BTB_c10760
ko:K15975	btg:BTB_c10790
ko:K15975	btg:BTB_c10800
ko:K03704	btg:BTB_c11840
ko:K02250	btg:BTB_c11870
ko:K03100	btg:BTB_c11900
ko:K03073	btg:BTB_c01170
ko:K02601	btg:BTB_c01180
ko:K02867	btg:BTB_c01190
ko:K02863	btg:BTB_c01200
ko:K02864	btg:BTB_c01210
ko:K02935	btg:BTB_c01220
ko:K00564	btg:BTB_c01230
ko:K03043	btg:BTB_c01240
ko:K03046	btg:BTB_c01250
ko:K07590	btg:BTB_c01260
ko:K02950	btg:BTB_c01270
ko:K02992	btg:BTB_c01280
ko:K02355	btg:BTB_c01290
ko:K02358	btg:BTB_c01300
ko:K02946	btg:BTB_c01310
ko:K02906	btg:BTB_c01320
ko:K02926	btg:BTB_c01330
ko:K02892	btg:BTB_c01340
ko:K02886	btg:BTB_c01350
ko:K02965	btg:BTB_c01360
ko:K02890	btg:BTB_c01370
ko:K02982	btg:BTB_c01380
ko:K02878	btg:BTB_c01390
ko:K02904	btg:BTB_c01400
ko:K00655	btg:BTB_c02320
ko:K03424	btg:BTB_c02390
ko:K02035	btg:BTB_c02460
ko:K02033	btg:BTB_c02470
ko:K02034	btg:BTB_c02480
ko:K00457	btg:BTB_c02550
ko:K00451	btg:BTB_c02570
ko:K03294	btg:BTB_c02580
ko:K01921	btg:BTB_c02600
ko:K01929	btg:BTB_c02610
ko:K05592	btg:BTB_c02620
ko:K00997	btg:BTB_c02650
ko:K01775	btg:BTB_c02670
ko:K07723	btg:BTB_c02680
ko:K06959	btg:BTB_c02700
ko:K03095	btg:BTB_c02710
ko:K07094	btg:BTB_c03540
ko:K03657	btg:BTB_c03550
ko:K01972	btg:BTB_c03560
ko:K07090	btg:BTB_c03580
ko:K00294	btg:BTB_c03590
ko:K02071	btg:BTB_c03610
ko:K02072	btg:BTB_c03620
ko:K02073	btg:BTB_c03630
ko:K02435	btg:BTB_c03680
ko:K02433	btg:BTB_c03690
ko:K02434	btg:BTB_c03700
ko:K01091	btg:BTB_c03720
ko:K00135	btg:BTB_c03750
ko:K03317	btg:BTB_c03820
ko:K03215	btg:BTB_c03830
ko:K07043	btg:BTB_c03860
ko:K03315	btg:BTB_c03900
ko:K14665	btg:BTB_c03910
ko:K03387	btg:BTB_c03940
ko:K03386	btg:BTB_c03950
ko:K00899	btg:BTB_c03960
ko:K08963	btg:BTB_c03970
ko:K01628	btg:BTB_c03980
ko:K02015	btg:BTB_c03990
ko:K02015	btg:BTB_c04000
ko:K02016	btg:BTB_c04010
ko:K01247	btg:BTB_c04850
ko:K06173	btg:BTB_c04870
ko:K06714	btg:BTB_c04890
ko:K01425	btg:BTB_c04960
ko:K01784	btg:BTB_c05030
ko:K00656	btg:BTB_c05050
ko:K04069	btg:BTB_c05060
ko:K11614	btg:BTB_c05910
ko:K00027	btg:BTB_c05940
ko:K00375	btg:BTB_c05970
ko:K02379	btg:BTB_c06030
ko:K00123	btg:BTB_c06040
ko:K01126	btg:BTB_c06060
ko:K00259	btg:BTB_c06070
ko:K03294	btg:BTB_c06080
ko:K01534	btg:BTB_c06100
ko:K00763	btg:BTB_c06110
ko:K11535	btg:BTB_c06200
ko:K08234	btg:BTB_c06210
ko:K01744	btg:BTB_c06230
ko:K03303	btg:BTB_c06240
ko:K06425	btg:BTB_c06260
ko:K03305	btg:BTB_c06270
ko:K02016	btg:BTB_c06280
ko:K02015	btg:BTB_c06290
ko:K02015	btg:BTB_c06300
ko:K02013	btg:BTB_c06310
ko:K02033	btg:BTB_c06740
ko:K02445	btg:BTB_c06770
ko:K02529	btg:BTB_c06800
ko:K00852	btg:BTB_c06810
ko:K06726	btg:BTB_c06820
ko:K10441	btg:BTB_c06830
ko:K10440	btg:BTB_c06840
ko:K10439	btg:BTB_c06850
ko:K00616	btg:BTB_c06860
ko:K09607	btg:BTB_c06870
ko:K01114	btg:BTB_c06910
ko:K07729	btg:BTB_c06970
ko:K07729	btg:BTB_c06980
ko:K03707	btg:BTB_c08180
ko:K03294	btg:BTB_c09050
ko:K07106	btg:BTB_c09090
ko:K09963	btg:BTB_c09110
ko:K01569	btg:BTB_c10880
ko:K02443	btg:BTB_c10900
ko:K02440	btg:BTB_c10910
ko:K00864	btg:BTB_c10920
ko:K00111	btg:BTB_c10930
ko:K03088	btg:BTB_c10970
ko:K03657	btg:BTB_c11000
ko:K07533	btg:BTB_c11020
ko:K09682	btg:BTB_c11050
ko:K02503	btg:BTB_c11070
ko:K09167	btg:BTB_c11200
ko:K08981	btg:BTB_c11210
ko:K09167	btg:BTB_c11320
ko:K08981	btg:BTB_c11330
ko:K01599	btg:BTB_c11360
ko:K01772	btg:BTB_c11370
ko:K00231	btg:BTB_c11380
ko:K07004	btg:BTB_c11400
ko:K06304	btg:BTB_c11940
ko:K06303	btg:BTB_c11950
ko:K06302	btg:BTB_c11960
ko:K06301	btg:BTB_c11970
ko:K06300	btg:BTB_c11980
ko:K06299	btg:BTB_c11990
ko:K00819	btg:BTB_c12030
ko:K01953	btg:BTB_c12060
ko:K01772	btg:BTB_c12070
ko:K03781	btg:BTB_c12080
ko:K03320	btg:BTB_c12090
ko:K09767	btg:BTB_c12130
ko:K00243	btg:BTB_c12140
ko:K07533	btg:BTB_c12150
ko:K03695	btg:BTB_c12220
ko:K02254	btg:BTB_c12260
ko:K00648	btg:BTB_c12270
ko:K09458	btg:BTB_c12280
ko:K18925	btg:BTB_c09210
ko:K18231	btg:BTB_c26540
ko:K18925	btg:BTB_c49520
ko:K18924	btg:BTB_c09200
ko:K18640	btg:BTB_502p06080
ko:K03758	btg:BTB_c06430
ko:K02851	btg:BTB_c53920
ko:K07050	btg:BTB_c17150
ko:K16961	btg:BTB_c36060
ko:K07149	btg:BTB_c38170
ko:K19689	btg:BTB_c03780
ko:K03297	btg:BTB_c03760
ko:K01101	btg:BTB_c51830
ko:K05592	btg:BTB_c56520
ko:K09022	btg:BTB_c00530
ko:K06147	btg:BTB_c24480
ko:K02034	btg:BTB_c02110
ko:K07149	btg:BTB_c56030
ko:K07260	btg:BTB_c33410
ko:K00001	btg:BTB_c26380
ko:K03169	btg:BTB_c04330
ko:K03417	btg:BTB_c23700
ko:K10040	btg:BTB_c06560
ko:K18926	btg:BTB_c10060
ko:K11035	btg:BTB_c25530
ko:K11033	btg:BTB_c18590
ko:K11037	btg:BTB_c25520
ko:K11036	btg:BTB_c25510
ko:K11035	btg:BTB_c25540
ko:K18682	btg:BTB_c38510
ko:K01400	btg:BTB_c06140
ko:K05739	btg:BTB_c15430
ko:K03977	btg:BTB_c15450
ko:K00057	btg:BTB_c15460
ko:K06398	btg:BTB_c15500
ko:K03530	btg:BTB_c15510
ko:K01495	btg:BTB_c15520
ko:K03183	btg:BTB_c15540
ko:K00940	btg:BTB_c15560
ko:K01736	btg:BTB_c15570
ko:K01735	btg:BTB_c15580
ko:K00817	btg:BTB_c15590
ko:K03887	btg:BTB_c15640
ko:K03888	btg:BTB_c15650
ko:K06973	btg:BTB_c15690
ko:K00215	btg:BTB_c15730
ko:K01734	btg:BTB_c15740
ko:K03524	btg:BTB_c15780
ko:K00606	btg:BTB_c15800
ko:K01918	btg:BTB_c15810
ko:K01579	btg:BTB_c15820
ko:K00812	btg:BTB_c15860
ko:K10773	btg:BTB_c15880
ko:K05366	btg:BTB_c15890
ko:K03088	btg:BTB_c24850
ko:K02760	btg:BTB_c24910
ko:K02761	btg:BTB_c24920
ko:K09001	btg:BTB_c24940
ko:K01754	btg:BTB_c24980
ko:K00831	btg:BTB_c33300
ko:K01434	btg:BTB_c33350
ko:K07282	btg:BTB_c33420
ko:K02106	btg:BTB_c33530
ko:K02553	btg:BTB_c33650
ko:K01892	btg:BTB_c33750
ko:K00899	btg:BTB_c41680
ko:K08965	btg:BTB_c41710
ko:K08966	btg:BTB_c41720
ko:K08967	btg:BTB_c41740
ko:K03480	btg:BTB_c41860
ko:K03710	btg:BTB_c41880
ko:K01443	btg:BTB_c41900
ko:K06024	btg:BTB_c41920
ko:K05896	btg:BTB_c41930
ko:K02859	btg:BTB_c41960
ko:K06408	btg:BTB_c42000
ko:K06407	btg:BTB_c42010
ko:K06407	btg:BTB_c42020
ko:K06406	btg:BTB_c42030
ko:K06405	btg:BTB_c42040
ko:K06404	btg:BTB_c42050
ko:K06403	btg:BTB_c42060
ko:K03308	btg:BTB_c42080
ko:K03091	btg:BTB_c42090
ko:K06379	btg:BTB_c42100
ko:K00874	btg:BTB_c50040
ko:K01042	btg:BTB_c50060
ko:K01465	btg:BTB_c50070
ko:K01911	btg:BTB_c50130
ko:K01661	btg:BTB_c50140
ko:K02551	btg:BTB_c50160
ko:K02548	btg:BTB_c50180
ko:K03704	btg:BTB_c50200
ko:K00688	btg:BTB_c50260
ko:K00703	btg:BTB_c50270
ko:K00975	btg:BTB_c50280
ko:K00975	btg:BTB_c50290
ko:K07559	btg:BTB_502p00680
ko:K01753	btg:BTB_c17740
ko:K06131	btg:BTB_c17860
ko:K09903	btg:BTB_c17870
ko:K11102	btg:BTB_c17880
ko:K01744	btg:BTB_c17890
ko:K07717	btg:BTB_c17910
ko:K07719	btg:BTB_c17920
ko:K01914	btg:BTB_c17960
ko:K00928	btg:BTB_c17990
ko:K00648	btg:BTB_c18080
ko:K03665	btg:BTB_c18110
ko:K08223	btg:BTB_c18120
ko:K01738	btg:BTB_c18130
ko:K03308	btg:BTB_c18170
ko:K00675	btg:BTB_c35510
ko:K08602	btg:BTB_c35520
ko:K10536	btg:BTB_c35530
ko:K13256	btg:BTB_c35570
ko:K10536	btg:BTB_c35580
ko:K01126	btg:BTB_c35640
ko:K07734	btg:BTB_c35710
ko:K11032	btg:BTB_c35930
ko:K01448	btg:BTB_c35940
ko:K00891	btg:BTB_c43760
ko:K00472	btg:BTB_c43770
ko:K02247	btg:BTB_c43800
ko:K06956	btg:BTB_c43870
ko:K02563	btg:BTB_c43940
ko:K02913	btg:BTB_c44090
ko:K02039	btg:BTB_c44110
ko:K02036	btg:BTB_c44120
ko:K02038	btg:BTB_c44130
ko:K02037	btg:BTB_c44140
ko:K02040	btg:BTB_c44150
ko:K08222	btg:BTB_c44170
ko:K04564	btg:BTB_c44180
ko:K07516	btg:BTB_c52320
ko:K00318	btg:BTB_c52350
ko:K03217	btg:BTB_c52450
ko:K01874	btg:BTB_c52610
ko:K06911	btg:BTB_c52670
ko:K07228	btg:BTB_c52720
ko:K07697	btg:BTB_c13840
ko:K06920	btg:BTB_c13850
ko:K01737	btg:BTB_c13860
ko:K10026	btg:BTB_c13870
ko:K09457	btg:BTB_c13880
ko:K01999	btg:BTB_c19950
ko:K01995	btg:BTB_c19960
ko:K01996	btg:BTB_c19970
ko:K01997	btg:BTB_c19980
ko:K01998	btg:BTB_c19990
ko:K00425	btg:BTB_c20060
ko:K00426	btg:BTB_c20070
ko:K07078	btg:BTB_c20200
ko:K07006	btg:BTB_c20340
ko:K00003	btg:BTB_c20350
ko:K01733	btg:BTB_c20360
ko:K00872	btg:BTB_c20370
ko:K07507	btg:BTB_c20460
ko:K02001	btg:BTB_c29030
ko:K02000	btg:BTB_c29040
ko:K02002	btg:BTB_c29050
ko:K01358	btg:BTB_c29060
ko:K03088	btg:BTB_c29070
ko:K01807	btg:BTB_c29090
ko:K03823	btg:BTB_c29220
ko:K03657	btg:BTB_c29280
ko:K03654	btg:BTB_c29340
ko:K01448	btg:BTB_c29400
ko:K03310	btg:BTB_c29490
ko:K01714	btg:BTB_c29510
ko:K00615	btg:BTB_c37610
ko:K02042	btg:BTB_c37620
ko:K02042	btg:BTB_c37630
ko:K02041	btg:BTB_c37640
ko:K02044	btg:BTB_c37650
ko:K01356	btg:BTB_c37690
ko:K01915	btg:BTB_c37730
ko:K03665	btg:BTB_c37760
ko:K06413	btg:BTB_c37790
ko:K03666	btg:BTB_c37840
ko:K00791	btg:BTB_c37850
ko:K02768	btg:BTB_c37880
ko:K02769	btg:BTB_c37880
ko:K02770	btg:BTB_c37880
ko:K08976	btg:BTB_c37920
ko:K11735	btg:BTB_c37950
ko:K03530	btg:BTB_c37990
ko:K15256	btg:BTB_c38060
ko:K03979	btg:BTB_c45780
ko:K06375	btg:BTB_c45790
ko:K02899	btg:BTB_c45800
ko:K02888	btg:BTB_c45820
ko:K08301	btg:BTB_c45830
ko:K06401	btg:BTB_c45850
ko:K03609	btg:BTB_c45860
ko:K03610	btg:BTB_c45870
ko:K03571	btg:BTB_c45880
ko:K03570	btg:BTB_c45890
ko:K03569	btg:BTB_c45900
ko:K03630	btg:BTB_c45910
ko:K06287	btg:BTB_c45920
ko:K11754	btg:BTB_c45940
ko:K01873	btg:BTB_c45950
ko:K06417	btg:BTB_c45970
ko:K01845	btg:BTB_c45980
ko:K01698	btg:BTB_c45990
ko:K01749	btg:BTB_c46010
ko:K02497	btg:BTB_c46020
ko:K02492	btg:BTB_c46030
ko:K03978	btg:BTB_c46060
ko:K01338	btg:BTB_c46070
ko:K03544	btg:BTB_c46090
ko:K03545	btg:BTB_c46100
ko:K02250	btg:BTB_c54460
ko:K02003	btg:BTB_c54500
ko:K02445	btg:BTB_c54540
ko:K00459	btg:BTB_c14100
ko:K03740	btg:BTB_c14110
ko:K14188	btg:BTB_c14120
ko:K03739	btg:BTB_c14130
ko:K03367	btg:BTB_c14140
ko:K03839	btg:BTB_c14180
ko:K03327	btg:BTB_c14250
ko:K06153	btg:BTB_c14260
ko:K03118	btg:BTB_c22750
ko:K07152	btg:BTB_c22790
ko:K01953	btg:BTB_c22810
ko:K01448	btg:BTB_c22840
ko:K02016	btg:BTB_c22850
ko:K00824	btg:BTB_c22860
ko:K05847	btg:BTB_c23120
ko:K03758	btg:BTB_c23140
ko:K11686	btg:BTB_c23200
ko:K01034	btg:BTB_c23280
ko:K01438	btg:BTB_c23300
ko:K06714	btg:BTB_c23320
ko:K02003	btg:BTB_c31730
ko:K03100	btg:BTB_c31790
ko:K01304	btg:BTB_c31820
ko:K07160	btg:BTB_c31850
ko:K06350	btg:BTB_c31860
ko:K03100	btg:BTB_c31900
ko:K09932	btg:BTB_c32140
ko:K15973	btg:BTB_c32180
ko:K01955	btg:BTB_c40140
ko:K01956	btg:BTB_c40150
ko:K01465	btg:BTB_c40160
ko:K00609	btg:BTB_c40170
ko:K02825	btg:BTB_c40190
ko:K06180	btg:BTB_c40200
ko:K03101	btg:BTB_c40210
ko:K01870	btg:BTB_c40230
ko:K04074	btg:BTB_c40240
ko:K02221	btg:BTB_c40260
ko:K09772	btg:BTB_c40270
ko:K06997	btg:BTB_c40280
ko:K05810	btg:BTB_c40290
ko:K03091	btg:BTB_c40310
ko:K03091	btg:BTB_c40320
ko:K06383	btg:BTB_c40330
ko:K03531	btg:BTB_c40340
ko:K03590	btg:BTB_c40350
ko:K03589	btg:BTB_c40360
ko:K00075	btg:BTB_c40370
ko:K02563	btg:BTB_c40380
ko:K03588	btg:BTB_c40390
ko:K01925	btg:BTB_c40400
ko:K01000	btg:BTB_c40410
ko:K01928	btg:BTB_c40420
ko:K08384	btg:BTB_c40430
