ko:K02548	sax:USA300HOU_0989
ko:K03978	sax:USA300HOU_1665
ko:K03544	sax:USA300HOU_1666
ko:K03545	sax:USA300HOU_1667
ko:K01868	sax:USA300HOU_1669
ko:K11144	sax:USA300HOU_1671
ko:K08258	sax:USA300HOU_1910
ko:K05340	sax:USA300HOU_2238
ko:K07088	sax:USA300HOU_2240
ko:K03639	sax:USA300HOU_2250
ko:K03752	sax:USA300HOU_2251
ko:K03635	sax:USA300HOU_2253
ko:K03753	sax:USA300HOU_2254
ko:K03750	sax:USA300HOU_2255
ko:K03637	sax:USA300HOU_2256
ko:K03638	sax:USA300HOU_2257
ko:K02018	sax:USA300HOU_2260
ko:K02020	sax:USA300HOU_2261
ko:K02379	sax:USA300HOU_2262
ko:K03523	sax:USA300HOU_2264
ko:K03631	sax:USA300HOU_1521
ko:K07651	sax:USA300HOU_1493
ko:K07652	sax:USA300HOU_0019
ko:K08303	sax:USA300HOU_1612
ko:K01807	sax:USA300HOU_2316
ko:K03427	sax:USA300HOU_1800
ko:K04485	sax:USA300HOU_0519
ko:K09007	sax:USA300HOU_0560
ko:K03686	sax:USA300HOU_1580
ko:K02563	sax:USA300HOU_1355
ko:K02600	sax:USA300HOU_1198
ko:K11085	sax:USA300HOU_1861
ko:K06178	sax:USA300HOU_1495
ko:K04077	sax:USA300HOU_2024
ko:K02114	sax:USA300HOU_2092
ko:K02115	sax:USA300HOU_2094
ko:K01955	sax:USA300HOU_1141
ko:K03885	sax:USA300HOU_0899
ko:K00363	sax:USA300HOU_2381
ko:K09769	sax:USA300HOU_1220
ko:K01589	sax:USA300HOU_1010
ko:K00362	sax:USA300HOU_2382
ko:K03187	sax:USA300HOU_2272
ko:K03188	sax:USA300HOU_2273
ko:K03189	sax:USA300HOU_2274
ko:K03190	sax:USA300HOU_2275
ko:K06180	sax:USA300HOU_1134
ko:K06180	sax:USA300HOU_0965
ko:K10947	sax:USA300HOU_2694
ko:K01963	sax:USA300HOU_1687
ko:K01902	sax:USA300HOU_1177
ko:K03043	sax:USA300HOU_0536
ko:K03060	sax:USA300HOU_1148
ko:K01623	sax:USA300HOU_2599
ko:K01903	sax:USA300HOU_1176
ko:K00123	sax:USA300HOU_2291
ko:K03657	sax:USA300HOU_1906
ko:K00793	sax:USA300HOU_1759
ko:K00282	sax:USA300HOU_1537
ko:K03040	sax:USA300HOU_2215
ko:K01658	sax:USA300HOU_1303
ko:K00380	sax:USA300HOU_2618
ko:K02499	sax:USA300HOU_0499
ko:K07704	sax:USA300HOU_0271
ko:K03763	sax:USA300HOU_1196
ko:K00283	sax:USA300HOU_1536
ko:K01026	sax:USA300HOU_0244
ko:K07636	sax:USA300HOU_1679
ko:K03593	sax:USA300HOU_2157
ko:K02015	sax:USA300HOU_2167
ko:K02015	sax:USA300HOU_2168
ko:K02016	sax:USA300HOU_2169
ko:K03708	sax:USA300HOU_0515
ko:K07775	sax:USA300HOU_1494
ko:K09763	sax:USA300HOU_1497
ko:K07119	sax:USA300HOU_2180
ko:K01220	sax:USA300HOU_2182
ko:K02530	sax:USA300HOU_2189
ko:K01924	sax:USA300HOU_1730
ko:K03439	sax:USA300HOU_1738
ko:K00824	sax:USA300HOU_1741
ko:K01439	sax:USA300HOU_1742
ko:K07007	sax:USA300HOU_1746
ko:K01869	sax:USA300HOU_1749
ko:K07139	sax:USA300HOU_1751
ko:K03893	sax:USA300HOU_1763
ko:K02015	sax:USA300HOU_0124
ko:K02015	sax:USA300HOU_0125
ko:K02016	sax:USA300HOU_0126
ko:K03696	sax:USA300HOU_0518
ko:K00640	sax:USA300HOU_0522
ko:K11145	sax:USA300HOU_0524
ko:K03218	sax:USA300HOU_0525
ko:K06962	sax:USA300HOU_0526
ko:K03091	sax:USA300HOU_0527
ko:K02913	sax:USA300HOU_0528
ko:K03073	sax:USA300HOU_0529
ko:K02601	sax:USA300HOU_0530
ko:K02864	sax:USA300HOU_0533
ko:K02935	sax:USA300HOU_0534
ko:K07590	sax:USA300HOU_0538
ko:K02950	sax:USA300HOU_0539
ko:K02992	sax:USA300HOU_0540
ko:K02358	sax:USA300HOU_0541
ko:K00639	sax:USA300HOU_0543
ko:K05523	sax:USA300HOU_0544
ko:K00826	sax:USA300HOU_0547
ko:K08170	sax:USA300HOU_0115
ko:K10254	sax:USA300HOU_0117
ko:K04488	sax:USA300HOU_0874
ko:K09014	sax:USA300HOU_0875
ko:K03367	sax:USA300HOU_0893
ko:K03739	sax:USA300HOU_0894
ko:K07243	sax:USA300HOU_0366
ko:K03118	sax:USA300HOU_0367
ko:K03116	sax:USA300HOU_0368
ko:K00549	sax:USA300HOU_0377
ko:K06942	sax:USA300HOU_0384
ko:K02990	sax:USA300HOU_0387
ko:K03111	sax:USA300HOU_0388
ko:K02963	sax:USA300HOU_0389
ko:K03387	sax:USA300HOU_0403
ko:K06941	sax:USA300HOU_1155
ko:K06949	sax:USA300HOU_1158
ko:K01783	sax:USA300HOU_1159
ko:K07030	sax:USA300HOU_1162
ko:K03789	sax:USA300HOU_2045
ko:K02076	sax:USA300HOU_1556
ko:K09816	sax:USA300HOU_1557
ko:K09817	sax:USA300HOU_1558
ko:K01151	sax:USA300HOU_1559
ko:K03086	sax:USA300HOU_1563
ko:K02316	sax:USA300HOU_1564
ko:K09773	sax:USA300HOU_1565
ko:K03584	sax:USA300HOU_1567
ko:K03595	sax:USA300HOU_1568
ko:K01489	sax:USA300HOU_1569
ko:K06217	sax:USA300HOU_1572
ko:K02970	sax:USA300HOU_1576
ko:K09761	sax:USA300HOU_1578
ko:K02687	sax:USA300HOU_1579
ko:K04043	sax:USA300HOU_1581
ko:K03687	sax:USA300HOU_1582
ko:K03705	sax:USA300HOU_1583
ko:K03596	sax:USA300HOU_1586
ko:K02968	sax:USA300HOU_1587
ko:K01493	sax:USA300HOU_1590
ko:K09710	sax:USA300HOU_1593
ko:K00969	sax:USA300HOU_1595
ko:K07574	sax:USA300HOU_1596
ko:K00014	sax:USA300HOU_1597
ko:K07015	sax:USA300HOU_1599
ko:K07160	sax:USA300HOU_1605
ko:K01462	sax:USA300HOU_1034
ko:K07002	sax:USA300HOU_1822
ko:K01772	sax:USA300HOU_1824
ko:K01599	sax:USA300HOU_1825
ko:K07533	sax:USA300HOU_1833
ko:K03698	sax:USA300HOU_1834
ko:K03216	sax:USA300HOU_1850
ko:K07035	sax:USA300HOU_1854
ko:K02032	sax:USA300HOU_1313
ko:K02031	sax:USA300HOU_1314
ko:K02034	sax:USA300HOU_1315
ko:K02033	sax:USA300HOU_1316
ko:K02039	sax:USA300HOU_1319
ko:K02036	sax:USA300HOU_1320
ko:K02038	sax:USA300HOU_1321
ko:K02037	sax:USA300HOU_1322
ko:K02040	sax:USA300HOU_1324
ko:K00243	sax:USA300HOU_1326
ko:K00116	sax:USA300HOU_2348
ko:K03303	sax:USA300HOU_2349
ko:K02564	sax:USA300HOU_0563
ko:K03740	sax:USA300HOU_0896
ko:K07084	sax:USA300HOU_0903
ko:K05571	sax:USA300HOU_0906
ko:K05570	sax:USA300HOU_0907
ko:K05569	sax:USA300HOU_0908
ko:K05568	sax:USA300HOU_0909
ko:K05567	sax:USA300HOU_0910
ko:K05566	sax:USA300HOU_0911
ko:K01126	sax:USA300HOU_0918
ko:K01755	sax:USA300HOU_0919
ko:K01940	sax:USA300HOU_0920
ko:K01810	sax:USA300HOU_0921
ko:K03100	sax:USA300HOU_0923
ko:K03100	sax:USA300HOU_0924
ko:K01866	sax:USA300HOU_1717
ko:K01938	sax:USA300HOU_1721
ko:K04766	sax:USA300HOU_1723
ko:K04768	sax:USA300HOU_1724
ko:K03621	sax:USA300HOU_1165
ko:K00645	sax:USA300HOU_1166
ko:K02078	sax:USA300HOU_1169
ko:K03529	sax:USA300HOU_1171
ko:K04096	sax:USA300HOU_1180
ko:K04094	sax:USA300HOU_1182
ko:K03706	sax:USA300HOU_1186
ko:K02967	sax:USA300HOU_1188
ko:K02357	sax:USA300HOU_1190
ko:K09903	sax:USA300HOU_1191
ko:K00806	sax:USA300HOU_1192
ko:K00981	sax:USA300HOU_1193
ko:K01881	sax:USA300HOU_1195
ko:K09748	sax:USA300HOU_1197
ko:K07742	sax:USA300HOU_1199
ko:K02519	sax:USA300HOU_1201
ko:K02834	sax:USA300HOU_1202
ko:K02956	sax:USA300HOU_1205
ko:K00962	sax:USA300HOU_1206
ko:K02529	sax:USA300HOU_0283
ko:K02529	sax:USA300HOU_1725
ko:K00241	sax:USA300HOU_1083
ko:K05337	sax:USA300HOU_1422
ko:K02503	sax:USA300HOU_1830
ko:K02242	sax:USA300HOU_0778
ko:K02775	sax:USA300HOU_0258
ko:K03466	sax:USA300HOU_1731
ko:K03466	sax:USA300HOU_1208
ko:K00161	sax:USA300HOU_1036
ko:K01952	sax:USA300HOU_1014
ko:K00764	sax:USA300HOU_1015
ko:K01933	sax:USA300HOU_1016
ko:K01945	sax:USA300HOU_1018
ko:K06969	sax:USA300HOU_1023
ko:K08483	sax:USA300HOU_1026
ko:K00426	sax:USA300HOU_1029
