ko:K18137	abj:BJAB07104_01639
ko:K00014	abj:BJAB07104_03397
ko:K07168	abj:BJAB07104_03402
ko:K01878	abj:BJAB07104_03407
ko:K01879	abj:BJAB07104_03408
ko:K05526	abj:BJAB07104_03417
ko:K01484	abj:BJAB07104_03418
ko:K06447	abj:BJAB07104_03419
ko:K00673	abj:BJAB07104_03420
ko:K00840	abj:BJAB07104_03421
ko:K00261	abj:BJAB07104_03422
ko:K06911	abj:BJAB07104_02751
ko:K08368	abj:BJAB07104_02758
ko:K04030	abj:BJAB07104_02764
ko:K05297	abj:BJAB07104_02766
ko:K11735	abj:BJAB07104_02772
ko:K00140	abj:BJAB07104_02773
ko:K06995	abj:BJAB07104_02774
ko:K06200	abj:BJAB07104_02785
ko:K02356	abj:BJAB07104_02786
ko:K02909	abj:BJAB07104_02790
ko:K14347	abj:BJAB07104_02791
ko:K08218	abj:BJAB07104_02793
ko:K06194	abj:BJAB07104_02796
ko:K07659	abj:BJAB07104_03519
ko:K07638	abj:BJAB07104_03520
ko:K01693	abj:BJAB07104_03524
ko:K02501	abj:BJAB07104_03525
ko:K01814	abj:BJAB07104_03528
ko:K02204	abj:BJAB07104_03534
ko:K02500	abj:BJAB07104_03535
ko:K06188	abj:BJAB07104_03538
ko:K01173	abj:BJAB07104_03542
ko:K03549	abj:BJAB07104_03544
ko:K08224	abj:BJAB07104_03560
ko:K06911	abj:BJAB07104_03566
ko:K07661	abj:BJAB07104_00755
ko:K07639	abj:BJAB07104_00756
ko:K00330	abj:BJAB07104_00759
ko:K00331	abj:BJAB07104_00760
ko:K13378	abj:BJAB07104_00761
ko:K00334	abj:BJAB07104_00762
ko:K00337	abj:BJAB07104_00765
ko:K00338	abj:BJAB07104_00766
ko:K00339	abj:BJAB07104_00767
ko:K00340	abj:BJAB07104_00768
ko:K00341	abj:BJAB07104_00769
ko:K00342	abj:BJAB07104_00770
ko:K00343	abj:BJAB07104_00771
ko:K00761	abj:BJAB07104_00772
ko:K00528	abj:BJAB07104_00775
ko:K07007	abj:BJAB07104_00780
ko:K01874	abj:BJAB07104_00787
ko:K09928	abj:BJAB07104_00791
ko:K01494	abj:BJAB07104_00793
ko:K05541	abj:BJAB07104_00799
ko:K05820	abj:BJAB07104_01602
ko:K01961	abj:BJAB07104_01604
ko:K02160	abj:BJAB07104_01605
ko:K03786	abj:BJAB07104_01606
ko:K00362	abj:BJAB07104_01612
ko:K00372	abj:BJAB07104_01614
ko:K03752	abj:BJAB07104_01615
ko:K03639	abj:BJAB07104_01617
ko:K03750	abj:BJAB07104_01621
ko:K07235	abj:BJAB07104_01628
ko:K09810	abj:BJAB07104_02944
ko:K09808	abj:BJAB07104_02945
ko:K09768	abj:BJAB07104_02947
ko:K00831	abj:BJAB07104_02950
ko:K01993	abj:BJAB07104_02953
ko:K02469	abj:BJAB07104_02960
ko:K03522	abj:BJAB07104_02961
ko:K03521	abj:BJAB07104_02962
ko:K03733	abj:BJAB07104_02963
ko:K01778	abj:BJAB07104_02965
ko:K01586	abj:BJAB07104_02966
ko:K11737	abj:BJAB07104_02968
ko:K04485	abj:BJAB07104_02970
ko:K04568	abj:BJAB07104_02972
ko:K03473	abj:BJAB07104_02973
ko:K02379	abj:BJAB07104_02975
ko:K00865	abj:BJAB07104_02978
ko:K16137	abj:BJAB07104_02979
ko:K07124	abj:BJAB07104_02980
ko:K07044	abj:BJAB07104_02983
ko:K04760	abj:BJAB07104_02988
ko:K00457	abj:BJAB07104_03714
ko:K03453	abj:BJAB07104_03717
ko:K08281	abj:BJAB07104_03718
ko:K01714	abj:BJAB07104_03719
ko:K01923	abj:BJAB07104_03721
ko:K07478	abj:BJAB07104_03725
ko:K09160	abj:BJAB07104_03727
ko:K03575	abj:BJAB07104_03731
ko:K01246	abj:BJAB07104_03734
ko:K12957	abj:BJAB07104_03735
ko:K06222	abj:BJAB07104_03740
ko:K00215	abj:BJAB07104_03743
ko:K03686	abj:BJAB07104_03745
ko:K01595	abj:BJAB07104_03750
ko:K07090	abj:BJAB07104_03753
ko:K01687	abj:BJAB07104_03755
ko:K00604	abj:BJAB07104_03756
ko:K03500	abj:BJAB07104_03757
ko:K03308	abj:BJAB07104_03759
ko:K03735	abj:BJAB07104_02460
ko:K03736	abj:BJAB07104_02461
ko:K01951	abj:BJAB07104_02462
ko:K01886	abj:BJAB07104_02463
ko:K03269	abj:BJAB07104_02465
ko:K10679	abj:BJAB07104_02467
ko:K03666	abj:BJAB07104_02469
ko:K00791	abj:BJAB07104_02470
ko:K03572	abj:BJAB07104_02471
ko:K06925	abj:BJAB07104_02472
ko:K03576	abj:BJAB07104_02479
ko:K10716	abj:BJAB07104_02483
ko:K01682	abj:BJAB07104_02485
ko:K09800	abj:BJAB07104_02487
ko:K06134	abj:BJAB07104_02490
ko:K09470	abj:BJAB07104_02492
ko:K07667	abj:BJAB07104_02493
ko:K07646	abj:BJAB07104_02494
ko:K01548	abj:BJAB07104_02495
ko:K01547	abj:BJAB07104_02496
ko:K01546	abj:BJAB07104_02498
ko:K00950	abj:BJAB07104_02499
ko:K01633	abj:BJAB07104_02500
ko:K01895	abj:BJAB07104_02504
ko:K01876	abj:BJAB07104_03233
ko:K07276	abj:BJAB07104_03243
ko:K00826	abj:BJAB07104_03244
ko:K00982	abj:BJAB07104_03245
ko:K07568	abj:BJAB07104_03250
ko:K03744	abj:BJAB07104_03252
ko:K00773	abj:BJAB07104_03253
ko:K03210	abj:BJAB07104_03254
ko:K03072	abj:BJAB07104_03255
ko:K03074	abj:BJAB07104_03256
ko:K13038	abj:BJAB07104_03257
ko:K03630	abj:BJAB07104_03258
ko:K07053	abj:BJAB07104_03260
ko:K06190	abj:BJAB07104_03261
ko:K09780	abj:BJAB07104_03262
ko:K15461	abj:BJAB07104_03264
ko:K09767	abj:BJAB07104_03266
ko:K10806	abj:BJAB07104_03268
ko:K03672	abj:BJAB07104_03269
ko:K00382	abj:BJAB07104_03273
ko:K03665	abj:BJAB07104_03281
ko:K03106	abj:BJAB07104_00801
ko:K03525	abj:BJAB07104_00802
ko:K03524	abj:BJAB07104_00803
ko:K03529	abj:BJAB07104_00806
ko:K03528	abj:BJAB07104_00807
ko:K01972	abj:BJAB07104_00808
ko:K03594	abj:BJAB07104_00809
ko:K00697	abj:BJAB07104_00811
ko:K01087	abj:BJAB07104_00812
ko:K02170	abj:BJAB07104_00813
ko:K00833	abj:BJAB07104_00814
ko:K02169	abj:BJAB07104_00816
ko:K01935	abj:BJAB07104_00817
ko:K06178	abj:BJAB07104_00818
ko:K06024	abj:BJAB07104_00819
ko:K05896	abj:BJAB07104_00820
ko:K09906	abj:BJAB07104_00822
ko:K07040	abj:BJAB07104_00823
ko:K02911	abj:BJAB07104_00824
ko:K00645	abj:BJAB07104_00825
ko:K02078	abj:BJAB07104_00827
ko:K00941	abj:BJAB07104_00829
ko:K01091	abj:BJAB07104_00830
ko:K01579	abj:BJAB07104_00834
ko:K01056	abj:BJAB07104_00835
ko:K02897	abj:BJAB07104_00836
ko:K00948	abj:BJAB07104_00837
ko:K00919	abj:BJAB07104_00839
ko:K02494	abj:BJAB07104_00840
ko:K02492	abj:BJAB07104_00842
ko:K05807	abj:BJAB07104_00844
ko:K06180	abj:BJAB07104_00845
ko:K05810	abj:BJAB07104_00846
ko:K00285	abj:BJAB07104_01634
ko:K01770	abj:BJAB07104_01636
ko:K07712	abj:BJAB07104_01640
ko:K07708	abj:BJAB07104_01641
ko:K14441	abj:BJAB07104_01643
ko:K09903	abj:BJAB07104_01644
ko:K02838	abj:BJAB07104_01645
ko:K00806	abj:BJAB07104_01646
ko:K00981	abj:BJAB07104_01647
ko:K00099	abj:BJAB07104_01648
ko:K11749	abj:BJAB07104_01649
ko:K07277	abj:BJAB07104_01650
ko:K06142	abj:BJAB07104_01651
ko:K02536	abj:BJAB07104_01652
ko:K02372	abj:BJAB07104_01653
ko:K00677	abj:BJAB07104_01654
ko:K03565	abj:BJAB07104_01656
ko:K04762	abj:BJAB07104_01658
ko:K01556	abj:BJAB07104_01665
ko:K03321	abj:BJAB07104_01669
ko:K00117	abj:BJAB07104_01671
ko:K02769	abj:BJAB07104_01678
ko:K02770	abj:BJAB07104_01678
ko:K14225	abj:BJAB07104_tRNA11
ko:K03774	abj:BJAB07104_00055
ko:K03101	abj:BJAB07104_00056
ko:K01870	abj:BJAB07104_00057
ko:K11753	abj:BJAB07104_00058
ko:K15554	abj:BJAB07104_00063
ko:K15553	abj:BJAB07104_00065
ko:K15553	abj:BJAB07104_00066
ko:K14682	abj:BJAB07104_00067
ko:K03673	abj:BJAB07104_00073
ko:K00989	abj:BJAB07104_00078
ko:K01114	abj:BJAB07104_00080
ko:K00767	abj:BJAB07104_00082
ko:K03806	abj:BJAB07104_00083
ko:K03980	abj:BJAB07104_00084
ko:K03773	abj:BJAB07104_00085
ko:K16692	abj:BJAB07104_00087
ko:K01991	abj:BJAB07104_00089
ko:K02474	abj:BJAB07104_00090
ko:K00012	abj:BJAB07104_00096
ko:K03664	abj:BJAB07104_00848
ko:K00954	abj:BJAB07104_00849
ko:K16135	abj:BJAB07104_00852
ko:K07246	abj:BJAB07104_00853
ko:K01950	abj:BJAB07104_00860
ko:K06911	abj:BJAB07104_00862
ko:K08973	abj:BJAB07104_00863
ko:K02950	abj:BJAB07104_00866
ko:K02992	abj:BJAB07104_00867
ko:K02355	abj:BJAB07104_00868
ko:K02358	abj:BJAB07104_00869
ko:K07044	abj:BJAB07104_00870
ko:K07044	abj:BJAB07104_00871
ko:K03789	abj:BJAB07104_00872
ko:K00684	abj:BJAB07104_00874
ko:K00384	abj:BJAB07104_00875
ko:K03466	abj:BJAB07104_00876
ko:K03608	abj:BJAB07104_00881
ko:K03609	abj:BJAB07104_00882
ko:K03610	abj:BJAB07104_00883
ko:K03656	abj:BJAB07104_00887
ko:K15778	abj:BJAB07104_00889
ko:K00930	abj:BJAB07104_00890
ko:K09801	abj:BJAB07104_00895
ko:K06186	abj:BJAB07104_00896
ko:K03311	abj:BJAB07104_01685
ko:K01265	abj:BJAB07104_01686
ko:K07390	abj:BJAB07104_01689
ko:K03110	abj:BJAB07104_01697
ko:K07078	abj:BJAB07104_01698
ko:K00426	abj:BJAB07104_01702
ko:K00425	abj:BJAB07104_01703
ko:K16090	abj:BJAB07104_01707
ko:K01058	abj:BJAB07104_01709
ko:K01754	abj:BJAB07104_01712
ko:K01807	abj:BJAB07104_01713
ko:K07043	abj:BJAB07104_01714
ko:K00145	abj:BJAB07104_01716
ko:K06891	abj:BJAB07104_01718
ko:K03694	abj:BJAB07104_01719
ko:K09771	abj:BJAB07104_01720
ko:K01626	abj:BJAB07104_01721
ko:K07044	abj:BJAB07104_01728
ko:K00963	abj:BJAB07104_00102
ko:K00012	abj:BJAB07104_00103
ko:K01810	abj:BJAB07104_00104
ko:K00427	abj:BJAB07104_00108
ko:K14348	abj:BJAB07104_00109
ko:K03777	abj:BJAB07104_00111
ko:K00832	abj:BJAB07104_00112
ko:K16137	abj:BJAB07104_00123
ko:K00285	abj:BJAB07104_00132
ko:K01775	abj:BJAB07104_00133
ko:K11737	abj:BJAB07104_00135
ko:K11737	abj:BJAB07104_00136
ko:K00140	abj:BJAB07104_00138
ko:K01895	abj:BJAB07104_00140
ko:K02670	abj:BJAB07104_00898
ko:K02669	abj:BJAB07104_00899
ko:K06997	abj:BJAB07104_00900
ko:K03547	abj:BJAB07104_00902
ko:K06996	abj:BJAB07104_00904
ko:K07071	abj:BJAB07104_00906
ko:K01698	abj:BJAB07104_00908
ko:K03543	abj:BJAB07104_00910
ko:K03446	abj:BJAB07104_00911
ko:K10857	abj:BJAB07104_00925
ko:K01937	abj:BJAB07104_01730
ko:K01627	abj:BJAB07104_01731
ko:K01689	abj:BJAB07104_01732
ko:K05589	abj:BJAB07104_01734
ko:K00991	abj:BJAB07104_01735
ko:K01031	abj:BJAB07104_01736
ko:K01032	abj:BJAB07104_01737
ko:K01857	abj:BJAB07104_01739
ko:K01055	abj:BJAB07104_01740
ko:K08195	abj:BJAB07104_01741
ko:K00449	abj:BJAB07104_01743
ko:K00448	abj:BJAB07104_01744
ko:K03785	abj:BJAB07104_01745
ko:K07267	abj:BJAB07104_01747
ko:K05358	abj:BJAB07104_01748
ko:K07112	abj:BJAB07104_01750
ko:K07112	abj:BJAB07104_01751
ko:K02624	abj:BJAB07104_01753
ko:K01434	abj:BJAB07104_01776
ko:K01055	abj:BJAB07104_01777
ko:K10017	abj:BJAB07104_02655
ko:K10015	abj:BJAB07104_02656
ko:K10016	abj:BJAB07104_02657
ko:K00600	abj:BJAB07104_02664
ko:K10857	abj:BJAB07104_02667
ko:K06879	abj:BJAB07104_02671
ko:K05837	abj:BJAB07104_02673
ko:K03642	abj:BJAB07104_02675
ko:K02357	abj:BJAB07104_02681
ko:K02967	abj:BJAB07104_02682
ko:K01265	abj:BJAB07104_02683
ko:K02575	abj:BJAB07104_02685
ko:K00322	abj:BJAB07104_02688
ko:K03644	abj:BJAB07104_02689
ko:K01251	abj:BJAB07104_02693
ko:K00297	abj:BJAB07104_02694
ko:K09761	abj:BJAB07104_02695
ko:K00029	abj:BJAB07104_02697
ko:K04691	abj:BJAB07104_02699
ko:K04564	abj:BJAB07104_02701
ko:K06133	abj:BJAB07104_00156
ko:K05527	abj:BJAB07104_00157
ko:K03975	abj:BJAB07104_00162
ko:K15977	abj:BJAB07104_00163
ko:K01951	abj:BJAB07104_00165
ko:K06911	abj:BJAB07104_00169
ko:K07397	abj:BJAB07104_00170
ko:K01887	abj:BJAB07104_00173
ko:K07223	abj:BJAB07104_00176
ko:K05834	abj:BJAB07104_00177
ko:K09816	abj:BJAB07104_00178
ko:K09817	abj:BJAB07104_00179
ko:K09823	abj:BJAB07104_00180
ko:K02108	abj:BJAB07104_00185
ko:K02110	abj:BJAB07104_00186
ko:K02109	abj:BJAB07104_00187
ko:K02113	abj:BJAB07104_00188
ko:K02111	abj:BJAB07104_00189
ko:K02115	abj:BJAB07104_00190
ko:K02112	abj:BJAB07104_00191
ko:K02114	abj:BJAB07104_00192
ko:K00432	abj:BJAB07104_00194
ko:K07566	abj:BJAB07104_00199
ko:K04096	abj:BJAB07104_00200
ko:K01462	abj:BJAB07104_00202
ko:K01031	abj:BJAB07104_01780
ko:K03381	abj:BJAB07104_01781
ko:K03464	abj:BJAB07104_01782
ko:K02688	abj:BJAB07104_01796
ko:K14393	abj:BJAB07104_01799
ko:K00154	abj:BJAB07104_01801
ko:K03781	abj:BJAB07104_01804
ko:K03885	abj:BJAB07104_01815
ko:K00031	abj:BJAB07104_02846
ko:K03885	abj:BJAB07104_02849
ko:K03775	abj:BJAB07104_02850
ko:K01669	abj:BJAB07104_02851
ko:K00459	abj:BJAB07104_02860
ko:K00931	abj:BJAB07104_02864
ko:K03979	abj:BJAB07104_02865
ko:K00134	abj:BJAB07104_02868
ko:K05786	abj:BJAB07104_02869
ko:K03098	abj:BJAB07104_02870
ko:K03702	abj:BJAB07104_02871
ko:K00812	abj:BJAB07104_02875
ko:K06169	abj:BJAB07104_02880
ko:K03474	abj:BJAB07104_02881
ko:K03584	abj:BJAB07104_02882
ko:K03685	abj:BJAB07104_02885
ko:K03100	abj:BJAB07104_02887
ko:K03596	abj:BJAB07104_02888
ko:K07107	abj:BJAB07104_02889
ko:K00278	abj:BJAB07104_02891
ko:K00943	abj:BJAB07104_02893
ko:K07082	abj:BJAB07104_02894
ko:K06940	abj:BJAB07104_03615
ko:K00627	abj:BJAB07104_03620
ko:K00163	abj:BJAB07104_03621
ko:K02535	abj:BJAB07104_03624
ko:K03531	abj:BJAB07104_03625
ko:K14058	abj:BJAB07104_02991
ko:K03799	abj:BJAB07104_02993
ko:K01126	abj:BJAB07104_02996
ko:K00901	abj:BJAB07104_02998
ko:K04077	abj:BJAB07104_02999
ko:K04078	abj:BJAB07104_03000
ko:K00111	abj:BJAB07104_03005
ko:K00864	abj:BJAB07104_03006
ko:K01491	abj:BJAB07104_03010
ko:K00796	abj:BJAB07104_03014
ko:K03798	abj:BJAB07104_03015
ko:K07574	abj:BJAB07104_03017
ko:K01956	abj:BJAB07104_03020
ko:K01955	abj:BJAB07104_03021
ko:K03624	abj:BJAB07104_03022
ko:K07443	abj:BJAB07104_03025
ko:K09781	abj:BJAB07104_03033
ko:K01867	abj:BJAB07104_03034
ko:K01902	abj:BJAB07104_03035
ko:K01903	abj:BJAB07104_03036
ko:K00382	abj:BJAB07104_03037
ko:K00658	abj:BJAB07104_03038
ko:K01032	abj:BJAB07104_02362
ko:K01031	abj:BJAB07104_02363
ko:K08196	abj:BJAB07104_02364
ko:K06446	abj:BJAB07104_02365
ko:K00074	abj:BJAB07104_02368
ko:K00459	abj:BJAB07104_02372
ko:K06446	abj:BJAB07104_02376
ko:K08196	abj:BJAB07104_02377
ko:K05306	abj:BJAB07104_02378
ko:K03430	abj:BJAB07104_02379
ko:K02011	abj:BJAB07104_02381
ko:K02012	abj:BJAB07104_02383
ko:K00481	abj:BJAB07104_02385
ko:K02624	abj:BJAB07104_02386
ko:K01118	abj:BJAB07104_02387
ko:K00075	abj:BJAB07104_02400
ko:K07107	abj:BJAB07104_02404
ko:K01114	abj:BJAB07104_02405
ko:K02343	abj:BJAB07104_02406
ko:K09790	abj:BJAB07104_03138
ko:K09977	abj:BJAB07104_03139
ko:K01881	abj:BJAB07104_03151
ko:K09946	abj:BJAB07104_03152
ko:K06193	abj:BJAB07104_03153
ko:K06980	abj:BJAB07104_03156
ko:K03981	abj:BJAB07104_03157
ko:K07088	abj:BJAB07104_03159
ko:K03652	abj:BJAB07104_03165
ko:K03282	abj:BJAB07104_03169
ko:K06207	abj:BJAB07104_03170
ko:K16345	abj:BJAB07104_03171
ko:K11733	abj:BJAB07104_03173
ko:K14415	abj:BJAB07104_03174
ko:K08084	abj:BJAB07104_03177
ko:K00381	abj:BJAB07104_03182
ko:K00117	abj:BJAB07104_03183
ko:K15553	abj:BJAB07104_02508
ko:K15554	abj:BJAB07104_02510
ko:K02493	abj:BJAB07104_02511
ko:K02835	abj:BJAB07104_02512
ko:K11936	abj:BJAB07104_02520
ko:K09773	abj:BJAB07104_02523
ko:K02297	abj:BJAB07104_02526
ko:K02298	abj:BJAB07104_02527
ko:K02299	abj:BJAB07104_02528
ko:K02300	abj:BJAB07104_02529
ko:K02990	abj:BJAB07104_02531
ko:K02963	abj:BJAB07104_02532
ko:K02939	abj:BJAB07104_02533
ko:K01775	abj:BJAB07104_02535
ko:K07395	abj:BJAB07104_02536
ko:K03495	abj:BJAB07104_02542
ko:K02687	abj:BJAB07104_02544
ko:K03557	abj:BJAB07104_02546
ko:K00602	abj:BJAB07104_02547
ko:K01945	abj:BJAB07104_02548
ko:K02073	abj:BJAB07104_02549
ko:K02071	abj:BJAB07104_02550
ko:K02072	abj:BJAB07104_02551
ko:K11103	abj:BJAB07104_02554
ko:K02528	abj:BJAB07104_03286
ko:K00097	abj:BJAB07104_03287
ko:K02871	abj:BJAB07104_03288
ko:K02996	abj:BJAB07104_03289
ko:K03599	abj:BJAB07104_03290
ko:K03600	abj:BJAB07104_03291
ko:K13777	abj:BJAB07104_03293
ko:K13779	abj:BJAB07104_03294
ko:K11731	abj:BJAB07104_03295
ko:K13778	abj:BJAB07104_03296
ko:K13774	abj:BJAB07104_03297
ko:K17103	abj:BJAB07104_03305
ko:K07115	abj:BJAB07104_03306
ko:K07394	abj:BJAB07104_03307
ko:K00024	abj:BJAB07104_03310
ko:K01166	abj:BJAB07104_03311
ko:K08309	abj:BJAB07104_03312
ko:K06168	abj:BJAB07104_03313
ko:K07042	abj:BJAB07104_03315
ko:K03832	abj:BJAB07104_03316
ko:K03816	abj:BJAB07104_03319
ko:K03809	abj:BJAB07104_03320
ko:K07058	abj:BJAB07104_03321
ko:K07078	abj:BJAB07104_03326
ko:K12573	abj:BJAB07104_03329
ko:K01414	abj:BJAB07104_03330
ko:K07070	abj:BJAB07104_03331
ko:K08160	abj:BJAB07104_03434
ko:K03923	abj:BJAB07104_03437
ko:K11939	abj:BJAB07104_03442
ko:K11939	abj:BJAB07104_03443
ko:K07090	abj:BJAB07104_03445
ko:K02884	abj:BJAB07104_03449
ko:K00554	abj:BJAB07104_03450
ko:K02860	abj:BJAB07104_03451
ko:K02959	abj:BJAB07104_03452
ko:K02655	abj:BJAB07104_03453
ko:K02655	abj:BJAB07104_03454
ko:K02672	abj:BJAB07104_03457
ko:K02671	abj:BJAB07104_03458
ko:K08084	abj:BJAB07104_03459
ko:K03527	abj:BJAB07104_03460
ko:K00942	abj:BJAB07104_03461
ko:K03060	abj:BJAB07104_03462
ko:K02192	abj:BJAB07104_03465
ko:K03594	abj:BJAB07104_03466
ko:K03787	abj:BJAB07104_02797
ko:K00566	abj:BJAB07104_02803
ko:K07153	abj:BJAB07104_02804
ko:K01756	abj:BJAB07104_02805
ko:K08984	abj:BJAB07104_02806
ko:K02036	abj:BJAB07104_02809
ko:K02038	abj:BJAB07104_02810
ko:K02037	abj:BJAB07104_02811
ko:K02040	abj:BJAB07104_02812
ko:K11734	abj:BJAB07104_02813
ko:K13745	abj:BJAB07104_02817
ko:K00836	abj:BJAB07104_02818
ko:K03580	abj:BJAB07104_02828
ko:K01845	abj:BJAB07104_02831
ko:K00788	abj:BJAB07104_02832
ko:K06956	abj:BJAB07104_02839
ko:K00031	abj:BJAB07104_02844
ko:K06181	abj:BJAB07104_02845
ko:K00823	abj:BJAB07104_03570
ko:K00375	abj:BJAB07104_03571
ko:K11735	abj:BJAB07104_03572
ko:K09799	abj:BJAB07104_03578
ko:K03707	abj:BJAB07104_03579
ko:K02442	abj:BJAB07104_03580
ko:K08987	abj:BJAB07104_03581
ko:K16137	abj:BJAB07104_03583
ko:K03701	abj:BJAB07104_03584
ko:K02168	abj:BJAB07104_03588
ko:K14393	abj:BJAB07104_03590
ko:K00299	abj:BJAB07104_03595
ko:K17228	abj:BJAB07104_03596
ko:K01895	abj:BJAB07104_03600
ko:K02527	abj:BJAB07104_03605
ko:K02836	abj:BJAB07104_03609
ko:K07462	abj:BJAB07104_03611
ko:K00275	abj:BJAB07104_03612
ko:K03431	abj:BJAB07104_03613
ko:K01738	abj:BJAB07104_00211
ko:K02346	abj:BJAB07104_00220
ko:K06966	abj:BJAB07104_00223
ko:K09858	abj:BJAB07104_00226
ko:K08369	abj:BJAB07104_00228
ko:K02621	abj:BJAB07104_00229
ko:K01714	abj:BJAB07104_00237
ko:K01628	abj:BJAB07104_00238
ko:K00375	abj:BJAB07104_00239
ko:K08369	abj:BJAB07104_01011
ko:K01714	abj:BJAB07104_01012
ko:K03758	abj:BJAB07104_01018
ko:K00116	abj:BJAB07104_01021
ko:K02167	abj:BJAB07104_01024
ko:K02168	abj:BJAB07104_01025
ko:K02168	abj:BJAB07104_01026
ko:K11103	abj:BJAB07104_01031
ko:K11931	abj:BJAB07104_01034
ko:K11936	abj:BJAB07104_01035
ko:K03811	abj:BJAB07104_01038
ko:K06989	abj:BJAB07104_01051
ko:K01652	abj:BJAB07104_01053
ko:K01462	abj:BJAB07104_01057
ko:K15125	abj:BJAB07104_01829
ko:K03710	abj:BJAB07104_01836
ko:K09936	abj:BJAB07104_01840
ko:K09936	abj:BJAB07104_01841
ko:K03543	abj:BJAB07104_01849
ko:K13979	abj:BJAB07104_01862
ko:K02016	abj:BJAB07104_01864
ko:K02015	abj:BJAB07104_01865
ko:K02013	abj:BJAB07104_01866
ko:K00948	abj:BJAB07104_01870
ko:K00297	abj:BJAB07104_01873
ko:K03590	abj:BJAB07104_03626
