ko:K14224	cjw:PJ18_04630
ko:K02110	cjw:PJ18_04595
ko:K07088	cjw:PJ18_04605
ko:K05939	cjw:PJ18_04610
ko:K02029	cjw:PJ18_04655
ko:K02004	cjw:PJ18_04660
ko:K03070	cjw:PJ18_04665
ko:K03634	cjw:PJ18_04670
ko:K12251	cjw:PJ18_04690
ko:K03406	cjw:PJ18_04710
ko:K03406	cjw:PJ18_04715
ko:K00602	cjw:PJ18_04720
ko:K05801	cjw:PJ18_04725
ko:K01952	cjw:PJ18_04730
ko:K03650	cjw:PJ18_04735
ko:K06346	cjw:PJ18_04740
ko:K03217	cjw:PJ18_04745
ko:K02313	cjw:PJ18_00005
ko:K02338	cjw:PJ18_00010
ko:K02470	cjw:PJ18_00015
ko:K07084	cjw:PJ18_00030
ko:K00265	cjw:PJ18_00035
ko:K00266	cjw:PJ18_00040
ko:K03470	cjw:PJ18_00045
ko:K02237	cjw:PJ18_00050
ko:K01687	cjw:PJ18_00060
ko:K08996	cjw:PJ18_00065
ko:K07023	cjw:PJ18_00070
ko:K06920	cjw:PJ18_00075
ko:K00428	cjw:PJ18_00095
ko:K06180	cjw:PJ18_00105
ko:K01756	cjw:PJ18_00110
ko:K06956	cjw:PJ18_00120
ko:K01937	cjw:PJ18_00130
ko:K07462	cjw:PJ18_00135
ko:K01424	cjw:PJ18_00140
ko:K09797	cjw:PJ18_00195
ko:K07552	cjw:PJ18_00200
ko:K06207	cjw:PJ18_00220
ko:K02389	cjw:PJ18_00235
ko:K02390	cjw:PJ18_00240
ko:K03319	cjw:PJ18_00260
ko:K03319	cjw:PJ18_00275
ko:K00566	cjw:PJ18_00280
ko:K06966	cjw:PJ18_00285
ko:K06992	cjw:PJ18_00305
ko:K02417	cjw:PJ18_00310
ko:K03536	cjw:PJ18_04755
ko:K02914	cjw:PJ18_04760
ko:K07107	cjw:PJ18_04780
ko:K15257	cjw:PJ18_04825
ko:K01270	cjw:PJ18_04845
ko:K02030	cjw:PJ18_04855
ko:K09861	cjw:PJ18_04865
ko:K00611	cjw:PJ18_04915
ko:K01698	cjw:PJ18_04920
ko:K01497	cjw:PJ18_04925
ko:K03501	cjw:PJ18_04930
ko:K03086	cjw:PJ18_04950
ko:K08296	cjw:PJ18_04955
ko:K01735	cjw:PJ18_04985
ko:K09944	cjw:PJ18_04990
ko:K00773	cjw:PJ18_04995
ko:K01996	cjw:PJ18_05020
ko:K01995	cjw:PJ18_05025
ko:K01998	cjw:PJ18_05030
ko:K01997	cjw:PJ18_05035
ko:K02523	cjw:PJ18_02690
ko:K02492	cjw:PJ18_02695
ko:K01881	cjw:PJ18_02700
ko:K01749	cjw:PJ18_02710
ko:K03182	cjw:PJ18_02715
ko:K06603	cjw:PJ18_02720
ko:K02407	cjw:PJ18_02725
ko:K02422	cjw:PJ18_02730
ko:K02356	cjw:PJ18_02740
ko:K00147	cjw:PJ18_02775
ko:K00384	cjw:PJ18_02780
ko:K14652	cjw:PJ18_02860
ko:K09117	cjw:PJ18_02865
ko:K01652	cjw:PJ18_02870
ko:K01653	cjw:PJ18_02875
ko:K02536	cjw:PJ18_02880
ko:K07568	cjw:PJ18_02885
ko:K03118	cjw:PJ18_02890
ko:K03117	cjw:PJ18_02895
ko:K08311	cjw:PJ18_02905
ko:K00928	cjw:PJ18_02910
ko:K02341	cjw:PJ18_02920
ko:K00796	cjw:PJ18_02925
ko:K01972	cjw:PJ18_02930
ko:K06442	cjw:PJ18_02940
ko:K11753	cjw:PJ18_02945
ko:K15256	cjw:PJ18_02950
ko:K01173	cjw:PJ18_02970
ko:K10773	cjw:PJ18_02975
ko:K06041	cjw:PJ18_07345
ko:K10107	cjw:PJ18_07355
ko:K09689	cjw:PJ18_07360
ko:K09688	cjw:PJ18_07365
ko:K09979	cjw:PJ18_07370
ko:K04075	cjw:PJ18_07390
ko:K02836	cjw:PJ18_07400
ko:K06176	cjw:PJ18_07410
ko:K00946	cjw:PJ18_07415
ko:K02394	cjw:PJ18_07435
ko:K02396	cjw:PJ18_07455
ko:K07090	cjw:PJ18_07465
ko:K02455	cjw:PJ18_07470
ko:K02454	cjw:PJ18_07475
ko:K01714	cjw:PJ18_07485
ko:K02453	cjw:PJ18_07490
ko:K03737	cjw:PJ18_07500
ko:K01091	cjw:PJ18_07505
ko:K03286	cjw:PJ18_07510
ko:K02996	cjw:PJ18_07515
ko:K02871	cjw:PJ18_07520
ko:K03582	cjw:PJ18_07525
ko:K00406	cjw:PJ18_07555
ko:K00407	cjw:PJ18_07560
ko:K00405	cjw:PJ18_07565
ko:K00404	cjw:PJ18_07570
ko:K09792	cjw:PJ18_07585
ko:K01956	cjw:PJ18_07590
ko:K09804	cjw:PJ18_07595
ko:K01624	cjw:PJ18_02985
ko:K02557	cjw:PJ18_02995
ko:K03308	cjw:PJ18_03005
ko:K04084	cjw:PJ18_03015
ko:K13888	cjw:PJ18_03030
ko:K05685	cjw:PJ18_03035
ko:K09795	cjw:PJ18_03050
ko:K02217	cjw:PJ18_03060
ko:K02040	cjw:PJ18_03065
ko:K02037	cjw:PJ18_03070
ko:K02038	cjw:PJ18_03075
ko:K02036	cjw:PJ18_03080
ko:K07043	cjw:PJ18_03095
ko:K04656	cjw:PJ18_03105
ko:K04652	cjw:PJ18_03110
ko:K04653	cjw:PJ18_03115
ko:K04654	cjw:PJ18_03120
ko:K04655	cjw:PJ18_03125
ko:K04651	cjw:PJ18_03130
ko:K02340	cjw:PJ18_03140
ko:K12573	cjw:PJ18_03145
ko:K00053	cjw:PJ18_03150
ko:K09798	cjw:PJ18_03155
ko:K04096	cjw:PJ18_03160
ko:K07447	cjw:PJ18_03165
ko:K07304	cjw:PJ18_03175
ko:K01507	cjw:PJ18_03180
ko:K00939	cjw:PJ18_03185
ko:K01876	cjw:PJ18_03190
ko:K00858	cjw:PJ18_03195
ko:K03631	cjw:PJ18_03200
ko:K03424	cjw:PJ18_03210
ko:K08307	cjw:PJ18_03215
ko:K02416	cjw:PJ18_00315
ko:K02405	cjw:PJ18_00320
ko:K04562	cjw:PJ18_00330
ko:K02404	cjw:PJ18_00335
ko:K00950	cjw:PJ18_00340
ko:K03786	cjw:PJ18_00345
ko:K04773	cjw:PJ18_00355
ko:K00782	cjw:PJ18_00380
ko:K18929	cjw:PJ18_00385
ko:K18928	cjw:PJ18_00390
ko:K03303	cjw:PJ18_00395
ko:K11015	cjw:PJ18_00400
ko:K11014	cjw:PJ18_00405
ko:K11013	cjw:PJ18_00410
ko:K00425	cjw:PJ18_00420
ko:K00426	cjw:PJ18_00425
ko:K01779	cjw:PJ18_00435
ko:K03648	cjw:PJ18_00440
ko:K01744	cjw:PJ18_00445
ko:K07791	cjw:PJ18_00450
ko:K09859	cjw:PJ18_00455
ko:K07337	cjw:PJ18_00465
ko:K02888	cjw:PJ18_00480
ko:K02899	cjw:PJ18_00485
ko:K03979	cjw:PJ18_00490
ko:K00931	cjw:PJ18_00495
ko:K00604	cjw:PJ18_00500
ko:K03524	cjw:PJ18_00505
ko:K03496	cjw:PJ18_00510
ko:K03497	cjw:PJ18_00515
ko:K02109	cjw:PJ18_00520
ko:K02109	cjw:PJ18_00525
ko:K02113	cjw:PJ18_00530
ko:K02111	cjw:PJ18_00535
ko:K02115	cjw:PJ18_00540
ko:K02112	cjw:PJ18_00545
ko:K02114	cjw:PJ18_00550
ko:K03559	cjw:PJ18_00560
ko:K03832	cjw:PJ18_00565
ko:K03641	cjw:PJ18_00570
ko:K03640	cjw:PJ18_00575
ko:K03775	cjw:PJ18_00585
ko:K00645	cjw:PJ18_00590
ko:K18284	cjw:PJ18_00595
ko:K01999	cjw:PJ18_05040
ko:K01999	cjw:PJ18_05045
ko:K00133	cjw:PJ18_05065
ko:K09860	cjw:PJ18_05080
ko:K02469	cjw:PJ18_05085
ko:K02242	cjw:PJ18_05090
ko:K03596	cjw:PJ18_05100
ko:K03686	cjw:PJ18_05120
ko:K01959	cjw:PJ18_05135
ko:K03588	cjw:PJ18_05140
ko:K02563	cjw:PJ18_05145
ko:K03449	cjw:PJ18_05150
ko:K00788	cjw:PJ18_05165
ko:K03150	cjw:PJ18_05170
ko:K03149	cjw:PJ18_05175
ko:K03148	cjw:PJ18_05180
ko:K03154	cjw:PJ18_05185
ko:K01439	cjw:PJ18_05190
ko:K06895	cjw:PJ18_05195
ko:K12410	cjw:PJ18_05200
ko:K07456	cjw:PJ18_05210
ko:K01924	cjw:PJ18_05220
ko:K03602	cjw:PJ18_05235
ko:K00088	cjw:PJ18_05240
ko:K02433	cjw:PJ18_05245
ko:K01870	cjw:PJ18_05255
ko:K03743	cjw:PJ18_05260
ko:K00995	cjw:PJ18_05280
ko:K11749	cjw:PJ18_05285
ko:K02990	cjw:PJ18_05305
ko:K03111	cjw:PJ18_05310
ko:K02963	cjw:PJ18_05315
ko:K03642	cjw:PJ18_03220
ko:K03270	cjw:PJ18_03225
ko:K09774	cjw:PJ18_03235
ko:K03978	cjw:PJ18_03240
ko:K05515	cjw:PJ18_03250
ko:K01262	cjw:PJ18_03255
ko:K03305	cjw:PJ18_03260
ko:K03305	cjw:PJ18_03265
ko:K03305	cjw:PJ18_03270
ko:K01939	cjw:PJ18_07610
ko:K07112	cjw:PJ18_07620
ko:K11928	cjw:PJ18_07630
ko:K13821	cjw:PJ18_07635
ko:K01008	cjw:PJ18_07640
ko:K03406	cjw:PJ18_07650
ko:K02379	cjw:PJ18_07660
ko:K00127	cjw:PJ18_07665
ko:K00124	cjw:PJ18_07670
ko:K00123	cjw:PJ18_07675
ko:K00123	cjw:PJ18_07680
ko:K13747	cjw:PJ18_07695
ko:K03636	cjw:PJ18_07705
ko:K03635	cjw:PJ18_07710
ko:K03750	cjw:PJ18_07715
ko:K09951	cjw:PJ18_07720
ko:K15342	cjw:PJ18_07725
ko:K09952	cjw:PJ18_07730
ko:K03326	cjw:PJ18_07745
ko:K01933	cjw:PJ18_07750
ko:K00859	cjw:PJ18_07755
ko:K01778	cjw:PJ18_07760
ko:K03796	cjw:PJ18_07765
ko:K07133	cjw:PJ18_07770
ko:K04047	cjw:PJ18_07775
ko:K01810	cjw:PJ18_07780
ko:K00963	cjw:PJ18_07785
ko:K01895	cjw:PJ18_07790
ko:K06857	cjw:PJ18_07795
ko:K05773	cjw:PJ18_07800
ko:K05772	cjw:PJ18_07805
ko:K07160	cjw:PJ18_07810
ko:K03923	cjw:PJ18_07830
ko:K03098	cjw:PJ18_07840
ko:K13979	cjw:PJ18_07845
ko:K01153	cjw:PJ18_07850
ko:K01154	cjw:PJ18_07860
ko:K03427	cjw:PJ18_07870
ko:K07118	cjw:PJ18_07875
ko:K03667	cjw:PJ18_03290
ko:K01419	cjw:PJ18_03295
ko:K02939	cjw:PJ18_03300
ko:K01940	cjw:PJ18_03305
ko:K06925	cjw:PJ18_03315
ko:K06861	cjw:PJ18_03320
ko:K03092	cjw:PJ18_03325
ko:K07792	cjw:PJ18_03330
ko:K07646	cjw:PJ18_03355
ko:K03702	cjw:PJ18_03360
ko:K02456	cjw:PJ18_03375
ko:K04066	cjw:PJ18_03380
ko:K03526	cjw:PJ18_03390
ko:K02393	cjw:PJ18_03395
ko:K13788	cjw:PJ18_03400
ko:K00925	cjw:PJ18_03405
ko:K03438	cjw:PJ18_03425
ko:K03770	cjw:PJ18_03430
ko:K03590	cjw:PJ18_03435
ko:K03531	cjw:PJ18_03440
ko:K02392	cjw:PJ18_03445
ko:K02392	cjw:PJ18_03450
ko:K01915	cjw:PJ18_03455
ko:K08303	cjw:PJ18_03465
ko:K01588	cjw:PJ18_03470
ko:K01878	cjw:PJ18_03480
ko:K07164	cjw:PJ18_03490
ko:K02527	cjw:PJ18_03495
ko:K06180	cjw:PJ18_03500
ko:K03106	cjw:PJ18_03505
ko:K02959	cjw:PJ18_03510
ko:K06960	cjw:PJ18_03515
ko:K02860	cjw:PJ18_03520
ko:K00554	cjw:PJ18_03525
ko:K02884	cjw:PJ18_03530
ko:K07127	cjw:PJ18_03535
ko:K01626	cjw:PJ18_03540
ko:K02337	cjw:PJ18_03550
ko:K06997	cjw:PJ18_03555
ko:K02406	cjw:PJ18_03560
ko:K02493	cjw:PJ18_03570
ko:K06013	cjw:PJ18_03575
ko:K03406	cjw:PJ18_07900
ko:K00343	cjw:PJ18_07910
ko:K00342	cjw:PJ18_07915
ko:K00341	cjw:PJ18_07920
ko:K00340	cjw:PJ18_07925
ko:K00339	cjw:PJ18_07930
ko:K00338	cjw:PJ18_07935
ko:K00337	cjw:PJ18_07940
ko:K00336	cjw:PJ18_07945
ko:K00335	cjw:PJ18_07950
ko:K00334	cjw:PJ18_07955
ko:K00333	cjw:PJ18_07960
ko:K00332	cjw:PJ18_07965
ko:K00331	cjw:PJ18_07970
ko:K00330	cjw:PJ18_07975
ko:K02034	cjw:PJ18_07990
ko:K02033	cjw:PJ18_07995
ko:K02035	cjw:PJ18_08000
ko:K18930	cjw:PJ18_08005
ko:K06159	cjw:PJ18_08015
ko:K02518	cjw:PJ18_08035
ko:K02919	cjw:PJ18_08040
ko:K02952	cjw:PJ18_08045
ko:K02948	cjw:PJ18_08050
ko:K02986	cjw:PJ18_08055
ko:K03040	cjw:PJ18_08060
ko:K02879	cjw:PJ18_08065
ko:K07042	cjw:PJ18_00615
ko:K05540	cjw:PJ18_00625
ko:K06204	cjw:PJ18_00635
ko:K00783	cjw:PJ18_00640
ko:K01963	cjw:PJ18_00645
ko:K01092	cjw:PJ18_00650
ko:K07277	cjw:PJ18_00655
ko:K04517	cjw:PJ18_00660
ko:K02535	cjw:PJ18_00670
ko:K00872	cjw:PJ18_00680
ko:K02519	cjw:PJ18_00690
ko:K02834	cjw:PJ18_00695
ko:K09748	cjw:PJ18_00700
ko:K07452	cjw:PJ18_00705
ko:K19147	cjw:PJ18_00710
ko:K09816	cjw:PJ18_00715
ko:K09817	cjw:PJ18_00720
ko:K09815	cjw:PJ18_00725
ko:K03406	cjw:PJ18_00730
ko:K01465	cjw:PJ18_00745
ko:K00901	cjw:PJ18_00755
ko:K03760	cjw:PJ18_00760
ko:K01142	cjw:PJ18_00765
ko:K03637	cjw:PJ18_00780
ko:K02887	cjw:PJ18_00815
ko:K02916	cjw:PJ18_00820
ko:K04487	cjw:PJ18_00835
ko:K13819	cjw:PJ18_00840
ko:K16052	cjw:PJ18_00845
ko:K01673	cjw:PJ18_00850
ko:K03075	cjw:PJ18_00860
ko:K02838	cjw:PJ18_00865
ko:K00762	cjw:PJ18_00870
ko:K00763	cjw:PJ18_00885
ko:K00573	cjw:PJ18_00895
ko:K01338	cjw:PJ18_05320
ko:K05807	cjw:PJ18_05325
ko:K13626	cjw:PJ18_05330
ko:K00286	cjw:PJ18_05335
ko:K01719	cjw:PJ18_05355
ko:K00788	cjw:PJ18_05360
ko:K00941	cjw:PJ18_05365
ko:K07457	cjw:PJ18_05370
ko:K06923	cjw:PJ18_05375
ko:K03723	cjw:PJ18_05380
ko:K11754	cjw:PJ18_05395
ko:K01869	cjw:PJ18_05410
ko:K03074	cjw:PJ18_05415
ko:K03072	cjw:PJ18_05420
ko:K03210	cjw:PJ18_05425
ko:K03820	cjw:PJ18_05430
ko:K00789	cjw:PJ18_05435
ko:K07862	cjw:PJ18_05440
ko:K00609	cjw:PJ18_05445
ko:K08602	cjw:PJ18_05450
ko:K03657	cjw:PJ18_05460
ko:K03177	cjw:PJ18_05465
ko:K03563	cjw:PJ18_05470
ko:K00919	cjw:PJ18_05475
ko:K03664	cjw:PJ18_05480
ko:K06891	cjw:PJ18_05490
ko:K03694	cjw:PJ18_05495
ko:K00684	cjw:PJ18_05500
ko:K03406	cjw:PJ18_05505
ko:K05595	cjw:PJ18_05510
ko:K07305	cjw:PJ18_05515
ko:K17103	cjw:PJ18_05525
ko:K01613	cjw:PJ18_05530
ko:K03798	cjw:PJ18_05535
ko:K02687	cjw:PJ18_05540
ko:K03413	cjw:PJ18_05545
ko:K15912	cjw:PJ18_05555
ko:K15910	cjw:PJ18_05560
ko:K15913	cjw:PJ18_05570
ko:K15914	cjw:PJ18_05580
ko:K17251	cjw:PJ18_05585
ko:K17248	cjw:PJ18_05590
ko:K00765	cjw:PJ18_08070
ko:K00013	cjw:PJ18_08075
ko:K01089	cjw:PJ18_08080
ko:K02501	cjw:PJ18_08085
ko:K01814	cjw:PJ18_08090
ko:K09805	cjw:PJ18_08095
ko:K02500	cjw:PJ18_08100
ko:K11755	cjw:PJ18_08105
ko:K00674	cjw:PJ18_08110
ko:K03593	cjw:PJ18_08115
ko:K12506	cjw:PJ18_08120
ko:K00958	cjw:PJ18_08130
ko:K01095	cjw:PJ18_08135
ko:K02968	cjw:PJ18_08140
ko:K02835	cjw:PJ18_08145
ko:K07226	cjw:PJ18_08150
ko:K02014	cjw:PJ18_08155
ko:K02015	cjw:PJ18_08160
ko:K00145	cjw:PJ18_00915
ko:K07318	cjw:PJ18_00945
ko:K02520	cjw:PJ18_00950
ko:K01868	cjw:PJ18_00955
ko:K06153	cjw:PJ18_00960
ko:K03300	cjw:PJ18_00970
ko:K07478	cjw:PJ18_00995
ko:K00215	cjw:PJ18_01000
ko:K00764	cjw:PJ18_01005
ko:K02412	cjw:PJ18_01010
ko:K01495	cjw:PJ18_01015
ko:K03545	cjw:PJ18_01020
ko:K01358	cjw:PJ18_01025
ko:K01462	cjw:PJ18_01030
ko:K07391	cjw:PJ18_01035
ko:K11175	cjw:PJ18_01050
ko:K06193	cjw:PJ18_01060
ko:K17938	cjw:PJ18_01075
ko:K03832	cjw:PJ18_01080
ko:K03559	cjw:PJ18_01085
ko:K03561	cjw:PJ18_01090
ko:K16087	cjw:PJ18_01095
ko:K02012	cjw:PJ18_01110
ko:K02011	cjw:PJ18_01115
ko:K02010	cjw:PJ18_01120
ko:K00290	cjw:PJ18_01125
ko:K04564	cjw:PJ18_01135
ko:K00791	cjw:PJ18_01155
ko:K03179	cjw:PJ18_01160
ko:K03639	cjw:PJ18_01175
ko:K01737	cjw:PJ18_01185
ko:K09761	cjw:PJ18_01200
ko:K02909	cjw:PJ18_01205
ko:K17249	cjw:PJ18_05600
ko:K01784	cjw:PJ18_05610
ko:K07501	cjw:PJ18_05615
ko:K02841	cjw:PJ18_05620
ko:K02517	cjw:PJ18_05625
ko:K03831	cjw:PJ18_03585
ko:K03284	cjw:PJ18_03590
ko:K02055	cjw:PJ18_03595
ko:K02054	cjw:PJ18_03610
ko:K02053	cjw:PJ18_03615
ko:K02052	cjw:PJ18_03620
ko:K02030	cjw:PJ18_03630
ko:K03832	cjw:PJ18_03720
ko:K16089	cjw:PJ18_03725
ko:K03705	cjw:PJ18_03730
ko:K03687	cjw:PJ18_03735
ko:K04043	cjw:PJ18_03740
ko:K00812	cjw:PJ18_03755
ko:K00640	cjw:PJ18_03760
ko:K01585	cjw:PJ18_03765
ko:K01892	cjw:PJ18_03770
ko:K00943	cjw:PJ18_03775
ko:K00954	cjw:PJ18_03780
ko:K03186	cjw:PJ18_03785
ko:K02386	cjw:PJ18_03790
ko:K02073	cjw:PJ18_03795
ko:K02073	cjw:PJ18_03800
ko:K02073	cjw:PJ18_03805
ko:K02072	cjw:PJ18_03810
ko:K02071	cjw:PJ18_03815
ko:K01873	cjw:PJ18_03820
ko:K03657	cjw:PJ18_03830
ko:K11065	cjw:PJ18_03840
ko:K02567	cjw:PJ18_03845
ko:K02573	cjw:PJ18_03850
ko:K02574	cjw:PJ18_03855
ko:K02568	cjw:PJ18_03860
ko:K02570	cjw:PJ18_03870
ko:K02013	cjw:PJ18_08165
ko:K02016	cjw:PJ18_08170
ko:K03575	cjw:PJ18_08185
ko:K11752	cjw:PJ18_08215
ko:K01752	cjw:PJ18_08225
ko:K03837	cjw:PJ18_08230
ko:K03561	cjw:PJ18_08245
ko:K03559	cjw:PJ18_08250
ko:K03832	cjw:PJ18_08255
ko:K00566	cjw:PJ18_08270
ko:K01736	cjw:PJ18_08275
ko:K03685	cjw:PJ18_08280
ko:K03469	cjw:PJ18_08285
ko:K01928	cjw:PJ18_08310
ko:K09747	cjw:PJ18_08315
ko:K00795	cjw:PJ18_08325
ko:K00615	cjw:PJ18_08330
ko:K02066	cjw:PJ18_08335
ko:K02065	cjw:PJ18_08340
ko:K02067	cjw:PJ18_08345
ko:K18480	cjw:PJ18_08350
ko:K01265	cjw:PJ18_08360
ko:K01776	cjw:PJ18_08365
ko:K03313	cjw:PJ18_08375
ko:K03313	cjw:PJ18_08380
ko:K07243	cjw:PJ18_08390
ko:K07230	cjw:PJ18_08395
ko:K02004	cjw:PJ18_08405
ko:K02004	cjw:PJ18_08410
ko:K02003	cjw:PJ18_08415
ko:K08068	cjw:PJ18_05660
ko:K02843	cjw:PJ18_05680
ko:K03271	cjw:PJ18_05685
ko:K03272	cjw:PJ18_05690
ko:K03274	cjw:PJ18_05695
ko:K03273	cjw:PJ18_05700
ko:K08738	cjw:PJ18_05705
ko:K17686	cjw:PJ18_05715
ko:K03628	cjw:PJ18_05720
ko:K02343	cjw:PJ18_05725
ko:K00316	cjw:PJ18_05730
ko:K01533	cjw:PJ18_05735
ko:K16264	cjw:PJ18_05745
ko:K09981	cjw:PJ18_05750
ko:K00016	cjw:PJ18_05765
ko:K03768	cjw:PJ18_05785
ko:K11743	cjw:PJ18_05795
ko:K11742	cjw:PJ18_05800
ko:K01887	cjw:PJ18_05805
ko:K03116	cjw:PJ18_05810
ko:K00942	cjw:PJ18_05815
ko:K02421	cjw:PJ18_05825
ko:K02003	cjw:PJ18_05830
ko:K02357	cjw:PJ18_05835
ko:K02967	cjw:PJ18_05840
ko:K00574	cjw:PJ18_05845
ko:K00413	cjw:PJ18_05850
ko:K00412	cjw:PJ18_05855
ko:K00411	cjw:PJ18_05860
ko:K03893	cjw:PJ18_05865
ko:K03495	cjw:PJ18_05870
ko:K07056	cjw:PJ18_01210
ko:K03218	cjw:PJ18_01215
ko:K14261	cjw:PJ18_01230
ko:K00003	cjw:PJ18_01235
ko:K03671	cjw:PJ18_01245
ko:K00384	cjw:PJ18_01250
ko:K07093	cjw:PJ18_01255
ko:K03406	cjw:PJ18_01260
ko:K07238	cjw:PJ18_01265
ko:K07812	cjw:PJ18_01270
ko:K03532	cjw:PJ18_01275
ko:K00826	cjw:PJ18_01295
ko:K01821	cjw:PJ18_01300
ko:K03564	cjw:PJ18_01305
ko:K09765	cjw:PJ18_01310
ko:K02372	cjw:PJ18_01315
ko:K00677	cjw:PJ18_01320
ko:K03544	cjw:PJ18_01325
ko:K03569	cjw:PJ18_01330
ko:K03570	cjw:PJ18_01335
ko:K01955	cjw:PJ18_01340
ko:K00616	cjw:PJ18_01350
ko:K01079	cjw:PJ18_01355
ko:K03408	cjw:PJ18_01360
ko:K03407	cjw:PJ18_01365
ko:K03415	cjw:PJ18_01370
ko:K03269	cjw:PJ18_01375
ko:K03624	cjw:PJ18_01380
ko:K00748	cjw:PJ18_01385
ko:K03787	cjw:PJ18_01400
ko:K03830	cjw:PJ18_01410
ko:K01579	cjw:PJ18_01415
ko:K01918	cjw:PJ18_01420
ko:K00606	cjw:PJ18_01425
ko:K19210	cjw:PJ18_01430
ko:K02017	cjw:PJ18_01435
ko:K02018	cjw:PJ18_01440
ko:K02020	cjw:PJ18_01450
ko:K02169	cjw:PJ18_01455
ko:K09789	cjw:PJ18_01460
ko:K00652	cjw:PJ18_01465
ko:K00833	cjw:PJ18_01470
ko:K01935	cjw:PJ18_01475
ko:K18925	cjw:PJ18_01480
ko:K18924	cjw:PJ18_01485
ko:K02897	cjw:PJ18_01490
ko:K11103	cjw:PJ18_05890
ko:K03306	cjw:PJ18_05900
ko:K01465	cjw:PJ18_05905
