ko:K01533	llr:llh_13655
ko:K09775	llr:llh_5740
ko:K00820	llr:llh_5775
ko:K03630	llr:llh_5780
ko:K01926	llr:llh_5785
ko:K06158	llr:llh_5795
ko:K00762	llr:llh_5805
ko:K01465	llr:llh_5810
ko:K10773	llr:llh_5870
ko:K06967	llr:llh_5875
ko:K06885	llr:llh_5895
ko:K03437	llr:llh_10000
ko:K01512	llr:llh_10005
ko:K01079	llr:llh_10010
ko:K00831	llr:llh_10020
ko:K00600	llr:llh_10030
ko:K07566	llr:llh_10035
ko:K02493	llr:llh_10045
ko:K02835	llr:llh_10065
ko:K01821	llr:llh_10145
ko:K03217	llr:llh_10170
ko:K00208	llr:llh_10175
ko:K02372	llr:llh_10180
ko:K03702	llr:llh_10200
ko:K08311	llr:llh_10205
ko:K01462	llr:llh_10210
ko:K00134	llr:llh_10220
ko:K02445	llr:llh_10255
ko:K02888	llr:llh_5910
ko:K02899	llr:llh_5920
ko:K07042	llr:llh_5945
ko:K09962	llr:llh_5955
ko:K09799	llr:llh_5990
ko:K01878	llr:llh_6010
ko:K01879	llr:llh_6015
ko:K00969	llr:llh_6030
ko:K00763	llr:llh_6035
ko:K02003	llr:llh_6050
ko:K01928	llr:llh_6065
ko:K01575	llr:llh_6070
ko:K03596	llr:llh_6075
ko:K02469	llr:llh_6105
ko:K03734	llr:llh_6110
ko:K03657	llr:llh_6130
ko:K01246	llr:llh_6145
ko:K03086	llr:llh_10270
ko:K03545	llr:llh_10280
ko:K00790	llr:llh_10290
ko:K04751	llr:llh_4570
ko:K01925	llr:llh_4575
ko:K02563	llr:llh_4580
ko:K03589	llr:llh_4585
ko:K03979	llr:llh_4590
ko:K07568	llr:llh_4655
ko:K02959	llr:llh_4685
ko:K06960	llr:llh_4690
ko:K01772	llr:llh_4695
ko:K02860	llr:llh_4705
ko:K00554	llr:llh_4710
ko:K00215	llr:llh_4725
ko:K08659	llr:llh_4740
ko:K08317	llr:llh_4755
ko:K05366	llr:llh_10320
ko:K01738	llr:llh_10335
ko:K04487	llr:llh_10350
ko:K00675	llr:llh_10385
ko:K13530	llr:llh_10390
ko:K03530	llr:llh_10405
ko:K01207	llr:llh_10415
ko:K11068	llr:llh_10430
ko:K02337	llr:llh_10435
ko:K11753	llr:llh_6225
ko:K07106	llr:llh_6240
ko:K01803	llr:llh_6260
ko:K01442	llr:llh_6275
ko:K00364	llr:llh_6330
ko:K03816	llr:llh_6365
ko:K03216	llr:llh_6380
ko:K03544	llr:llh_6395
ko:K03978	llr:llh_6400
ko:K01633	llr:llh_6405
ko:K00796	llr:llh_6415
ko:K11754	llr:llh_6425
ko:K00003	llr:llh_6435
ko:K00872	llr:llh_6440
ko:K00075	llr:llh_6450
ko:K06966	llr:llh_10460
ko:K01937	llr:llh_10555
ko:K00868	llr:llh_10575
ko:K06173	llr:llh_10580
ko:K01198	llr:llh_6500
ko:K09799	llr:llh_6515
ko:K04094	llr:llh_6560
ko:K03168	llr:llh_6565
ko:K04096	llr:llh_6570
ko:K01575	llr:llh_6580
ko:K01754	llr:llh_6590
ko:K00053	llr:llh_6595
ko:K01653	llr:llh_6605
ko:K01652	llr:llh_6610
ko:K01687	llr:llh_6620
ko:K02013	llr:llh_6625
ko:K01704	llr:llh_6630
ko:K01703	llr:llh_6640
ko:K00052	llr:llh_6655
ko:K01649	llr:llh_6670
ko:K07146	llr:llh_6680
ko:K04486	llr:llh_6685
ko:K11755	llr:llh_6690
ko:K02500	llr:llh_6695
ko:K01814	llr:llh_6700
ko:K02501	llr:llh_6705
ko:K01693	llr:llh_6715
ko:K00013	llr:llh_6725
ko:K00604	llr:llh_10905
ko:K09927	llr:llh_10925
ko:K04066	llr:llh_10930
ko:K03060	llr:llh_10935
ko:K00942	llr:llh_10940
ko:K00789	llr:llh_10955
ko:K00574	llr:llh_10960
ko:K03524	llr:llh_10965
ko:K01624	llr:llh_10990
ko:K02313	llr:llh_0005
ko:K02338	llr:llh_0010
ko:K06942	llr:llh_0035
ko:K01056	llr:llh_0050
ko:K03723	llr:llh_0055
ko:K04075	llr:llh_0085
ko:K00760	llr:llh_0090
ko:K03798	llr:llh_0095
ko:K00009	llr:llh_0120
ko:K00765	llr:llh_6735
ko:K02502	llr:llh_6745
ko:K00817	llr:llh_6750
ko:K12573	llr:llh_6785
ko:K01652	llr:llh_6820
ko:K07137	llr:llh_6845
ko:K03215	llr:llh_6850
ko:K00297	llr:llh_6915
ko:K00549	llr:llh_6920
ko:K01531	llr:llh_6930
ko:K03740	llr:llh_6935
ko:K14188	llr:llh_6940
ko:K03739	llr:llh_6945
ko:K03367	llr:llh_6950
ko:K00788	llr:llh_6955
ko:K00941	llr:llh_6960
ko:K00878	llr:llh_6965
ko:K01868	llr:llh_11000
ko:K03322	llr:llh_11025
ko:K07078	llr:llh_11030
ko:K00761	llr:llh_11035
ko:K14155	llr:llh_11045
ko:K00651	llr:llh_11055
ko:K00651	llr:llh_11060
ko:K07088	llr:llh_11075
ko:K09760	llr:llh_11090
ko:K01783	llr:llh_11095
ko:K06949	llr:llh_11110
ko:K01890	llr:llh_11120
ko:K01889	llr:llh_11125
ko:K13727	llr:llh_11130
ko:K01939	llr:llh_11155
ko:K04083	llr:llh_11170
ko:K01876	llr:llh_11255
ko:K02935	llr:llh_7005
ko:K02864	llr:llh_7010
ko:K06178	llr:llh_7060
ko:K06024	llr:llh_7065
ko:K05896	llr:llh_7070
ko:K07095	llr:llh_7085
ko:K01776	llr:llh_7095
ko:K01586	llr:llh_7105
ko:K00266	llr:llh_7115
ko:K00826	llr:llh_7130
ko:K03470	llr:llh_7185
ko:K14540	llr:llh_7190
ko:K03547	llr:llh_7255
ko:K00077	llr:llh_7260
ko:K01892	llr:llh_11265
ko:K00995	llr:llh_11285
ko:K03629	llr:llh_11310
ko:K00965	llr:llh_11335
ko:K00849	llr:llh_11340
ko:K08303	llr:llh_11385
ko:K00563	llr:llh_11405
ko:K01126	llr:llh_11525
ko:K00563	llr:llh_7290
ko:K02057	llr:llh_7300
ko:K02057	llr:llh_7305
ko:K00873	llr:llh_7315
ko:K00850	llr:llh_7320
ko:K01443	llr:llh_7325
ko:K00057	llr:llh_7340
ko:K00963	llr:llh_7345
ko:K03501	llr:llh_7365
ko:K01591	llr:llh_7375
ko:K01060	llr:llh_7440
ko:K06872	llr:llh_7460
ko:K06181	llr:llh_7465
ko:K00864	llr:llh_7470
ko:K00111	llr:llh_7475
ko:K02440	llr:llh_7485
ko:K02503	llr:llh_11535
ko:K02863	llr:llh_11550
ko:K02867	llr:llh_11555
ko:K00243	llr:llh_11585
ko:K02838	llr:llh_11595
ko:K09903	llr:llh_11600
ko:K00925	llr:llh_11615
ko:K00925	llr:llh_11620
ko:K06207	llr:llh_11635
ko:K04047	llr:llh_11690
ko:K02346	llr:llh_11705
ko:K03758	llr:llh_11715
ko:K00926	llr:llh_11735
ko:K00926	llr:llh_11740
ko:K03758	llr:llh_11745
ko:K00611	llr:llh_11750
ko:K01887	llr:llh_11760
ko:K03402	llr:llh_11765
ko:K01924	llr:llh_11770
ko:K01955	llr:llh_7565
ko:K00432	llr:llh_7570
ko:K09765	llr:llh_7590
ko:K00794	llr:llh_7610
ko:K14652	llr:llh_7615
ko:K00793	llr:llh_7620
ko:K11752	llr:llh_7625
ko:K11752	llr:llh_7630
ko:K02621	llr:llh_7640
ko:K02622	llr:llh_7665
ko:K08591	llr:llh_7675
ko:K09811	llr:llh_7700
ko:K09812	llr:llh_7705
ko:K02836	llr:llh_7710
ko:K06958	llr:llh_7780
ko:K06131	llr:llh_7785
ko:K02440	llr:llh_11910
ko:K07010	llr:llh_11920
ko:K04485	llr:llh_12005
ko:K03273	llr:llh_12015
ko:K03271	llr:llh_12020
ko:K02879	llr:llh_12065
ko:K03040	llr:llh_12070
ko:K02948	llr:llh_12075
ko:K02952	llr:llh_12080
ko:K04043	llr:llh_7855
ko:K03687	llr:llh_7860
ko:K03705	llr:llh_7865
ko:K09157	llr:llh_7890
ko:K07166	llr:llh_7895
ko:K12573	llr:llh_7915
ko:K03075	llr:llh_7920
ko:K00384	llr:llh_7925
ko:K01938	llr:llh_7960
ko:K01839	llr:llh_8000
ko:K15738	llr:llh_4775
ko:K02529	llr:llh_4815
ko:K01783	llr:llh_4820
ko:K01808	llr:llh_4825
ko:K01223	llr:llh_4830
ko:K02761	llr:llh_4845
ko:K01923	llr:llh_4910
ko:K01952	llr:llh_4915
ko:K01952	llr:llh_4920
ko:K01952	llr:llh_4925
ko:K00764	llr:llh_4930
ko:K03695	llr:llh_4955
ko:K01933	llr:llh_4960
ko:K11175	llr:llh_4965
ko:K00760	llr:llh_4995
ko:K00602	llr:llh_5005
ko:K01945	llr:llh_5030
ko:K01588	llr:llh_5040
ko:K02518	llr:llh_12085
ko:K03076	llr:llh_12095
ko:K02876	llr:llh_12100
ko:K02907	llr:llh_12105
ko:K02988	llr:llh_12110
ko:K02881	llr:llh_12115
ko:K02933	llr:llh_12120
ko:K02994	llr:llh_12125
ko:K02954	llr:llh_12135
ko:K02931	llr:llh_12140
ko:K02895	llr:llh_12145
ko:K02874	llr:llh_12150
ko:K02961	llr:llh_12155
ko:K02904	llr:llh_12160
ko:K02878	llr:llh_12165
ko:K02982	llr:llh_12170
ko:K02890	llr:llh_12175
ko:K02965	llr:llh_12180
ko:K02886	llr:llh_12185
ko:K02892	llr:llh_12190
ko:K02926	llr:llh_12195
ko:K02906	llr:llh_12200
ko:K02946	llr:llh_12205
ko:K03282	llr:llh_12210
ko:K01733	llr:llh_12220
ko:K02601	llr:llh_12225
ko:K03073	llr:llh_12230
ko:K06180	llr:llh_12260
ko:K09816	llr:llh_12275
ko:K09817	llr:llh_12280
ko:K03763	llr:llh_12345
ko:K02470	llr:llh_8105
ko:K05837	llr:llh_8175
ko:K01421	llr:llh_8235
ko:K03530	llr:llh_8255
ko:K03811	llr:llh_8270
ko:K02884	llr:llh_8305
ko:K02003	llr:llh_8335
ko:K01000	llr:llh_8355
ko:K03438	llr:llh_8370
ko:K01881	llr:llh_12360
ko:K11749	llr:llh_12365
ko:K00981	llr:llh_12370
ko:K00806	llr:llh_12375
ko:K03210	llr:llh_12380
ko:K00783	llr:llh_12400
ko:K02357	llr:llh_12460
ko:K02967	llr:llh_12465
ko:K04072	llr:llh_12485
ko:K00954	llr:llh_12535
ko:K03088	llr:llh_12560
ko:K01810	llr:llh_12570
ko:K06940	llr:llh_12575
ko:K01873	llr:llh_12605
ko:K01589	llr:llh_5045
ko:K01805	llr:llh_5060
ko:K05995	llr:llh_5250
ko:K00847	llr:llh_5275
ko:K01951	llr:llh_5285
ko:K03321	llr:llh_0175
ko:K03584	llr:llh_0190
ko:K00382	llr:llh_0195
ko:K00627	llr:llh_0200
ko:K00162	llr:llh_0205
ko:K00161	llr:llh_0210
ko:K03800	llr:llh_0215
ko:K01126	llr:llh_0220
ko:K06950	llr:llh_0230
ko:K01867	llr:llh_0265
ko:K03621	llr:llh_0285
ko:K01740	llr:llh_0325
ko:K03631	llr:llh_8390
ko:K03402	llr:llh_8395
ko:K06442	llr:llh_8400
ko:K13789	llr:llh_8410
ko:K00865	llr:llh_8415
ko:K03602	llr:llh_8425
ko:K03601	llr:llh_8430
ko:K01491	llr:llh_8435
ko:K05847	llr:llh_8475
ko:K01775	llr:llh_8495
ko:K00997	llr:llh_8500
ko:K03575	llr:llh_8520
ko:K03703	llr:llh_8525
ko:K03811	llr:llh_8530
ko:K00757	llr:llh_8535
ko:K02945	llr:llh_8575
ko:K00566	llr:llh_8580
ko:K01752	llr:llh_8615
ko:K01752	llr:llh_8620
ko:K03565	llr:llh_12660
ko:K02963	llr:llh_12695
ko:K02990	llr:llh_12705
ko:K06153	llr:llh_12710
ko:K02343	llr:llh_12720
ko:K01915	llr:llh_12860
ko:K03551	llr:llh_12880
ko:K03885	llr:llh_8630
ko:K03885	llr:llh_8635
ko:K01223	llr:llh_8670
ko:K02761	llr:llh_8675
ko:K01869	llr:llh_8685
ko:K00948	llr:llh_8695
ko:K03110	llr:llh_8700
ko:K03529	llr:llh_8745
ko:K03685	llr:llh_8750
ko:K00611	llr:llh_8765
ko:K00930	llr:llh_8770
ko:K00620	llr:llh_8785
ko:K00145	llr:llh_8790
ko:K07118	llr:llh_8815
ko:K01874	llr:llh_8850
ko:K01142	llr:llh_8855
ko:K01738	llr:llh_8900
ko:K03550	llr:llh_12885
ko:K03572	llr:llh_12890
ko:K03555	llr:llh_12900
ko:K07090	llr:llh_12930
ko:K00036	llr:llh_12940
ko:K07015	llr:llh_12945
ko:K03686	llr:llh_12950
ko:K01779	llr:llh_12960
ko:K01953	llr:llh_12970
ko:K03571	llr:llh_12980
ko:K03570	llr:llh_12985
ko:K01807	llr:llh_12995
ko:K03650	llr:llh_13040
ko:K03655	llr:llh_13065
ko:K06193	llr:llh_13070
ko:K00134	llr:llh_13075
ko:K06999	llr:llh_0350
ko:K15975	llr:llh_0355
ko:K01118	llr:llh_0725
ko:K03070	llr:llh_0730
ko:K01626	llr:llh_0735
ko:K09747	llr:llh_0755
ko:K01940	llr:llh_0805
ko:K01755	llr:llh_0810
ko:K03536	llr:llh_0825
ko:K03217	llr:llh_0830
ko:K02914	llr:llh_0840
ko:K07447	llr:llh_0865
ko:K00773	llr:llh_0980
ko:K06929	llr:llh_1000
ko:K12990	llr:llh_1310
ko:K03665	llr:llh_1360
ko:K07574	llr:llh_1365
ko:K00969	llr:llh_1370
ko:K09710	llr:llh_1385
ko:K03648	llr:llh_1415
ko:K02970	llr:llh_1440
ko:K00927	llr:llh_1455
ko:K05878	llr:llh_1470
ko:K05879	llr:llh_1475
ko:K02440	llr:llh_1485
ko:K08659	llr:llh_1490
ko:K06969	llr:llh_1510
ko:K04041	llr:llh_1515
ko:K07007	llr:llh_1520
ko:K07173	llr:llh_1560
ko:K03523	llr:llh_1845
ko:K02073	llr:llh_1865
ko:K02073	llr:llh_1870
ko:K02073	llr:llh_1875
ko:K02073	llr:llh_1885
ko:K02071	llr:llh_1890
ko:K02072	llr:llh_1895
ko:K02013	llr:llh_1920
ko:K02015	llr:llh_1925
ko:K02015	llr:llh_1930
ko:K02016	llr:llh_1935
ko:K03387	llr:llh_1985
ko:K00687	llr:llh_1990
ko:K06187	llr:llh_1995
ko:K01921	llr:llh_2000
ko:K01929	llr:llh_2005
ko:K15580	llr:llh_2010
ko:K15580	llr:llh_2015
ko:K15581	llr:llh_2020
ko:K02837	llr:llh_2040
ko:K05592	llr:llh_2050
ko:K01953	llr:llh_2065
ko:K03218	llr:llh_2715
ko:K03590	llr:llh_2725
ko:K03531	llr:llh_2730
ko:K06997	llr:llh_2735
ko:K09772	llr:llh_2740
ko:K02221	llr:llh_2745
ko:K04074	llr:llh_2755
ko:K01870	llr:llh_2760
ko:K02358	llr:llh_2780
ko:K04487	llr:llh_2790
ko:K00948	llr:llh_2800
ko:K00962	llr:llh_2810
ko:K00640	llr:llh_2820
ko:K01883	llr:llh_2835
ko:K11145	llr:llh_2840
ko:K03495	llr:llh_2855
ko:K02520	llr:llh_2885
ko:K02916	llr:llh_2890
ko:K02887	llr:llh_2895
ko:K02034	llr:llh_2915
ko:K01893	llr:llh_2950
ko:K03707	llr:llh_3495
ko:K03823	llr:llh_3505
ko:K02237	llr:llh_3530
ko:K02110	llr:llh_3570
ko:K02108	llr:llh_3575
ko:K02109	llr:llh_3580
ko:K02113	llr:llh_3585
ko:K02111	llr:llh_3590
ko:K02115	llr:llh_3595
ko:K02039	llr:llh_3900
ko:K01875	llr:llh_3930
ko:K00945	llr:llh_3975
ko:K02529	llr:llh_4055
ko:K01662	llr:llh_4070
ko:K08998	llr:llh_4075
ko:K01223	llr:llh_4080
ko:K01421	llr:llh_4085
ko:K03183	llr:llh_4090
ko:K00876	llr:llh_4140
ko:K03466	llr:llh_4160
ko:K02340	llr:llh_4170
ko:K00012	llr:llh_0455
ko:K05946	llr:llh_0485
ko:K02913	llr:llh_0595
ko:K02911	llr:llh_0600
ko:K07478	llr:llh_0625
ko:K02687	llr:llh_0660
ko:K09761	llr:llh_0665
ko:K07560	llr:llh_0690
ko:K00655	llr:llh_0715
ko:K14260	llr:llh_1025
ko:K03706	llr:llh_1030
ko:K02435	llr:llh_1040
ko:K02434	llr:llh_1050
ko:K03704	llr:llh_1065
ko:K02761	llr:llh_1100
ko:K06941	llr:llh_1135
ko:K02548	llr:llh_1150
ko:K04759	llr:llh_1160
ko:K04758	llr:llh_1165
ko:K02902	llr:llh_1185
ko:K00973	llr:llh_1195
ko:K01790	llr:llh_1205
ko:K00067	llr:llh_1235
ko:K05823	llr:llh_1635
ko:K02986	llr:llh_1655
ko:K06959	llr:llh_1660
ko:K03789	llr:llh_1705
ko:K03789	llr:llh_1710
ko:K02044	llr:llh_1735
ko:K02041	llr:llh_1740
ko:K02042	llr:llh_1745
ko:K02042	llr:llh_1750
ko:K11065	llr:llh_1765
ko:K01256	llr:llh_1770
ko:K00790	llr:llh_1805
ko:K00858	llr:llh_2125
ko:K06180	llr:llh_2130
ko:K03734	llr:llh_2150
ko:K04567	llr:llh_2165
ko:K03151	llr:llh_2215
ko:K01118	llr:llh_2230
ko:K01866	llr:llh_2250
ko:K06878	llr:llh_2280
ko:K04078	llr:llh_2295
ko:K04077	llr:llh_2300
ko:K00943	llr:llh_2325
ko:K02341	llr:llh_2330
ko:K07056	llr:llh_2345
ko:K04564	llr:llh_2395
ko:K06200	llr:llh_2400
ko:K01118	llr:llh_2405
ko:K00691	llr:llh_4050
ko:K03293	llr:llh_2080
ko:K16137	llr:llh_0920
ko:K03777	llr:llh_14085
ko:K01104	llr:llh_0430
ko:K03294	llr:llh_0705
ko:K02433	llr:llh_1045
ko:K01934	llr:llh_1070
ko:K01759	llr:llh_1085
ko:K09963	llr:llh_1095
ko:K00805	llr:llh_1145
ko:K07305	llr:llh_1170
ko:K07030	llr:llh_1175
ko:K07272	llr:llh_1225
ko:K12996	llr:llh_1240
ko:K12997	llr:llh_1245
ko:K07272	llr:llh_1275
ko:K00674	llr:llh_1630
ko:K03095	llr:llh_1665
ko:K01488	llr:llh_1670
ko:K01409	llr:llh_1715
ko:K01119	llr:llh_1755
ko:K07816	llr:llh_2120
ko:K00016	llr:llh_2195
ko:K11041	llr:llh_2210
ko:K03316	llr:llh_2240
ko:K03693	llr:llh_2255
ko:K01261	llr:llh_2260
ko:K07652	llr:llh_2315
ko:K07668	llr:llh_2320
ko:K00869	llr:llh_2370
ko:K01597	llr:llh_2375
ko:K00938	llr:llh_2380
ko:K01823	llr:llh_2390
ko:K03486	llr:llh_2505
ko:K02755	llr:llh_2520
ko:K02756	llr:llh_2520
ko:K02757	llr:llh_2520
ko:K01515	llr:llh_2645
ko:K01243	llr:llh_2655
ko:K01372	llr:llh_2670
ko:K15986	llr:llh_3055
ko:K01258	llr:llh_3065
ko:K13953	llr:llh_3100
ko:K05362	llr:llh_3110
ko:K04488	llr:llh_3200
ko:K04517	llr:llh_3725
ko:K04518	llr:llh_3740
ko:K06198	llr:llh_3820
ko:K07533	llr:llh_3835
ko:K00852	llr:llh_4245
ko:K10440	llr:llh_4260
ko:K06988	llr:llh_4425
ko:K09155	llr:llh_4450
ko:K02824	llr:llh_4485
ko:K07098	llr:llh_4530
ko:K06889	llr:llh_4660
ko:K02564	llr:llh_4665
ko:K01641	llr:llh_4670
ko:K00626	llr:llh_4675
ko:K00054	llr:llh_4680
ko:K01048	llr:llh_4700
ko:K00974	llr:llh_4735
ko:K10439	llr:llh_4270
ko:K02822	llr:llh_4360
ko:K03475	llr:llh_4365
ko:K00657	llr:llh_4420
ko:K07304	llr:llh_4790
ko:K01607	llr:llh_4895
ko:K01181	llr:llh_5065
ko:K00854	llr:llh_5070
ko:K01785	llr:llh_5075
ko:K03342	llr:llh_5125
ko:K02799	llr:llh_0100
ko:K02800	llr:llh_0100
ko:K02798	llr:llh_0115
ko:K11069	llr:llh_6470
ko:K07030	llr:llh_6765
ko:K01788	llr:llh_6860
ko:K03709	llr:llh_6925
ko:K03698	llr:llh_11085
ko:K02428	llr:llh_7090
ko:K09976	llr:llh_7100
ko:K01580	llr:llh_7145
ko:K07032	llr:llh_7235
ko:K01607	llr:llh_11315
ko:K01784	llr:llh_11330
ko:K01785	llr:llh_11350
ko:K15051	llr:llh_11495
ko:K06201	llr:llh_11510
ko:K02056	llr:llh_7295
ko:K00016	llr:llh_7310
ko:K00805	llr:llh_7355
ko:K00805	llr:llh_7360
ko:K02823	llr:llh_7385
ko:K03492	llr:llh_7395
ko:K02025	llr:llh_7420
ko:K07304	llr:llh_11580
ko:K00845	llr:llh_11680
ko:K02236	llr:llh_11700
ko:K01478	llr:llh_11755
ko:K02348	llr:llh_7645
ko:K02342	llr:llh_7650
ko:K03647	llr:llh_7685
ko:K07586	llr:llh_7720
ko:K09762	llr:llh_7770
ko:K00158	llr:llh_11860
ko:K00158	llr:llh_11865
ko:K07052	llr:llh_11905
ko:K01281	llr:llh_11915
ko:K09698	llr:llh_11935
ko:K07031	llr:llh_12025
ko:K05363	llr:llh_12055
ko:K03784	llr:llh_7990
ko:K09693	llr:llh_8045
ko:K00939	llr:llh_12090
ko:K12555	llr:llh_12240
ko:K09815	llr:llh_12285
ko:K02248	llr:llh_12300
ko:K02246	llr:llh_12310
ko:K02245	llr:llh_12320
ko:K02244	llr:llh_12325
ko:K02243	llr:llh_12330
ko:K07104	llr:llh_8115
ko:K00004	llr:llh_8165
ko:K00004	llr:llh_8170
ko:K07570	llr:llh_8185
ko:K03768	llr:llh_8190
ko:K03768	llr:llh_8195
ko:K11618	llr:llh_8200
ko:K11617	llr:llh_8205
ko:K02004	llr:llh_8340
ko:K02004	llr:llh_8345
ko:K12556	llr:llh_8360
ko:K12296	llr:llh_12450
ko:K06286	llr:llh_12455
ko:K07404	llr:llh_12475
