ko:K19079	suy:SA2981_0637
ko:K03704	suy:SA2981_2643
ko:K03501	suy:SA2981_2649
ko:K03495	suy:SA2981_2650
ko:K03650	suy:SA2981_2651
ko:K03536	suy:SA2981_2652
ko:K02914	suy:SA2981_2653
ko:K02437	suy:SA2981_0788
ko:K07476	suy:SA2981_0790
ko:K02071	suy:SA2981_0792
ko:K02072	suy:SA2981_0793
ko:K02073	suy:SA2981_0794
ko:K09013	suy:SA2981_0797
ko:K09015	suy:SA2981_0798
ko:K11717	suy:SA2981_0799
ko:K09014	suy:SA2981_0801
ko:K06209	suy:SA2981_1601
ko:K03979	suy:SA2981_1602
ko:K02899	suy:SA2981_1603
ko:K02888	suy:SA2981_1605
ko:K03571	suy:SA2981_1606
ko:K03570	suy:SA2981_1607
ko:K03630	suy:SA2981_1619
ko:K11754	suy:SA2981_1621
ko:K01873	suy:SA2981_1622
ko:K01246	suy:SA2981_1623
ko:K01845	suy:SA2981_1627
ko:K01698	suy:SA2981_1628
ko:K01749	suy:SA2981_1630
ko:K02497	suy:SA2981_1631
ko:K02492	suy:SA2981_1632
ko:K03978	suy:SA2981_1633
ko:K03544	suy:SA2981_1634
ko:K03545	suy:SA2981_1635
ko:K02887	suy:SA2981_1638
ko:K02916	suy:SA2981_1639
ko:K02520	suy:SA2981_1640
ko:K01868	suy:SA2981_1642
ko:K07738	suy:SA2981_1645
ko:K00134	suy:SA2981_1646
ko:K00859	suy:SA2981_1647
ko:K00833	suy:SA2981_2363
ko:K01935	suy:SA2981_2364
ko:K00865	suy:SA2981_2369
ko:K00077	suy:SA2981_2380
ko:K08170	suy:SA2981_2381
ko:K05846	suy:SA2981_2382
ko:K05845	suy:SA2981_2383
ko:K05846	suy:SA2981_2384
ko:K05847	suy:SA2981_2385
ko:K02069	suy:SA2981_2390
ko:K02068	suy:SA2981_2391
ko:K10824	suy:SA2981_2400
ko:K15587	suy:SA2981_2401
ko:K15586	suy:SA2981_2402
ko:K15585	suy:SA2981_2403
ko:K15584	suy:SA2981_2404
ko:K14232	suy:SA2981_tRNA12
ko:K14232	suy:SA2981_tRNA46
ko:K14235	suy:SA2981_tRNA34
ko:K01586	suy:SA2981_0124
ko:K01839	suy:SA2981_0140
ko:K02042	suy:SA2981_0141
ko:K02042	suy:SA2981_0142
ko:K02041	suy:SA2981_0143
ko:K02044	suy:SA2981_0144
ko:K04072	suy:SA2981_0149
ko:K13012	suy:SA2981_0162
ko:K02472	suy:SA2981_0164
ko:K09790	suy:SA2981_0167
ko:K08602	suy:SA2981_0955
ko:K06886	suy:SA2981_0957
ko:K00858	suy:SA2981_0961
ko:K06180	suy:SA2981_0962
ko:K06213	suy:SA2981_0963
ko:K00208	suy:SA2981_0965
ko:K03310	suy:SA2981_0967
ko:K02837	suy:SA2981_0974
ko:K02250	suy:SA2981_0979
ko:K03800	suy:SA2981_0981
ko:K02003	suy:SA2981_0988
ko:K15977	suy:SA2981_0991
ko:K02016	suy:SA2981_0992
ko:K02548	suy:SA2981_0996
ko:K02551	suy:SA2981_0998
ko:K01661	suy:SA2981_1000
ko:K08998	suy:SA2981_1750
ko:K01911	suy:SA2981_1752
ko:K01154	suy:SA2981_1762
ko:K03427	suy:SA2981_1763
ko:K07002	suy:SA2981_1787
ko:K00231	suy:SA2981_1788
ko:K01772	suy:SA2981_1789
ko:K01599	suy:SA2981_1790
ko:K02503	suy:SA2981_1794
ko:K09765	suy:SA2981_2529
ko:K06978	suy:SA2981_2532
ko:K01579	suy:SA2981_2535
ko:K01918	suy:SA2981_2536
ko:K00606	suy:SA2981_2537
ko:K00077	suy:SA2981_2538
ko:K01575	suy:SA2981_2539
ko:K00823	suy:SA2981_2542
ko:K01623	suy:SA2981_2544
ko:K00116	suy:SA2981_2545
ko:K01895	suy:SA2981_2547
ko:K03300	suy:SA2981_2556
ko:K02304	suy:SA2981_2557
ko:K00432	suy:SA2981_2559
ko:K10681	suy:SA2981_0682
ko:K10682	suy:SA2981_0683
ko:K10026	suy:SA2981_0687
ko:K01737	suy:SA2981_0688
ko:K06920	suy:SA2981_0689
ko:K01665	suy:SA2981_0691
ko:K15738	suy:SA2981_0697
ko:K03654	suy:SA2981_0698
ko:K05847	suy:SA2981_0699
ko:K00817	suy:SA2981_0701
ko:K03305	suy:SA2981_0705
ko:K09457	suy:SA2981_0706
ko:K02015	suy:SA2981_0711
ko:K02015	suy:SA2981_0712
ko:K02013	suy:SA2981_0713
ko:K02016	suy:SA2981_0714
ko:K00075	suy:SA2981_0716
ko:K00865	suy:SA2981_0720
ko:K03070	suy:SA2981_0731
ko:K02836	suy:SA2981_0732
ko:K02913	suy:SA2981_1509
ko:K04564	suy:SA2981_1511
ko:K09816	suy:SA2981_1513
ko:K09817	suy:SA2981_1514
ko:K01151	suy:SA2981_1515
ko:K06967	suy:SA2981_1518
ko:K03086	suy:SA2981_1519
ko:K09773	suy:SA2981_1521
ko:K01880	suy:SA2981_1523
ko:K03584	suy:SA2981_1524
ko:K07042	suy:SA2981_1528
ko:K02970	suy:SA2981_1533
ko:K09761	suy:SA2981_1535
ko:K02687	suy:SA2981_1536
ko:K03686	suy:SA2981_1537
ko:K04043	suy:SA2981_1538
ko:K03687	suy:SA2981_1539
ko:K03705	suy:SA2981_1540
ko:K14230	suy:SA2981_tRNA43
ko:K06885	suy:SA2981_0580
ko:K01887	suy:SA2981_0584
ko:K02016	suy:SA2981_0586
ko:K02015	suy:SA2981_0587
ko:K09936	suy:SA2981_0594
ko:K05566	suy:SA2981_0599
ko:K05567	suy:SA2981_0600
ko:K05569	suy:SA2981_0602
ko:K05571	suy:SA2981_0604
ko:K05946	suy:SA2981_0612
ko:K02013	suy:SA2981_0623
ko:K02015	suy:SA2981_0624
ko:K02015	suy:SA2981_0625
ko:K05878	suy:SA2981_0626
ko:K05879	suy:SA2981_0627
ko:K01893	suy:SA2981_1410
ko:K03524	suy:SA2981_1412
ko:K06973	suy:SA2981_1416
ko:K00800	suy:SA2981_1420
ko:K01735	suy:SA2981_1421
ko:K01736	suy:SA2981_1422
ko:K00940	suy:SA2981_1425
ko:K03183	suy:SA2981_1427
ko:K03530	suy:SA2981_1429
ko:K00057	suy:SA2981_1430
ko:K03977	suy:SA2981_1431
ko:K02945	suy:SA2981_1432
ko:K00945	suy:SA2981_1434
ko:K03654	suy:SA2981_1438
ko:K07651	suy:SA2981_1448
ko:K07775	suy:SA2981_1449
ko:K06178	suy:SA2981_1450
ko:K06024	suy:SA2981_1451
ko:K05896	suy:SA2981_1452
ko:K07124	suy:SA2981_1459
ko:K02879	suy:SA2981_2161
ko:K03040	suy:SA2981_2162
ko:K02948	suy:SA2981_2163
ko:K02952	suy:SA2981_2164
ko:K02919	suy:SA2981_2165
ko:K02518	suy:SA2981_2166
ko:K03076	suy:SA2981_2168
ko:K02876	suy:SA2981_2169
ko:K02907	suy:SA2981_2170
ko:K02988	suy:SA2981_2171
ko:K02881	suy:SA2981_2172
ko:K02933	suy:SA2981_2173
ko:K02994	suy:SA2981_2174
ko:K02954	suy:SA2981_2175
ko:K02931	suy:SA2981_2176
ko:K02895	suy:SA2981_2177
ko:K02874	suy:SA2981_2178
ko:K02961	suy:SA2981_2179
ko:K02904	suy:SA2981_2180
ko:K02878	suy:SA2981_2181
ko:K02982	suy:SA2981_2182
ko:K02890	suy:SA2981_2183
ko:K02965	suy:SA2981_2184
ko:K02886	suy:SA2981_2185
ko:K02892	suy:SA2981_2186
ko:K02926	suy:SA2981_2187
ko:K02906	suy:SA2981_2188
ko:K02946	suy:SA2981_2189
ko:K06901	suy:SA2981_2191
ko:K07088	suy:SA2981_2196
ko:K03639	suy:SA2981_2206
ko:K03752	suy:SA2981_2207
ko:K03636	suy:SA2981_2208
ko:K03753	suy:SA2981_2210
ko:K03596	suy:SA2981_1543
ko:K02968	suy:SA2981_1544
ko:K02340	suy:SA2981_1545
ko:K02237	suy:SA2981_1548
ko:K09710	suy:SA2981_1550
ko:K00969	suy:SA2981_1552
ko:K07574	suy:SA2981_1553
ko:K03481	suy:SA2981_2263
ko:K01468	suy:SA2981_2269
ko:K01712	suy:SA2981_2270
ko:K11210	suy:SA2981_2272
ko:K01807	suy:SA2981_2275
ko:K09771	suy:SA2981_2278
ko:K03652	suy:SA2981_2283
ko:K03312	suy:SA2981_2284
ko:K03284	suy:SA2981_2286
ko:K07107	suy:SA2981_2287
ko:K07552	suy:SA2981_2294
ko:K00116	suy:SA2981_2304
ko:K03303	suy:SA2981_2305
ko:K00459	suy:SA2981_0875
ko:K07090	suy:SA2981_0877
ko:K03644	suy:SA2981_0879
ko:K03367	suy:SA2981_0887
ko:K03739	suy:SA2981_0888
ko:K14188	suy:SA2981_0889
ko:K07571	suy:SA2981_0483
ko:K04075	suy:SA2981_0484
ko:K00760	suy:SA2981_0485
ko:K03798	suy:SA2981_0486
ko:K04083	suy:SA2981_0487
ko:K01738	suy:SA2981_0488
ko:K00796	suy:SA2981_0489
ko:K01633	suy:SA2981_0490
ko:K00950	suy:SA2981_0491
ko:K04567	suy:SA2981_0492
ko:K00375	suy:SA2981_0493
ko:K06215	suy:SA2981_0494
ko:K08681	suy:SA2981_0495
ko:K11535	suy:SA2981_0496
ko:K03696	suy:SA2981_0500
ko:K04485	suy:SA2981_0501
ko:K00640	suy:SA2981_0504
ko:K01883	suy:SA2981_0505
ko:K11145	suy:SA2981_0506
ko:K03218	suy:SA2981_0507
ko:K03740	suy:SA2981_0890
ko:K03885	suy:SA2981_0893
ko:K03885	suy:SA2981_0896
ko:K01255	suy:SA2981_0897
ko:K07084	suy:SA2981_0898
ko:K05571	suy:SA2981_0901
ko:K07636	suy:SA2981_1651
ko:K00031	suy:SA2981_1653
ko:K01647	suy:SA2981_1654
ko:K00873	suy:SA2981_1656
ko:K00850	suy:SA2981_1657
ko:K01962	suy:SA2981_1658
ko:K01963	suy:SA2981_1659
ko:K02337	suy:SA2981_1661
ko:K00259	suy:SA2981_1667
ko:K00925	suy:SA2981_1669
ko:K11065	suy:SA2981_1671
ko:K07090	suy:SA2981_1672
ko:K03151	suy:SA2981_1673
ko:K04487	suy:SA2981_1674
ko:K02986	suy:SA2981_1678
ko:K01126	suy:SA2981_1679
ko:K00655	suy:SA2981_1685
ko:K01866	suy:SA2981_1687
ko:K01938	suy:SA2981_1690
ko:K01895	suy:SA2981_1691
ko:K04766	suy:SA2981_1692
ko:K04768	suy:SA2981_1693
ko:K02529	suy:SA2981_1694
ko:K13853	suy:SA2981_1695
ko:K01924	suy:SA2981_1698
ko:K00963	suy:SA2981_2436
ko:K11476	suy:SA2981_2443
ko:K04041	suy:SA2981_2452
ko:K06999	suy:SA2981_2454
ko:K15975	suy:SA2981_2455
ko:K15973	suy:SA2981_2456
ko:K06975	suy:SA2981_2457
ko:K03778	suy:SA2981_2460
ko:K06962	suy:SA2981_0508
ko:K03091	suy:SA2981_0509
ko:K02913	suy:SA2981_0510
ko:K03073	suy:SA2981_0511
ko:K02601	suy:SA2981_0512
ko:K02867	suy:SA2981_0514
ko:K02863	suy:SA2981_0515
ko:K02864	suy:SA2981_0516
ko:K02935	suy:SA2981_0517
ko:K03043	suy:SA2981_0519
ko:K03046	suy:SA2981_0520
ko:K07590	suy:SA2981_0521
ko:K02950	suy:SA2981_0522
ko:K14205	suy:SA2981_1314
ko:K01821	suy:SA2981_1317
ko:K01657	suy:SA2981_1321
ko:K00766	suy:SA2981_1323
ko:K01609	suy:SA2981_1324
ko:K01817	suy:SA2981_1325
ko:K01696	suy:SA2981_1326
ko:K01695	suy:SA2981_1327
ko:K02034	suy:SA2981_1335
ko:K02039	suy:SA2981_1339
ko:K02036	suy:SA2981_1340
ko:K02038	suy:SA2981_1341
ko:K02037	suy:SA2981_1342
ko:K02040	suy:SA2981_1343
ko:K00243	suy:SA2981_1345
ko:K00928	suy:SA2981_1347
ko:K00133	suy:SA2981_1348
ko:K01714	suy:SA2981_1349
ko:K00215	suy:SA2981_1350
ko:K01775	suy:SA2981_1353
ko:K01586	suy:SA2981_1354
ko:K03704	suy:SA2981_1356
ko:K01512	suy:SA2981_1358
ko:K07173	suy:SA2981_2074
ko:K00756	suy:SA2981_2076
ko:K04047	suy:SA2981_2079
ko:K01809	suy:SA2981_2083
ko:K02013	suy:SA2981_2092
ko:K00820	suy:SA2981_2093
ko:K00009	suy:SA2981_2098
ko:K03431	suy:SA2981_2100
ko:K01476	suy:SA2981_2103
ko:K11068	suy:SA2981_2108
ko:K00122	suy:SA2981_0178
ko:K02529	suy:SA2981_0271
ko:K01442	suy:SA2981_0275
ko:K03466	suy:SA2981_0287
ko:K03311	suy:SA2981_0305
ko:K02003	suy:SA2981_0308
ko:K03703	suy:SA2981_1102
ko:K00239	suy:SA2981_1104
ko:K00240	suy:SA2981_1105
ko:K01776	suy:SA2981_1106
ko:K07095	suy:SA2981_1108
ko:K11032	suy:SA2981_1119
ko:K00611	suy:SA2981_1125
ko:K00926	suy:SA2981_1126
ko:K03925	suy:SA2981_1136
ko:K03438	suy:SA2981_1137
ko:K01000	suy:SA2981_1140
ko:K01925	suy:SA2981_1141
ko:K03589	suy:SA2981_1142
ko:K03590	suy:SA2981_1143
ko:K03531	suy:SA2981_1144
ko:K05810	suy:SA2981_1145
ko:K06997	suy:SA2981_1146
ko:K09772	suy:SA2981_1147
ko:K02221	suy:SA2981_1148
ko:K04074	suy:SA2981_1150
ko:K01870	suy:SA2981_1151
ko:K03101	suy:SA2981_1154
ko:K06180	suy:SA2981_1155
ko:K00763	suy:SA2981_1870
ko:K00491	suy:SA2981_1871
ko:K14445	suy:SA2981_1873
ko:K03387	suy:SA2981_0379
ko:K06956	suy:SA2981_0382
ko:K03816	suy:SA2981_0386
ko:K01951	suy:SA2981_0389
ko:K08987	suy:SA2981_0394
ko:K03427	suy:SA2981_0407
ko:K01154	suy:SA2981_0408
ko:K05577	suy:SA2981_0428
ko:K09822	suy:SA2981_0429
ko:K03928	suy:SA2981_0433
ko:K04096	suy:SA2981_1207
ko:K03168	suy:SA2981_1208
ko:K04094	suy:SA2981_1209
ko:K03733	suy:SA2981_1210
ko:K01419	suy:SA2981_1211
ko:K03667	suy:SA2981_1212
ko:K03706	suy:SA2981_1213
ko:K02967	suy:SA2981_1214
ko:K02357	suy:SA2981_1215
ko:K09903	suy:SA2981_1216
ko:K02838	suy:SA2981_1217
ko:K00806	suy:SA2981_1218
ko:K00981	suy:SA2981_1219
ko:K11749	suy:SA2981_1220
ko:K01881	suy:SA2981_1221
ko:K03763	suy:SA2981_1222
ko:K09748	suy:SA2981_1223
ko:K02600	suy:SA2981_1224
ko:K07742	suy:SA2981_1225
ko:K02519	suy:SA2981_1227
ko:K02834	suy:SA2981_1228
ko:K11753	suy:SA2981_1230
ko:K02956	suy:SA2981_1231
ko:K00962	suy:SA2981_1232
ko:K03466	suy:SA2981_1234
ko:K00995	suy:SA2981_1241
ko:K09769	suy:SA2981_1246
ko:K00174	suy:SA2981_1247
ko:K00175	suy:SA2981_1248
ko:K06168	suy:SA2981_1250
ko:K03555	suy:SA2981_1253
ko:K03572	suy:SA2981_1254
ko:K02440	suy:SA2981_1256
ko:K00864	suy:SA2981_1257
ko:K07813	suy:SA2981_1977
ko:K07707	suy:SA2981_1980
ko:K00847	suy:SA2981_1981
ko:K01193	suy:SA2981_1982
ko:K03484	suy:SA2981_1983
ko:K03320	suy:SA2981_1984
ko:K07112	suy:SA2981_1986
ko:K01926	suy:SA2981_1987
ko:K06158	suy:SA2981_1988
ko:K03789	suy:SA2981_1991
ko:K06925	suy:SA2981_1993
ko:K01687	suy:SA2981_1994
ko:K01652	suy:SA2981_1995
ko:K01653	suy:SA2981_1996
ko:K00053	suy:SA2981_1997
ko:K01649	suy:SA2981_1998
ko:K00052	suy:SA2981_1999
ko:K01703	suy:SA2981_2000
ko:K01704	suy:SA2981_2001
ko:K01754	suy:SA2981_2002
ko:K06959	suy:SA2981_2004
ko:K01775	suy:SA2981_2011
ko:K00997	suy:SA2981_2012
ko:K01548	suy:SA2981_2016
ko:K01547	suy:SA2981_2017
ko:K01546	suy:SA2981_2018
ko:K07646	suy:SA2981_2019
ko:K08996	suy:SA2981_0182
ko:K00930	suy:SA2981_0183
ko:K00620	suy:SA2981_0184
ko:K00145	suy:SA2981_0185
ko:K03311	suy:SA2981_0187
ko:K07106	suy:SA2981_0192
ko:K01153	suy:SA2981_0196
ko:K02003	suy:SA2981_0199
ko:K02034	suy:SA2981_0208
ko:K01118	suy:SA2981_0212
ko:K15771	suy:SA2981_0216
ko:K15772	suy:SA2981_0217
ko:K02829	suy:SA2981_1012
ko:K02828	suy:SA2981_1013
ko:K02827	suy:SA2981_1014
ko:K02826	suy:SA2981_1015
ko:K01491	suy:SA2981_1019
ko:K01588	suy:SA2981_1020
ko:K01589	suy:SA2981_1021
ko:K01923	suy:SA2981_1022
ko:K01952	suy:SA2981_1024
ko:K01952	suy:SA2981_1025
ko:K00764	suy:SA2981_1026
ko:K01933	suy:SA2981_1027
ko:K11175	suy:SA2981_1028
ko:K00602	suy:SA2981_1029
ko:K01945	suy:SA2981_1030
ko:K06969	suy:SA2981_1037
ko:K00425	suy:SA2981_1042
ko:K00426	suy:SA2981_1043
ko:K01462	suy:SA2981_1048
ko:K00161	suy:SA2981_1050
ko:K06180	suy:SA2981_1806
ko:K03216	suy:SA2981_1811
ko:K03564	suy:SA2981_1819
ko:K00926	suy:SA2981_2571
ko:K03758	suy:SA2981_2572
ko:K00611	suy:SA2981_2573
ko:K01809	suy:SA2981_2581
ko:K01421	suy:SA2981_2582
ko:K03070	suy:SA2981_2588
ko:K03076	suy:SA2981_2592
ko:K11936	suy:SA2981_2605
ko:K07023	suy:SA2981_0734
ko:K03702	suy:SA2981_0736
ko:K03701	suy:SA2981_0737
ko:K13292	suy:SA2981_0739
ko:K00384	suy:SA2981_0742
ko:K01358	suy:SA2981_0746
ko:K07071	suy:SA2981_0747
ko:K05311	suy:SA2981_0749
ko:K00134	suy:SA2981_0750
ko:K00927	suy:SA2981_0751
ko:K01803	suy:SA2981_0752
ko:K15633	suy:SA2981_0753
ko:K01689	suy:SA2981_0754
ko:K03075	suy:SA2981_0756
ko:K03928	suy:SA2981_0757
ko:K12573	suy:SA2981_0758
ko:K03664	suy:SA2981_0759
ko:K03704	suy:SA2981_0771
ko:K06895	suy:SA2981_0780
ko:K03785	suy:SA2981_0784
ko:K00014	suy:SA2981_1554
ko:K07015	suy:SA2981_1556
ko:K07160	suy:SA2981_1563
ko:K01961	suy:SA2981_1564
ko:K02160	suy:SA2981_1565
ko:K03624	suy:SA2981_1568
ko:K00876	suy:SA2981_1569
ko:K08303	suy:SA2981_1570
ko:K07447	suy:SA2981_1574
ko:K01872	suy:SA2981_1576
ko:K03581	suy:SA2981_1577
ko:K00566	suy:SA2981_1579
ko:K04487	suy:SA2981_1580
ko:K07478	suy:SA2981_1585
ko:K01876	suy:SA2981_1588
ko:K01892	suy:SA2981_1589
ko:K01448	suy:SA2981_1590
ko:K07560	suy:SA2981_1591
ko:K00759	suy:SA2981_1593
ko:K07462	suy:SA2981_1594
ko:K12257	suy:SA2981_1595
ko:K03210	suy:SA2981_1596
ko:K18940	suy:SA2981_1368
ko:K00773	suy:SA2981_1597
ko:K07568	suy:SA2981_1598
ko:K03551	suy:SA2981_1599
ko:K03550	suy:SA2981_1600
ko:K11102	suy:SA2981_2321
ko:K07696	suy:SA2981_2328
ko:K00373	suy:SA2981_2332
ko:K00371	suy:SA2981_2333
ko:K00370	suy:SA2981_2334
ko:K00363	suy:SA2981_2336
ko:K00362	suy:SA2981_2337
ko:K01012	suy:SA2981_2362
ko:K05569	suy:SA2981_0903
ko:K05567	suy:SA2981_0905
ko:K05566	suy:SA2981_0906
ko:K06347	suy:SA2981_0908
ko:K00260	suy:SA2981_0913
ko:K01126	suy:SA2981_0914
ko:K01755	suy:SA2981_0915
ko:K01940	suy:SA2981_0916
ko:K01810	suy:SA2981_0917
ko:K03100	suy:SA2981_0919
ko:K03100	suy:SA2981_0920
ko:K03695	suy:SA2981_0930
ko:K00648	suy:SA2981_0938
ko:K09458	suy:SA2981_0939
ko:K15581	suy:SA2981_0941
ko:K15580	suy:SA2981_0945
ko:K02034	suy:SA2981_0950
ko:K01867	suy:SA2981_0951
ko:K03466	suy:SA2981_1699
ko:K06878	suy:SA2981_1700
ko:K03439	suy:SA2981_1706
ko:K00824	suy:SA2981_1708
ko:K07007	suy:SA2981_1713
ko:K01869	suy:SA2981_1716
ko:K07139	suy:SA2981_1718
ko:K00318	suy:SA2981_1722
ko:K00794	suy:SA2981_1723
ko:K14652	suy:SA2981_1724
ko:K00793	suy:SA2981_1725
ko:K11752	suy:SA2981_1726
ko:K03893	suy:SA2981_1729
ko:K06199	suy:SA2981_1738
ko:K06199	suy:SA2981_1739
ko:K00789	suy:SA2981_1745
ko:K01610	suy:SA2981_1746
ko:K03823	suy:SA2981_2465
ko:K01752	suy:SA2981_2466
ko:K01752	suy:SA2981_2467
ko:K07107	suy:SA2981_2473
ko:K04759	suy:SA2981_2486
ko:K04758	suy:SA2981_2487
ko:K03778	suy:SA2981_2496
ko:K07220	suy:SA2981_0639
ko:K03306	suy:SA2981_0640
ko:K06890	suy:SA2981_0642
ko:K09793	suy:SA2981_0651
ko:K06966	suy:SA2981_0657
ko:K09768	suy:SA2981_0658
ko:K06153	suy:SA2981_0660
ko:K01669	suy:SA2981_0668
ko:K02768	suy:SA2981_0677
ko:K02769	suy:SA2981_0677
ko:K02770	suy:SA2981_0677
ko:K01443	suy:SA2981_0678
ko:K00286	suy:SA2981_1460
ko:K00036	suy:SA2981_1462
ko:K09699	suy:SA2981_1474
ko:K00167	suy:SA2981_1475
ko:K00166	suy:SA2981_1476
ko:K00382	suy:SA2981_1477
ko:K03631	suy:SA2981_1478
ko:K03402	suy:SA2981_1479
ko:K13789	suy:SA2981_1480
ko:K03602	suy:SA2981_1481
ko:K03601	suy:SA2981_1482
ko:K03625	suy:SA2981_1483
ko:K01961	suy:SA2981_1485
ko:K02160	suy:SA2981_1486
ko:K02356	suy:SA2981_1487
ko:K03800	suy:SA2981_1491
ko:K00283	suy:SA2981_1493
ko:K00282	suy:SA2981_1494
ko:K00605	suy:SA2981_1495
ko:K00891	suy:SA2981_1496
ko:K03750	suy:SA2981_2211
ko:K03637	suy:SA2981_2212
ko:K03638	suy:SA2981_2213
ko:K02018	suy:SA2981_2216
ko:K02020	suy:SA2981_2217
ko:K02379	suy:SA2981_2218
ko:K03523	suy:SA2981_2220
ko:K02016	suy:SA2981_2222
ko:K08717	suy:SA2981_2225
ko:K01430	suy:SA2981_2226
ko:K01429	suy:SA2981_2227
ko:K01428	suy:SA2981_2228
ko:K03187	suy:SA2981_2229
ko:K03188	suy:SA2981_2230
ko:K03189	suy:SA2981_2231
ko:K03190	suy:SA2981_2232
ko:K03315	suy:SA2981_2239
ko:K09940	suy:SA2981_2241
ko:K00123	suy:SA2981_2248
ko:K03453	suy:SA2981_2260
ko:K02749	suy:SA2981_2262
ko:K02750	suy:SA2981_2262
ko:K02992	suy:SA2981_0523
ko:K02355	suy:SA2981_0524
ko:K02358	suy:SA2981_0525
ko:K05523	suy:SA2981_0528
ko:K00826	suy:SA2981_0531
ko:K01091	suy:SA2981_0532
ko:K15519	suy:SA2981_0533
ko:K15518	suy:SA2981_0534
ko:K14194	suy:SA2981_0538
ko:K14194	suy:SA2981_0539
ko:K14194	suy:SA2981_0540
ko:K09007	suy:SA2981_0543
ko:K08094	suy:SA2981_0548
ko:K03762	suy:SA2981_0550
ko:K00868	suy:SA2981_0557
ko:K03648	suy:SA2981_0558
ko:K03311	suy:SA2981_1361
ko:K00658	suy:SA2981_1366
ko:K00164	suy:SA2981_1367
ko:K02563	suy:SA2981_1372
ko:K03797	suy:SA2981_1374
ko:K09125	suy:SA2981_1386
ko:K08170	suy:SA2981_1391
ko:K01754	suy:SA2981_1393
ko:K00259	suy:SA2981_1394
ko:K07444	suy:SA2981_1399
ko:K05366	suy:SA2981_1406
ko:K10773	suy:SA2981_1408
ko:K07038	suy:SA2981_2110
ko:K02015	suy:SA2981_2113
ko:K02015	suy:SA2981_2114
ko:K02016	suy:SA2981_2115
ko:K02787	suy:SA2981_2128
ko:K02788	suy:SA2981_2128
ko:K12410	suy:SA2981_2135
ko:K01575	suy:SA2981_2143
ko:K01652	suy:SA2981_2144
ko:K02996	suy:SA2981_2155
ko:K02871	suy:SA2981_2156
ko:K06173	suy:SA2981_2157
