ko:K14237	hpyr:K747_08975
ko:K02355	hpyr:K747_05050
ko:K01892	hpyr:K747_05065
ko:K00133	hpyr:K747_05070
ko:K01839	hpyr:K747_05125
ko:K06901	hpyr:K747_05155
ko:K02429	hpyr:K747_05160
ko:K02029	hpyr:K747_05185
ko:K06200	hpyr:K747_05190
ko:K00333	hpyr:K747_04700
ko:K00332	hpyr:K747_04705
ko:K00331	hpyr:K747_04710
ko:K00330	hpyr:K747_04715
ko:K12410	hpyr:K747_04720
ko:K00762	hpyr:K747_04730
ko:K02838	hpyr:K747_04735
ko:K03075	hpyr:K747_04740
ko:K01867	hpyr:K747_04750
ko:K00334	hpyr:K747_04695
ko:K02528	hpyr:K747_04050
ko:K06041	hpyr:K747_04060
ko:K01870	hpyr:K747_04085
ko:K02412	hpyr:K747_04095
ko:K02420	hpyr:K747_04100
ko:K00075	hpyr:K747_04105
ko:K12573	hpyr:K747_04780
ko:K02340	hpyr:K747_04785
ko:K02990	hpyr:K747_04795
ko:K02963	hpyr:K747_04805
ko:K09794	hpyr:K747_04815
ko:K01872	hpyr:K747_04820
ko:K06287	hpyr:K747_04825
ko:K01956	hpyr:K747_04835
ko:K09804	hpyr:K747_04840
ko:K00796	hpyr:K747_04865
ko:K02341	hpyr:K747_04870
ko:K00928	hpyr:K747_04880
ko:K08311	hpyr:K747_04885
ko:K06199	hpyr:K747_04900
ko:K09710	hpyr:K747_04130
ko:K09457	hpyr:K747_04135
ko:K07058	hpyr:K747_04170
ko:K01012	hpyr:K747_04175
ko:K01647	hpyr:K747_04200
ko:K01935	hpyr:K747_04215
ko:K06891	hpyr:K747_04230
ko:K01579	hpyr:K747_04240
ko:K09747	hpyr:K747_04245
ko:K12050	hpyr:K747_04260
ko:K12049	hpyr:K747_04265
ko:K12048	hpyr:K747_04270
ko:K01711	hpyr:K747_04280
ko:K04656	hpyr:K747_04295
ko:K03832	hpyr:K747_04310
ko:K03561	hpyr:K747_04320
ko:K07722	hpyr:K747_04325
ko:K00969	hpyr:K747_04330
ko:K00566	hpyr:K747_04340
ko:K03686	hpyr:K747_04360
ko:K07787	hpyr:K747_04375
ko:K03470	hpyr:K747_04405
ko:K01657	hpyr:K747_04600
ko:K00766	hpyr:K747_04610
ko:K13498	hpyr:K747_04615
ko:K01696	hpyr:K747_04620
ko:K01695	hpyr:K747_04625
ko:K15778	hpyr:K747_04635
ko:K00343	hpyr:K747_04650
ko:K00342	hpyr:K747_04655
ko:K00341	hpyr:K747_04660
ko:K00340	hpyr:K747_04665
ko:K00339	hpyr:K747_04670
ko:K00338	hpyr:K747_04675
ko:K00337	hpyr:K747_04680
ko:K03707	hpyr:K747_04580
ko:K01945	hpyr:K747_04930
ko:K04744	hpyr:K747_04940
ko:K00962	hpyr:K747_04950
ko:K02110	hpyr:K747_04960
ko:K00640	hpyr:K747_04970
ko:K02493	hpyr:K747_05685
ko:K15256	hpyr:K747_05720
ko:K04564	hpyr:K747_05725
ko:K00384	hpyr:K747_05220
ko:K03839	hpyr:K747_05235
ko:K07042	hpyr:K747_05240
ko:K04095	hpyr:K747_05245
ko:K00286	hpyr:K747_05250
ko:K02563	hpyr:K747_05265
ko:K01873	hpyr:K747_05275
ko:K03106	hpyr:K747_05280
ko:K02959	hpyr:K747_05285
ko:K06960	hpyr:K747_05290
ko:K02860	hpyr:K747_05295
ko:K03415	hpyr:K747_05750
ko:K03269	hpyr:K747_05755
ko:K06997	hpyr:K747_05760
ko:K02945	hpyr:K747_05790
ko:K03527	hpyr:K747_05795
ko:K01890	hpyr:K747_05810
ko:K11065	hpyr:K747_05730
ko:K02503	hpyr:K747_05825
ko:K03408	hpyr:K747_05735
ko:K03407	hpyr:K747_05740
ko:K02884	hpyr:K747_05305
ko:K00604	hpyr:K747_05330
ko:K03524	hpyr:K747_05335
ko:K02109	hpyr:K747_05350
ko:K02109	hpyr:K747_05355
ko:K02113	hpyr:K747_05360
ko:K02111	hpyr:K747_05365
ko:K02115	hpyr:K747_05370
ko:K02112	hpyr:K747_05375
ko:K02114	hpyr:K747_05380
ko:K03640	hpyr:K747_05405
ko:K03775	hpyr:K747_05415
ko:K02396	hpyr:K747_05440
ko:K03702	hpyr:K747_05470
ko:K01756	hpyr:K747_05480
ko:K00170	hpyr:K747_05485
ko:K00169	hpyr:K747_05490
ko:K00171	hpyr:K747_05495
ko:K00172	hpyr:K747_05500
ko:K00554	hpyr:K747_05300
ko:K03531	hpyr:K747_05990
ko:K03590	hpyr:K747_05995
ko:K03770	hpyr:K747_06000
ko:K00833	hpyr:K747_06005
ko:K13979	hpyr:K747_05525
ko:K01057	hpyr:K747_05535
ko:K00036	hpyr:K747_05540
ko:K01625	hpyr:K747_05550
ko:K06173	hpyr:K747_05580
ko:K00573	hpyr:K747_05590
ko:K01961	hpyr:K747_05625
ko:K02160	hpyr:K747_05630
ko:K01494	hpyr:K747_05635
ko:K01951	hpyr:K747_05870
ko:K15846	hpyr:K747_05875
ko:K16052	hpyr:K747_05885
ko:K00574	hpyr:K747_05890
ko:K01874	hpyr:K747_05895
ko:K00285	hpyr:K747_06210
ko:K03310	hpyr:K747_06215
ko:K10009	hpyr:K747_06230
ko:K01737	hpyr:K747_06265
ko:K03787	hpyr:K747_06275
ko:K00795	hpyr:K747_06280
ko:K02435	hpyr:K747_06010
ko:K01879	hpyr:K747_06025
ko:K15726	hpyr:K747_06040
ko:K00057	hpyr:K747_06110
ko:K01878	hpyr:K747_06115
ko:K07164	hpyr:K747_06125
ko:K02527	hpyr:K747_06130
ko:K13292	hpyr:K747_06140
ko:K01963	hpyr:K747_06165
ko:K00783	hpyr:K747_06170
ko:K06187	hpyr:K747_06300
ko:K01821	hpyr:K747_06305
ko:K00134	hpyr:K747_06320
ko:K01955	hpyr:K747_06330
ko:K03799	hpyr:K747_06290
ko:K15844	hpyr:K747_06350
ko:K15843	hpyr:K747_06355
ko:K03657	hpyr:K747_06365
ko:K02390	hpyr:K747_06380
ko:K13788	hpyr:K747_06400
ko:K04653	hpyr:K747_06420
ko:K04654	hpyr:K747_06425
ko:K01495	hpyr:K747_06285
ko:K02015	hpyr:K747_06460
ko:K02013	hpyr:K747_06465
ko:K01883	hpyr:K747_06475
ko:K15847	hpyr:K747_06435
ko:K14230	hpyr:K747_t08272
ko:K14230	hpyr:K747_t08270
ko:K14223	hpyr:K747_t08268
ko:K14225	hpyr:K747_t08266
ko:K14228	hpyr:K747_t08264
ko:K14222	hpyr:K747_t08262
ko:K14233	hpyr:K747_t08260
ko:K14219	hpyr:K747_t08258
ko:K14219	hpyr:K747_t08256
ko:K14226	hpyr:K747_t08254
ko:K14232	hpyr:K747_t08252
ko:K14228	hpyr:K747_t08250
ko:K14227	hpyr:K747_t08248
ko:K14218	hpyr:K747_t08246
ko:K14230	hpyr:K747_t08244
ko:K14235	hpyr:K747_t08242
ko:K14234	hpyr:K747_t08240
ko:K14225	hpyr:K747_t08238
ko:K14236	hpyr:K747_t08236
ko:K14234	hpyr:K747_t08234
ko:K14231	hpyr:K747_t08228
ko:K01980	hpyr:K747_r08282
ko:K01980	hpyr:K747_r08284
ko:K01990	hpyr:K747_04925
ko:K02400	hpyr:K747_10740
ko:K03786	hpyr:K747_10755
ko:K01262	hpyr:K747_10760
ko:K02404	hpyr:K747_10770
ko:K04562	hpyr:K747_10775
ko:K02405	hpyr:K747_10785
ko:K02417	hpyr:K747_10795
ko:K01624	hpyr:K747_09540
ko:K02003	hpyr:K747_09555
ko:K03558	hpyr:K747_09560
ko:K04567	hpyr:K747_09565
ko:K00600	hpyr:K747_09570
ko:K00245	hpyr:K747_09605
ko:K00244	hpyr:K747_09610
ko:K00246	hpyr:K747_09615
ko:K01803	hpyr:K747_09620
ko:K00208	hpyr:K747_09625
ko:K02536	hpyr:K747_09630
ko:K00789	hpyr:K747_09635
ko:K00940	hpyr:K747_09640
ko:K02911	hpyr:K747_09650
ko:K03621	hpyr:K747_09655
ko:K00648	hpyr:K747_09660
ko:K03593	hpyr:K747_09690
ko:K01628	hpyr:K747_09160
ko:K03705	hpyr:K747_09165
ko:K03687	hpyr:K747_09170
ko:K04043	hpyr:K747_09175
ko:K01738	hpyr:K747_09180
ko:K01760	hpyr:K747_09185
ko:K07173	hpyr:K747_09190
ko:K01119	hpyr:K747_09195
ko:K09765	hpyr:K747_09210
ko:K03406	hpyr:K747_09215
ko:K02356	hpyr:K747_09545
ko:K02071	hpyr:K747_08450
ko:K02072	hpyr:K747_08455
ko:K03474	hpyr:K747_08470
ko:K00097	hpyr:K747_08475
ko:K01409	hpyr:K747_08485
ko:K02392	hpyr:K747_08490
ko:K03625	hpyr:K747_08510
ko:K00794	hpyr:K747_08515
ko:K01627	hpyr:K747_08520
ko:K01673	hpyr:K747_08525
ko:K01591	hpyr:K747_08530
ko:K01918	hpyr:K747_08535
ko:K15898	hpyr:K747_09550
ko:K02996	hpyr:K747_09030
ko:K02871	hpyr:K747_09035
ko:K00116	hpyr:K747_09045
ko:K03086	hpyr:K747_09055
ko:K02887	hpyr:K747_09100
ko:K02916	hpyr:K747_09105
ko:K02520	hpyr:K747_09110
ko:K01868	hpyr:K747_09115
ko:K03168	hpyr:K747_09140
ko:K02406	hpyr:K747_09145
ko:K09477	hpyr:K747_09370
ko:K00404	hpyr:K747_09375
ko:K00405	hpyr:K747_09380
ko:K00407	hpyr:K747_09385
ko:K01689	hpyr:K747_09425
ko:K00891	hpyr:K747_09440
ko:K03279	hpyr:K747_09450
ko:K07126	hpyr:K747_09455
ko:K07226	hpyr:K747_10255
ko:K01887	hpyr:K747_10260
ko:K03116	hpyr:K747_10265
ko:K00053	hpyr:K747_10330
ko:K03609	hpyr:K747_10335
ko:K03608	hpyr:K747_10340
ko:K04096	hpyr:K747_10345
ko:K07447	hpyr:K747_10350
ko:K06180	hpyr:K747_10400
ko:K07462	hpyr:K747_10405
ko:K01937	hpyr:K747_10410
ko:K02411	hpyr:K747_10430
ko:K02392	hpyr:K747_10455
ko:K03466	hpyr:K747_10465
ko:K00615	hpyr:K747_10475
ko:K06442	hpyr:K747_10485
ko:K00942	hpyr:K747_10270
ko:K00609	hpyr:K747_10495
ko:K11085	hpyr:K747_10510
ko:K07241	hpyr:K747_10535
ko:K01609	hpyr:K747_10065
ko:K01524	hpyr:K747_10075
ko:K02841	hpyr:K747_10080
ko:K02517	hpyr:K747_10085
ko:K02393	hpyr:K747_10295
ko:K15896	hpyr:K747_10310
ko:K09944	hpyr:K747_10090
ko:K00912	hpyr:K747_10315
ko:K01735	hpyr:K747_10095
ko:K01586	hpyr:K747_10130
ko:K01916	hpyr:K747_10320
ko:K04093	hpyr:K747_10135
ko:K01163	hpyr:K747_10140
ko:K01426	hpyr:K747_10145
ko:K03711	hpyr:K747_10810
ko:K02397	hpyr:K747_10150
ko:K02888	hpyr:K747_10155
ko:K02899	hpyr:K747_10160
ko:K07478	hpyr:K747_10815
ko:K13640	hpyr:K747_10820
ko:K05516	hpyr:K747_10825
ko:K12506	hpyr:K747_10845
ko:K17103	hpyr:K747_10570
ko:K03798	hpyr:K747_10580
ko:K02687	hpyr:K747_10585
ko:K03413	hpyr:K747_10590
ko:K06950	hpyr:K747_10610
ko:K16235	hpyr:K747_10855
ko:K03501	hpyr:K747_10615
ko:K07568	hpyr:K747_10620
ko:K03118	hpyr:K747_10625
ko:K03117	hpyr:K747_10630
ko:K03551	hpyr:K747_10635
ko:K00606	hpyr:K747_10640
ko:K03610	hpyr:K747_10665
ko:K02535	hpyr:K747_10670
ko:K02834	hpyr:K747_10695
ko:K09748	hpyr:K747_10700
ko:K01895	hpyr:K747_10705
ko:K00995	hpyr:K747_10860
ko:K00076	hpyr:K747_10870
ko:K07098	hpyr:K747_10715
ko:K02956	hpyr:K747_10745
ko:K12368	hpyr:K747_10165
ko:K12369	hpyr:K747_10170
ko:K12370	hpyr:K747_10175
ko:K12372	hpyr:K747_10185
ko:K03979	hpyr:K747_10190
ko:K01845	hpyr:K747_10205
ko:K01714	hpyr:K747_10875
ko:K00937	hpyr:K747_10890
ko:K03427	hpyr:K747_10905
ko:K01153	hpyr:K747_10915
ko:K04079	hpyr:K747_09710
ko:K07126	hpyr:K747_09715
ko:K01439	hpyr:K747_09720
ko:K03495	hpyr:K747_09725
ko:K14445	hpyr:K747_09730
ko:K00099	hpyr:K747_09740
ko:K06910	hpyr:K747_09755
ko:K03210	hpyr:K747_03335
ko:K03074	hpyr:K747_03320
ko:K11754	hpyr:K747_08315
ko:K00411	hpyr:K747_08335
ko:K00412	hpyr:K747_08340
ko:K00413	hpyr:K747_08345
ko:K11928	hpyr:K747_08860
ko:K13821	hpyr:K747_08865
ko:K03190	hpyr:K747_08935
ko:K03189	hpyr:K747_08940
ko:K03188	hpyr:K747_08945
ko:K03187	hpyr:K747_08950
ko:K03191	hpyr:K747_08955
ko:K01428	hpyr:K747_08965
ko:K14048	hpyr:K747_08970
ko:K03101	hpyr:K747_08980
ko:K03431	hpyr:K747_08985
ko:K02968	hpyr:K747_08990
ko:K02835	hpyr:K747_08995
ko:K01698	hpyr:K747_09475
ko:K08303	hpyr:K747_09500
ko:K02836	hpyr:K747_09510
ko:K02421	hpyr:K747_09520
ko:K04487	hpyr:K747_09765
ko:K13819	hpyr:K747_09770
ko:K04485	hpyr:K747_09780
ko:K12267	hpyr:K747_09785
ko:K07090	hpyr:K747_09790
ko:K03321	hpyr:K747_09800
ko:K00979	hpyr:K747_09820
ko:K03981	hpyr:K747_09825
ko:K07126	hpyr:K747_09855
ko:K01749	hpyr:K747_09865
ko:K01881	hpyr:K747_09870
ko:K02492	hpyr:K747_09875
ko:K02523	hpyr:K747_09880
ko:K04047	hpyr:K747_09895
ko:K07710	hpyr:K747_09900
ko:K02394	hpyr:K747_09910
ko:K05592	hpyr:K747_09915
ko:K13895	hpyr:K747_09935
ko:K01939	hpyr:K747_09960
ko:K03601	hpyr:K747_09980
ko:K03695	hpyr:K747_10005
ko:K06196	hpyr:K747_10010
ko:K01465	hpyr:K747_10015
ko:K06168	hpyr:K747_10030
ko:K09778	hpyr:K747_10035
ko:K06940	hpyr:K747_10055
ko:K03587	hpyr:K747_08355
ko:K02408	hpyr:K747_08360
ko:K02388	hpyr:K747_08365
ko:K02387	hpyr:K747_08370
ko:K02016	hpyr:K747_08380
ko:K03386	hpyr:K747_08385
ko:K02073	hpyr:K747_08390
ko:K05515	hpyr:K747_08395
ko:K03978	hpyr:K747_08405
ko:K09774	hpyr:K747_08410
ko:K03270	hpyr:K747_08420
ko:K03642	hpyr:K747_08425
ko:K08307	hpyr:K747_08430
ko:K03424	hpyr:K747_08435
ko:K00793	hpyr:K747_08440
ko:K04061	hpyr:K747_08445
ko:K00645	hpyr:K747_09255
ko:K01626	hpyr:K747_09315
ko:K03564	hpyr:K747_09330
ko:K00782	hpyr:K747_09335
ko:K03303	hpyr:K747_09350
ko:K03303	hpyr:K747_09355
ko:K03575	hpyr:K747_09360
ko:K15845	hpyr:K747_08570
ko:K04078	hpyr:K747_08575
ko:K00566	hpyr:K747_08585
ko:K09859	hpyr:K747_08615
ko:K03415	hpyr:K747_08620
ko:K13747	hpyr:K747_08625
ko:K12977	hpyr:K747_08630
ko:K03760	hpyr:K747_08635
ko:K01173	hpyr:K747_08655
ko:K04517	hpyr:K747_08660
ko:K01338	hpyr:K747_08665
ko:K05807	hpyr:K747_08670
ko:K13626	hpyr:K747_08680
ko:K02372	hpyr:K747_08685
ko:K03544	hpyr:K747_08695
ko:K03569	hpyr:K747_08700
ko:K03570	hpyr:K747_08705
ko:K02484	hpyr:K747_08730
ko:K02238	hpyr:K747_08745
ko:K03179	hpyr:K747_08750
ko:K01613	hpyr:K747_08765
ko:K03517	hpyr:K747_08770
ko:K00767	hpyr:K747_08775
ko:K00655	hpyr:K747_08815
ko:K03648	hpyr:K747_08820
ko:K00134	hpyr:K747_08825
ko:K00927	hpyr:K747_08830
ko:K03284	hpyr:K747_08835
ko:K14228	hpyr:K747_t08230
ko:K14228	hpyr:K747_t08232
ko:K11028	hpyr:K747_06470
ko:K01992	hpyr:K747_03750
ko:K12053	hpyr:K747_08610
ko:K03438	hpyr:K747_07625
ko:K02469	hpyr:K747_07600
ko:K00901	hpyr:K747_07595
ko:K10856	hpyr:K747_07585
ko:K06920	hpyr:K747_07280
ko:K03620	hpyr:K747_07250
ko:K03923	hpyr:K747_07230
ko:K07126	hpyr:K747_07220
ko:K00674	hpyr:K747_07215
ko:K01924	hpyr:K747_07200
ko:K04075	hpyr:K747_07835
ko:K05540	hpyr:K747_07830
ko:K07791	hpyr:K747_07810
ko:K01424	hpyr:K747_07805
ko:K06895	hpyr:K747_07790
ko:K02343	hpyr:K747_07785
ko:K06925	hpyr:K747_07780
ko:K06861	hpyr:K747_07775
ko:K03092	hpyr:K747_07770
ko:K07023	hpyr:K747_07755
ko:K08602	hpyr:K747_10945
ko:K01885	hpyr:K747_10970
ko:K06207	hpyr:K747_10990
ko:K03781	hpyr:K747_11010
ko:K01079	hpyr:K747_07355
ko:K01744	hpyr:K747_11590
ko:K00058	hpyr:K747_05780
ko:K06013	hpyr:K747_05690
ko:K01784	hpyr:K747_05575
ko:K07126	hpyr:K747_05555
ko:K00845	hpyr:K747_05530
ko:K04655	hpyr:K747_04290
ko:K02342	hpyr:K747_03395
ko:K00941	hpyr:K747_11200
ko:K13038	hpyr:K747_11215
ko:K15894	hpyr:K747_11220
ko:K09860	hpyr:K747_11235
ko:K03530	hpyr:K747_11250
ko:K03977	hpyr:K747_11255
ko:K00797	hpyr:K747_11265
ko:K00859	hpyr:K747_11270
ko:K02433	hpyr:K747_11275
ko:K00088	hpyr:K747_11280
ko:K02108	hpyr:K747_11285
ko:K07270	hpyr:K747_11295
ko:K03671	hpyr:K747_11305
ko:K07460	hpyr:K747_11310
ko:K00003	hpyr:K747_11315
ko:K05847	hpyr:K747_11335
ko:K05845	hpyr:K747_11340
ko:K05846	hpyr:K747_11340
ko:K02557	hpyr:K747_11350
ko:K02556	hpyr:K747_11355
ko:K01682	hpyr:K747_08120
ko:K09903	hpyr:K747_08110
ko:K03060	hpyr:K747_08105
ko:K01866	hpyr:K747_08095
ko:K00459	hpyr:K747_08090
ko:K01448	hpyr:K747_08085
ko:K02401	hpyr:K747_08075
ko:K06940	hpyr:K747_08030
ko:K03110	hpyr:K747_08025
ko:K07084	hpyr:K747_08000
ko:K12251	hpyr:K747_07990
ko:K02422	hpyr:K747_07970
ko:K02407	hpyr:K747_07965
ko:K06603	hpyr:K747_07960
ko:K04652	hpyr:K747_06415
ko:K01679	hpyr:K747_04395
ko:K03279	hpyr:K747_04120
ko:K03768	hpyr:K747_03990
ko:K06346	hpyr:K747_03940
ko:K02067	hpyr:K747_03870
ko:K03743	hpyr:K747_06155
ko:K06179	hpyr:K747_06135
ko:K00790	hpyr:K747_07325
ko:K00963	hpyr:K747_07315
ko:K02221	hpyr:K747_07305
ko:K01885	hpyr:K747_07300
ko:K09811	hpyr:K747_07950
ko:K09812	hpyr:K747_07945
ko:K06180	hpyr:K747_07930
ko:K00948	hpyr:K747_07910
ko:K01929	hpyr:K747_07900
ko:K01921	hpyr:K747_11530
ko:K01095	hpyr:K747_07880
ko:K00769	hpyr:K747_07870
ko:K02106	hpyr:K747_07565
ko:K01029	hpyr:K747_07560
ko:K01028	hpyr:K747_07555
ko:K00626	hpyr:K747_07550
ko:K07501	hpyr:K747_07545
ko:K04759	hpyr:K747_07540
ko:K16091	hpyr:K747_07530
ko:K02419	hpyr:K747_07525
ko:K04042	hpyr:K747_11570
ko:K13016	hpyr:K747_07485
ko:K07090	hpyr:K747_07480
ko:K00567	hpyr:K747_07475
ko:K04763	hpyr:K747_07470
ko:K02217	hpyr:K747_07360
ko:K00812	hpyr:K747_07460
ko:K01736	hpyr:K747_07420
ko:K03685	hpyr:K747_07415
ko:K07277	hpyr:K747_11585
ko:K01507	hpyr:K747_07180
ko:K07270	hpyr:K747_11615
ko:K00939	hpyr:K747_07165
ko:K01876	hpyr:K747_07160
ko:K03415	hpyr:K747_07155
ko:K01599	hpyr:K747_07105
ko:K07457	hpyr:K747_07095
ko:K02406	hpyr:K747_07090
ko:K00652	hpyr:K747_07070
ko:K03611	hpyr:K747_07050
ko:K00177	hpyr:K747_07035
ko:K00175	hpyr:K747_07030
ko:K00174	hpyr:K747_07025
ko:K00176	hpyr:K747_07020
ko:K07082	hpyr:K747_07015
ko:K10773	hpyr:K747_07000
ko:K02417	hpyr:K747_06995
ko:K01465	hpyr:K747_06980
ko:K07056	hpyr:K747_06835
ko:K02909	hpyr:K747_06830
ko:K03628	hpyr:K747_06825
ko:K01776	hpyr:K747_06820
ko:K15842	hpyr:K747_06810
ko:K12110	hpyr:K747_06800
ko:K12109	hpyr:K747_06795
ko:K12108	hpyr:K747_06790
ko:K12107	hpyr:K747_06785
ko:K12105	hpyr:K747_06775
ko:K12104	hpyr:K747_06770
ko:K12103	hpyr:K747_06765
ko:K12101	hpyr:K747_06755
ko:K12098	hpyr:K747_06730
ko:K12097	hpyr:K747_06725
ko:K12096	hpyr:K747_06720
ko:K12095	hpyr:K747_06715
ko:K12091	hpyr:K747_06690
ko:K12088	hpyr:K747_06670
ko:K12086	hpyr:K747_06660
ko:K07126	hpyr:K747_06655
ko:K03667	hpyr:K747_06640
ko:K01419	hpyr:K747_06635
ko:K02939	hpyr:K747_06630
ko:K01915	hpyr:K747_06620
ko:K00215	hpyr:K747_06605
ko:K08077	hpyr:K747_06590
ko:K01159	hpyr:K747_11045
ko:K02014	hpyr:K747_11050
ko:K06193	hpyr:K747_11070
ko:K01521	hpyr:K747_11080
ko:K04651	hpyr:K747_11090
ko:K00748	hpyr:K747_11100
ko:K03624	hpyr:K747_11105
ko:K03525	hpyr:K747_11125
ko:K09792	hpyr:K747_11130
ko:K03273	hpyr:K747_11135
ko:K03274	hpyr:K747_11140
ko:K03272	hpyr:K747_11145
ko:K03271	hpyr:K747_11150
ko:K00364	hpyr:K747_11155
ko:K03427	hpyr:K747_11175
ko:K01154	hpyr:K747_11180
ko:K00878	hpyr:K747_11195
ko:K01491	hpyr:K747_06955
ko:K03100	hpyr:K747_06950
ko:K01808	hpyr:K747_06940
ko:K00759	hpyr:K747_06930
ko:K01255	hpyr:K747_06920
ko:K06942	hpyr:K747_06915
ko:K01778	hpyr:K747_06900
ko:K02970	hpyr:K747_06880
ko:K00059	hpyr:K747_06875
ko:K02078	hpyr:K747_06870
ko:K09458	hpyr:K747_06860
ko:K01962	hpyr:K747_06855
ko:K02470	hpyr:K747_06570
ko:K02338	hpyr:K747_06560
ko:K01058	hpyr:K747_11680
ko:K03308	hpyr:K747_06545
ko:K03308	hpyr:K747_06540
ko:K01925	hpyr:K747_06525
ko:K01000	hpyr:K747_06520
ko:K02902	hpyr:K747_06510
ko:K10716	hpyr:K747_06505
ko:K03550	hpyr:K747_06490
ko:K02415	hpyr:K747_11385
ko:K00997	hpyr:K747_11390
ko:K07270	hpyr:K747_11405
ko:K14652	hpyr:K747_11435
ko:K01497	hpyr:K747_11450
ko:K03636	hpyr:K747_11455
ko:K03831	hpyr:K747_11465
ko:K03637	hpyr:K747_11470
ko:K15846	hpyr:K747_11475
ko:K03545	hpyr:K747_11485
ko:K01358	hpyr:K747_08195
ko:K01462	hpyr:K747_11490
ko:K02004	hpyr:K747_08155
ko:K03634	hpyr:K747_08145
ko:K03442	hpyr:K747_05975
ko:K01585	hpyr:K747_05925
ko:K03602	hpyr:K747_11955
ko:K15895	hpyr:K747_11805
ko:K02028	hpyr:K747_05175
ko:K01719	hpyr:K747_04905
ko:K01455	hpyr:K747_04830
ko:K02030	hpyr:K747_05170
ko:K03784	hpyr:K747_05130
ko:K02242	hpyr:K747_03820
ko:K00616	hpyr:K747_03710
ko:K02014	hpyr:K747_03610
ko:K07126	hpyr:K747_05450
ko:K03317	hpyr:K747_05120
ko:K01674	hpyr:K747_05085
ko:K02843	hpyr:K747_05060
ko:K13797	hpyr:K747_05035
ko:K17686	hpyr:K747_03660
ko:K01155	hpyr:K747_09995
ko:K07318	hpyr:K747_03690
ko:K14220	hpyr:K747_09805
ko:K00971	hpyr:K747_04275
ko:K14219	hpyr:K747_11245
ko:K14232	hpyr:K747_10895
ko:K01658	hpyr:K747_04605
ko:K07318	hpyr:K747_04980
ko:K00290	hpyr:K747_03640
