ko:K03741	fpy:FPG101_05950
ko:K01889	fpy:FPG101_00725
ko:K03558	fpy:FPG101_00735
ko:K07114	fpy:FPG101_00755
ko:K07114	fpy:FPG101_00765
ko:K03924	fpy:FPG101_00795
ko:K01585	fpy:FPG101_05380
ko:K01735	fpy:FPG101_05390
ko:K00318	fpy:FPG101_05395
ko:K00784	fpy:FPG101_05400
ko:K00275	fpy:FPG101_05405
ko:K03744	fpy:FPG101_05415
ko:K11927	fpy:FPG101_05420
ko:K01479	fpy:FPG101_05425
ko:K01873	fpy:FPG101_05435
ko:K00812	fpy:FPG101_05450
ko:K01546	fpy:FPG101_05470
ko:K01547	fpy:FPG101_05475
ko:K01548	fpy:FPG101_05480
ko:K07646	fpy:FPG101_05490
ko:K07277	fpy:FPG101_03325
ko:K00806	fpy:FPG101_03330
ko:K00858	fpy:FPG101_03340
ko:K03474	fpy:FPG101_03350
ko:K01990	fpy:FPG101_03355
ko:K08972	fpy:FPG101_03370
ko:K03545	fpy:FPG101_03375
ko:K01358	fpy:FPG101_03380
ko:K03544	fpy:FPG101_03385
ko:K03116	fpy:FPG101_03390
ko:K06941	fpy:FPG101_03405
ko:K02523	fpy:FPG101_03415
ko:K03088	fpy:FPG101_03420
ko:K01916	fpy:FPG101_03455
ko:K03978	fpy:FPG101_03470
ko:K03925	fpy:FPG101_03480
ko:K03438	fpy:FPG101_03485
ko:K03587	fpy:FPG101_03495
ko:K01928	fpy:FPG101_03500
ko:K01000	fpy:FPG101_03505
ko:K01925	fpy:FPG101_03510
ko:K03588	fpy:FPG101_03515
ko:K02563	fpy:FPG101_03520
ko:K01924	fpy:FPG101_03525
ko:K03589	fpy:FPG101_03530
ko:K03590	fpy:FPG101_03535
ko:K03531	fpy:FPG101_03540
ko:K09117	fpy:FPG101_03555
ko:K03500	fpy:FPG101_08065
ko:K01952	fpy:FPG101_08075
ko:K01933	fpy:FPG101_08125
ko:K00615	fpy:FPG101_08135
ko:K00615	fpy:FPG101_08140
ko:K00600	fpy:FPG101_08150
ko:K01555	fpy:FPG101_08155
ko:K10947	fpy:FPG101_08180
ko:K09940	fpy:FPG101_08190
ko:K07071	fpy:FPG101_08200
ko:K03687	fpy:FPG101_08205
ko:K03686	fpy:FPG101_08210
ko:K01992	fpy:FPG101_08220
ko:K00762	fpy:FPG101_08245
ko:K02361	fpy:FPG101_08270
ko:K00954	fpy:FPG101_08295
ko:K01921	fpy:FPG101_08300
ko:K06180	fpy:FPG101_08310
ko:K02621	fpy:FPG101_08325
ko:K02622	fpy:FPG101_08340
ko:K02014	fpy:FPG101_08345
ko:K06942	fpy:FPG101_08350
ko:K00658	fpy:FPG101_12720
ko:K03665	fpy:FPG101_12745
ko:K02004	fpy:FPG101_12750
ko:K00602	fpy:FPG101_12755
ko:K03569	fpy:FPG101_12760
ko:K03570	fpy:FPG101_12765
ko:K05515	fpy:FPG101_12775
ko:K05837	fpy:FPG101_12780
ko:K01173	fpy:FPG101_12785
ko:K01880	fpy:FPG101_12820
ko:K03770	fpy:FPG101_12825
ko:K03525	fpy:FPG101_12845
ko:K04096	fpy:FPG101_12865
ko:K00973	fpy:FPG101_12910
ko:K02014	fpy:FPG101_12945
ko:K02115	fpy:FPG101_12950
ko:K02111	fpy:FPG101_12955
ko:K02113	fpy:FPG101_12960
ko:K02109	fpy:FPG101_12965
ko:K02110	fpy:FPG101_12970
ko:K02108	fpy:FPG101_12975
ko:K07112	fpy:FPG101_05510
ko:K07112	fpy:FPG101_05515
ko:K06891	fpy:FPG101_05535
ko:K02687	fpy:FPG101_05540
ko:K03823	fpy:FPG101_05550
ko:K02551	fpy:FPG101_05555
ko:K00384	fpy:FPG101_05580
ko:K03593	fpy:FPG101_05590
ko:K08301	fpy:FPG101_05595
ko:K03530	fpy:FPG101_05600
ko:K03575	fpy:FPG101_05605
ko:K00876	fpy:FPG101_10160
ko:K01847	fpy:FPG101_10170
ko:K01847	fpy:FPG101_10180
ko:K03100	fpy:FPG101_10195
ko:K00215	fpy:FPG101_10200
ko:K02909	fpy:FPG101_10240
ko:K11085	fpy:FPG101_10260
ko:K09888	fpy:FPG101_10290
ko:K03572	fpy:FPG101_10300
ko:K17686	fpy:FPG101_10335
ko:K03921	fpy:FPG101_10345
ko:K15862	fpy:FPG101_10350
ko:K00406	fpy:FPG101_10360
ko:K09792	fpy:FPG101_10375
ko:K09794	fpy:FPG101_10380
ko:K01681	fpy:FPG101_10390
ko:K16216	fpy:FPG101_10400
ko:K03924	fpy:FPG101_10405
ko:K03771	fpy:FPG101_10415
ko:K03771	fpy:FPG101_10420
ko:K09933	fpy:FPG101_03565
ko:K01783	fpy:FPG101_03570
ko:K03086	fpy:FPG101_03575
ko:K00962	fpy:FPG101_03585
ko:K02956	fpy:FPG101_03595
ko:K01669	fpy:FPG101_03605
ko:K06876	fpy:FPG101_03610
ko:K01669	fpy:FPG101_03615
ko:K01673	fpy:FPG101_03675
ko:K03975	fpy:FPG101_03680
ko:K11752	fpy:FPG101_03695
ko:K03828	fpy:FPG101_03700
ko:K02493	fpy:FPG101_03705
ko:K02004	fpy:FPG101_03710
ko:K01892	fpy:FPG101_03715
ko:K04763	fpy:FPG101_03720
ko:K03786	fpy:FPG101_03730
ko:K00790	fpy:FPG101_03775
ko:K09158	fpy:FPG101_03785
ko:K03654	fpy:FPG101_03795
ko:K00604	fpy:FPG101_03800
ko:K03530	fpy:FPG101_03805
ko:K07735	fpy:FPG101_03810
ko:K00826	fpy:FPG101_03815
ko:K00794	fpy:FPG101_03830
ko:K03629	fpy:FPG101_03840
ko:K01953	fpy:FPG101_03860
ko:K00831	fpy:FPG101_08370
ko:K00058	fpy:FPG101_08375
ko:K01495	fpy:FPG101_08400
ko:K07304	fpy:FPG101_08405
ko:K09810	fpy:FPG101_08410
ko:K03650	fpy:FPG101_08420
ko:K03088	fpy:FPG101_08475
ko:K03549	fpy:FPG101_08495
ko:K00384	fpy:FPG101_08520
ko:K06193	fpy:FPG101_00815
ko:K00057	fpy:FPG101_00820
ko:K08325	fpy:FPG101_00825
ko:K00969	fpy:FPG101_00830
ko:K01810	fpy:FPG101_00840
ko:K02897	fpy:FPG101_00845
ko:K00948	fpy:FPG101_00850
ko:K01262	fpy:FPG101_00915
ko:K00639	fpy:FPG101_00935
ko:K04564	fpy:FPG101_00945
ko:K01866	fpy:FPG101_00950
ko:K01465	fpy:FPG101_00965
ko:K00721	fpy:FPG101_00970
ko:K01719	fpy:FPG101_01060
ko:K13766	fpy:FPG101_01065
ko:K15034	fpy:FPG101_01070
ko:K03811	fpy:FPG101_01080
ko:K07094	fpy:FPG101_01085
ko:K02259	fpy:FPG101_05705
ko:K07566	fpy:FPG101_05715
ko:K01711	fpy:FPG101_05730
ko:K00674	fpy:FPG101_05795
ko:K04084	fpy:FPG101_05800
ko:K04075	fpy:FPG101_05805
ko:K01665	fpy:FPG101_05810
ko:K08641	fpy:FPG101_05820
ko:K09761	fpy:FPG101_05850
ko:K01409	fpy:FPG101_05855
ko:K00850	fpy:FPG101_05865
ko:K00134	fpy:FPG101_05870
ko:K07391	fpy:FPG101_05885
ko:K05786	fpy:FPG101_05890
ko:K02429	fpy:FPG101_05895
ko:K02429	fpy:FPG101_05905
ko:K01679	fpy:FPG101_05915
ko:K00537	fpy:FPG101_05930
ko:K07052	fpy:FPG101_05935
ko:K01911	fpy:FPG101_05940
ko:K02536	fpy:FPG101_05945
ko:K02837	fpy:FPG101_10440
ko:K03046	fpy:FPG101_10450
ko:K03043	fpy:FPG101_10455
ko:K02935	fpy:FPG101_10460
ko:K02864	fpy:FPG101_10465
ko:K02863	fpy:FPG101_10470
ko:K02867	fpy:FPG101_10475
ko:K02601	fpy:FPG101_10480
ko:K03073	fpy:FPG101_10485
ko:K02358	fpy:FPG101_10495
ko:K05808	fpy:FPG101_10515
ko:K03733	fpy:FPG101_10520
ko:K02970	fpy:FPG101_10525
ko:K02342	fpy:FPG101_10550
ko:K01697	fpy:FPG101_10555
ko:K03470	fpy:FPG101_10575
ko:K03801	fpy:FPG101_10580
ko:K04567	fpy:FPG101_10585
ko:K01845	fpy:FPG101_10595
ko:K07107	fpy:FPG101_10610
ko:K02313	fpy:FPG101_10615
ko:K01104	fpy:FPG101_10620
ko:K07056	fpy:FPG101_10625
ko:K07082	fpy:FPG101_10640
ko:K00657	fpy:FPG101_10645
ko:K01778	fpy:FPG101_10650
ko:K00134	fpy:FPG101_10665
ko:K07164	fpy:FPG101_10680
ko:K06182	fpy:FPG101_10690
ko:K10716	fpy:FPG101_10695
ko:K01962	fpy:FPG101_08530
ko:K11720	fpy:FPG101_08545
ko:K00773	fpy:FPG101_08550
ko:K01613	fpy:FPG101_08570
ko:K00981	fpy:FPG101_08575
ko:K03798	fpy:FPG101_08585
ko:K09710	fpy:FPG101_08590
ko:K03524	fpy:FPG101_08595
ko:K08998	fpy:FPG101_08605
ko:K01883	fpy:FPG101_08610
ko:K01495	fpy:FPG101_08615
ko:K00658	fpy:FPG101_08645
ko:K02613	fpy:FPG101_13005
ko:K00761	fpy:FPG101_13020
ko:K01945	fpy:FPG101_13035
ko:K01912	fpy:FPG101_13040
ko:K03606	fpy:FPG101_13050
ko:K00067	fpy:FPG101_13060
ko:K01790	fpy:FPG101_13065
ko:K03116	fpy:FPG101_13095
ko:K06959	fpy:FPG101_13100
ko:K16264	fpy:FPG101_13110
ko:K01808	fpy:FPG101_13120
ko:K00075	fpy:FPG101_03865
ko:K02013	fpy:FPG101_03870
ko:K03216	fpy:FPG101_03875
ko:K06181	fpy:FPG101_03880
ko:K09760	fpy:FPG101_03885
ko:K08715	fpy:FPG101_03900
ko:K01955	fpy:FPG101_03905
ko:K02914	fpy:FPG101_03910
ko:K04077	fpy:FPG101_03920
ko:K04078	fpy:FPG101_03935
ko:K03075	fpy:FPG101_03940
ko:K06168	fpy:FPG101_03960
ko:K03168	fpy:FPG101_03980
ko:K06158	fpy:FPG101_04020
ko:K03977	fpy:FPG101_04050
ko:K01712	fpy:FPG101_04075
ko:K00500	fpy:FPG101_04090
ko:K06147	fpy:FPG101_04110
ko:K06872	fpy:FPG101_04125
ko:K03744	fpy:FPG101_04135
ko:K01872	fpy:FPG101_04150
ko:K11942	fpy:FPG101_04155
ko:K15738	fpy:FPG101_08660
ko:K02003	fpy:FPG101_08680
ko:K03070	fpy:FPG101_08695
ko:K00428	fpy:FPG101_08705
ko:K00104	fpy:FPG101_08730
ko:K08223	fpy:FPG101_08735
ko:K07588	fpy:FPG101_08740
ko:K03327	fpy:FPG101_08755
ko:K00428	fpy:FPG101_08760
ko:K06158	fpy:FPG101_08815
ko:K07000	fpy:FPG101_08855
ko:K07114	fpy:FPG101_08870
ko:K01915	fpy:FPG101_08895
ko:K05794	fpy:FPG101_08900
ko:K03559	fpy:FPG101_08905
ko:K03561	fpy:FPG101_08910
ko:K11754	fpy:FPG101_08915
ko:K01591	fpy:FPG101_08940
ko:K03210	fpy:FPG101_08945
ko:K03625	fpy:FPG101_08955
ko:K01251	fpy:FPG101_01095
ko:K03723	fpy:FPG101_01110
ko:K03642	fpy:FPG101_01120
ko:K00764	fpy:FPG101_01130
ko:K03469	fpy:FPG101_01140
ko:K11175	fpy:FPG101_01145
ko:K02078	fpy:FPG101_01150
ko:K09458	fpy:FPG101_01160
ko:K03685	fpy:FPG101_01165
ko:K00873	fpy:FPG101_01175
ko:K01159	fpy:FPG101_01200
ko:K09793	fpy:FPG101_01220
ko:K01870	fpy:FPG101_01240
ko:K03101	fpy:FPG101_01250
ko:K01934	fpy:FPG101_01255
ko:K06987	fpy:FPG101_01260
ko:K03703	fpy:FPG101_01265
ko:K07001	fpy:FPG101_01270
ko:K03294	fpy:FPG101_01275
ko:K00451	fpy:FPG101_01280
ko:K00457	fpy:FPG101_01285
ko:K00453	fpy:FPG101_01295
ko:K01056	fpy:FPG101_01305
ko:K11753	fpy:FPG101_01320
ko:K01012	fpy:FPG101_01325
ko:K05606	fpy:FPG101_01340
ko:K02834	fpy:FPG101_01345
ko:K09808	fpy:FPG101_01350
ko:K07568	fpy:FPG101_01355
ko:K00800	fpy:FPG101_01360
ko:K07461	fpy:FPG101_01370
ko:K11065	fpy:FPG101_05970
ko:K00901	fpy:FPG101_05975
ko:K03466	fpy:FPG101_05980
ko:K07091	fpy:FPG101_05990
ko:K14652	fpy:FPG101_05995
ko:K00626	fpy:FPG101_06015
ko:K00077	fpy:FPG101_06035
ko:K00606	fpy:FPG101_06045
ko:K07107	fpy:FPG101_06050
ko:K03657	fpy:FPG101_06135
ko:K03655	fpy:FPG101_06180
ko:K03442	fpy:FPG101_10720
ko:K07137	fpy:FPG101_10725
ko:K03654	fpy:FPG101_10745
ko:K06041	fpy:FPG101_10750
ko:K03118	fpy:FPG101_10755
ko:K06861	fpy:FPG101_10765
ko:K07273	fpy:FPG101_10770
ko:K17103	fpy:FPG101_10775
ko:K00640	fpy:FPG101_10820
ko:K00640	fpy:FPG101_10845
ko:K08068	fpy:FPG101_10855
ko:K02805	fpy:FPG101_10910
ko:K01991	fpy:FPG101_10960
ko:K00648	fpy:FPG101_10985
ko:K03088	fpy:FPG101_04195
ko:K03885	fpy:FPG101_04200
ko:K01270	fpy:FPG101_04210
ko:K09001	fpy:FPG101_04220
ko:K09939	fpy:FPG101_04240
ko:K02014	fpy:FPG101_04245
ko:K02835	fpy:FPG101_04250
ko:K01258	fpy:FPG101_04260
ko:K00791	fpy:FPG101_04275
ko:K02342	fpy:FPG101_04280
ko:K06997	fpy:FPG101_04290
ko:K00074	fpy:FPG101_04305
ko:K00573	fpy:FPG101_04315
ko:K03711	fpy:FPG101_04345
ko:K01939	fpy:FPG101_04350
ko:K03217	fpy:FPG101_04360
ko:K01937	fpy:FPG101_04365
ko:K09954	fpy:FPG101_04370
ko:K01951	fpy:FPG101_04390
ko:K03664	fpy:FPG101_04440
ko:K01284	fpy:FPG101_04445
ko:K06871	fpy:FPG101_04465
ko:K00263	fpy:FPG101_08960
ko:K06878	fpy:FPG101_08975
ko:K12257	fpy:FPG101_08980
ko:K00024	fpy:FPG101_08985
ko:K02470	fpy:FPG101_08990
ko:K01953	fpy:FPG101_08995
ko:K00133	fpy:FPG101_09005
ko:K02014	fpy:FPG101_09015
ko:K09812	fpy:FPG101_09030
ko:K01657	fpy:FPG101_09060
ko:K01658	fpy:FPG101_09065
ko:K00766	fpy:FPG101_09070
ko:K01609	fpy:FPG101_09075
ko:K01817	fpy:FPG101_09080
ko:K01696	fpy:FPG101_09085
ko:K01695	fpy:FPG101_09090
ko:K03543	fpy:FPG101_09110
ko:K03446	fpy:FPG101_09115
ko:K01627	fpy:FPG101_09120
ko:K02548	fpy:FPG101_09245
ko:K07560	fpy:FPG101_01395
ko:K06949	fpy:FPG101_01400
ko:K04516	fpy:FPG101_01405
ko:K04518	fpy:FPG101_01415
ko:K01990	fpy:FPG101_01420
ko:K12524	fpy:FPG101_01435
ko:K00641	fpy:FPG101_01440
ko:K01740	fpy:FPG101_01445
ko:K03671	fpy:FPG101_01460
ko:K00789	fpy:FPG101_01505
ko:K03584	fpy:FPG101_01510
ko:K00262	fpy:FPG101_01520
ko:K01876	fpy:FPG101_01545
ko:K03704	fpy:FPG101_01550
ko:K01662	fpy:FPG101_01565
ko:K07098	fpy:FPG101_01625
ko:K03671	fpy:FPG101_01630
ko:K01993	fpy:FPG101_01645
ko:K03841	fpy:FPG101_01665
ko:K07387	fpy:FPG101_01670
ko:K00928	fpy:FPG101_01680
ko:K15342	fpy:FPG101_06350
ko:K09952	fpy:FPG101_06355
ko:K03702	fpy:FPG101_06420
ko:K01903	fpy:FPG101_06445
ko:K03386	fpy:FPG101_06475
ko:K00405	fpy:FPG101_06500
ko:K00404	fpy:FPG101_06505
ko:K09810	fpy:FPG101_06510
ko:K09808	fpy:FPG101_06515
ko:K09858	fpy:FPG101_06550
ko:K00648	fpy:FPG101_10995
ko:K01791	fpy:FPG101_11010
ko:K17716	fpy:FPG101_11025
ko:K00973	fpy:FPG101_11050
ko:K00012	fpy:FPG101_11060
ko:K02474	fpy:FPG101_11065
ko:K02473	fpy:FPG101_11070
ko:K01991	fpy:FPG101_11080
ko:K06187	fpy:FPG101_11085
ko:K06929	fpy:FPG101_11095
ko:K01647	fpy:FPG101_11120
ko:K01689	fpy:FPG101_11130
ko:K01956	fpy:FPG101_11140
ko:K02879	fpy:FPG101_11145
ko:K03040	fpy:FPG101_11150
ko:K02986	fpy:FPG101_11155
ko:K02948	fpy:FPG101_11160
ko:K02952	fpy:FPG101_11165
ko:K02919	fpy:FPG101_11170
ko:K02518	fpy:FPG101_11175
ko:K03076	fpy:FPG101_11180
ko:K02876	fpy:FPG101_11185
ko:K02907	fpy:FPG101_11190
ko:K02988	fpy:FPG101_11195
ko:K02881	fpy:FPG101_11200
ko:K02933	fpy:FPG101_11205
ko:K02994	fpy:FPG101_11210
ko:K02954	fpy:FPG101_11215
ko:K02931	fpy:FPG101_11220
ko:K02895	fpy:FPG101_11225
ko:K02874	fpy:FPG101_11230
ko:K02961	fpy:FPG101_11235
ko:K02904	fpy:FPG101_11240
ko:K02878	fpy:FPG101_11245
ko:K02982	fpy:FPG101_11250
ko:K02890	fpy:FPG101_11255
ko:K02965	fpy:FPG101_11260
ko:K07007	fpy:FPG101_01715
ko:K01597	fpy:FPG101_01725
ko:K00869	fpy:FPG101_01740
ko:K03179	fpy:FPG101_01745
ko:K06178	fpy:FPG101_01750
ko:K01963	fpy:FPG101_01785
ko:K01624	fpy:FPG101_01790
ko:K03437	fpy:FPG101_01800
ko:K03183	fpy:FPG101_01810
ko:K08999	fpy:FPG101_01845
ko:K03522	fpy:FPG101_01850
ko:K03521	fpy:FPG101_01855
ko:K00162	fpy:FPG101_01860
ko:K01507	fpy:FPG101_01870
ko:K02337	fpy:FPG101_01890
ko:K02959	fpy:FPG101_01905
ko:K02860	fpy:FPG101_01910
ko:K15460	fpy:FPG101_01915
ko:K00252	fpy:FPG101_01920
ko:K00942	fpy:FPG101_01925
ko:K01760	fpy:FPG101_01955
ko:K07658	fpy:FPG101_01975
ko:K07636	fpy:FPG101_01980
ko:K02040	fpy:FPG101_01990
ko:K02037	fpy:FPG101_01995
ko:K03585	fpy:FPG101_06560
ko:K01895	fpy:FPG101_06615
ko:K02342	fpy:FPG101_06620
ko:K07182	fpy:FPG101_06625
ko:K16053	fpy:FPG101_06650
ko:K03574	fpy:FPG101_06660
ko:K11755	fpy:FPG101_06670
ko:K02500	fpy:FPG101_06675
ko:K01814	fpy:FPG101_06680
ko:K02501	fpy:FPG101_06685
ko:K01089	fpy:FPG101_06690
ko:K00817	fpy:FPG101_06695
ko:K00013	fpy:FPG101_06700
ko:K00765	fpy:FPG101_06705
ko:K00059	fpy:FPG101_06730
ko:K02343	fpy:FPG101_06735
ko:K01524	fpy:FPG101_06750
ko:K00937	fpy:FPG101_06755
ko:K01902	fpy:FPG101_06770
