ko:K19405	ctru:L2BUCH2_00710
ko:K02871	ctru:L2BUCH2_00127
ko:K02996	ctru:L2BUCH2_00128
ko:K02029	ctru:L2BUCH2_00131
ko:K07058	ctru:L2BUCH2_00134
ko:K06999	ctru:L2BUCH2_00138
ko:K07566	ctru:L2BUCH2_00139
ko:K09125	ctru:L2BUCH2_00142
ko:K07039	ctru:L2BUCH2_00143
ko:K01972	ctru:L2BUCH2_00150
ko:K02913	ctru:L2BUCH2_00154
ko:K09808	ctru:L2BUCH2_00155
ko:K09810	ctru:L2BUCH2_00156
ko:K03720	ctru:L2BUCH2_00169
ko:K01696	ctru:L2BUCH2_00170
ko:K01695	ctru:L2BUCH2_00171
ko:K03611	ctru:L2BUCH2_00175
ko:K00979	ctru:L2BUCH2_00183
ko:K01937	ctru:L2BUCH2_00184
ko:K07447	ctru:L2BUCH2_00185
ko:K00036	ctru:L2BUCH2_00186
ko:K01057	ctru:L2BUCH2_00187
ko:K02343	ctru:L2BUCH2_00188
ko:K00943	ctru:L2BUCH2_00189
ko:K02469	ctru:L2BUCH2_00190
ko:K02470	ctru:L2BUCH2_00191
ko:K00773	ctru:L2BUCH2_00194
ko:K06213	ctru:L2BUCH2_00195
ko:K15580	ctru:L2BUCH2_00199
ko:K15581	ctru:L2BUCH2_00200
ko:K03319	ctru:L2BUCH2_00205
ko:K00850	ctru:L2BUCH2_00206
ko:K00895	ctru:L2BUCH2_00208
ko:K02527	ctru:L2BUCH2_00211
ko:K01869	ctru:L2BUCH2_00212
ko:K01845	ctru:L2BUCH2_00213
ko:K07735	ctru:L2BUCH2_00214
ko:K08999	ctru:L2BUCH2_00215
ko:K01807	ctru:L2BUCH2_00216
ko:K01633	ctru:L2BUCH2_00644
ko:K03086	ctru:L2BUCH2_00645
ko:K02968	ctru:L2BUCH2_00647
ko:K03980	ctru:L2BUCH2_00654
ko:K01151	ctru:L2BUCH2_00655
ko:K02986	ctru:L2BUCH2_00656
ko:K07146	ctru:L2BUCH2_00657
ko:K13789	ctru:L2BUCH2_00658
ko:K01698	ctru:L2BUCH2_00664
ko:K00346	ctru:L2BUCH2_00665
ko:K03582	ctru:L2BUCH2_00671
ko:K03583	ctru:L2BUCH2_00672
ko:K03168	ctru:L2BUCH2_00675
ko:K02221	ctru:L2BUCH2_00677
ko:K03581	ctru:L2BUCH2_00684
ko:K06861	ctru:L2BUCH2_00686
ko:K01627	ctru:L2BUCH2_00688
ko:K06180	ctru:L2BUCH2_00692
ko:K06960	ctru:L2BUCH2_00693
ko:K02469	ctru:L2BUCH2_00694
ko:K02470	ctru:L2BUCH2_00695
ko:K02492	ctru:L2BUCH2_00696
ko:K03559	ctru:L2BUCH2_00625
ko:K03224	ctru:L2BUCH2_00703
ko:K02417	ctru:L2BUCH2_00706
ko:K03219	ctru:L2BUCH2_00708
ko:K02838	ctru:L2BUCH2_00714
ko:K09903	ctru:L2BUCH2_00715
ko:K02357	ctru:L2BUCH2_00716
ko:K02967	ctru:L2BUCH2_00717
ko:K03162	ctru:L2BUCH2_00720
ko:K09013	ctru:L2BUCH2_00724
ko:K09015	ctru:L2BUCH2_00725
ko:K11717	ctru:L2BUCH2_00726
ko:K07220	ctru:L2BUCH2_00730
ko:K03306	ctru:L2BUCH2_00731
ko:K00927	ctru:L2BUCH2_00732
ko:K10773	ctru:L2BUCH2_00736
ko:K03650	ctru:L2BUCH2_00737
ko:K01613	ctru:L2BUCH2_00738
ko:K03070	ctru:L2BUCH2_00740
ko:K03977	ctru:L2BUCH2_00742
ko:K03544	ctru:L2BUCH2_00744
ko:K01358	ctru:L2BUCH2_00745
ko:K03545	ctru:L2BUCH2_00746
ko:K03569	ctru:L2BUCH2_00749
ko:K03787	ctru:L2BUCH2_00221
ko:K03179	ctru:L2BUCH2_00222
ko:K03186	ctru:L2BUCH2_00223
ko:K03308	ctru:L2BUCH2_00236
ko:K02078	ctru:L2BUCH2_00241
ko:K00645	ctru:L2BUCH2_00243
ko:K00648	ctru:L2BUCH2_00244
ko:K06187	ctru:L2BUCH2_00245
ko:K07277	ctru:L2BUCH2_00246
ko:K06142	ctru:L2BUCH2_00247
ko:K02536	ctru:L2BUCH2_00248
ko:K00161	ctru:L2BUCH2_00250
ko:K00162	ctru:L2BUCH2_00251
ko:K00627	ctru:L2BUCH2_00252
ko:K00688	ctru:L2BUCH2_00253
ko:K02313	ctru:L2BUCH2_00255
ko:K03217	ctru:L2BUCH2_00256
ko:K04487	ctru:L2BUCH2_00263
ko:K07083	ctru:L2BUCH2_00267
ko:K01962	ctru:L2BUCH2_00270
ko:K02028	ctru:L2BUCH2_00132
ko:K14220	ctru:L2BUCH2_00039
ko:K15035	ctru:L2BUCH2_00020
ko:K14222	ctru:L2BUCH2_00803
ko:K01977	ctru:L2BUCH2_00781
ko:K01977	ctru:L2BUCH2_00794
ko:K01985	ctru:L2BUCH2_00783
ko:K01985	ctru:L2BUCH2_00796
ko:K01980	ctru:L2BUCH2_00782
ko:K01980	ctru:L2BUCH2_00795
ko:K17103	ctru:L2BUCH2_00879
ko:K01409	ctru:L2BUCH2_00198
ko:K15582	ctru:L2BUCH2_00201
ko:K10823	ctru:L2BUCH2_00202
ko:K15583	ctru:L2BUCH2_00203
ko:K06889	ctru:L2BUCH2_00207
ko:K00813	ctru:L2BUCH2_00669
ko:K01934	ctru:L2BUCH2_00681
ko:K06910	ctru:L2BUCH2_00776
ko:K07117	ctru:L2BUCH2_00777
ko:K01679	ctru:L2BUCH2_00912
ko:K02433	ctru:L2BUCH2_00004
ko:K03471	ctru:L2BUCH2_00009
ko:K03177	ctru:L2BUCH2_00095
ko:K06179	ctru:L2BUCH2_00107
ko:K00939	ctru:L2BUCH2_00130
ko:K01719	ctru:L2BUCH2_00451
ko:K00380	ctru:L2BUCH2_00453
ko:K01885	ctru:L2BUCH2_00464
ko:K07098	ctru:L2BUCH2_00480
ko:K00567	ctru:L2BUCH2_00499
ko:K02806	ctru:L2BUCH2_00295
ko:K02806	ctru:L2BUCH2_00296
ko:K02124	ctru:L2BUCH2_00309
ko:K02123	ctru:L2BUCH2_00310
ko:K02120	ctru:L2BUCH2_00311
ko:K02118	ctru:L2BUCH2_00312
ko:K02117	ctru:L2BUCH2_00313
ko:K02121	ctru:L2BUCH2_00315
ko:K00616	ctru:L2BUCH2_00318
ko:K08483	ctru:L2BUCH2_00346
ko:K11189	ctru:L2BUCH2_00347
ko:K00784	ctru:L2BUCH2_00357
ko:K03856	ctru:L2BUCH2_00395
ko:K00970	ctru:L2BUCH2_00424
ko:K09815	ctru:L2BUCH2_00430
ko:K02035	ctru:L2BUCH2_00141
ko:K06889	ctru:L2BUCH2_00153
ko:K02035	ctru:L2BUCH2_00174
ko:K02049	ctru:L2BUCH2_00179
ko:K02035	ctru:L2BUCH2_00502
ko:K02030	ctru:L2BUCH2_00510
ko:K02342	ctru:L2BUCH2_00562
ko:K07258	ctru:L2BUCH2_00578
ko:K03227	ctru:L2BUCH2_00590
ko:K02454	ctru:L2BUCH2_00598
ko:K01262	ctru:L2BUCH2_00601
ko:K07315	ctru:L2BUCH2_00615
ko:K00241	ctru:L2BUCH2_00620
ko:K00241	ctru:L2BUCH2_00621
ko:K03386	ctru:L2BUCH2_00631
ko:K02428	ctru:L2BUCH2_00635
ko:K00970	ctru:L2BUCH2_00743
ko:K01596	ctru:L2BUCH2_00750
ko:K00972	ctru:L2BUCH2_00755
ko:K01834	ctru:L2BUCH2_00762
ko:K01507	ctru:L2BUCH2_00820
ko:K01082	ctru:L2BUCH2_00822
ko:K01909	ctru:L2BUCH2_00824
ko:K00652	ctru:L2BUCH2_00825
ko:K01408	ctru:L2BUCH2_00856
ko:K04763	ctru:L2BUCH2_00923
ko:K00700	ctru:L2BUCH2_00925
ko:K02033	ctru:L2BUCH2_00501
ko:K00033	ctru:L2BUCH2_00066
ko:K11707	ctru:L2BUCH2_00070
ko:K11710	ctru:L2BUCH2_00071
ko:K11708	ctru:L2BUCH2_00072
ko:K11709	ctru:L2BUCH2_00073
ko:K00059	ctru:L2BUCH2_00242
ko:K07052	ctru:L2BUCH2_00259
ko:K02342	ctru:L2BUCH2_00266
ko:K14228	ctru:L2BUCH2_00485
ko:K14233	ctru:L2BUCH2_00521
ko:K14219	ctru:L2BUCH2_00632
ko:K04084	ctru:L2BUCH2_00623
ko:K14236	ctru:L2BUCH2_00145
ko:K14227	ctru:L2BUCH2_00180
ko:K14218	ctru:L2BUCH2_00668
ko:K14230	ctru:L2BUCH2_00209
ko:K14230	ctru:L2BUCH2_00335
ko:K14235	ctru:L2BUCH2_00327
ko:K14233	ctru:L2BUCH2_00368
ko:K14231	ctru:L2BUCH2_00436
ko:K14221	ctru:L2BUCH2_00225
ko:K14233	ctru:L2BUCH2_00429
ko:K14228	ctru:L2BUCH2_00529
ko:K14228	ctru:L2BUCH2_00565
ko:K14219	ctru:L2BUCH2_00489
ko:K14219	ctru:L2BUCH2_00689
ko:K14232	ctru:L2BUCH2_00662
ko:K14229	ctru:L2BUCH2_00712
ko:K14224	ctru:L2BUCH2_00713
ko:K14226	ctru:L2BUCH2_00780
ko:K14223	ctru:L2BUCH2_00847
ko:K14218	ctru:L2BUCH2_00181
ko:K14234	ctru:L2BUCH2_00709
ko:K14225	ctru:L2BUCH2_00718
ko:K14228	ctru:L2BUCH2_00493
ko:K14228	ctru:L2BUCH2_00921
ko:K14232	ctru:L2BUCH2_00062
ko:K14237	ctru:L2BUCH2_00226
ko:K14230	ctru:L2BUCH2_00210
ko:K14234	ctru:L2BUCH2_00144
ko:K14234	ctru:L2BUCH2_00329
ko:K14225	ctru:L2BUCH2_00747
ko:K14237	ctru:L2BUCH2_00882
ko:K01840	ctru:L2BUCH2_00300
ko:K06972	ctru:L2BUCH2_00877
ko:K07081	ctru:L2BUCH2_00445
ko:K07125	ctru:L2BUCH2_00332
ko:K03625	ctru:L2BUCH2_00885
ko:K01679	ctru:L2BUCH2_00910
ko:K01802	ctru:L2BUCH2_00568
ko:K08275	ctru:L2BUCH2_00082
ko:K08719	ctru:L2BUCH2_00753
ko:K08274	ctru:L2BUCH2_00390
ko:K01921	ctru:L2BUCH2_00810
ko:K01924	ctru:L2BUCH2_00810
ko:K01829	ctru:L2BUCH2_00828
ko:K01829	ctru:L2BUCH2_00832
ko:K03309	ctru:L2BUCH2_00415
ko:K07033	ctru:L2BUCH2_00723
ko:K03825	ctru:L2BUCH2_00477
ko:K03111	ctru:L2BUCH2_00046
ko:K03496	ctru:L2BUCH2_00609
ko:K03497	ctru:L2BUCH2_00727
ko:K03496	ctru:L2bUCH2_p_7
ko:K02626	ctru:L2BUCH2_00386
ko:K11991	ctru:L2BUCH2_00898
ko:K04771	ctru:L2BUCH2_00876
ko:K19411	ctru:L2BUCH2_00711
ko:K02031	ctru:L2BUCH2_00729
ko:K22100	ctru:L2BUCH2_00336
ko:K12132	ctru:L2BUCH2_00306
ko:K20265	ctru:L2BUCH2_00219
ko:K20074	ctru:L2BUCH2_00264
ko:K11749	ctru:L2BUCH2_00075
ko:K22099	ctru:L2BUCH2_00641
ko:K00526	ctru:L2BUCH2_00881
ko:K02314	ctru:L2BUCH2_00522
ko:K00287	ctru:L2BUCH2_00642
ko:K02316	ctru:L2BUCH2_00841
ko:K02314	ctru:L2bUCH2_p_3
ko:K03553	ctru:L2BUCH2_00682
ko:K01520	ctru:L2BUCH2_00297
ko:K02335	ctru:L2BUCH2_00517
ko:K02032	ctru:L2BUCH2_00728
ko:K00525	ctru:L2BUCH2_00880
ko:K02050	ctru:L2BUCH2_00909
ko:K02051	ctru:L2BUCH2_00909
ko:K01534	ctru:L2BUCH2_00767
ko:K16239	ctru:L2BUCH2_00086
