ko:K08325	fps:FP0142
ko:K02967	fps:FP0454
ko:K02996	fps:FP0455
ko:K02871	fps:FP0456
ko:K01689	fps:FP1309
ko:K02879	fps:FP1312
ko:K02986	fps:FP1314
ko:K02948	fps:FP1315
ko:K02952	fps:FP1316
ko:K02919	fps:FP1317
ko:K02518	fps:FP1318
ko:K03076	fps:FP1319
ko:K02876	fps:FP1320
ko:K02907	fps:FP1321
ko:K00077	fps:FP1582
ko:K00901	fps:FP1593
ko:K00757	fps:FP1032
ko:K06937	fps:FP1044
ko:K00616	fps:FP1048
ko:K00500	fps:FP1954
ko:K01712	fps:FP1957
ko:K03977	fps:FP1961
ko:K03595	fps:FP1962
ko:K06158	fps:FP1967
ko:K03075	fps:FP1983
ko:K04078	fps:FP1984
ko:K04077	fps:FP1985
ko:K02914	fps:FP1987
ko:K02931	fps:FP1327
ko:K02895	fps:FP1328
ko:K02874	fps:FP1329
ko:K02961	fps:FP1330
ko:K02904	fps:FP1331
ko:K02878	fps:FP1332
ko:K02982	fps:FP1333
ko:K02890	fps:FP1334
ko:K02965	fps:FP1335
ko:K02886	fps:FP1336
ko:K02892	fps:FP1337
ko:K02926	fps:FP1338
ko:K02906	fps:FP1339
ko:K02946	fps:FP1340
ko:K02355	fps:FP1341
ko:K02992	fps:FP1342
ko:K03218	fps:FP1347
ko:K03630	fps:FP1352
ko:K02558	fps:FP1353
ko:K03979	fps:FP1357
ko:K00939	fps:FP1359
ko:K00760	fps:FP1360
ko:K01284	fps:FP1364
ko:K06886	fps:FP1373
ko:K02078	fps:FP2283
ko:K01745	fps:FP2287
ko:K01872	fps:FP1941
ko:K03744	fps:FP1944
ko:K06872	fps:FP1946
ko:K00286	fps:FP0066
ko:K06213	fps:FP0067
ko:K01875	fps:FP0072
ko:K07386	fps:FP0086
ko:K07152	fps:FP0088
ko:K04758	fps:FP0089
ko:K04759	fps:FP0090
ko:K00239	fps:FP0093
ko:K11031	fps:FP0097
ko:K01579	fps:FP0107
ko:K01918	fps:FP0108
ko:K00820	fps:FP0111
ko:K03596	fps:FP2242
ko:K03565	fps:FP2243
ko:K03553	fps:FP2245
ko:K00655	fps:FP2246
ko:K01867	fps:FP2247
ko:K01737	fps:FP2248
ko:K01893	fps:FP2250
ko:K02372	fps:FP2259
ko:K07107	fps:FP2270
ko:K04773	fps:FP0399
ko:K01448	fps:FP0402
ko:K02527	fps:FP0404
ko:K00645	fps:FP0408
ko:K03501	fps:FP0414
ko:K00294	fps:FP0415
ko:K06195	fps:FP0416
ko:K10254	fps:FP0998
ko:K03306	fps:FP1000
ko:K03823	fps:FP1677
ko:K02687	fps:FP1678
ko:K06891	fps:FP1679
ko:K07112	fps:FP1683
ko:K07112	fps:FP1684
ko:K07106	fps:FP0725
ko:K07444	fps:FP0729
ko:K07054	fps:FP0744
ko:K05844	fps:FP0746
ko:K03696	fps:FP0747
ko:K01669	fps:FP2041
ko:K06876	fps:FP2042
ko:K01669	fps:FP2043
ko:K02956	fps:FP2045
ko:K00962	fps:FP2046
ko:K03086	fps:FP2048
ko:K01783	fps:FP2049
ko:K09933	fps:FP2050
ko:K09117	fps:FP2052
ko:K03531	fps:FP2053
ko:K03590	fps:FP2054
ko:K03589	fps:FP2055
ko:K01924	fps:FP2056
ko:K03588	fps:FP2058
ko:K01925	fps:FP2059
ko:K01000	fps:FP2060
ko:K01928	fps:FP2061
ko:K03438	fps:FP2064
ko:K03925	fps:FP2065
ko:K03978	fps:FP2067
ko:K03088	fps:FP2077
ko:K02523	fps:FP2078
ko:K00764	fps:FP0196
ko:K02078	fps:FP0200
ko:K00873	fps:FP0204
ko:K03797	fps:FP2345
ko:K00684	fps:FP2352
ko:K01246	fps:FP2354
ko:K06153	fps:FP2358
ko:K01869	fps:FP2363
ko:K06973	fps:FP2364
ko:K02014	fps:FP2370
ko:K03269	fps:FP2371
ko:K03536	fps:FP2376
ko:K02911	fps:FP2380
ko:K00097	fps:FP2382
ko:K02426	fps:FP2387
ko:K09015	fps:FP2391
ko:K07220	fps:FP1001
ko:K06910	fps:FP1006
ko:K00927	fps:FP0018
ko:K08307	fps:FP0019
ko:K02348	fps:FP0020
ko:K07501	fps:FP0032
ko:K01698	fps:FP0035
ko:K01599	fps:FP0041
ko:K01719	fps:FP0042
ko:K01749	fps:FP0043
ko:K02492	fps:FP0044
ko:K01772	fps:FP0046
ko:K08973	fps:FP0047
ko:K06950	fps:FP0050
ko:K00655	fps:FP0052
ko:K02557	fps:FP0061
ko:K01142	fps:FP0062
ko:K09808	fps:FP2195
ko:K06940	fps:FP2197
ko:K03832	fps:FP2207
ko:K06915	fps:FP2211
ko:K00486	fps:FP2212
ko:K01480	fps:FP2214
ko:K00789	fps:FP0268
ko:K03584	fps:FP0269
ko:K01876	fps:FP0275
ko:K03704	fps:FP0276
ko:K01662	fps:FP0279
ko:K01129	fps:FP0282
ko:K01993	fps:FP0295
ko:K07387	fps:FP0300
ko:K00928	fps:FP0302
ko:K02988	fps:FP1322
ko:K02881	fps:FP1323
ko:K02933	fps:FP1324
ko:K02994	fps:FP1325
ko:K02954	fps:FP1326
ko:K01752	fps:FP0884
ko:K00606	fps:FP0885
ko:K02887	fps:FP0892
ko:K02520	fps:FP0894
ko:K01868	fps:FP0895
ko:K03702	fps:FP0903
ko:K00405	fps:FP0919
ko:K00404	fps:FP0920
ko:K09808	fps:FP0922
ko:K00859	fps:FP1828
ko:K03503	fps:FP0390
ko:K05808	fps:FP1188
ko:K02970	fps:FP1190
ko:K03801	fps:FP1201
ko:K01845	fps:FP1204
ko:K07107	fps:FP1207
ko:K07056	fps:FP1210
ko:K07082	fps:FP1213
ko:K01778	fps:FP1215
ko:K00134	fps:FP1217
ko:K03442	fps:FP1228
ko:K07137	fps:FP1229
ko:K03654	fps:FP1233
ko:K06041	fps:FP1234
ko:K03118	fps:FP1235
ko:K06861	fps:FP1237
ko:K01714	fps:FP1836
ko:K05807	fps:FP1837
ko:K03631	fps:FP1841
ko:K01972	fps:FP1847
ko:K02939	fps:FP1849
ko:K02990	fps:FP1851
ko:K04066	fps:FP1853
ko:K07058	fps:FP1855
ko:K00767	fps:FP1856
ko:K05916	fps:FP1857
ko:K00783	fps:FP1860
ko:K03437	fps:FP1867
ko:K02884	fps:FP1873
ko:K00554	fps:FP1874
ko:K06871	fps:FP1879
ko:K01284	fps:FP1883
ko:K03664	fps:FP1884
ko:K03495	fps:FP0003
ko:K06142	fps:FP0005
ko:K00640	fps:FP1248
ko:K01358	fps:FP2085
ko:K11927	fps:FP1092
ko:K01056	fps:FP0230
ko:K08289	fps:FP0411
ko:K01761	fps:FP1733
ko:K00382	fps:FP1735
ko:K04761	fps:FP1738
ko:K00826	fps:FP1741
ko:K03424	fps:FP1746
ko:K00116	fps:FP1752
ko:K01462	fps:FP1753
ko:K02909	fps:FP1135
ko:K09888	fps:FP1145
ko:K03572	fps:FP1147
ko:K00406	fps:FP1158
ko:K09792	fps:FP1161
ko:K09794	fps:FP1162
ko:K03924	fps:FP1166
ko:K03771	fps:FP1167
ko:K03771	fps:FP1168
ko:K02935	fps:FP1177
ko:K02864	fps:FP1178
ko:K02863	fps:FP1179
ko:K02867	fps:FP1180
ko:K02601	fps:FP1181
ko:K03073	fps:FP1182
ko:K02358	fps:FP1184
ko:K00428	fps:FP0579
ko:K04762	fps:FP1440
ko:K00891	fps:FP1443
ko:K06443	fps:FP1447
ko:K03088	fps:FP1455
ko:K02014	fps:FP1457
ko:K00768	fps:FP1460
ko:K02231	fps:FP1461
ko:K02016	fps:FP1463
ko:K02015	fps:FP1464
ko:K03088	fps:FP1466
ko:K00134	fps:FP1470
ko:K00912	fps:FP1473
ko:K07231	fps:FP1478
ko:K01012	fps:FP0234
ko:K02834	fps:FP0238
ko:K00800	fps:FP0241
ko:K07461	fps:FP0243
ko:K06949	fps:FP0248
ko:K00641	fps:FP0256
ko:K01740	fps:FP0257
ko:K03671	fps:FP0260
ko:K03100	fps:FP1127
ko:K02014	fps:FP0522
ko:K00133	fps:FP0524
ko:K01953	fps:FP0526
ko:K06878	fps:FP0530
ko:K00263	fps:FP0533
ko:K03210	fps:FP0536
ko:K01591	fps:FP0537
ko:K03559	fps:FP0543
ko:K01915	fps:FP0545
ko:K07000	fps:FP0553
ko:K06158	fps:FP0558
ko:K00428	fps:FP0568
ko:K03327	fps:FP0569
ko:K07588	fps:FP0572
ko:K08223	fps:FP0573
ko:K00567	fps:FP0033
ko:K01847	fps:FP1123
ko:K11942	fps:FP1940
ko:K00605	fps:FP0836
ko:K01745	fps:FP0838
ko:K03701	fps:FP0849
ko:K02517	fps:FP0861
ko:K02371	fps:FP1762
ko:K03695	fps:FP1765
ko:K06970	fps:FP1768
ko:K00014	fps:FP1769
ko:K03281	fps:FP1773
ko:K03313	fps:FP1774
ko:K00566	fps:FP1775
ko:K03544	fps:FP2084
ko:K03545	fps:FP2086
ko:K08972	fps:FP2087
ko:K03474	fps:FP2091
ko:K00858	fps:FP2093
ko:K00806	fps:FP2095
ko:K07277	fps:FP2096
ko:K01776	fps:FP2099
ko:K06888	fps:FP2103
ko:K02276	fps:FP2107
ko:K02276	fps:FP2108
ko:K08976	fps:FP2112
ko:K01619	fps:FP2118
ko:K02437	fps:FP2120
ko:K05995	fps:FP2130
ko:K03734	fps:FP1484
ko:K01887	fps:FP1498
ko:K04518	fps:FP0251
ko:K01104	fps:FP1209
ko:K00812	fps:FP0412
ko:K00658	fps:FP2409
ko:K03718	fps:FP0843
ko:K01911	fps:FP1601
ko:K00703	fps:FP0109
ko:K00262	fps:FP0271
ko:K00831	fps:FP0640
ko:K06942	fps:FP0644
ko:K02014	fps:FP0645
ko:K01921	fps:FP0653
ko:K01711	fps:FP1640
ko:K07566	fps:FP1643
ko:K02259	fps:FP1645
ko:K03111	fps:FP1664
ko:K03530	fps:FP1666
ko:K08301	fps:FP1667
ko:K03593	fps:FP1668
ko:K00384	fps:FP1670
ko:K06217	fps:FP1081
ko:K01465	fps:FP1094
ko:K06999	fps:FP1096
ko:K06167	fps:FP1098
ko:K03088	fps:FP1106
ko:K03701	fps:FP1107
ko:K03802	fps:FP1111
ko:K00876	fps:FP1119
ko:K02493	fps:FP2023
ko:K03828	fps:FP2024
ko:K03975	fps:FP2028
ko:K02066	fps:FP1378
ko:K02065	fps:FP1379
ko:K00627	fps:FP1384
ko:K01489	fps:FP1386
ko:K01929	fps:FP1390
ko:K02968	fps:FP1397
ko:K01881	fps:FP1400
ko:K00940	fps:FP1409
ko:K00432	fps:FP1417
ko:K03270	fps:FP1420
ko:K03179	fps:FP1421
ko:K06287	fps:FP1422
ko:K00796	fps:FP1425
ko:K01803	fps:FP1429
ko:K03110	fps:FP1430
ko:K02913	fps:FP1432
ko:K02902	fps:FP1433
ko:K03284	fps:FP1779
ko:K01468	fps:FP1780
ko:K01737	fps:FP1791
ko:K01823	fps:FP1792
ko:K02825	fps:FP1796
ko:K06199	fps:FP1798
ko:K00639	fps:FP1804
ko:K01756	fps:FP1805
ko:K00556	fps:FP1807
ko:K05592	fps:FP1818
ko:K00088	fps:FP1820
ko:K01640	fps:FP1821
ko:K09807	fps:FP0863
ko:K04043	fps:FP0864
ko:K01354	fps:FP0870
ko:K02836	fps:FP0873
ko:K01620	fps:FP0874
ko:K09747	fps:FP0875
ko:K00560	fps:FP0333
ko:K08999	fps:FP0334
ko:K03522	fps:FP0335
ko:K03521	fps:FP0336
ko:K01507	fps:FP0339
ko:K02959	fps:FP0344
ko:K02860	fps:FP0345
ko:K00252	fps:FP0347
ko:K00942	fps:FP0348
ko:K02037	fps:FP0362
ko:K02038	fps:FP0363
ko:K02036	fps:FP0364
ko:K02039	fps:FP0365
ko:K03439	fps:FP0368
ko:K07443	fps:FP0370
ko:K02274	fps:FP0379
ko:K02548	fps:FP0479
ko:K09858	fps:FP0929
ko:K02342	fps:FP0943
ko:K01814	fps:FP0955
ko:K00817	fps:FP0958
ko:K00013	fps:FP0959
ko:K00765	fps:FP0960
ko:K00937	fps:FP0969
ko:K02536	fps:FP0974
ko:K02356	fps:FP0975
ko:K00677	fps:FP0976
ko:K02536	fps:FP0978
ko:K06885	fps:FP0979
ko:K00979	fps:FP0981
ko:K07007	fps:FP0308
ko:K01597	fps:FP0310
ko:K00869	fps:FP0313
ko:K03437	fps:FP0325
ko:K03183	fps:FP0327
ko:K00287	fps:FP0328
ko:K01991	fps:FP1276
ko:K02536	fps:FP1600
ko:K02429	fps:FP1608
ko:K05786	fps:FP1609
ko:K00134	fps:FP1613
ko:K00850	fps:FP1614
ko:K01409	fps:FP1616
ko:K09761	fps:FP1617
ko:K08641	fps:FP1623
ko:K00761	fps:FP2471
ko:K01945	fps:FP2473
ko:K03606	fps:FP2476
ko:K00067	fps:FP2478
ko:K01790	fps:FP2479
ko:K03116	fps:FP2484
ko:K06959	fps:FP2485
ko:K03216	fps:FP1994
ko:K02013	fps:FP1995
ko:K00075	fps:FP1996
ko:K01953	fps:FP1997
ko:K00826	fps:FP2006
ko:K07735	fps:FP2007
ko:K03530	fps:FP2008
ko:K00604	fps:FP2009
ko:K03654	fps:FP2010
ko:K00790	fps:FP2014
ko:K03924	fps:FP0136
ko:K07313	fps:FP0138
ko:K06193	fps:FP0140
ko:K00057	fps:FP0141
ko:K00969	fps:FP0143
ko:K01810	fps:FP0145
ko:K02897	fps:FP0146
ko:K00948	fps:FP0147
ko:K01262	fps:FP0153
ko:K00639	fps:FP0157
ko:K01866	fps:FP0161
ko:K01465	fps:FP0164
ko:K03424	fps:FP2289
ko:K02666	fps:FP2299
ko:K02652	fps:FP2300
ko:K02655	fps:FP2302
ko:K06142	fps:FP2303
ko:K02653	fps:FP2317
ko:K00946	fps:FP2326
ko:K01935	fps:FP2329
ko:K03797	fps:FP2333
ko:K03305	fps:FP2337
ko:K03305	fps:FP2338
ko:K01278	fps:FP2339
ko:K03797	fps:FP0463
ko:K01951	fps:FP1894
ko:K09954	fps:FP1898
ko:K01937	fps:FP1899
ko:K03217	fps:FP1900
ko:K01939	fps:FP1902
ko:K00573	fps:FP1909
ko:K06997	fps:FP1913
ko:K00791	fps:FP1916
ko:K01258	fps:FP1919
ko:K02835	fps:FP1921
ko:K02014	fps:FP1922
ko:K09939	fps:FP1923
ko:K09001	fps:FP1927
ko:K03088	fps:FP1932
ko:K00973	fps:FP1293
ko:K00012	fps:FP1295
ko:K06187	fps:FP1300
ko:K01647	fps:FP1308
ko:K01556	fps:FP2215
ko:K02899	fps:FP2216
ko:K02888	fps:FP2217
ko:K00343	fps:FP2218
ko:K00342	fps:FP2219
ko:K00336	fps:FP2225
ko:K00335	fps:FP2227
ko:K00333	fps:FP2229
ko:K00332	fps:FP2230
ko:K00331	fps:FP2231
ko:K06894	fps:FP2233
ko:K00452	fps:FP2235
ko:K01633	fps:FP2493
ko:K01886	fps:FP2494
ko:K01885	fps:FP2499
ko:K00658	fps:FP0590
ko:K01495	fps:FP0597
ko:K08998	fps:FP0599
ko:K09710	fps:FP0602
ko:K03798	fps:FP0603
ko:K00981	fps:FP0605
ko:K01613	fps:FP0606
ko:K00773	fps:FP0610
ko:K02314	fps:FP0614
ko:K00384	fps:FP0615
ko:K08994	fps:FP0618
ko:K03549	fps:FP0619
ko:K03088	fps:FP0623
ko:K03650	fps:FP0630
ko:K01495	fps:FP0634
ko:K01251	fps:FP0189
ko:K03723	fps:FP0192
ko:K03642	fps:FP0194
ko:K01486	fps:FP1059
ko:K07056	fps:FP1061
ko:K00857	fps:FP1063
ko:K03282	fps:FP1065
ko:K06925	fps:FP1067
ko:K00259	fps:FP1068
ko:K01923	fps:FP1079
ko:K01493	fps:FP0464
ko:K09748	fps:FP0468
ko:K06207	fps:FP0476
ko:K00243	fps:FP0477
ko:K01661	fps:FP0478
ko:K01627	fps:FP0501
ko:K03543	fps:FP0503
ko:K01817	fps:FP0509
ko:K01609	fps:FP0510
ko:K00766	fps:FP0511
ko:K09812	fps:FP0519
ko:K07304	fps:FP0633
ko:K00074	fps:FP0997
ko:K01916	fps:FP2070
ko:K01270	fps:FP1929
ko:K11749	fps:FP0081
ko:K00029	fps:FP2123
ko:K03733	fps:FP1189
ko:K02825	fps:FP1442
ko:K00164	fps:FP2408
ko:K08151	fps:FP2410
ko:K03570	fps:FP2418
ko:K05837	fps:FP2421
ko:K04096	fps:FP2437
ko:K00973	fps:FP2449
ko:K01520	fps:FP2450
ko:K06182	fps:FP1222
ko:K04763	fps:FP2020
ko:K07090	fps:FP1502
ko:K11065	fps:FP1594
ko:K04567	fps:FP1202
ko:K02113	fps:FP2459
ko:K01679	fps:FP1606
ko:K02275	fps:FP0378
ko:K02428	fps:FP1755
ko:K03092	fps:FP2249
ko:K03569	fps:FP2417
ko:K03551	fps:FP2125
ko:K01159	fps:FP0209
ko:K00241	fps:FP0092
ko:K09811	fps:FP2360
ko:K07636	fps:FP0359
ko:K11175	fps:FP0199
ko:K00074	fps:FP1911
ko:K02613	fps:FP2468
ko:K02500	fps:FP0954
ko:K03783	fps:FP1472
ko:K04485	fps:FP0104
ko:K03655	fps:FP1010
ko:K02563	fps:FP2057
ko:K03685	fps:FP0202
ko:K02108	fps:FP2462
ko:K02316	fps:FP2072
ko:K03466	fps:FP1592
ko:K02115	fps:FP2457
ko:K04564	fps:FP0160
ko:K05794	fps:FP0544
ko:K01652	fps:FP0448
ko:K01681	fps:FP1164
ko:K00240	fps:FP0095
ko:K02078	fps:FP2267
ko:K01665	fps:FP1625
ko:K00161	fps:FP1385
ko:K03718	fps:FP2372
ko:K02805	fps:FP1266
ko:K04565	fps:FP1736
ko:K00031	fps:FP1872
ko:K02217	fps:FP1782
ko:K01809	fps:FP1789
ko:K01992	fps:FP0668
ko:K11755	fps:FP0953
ko:K01784	fps:FP0406
ko:K11927	fps:FP1701
ko:K01847	fps:FP1121
ko:K00059	fps:FP2285
ko:K11537	fps:FP1711
ko:K00059	fps:FP0964
ko:K00983	fps:FP1257
ko:K01654	fps:FP1256
ko:K01992	fps:FP1089
ko:K11754	fps:FP0541
ko:K00657	fps:FP1214
ko:K03446	fps:FP0502
ko:K01297	fps:FP0058
ko:K00558	fps:FP0858
ko:K00558	fps:FP2150
ko:K00558	fps:FP0736
ko:K00558	fps:FP2274
ko:K12410	fps:FP1806
ko:K00228	fps:FP0037
ko:K03711	fps:FP1903
ko:K07027	fps:FP0106
ko:K01491	fps:FP1475
ko:K09951	fps:FP1526
ko:K00748	fps:FP2330
ko:K03574	fps:FP0951
ko:K09946	fps:FP0384
ko:K00626	fps:FP0770
ko:K00626	fps:FP1586
ko:K11752	fps:FP2025
ko:K11717	fps:FP2389
ko:K01990	fps:FP0669
ko:K01089	fps:FP0957
ko:K04487	fps:FP0708
ko:K00819	fps:FP0739
ko:K01895	fps:FP0942
ko:K04755	fps:FP2399
ko:K03179	fps:FP0314
ko:K01890	fps:FP1041
ko:K01710	fps:FP2477
ko:K01710	fps:FP1294
ko:K11753	fps:FP0233
ko:K07098	fps:FP0291
ko:K12257	fps:FP0529
ko:K07025	fps:FP0054
ko:K07025	fps:FP1351
ko:K17103	fps:FP1239
ko:K02474	fps:FP1296
ko:K00185	fps:FP0374
ko:K00054	fps:FP2341
ko:K08715	fps:FP1989
ko:K13282	fps:FP1110
ko:K01424	fps:FP1109
ko:K01424	fps:FP2291
ko:K01961	fps:FP2377
ko:K07152	fps:FP2111
ko:K03386	fps:FP0914
ko:K03386	fps:FP1729
ko:K04763	fps:FP2136
ko:K12573	fps:FP2489
ko:K06142	fps:FP2098
ko:K00951	fps:FP1866
ko:K01934	fps:FP0220
ko:K01081	fps:FP1833
ko:K07114	fps:FP0130
ko:K00058	fps:FP0639
ko:K07182	fps:FP0944
ko:K02503	fps:FP2367
ko:K07107	fps:FP1579
ko:K03671	fps:FP1812
ko:K13789	fps:FP2405
ko:K09158	fps:FP2012
ko:K00971	fps:FP1381
ko:K07011	fps:FP1055
ko:K02005	fps:FP2116
ko:K01278	fps:FP1112
ko:K01479	fps:FP1700
ko:K01372	fps:FP2369
ko:K12524	fps:FP0255
ko:K03585	fps:FP0931
ko:K03328	fps:FP1871
ko:K03294	fps:FP2126
ko:K03294	fps:FP0224
ko:K03655	fps:FP1553
ko:K01144	fps:FP0982
ko:K00647	fps:FP2265
ko:K03709	fps:FP0077
ko:K01897	fps:FP1720
ko:K00215	fps:FP1128
ko:K00024	fps:FP0528
ko:K00281	fps:FP1372
ko:K03657	fps:FP1561
ko:K01555	fps:FP0680
ko:K09164	fps:FP1747
ko:K05595	fps:FP0460
ko:K03558	fps:FP0126
ko:K13038	fps:FP1839
ko:K03832	fps:FP1467
ko:K04516	fps:FP0249
ko:K03782	fps:FP1730
ko:K01534	fps:FP0426
ko:K03770	fps:FP2430
ko:K02014	fps:FP2456
ko:K00647	fps:FP2269
ko:K00640	fps:FP1253
ko:K02040	fps:FP2206
ko:K00334	fps:FP2228
ko:K03767	fps:FP1908
ko:K02004	fps:FP2415
ko:K02004	fps:FP2022
ko:K00318	fps:FP1706
ko:K07658	fps:FP0358
ko:K00652	fps:FP0119
ko:K00508	fps:FP0413
ko:K00941	fps:FP0430
ko:K07516	fps:FP1723
ko:K06147	fps:FP1877
ko:K06147	fps:FP1950
ko:K12340	fps:FP2115
ko:K02477	fps:FP1517
