ko:K03605	dmc:btf_71
ko:K07159	dmc:btf_488
ko:K06910	dmc:btf_495
ko:K00058	dmc:btf_561
ko:K14128	dmc:btf_574
ko:K14126	dmc:btf_575
ko:K00442	dmc:btf_576
ko:K06196	dmc:btf_579
ko:K07034	dmc:btf_1471
ko:K06147	dmc:btf_1476
ko:K01156	dmc:btf_159
ko:K07316	dmc:btf_160
ko:K03711	dmc:btf_1049
ko:K02823	dmc:btf_1083
ko:K00966	dmc:btf_1088
ko:K09740	dmc:btf_815
ko:K02669	dmc:btf_818
ko:K00330	dmc:btf_819
ko:K00331	dmc:btf_820
ko:K00332	dmc:btf_821
ko:K00333	dmc:btf_822
ko:K00337	dmc:btf_823
ko:K05580	dmc:btf_824
ko:K00339	dmc:btf_825
ko:K00341	dmc:btf_827
ko:K00342	dmc:btf_828
ko:K00343	dmc:btf_829
ko:K03424	dmc:btf_830
ko:K10773	dmc:btf_831
ko:K02232	dmc:btf_832
ko:K01995	dmc:btf_834
ko:K01912	dmc:btf_836
ko:K01996	dmc:btf_837
ko:K01999	dmc:btf_838
ko:K01998	dmc:btf_840
ko:K01997	dmc:btf_841
ko:K00179	dmc:btf_843
ko:K00180	dmc:btf_844
ko:K08982	dmc:btf_848
ko:K13993	dmc:btf_850
ko:K03594	dmc:btf_851
ko:K04564	dmc:btf_852
ko:K00974	dmc:btf_375
ko:K01966	dmc:btf_412
ko:K10563	dmc:btf_1266
ko:K00616	dmc:btf_1286
ko:K13640	dmc:btf_1289
ko:K06013	dmc:btf_1301
ko:K01409	dmc:btf_1304
ko:K04652	dmc:btf_1309
ko:K04655	dmc:btf_1313
ko:K03711	dmc:btf_590
ko:K09815	dmc:btf_591
ko:K00197	dmc:btf_621
ko:K00852	dmc:btf_633
ko:K04518	dmc:btf_1498
ko:K03386	dmc:btf_1523
ko:K09981	dmc:btf_1527
ko:K02004	dmc:btf_777
ko:K06994	dmc:btf_793
ko:K06281	dmc:btf_72
ko:K06282	dmc:btf_73
ko:K00124	dmc:btf_74
ko:K01959	dmc:btf_81
ko:K05794	dmc:btf_125
ko:K06346	dmc:btf_992
ko:K10823	dmc:btf_1011
ko:K15583	dmc:btf_1012
ko:K15582	dmc:btf_1013
ko:K04763	dmc:btf_1095
ko:K02428	dmc:btf_1105
ko:K03325	dmc:btf_1121
ko:K07304	dmc:btf_1122
ko:K07305	dmc:btf_1123
ko:K07343	dmc:btf_1125
ko:K07030	dmc:btf_1141
ko:K00970	dmc:btf_310
ko:K01507	dmc:btf_335
ko:K00088	dmc:btf_352
ko:K02433	dmc:btf_1213
ko:K07729	dmc:btf_1216
ko:K01635	dmc:btf_1223
ko:K16370	dmc:btf_1224
ko:K02454	dmc:btf_1230
ko:K02653	dmc:btf_1231
ko:K01885	dmc:btf_1243
ko:K09720	dmc:btf_910
ko:K06877	dmc:btf_916
ko:K09764	dmc:btf_917
ko:K01262	dmc:btf_637
ko:K07052	dmc:btf_695
ko:K15635	dmc:btf_665
ko:K07457	dmc:btf_1552
ko:K03455	dmc:btf_1567
ko:K15635	dmc:btf_1575
ko:K02499	dmc:btf_1577
ko:K00065	dmc:btf_658
ko:K14219	dmc:btf_1345
ko:K06960	dmc:btf_528
ko:K02959	dmc:btf_529
ko:K05982	dmc:btf_530
ko:K02836	dmc:btf_531
ko:K03630	dmc:btf_533
ko:K01875	dmc:btf_538
ko:K04567	dmc:btf_539
ko:K03584	dmc:btf_541
ko:K03284	dmc:btf_543
ko:K06187	dmc:btf_544
ko:K09747	dmc:btf_545
ko:K02343	dmc:btf_546
ko:K00134	dmc:btf_552
ko:K01689	dmc:btf_555
ko:K06966	dmc:btf_556
ko:K01056	dmc:btf_557
ko:K01972	dmc:btf_558
ko:K08681	dmc:btf_560
ko:K03074	dmc:btf_308
ko:K03072	dmc:btf_309
ko:K04066	dmc:btf_312
ko:K02884	dmc:btf_313
ko:K00554	dmc:btf_314
ko:K03925	dmc:btf_315
ko:K03438	dmc:btf_316
ko:K03590	dmc:btf_317
ko:K03531	dmc:btf_318
ko:K07738	dmc:btf_319
ko:K09117	dmc:btf_323
ko:K02970	dmc:btf_324
ko:K03797	dmc:btf_332
ko:K01889	dmc:btf_333
ko:K01890	dmc:btf_334
ko:K01881	dmc:btf_336
ko:K00099	dmc:btf_339
ko:K00981	dmc:btf_340
ko:K00806	dmc:btf_341
ko:K02838	dmc:btf_342
ko:K09903	dmc:btf_343
ko:K02357	dmc:btf_344
ko:K02967	dmc:btf_345
ko:K01952	dmc:btf_346
ko:K01952	dmc:btf_347
ko:K06215	dmc:btf_348
ko:K07056	dmc:btf_353
ko:K01874	dmc:btf_355
ko:K03798	dmc:btf_357
ko:K01151	dmc:btf_358
ko:K09710	dmc:btf_359
ko:K00940	dmc:btf_360
ko:K01814	dmc:btf_1209
ko:K02435	dmc:btf_1212
ko:K10907	dmc:btf_1220
ko:K01867	dmc:btf_1221
ko:K03527	dmc:btf_1222
ko:K03088	dmc:btf_1226
ko:K02662	dmc:btf_1237
ko:K02669	dmc:btf_1238
ko:K02654	dmc:btf_1240
ko:K05947	dmc:btf_1241
ko:K04070	dmc:btf_1246
ko:K07042	dmc:btf_1248
ko:K03101	dmc:btf_1252
ko:K06180	dmc:btf_1253
ko:K00767	dmc:btf_1259
ko:K00278	dmc:btf_1260
ko:K01866	dmc:btf_563
ko:K11753	dmc:btf_564
ko:K03043	dmc:btf_565
ko:K03046	dmc:btf_566
ko:K03551	dmc:btf_567
ko:K09765	dmc:btf_568
ko:K03789	dmc:btf_569
ko:K07739	dmc:btf_573
ko:K03152	dmc:btf_79
ko:K01960	dmc:btf_80
ko:K00766	dmc:btf_85
ko:K02224	dmc:btf_87
ko:K07636	dmc:btf_96
ko:K01734	dmc:btf_97
ko:K02040	dmc:btf_98
ko:K02037	dmc:btf_99
ko:K02038	dmc:btf_100
ko:K02036	dmc:btf_101
ko:K02039	dmc:btf_102
ko:K07043	dmc:btf_110
ko:K01620	dmc:btf_112
ko:K07667	dmc:btf_118
ko:K02380	dmc:btf_126
ko:K00123	dmc:btf_128
ko:K01255	dmc:btf_984
ko:K06001	dmc:btf_988
ko:K01870	dmc:btf_991
ko:K03217	dmc:btf_993
ko:K08998	dmc:btf_995
ko:K03536	dmc:btf_996
ko:K02914	dmc:btf_997
ko:K02963	dmc:btf_9980
ko:K02990	dmc:btf_1000
ko:K03631	dmc:btf_1006
ko:K15581	dmc:btf_1014
ko:K15580	dmc:btf_1015
ko:K03215	dmc:btf_1019
ko:K01673	dmc:btf_1020
ko:K06287	dmc:btf_1021
ko:K01950	dmc:btf_1023
ko:K01915	dmc:btf_1024
ko:K04751	dmc:btf_1025
ko:K03320	dmc:btf_1026
ko:K02500	dmc:btf_1030
ko:K02501	dmc:btf_1033
ko:K01738	dmc:btf_1036
ko:K01921	dmc:btf_589
ko:K09817	dmc:btf_592
ko:K09816	dmc:btf_593
ko:K03531	dmc:btf_595
ko:K03590	dmc:btf_596
ko:K07130	dmc:btf_599
ko:K01783	dmc:btf_600
ko:K01808	dmc:btf_601
ko:K00615	dmc:btf_602
ko:K02016	dmc:btf_607
ko:K02015	dmc:btf_608
ko:K02013	dmc:btf_609
ko:K02227	dmc:btf_611
ko:K00768	dmc:btf_613
ko:K02233	dmc:btf_614
ko:K02231	dmc:btf_616
ko:K03671	dmc:btf_617
ko:K14138	dmc:btf_622
ko:K00194	dmc:btf_623
ko:K01491	dmc:btf_624
ko:K07321	dmc:btf_625
ko:K01938	dmc:btf_627
ko:K01876	dmc:btf_630
ko:K03545	dmc:btf_631
ko:K01358	dmc:btf_632
ko:K02356	dmc:btf_636
ko:K03075	dmc:btf_1500
ko:K02434	dmc:btf_1501
ko:K12141	dmc:btf_1513
ko:K12140	dmc:btf_1514
ko:K03744	dmc:btf_1528
ko:K03799	dmc:btf_1529
ko:K00640	dmc:btf_1530
ko:K03926	dmc:btf_1531
ko:K03517	dmc:btf_1532
ko:K03183	dmc:btf_1533
ko:K03734	dmc:btf_1536
ko:K06925	dmc:btf_362
ko:K00946	dmc:btf_363
ko:K03183	dmc:btf_364
ko:K03183	dmc:btf_365
ko:K01735	dmc:btf_366
ko:K02548	dmc:btf_367
ko:K02528	dmc:btf_370
ko:K00919	dmc:btf_371
ko:K10716	dmc:btf_374
ko:K09695	dmc:btf_376
ko:K09694	dmc:btf_377
ko:K09125	dmc:btf_390
ko:K09122	dmc:btf_392
ko:K03525	dmc:btf_394
ko:K13038	dmc:btf_395
ko:K01873	dmc:btf_396
ko:K03070	dmc:btf_400
ko:K00948	dmc:btf_401
ko:K00600	dmc:btf_402
ko:K03466	dmc:btf_405
ko:K03702	dmc:btf_406
ko:K03550	dmc:btf_407
ko:K01159	dmc:btf_408
ko:K00997	dmc:btf_410
ko:K00334	dmc:btf_411
ko:K03210	dmc:btf_1261
ko:K06168	dmc:btf_1262
ko:K03282	dmc:btf_1264
ko:K00611	dmc:btf_1272
ko:K03977	dmc:btf_1273
ko:K08591	dmc:btf_1274
ko:K00057	dmc:btf_1275
ko:K03686	dmc:btf_1276
ko:K04043	dmc:btf_1277
ko:K03687	dmc:btf_1278
ko:K03705	dmc:btf_1279
ko:K07502	dmc:btf_1282
ko:K03628	dmc:btf_1285
ko:K01937	dmc:btf_1287
ko:K03686	dmc:btf_1288
ko:K03696	dmc:btf_1290
ko:K00764	dmc:btf_1292
ko:K01933	dmc:btf_1293
ko:K00602	dmc:btf_1295
ko:K00763	dmc:btf_1296
ko:K04075	dmc:btf_1299
ko:K04078	dmc:btf_1305
ko:K04077	dmc:btf_1306
ko:K04651	dmc:btf_1308
ko:K04656	dmc:btf_1310
ko:K04653	dmc:btf_1311
ko:K04654	dmc:btf_1312
ko:K14231	dmc:btf_728
ko:K00954	dmc:btf_130
ko:K03558	dmc:btf_132
ko:K00286	dmc:btf_133
ko:K01869	dmc:btf_134
ko:K07007	dmc:btf_135
ko:K13963	dmc:btf_147
ko:K11068	dmc:btf_148
ko:K06158	dmc:btf_149
ko:K07007	dmc:btf_151
ko:K02227	dmc:btf_1039
ko:K03523	dmc:btf_1065
ko:K00794	dmc:btf_1068
ko:K14652	dmc:btf_1069
ko:K00793	dmc:btf_1070
ko:K11752	dmc:btf_1071
ko:K09807	dmc:btf_1072
ko:K03100	dmc:btf_1073
ko:K00762	dmc:btf_1074
ko:K03572	dmc:btf_1076
ko:K03657	dmc:btf_1077
ko:K02825	dmc:btf_1078
ko:K00609	dmc:btf_1079
ko:K01465	dmc:btf_1080
ko:K01956	dmc:btf_1081
ko:K01955	dmc:btf_1082
ko:K01495	dmc:btf_1084
ko:K01733	dmc:btf_1085
ko:K00003	dmc:btf_1086
ko:K01895	dmc:btf_1089
ko:K02835	dmc:btf_1090
ko:K02493	dmc:btf_1091
ko:K02355	dmc:btf_1092
ko:K07159	dmc:btf_812
ko:K04488	dmc:btf_847
ko:K07504	dmc:btf_859
ko:K03168	dmc:btf_639
ko:K04096	dmc:btf_640
ko:K00172	dmc:btf_645
ko:K00171	dmc:btf_646
ko:K00169	dmc:btf_647
ko:K00170	dmc:btf_648
ko:K00334	dmc:btf_649
ko:K03665	dmc:btf_659
ko:K10206	dmc:btf_661
ko:K01778	dmc:btf_662
ko:K00791	dmc:btf_663
ko:K01803	dmc:btf_664
ko:K00927	dmc:btf_666
ko:K01662	dmc:btf_667
ko:K00760	dmc:btf_671
ko:K02887	dmc:btf_672
ko:K02916	dmc:btf_673
ko:K02520	dmc:btf_674
ko:K01868	dmc:btf_675
ko:K06997	dmc:btf_680
ko:K01462	dmc:btf_682
ko:K15987	dmc:btf_688
ko:K03624	dmc:btf_692
ko:K03118	dmc:btf_1539
ko:K03116	dmc:btf_1540
ko:K03116	dmc:btf_1541
ko:K03116	dmc:btf_1542
ko:K00796	dmc:btf_1543
ko:K00950	dmc:btf_1544
ko:K01737	dmc:btf_1545
ko:K03565	dmc:btf_1547
ko:K09769	dmc:btf_1549
ko:K07053	dmc:btf_1550
ko:K02594	dmc:btf_1554
ko:K00145	dmc:btf_1566
ko:K02469	dmc:btf_1570
ko:K00928	dmc:btf_1573
ko:K06973	dmc:btf_1578
ko:K02968	dmc:btf_1579
ko:K01356	dmc:btf_1580
ko:K01628	dmc:btf_1581
ko:K00604	dmc:btf_1582
ko:K01358	dmc:btf_206
ko:K00789	dmc:btf_214
ko:K03703	dmc:btf_1096
ko:K03824	dmc:btf_1097
ko:K03555	dmc:btf_1099
ko:K01622	dmc:btf_1104
ko:K00024	dmc:btf_416
ko:K01677	dmc:btf_418
ko:K01678	dmc:btf_419
ko:K02503	dmc:btf_420
ko:K00858	dmc:btf_423
ko:K14170	dmc:btf_426
ko:K01736	dmc:btf_427
ko:K00800	dmc:btf_428
ko:K00891	dmc:btf_429
ko:K00014	dmc:btf_430
ko:K03785	dmc:btf_431
ko:K01735	dmc:btf_432
ko:K02950	dmc:btf_434
ko:K02992	dmc:btf_435
ko:K02355	dmc:btf_436
ko:K02946	dmc:btf_437
ko:K02906	dmc:btf_438
ko:K02926	dmc:btf_439
ko:K02892	dmc:btf_440
ko:K02886	dmc:btf_441
ko:K02965	dmc:btf_442
ko:K02890	dmc:btf_443
ko:K02982	dmc:btf_444
ko:K02878	dmc:btf_445
ko:K02904	dmc:btf_446
ko:K02961	dmc:btf_447
ko:K02874	dmc:btf_448
ko:K02895	dmc:btf_449
ko:K02931	dmc:btf_450
ko:K02954	dmc:btf_451
ko:K02994	dmc:btf_452
ko:K02933	dmc:btf_453
ko:K02881	dmc:btf_454
ko:K02988	dmc:btf_455
ko:K02907	dmc:btf_456
ko:K02876	dmc:btf_457
ko:K03076	dmc:btf_458
ko:K01265	dmc:btf_460
ko:K02518	dmc:btf_461
ko:K02919	dmc:btf_462
ko:K02952	dmc:btf_463
ko:K02948	dmc:btf_464
ko:K02986	dmc:btf_465
ko:K03040	dmc:btf_466
ko:K02879	dmc:btf_467
ko:K06173	dmc:btf_468
ko:K02871	dmc:btf_469
ko:K02996	dmc:btf_470
ko:K15916	dmc:btf_472
ko:K02897	dmc:btf_1330
ko:K01975	dmc:btf_1332
ko:K05808	dmc:btf_1335
ko:K03630	dmc:btf_1338
ko:K02337	dmc:btf_1340
ko:K01657	dmc:btf_1349
ko:K00766	dmc:btf_1351
ko:K01609	dmc:btf_1352
ko:K01817	dmc:btf_1353
ko:K01696	dmc:btf_1355
ko:K01695	dmc:btf_1356
ko:K02034	dmc:btf_1360
ko:K06199	dmc:btf_1366
ko:K04759	dmc:btf_1371
ko:K04758	dmc:btf_1372
ko:K14226	dmc:btf_907
ko:K02338	dmc:btf_1106
ko:K01433	dmc:btf_1119
ko:K02669	dmc:btf_1133
ko:K00620	dmc:btf_1134
ko:K00930	dmc:btf_1135
ko:K01940	dmc:btf_1138
ko:K01755	dmc:btf_1139
ko:K02902	dmc:btf_1140
ko:K03655	dmc:btf_1146
ko:K01129	dmc:btf_1147
ko:K01887	dmc:btf_1148
ko:K00196	dmc:btf_1034
ko:K02313	dmc:btf_1
ko:K03979	dmc:btf_2
ko:K00969	dmc:btf_3
ko:K02470	dmc:btf_4
ko:K01892	dmc:btf_6
ko:K08591	dmc:btf_8
ko:K00826	dmc:btf_9
ko:K02346	dmc:btf_10
ko:K01591	dmc:btf_12
ko:K02500	dmc:btf_909
ko:K09458	dmc:btf_912
ko:K07462	dmc:btf_913
ko:K08591	dmc:btf_914
ko:K13292	dmc:btf_915
ko:K02956	dmc:btf_918
ko:K00962	dmc:btf_919
ko:K00215	dmc:btf_920
ko:K00133	dmc:btf_921
ko:K01714	dmc:btf_922
ko:K01939	dmc:btf_925
ko:K03147	dmc:btf_697
ko:K03501	dmc:btf_698
ko:K00943	dmc:btf_701
ko:K00566	dmc:btf_702
ko:K03470	dmc:btf_703
ko:K07460	dmc:btf_704
ko:K00788	dmc:btf_705
ko:K07477	dmc:btf_706
ko:K15987	dmc:btf_707
ko:K01880	dmc:btf_710
ko:K03547	dmc:btf_711
ko:K06178	dmc:btf_712
ko:K01486	dmc:btf_714
ko:K00760	dmc:btf_715
ko:K07568	dmc:btf_719
ko:K03787	dmc:btf_720
ko:K01579	dmc:btf_723
ko:K00606	dmc:btf_724
ko:K01918	dmc:btf_725
ko:K09013	dmc:btf_736
ko:K02013	dmc:btf_738
ko:K14415	dmc:btf_744
ko:K01649	dmc:btf_746
ko:K00052	dmc:btf_747
ko:K01704	dmc:btf_748
ko:K01703	dmc:btf_749
ko:K07507	dmc:btf_750
ko:K01649	dmc:btf_751
ko:K00053	dmc:btf_752
ko:K07458	dmc:btf_288
ko:K03657	dmc:btf_289
ko:K01338	dmc:btf_291
ko:K07001	dmc:btf_300
ko:K06915	dmc:btf_302
ko:K00208	dmc:btf_1150
ko:K07040	dmc:btf_1152
ko:K02911	dmc:btf_1153
ko:K00645	dmc:btf_1154
ko:K03625	dmc:btf_1156
ko:K02078	dmc:btf_1157
ko:K03723	dmc:btf_1159
ko:K00931	dmc:btf_1160
ko:K00147	dmc:btf_1166
ko:K00989	dmc:btf_1167
ko:K09131	dmc:btf_1170
ko:K06207	dmc:btf_1176
ko:K09946	dmc:btf_1184
ko:K07478	dmc:btf_1186
ko:K04069	dmc:btf_1190
ko:K09767	dmc:btf_1194
ko:K00859	dmc:btf_1201
ko:K02888	dmc:btf_1203
ko:K02899	dmc:btf_1204
ko:K02909	dmc:btf_1205
ko:K00789	dmc:btf_475
ko:K01251	dmc:btf_476
ko:K08963	dmc:btf_481
ko:K03592	dmc:btf_489
ko:K03568	dmc:btf_490
ko:K03431	dmc:btf_491
ko:K04042	dmc:btf_492
ko:K00973	dmc:btf_493
ko:K00820	dmc:btf_494
ko:K01586	dmc:btf_497
ko:K02341	dmc:btf_498
ko:K02939	dmc:btf_504
ko:K00384	dmc:btf_505
ko:K03621	dmc:btf_506
ko:K03701	dmc:btf_509
ko:K03086	dmc:btf_513
ko:K01129	dmc:btf_515
ko:K08999	dmc:btf_517
ko:K02108	dmc:btf_519
ko:K02110	dmc:btf_520
ko:K02109	dmc:btf_521
ko:K02113	dmc:btf_522
ko:K02111	dmc:btf_523
ko:K02115	dmc:btf_524
ko:K02112	dmc:btf_525
ko:K02114	dmc:btf_526
ko:K02860	dmc:btf_527
ko:K03664	dmc:btf_1374
ko:K07667	dmc:btf_1395
ko:K01915	dmc:btf_1418
ko:K11754	dmc:btf_15
ko:K07560	dmc:btf_18
ko:K02237	dmc:btf_24
ko:K07220	dmc:btf_31
ko:K03306	dmc:btf_32
ko:K00942	dmc:btf_33
ko:K09777	dmc:btf_34
ko:K00528	dmc:btf_35
ko:K00266	dmc:btf_36
ko:K06942	dmc:btf_43
ko:K02340	dmc:btf_45
ko:K01872	dmc:btf_48
ko:K07447	dmc:btf_49
ko:K00773	dmc:btf_50
ko:K03696	dmc:btf_54
ko:K04485	dmc:btf_55
ko:K00991	dmc:btf_56
ko:K01770	dmc:btf_57
ko:K01883	dmc:btf_58
ko:K03752	dmc:btf_61
ko:K00995	dmc:btf_926
ko:K01858	dmc:btf_928
ko:K02834	dmc:btf_931
ko:K02519	dmc:btf_932
ko:K07742	dmc:btf_933
ko:K02600	dmc:btf_934
ko:K07391	dmc:btf_935
ko:K02935	dmc:btf_939
ko:K02864	dmc:btf_940
ko:K02863	dmc:btf_941
ko:K02867	dmc:btf_942
ko:K02601	dmc:btf_943
ko:K03073	dmc:btf_944
ko:K02913	dmc:btf_945
ko:K02358	dmc:btf_946
ko:K07089	dmc:btf_954
ko:K01912	dmc:btf_964
ko:K03685	dmc:btf_979
ko:K01512	dmc:btf_981
ko:K00184	dmc:btf_65
ko:K02028	dmc:btf_383
ko:K01992	dmc:btf_1560
ko:K14091	dmc:btf_789
ko:K01990	dmc:btf_1559
ko:K02029	dmc:btf_384
ko:K14237	dmc:btf_1346
ko:K14228	dmc:btf_1321
ko:K01992	dmc:btf_1218
ko:K01992	dmc:btf_773
ko:K14223	dmc:btf_977
ko:K01990	dmc:btf_734
ko:K01990	dmc:btf_772
ko:K00336	dmc:btf_106
ko:K00951	dmc:btf_5
ko:K00185	dmc:btf_64
ko:K01897	dmc:btf_987
ko:K01897	dmc:btf_842
ko:K02030	dmc:btf_385
ko:K14227	dmc:btf_967
ko:K14222	dmc:btf_1319
ko:K14232	dmc:btf_683
ko:K14088	dmc:btf_783
ko:K14086	dmc:btf_781
ko:K15580	dmc:btf_534
ko:K14225	dmc:btf_774
ko:K14225	dmc:btf_655
ko:K01704	dmc:btf_414
ko:K01703	dmc:btf_413
ko:K01992	dmc:btf_75
ko:K01990	dmc:btf_1217
ko:K01990	dmc:btf_483
ko:K01990	dmc:btf_717
ko:K01990	dmc:btf_77
ko:K14090	dmc:btf_788
ko:K07576	dmc:btf_1016
ko:K03711	dmc:btf_1373
ko:K17686	dmc:btf_849
ko:K01985	dmc:btf_53
ko:K14218	dmc:btf_59
ko:K14218	dmc:btf_299
ko:K14237	dmc:btf_114
ko:K14237	dmc:btf_1064
ko:K14234	dmc:btf_949
ko:K14233	dmc:btf_535
ko:K14233	dmc:btf_641
ko:K14233	dmc:btf_642
ko:K14233	dmc:btf_1265
ko:K14219	dmc:btf_644
ko:K14219	dmc:btf_669
ko:K14218	dmc:btf_1502
ko:K17758	dmc:btf_393
ko:K17759	dmc:btf_393
ko:K02226	dmc:btf_615
ko:K14230	dmc:btf_388
ko:K01658	dmc:btf_1350
ko:K01843	dmc:btf_146
ko:K01843	dmc:btf_588
ko:K12574	dmc:btf_404
ko:K17734	dmc:btf_263
ko:K14234	dmc:btf_350
ko:K14234	dmc:btf_947
ko:K14219	dmc:btf_906
ko:K14232	dmc:btf_652
ko:K14232	dmc:btf_1576
ko:K14230	dmc:btf_657
ko:K14230	dmc:btf_1192
ko:K02614	dmc:btf_833
ko:K07814	dmc:btf_1467
ko:K07045	dmc:btf_1331
ko:K00329	dmc:btf_1202
ko:K00356	dmc:btf_1202
ko:K00091	dmc:btf_1521
ko:K14224	dmc:btf_976
ko:K14235	dmc:btf_1316
ko:K01977	dmc:btf_968
ko:K01980	dmc:btf_52
ko:K14219	dmc:btf_1525
ko:K14228	dmc:btf_678
ko:K14228	dmc:btf_1344
ko:K14223	dmc:btf_730
ko:K14220	dmc:btf_731
ko:K14229	dmc:btf_739
ko:K14236	dmc:btf_948
ko:K14221	dmc:btf_1001
ko:K18234	dmc:btf_1063
ko:K19591	dmc:btf_1475
ko:K07667	dmc:btf_1421
ko:K07667	dmc:btf_1493
ko:K01007	dmc:btf_516
ko:K06384	dmc:btf_1093
ko:K18682	dmc:btf_1548
ko:K01356	dmc:btf_860
ko:K06147	dmc:btf_1053
ko:K03111	dmc:btf_9991
ko:K03497	dmc:btf_1380
ko:K00335	dmc:btf_105
ko:K00335	dmc:btf_650
ko:K00335	dmc:btf_785
ko:K03526	dmc:btf_337
ko:K19221	dmc:btf_1040
ko:K07451	dmc:btf_216
ko:K00571	dmc:btf_876
ko:K07033	dmc:btf_737
ko:K03741	dmc:btf_103
ko:K01992	dmc:btf_482
ko:K01992	dmc:btf_718
ko:K01992	dmc:btf_735
ko:K07497	dmc:btf_180
ko:K07497	dmc:btf_181
ko:K18707	dmc:btf_911
ko:K00008	dmc:btf_84
ko:K04771	dmc:btf_990
ko:K07658	dmc:btf_1027
ko:K03975	dmc:btf_1043
ko:K03551	dmc:btf_247
ko:K04763	dmc:btf_271
ko:K03790	dmc:btf_301
ko:K04771	dmc:btf_1163
ko:K07164	dmc:btf_328
ko:K03284	dmc:btf_389
ko:K19302	dmc:btf_1267
ko:K03712	dmc:btf_1450
ko:K07668	dmc:btf_1455
ko:K06940	dmc:btf_586
ko:K06966	dmc:btf_605
ko:K06075	dmc:btf_1489
ko:K00176	dmc:btf_1506
ko:K01734	dmc:btf_1517
ko:K08966	dmc:btf_681
ko:K08591	dmc:btf_1551
ko:K05919	dmc:btf_1563
ko:K01999	dmc:btf_839
ko:K07025	dmc:btf_496
ko:K19710	dmc:btf_1555
ko:K19689	dmc:btf_807
ko:K19701	dmc:btf_974
ko:K01992	dmc:btf_76
ko:K19955	dmc:btf_51
ko:K00334	dmc:btf_104
ko:K02523	dmc:btf_356
ko:K00817	dmc:btf_612
ko:K03733	dmc:btf_638
ko:K19244	dmc:btf_92
ko:K07100	dmc:btf_713
ko:K00821	dmc:btf_1136
ko:K12137	dmc:btf_1516
ko:K00525	dmc:btf_583
ko:K00525	dmc:btf_320
ko:K07474	dmc:btf_881
ko:K06904	dmc:btf_884
ko:K00558	dmc:btf_212
ko:K00558	dmc:btf_236
ko:K00558	dmc:btf_290
ko:K01493	dmc:btf_379
ko:K01520	dmc:btf_381
ko:K03465	dmc:btf_1357
ko:K02315	dmc:btf_501
ko:K02314	dmc:btf_503
ko:K03546	dmc:btf_512
ko:K02316	dmc:btf_514
ko:K03553	dmc:btf_1546
ko:K00560	dmc:btf_740
ko:K05576	dmc:btf_826
ko:K02335	dmc:btf_1268
ko:K11927	dmc:btf_124
ko:K21929	dmc:btf_403
ko:K02334	dmc:btf_225
ko:K22044	dmc:btf_1519
ko:K03892	dmc:btf_953
ko:K22205	dmc:btf_1499
ko:K22222	dmc:btf_551
ko:K22222	dmc:btf_1005
ko:K22299	dmc:btf_240
ko:K07755	dmc:btf_1298
ko:K00590	dmc:btf_1388
