ko:K14222	hiz:R2866_0615
ko:K02038	hiz:R2866_1020
ko:K02036	hiz:R2866_1021
ko:K07636	hiz:R2866_1023
ko:K01141	hiz:R2866_1024
ko:K03632	hiz:R2866_1027
ko:K03804	hiz:R2866_1028
ko:K03633	hiz:R2866_1029
ko:K14058	hiz:R2866_1030
ko:K01868	hiz:R2866_1035
ko:K01118	hiz:R2866_1036
ko:K03168	hiz:R2866_1037
ko:K00325	hiz:R2866_1039
ko:K00324	hiz:R2866_1040
ko:K00688	hiz:R2866_1041
ko:K00703	hiz:R2866_1042
ko:K00975	hiz:R2866_1043
ko:K00705	hiz:R2866_1046
ko:K09160	hiz:R2866_1047
ko:K01886	hiz:R2866_1048
ko:K08301	hiz:R2866_1049
ko:K15257	hiz:R2866_1051
ko:K04047	hiz:R2866_1053
ko:K03272	hiz:R2866_1061
ko:K02517	hiz:R2866_1062
ko:K02622	hiz:R2866_1063
ko:K02621	hiz:R2866_1064
ko:K03312	hiz:R2866_1065
ko:K15461	hiz:R2866_1069
ko:K04042	hiz:R2866_1841
ko:K02935	hiz:R2866_1842
ko:K02864	hiz:R2866_1843
ko:K01756	hiz:R2866_1844
ko:K07153	hiz:R2866_1845
ko:K01867	hiz:R2866_1846
ko:K05539	hiz:R2866_1848
ko:K02358	hiz:R2866_1851
ko:K03598	hiz:R2866_1857
ko:K03597	hiz:R2866_1858
ko:K03088	hiz:R2866_1859
ko:K09159	hiz:R2866_1860
ko:K03282	hiz:R2866_1861
ko:K03500	hiz:R2866_1863
ko:K00604	hiz:R2866_1864
ko:K01462	hiz:R2866_1865
ko:K03565	hiz:R2866_1874
ko:K06199	hiz:R2866_1875
ko:K00611	hiz:R2866_1877
ko:K01581	hiz:R2866_1878
ko:K05995	hiz:R2866_1883
ko:K12940	hiz:R2866_1885
ko:K06946	hiz:R2866_1887
ko:K01156	hiz:R2866_1776
ko:K15035	hiz:R2866_0862
ko:K14226	hiz:R2866_0478
ko:K07213	hiz:R2866_0289
ko:K07213	hiz:R2866_0288
ko:K14227	hiz:R2866_0712
ko:K14227	hiz:R2866_1749
ko:K14227	hiz:R2866_1673
ko:K07286	hiz:R2866_0425
ko:K01613	hiz:R2866_0427
ko:K07040	hiz:R2866_0428
ko:K02911	hiz:R2866_0429
ko:K00648	hiz:R2866_0430
ko:K00645	hiz:R2866_0431
ko:K02078	hiz:R2866_0433
ko:K06133	hiz:R2866_0435
ko:K04088	hiz:R2866_0436
ko:K04087	hiz:R2866_0437
ko:K00885	hiz:R2866_0443
ko:K01443	hiz:R2866_0447
ko:K03977	hiz:R2866_0454
ko:K08159	hiz:R2866_0455
ko:K01494	hiz:R2866_0457
ko:K00876	hiz:R2866_0458
ko:K02012	hiz:R2866_0459
ko:K02011	hiz:R2866_0460
ko:K06901	hiz:R2866_0462
ko:K00995	hiz:R2866_0467
ko:K02558	hiz:R2866_0470
ko:K08304	hiz:R2866_0474
ko:K12297	hiz:R2866_0476
ko:K15580	hiz:R2866_1276
ko:K15581	hiz:R2866_1277
ko:K09824	hiz:R2866_1281
ko:K03978	hiz:R2866_1282
ko:K03274	hiz:R2866_1286
ko:K01805	hiz:R2866_1288
ko:K10543	hiz:R2866_1289
ko:K10545	hiz:R2866_1290
ko:K14155	hiz:R2866_1292
ko:K03315	hiz:R2866_1293
ko:K02529	hiz:R2866_1294
ko:K01738	hiz:R2866_1297
ko:K06203	hiz:R2866_1298
ko:K03528	hiz:R2866_1299
ko:K01972	hiz:R2866_1300
ko:K02199	hiz:R2866_1305
ko:K02198	hiz:R2866_1306
ko:K02197	hiz:R2866_1307
ko:K02196	hiz:R2866_1308
ko:K02195	hiz:R2866_1309
ko:K02194	hiz:R2866_1310
ko:K04564	hiz:R2866_1312
ko:K02065	hiz:R2866_1313
ko:K02066	hiz:R2866_1314
ko:K07323	hiz:R2866_1316
ko:K07122	hiz:R2866_1317
ko:K00790	hiz:R2866_1319
ko:K03495	hiz:R2866_0001
ko:K02992	hiz:R2866_0003
ko:K02358	hiz:R2866_0005
ko:K07237	hiz:R2866_0006
ko:K07236	hiz:R2866_0007
ko:K07235	hiz:R2866_0008
ko:K03745	hiz:R2866_0011
ko:K03777	hiz:R2866_0805
ko:K08681	hiz:R2866_0806
ko:K06215	hiz:R2866_0807
ko:K00945	hiz:R2866_0808
ko:K02945	hiz:R2866_0809
ko:K05788	hiz:R2866_0810
ko:K01591	hiz:R2866_0813
ko:K03113	hiz:R2866_0814
ko:K10763	hiz:R2866_0815
ko:K00761	hiz:R2866_0817
ko:K02343	hiz:R2866_0818
ko:K00759	hiz:R2866_0819
ko:K00382	hiz:R2866_0820
ko:K00627	hiz:R2866_0821
ko:K00163	hiz:R2866_0822
ko:K01734	hiz:R2866_0823
ko:K04043	hiz:R2866_0825
ko:K03686	hiz:R2866_0826
ko:K00147	hiz:R2866_0827
ko:K07552	hiz:R2866_0830
ko:K00029	hiz:R2866_0833
ko:K03702	hiz:R2866_0835
ko:K06957	hiz:R2866_0843
ko:K03723	hiz:R2866_0845
ko:K01963	hiz:R2866_0847
ko:K11754	hiz:R2866_0848
ko:K00641	hiz:R2866_0850
ko:K02469	hiz:R2866_0851
ko:K09136	hiz:R2866_0852
ko:K07270	hiz:R2866_1629
ko:K06211	hiz:R2866_1631
ko:K08306	hiz:R2866_1635
ko:K03575	hiz:R2866_1637
ko:K02909	hiz:R2866_1638
ko:K09798	hiz:R2866_1641
ko:K07270	hiz:R2866_1642
ko:K01952	hiz:R2866_1644
ko:K11065	hiz:R2866_1645
ko:K01778	hiz:R2866_1646
ko:K01356	hiz:R2866_1647
ko:K00631	hiz:R2866_1648
ko:K03885	hiz:R2866_1649
ko:K03071	hiz:R2866_1652
ko:K02337	hiz:R2866_1654
ko:K01754	hiz:R2866_1655
ko:K01687	hiz:R2866_1656
ko:K01652	hiz:R2866_1657
ko:K03308	hiz:R2866_1658
ko:K03269	hiz:R2866_1659
ko:K00655	hiz:R2866_1660
ko:K04744	hiz:R2866_1662
ko:K01881	hiz:R2866_1663
ko:K03654	hiz:R2866_1664
ko:K06202	hiz:R2866_1665
ko:K01586	hiz:R2866_1666
ko:K07685	hiz:R2866_1667
ko:K09894	hiz:R2866_1669
ko:K03273	hiz:R2866_1675
ko:K02071	hiz:R2866_1676
ko:K02072	hiz:R2866_1677
ko:K02073	hiz:R2866_1678
ko:K02444	hiz:R2866_1679
ko:K11211	hiz:R2866_0324
ko:K05809	hiz:R2866_0328
ko:K07287	hiz:R2866_0329
ko:K01714	hiz:R2866_0330
ko:K03564	hiz:R2866_0331
ko:K03561	hiz:R2866_0332
ko:K03832	hiz:R2866_0334
ko:K03701	hiz:R2866_0336
ko:K07568	hiz:R2866_0339
ko:K00773	hiz:R2866_0340
ko:K03210	hiz:R2866_0343
ko:K03072	hiz:R2866_0344
ko:K03074	hiz:R2866_0345
ko:K09890	hiz:R2866_0348
ko:K05592	hiz:R2866_0351
ko:K05803	hiz:R2866_0352
ko:K00962	hiz:R2866_0353
ko:K03311	hiz:R2866_0356
ko:K03313	hiz:R2866_0357
ko:K05786	hiz:R2866_0359
ko:K01951	hiz:R2866_0360
ko:K03524	hiz:R2866_0362
ko:K07648	hiz:R2866_0368
ko:K01153	hiz:R2866_0370
ko:K01154	hiz:R2866_0372
ko:K03427	hiz:R2866_0373
ko:K01414	hiz:R2866_0374
ko:K09790	hiz:R2866_0375
ko:K01595	hiz:R2866_1175
ko:K06918	hiz:R2866_1176
ko:K06173	hiz:R2866_1183
ko:K03841	hiz:R2866_1184
ko:K03303	hiz:R2866_1185
ko:K03673	hiz:R2866_1188
ko:K07462	hiz:R2866_1189
ko:K03981	hiz:R2866_1190
ko:K02836	hiz:R2866_1191
ko:K04567	hiz:R2866_1192
ko:K00024	hiz:R2866_1193
ko:K03402	hiz:R2866_1194
ko:K07071	hiz:R2866_1195
ko:K00764	hiz:R2866_1196
ko:K03558	hiz:R2866_1197
ko:K09899	hiz:R2866_1198
ko:K00925	hiz:R2866_1199
ko:K13788	hiz:R2866_1200
ko:K07320	hiz:R2866_1202
ko:K13634	hiz:R2866_1203
ko:K06178	hiz:R2866_1204
ko:K01902	hiz:R2866_1206
ko:K01903	hiz:R2866_1207
ko:K06968	hiz:R2866_1208
ko:K00826	hiz:R2866_1210
ko:K06920	hiz:R2866_1212
ko:K01737	hiz:R2866_1213
ko:K03657	hiz:R2866_1215
ko:K12369	hiz:R2866_1216
ko:K12370	hiz:R2866_1217
ko:K12371	hiz:R2866_1218
ko:K12372	hiz:R2866_1219
ko:K03271	hiz:R2866_1221
ko:K02379	hiz:R2866_0700
ko:K07042	hiz:R2866_0701
ko:K00134	hiz:R2866_0704
ko:K00942	hiz:R2866_0705
ko:K03060	hiz:R2866_0706
ko:K03655	hiz:R2866_0708
ko:K01776	hiz:R2866_0709
ko:K03576	hiz:R2866_0718
ko:K02837	hiz:R2866_0722
ko:K00208	hiz:R2866_0723
ko:K01147	hiz:R2866_0724
ko:K07160	hiz:R2866_0728
ko:K01940	hiz:R2866_0730
ko:K01923	hiz:R2866_0731
ko:K05365	hiz:R2866_0732
ko:K09910	hiz:R2866_0733
ko:K15724	hiz:R2866_0734
ko:K01265	hiz:R2866_0735
ko:K00990	hiz:R2866_0736
ko:K13288	hiz:R2866_0740
ko:K06949	hiz:R2866_0741
ko:K02168	hiz:R2866_0749
ko:K01255	hiz:R2866_0750
ko:K07091	hiz:R2866_0751
ko:K02013	hiz:R2866_1527
ko:K12573	hiz:R2866_1531
ko:K03218	hiz:R2866_1532
ko:K03695	hiz:R2866_1533
ko:K09888	hiz:R2866_1536
ko:K07226	hiz:R2866_1539
ko:K03753	hiz:R2866_1542
ko:K15984	hiz:R2866_1545
ko:K09897	hiz:R2866_1547
ko:K03673	hiz:R2866_1548
ko:K09896	hiz:R2866_1549
ko:K03752	hiz:R2866_1550
ko:K07014	hiz:R2866_1552
ko:K09904	hiz:R2866_1553
ko:K06899	hiz:R2866_1554
ko:K06186	hiz:R2866_1555
ko:K04568	hiz:R2866_1557
ko:K00246	hiz:R2866_1560
ko:K03814	hiz:R2866_1562
ko:K03720	hiz:R2866_1563
ko:K08309	hiz:R2866_1564
ko:K09780	hiz:R2866_1565
ko:K10806	hiz:R2866_1566
ko:K06190	hiz:R2866_1567
ko:K10542	hiz:R2866_1570
ko:K02529	hiz:R2866_1572
ko:K00965	hiz:R2866_1573
ko:K00849	hiz:R2866_1574
ko:K09895	hiz:R2866_1576
ko:K08218	hiz:R2866_0223
ko:K02568	hiz:R2866_0226
ko:K02573	hiz:R2866_0228
ko:K02567	hiz:R2866_0229
ko:K02570	hiz:R2866_0230
ko:K02572	hiz:R2866_0231
ko:K09923	hiz:R2866_0232
ko:K03439	hiz:R2866_0233
ko:K04066	hiz:R2866_0234
ko:K04751	hiz:R2866_0236
ko:K03831	hiz:R2866_0237
ko:K00901	hiz:R2866_0238
ko:K03215	hiz:R2866_0240
ko:K03584	hiz:R2866_0241
ko:K02356	hiz:R2866_0245
ko:K07084	hiz:R2866_0248
ko:K03683	hiz:R2866_0249
ko:K15256	hiz:R2866_0253
ko:K01876	hiz:R2866_0255
ko:K08310	hiz:R2866_0256
ko:K01159	hiz:R2866_0258
ko:K03550	hiz:R2866_0259
ko:K03551	hiz:R2866_0260
ko:K05820	hiz:R2866_0263
ko:K00286	hiz:R2866_0264
ko:K09968	hiz:R2866_0269
ko:K04773	hiz:R2866_1074
ko:K07862	hiz:R2866_1078
ko:K01626	hiz:R2866_1080
ko:K09808	hiz:R2866_1081
ko:K01935	hiz:R2866_1083
ko:K02169	hiz:R2866_1084
ko:K09789	hiz:R2866_1085
ko:K00833	hiz:R2866_1087
ko:K09808	hiz:R2866_1088
ko:K01627	hiz:R2866_1090
ko:K02493	hiz:R2866_1092
ko:K02835	hiz:R2866_1094
ko:K09906	hiz:R2866_1102
ko:K00873	hiz:R2866_1108
ko:K01775	hiz:R2866_1110
ko:K01810	hiz:R2866_1111
ko:K06077	hiz:R2866_1113
ko:K09907	hiz:R2866_1115
ko:K01887	hiz:R2866_1116
ko:K01653	hiz:R2866_1117
ko:K01652	hiz:R2866_1118
ko:K03630	hiz:R2866_0599
ko:K12055	hiz:R2866_0613
ko:K03778	hiz:R2866_0618
ko:K03671	hiz:R2866_0619
ko:K03424	hiz:R2866_0622
ko:K01883	hiz:R2866_0624
ko:K10805	hiz:R2866_0625
ko:K01295	hiz:R2866_0626
ko:K03687	hiz:R2866_0632
ko:K00858	hiz:R2866_0633
ko:K03631	hiz:R2866_0634
ko:K00982	hiz:R2866_0635
ko:K00791	hiz:R2866_0636
ko:K03572	hiz:R2866_0637
ko:K01448	hiz:R2866_0638
ko:K06925	hiz:R2866_0639
ko:K00950	hiz:R2866_0640
ko:K06204	hiz:R2866_0642
ko:K00912	hiz:R2866_0645
ko:K00979	hiz:R2866_0646
ko:K03703	hiz:R2866_0647
ko:K05501	hiz:R2866_1426
ko:K13038	hiz:R2866_1428
ko:K03630	hiz:R2866_1429
ko:K02902	hiz:R2866_1430
ko:K02913	hiz:R2866_1431
ko:K00836	hiz:R2866_1432
ko:K13745	hiz:R2866_1435
ko:K04691	hiz:R2866_1437
ko:K11752	hiz:R2866_1438
ko:K07738	hiz:R2866_1439
ko:K03583	hiz:R2866_1440
ko:K02681	hiz:R2866_1441
ko:K02680	hiz:R2866_1443
ko:K02679	hiz:R2866_1444
ko:K04016	hiz:R2866_1446
ko:K02199	hiz:R2866_1447
ko:K07007	hiz:R2866_1449
ko:K01689	hiz:R2866_1450
ko:K03781	hiz:R2866_1454
ko:K01878	hiz:R2866_1455
ko:K01879	hiz:R2866_1458
ko:K02340	hiz:R2866_1460
ko:K03643	hiz:R2866_1461
ko:K01869	hiz:R2866_1462
ko:K00806	hiz:R2866_1463
ko:K00981	hiz:R2866_1464
ko:K11749	hiz:R2866_1465
ko:K07277	hiz:R2866_1466
ko:K06142	hiz:R2866_1467
ko:K02536	hiz:R2866_1468
ko:K02357	hiz:R2866_1469
ko:K02967	hiz:R2866_1470
ko:K03070	hiz:R2866_1474
ko:K18828	hiz:R2866_1434
ko:K01875	hiz:R2866_0487
ko:K03106	hiz:R2866_0492
ko:K01153	hiz:R2866_0493
ko:K01154	hiz:R2866_0494
ko:K03655	hiz:R2866_0495
ko:K03427	hiz:R2866_0496
ko:K04079	hiz:R2866_0498
ko:K02011	hiz:R2866_0503
ko:K02012	hiz:R2866_0504
ko:K02647	hiz:R2866_0508
ko:K00865	hiz:R2866_0510
ko:K06997	hiz:R2866_0511
ko:K12524	hiz:R2866_0512
ko:K00872	hiz:R2866_0513
ko:K01733	hiz:R2866_0514
ko:K03811	hiz:R2866_1323
ko:K01937	hiz:R2866_1324
ko:K00425	hiz:R2866_1325
ko:K00426	hiz:R2866_1326
ko:K03578	hiz:R2866_1329
ko:K03385	hiz:R2866_1333
ko:K04013	hiz:R2866_1334
ko:K09903	hiz:R2866_1337
ko:K02372	hiz:R2866_1339
ko:K00677	hiz:R2866_1340
ko:K00748	hiz:R2866_1341
ko:K03470	hiz:R2866_1342
ko:K07306	hiz:R2866_1351
ko:K07133	hiz:R2866_1358
ko:K02221	hiz:R2866_1360
ko:K03284	hiz:R2866_1361
ko:K09767	hiz:R2866_1362
ko:K01079	hiz:R2866_1363
ko:K00615	hiz:R2866_1364
ko:K01012	hiz:R2866_1365
ko:K02063	hiz:R2866_1367
ko:K02064	hiz:R2866_1368
ko:K02440	hiz:R2866_1369
ko:K04761	hiz:R2866_0013
ko:K04760	hiz:R2866_0015
ko:K06959	hiz:R2866_0016
ko:K02470	hiz:R2866_0017
ko:K01783	hiz:R2866_0018
ko:K01091	hiz:R2866_0019
ko:K01914	hiz:R2866_0020
ko:K04762	hiz:R2866_0022
ko:K00036	hiz:R2866_0026
ko:K01057	hiz:R2866_0027
ko:K07270	hiz:R2866_0033
ko:K02528	hiz:R2866_0034
ko:K02518	hiz:R2866_0035
ko:K02990	hiz:R2866_0036
ko:K02686	hiz:R2866_0037
ko:K02963	hiz:R2866_0038
ko:K02939	hiz:R2866_0039
ko:K04077	hiz:R2866_0040
ko:K04078	hiz:R2866_0041
ko:K01744	hiz:R2866_0044
ko:K03086	hiz:R2866_0045
ko:K02970	hiz:R2866_0047
ko:K03834	hiz:R2866_0050
ko:K00927	hiz:R2866_0053
ko:K01624	hiz:R2866_0054
ko:K02867	hiz:R2866_0061
ko:K02863	hiz:R2866_0062
ko:K03043	hiz:R2866_0063
ko:K03046	hiz:R2866_0064
ko:K03304	hiz:R2866_0065
ko:K01874	hiz:R2866_0858
ko:K09748	hiz:R2866_0864
ko:K02600	hiz:R2866_0865
ko:K02519	hiz:R2866_0866
ko:K01153	hiz:R2866_0867
ko:K01154	hiz:R2866_0869
ko:K02834	hiz:R2866_0871
ko:K14187	hiz:R2866_0873
ko:K06879	hiz:R2866_0874
ko:K02426	hiz:R2866_0876
ko:K01766	hiz:R2866_0877
ko:K01129	hiz:R2866_0881
ko:K15738	hiz:R2866_0882
ko:K01673	hiz:R2866_0883
ko:K01893	hiz:R2866_0884
ko:K00794	hiz:R2866_0885
ko:K03625	hiz:R2866_0886
ko:K00946	hiz:R2866_0887
ko:K01095	hiz:R2866_0888
ko:K00215	hiz:R2866_0890
ko:K11107	hiz:R2866_0891
ko:K01889	hiz:R2866_0893
ko:K01890	hiz:R2866_0894
ko:K04764	hiz:R2866_0895
ko:K12410	hiz:R2866_0899
ko:K01792	hiz:R2866_0908
ko:K02520	hiz:R2866_0909
ko:K02916	hiz:R2866_0910
ko:K02887	hiz:R2866_0911
ko:K03580	hiz:R2866_1682
ko:K02430	hiz:R2866_1683
ko:K01818	hiz:R2866_1684
ko:K02431	hiz:R2866_1686
ko:K01628	hiz:R2866_1687
ko:K02429	hiz:R2866_1688
ko:K01491	hiz:R2866_1691
ko:K14445	hiz:R2866_1692
ko:K00014	hiz:R2866_1693
ko:K00640	hiz:R2866_1694
ko:K00057	hiz:R2866_1695
ko:K05851	hiz:R2866_1696
ko:K02496	hiz:R2866_1697
ko:K02498	hiz:R2866_1698
ko:K01735	hiz:R2866_0380
ko:K00891	hiz:R2866_0381
ko:K02959	hiz:R2866_0384
ko:K02860	hiz:R2866_0385
ko:K00554	hiz:R2866_0386
ko:K02884	hiz:R2866_0387
ko:K01008	hiz:R2866_0388
ko:K02560	hiz:R2866_0389
ko:K07090	hiz:R2866_0390
ko:K07261	hiz:R2866_0391
ko:K01736	hiz:R2866_0392
ko:K05802	hiz:R2866_0393
ko:K01911	hiz:R2866_0394
ko:K03645	hiz:R2866_0395
ko:K03839	hiz:R2866_0397
ko:K00262	hiz:R2866_0399
ko:K03118	hiz:R2866_0400
ko:K03117	hiz:R2866_0401
ko:K03116	hiz:R2866_0402
ko:K01070	hiz:R2866_0405
ko:K03310	hiz:R2866_0406
ko:K00656	hiz:R2866_0409
ko:K04069	hiz:R2866_0410
ko:K05807	hiz:R2866_0412
ko:K06180	hiz:R2866_0413
ko:K05810	hiz:R2866_0414
ko:K00566	hiz:R2866_0415
ko:K05952	hiz:R2866_0416
ko:K03734	hiz:R2866_0417
ko:K00351	hiz:R2866_0418
ko:K00350	hiz:R2866_0419
ko:K00349	hiz:R2866_0420
ko:K00348	hiz:R2866_0421
ko:K00347	hiz:R2866_0422
ko:K00346	hiz:R2866_0423
ko:K05527	hiz:R2866_0424
ko:K09997	hiz:R2866_1223
ko:K09999	hiz:R2866_1224
ko:K02742	hiz:R2866_1228
ko:K00789	hiz:R2866_1229
ko:K01665	hiz:R2866_1231
ko:K09802	hiz:R2866_1233
ko:K00831	hiz:R2866_1234
ko:K00817	hiz:R2866_1235
ko:K07390	hiz:R2866_1236
ko:K01772	hiz:R2866_1240
ko:K05838	hiz:R2866_1241
ko:K00384	hiz:R2866_1242
ko:K06956	hiz:R2866_1247
ko:K00760	hiz:R2866_1248
ko:K03592	hiz:R2866_1249
ko:K09889	hiz:R2866_1250
ko:K11719	hiz:R2866_1251
ko:K09774	hiz:R2866_1252
ko:K06861	hiz:R2866_1253
ko:K06958	hiz:R2866_1255
ko:K14170	hiz:R2866_1256
ko:K02535	hiz:R2866_1257
ko:K03531	hiz:R2866_1258
ko:K03590	hiz:R2866_1259
ko:K03589	hiz:R2866_1260
ko:K01921	hiz:R2866_1261
ko:K01924	hiz:R2866_1262
ko:K02563	hiz:R2866_1263
ko:K03588	hiz:R2866_1264
ko:K01925	hiz:R2866_1265
ko:K01000	hiz:R2866_1266
ko:K01929	hiz:R2866_1267
ko:K01928	hiz:R2866_1268
ko:K03587	hiz:R2866_1269
ko:K03586	hiz:R2866_1270
ko:K03438	hiz:R2866_1271
ko:K03925	hiz:R2866_1272
ko:K11720	hiz:R2866_0752
ko:K00549	hiz:R2866_0753
ko:K07270	hiz:R2866_0758
ko:K02019	hiz:R2866_0761
ko:K02020	hiz:R2866_0762
ko:K02018	hiz:R2866_0763
ko:K03308	hiz:R2866_0765
ko:K10773	hiz:R2866_0766
ko:K03270	hiz:R2866_0776
ko:K06041	hiz:R2866_0777
ko:K07322	hiz:R2866_0779
ko:K03639	hiz:R2866_0780
ko:K03637	hiz:R2866_0781
ko:K03636	hiz:R2866_0782
ko:K03808	hiz:R2866_0785
ko:K03607	hiz:R2866_0786
ko:K03797	hiz:R2866_0787
ko:K03424	hiz:R2866_0790
ko:K00164	hiz:R2866_0792
ko:K00658	hiz:R2866_0793
ko:K03271	hiz:R2866_0797
ko:K07460	hiz:R2866_0798
ko:K07121	hiz:R2866_0799
ko:K07056	hiz:R2866_0800
ko:K03568	hiz:R2866_0801
ko:K13694	hiz:R2866_0802
ko:K01872	hiz:R2866_1579
ko:K03563	hiz:R2866_1580
ko:K00963	hiz:R2866_1581
ko:K01755	hiz:R2866_1582
ko:K04083	hiz:R2866_1583
ko:K01610	hiz:R2866_1584
ko:K02838	hiz:R2866_1585
ko:K00099	hiz:R2866_1586
ko:K07090	hiz:R2866_1587
ko:K06871	hiz:R2866_1588
ko:K02879	hiz:R2866_1590
ko:K03040	hiz:R2866_1591
ko:K02986	hiz:R2866_1592
ko:K02948	hiz:R2866_1593
ko:K02952	hiz:R2866_1594
ko:K02919	hiz:R2866_1595
ko:K03076	hiz:R2866_1596
ko:K02876	hiz:R2866_1597
ko:K02907	hiz:R2866_1598
ko:K02988	hiz:R2866_1599
ko:K02881	hiz:R2866_1600
ko:K02933	hiz:R2866_1601
ko:K02994	hiz:R2866_1602
ko:K02954	hiz:R2866_1603
ko:K02931	hiz:R2866_1604
ko:K02895	hiz:R2866_1605
ko:K02874	hiz:R2866_1606
ko:K02961	hiz:R2866_1608
ko:K02904	hiz:R2866_1609
ko:K02878	hiz:R2866_1610
ko:K02982	hiz:R2866_1611
ko:K02890	hiz:R2866_1612
ko:K02965	hiz:R2866_1613
ko:K02886	hiz:R2866_1614
ko:K02892	hiz:R2866_1615
ko:K02926	hiz:R2866_1616
ko:K02906	hiz:R2866_1617
ko:K02946	hiz:R2866_1618
ko:K01034	hiz:R2866_1620
ko:K02106	hiz:R2866_1622
ko:K09811	hiz:R2866_1624
ko:K09812	hiz:R2866_1625
ko:K03110	hiz:R2866_1626
ko:K03216	hiz:R2866_1628
ko:K03554	hiz:R2866_0273
ko:K07447	hiz:R2866_0274
ko:K07735	hiz:R2866_0275
ko:K09761	hiz:R2866_0276
