ko:K15039	siy:YG5714_1494
ko:K03116	siy:YG5714_1715
ko:K07739	siy:YG5714_1717
ko:K09744	siy:YG5714_1721
ko:K06915	siy:YG5714_1727
ko:K06994	siy:YG5714_1730
ko:K03593	siy:YG5714_1737
ko:K06878	siy:YG5714_1511
ko:K06943	siy:YG5714_1512
ko:K01591	siy:YG5714_1520
ko:K00762	siy:YG5714_1521
ko:K00609	siy:YG5714_1522
ko:K00610	siy:YG5714_1523
ko:K01465	siy:YG5714_1525
ko:K01940	siy:YG5714_1500
ko:K01933	siy:YG5714_1503
ko:K01945	siy:YG5714_1504
ko:K00764	siy:YG5714_1505
ko:K00764	siy:YG5714_1506
ko:K01952	siy:YG5714_1507
ko:K01952	siy:YG5714_1508
ko:K01923	siy:YG5714_1510
ko:K01867	siy:YG5714_1744
ko:K00817	siy:YG5714_1749
ko:K06966	siy:YG5714_0446
ko:K01507	siy:YG5714_0187
ko:K07023	siy:YG5714_0188
ko:K06982	siy:YG5714_0193
ko:K09722	siy:YG5714_0194
ko:K00606	siy:YG5714_0195
ko:K01649	siy:YG5714_0204
ko:K07142	siy:YG5714_0205
ko:K01737	siy:YG5714_0210
ko:K00384	siy:YG5714_0213
ko:K01092	siy:YG5714_0214
ko:K07101	siy:YG5714_0218
ko:K01848	siy:YG5714_0219
ko:K06874	siy:YG5714_0222
ko:K03231	siy:YG5714_0223
ko:K07141	siy:YG5714_0226
ko:K03518	siy:YG5714_0227
ko:K03519	siy:YG5714_0228
ko:K01915	siy:YG5714_0235
ko:K02873	siy:YG5714_0237
ko:K01974	siy:YG5714_0238
ko:K00852	siy:YG5714_0241
ko:K03307	siy:YG5714_0269
ko:K01902	siy:YG5714_0277
ko:K02975	siy:YG5714_1799
ko:K03170	siy:YG5714_1801
ko:K09735	siy:YG5714_1804
ko:K03050	siy:YG5714_1805
ko:K06953	siy:YG5714_1259
ko:K03120	siy:YG5714_1260
ko:K08975	siy:YG5714_1263
ko:K03124	siy:YG5714_1266
ko:K00555	siy:YG5714_1268
ko:K07728	siy:YG5714_1269
ko:K04795	siy:YG5714_1271
ko:K02983	siy:YG5714_1273
ko:K09482	siy:YG5714_1274
ko:K03330	siy:YG5714_1275
ko:K07108	siy:YG5714_1277
ko:K00525	siy:YG5714_1278
ko:K09014	siy:YG5714_1290
ko:K09013	siy:YG5714_1291
ko:K06869	siy:YG5714_1294
ko:K02437	siy:YG5714_1295
ko:K00605	siy:YG5714_1296
ko:K00282	siy:YG5714_1297
ko:K00283	siy:YG5714_1298
ko:K01689	siy:YG5714_1302
ko:K03168	siy:YG5714_1307
ko:K01873	siy:YG5714_1318
ko:K00812	siy:YG5714_1319
ko:K01609	siy:YG5714_1320
ko:K01658	siy:YG5714_1321
ko:K01657	siy:YG5714_1322
ko:K01817	siy:YG5714_1323
ko:K00766	siy:YG5714_1324
ko:K01695	siy:YG5714_1325
ko:K01512	siy:YG5714_1327
ko:K01858	siy:YG5714_1328
ko:K01007	siy:YG5714_1330
ko:K03182	siy:YG5714_1333
ko:K01733	siy:YG5714_1334
ko:K00928	siy:YG5714_1335
ko:K00133	siy:YG5714_1336
ko:K01887	siy:YG5714_1351
ko:K09721	siy:YG5714_1352
ko:K00943	siy:YG5714_1354
ko:K10726	siy:YG5714_1361
ko:K03637	siy:YG5714_1366
ko:K04800	siy:YG5714_1367
ko:K04801	siy:YG5714_1368
ko:K06910	siy:YG5714_1369
ko:K03433	siy:YG5714_1370
ko:K02433	siy:YG5714_1371
ko:K07041	siy:YG5714_1375
ko:K02922	siy:YG5714_1379
ko:K00797	siy:YG5714_1380
ko:K01251	siy:YG5714_1381
ko:K02889	siy:YG5714_1385
ko:K03051	siy:YG5714_1386
ko:K07572	siy:YG5714_1387
ko:K02528	siy:YG5714_1388
ko:K02984	siy:YG5714_1391
ko:K04042	siy:YG5714_1392
ko:K06942	siy:YG5714_1393
ko:K02877	siy:YG5714_1394
ko:K07581	siy:YG5714_1395
ko:K00226	siy:YG5714_1526
ko:K05595	siy:YG5714_1529
ko:K01875	siy:YG5714_1534
ko:K01496	siy:YG5714_1536
ko:K02501	siy:YG5714_1537
ko:K01523	siy:YG5714_1538
ko:K00013	siy:YG5714_1539
ko:K02500	siy:YG5714_1540
ko:K01693	siy:YG5714_1541
ko:K01814	siy:YG5714_1542
ko:K00765	siy:YG5714_1543
ko:K00817	siy:YG5714_1544
ko:K01869	siy:YG5714_1546
ko:K09732	siy:YG5714_1549
ko:K01611	siy:YG5714_1550
ko:K01652	siy:YG5714_1557
ko:K00053	siy:YG5714_1559
ko:K03552	siy:YG5714_1560
ko:K06865	siy:YG5714_1561
ko:K07575	siy:YG5714_2254
ko:K02227	siy:YG5714_2258
ko:K02233	siy:YG5714_2259
ko:K02232	siy:YG5714_2260
ko:K01951	siy:YG5714_2261
ko:K03799	siy:YG5714_2262
ko:K00681	siy:YG5714_2270
ko:K01652	siy:YG5714_2277
ko:K03281	siy:YG5714_2285
ko:K07301	siy:YG5714_2292
ko:K11473	siy:YG5714_2337
ko:K03800	siy:YG5714_2338
ko:K03644	siy:YG5714_2339
ko:K03800	siy:YG5714_2341
ko:K03809	siy:YG5714_2342
ko:K03885	siy:YG5714_2351
ko:K08369	siy:YG5714_2356
ko:K00782	siy:YG5714_2370
ko:K06885	siy:YG5714_2373
ko:K07731	siy:YG5714_1834
ko:K03626	siy:YG5714_1835
ko:K07577	siy:YG5714_1836
ko:K00869	siy:YG5714_1838
ko:K00820	siy:YG5714_1839
ko:K00973	siy:YG5714_1840
ko:K00798	siy:YG5714_1843
ko:K04763	siy:YG5714_1845
ko:K03500	siy:YG5714_1848
ko:K03671	siy:YG5714_1851
ko:K01915	siy:YG5714_1853
ko:K01495	siy:YG5714_1855
ko:K03639	siy:YG5714_1857
ko:K01738	siy:YG5714_1861
ko:K09157	siy:YG5714_1864
ko:K00763	siy:YG5714_1866
ko:K02966	siy:YG5714_1867
ko:K06875	siy:YG5714_1868
ko:K02924	siy:YG5714_1869
ko:K02910	siy:YG5714_1870
ko:K03264	siy:YG5714_1871
ko:K02944	siy:YG5714_1872
ko:K04797	siy:YG5714_1873
ko:K03110	siy:YG5714_1874
ko:K02601	siy:YG5714_1876
ko:K02867	siy:YG5714_1877
ko:K02863	siy:YG5714_1878
ko:K02864	siy:YG5714_1879
ko:K02869	siy:YG5714_1880
ko:K01872	siy:YG5714_1881
ko:K03151	siy:YG5714_1886
ko:K01858	siy:YG5714_1887
ko:K00343	siy:YG5714_1888
ko:K00339	siy:YG5714_1891
ko:K00338	siy:YG5714_1892
ko:K00337	siy:YG5714_1893
ko:K00333	siy:YG5714_1894
ko:K00332	siy:YG5714_1895
ko:K00330	siy:YG5714_1896
ko:K03465	siy:YG5714_1897
ko:K04564	siy:YG5714_1902
ko:K03785	siy:YG5714_1909
ko:K00800	siy:YG5714_1910
ko:K00891	siy:YG5714_1911
ko:K01736	siy:YG5714_1912
ko:K00014	siy:YG5714_1913
ko:K01735	siy:YG5714_1914
ko:K03856	siy:YG5714_1915
ko:K00615	siy:YG5714_1917
ko:K00615	siy:YG5714_1918
ko:K02866	siy:YG5714_1923
ko:K07561	siy:YG5714_1924
ko:K07573	siy:YG5714_1925
ko:K03056	siy:YG5714_1926
ko:K06174	siy:YG5714_1930
ko:K02962	siy:YG5714_1932
ko:K06915	siy:YG5714_1935
ko:K01892	siy:YG5714_1939
ko:K03433	siy:YG5714_1940
ko:K06869	siy:YG5714_1944
ko:K03420	siy:YG5714_1946
ko:K03627	siy:YG5714_1947
ko:K03665	siy:YG5714_1948
ko:K07254	siy:YG5714_1949
ko:K00558	siy:YG5714_1951
ko:K06932	siy:YG5714_1958
ko:K09120	siy:YG5714_1960
ko:K00952	siy:YG5714_1961
ko:K05873	siy:YG5714_1963
ko:K04483	siy:YG5714_1966
ko:K01754	siy:YG5714_1968
ko:K07137	siy:YG5714_1971
ko:K01939	siy:YG5714_1972
ko:K06863	siy:YG5714_1973
ko:K06863	siy:YG5714_1974
ko:K01756	siy:YG5714_1975
ko:K00946	siy:YG5714_1976
ko:K06937	siy:YG5714_1977
ko:K02434	siy:YG5714_1980
ko:K00761	siy:YG5714_1981
ko:K02979	siy:YG5714_1982
ko:K02896	siy:YG5714_1983
ko:K00940	siy:YG5714_1984
ko:K03243	siy:YG5714_1985
ko:K03053	siy:YG5714_1986
ko:K03041	siy:YG5714_1988
ko:K03042	siy:YG5714_1989
ko:K02908	siy:YG5714_1990
ko:K02600	siy:YG5714_1991
ko:K02950	siy:YG5714_1992
ko:K02992	siy:YG5714_1994
ko:K03231	siy:YG5714_1995
ko:K02946	siy:YG5714_1996
ko:K03789	siy:YG5714_2001
ko:K06206	siy:YG5714_2034
ko:K08093	siy:YG5714_2053
ko:K01937	siy:YG5714_2054
ko:K00789	siy:YG5714_2057
ko:K03432	siy:YG5714_1398
ko:K11600	siy:YG5714_1401
ko:K02921	siy:YG5714_1403
ko:K04798	siy:YG5714_1406
ko:K09154	siy:YG5714_1411
ko:K00052	siy:YG5714_1412
ko:K01870	siy:YG5714_1413
ko:K09142	siy:YG5714_1414
ko:K02906	siy:YG5714_1415
ko:K02930	siy:YG5714_1416
ko:K02892	siy:YG5714_1417
ko:K02886	siy:YG5714_1418
ko:K02965	siy:YG5714_1419
ko:K02890	siy:YG5714_1420
ko:K02982	siy:YG5714_1421
ko:K02904	siy:YG5714_1422
ko:K02961	siy:YG5714_1424
ko:K02874	siy:YG5714_1425
ko:K02895	siy:YG5714_1426
ko:K02987	siy:YG5714_1427
ko:K02931	siy:YG5714_1428
ko:K09150	siy:YG5714_2058
ko:K07179	siy:YG5714_2059
ko:K09122	siy:YG5714_2062
ko:K09141	siy:YG5714_2063
ko:K01494	siy:YG5714_2066
ko:K10747	siy:YG5714_2067
ko:K01719	siy:YG5714_2073
ko:K01749	siy:YG5714_2074
ko:K01845	siy:YG5714_2075
ko:K01698	siy:YG5714_2076
ko:K02492	siy:YG5714_2077
ko:K04799	siy:YG5714_2079
ko:K03232	siy:YG5714_2082
ko:K07580	siy:YG5714_2083
ko:K04794	siy:YG5714_2084
ko:K06176	siy:YG5714_2085
ko:K02927	siy:YG5714_2088
ko:K03105	siy:YG5714_2098
ko:K02995	siy:YG5714_2099
ko:K05827	siy:YG5714_2103
ko:K06915	siy:YG5714_2109
ko:K02954	siy:YG5714_1429
ko:K02994	siy:YG5714_1430
ko:K02933	siy:YG5714_1431
ko:K02912	siy:YG5714_1432
ko:K02885	siy:YG5714_1433
ko:K02881	siy:YG5714_1434
ko:K02988	siy:YG5714_1435
ko:K02907	siy:YG5714_1436
ko:K02876	siy:YG5714_1437
ko:K03076	siy:YG5714_1438
ko:K00939	siy:YG5714_1439
ko:K02915	siy:YG5714_1441
ko:K00945	siy:YG5714_1442
ko:K06974	siy:YG5714_1446
ko:K01710	siy:YG5714_0664
ko:K00973	siy:YG5714_0665
ko:K00067	siy:YG5714_0666
ko:K01790	siy:YG5714_0667
ko:K00261	siy:YG5714_0687
ko:K03147	siy:YG5714_0702
ko:K00053	siy:YG5714_0707
ko:K01895	siy:YG5714_0775
ko:K00451	siy:YG5714_0786
ko:K00627	siy:YG5714_0799
ko:K00382	siy:YG5714_0803
ko:K00626	siy:YG5714_0817
ko:K01895	siy:YG5714_0831
ko:K02616	siy:YG5714_0833
ko:K07161	siy:YG5714_0846
ko:K03518	siy:YG5714_0849
ko:K03519	siy:YG5714_0850
ko:K07402	siy:YG5714_0851
ko:K01494	siy:YG5714_0856
ko:K07402	siy:YG5714_0878
ko:K02319	siy:YG5714_0886
ko:K03183	siy:YG5714_0906
ko:K03799	siy:YG5714_0911
ko:K03183	siy:YG5714_0939
ko:K02003	siy:YG5714_0952
ko:K06920	siy:YG5714_0963
ko:K02616	siy:YG5714_0973
ko:K01895	siy:YG5714_0994
ko:K00261	siy:YG5714_0997
ko:K00483	siy:YG5714_1009
ko:K01895	siy:YG5714_1014
ko:K00626	siy:YG5714_1016
ko:K00626	siy:YG5714_1017
ko:K03552	siy:YG5714_1049
ko:K07301	siy:YG5714_1051
ko:K03592	siy:YG5714_1069
ko:K03568	siy:YG5714_1070
ko:K01478	siy:YG5714_1075
ko:K03389	siy:YG5714_1092
ko:K03390	siy:YG5714_1093
ko:K03388	siy:YG5714_1095
ko:K03389	siy:YG5714_1096
ko:K03390	siy:YG5714_1097
ko:K00382	siy:YG5714_1101
ko:K01012	siy:YG5714_1108
ko:K03800	siy:YG5714_1110
ko:K06929	siy:YG5714_1111
ko:K01681	siy:YG5714_1127
ko:K01040	siy:YG5714_1136
ko:K01039	siy:YG5714_1137
ko:K02003	siy:YG5714_1141
ko:K01679	siy:YG5714_1142
ko:K02019	siy:YG5714_1148
ko:K01589	siy:YG5714_1149
ko:K01588	siy:YG5714_1150
ko:K02437	siy:YG5714_1154
ko:K03320	siy:YG5714_1161
ko:K07151	siy:YG5714_1163
ko:K03237	siy:YG5714_1165
ko:K02978	siy:YG5714_1166
ko:K02929	siy:YG5714_1167
ko:K02683	siy:YG5714_1169
ko:K04802	siy:YG5714_1170
ko:K06883	siy:YG5714_1171
ko:K00948	siy:YG5714_1172
ko:K07446	siy:YG5714_1173
ko:K00784	siy:YG5714_1174
ko:K09736	siy:YG5714_1175
ko:K01975	siy:YG5714_1177
ko:K07558	siy:YG5714_1178
ko:K07124	siy:YG5714_1187
ko:K00123	siy:YG5714_1188
ko:K03424	siy:YG5714_1189
ko:K12140	siy:YG5714_1192
ko:K12141	siy:YG5714_1193
ko:K07241	siy:YG5714_1199
ko:K00156	siy:YG5714_1200
ko:K03885	siy:YG5714_1201
ko:K01439	siy:YG5714_1204
ko:K03517	siy:YG5714_1211
ko:K00278	siy:YG5714_1212
ko:K00767	siy:YG5714_1213
ko:K00873	siy:YG5714_1227
ko:K00389	siy:YG5714_1228
ko:K01807	siy:YG5714_1229
ko:K01649	siy:YG5714_1230
ko:K09903	siy:YG5714_1232
ko:K00059	siy:YG5714_1234
ko:K03106	siy:YG5714_1237
ko:K03263	siy:YG5714_1238
ko:K03167	siy:YG5714_1240
ko:K00809	siy:YG5714_1241
ko:K03724	siy:YG5714_1244
ko:K03170	siy:YG5714_1246
ko:K03622	siy:YG5714_1247
ko:K02435	siy:YG5714_1253
ko:K02433	siy:YG5714_1254
ko:K07732	siy:YG5714_1256
ko:K07048	siy:YG5714_0315
ko:K00111	siy:YG5714_0318
ko:K03307	siy:YG5714_0346
ko:K04561	siy:YG5714_0509
ko:K06871	siy:YG5714_0514
ko:K06915	siy:YG5714_0531
ko:K01439	siy:YG5714_0533
ko:K06915	siy:YG5714_0065
ko:K03564	siy:YG5714_0068
ko:K07588	siy:YG5714_0077
ko:K01849	siy:YG5714_0078
ko:K07090	siy:YG5714_0084
ko:K01714	siy:YG5714_0086
ko:K00059	siy:YG5714_0088
ko:K01883	siy:YG5714_0093
ko:K06915	siy:YG5714_0098
ko:K00059	siy:YG5714_0102
ko:K01142	siy:YG5714_0103
ko:K07107	siy:YG5714_0107
ko:K03399	siy:YG5714_0108
ko:K02189	siy:YG5714_0109
ko:K05936	siy:YG5714_0110
ko:K02188	siy:YG5714_0113
ko:K06042	siy:YG5714_0115
ko:K03303	siy:YG5714_0358
ko:K00171	siy:YG5714_0360
ko:K00169	siy:YG5714_0361
ko:K00170	siy:YG5714_0362
ko:K00943	siy:YG5714_0369
ko:K00943	siy:YG5714_0370
ko:K08296	siy:YG5714_0372
ko:K00170	siy:YG5714_0373
ko:K00169	siy:YG5714_0374
ko:K00171	siy:YG5714_0375
ko:K00172	siy:YG5714_0376
ko:K01652	siy:YG5714_0387
ko:K06911	siy:YG5714_0389
ko:K01596	siy:YG5714_0393
ko:K09384	siy:YG5714_0556
ko:K03609	siy:YG5714_0136
ko:K03265	siy:YG5714_0142
ko:K07101	siy:YG5714_0143
ko:K00772	siy:YG5714_0144
ko:K05844	siy:YG5714_0147
ko:K03718	siy:YG5714_0148
ko:K08979	siy:YG5714_0156
ko:K01101	siy:YG5714_0158
ko:K00239	siy:YG5714_0159
ko:K00240	siy:YG5714_0160
ko:K00241	siy:YG5714_0161
ko:K03924	siy:YG5714_0164
ko:K07466	siy:YG5714_0165
ko:K03750	siy:YG5714_0167
ko:K00872	siy:YG5714_0168
ko:K06961	siy:YG5714_0174
ko:K07178	siy:YG5714_0175
ko:K03236	siy:YG5714_0176
ko:K00626	siy:YG5714_0177
ko:K03238	siy:YG5714_0179
ko:K09148	siy:YG5714_0180
ko:K07562	siy:YG5714_0181
ko:K03470	siy:YG5714_0182
ko:K00688	siy:YG5714_0394
ko:K00294	siy:YG5714_0396
ko:K01236	siy:YG5714_0404
ko:K01644	siy:YG5714_0436
ko:K07241	siy:YG5714_0440
ko:K01903	siy:YG5714_0278
ko:K07457	siy:YG5714_0279
ko:K01868	siy:YG5714_0281
ko:K00567	siy:YG5714_0282
ko:K00626	siy:YG5714_0290
ko:K00526	siy:YG5714_0292
ko:K00059	siy:YG5714_0293
ko:K01951	siy:YG5714_0243
ko:K05982	siy:YG5714_0246
ko:K09003	siy:YG5714_0250
ko:K03726	siy:YG5714_0254
ko:K02050	siy:YG5714_0258
ko:K02049	siy:YG5714_0259
ko:K01704	siy:YG5714_0261
ko:K01703	siy:YG5714_0262
ko:K01669	siy:YG5714_0263
ko:K00820	siy:YG5714_0450
ko:K02035	siy:YG5714_0455
ko:K02032	siy:YG5714_0461
ko:K02031	siy:YG5714_0462
ko:K02034	siy:YG5714_0463
ko:K02033	siy:YG5714_0464
ko:K01304	siy:YG5714_0482
ko:K07095	siy:YG5714_0484
ko:K02440	siy:YG5714_0487
ko:K00864	siy:YG5714_0488
ko:K01724	siy:YG5714_0005
ko:K06915	siy:YG5714_0017
ko:K06888	siy:YG5714_0021
ko:K07503	siy:YG5714_0025
ko:K01895	siy:YG5714_0033
ko:K07060	siy:YG5714_0034
ko:K00858	siy:YG5714_0035
ko:K07055	siy:YG5714_0039
ko:K09738	siy:YG5714_0040
ko:K07574	siy:YG5714_0041
ko:K03671	siy:YG5714_0050
ko:K09716	siy:YG5714_0052
ko:K09825	siy:YG5714_0058
ko:K03546	siy:YG5714_0063
ko:K00384	siy:YG5714_2720
ko:K03521	siy:YG5714_2722
ko:K03522	siy:YG5714_2723
ko:K00172	siy:YG5714_2728
ko:K00171	siy:YG5714_2729
ko:K00169	siy:YG5714_2730
ko:K00170	siy:YG5714_2731
ko:K00162	siy:YG5714_2705
ko:K00313	siy:YG5714_2710
ko:K01151	siy:YG5714_2952
ko:K07743	siy:YG5714_2956
ko:K00067	siy:YG5714_2957
ko:K01480	siy:YG5714_2758
ko:K00836	siy:YG5714_2761
ko:K00031	siy:YG5714_2980
ko:K01494	siy:YG5714_2544
ko:K07090	siy:YG5714_2561
ko:K00958	siy:YG5714_2563
ko:K00390	siy:YG5714_2564
ko:K00381	siy:YG5714_2565
ko:K07402	siy:YG5714_2582
ko:K00626	siy:YG5714_2586
ko:K00074	siy:YG5714_2588
ko:K00027	siy:YG5714_2590
ko:K06016	siy:YG5714_2766
ko:K06940	siy:YG5714_2775
ko:K00772	siy:YG5714_2779
ko:K06137	siy:YG5714_2788
ko:K01443	siy:YG5714_2813
ko:K02032	siy:YG5714_2814
ko:K02031	siy:YG5714_2815
ko:K02034	siy:YG5714_2816
ko:K02035	siy:YG5714_2819
ko:K02033	siy:YG5714_2820
ko:K03799	siy:YG5714_2793
ko:K01710	siy:YG5714_0571
ko:K00973	siy:YG5714_0572
ko:K00067	siy:YG5714_0573
ko:K01637	siy:YG5714_0575
ko:K01638	siy:YG5714_0576
ko:K01895	siy:YG5714_0584
ko:K03564	siy:YG5714_0594
ko:K01895	siy:YG5714_0595
ko:K00180	siy:YG5714_0596
ko:K00179	siy:YG5714_0597
ko:K07034	siy:YG5714_2595
ko:K01895	siy:YG5714_2596
ko:K01999	siy:YG5714_2608
ko:K01995	siy:YG5714_2609
ko:K01996	siy:YG5714_2610
ko:K01997	siy:YG5714_2611
ko:K01998	siy:YG5714_2612
ko:K00123	siy:YG5714_2625
ko:K02379	siy:YG5714_2627
ko:K01912	siy:YG5714_2861
ko:K00626	siy:YG5714_2863
ko:K02033	siy:YG5714_2873
ko:K02034	siy:YG5714_2874
ko:K02031	siy:YG5714_2875
ko:K02032	siy:YG5714_2876
ko:K01206	siy:YG5714_2440
ko:K02035	siy:YG5714_2442
ko:K02033	siy:YG5714_2447
ko:K02034	siy:YG5714_2448
ko:K02031	siy:YG5714_2449
ko:K02032	siy:YG5714_2450
ko:K02035	siy:YG5714_2451
ko:K01195	siy:YG5714_2459
ko:K01714	siy:YG5714_2460
ko:K00313	siy:YG5714_2642
ko:K00175	siy:YG5714_2644
ko:K00174	siy:YG5714_2645
ko:K00573	siy:YG5714_2892
ko:K03707	siy:YG5714_2893
ko:K01803	siy:YG5714_2898
ko:K06153	siy:YG5714_2690
ko:K01647	siy:YG5714_2901
ko:K01720	siy:YG5714_2904
ko:K06206	siy:YG5714_2917
ko:K04719	siy:YG5714_2923
ko:K00382	siy:YG5714_2924
ko:K01915	siy:YG5714_2928
ko:K00074	siy:YG5714_2501
ko:K01597	siy:YG5714_2509
ko:K00938	siy:YG5714_2510
ko:K02035	siy:YG5714_2538
ko:K02033	siy:YG5714_2539
ko:K02034	siy:YG5714_2540
ko:K02031	siy:YG5714_2541
ko:K02032	siy:YG5714_2542
ko:K03124	siy:YG5714_1775
ko:K03113	siy:YG5714_1776
ko:K01480	siy:YG5714_1778
ko:K01880	siy:YG5714_1779
ko:K03186	siy:YG5714_1785
ko:K02974	siy:YG5714_1787
ko:K02977	siy:YG5714_1788
ko:K07442	siy:YG5714_1796
ko:K01649	siy:YG5714_2124
ko:K03179	siy:YG5714_2125
ko:K03500	siy:YG5714_2129
ko:K10773	siy:YG5714_2136
ko:K03724	siy:YG5714_2139
ko:K07744	siy:YG5714_2141
ko:K01890	siy:YG5714_2149
ko:K01889	siy:YG5714_2150
ko:K01265	siy:YG5714_2152
ko:K06885	siy:YG5714_2155
ko:K01885	siy:YG5714_2157
ko:K02936	siy:YG5714_2158
ko:K04567	siy:YG5714_2159
ko:K07129	siy:YG5714_2163
ko:K06965	siy:YG5714_2164
ko:K03789	siy:YG5714_2165
ko:K02319	siy:YG5714_2166
ko:K01866	siy:YG5714_2168
ko:K02952	siy:YG5714_2171
ko:K02986	siy:YG5714_2172
ko:K02948	siy:YG5714_2173
ko:K03047	siy:YG5714_2174
ko:K02883	siy:YG5714_2175
ko:K02871	siy:YG5714_2176
ko:K02996	siy:YG5714_2177
ko:K02967	siy:YG5714_2179
ko:K06990	siy:YG5714_2180
ko:K06981	siy:YG5714_2182
ko:K01823	siy:YG5714_2183
ko:K01001	siy:YG5714_2185
ko:K03424	siy:YG5714_2197
ko:K04768	siy:YG5714_2215
ko:K08289	siy:YG5714_2216
ko:K03638	siy:YG5714_2223
ko:K06877	siy:YG5714_2225
ko:K06920	siy:YG5714_2227
ko:K07090	siy:YG5714_2228
ko:K00852	siy:YG5714_2240
ko:K01474	siy:YG5714_0958
ko:K01990	siy:YG5714_0683
ko:K01992	siy:YG5714_0682
ko:K09711	siy:YG5714_1109
ko:K00021	siy:YG5714_1588
ko:K01934	siy:YG5714_1740
ko:K07388	siy:YG5714_2170
ko:K13057	siy:YG5714_2882
ko:K10197	siy:YG5714_2606
ko:K02303	siy:YG5714_2566
ko:K05934	siy:YG5714_0114
ko:K07330	siy:YG5714_0123
ko:K07325	siy:YG5714_0125
ko:K01739	siy:YG5714_0169
ko:K03234	siy:YG5714_1408
ko:K13051	siy:YG5714_0151
ko:K03386	siy:YG5714_0351
ko:K05520	siy:YG5714_1147
ko:K00666	siy:YG5714_2585
ko:K07068	siy:YG5714_2587
ko:K02025	siy:YG5714_2772
ko:K02026	siy:YG5714_2772
ko:K13048	siy:YG5714_0713
ko:K04479	siy:YG5714_0240
ko:K07472	siy:YG5714_0242
ko:K01990	siy:YG5714_0197
ko:K01992	siy:YG5714_0198
ko:K01426	siy:YG5714_0350
ko:K01061	siy:YG5714_0409
ko:K03055	siy:YG5714_1308
ko:K08094	siy:YG5714_2110
ko:K02826	siy:YG5714_2829
ko:K02827	siy:YG5714_2830
ko:K01385	siy:YG5714_1001
ko:K12410	siy:YG5714_0270
ko:K01533	siy:YG5714_2837
ko:K06889	siy:YG5714_0839
ko:K03496	siy:YG5714_2210
ko:K07068	siy:YG5714_2862
ko:K01990	siy:YG5714_2891
ko:K00020	siy:YG5714_1235
ko:K07033	siy:YG5714_1289
ko:K00303	siy:YG5714_2069
ko:K00611	siy:YG5714_1339
ko:K15778	siy:YG5714_2049
ko:K03752	siy:YG5714_1465
ko:K00059	siy:YG5714_2385
ko:K03116	siy:YG5714_2394
ko:K01687	siy:YG5714_2395
ko:K01299	siy:YG5714_2396
ko:K07112	siy:YG5714_2413
ko:K07238	siy:YG5714_2426
ko:K01714	siy:YG5714_2427
ko:K09963	siy:YG5714_0454
ko:K01239	siy:YG5714_0057
ko:K01239	siy:YG5714_1692
ko:K07025	siy:YG5714_2955
ko:K07025	siy:YG5714_1409
ko:K03166	siy:YG5714_1239
ko:K00020	siy:YG5714_0423
ko:K05989	siy:YG5714_2476
ko:K00096	siy:YG5714_1376
ko:K01916	siy:YG5714_2969
ko:K00058	siy:YG5714_1310
ko:K01259	siy:YG5714_2381
ko:K07073	siy:YG5714_2161
ko:K09715	siy:YG5714_2801
