ko:K09796	psr:PSTAA_2146
ko:K03656	psr:PSTAA_0551
ko:K02168	psr:PSTAA_0553
ko:K07391	psr:PSTAA_0554
ko:K04752	psr:PSTAA_0556
ko:K03320	psr:PSTAA_0557
ko:K03320	psr:PSTAA_0558
ko:K06213	psr:PSTAA_1408
ko:K01573	psr:PSTAA_1409
ko:K02399	psr:PSTAA_1417
ko:K02398	psr:PSTAA_1418
ko:K02386	psr:PSTAA_1419
ko:K03415	psr:PSTAA_1420
ko:K02387	psr:PSTAA_1422
ko:K02388	psr:PSTAA_1423
ko:K02389	psr:PSTAA_1424
ko:K02390	psr:PSTAA_1425
ko:K02391	psr:PSTAA_1426
ko:K02392	psr:PSTAA_1427
ko:K02393	psr:PSTAA_1428
ko:K02394	psr:PSTAA_1429
ko:K02395	psr:PSTAA_1430
ko:K02396	psr:PSTAA_1431
ko:K02397	psr:PSTAA_1432
ko:K02237	psr:PSTAA_1433
ko:K03797	psr:PSTAA_1439
ko:K03608	psr:PSTAA_1444
ko:K03609	psr:PSTAA_1445
ko:K03610	psr:PSTAA_1446
ko:K02517	psr:PSTAA_1447
ko:K06911	psr:PSTAA_1448
ko:K04754	psr:PSTAA_1449
ko:K14393	psr:PSTAA_1453
ko:K03449	psr:PSTAA_1456
ko:K02302	psr:PSTAA_2316
ko:K01875	psr:PSTAA_2317
ko:K06199	psr:PSTAA_2318
ko:K07478	psr:PSTAA_2319
ko:K03634	psr:PSTAA_2320
ko:K03466	psr:PSTAA_2321
ko:K00384	psr:PSTAA_2322
ko:K00684	psr:PSTAA_2323
ko:K02518	psr:PSTAA_2325
ko:K03694	psr:PSTAA_2326
ko:K06891	psr:PSTAA_2327
ko:K03704	psr:PSTAA_2328
ko:K00031	psr:PSTAA_2329
ko:K00031	psr:PSTAA_2330
ko:K00566	psr:PSTAA_2332
ko:K07153	psr:PSTAA_2333
ko:K01756	psr:PSTAA_2334
ko:K01637	psr:PSTAA_2339
ko:K07093	psr:PSTAA_2340
ko:K07084	psr:PSTAA_2342
ko:K01737	psr:PSTAA_2343
ko:K06178	psr:PSTAA_2352
ko:K01892	psr:PSTAA_3192
ko:K15539	psr:PSTAA_3194
ko:K02656	psr:PSTAA_3195
ko:K06941	psr:PSTAA_3196
ko:K00940	psr:PSTAA_3197
ko:K04755	psr:PSTAA_3199
ko:K04044	psr:PSTAA_3200
ko:K04082	psr:PSTAA_3201
ko:K04487	psr:PSTAA_3204
ko:K13643	psr:PSTAA_3205
ko:K00640	psr:PSTAA_3206
ko:K15396	psr:PSTAA_3207
ko:K03074	psr:PSTAA_3210
ko:K03072	psr:PSTAA_3211
ko:K03210	psr:PSTAA_3212
ko:K00773	psr:PSTAA_3213
ko:K07568	psr:PSTAA_3214
ko:K03704	psr:PSTAA_3217
ko:K11720	psr:PSTAA_3219
ko:K07091	psr:PSTAA_3220
ko:K01255	psr:PSTAA_3221
ko:K02339	psr:PSTAA_3222
ko:K01873	psr:PSTAA_3224
ko:K02548	psr:PSTAA_3232
ko:K06899	psr:PSTAA_3233
ko:K07461	psr:PSTAA_3237
ko:K13481	psr:PSTAA_3244
ko:K13482	psr:PSTAA_3245
ko:K07402	psr:PSTAA_3246
ko:K01251	psr:PSTAA_4085
ko:K00297	psr:PSTAA_4086
ko:K11927	psr:PSTAA_4087
ko:K03585	psr:PSTAA_4090
ko:K00833	psr:PSTAA_4093
ko:K09761	psr:PSTAA_4094
ko:K06598	psr:PSTAA_4095
ko:K06597	psr:PSTAA_4096
ko:K01920	psr:PSTAA_4104
ko:K03832	psr:PSTAA_4105
ko:K07735	psr:PSTAA_4106
ko:K07447	psr:PSTAA_4107
ko:K02825	psr:PSTAA_4108
ko:K00609	psr:PSTAA_4109
ko:K01465	psr:PSTAA_4110
ko:K02670	psr:PSTAA_4114
ko:K02669	psr:PSTAA_4115
ko:K06997	psr:PSTAA_4116
ko:K00286	psr:PSTAA_4117
ko:K02221	psr:PSTAA_4118
ko:K00641	psr:PSTAA_4120
ko:K03758	psr:PSTAA_4127
ko:K00611	psr:PSTAA_4129
ko:K00926	psr:PSTAA_4130
ko:K03439	psr:PSTAA_4132
ko:K03149	psr:PSTAA_4134
ko:K03154	psr:PSTAA_4135
ko:K03814	psr:PSTAA_4137
ko:K03750	psr:PSTAA_0848
ko:K00901	psr:PSTAA_0862
ko:K06901	psr:PSTAA_0865
ko:K03152	psr:PSTAA_0866
ko:K07402	psr:PSTAA_0867
ko:K07141	psr:PSTAA_0868
ko:K13483	psr:PSTAA_0869
ko:K11178	psr:PSTAA_0870
ko:K11177	psr:PSTAA_0871
ko:K00528	psr:PSTAA_0878
ko:K00262	psr:PSTAA_0879
ko:K01153	psr:PSTAA_0898
ko:K01154	psr:PSTAA_0899
ko:K03427	psr:PSTAA_0900
ko:K00600	psr:PSTAA_0902
ko:K01825	psr:PSTAA_1740
ko:K03168	psr:PSTAA_1743
ko:K01356	psr:PSTAA_1748
ko:K01207	psr:PSTAA_1751
ko:K06001	psr:PSTAA_1758
ko:K02168	psr:PSTAA_1760
ko:K14441	psr:PSTAA_1763
ko:K05541	psr:PSTAA_1785
ko:K04080	psr:PSTAA_1787
ko:K01703	psr:PSTAA_1789
ko:K01704	psr:PSTAA_1790
ko:K00052	psr:PSTAA_1791
ko:K00133	psr:PSTAA_1792
ko:K06173	psr:PSTAA_1796
ko:K06923	psr:PSTAA_2643
ko:K00432	psr:PSTAA_2644
ko:K14260	psr:PSTAA_2646
ko:K03799	psr:PSTAA_2648
ko:K10941	psr:PSTAA_2653
ko:K02199	psr:PSTAA_2659
ko:K02198	psr:PSTAA_2660
ko:K02197	psr:PSTAA_2661
ko:K02196	psr:PSTAA_2662
ko:K02195	psr:PSTAA_2663
ko:K02194	psr:PSTAA_2664
ko:K04061	psr:PSTAA_2667
ko:K03408	psr:PSTAA_2670
ko:K03408	psr:PSTAA_2671
ko:K02557	psr:PSTAA_2673
ko:K02556	psr:PSTAA_2674
ko:K03412	psr:PSTAA_2675
ko:K03407	psr:PSTAA_2676
ko:K03414	psr:PSTAA_2677
ko:K03413	psr:PSTAA_2678
ko:K02405	psr:PSTAA_2679
ko:K04562	psr:PSTAA_2680
ko:K02404	psr:PSTAA_2681
ko:K02400	psr:PSTAA_2682
ko:K02401	psr:PSTAA_2684
ko:K02421	psr:PSTAA_2685
ko:K02420	psr:PSTAA_2686
ko:K02419	psr:PSTAA_2687
ko:K02418	psr:PSTAA_2688
ko:K02417	psr:PSTAA_2689
ko:K07644	psr:PSTAA_3530
ko:K15726	psr:PSTAA_3542
ko:K03581	psr:PSTAA_3553
ko:K03582	psr:PSTAA_3554
ko:K03583	psr:PSTAA_3555
ko:K03724	psr:PSTAA_3566
ko:K03556	psr:PSTAA_3579
ko:K03733	psr:PSTAA_0562
ko:K09921	psr:PSTAA_0563
ko:K01778	psr:PSTAA_0564
ko:K01586	psr:PSTAA_0565
ko:K06202	psr:PSTAA_0567
ko:K06140	psr:PSTAA_0568
ko:K05851	psr:PSTAA_0570
ko:K01755	psr:PSTAA_0575
ko:K08082	psr:PSTAA_0576
ko:K08083	psr:PSTAA_0577
ko:K01749	psr:PSTAA_0578
ko:K02496	psr:PSTAA_0580
ko:K02498	psr:PSTAA_0581
ko:K03611	psr:PSTAA_0582
ko:K07740	psr:PSTAA_0583
ko:K06158	psr:PSTAA_0586
ko:K05834	psr:PSTAA_0589
ko:K09768	psr:PSTAA_0590
ko:K01698	psr:PSTAA_0594
ko:K00937	psr:PSTAA_0595
ko:K01524	psr:PSTAA_0596
ko:K03671	psr:PSTAA_0597
ko:K03628	psr:PSTAA_0598
ko:K03182	psr:PSTAA_0599
ko:K01887	psr:PSTAA_0602
ko:K04066	psr:PSTAA_0603
ko:K02909	psr:PSTAA_0604
ko:K00029	psr:PSTAA_0606
ko:K05366	psr:PSTAA_0608
ko:K02662	psr:PSTAA_0609
ko:K02666	psr:PSTAA_0613
ko:K00891	psr:PSTAA_0614
ko:K01735	psr:PSTAA_0615
ko:K03112	psr:PSTAA_0616
ko:K01953	psr:PSTAA_1462
ko:K03724	psr:PSTAA_1470
ko:K06182	psr:PSTAA_1475
ko:K00117	psr:PSTAA_1478
ko:K00243	psr:PSTAA_1479
ko:K01153	psr:PSTAA_1487
ko:K03427	psr:PSTAA_1489
ko:K00481	psr:PSTAA_1507
ko:K01625	psr:PSTAA_2353
ko:K01057	psr:PSTAA_2354
ko:K00036	psr:PSTAA_2355
ko:K07320	psr:PSTAA_2356
ko:K01495	psr:PSTAA_2359
ko:K02945	psr:PSTAA_2363
ko:K00945	psr:PSTAA_2364
ko:K00817	psr:PSTAA_2366
ko:K14170	psr:PSTAA_2367
ko:K00831	psr:PSTAA_2368
ko:K02469	psr:PSTAA_2369
ko:K08963	psr:PSTAA_2370
ko:K14161	psr:PSTAA_2372
ko:K02424	psr:PSTAA_2378
ko:K10009	psr:PSTAA_2379
ko:K10010	psr:PSTAA_2381
ko:K08482	psr:PSTAA_2388
ko:K03630	psr:PSTAA_2396
ko:K07154	psr:PSTAA_2403
ko:K06901	psr:PSTAA_3252
ko:K07127	psr:PSTAA_3255
ko:K01477	psr:PSTAA_3258
ko:K01483	psr:PSTAA_3259
ko:K01142	psr:PSTAA_3273
ko:K07644	psr:PSTAA_3274
ko:K07127	psr:PSTAA_3277
ko:K01608	psr:PSTAA_3279
ko:K00873	psr:PSTAA_3283
ko:K08717	psr:PSTAA_3284
ko:K05916	psr:PSTAA_3286
ko:K00763	psr:PSTAA_3289
ko:K12686	psr:PSTAA_3291
ko:K05596	psr:PSTAA_3295
ko:K06895	psr:PSTAA_3296
ko:K04564	psr:PSTAA_3297
ko:K03744	psr:PSTAA_3301
ko:K07231	psr:PSTAA_3302
ko:K03089	psr:PSTAA_4140
ko:K09811	psr:PSTAA_4141
ko:K09812	psr:PSTAA_4142
ko:K03110	psr:PSTAA_4143
ko:K00154	psr:PSTAA_4150
ko:K00954	psr:PSTAA_4153
ko:K03324	psr:PSTAA_4156
ko:K05520	psr:PSTAA_4160
ko:K06969	psr:PSTAA_4161
ko:K01687	psr:PSTAA_4163
ko:K07095	psr:PSTAA_4166
ko:K01126	psr:PSTAA_4169
ko:K02039	psr:PSTAA_4174
ko:K02313	psr:PSTAA_0001
ko:K02338	psr:PSTAA_0002
ko:K03629	psr:PSTAA_0003
ko:K02470	psr:PSTAA_0004
ko:K03387	psr:PSTAA_0005
ko:K13069	psr:PSTAA_0006
ko:K00655	psr:PSTAA_0007
ko:K03273	psr:PSTAA_0008
ko:K01879	psr:PSTAA_0009
ko:K01878	psr:PSTAA_0010
ko:K01246	psr:PSTAA_0011
ko:K02517	psr:PSTAA_0012
ko:K02029	psr:PSTAA_0016
ko:K02029	psr:PSTAA_0017
ko:K03500	psr:PSTAA_0020
ko:K00604	psr:PSTAA_0021
ko:K01462	psr:PSTAA_0022
ko:K04096	psr:PSTAA_0024
ko:K07566	psr:PSTAA_0025
ko:K00228	psr:PSTAA_0027
ko:K00014	psr:PSTAA_0028
ko:K07262	psr:PSTAA_0031
ko:K02073	psr:PSTAA_0038
ko:K02072	psr:PSTAA_0039
ko:K02071	psr:PSTAA_0040
ko:K03781	psr:PSTAA_0041
ko:K07043	psr:PSTAA_0042
ko:K09816	psr:PSTAA_0043
ko:K09817	psr:PSTAA_0044
ko:K09823	psr:PSTAA_0045
ko:K00822	psr:PSTAA_0047
ko:K04485	psr:PSTAA_0905
ko:K09794	psr:PSTAA_0907
ko:K03282	psr:PSTAA_0908
ko:K00428	psr:PSTAA_0909
ko:K06876	psr:PSTAA_0917
ko:K03773	psr:PSTAA_0918
ko:K02523	psr:PSTAA_0920
ko:K02888	psr:PSTAA_0921
ko:K02899	psr:PSTAA_0922
ko:K03979	psr:PSTAA_0923
ko:K00931	psr:PSTAA_0924
ko:K05805	psr:PSTAA_0925
ko:K02968	psr:PSTAA_0926
ko:K03980	psr:PSTAA_0927
ko:K11753	psr:PSTAA_0928
ko:K01870	psr:PSTAA_0929
ko:K03101	psr:PSTAA_0930
ko:K03774	psr:PSTAA_0931
ko:K03527	psr:PSTAA_0932
ko:K02673	psr:PSTAA_0934
ko:K02672	psr:PSTAA_0935
ko:K02671	psr:PSTAA_0936
ko:K03113	psr:PSTAA_0939
ko:K08983	psr:PSTAA_0941
ko:K03327	psr:PSTAA_0942
ko:K09936	psr:PSTAA_0945
ko:K06219	psr:PSTAA_0948
ko:K03435	psr:PSTAA_0950
ko:K02769	psr:PSTAA_0953
ko:K02770	psr:PSTAA_0953
ko:K00117	psr:PSTAA_0954
ko:K02837	psr:PSTAA_0956
ko:K01581	psr:PSTAA_0957
ko:K01817	psr:PSTAA_1797
ko:K01963	psr:PSTAA_1798
ko:K11754	psr:PSTAA_1799
ko:K03749	psr:PSTAA_1800
ko:K03558	psr:PSTAA_1801
ko:K00764	psr:PSTAA_1802
ko:K10764	psr:PSTAA_1803
ko:K02453	psr:PSTAA_1804
ko:K02452	psr:PSTAA_1805
ko:K13639	psr:PSTAA_1808
ko:K02230	psr:PSTAA_1814
ko:K02909	psr:PSTAA_1816
ko:K01620	psr:PSTAA_1817
ko:K03809	psr:PSTAA_1828
ko:K00425	psr:PSTAA_1835
ko:K00426	psr:PSTAA_1836
ko:K03327	psr:PSTAA_1845
ko:K03473	psr:PSTAA_1846
ko:K02343	psr:PSTAA_1847
ko:K09747	psr:PSTAA_1848
ko:K06187	psr:PSTAA_1849
ko:K02416	psr:PSTAA_2690
ko:K02415	psr:PSTAA_2691
ko:K02413	psr:PSTAA_2696
ko:K02412	psr:PSTAA_2697
ko:K02411	psr:PSTAA_2698
ko:K02410	psr:PSTAA_2699
ko:K02409	psr:PSTAA_2700
ko:K02408	psr:PSTAA_2701
ko:K05782	psr:PSTAA_2702
ko:K01591	psr:PSTAA_2705
ko:K03522	psr:PSTAA_2713
ko:K03521	psr:PSTAA_2714
ko:K00311	psr:PSTAA_2715
ko:K09986	psr:PSTAA_2716
ko:K02078	psr:PSTAA_2722
ko:K06204	psr:PSTAA_2726
ko:K03424	psr:PSTAA_2735
ko:K02676	psr:PSTAA_2736
ko:K02341	psr:PSTAA_2737
ko:K00943	psr:PSTAA_2738
ko:K07082	psr:PSTAA_2739
ko:K09458	psr:PSTAA_2741
ko:K02078	psr:PSTAA_2742
ko:K02036	psr:PSTAA_4175
ko:K02038	psr:PSTAA_4176
ko:K02037	psr:PSTAA_4177
ko:K02040	psr:PSTAA_4178
ko:K10806	psr:PSTAA_4179
ko:K07088	psr:PSTAA_4181
ko:K03581	psr:PSTAA_4183
ko:K03582	psr:PSTAA_4184
ko:K03583	psr:PSTAA_4185
ko:K03324	psr:PSTAA_4187
ko:K07774	psr:PSTAA_4192
ko:K00266	psr:PSTAA_0618
ko:K01599	psr:PSTAA_0619
ko:K08224	psr:PSTAA_0620
ko:K03672	psr:PSTAA_0623
ko:K01740	psr:PSTAA_0624
ko:K03086	psr:PSTAA_0650
ko:K02970	psr:PSTAA_0652
ko:K08591	psr:PSTAA_0654
ko:K01633	psr:PSTAA_0655
ko:K00950	psr:PSTAA_0656
ko:K09786	psr:PSTAA_0659
ko:K07180	psr:PSTAA_0660
ko:K02439	psr:PSTAA_0661
ko:K06195	psr:PSTAA_0663
ko:K02528	psr:PSTAA_0664
ko:K00097	psr:PSTAA_0665
ko:K03771	psr:PSTAA_0666
ko:K04744	psr:PSTAA_0667
ko:K07102	psr:PSTAA_0668
ko:K05801	psr:PSTAA_0670
ko:K07058	psr:PSTAA_1522
ko:K03555	psr:PSTAA_1528
ko:K03565	psr:PSTAA_1532
ko:K02024	psr:PSTAA_3586
ko:K05775	psr:PSTAA_3587
ko:K01625	psr:PSTAA_3591
ko:K01057	psr:PSTAA_3592
ko:K00036	psr:PSTAA_3593
ko:K01690	psr:PSTAA_3596
ko:K07230	psr:PSTAA_3599
ko:K07243	psr:PSTAA_3601
ko:K08303	psr:PSTAA_3610
ko:K12266	psr:PSTAA_3612
ko:K07322	psr:PSTAA_3613
ko:K02448	psr:PSTAA_3617
ko:K04561	psr:PSTAA_3618
ko:K02305	psr:PSTAA_3619
ko:K02164	psr:PSTAA_3631
ko:K06966	psr:PSTAA_1533
ko:K00528	psr:PSTAA_1541
ko:K09858	psr:PSTAA_1542
ko:K00275	psr:PSTAA_1549
ko:K06077	psr:PSTAA_1551
ko:K05559	psr:PSTAA_1552
ko:K05560	psr:PSTAA_1553
ko:K05561	psr:PSTAA_1554
ko:K05562	psr:PSTAA_1555
ko:K05563	psr:PSTAA_1556
ko:K05564	psr:PSTAA_1557
ko:K00990	psr:PSTAA_1558
ko:K01265	psr:PSTAA_1559
ko:K02967	psr:PSTAA_1560
ko:K02357	psr:PSTAA_1561
ko:K09903	psr:PSTAA_1562
ko:K02838	psr:PSTAA_1563
ko:K00806	psr:PSTAA_1564
ko:K00981	psr:PSTAA_1565
ko:K00099	psr:PSTAA_1566
ko:K11749	psr:PSTAA_1567
ko:K07277	psr:PSTAA_1568
ko:K06142	psr:PSTAA_1569
ko:K02536	psr:PSTAA_1570
ko:K02372	psr:PSTAA_1571
ko:K00643	psr:PSTAA_2412
ko:K01953	psr:PSTAA_2415
ko:K07726	psr:PSTAA_2419
ko:K03799	psr:PSTAA_2422
ko:K03672	psr:PSTAA_2428
ko:K03798	psr:PSTAA_2429
ko:K06131	psr:PSTAA_2430
ko:K03696	psr:PSTAA_2431
ko:K13993	psr:PSTAA_2432
ko:K07154	psr:PSTAA_2461
ko:K09947	psr:PSTAA_3305
ko:K04077	psr:PSTAA_3310
ko:K04078	psr:PSTAA_3311
ko:K07113	psr:PSTAA_3312
ko:K07226	psr:PSTAA_3313
ko:K07443	psr:PSTAA_3316
ko:K08218	psr:PSTAA_3317
ko:K09767	psr:PSTAA_3319
ko:K00077	psr:PSTAA_3321
ko:K00798	psr:PSTAA_3323
ko:K03387	psr:PSTAA_3327
ko:K00620	psr:PSTAA_3331
ko:K03070	psr:PSTAA_3332
ko:K09918	psr:PSTAA_3335
ko:K00760	psr:PSTAA_3340
ko:K00761	psr:PSTAA_3341
