ko:K18137	abr:ABTJ_01608
ko:K03466	abr:ABTJ_02938
ko:K00384	abr:ABTJ_02939
ko:K00684	abr:ABTJ_02940
ko:K03789	abr:ABTJ_02942
ko:K07044	abr:ABTJ_02943
ko:K07044	abr:ABTJ_02944
ko:K02358	abr:ABTJ_02945
ko:K02355	abr:ABTJ_02946
ko:K02992	abr:ABTJ_02947
ko:K02950	abr:ABTJ_02948
ko:K08973	abr:ABTJ_02951
ko:K06911	abr:ABTJ_02952
ko:K01950	abr:ABTJ_02954
ko:K07246	abr:ABTJ_02962
ko:K00954	abr:ABTJ_02968
ko:K03664	abr:ABTJ_02969
ko:K05810	abr:ABTJ_02971
ko:K06180	abr:ABTJ_02972
ko:K05807	abr:ABTJ_02973
ko:K02492	abr:ABTJ_02975
ko:K02494	abr:ABTJ_02977
ko:K00919	abr:ABTJ_02978
ko:K01589	abr:ABTJ_03817
ko:K01588	abr:ABTJ_03818
ko:K09922	abr:ABTJ_03819
ko:K02558	abr:ABTJ_03820
ko:K00760	abr:ABTJ_03829
ko:K03981	abr:ABTJ_03831
ko:K03650	abr:ABTJ_03834
ko:K03217	abr:ABTJ_03835
ko:K08998	abr:ABTJ_03836
ko:K03536	abr:ABTJ_03837
ko:K02914	abr:ABTJ_03838
ko:K01733	abr:ABTJ_03536
ko:K07262	abr:ABTJ_03537
ko:K02668	abr:ABTJ_03539
ko:K02667	abr:ABTJ_03540
ko:K03797	abr:ABTJ_03541
ko:K15633	abr:ABTJ_03542
ko:K11720	abr:ABTJ_03543
ko:K07091	abr:ABTJ_03544
ko:K01255	abr:ABTJ_03545
ko:K02339	abr:ABTJ_03546
ko:K00793	abr:ABTJ_03549
ko:K11752	abr:ABTJ_03551
ko:K07738	abr:ABTJ_03552
ko:K03320	abr:ABTJ_03553
ko:K04752	abr:ABTJ_03554
ko:K07391	abr:ABTJ_03556
ko:K03733	abr:ABTJ_03585
ko:K12339	abr:ABTJ_03205
ko:K07678	abr:ABTJ_03206
ko:K09710	abr:ABTJ_03210
ko:K00325	abr:ABTJ_03212
ko:K00324	abr:ABTJ_03213
ko:K00324	abr:ABTJ_03214
ko:K05539	abr:ABTJ_03218
ko:K01681	abr:ABTJ_03223
ko:K03424	abr:ABTJ_03224
ko:K02837	abr:ABTJ_03227
ko:K00053	abr:ABTJ_03232
ko:K01653	abr:ABTJ_03233
ko:K01652	abr:ABTJ_03234
ko:K01869	abr:ABTJ_03236
ko:K03643	abr:ABTJ_03237
ko:K02340	abr:ABTJ_03238
ko:K13888	abr:ABTJ_03239
ko:K05685	abr:ABTJ_03240
ko:K00208	abr:ABTJ_03242
ko:K13288	abr:ABTJ_03244
ko:K06949	abr:ABTJ_03245
ko:K03071	abr:ABTJ_03248
ko:K06133	abr:ABTJ_03249
ko:K09458	abr:ABTJ_03251
ko:K07107	abr:ABTJ_03259
ko:K05297	abr:ABTJ_02817
ko:K04761	abr:ABTJ_02819
ko:K00937	abr:ABTJ_02821
ko:K03814	abr:ABTJ_02822
ko:K02003	abr:ABTJ_02825
ko:K10804	abr:ABTJ_02826
ko:K01673	abr:ABTJ_02827
ko:K07400	abr:ABTJ_02831
ko:K01753	abr:ABTJ_02837
ko:K03306	abr:ABTJ_02838
ko:K00615	abr:ABTJ_02840
ko:K00615	abr:ABTJ_02841
ko:K08223	abr:ABTJ_02847
ko:K01425	abr:ABTJ_02849
ko:K01462	abr:ABTJ_02850
ko:K01652	abr:ABTJ_02853
ko:K06989	abr:ABTJ_02855
ko:K03811	abr:ABTJ_02868
ko:K01895	abr:ABTJ_03706
ko:K00140	abr:ABTJ_03708
ko:K11737	abr:ABTJ_03710
ko:K11737	abr:ABTJ_03711
ko:K01775	abr:ABTJ_03713
ko:K00285	abr:ABTJ_03714
ko:K00832	abr:ABTJ_03738
ko:K03777	abr:ABTJ_03739
ko:K14348	abr:ABTJ_03741
ko:K00427	abr:ABTJ_03742
ko:K01810	abr:ABTJ_03745
ko:K00012	abr:ABTJ_03746
ko:K00963	abr:ABTJ_03747
ko:K13007	abr:ABTJ_03749
ko:K09024	abr:ABTJ_03094
ko:K00549	abr:ABTJ_03095
ko:K03288	abr:ABTJ_03104
ko:K13794	abr:ABTJ_03106
ko:K13796	abr:ABTJ_03107
ko:K13795	abr:ABTJ_03108
ko:K08196	abr:ABTJ_03110
ko:K00252	abr:ABTJ_03111
ko:K03517	abr:ABTJ_03119
ko:K00620	abr:ABTJ_03120
ko:K07233	abr:ABTJ_03124
ko:K01783	abr:ABTJ_03128
ko:K09956	abr:ABTJ_03129
ko:K01070	abr:ABTJ_03130
ko:K15984	abr:ABTJ_03132
ko:K01665	abr:ABTJ_03144
ko:K00817	abr:ABTJ_03145
ko:K00013	abr:ABTJ_03146
ko:K00765	abr:ABTJ_03147
ko:K00790	abr:ABTJ_03148
ko:K01091	abr:ABTJ_03373
ko:K08300	abr:ABTJ_03375
ko:K09936	abr:ABTJ_03382
ko:K03327	abr:ABTJ_03383
ko:K02909	abr:ABTJ_03387
ko:K06199	abr:ABTJ_03389
ko:K07007	abr:ABTJ_03391
ko:K09862	abr:ABTJ_03393
ko:K01772	abr:ABTJ_03395
ko:K01776	abr:ABTJ_03397
ko:K09986	abr:ABTJ_03398
ko:K00311	abr:ABTJ_03399
ko:K06189	abr:ABTJ_03401
ko:K03820	abr:ABTJ_03402
ko:K06878	abr:ABTJ_03403
ko:K02456	abr:ABTJ_03405
ko:K02455	abr:ABTJ_03406
ko:K04066	abr:ABTJ_03407
ko:K04083	abr:ABTJ_03409
ko:K05516	abr:ABTJ_03411
ko:K00962	abr:ABTJ_03414
ko:K02956	abr:ABTJ_03415
ko:K03581	abr:ABTJ_03417
ko:K03582	abr:ABTJ_03418
ko:K03583	abr:ABTJ_03419
ko:K03183	abr:ABTJ_03423
ko:K03690	abr:ABTJ_03424
ko:K03558	abr:ABTJ_01265
ko:K00764	abr:ABTJ_01266
ko:K09117	abr:ABTJ_01271
ko:K02970	abr:ABTJ_01272
ko:K06923	abr:ABTJ_01275
ko:K00822	abr:ABTJ_01283
ko:K00140	abr:ABTJ_01284
ko:K03821	abr:ABTJ_01297
ko:K03312	abr:ABTJ_01298
ko:K06923	abr:ABTJ_01299
ko:K07347	abr:ABTJ_01307
ko:K03762	abr:ABTJ_01310
ko:K09758	abr:ABTJ_01313
ko:K03808	abr:ABTJ_01315
ko:K03808	abr:ABTJ_01316
ko:K06192	abr:ABTJ_01317
ko:K09857	abr:ABTJ_01318
ko:K01779	abr:ABTJ_01319
ko:K10679	abr:ABTJ_01432
ko:K01886	abr:ABTJ_01437
ko:K01951	abr:ABTJ_01438
ko:K03736	abr:ABTJ_01439
ko:K03735	abr:ABTJ_01440
ko:K13954	abr:ABTJ_01445
ko:K13652	abr:ABTJ_01448
ko:K00878	abr:ABTJ_01449
ko:K01256	abr:ABTJ_01452
ko:K03824	abr:ABTJ_01466
ko:K07275	abr:ABTJ_01470
ko:K01531	abr:ABTJ_01479
ko:K07507	abr:ABTJ_01480
ko:K05782	abr:ABTJ_01481
ko:K11250	abr:ABTJ_01483
ko:K05820	abr:ABTJ_01571
ko:K01961	abr:ABTJ_01573
ko:K02160	abr:ABTJ_01574
ko:K03786	abr:ABTJ_01575
ko:K00362	abr:ABTJ_01580
ko:K00372	abr:ABTJ_01582
ko:K03752	abr:ABTJ_01583
ko:K03639	abr:ABTJ_01585
ko:K03750	abr:ABTJ_01589
ko:K07235	abr:ABTJ_01596
ko:K00285	abr:ABTJ_01603
ko:K01770	abr:ABTJ_01605
ko:K00948	abr:ABTJ_02983
ko:K02897	abr:ABTJ_02984
ko:K01056	abr:ABTJ_02985
ko:K01579	abr:ABTJ_02986
ko:K01091	abr:ABTJ_02991
ko:K00941	abr:ABTJ_02992
ko:K02078	abr:ABTJ_02994
ko:K00645	abr:ABTJ_02996
ko:K02911	abr:ABTJ_02997
ko:K07040	abr:ABTJ_02998
ko:K09906	abr:ABTJ_02999
ko:K05896	abr:ABTJ_03001
ko:K06024	abr:ABTJ_03002
ko:K06178	abr:ABTJ_03003
ko:K01935	abr:ABTJ_03004
ko:K02169	abr:ABTJ_03005
ko:K00833	abr:ABTJ_03007
ko:K02170	abr:ABTJ_03008
ko:K01087	abr:ABTJ_03009
ko:K00697	abr:ABTJ_03010
ko:K03594	abr:ABTJ_03012
ko:K01972	abr:ABTJ_03013
ko:K03528	abr:ABTJ_03014
ko:K03529	abr:ABTJ_03015
ko:K03524	abr:ABTJ_03018
ko:K03525	abr:ABTJ_03019
ko:K03106	abr:ABTJ_03020
ko:K05541	abr:ABTJ_03023
ko:K01494	abr:ABTJ_03029
ko:K09928	abr:ABTJ_03031
ko:K01874	abr:ABTJ_03035
ko:K03981	abr:ABTJ_p0044
ko:K03760	abr:ABTJ_02705
ko:K00375	abr:ABTJ_03599
ko:K01628	abr:ABTJ_03600
ko:K01714	abr:ABTJ_03601
ko:K02621	abr:ABTJ_03609
ko:K08369	abr:ABTJ_03610
ko:K09858	abr:ABTJ_03612
ko:K06966	abr:ABTJ_03614
ko:K02346	abr:ABTJ_03617
ko:K01738	abr:ABTJ_03626
ko:K01462	abr:ABTJ_03639
ko:K04096	abr:ABTJ_03641
ko:K07566	abr:ABTJ_03642
ko:K00432	abr:ABTJ_03647
ko:K02114	abr:ABTJ_03649
ko:K03110	abr:ABTJ_01665
ko:K07078	abr:ABTJ_01666
ko:K00426	abr:ABTJ_01671
ko:K00425	abr:ABTJ_01672
ko:K01058	abr:ABTJ_01679
ko:K01754	abr:ABTJ_01682
ko:K01807	abr:ABTJ_01683
ko:K07043	abr:ABTJ_01684
ko:K00145	abr:ABTJ_01686
ko:K06891	abr:ABTJ_01688
ko:K03694	abr:ABTJ_01689
ko:K09771	abr:ABTJ_01690
ko:K01626	abr:ABTJ_01691
ko:K07044	abr:ABTJ_01698
ko:K01937	abr:ABTJ_01700
ko:K01627	abr:ABTJ_01701
ko:K01689	abr:ABTJ_01702
ko:K05589	abr:ABTJ_01704
ko:K00991	abr:ABTJ_01705
ko:K01031	abr:ABTJ_01706
ko:K01032	abr:ABTJ_01707
ko:K01857	abr:ABTJ_01709
ko:K01055	abr:ABTJ_01710
ko:K08195	abr:ABTJ_01711
ko:K00449	abr:ABTJ_01713
ko:K00448	abr:ABTJ_01714
ko:K03785	abr:ABTJ_01715
ko:K07267	abr:ABTJ_01717
ko:K03885	abr:ABTJ_01784
ko:K15125	abr:ABTJ_01797
ko:K03710	abr:ABTJ_01803
ko:K09936	abr:ABTJ_01807
ko:K09936	abr:ABTJ_01808
ko:K03543	abr:ABTJ_01816
ko:K13979	abr:ABTJ_01830
ko:K07345	abr:ABTJ_01891
ko:K07347	abr:ABTJ_01895
ko:K01273	abr:ABTJ_01907
ko:K06139	abr:ABTJ_01908
ko:K06138	abr:ABTJ_01909
ko:K06137	abr:ABTJ_01910
ko:K06136	abr:ABTJ_01911
ko:K00937	abr:ABTJ_01912
ko:K00216	abr:ABTJ_01916
ko:K02018	abr:ABTJ_01918
ko:K02020	abr:ABTJ_01919
ko:K02019	abr:ABTJ_01920
ko:K01061	abr:ABTJ_01929
ko:K00019	abr:ABTJ_01934
ko:K01028	abr:ABTJ_01938
ko:K01029	abr:ABTJ_01939
ko:K02106	abr:ABTJ_01940
ko:K02503	abr:ABTJ_02000
ko:K01993	abr:ABTJ_02008
ko:K00748	abr:ABTJ_02010
ko:K07090	abr:ABTJ_02015
ko:K01626	abr:ABTJ_02016
ko:K02233	abr:ABTJ_02017
ko:K00768	abr:ABTJ_02020
ko:K02231	abr:ABTJ_02021
ko:K00496	abr:ABTJ_02041
ko:K03770	abr:ABTJ_02043
ko:K03530	abr:ABTJ_02044
ko:K13643	abr:ABTJ_02047
ko:K01745	abr:ABTJ_03260
ko:K02078	abr:ABTJ_03265
ko:K02078	abr:ABTJ_03266
ko:K03977	abr:ABTJ_03269
ko:K01892	abr:ABTJ_03272
ko:K02656	abr:ABTJ_03275
ko:K06941	abr:ABTJ_03276
ko:K00940	abr:ABTJ_03277
ko:K03797	abr:ABTJ_03281
ko:K01207	abr:ABTJ_03282
ko:K00147	abr:ABTJ_03285
ko:K01625	abr:ABTJ_03289
ko:K01690	abr:ABTJ_03290
ko:K00925	abr:ABTJ_03291
ko:K13788	abr:ABTJ_03292
ko:K01676	abr:ABTJ_03293
ko:K03544	abr:ABTJ_03296
ko:K01358	abr:ABTJ_03297
ko:K03545	abr:ABTJ_03298
ko:K01649	abr:ABTJ_03301
ko:K00641	abr:ABTJ_03302
ko:K07088	abr:ABTJ_03306
ko:K03116	abr:ABTJ_03307
ko:K03117	abr:ABTJ_03308
ko:K03118	abr:ABTJ_03309
ko:K07093	abr:ABTJ_03310
ko:K07093	abr:ABTJ_03311
ko:K04082	abr:ABTJ_02051
ko:K04044	abr:ABTJ_02052
ko:K04755	abr:ABTJ_02053
ko:K03723	abr:ABTJ_02056
ko:K07223	abr:ABTJ_02058
ko:K02553	abr:ABTJ_02060
ko:K02968	abr:ABTJ_02062
ko:K02034	abr:ABTJ_02068
ko:K03832	abr:ABTJ_02075
ko:K03561	abr:ABTJ_02076
ko:K01638	abr:ABTJ_02080
ko:K06916	abr:ABTJ_02081
ko:K01591	abr:ABTJ_02085
ko:K05788	abr:ABTJ_02087
ko:K02945	abr:ABTJ_02088
ko:K00945	abr:ABTJ_02089
ko:K03648	abr:ABTJ_02093
ko:K01737	abr:ABTJ_02094
ko:K02460	abr:ABTJ_02095
ko:K02458	abr:ABTJ_02098
ko:K02456	abr:ABTJ_02099
ko:K03424	abr:ABTJ_02101
ko:K07347	abr:ABTJ_02158
ko:K10004	abr:ABTJ_02176
ko:K10002	abr:ABTJ_02177
ko:K10003	abr:ABTJ_02178
ko:K10001	abr:ABTJ_02179
ko:K02073	abr:ABTJ_02184
ko:K02073	abr:ABTJ_02185
ko:K02071	abr:ABTJ_02186
ko:K02072	abr:ABTJ_02187
ko:K06942	abr:ABTJ_02188
ko:K08289	abr:ABTJ_02196
ko:K00990	abr:ABTJ_02197
ko:K14267	abr:ABTJ_02198
ko:K00432	abr:ABTJ_02201
ko:K14260	abr:ABTJ_02203
ko:K05597	abr:ABTJ_02205
ko:K02337	abr:ABTJ_02206
ko:K15396	abr:ABTJ_02207
ko:K00640	abr:ABTJ_02208
ko:K00640	abr:ABTJ_02264
ko:K11717	abr:ABTJ_02266
ko:K02029	abr:ABTJ_02273
ko:K06975	abr:ABTJ_02274
ko:K03781	abr:ABTJ_02285
ko:K15256	abr:ABTJ_02298
ko:K01969	abr:ABTJ_02302
ko:K13766	abr:ABTJ_02303
ko:K01968	abr:ABTJ_02304
ko:K01640	abr:ABTJ_02305
ko:K04090	abr:ABTJ_02307
ko:K01032	abr:ABTJ_02313
ko:K01031	abr:ABTJ_02314
ko:K08196	abr:ABTJ_02315
ko:K06446	abr:ABTJ_02316
ko:K02609	abr:ABTJ_02371
ko:K02618	abr:ABTJ_02372
ko:K01752	abr:ABTJ_02373
ko:K12658	abr:ABTJ_02381
ko:K09712	abr:ABTJ_02386
ko:K13639	abr:ABTJ_02387
ko:K09765	abr:ABTJ_02391
ko:K09927	abr:ABTJ_02393
ko:K03449	abr:ABTJ_02394
ko:K11892	abr:ABTJ_02400
ko:K11893	abr:ABTJ_02401
ko:K11902	abr:ABTJ_02402
ko:K11907	abr:ABTJ_02403
ko:K11890	abr:ABTJ_02406
ko:K11891	abr:ABTJ_02407
ko:K11895	abr:ABTJ_02409
ko:K11896	abr:ABTJ_02410
ko:K11897	abr:ABTJ_02411
ko:K11903	abr:ABTJ_02412
ko:K11900	abr:ABTJ_02413
ko:K11901	abr:ABTJ_02414
ko:K07722	abr:ABTJ_02421
ko:K11719	abr:ABTJ_02478
ko:K03270	abr:ABTJ_02479
ko:K06041	abr:ABTJ_02480
ko:K01883	abr:ABTJ_02481
ko:K08995	abr:ABTJ_02484
ko:K00286	abr:ABTJ_02493
ko:K03704	abr:ABTJ_02495
ko:K03601	abr:ABTJ_02503
ko:K05549	abr:ABTJ_02514
ko:K05550	abr:ABTJ_02515
ko:K05784	abr:ABTJ_02516
ko:K05783	abr:ABTJ_02517
ko:K05782	abr:ABTJ_02518
ko:K05548	abr:ABTJ_02519
ko:K03578	abr:ABTJ_02522
ko:K03387	abr:ABTJ_02527
ko:K03439	abr:ABTJ_02531
ko:K07340	abr:ABTJ_00705
ko:K07001	abr:ABTJ_00706
ko:K03760	abr:ABTJ_00710
ko:K07088	abr:ABTJ_00716
ko:K01873	abr:ABTJ_00719
ko:K03585	abr:ABTJ_00727
ko:K02523	abr:ABTJ_00730
ko:K02888	abr:ABTJ_00731
ko:K02899	abr:ABTJ_00732
ko:K03634	abr:ABTJ_00733
ko:K01875	abr:ABTJ_00735
ko:K02302	abr:ABTJ_00736
ko:K03216	abr:ABTJ_00737
ko:K03801	abr:ABTJ_00743
ko:K09158	abr:ABTJ_00744
ko:K03086	abr:ABTJ_00745
ko:K07039	abr:ABTJ_00747
ko:K11936	abr:ABTJ_02871
ko:K11931	abr:ABTJ_02872
ko:K11103	abr:ABTJ_02875
ko:K02168	abr:ABTJ_02880
ko:K02168	abr:ABTJ_02881
ko:K02167	abr:ABTJ_02882
ko:K00116	abr:ABTJ_02885
ko:K03758	abr:ABTJ_02888
ko:K01714	abr:ABTJ_02893
ko:K08369	abr:ABTJ_02894
ko:K03446	abr:ABTJ_02903
ko:K03543	abr:ABTJ_02904
ko:K01698	abr:ABTJ_02906
ko:K07071	abr:ABTJ_02908
ko:K06996	abr:ABTJ_02910
ko:K03547	abr:ABTJ_02912
ko:K06997	abr:ABTJ_02914
ko:K02669	abr:ABTJ_02915
ko:K02670	abr:ABTJ_02916
ko:K06186	abr:ABTJ_02918
ko:K09801	abr:ABTJ_02919
ko:K00930	abr:ABTJ_02924
ko:K15778	abr:ABTJ_02925
ko:K02474	abr:ABTJ_03761
ko:K01991	abr:ABTJ_03762
ko:K03773	abr:ABTJ_03766
ko:K03980	abr:ABTJ_03767
ko:K03806	abr:ABTJ_03768
ko:K00767	abr:ABTJ_03769
ko:K01114	abr:ABTJ_03771
ko:K00989	abr:ABTJ_03772
ko:K03673	abr:ABTJ_03777
ko:K14682	abr:ABTJ_03783
ko:K15553	abr:ABTJ_03784
ko:K15553	abr:ABTJ_03785
ko:K15554	abr:ABTJ_03787
ko:K11753	abr:ABTJ_03792
ko:K01870	abr:ABTJ_03793
ko:K03101	abr:ABTJ_03794
ko:K03774	abr:ABTJ_03795
ko:K03687	abr:ABTJ_03810
ko:K04043	abr:ABTJ_03811
ko:K03688	abr:ABTJ_03425
ko:K11755	abr:ABTJ_03427
ko:K05559	abr:ABTJ_03430
ko:K05560	abr:ABTJ_03431
ko:K05561	abr:ABTJ_03432
ko:K05562	abr:ABTJ_03433
ko:K05563	abr:ABTJ_03434
ko:K05564	abr:ABTJ_03435
ko:K02834	abr:ABTJ_03436
ko:K02519	abr:ABTJ_03437
ko:K02600	abr:ABTJ_03438
ko:K09748	abr:ABTJ_03439
ko:K03075	abr:ABTJ_03443
ko:K01803	abr:ABTJ_03444
ko:K02652	abr:ABTJ_03445
ko:K02654	abr:ABTJ_03447
ko:K00859	abr:ABTJ_03448
ko:K03218	abr:ABTJ_03450
ko:K09913	abr:ABTJ_03451
ko:K03631	abr:ABTJ_03453
ko:K07735	abr:ABTJ_03454
ko:K07447	abr:ABTJ_03455
ko:K10778	abr:ABTJ_03461
ko:K00995	abr:ABTJ_03462
