ko:K09796	myc:NF90_13045
ko:K01997	myc:NF90_11265
ko:K01998	myc:NF90_11270
ko:K01995	myc:NF90_11275
ko:K01996	myc:NF90_11280
ko:K02274	myc:NF90_11300
ko:K08174	myc:NF90_11325
ko:K18654	myc:NF90_11335
ko:K18653	myc:NF90_11340
ko:K00666	myc:NF90_11345
ko:K03294	myc:NF90_11390
ko:K09771	myc:NF90_11395
ko:K06886	myc:NF90_15750
ko:K01187	myc:NF90_15755
ko:K06911	myc:NF90_15760
ko:K07107	myc:NF90_15770
ko:K15371	myc:NF90_15775
ko:K02351	myc:NF90_15795
ko:K07245	myc:NF90_15795
ko:K06959	myc:NF90_15830
ko:K00957	myc:NF90_15860
ko:K00955	myc:NF90_15865
ko:K11103	myc:NF90_15885
ko:K06902	myc:NF90_15895
ko:K07124	myc:NF90_15900
ko:K06915	myc:NF90_15915
ko:K13288	myc:NF90_15920
ko:K06221	myc:NF90_15950
ko:K06994	myc:NF90_15990
ko:K03564	myc:NF90_16015
ko:K00997	myc:NF90_16025
ko:K11533	myc:NF90_16030
ko:K02015	myc:NF90_20380
ko:K02013	myc:NF90_20385
ko:K02016	myc:NF90_20390
ko:K03696	myc:NF90_20395
ko:K04567	myc:NF90_20405
ko:K03525	myc:NF90_20410
ko:K01579	myc:NF90_20415
ko:K01918	myc:NF90_20420
ko:K00950	myc:NF90_20440
ko:K01633	myc:NF90_20445
ko:K00796	myc:NF90_20450
ko:K01495	myc:NF90_20455
ko:K03798	myc:NF90_20460
ko:K14733	myc:NF90_20490
ko:K09807	myc:NF90_20500
ko:K09807	myc:NF90_20505
ko:K00760	myc:NF90_20510
ko:K04075	myc:NF90_20515
ko:K07259	myc:NF90_20525
ko:K01507	myc:NF90_20530
ko:K05794	myc:NF90_20565
ko:K09153	myc:NF90_20595
ko:K01784	myc:NF90_20600
ko:K06978	myc:NF90_20610
ko:K02066	myc:NF90_03465
ko:K02066	myc:NF90_03475
ko:K02067	myc:NF90_03480
ko:K02067	myc:NF90_03485
ko:K02067	myc:NF90_03490
ko:K02067	myc:NF90_03495
ko:K02067	myc:NF90_03500
ko:K02067	myc:NF90_03505
ko:K18481	myc:NF90_03510
ko:K18481	myc:NF90_03515
ko:K00697	myc:NF90_03520
ko:K01322	myc:NF90_03595
ko:K00382	myc:NF90_03610
ko:K01673	myc:NF90_03615
ko:K07110	myc:NF90_03655
ko:K06994	myc:NF90_03665
ko:K00973	myc:NF90_03680
ko:K17947	myc:NF90_03695
ko:K05303	myc:NF90_03710
ko:K04096	myc:NF90_08200
ko:K01673	myc:NF90_08205
ko:K03733	myc:NF90_08240
ko:K06994	myc:NF90_08250
ko:K02967	myc:NF90_08275
ko:K02357	myc:NF90_08280
ko:K05350	myc:NF90_08295
ko:K03811	myc:NF90_08305
ko:K00161	myc:NF90_00195
ko:K00162	myc:NF90_00200
ko:K00627	myc:NF90_00205
ko:K11735	myc:NF90_00240
ko:K01858	myc:NF90_00250
ko:K02990	myc:NF90_00290
ko:K02963	myc:NF90_00300
ko:K02939	myc:NF90_00305
ko:K01704	myc:NF90_00320
ko:K01703	myc:NF90_00325
ko:K02950	myc:NF90_04995
ko:K02992	myc:NF90_05000
ko:K02355	myc:NF90_05005
ko:K02358	myc:NF90_05010
ko:K00819	myc:NF90_05045
ko:K00101	myc:NF90_05085
ko:K03735	myc:NF90_05110
ko:K03736	myc:NF90_05115
ko:K00626	myc:NF90_05120
ko:K00275	myc:NF90_05135
ko:K02946	myc:NF90_05140
ko:K02906	myc:NF90_05145
ko:K02926	myc:NF90_05150
ko:K02892	myc:NF90_05155
ko:K02886	myc:NF90_05160
ko:K02965	myc:NF90_05165
ko:K02890	myc:NF90_05170
ko:K02982	myc:NF90_05175
ko:K02878	myc:NF90_05180
ko:K02904	myc:NF90_05185
ko:K02961	myc:NF90_05190
ko:K02874	myc:NF90_05210
ko:K02895	myc:NF90_05215
ko:K02931	myc:NF90_05220
ko:K02954	myc:NF90_05225
ko:K03929	myc:NF90_05230
ko:K00262	myc:NF90_05245
ko:K02994	myc:NF90_05255
ko:K02933	myc:NF90_05260
ko:K02881	myc:NF90_05265
ko:K11159	myc:NF90_09845
ko:K11738	myc:NF90_09850
ko:K00077	myc:NF90_09860
ko:K01868	myc:NF90_09915
ko:K00995	myc:NF90_09925
ko:K08256	myc:NF90_09935
ko:K06215	myc:NF90_09945
ko:K10805	myc:NF90_09950
ko:K08681	myc:NF90_09955
ko:K00768	myc:NF90_14305
ko:K02233	myc:NF90_14310
ko:K00826	myc:NF90_14320
ko:K00605	myc:NF90_14325
ko:K01255	myc:NF90_14330
ko:K09131	myc:NF90_14340
ko:K00658	myc:NF90_14345
ko:K07071	myc:NF90_14350
ko:K03801	myc:NF90_14355
ko:K03644	myc:NF90_14360
ko:K10531	myc:NF90_14385
ko:K01915	myc:NF90_14405
ko:K05523	myc:NF90_14430
ko:K15977	myc:NF90_14435
ko:K15977	myc:NF90_14440
ko:K00982	myc:NF90_14485
ko:K01915	myc:NF90_14490
ko:K00606	myc:NF90_14510
ko:K03924	myc:NF90_14565
ko:K07226	myc:NF90_14585
ko:K03704	myc:NF90_18955
ko:K03639	myc:NF90_18960
ko:K03635	myc:NF90_18985
ko:K03637	myc:NF90_18995
ko:K10843	myc:NF90_19015
ko:K06994	myc:NF90_19040
ko:K01782	myc:NF90_19060
ko:K00626	myc:NF90_19065
ko:K14267	myc:NF90_19080
ko:K01796	myc:NF90_19090
ko:K01692	myc:NF90_19135
ko:K09684	myc:NF90_19175
ko:K00252	myc:NF90_19190
ko:K07250	myc:NF90_19195
ko:K15371	myc:NF90_19200
ko:K09903	myc:NF90_08315
ko:K02838	myc:NF90_08320
ko:K00981	myc:NF90_08325
ko:K01061	myc:NF90_08340
ko:K06941	myc:NF90_08380
ko:K00099	myc:NF90_08400
ko:K06976	myc:NF90_08415
ko:K01265	myc:NF90_08435
ko:K02232	myc:NF90_08440
ko:K00116	myc:NF90_08460
ko:K02348	myc:NF90_08465
ko:K03404	myc:NF90_08470
ko:K02224	myc:NF90_08480
ko:K06994	myc:NF90_12890
ko:K06994	myc:NF90_12900
ko:K00859	myc:NF90_12915
ko:K02945	myc:NF90_12920
ko:K14257	myc:NF90_12980
ko:K09251	myc:NF90_13005
ko:K06994	myc:NF90_13025
ko:K03449	myc:NF90_13035
ko:K06718	myc:NF90_13070
ko:K00836	myc:NF90_13075
ko:K06720	myc:NF90_13080
ko:K10674	myc:NF90_13085
ko:K03762	myc:NF90_13090
ko:K14698	myc:NF90_13095
ko:K14699	myc:NF90_13100
ko:K04793	myc:NF90_13125
ko:K04789	myc:NF90_13130
ko:K04787	myc:NF90_13135
ko:K04781	myc:NF90_13145
ko:K02049	myc:NF90_13155
ko:K02050	myc:NF90_13160
ko:K05917	myc:NF90_17475
ko:K15981	myc:NF90_17490
ko:K12503	myc:NF90_17500
ko:K11068	myc:NF90_17505
ko:K06888	myc:NF90_17520
ko:K18455	myc:NF90_17530
ko:K03624	myc:NF90_17540
ko:K01754	myc:NF90_17550
ko:K01739	myc:NF90_17560
ko:K01697	myc:NF90_17570
ko:K00626	myc:NF90_17585
ko:K08289	myc:NF90_17590
ko:K00140	myc:NF90_17600
ko:K01692	myc:NF90_17610
ko:K01692	myc:NF90_17620
ko:K07090	myc:NF90_17715
ko:K01524	myc:NF90_17725
ko:K09009	myc:NF90_17730
ko:K01689	myc:NF90_17740
ko:K07243	myc:NF90_17750
ko:K07224	myc:NF90_17755
ko:K16301	myc:NF90_17760
ko:K16264	myc:NF90_22100
ko:K12437	myc:NF90_22115
ko:K12428	myc:NF90_22120
ko:K18851	myc:NF90_22130
ko:K18851	myc:NF90_22135
ko:K18851	myc:NF90_22140
ko:K13687	myc:NF90_22145
ko:K14136	myc:NF90_22150
ko:K16650	myc:NF90_22160
ko:K01854	myc:NF90_22165
ko:K00459	myc:NF90_22220
ko:K14952	myc:NF90_22235
ko:K01875	myc:NF90_22250
ko:K07507	myc:NF90_22285
ko:K00156	myc:NF90_22345
ko:K04518	myc:NF90_22360
ko:K16648	myc:NF90_02030
ko:K03088	myc:NF90_02095
ko:K01207	myc:NF90_02100
ko:K07044	myc:NF90_02135
ko:K03321	myc:NF90_02150
ko:K02048	myc:NF90_02155
ko:K00059	myc:NF90_02170
ko:K00626	myc:NF90_02175
ko:K00240	myc:NF90_02270
ko:K00239	myc:NF90_02275
ko:K02836	myc:NF90_06750
ko:K09812	myc:NF90_06765
ko:K09811	myc:NF90_06770
ko:K03664	myc:NF90_06775
ko:K00135	myc:NF90_06785
ko:K01652	myc:NF90_06790
ko:K13993	myc:NF90_06805
ko:K03929	myc:NF90_06870
ko:K03929	myc:NF90_06875
ko:K18939	myc:NF90_04610
ko:K01835	myc:NF90_06885
ko:K12410	myc:NF90_06940
ko:K10974	myc:NF90_06985
ko:K03088	myc:NF90_07005
ko:K06720	myc:NF90_11440
ko:K01153	myc:NF90_11460
ko:K03427	myc:NF90_11465
ko:K01154	myc:NF90_11470
ko:K05712	myc:NF90_11540
ko:K03325	myc:NF90_11550
ko:K08982	myc:NF90_11570
ko:K13953	myc:NF90_11625
ko:K07506	myc:NF90_11645
ko:K01673	myc:NF90_11675
ko:K06048	myc:NF90_11700
ko:K11082	myc:NF90_16065
ko:K11083	myc:NF90_16070
ko:K11084	myc:NF90_16075
ko:K11081	myc:NF90_16080
ko:K03710	myc:NF90_16100
ko:K00666	myc:NF90_16145
ko:K02428	myc:NF90_16170
ko:K00989	myc:NF90_16175
ko:K01776	myc:NF90_16185
ko:K06891	myc:NF90_16220
ko:K00763	myc:NF90_16225
ko:K08281	myc:NF90_16235
ko:K00688	myc:NF90_16250
ko:K16147	myc:NF90_16255
ko:K00700	myc:NF90_16260
ko:K05838	myc:NF90_16270
ko:K00626	myc:NF90_16280
ko:K05606	myc:NF90_16285
ko:K07503	myc:NF90_16295
ko:K02341	myc:NF90_20705
ko:K03168	myc:NF90_20715
ko:K03704	myc:NF90_20725
ko:K06877	myc:NF90_20730
ko:K07044	myc:NF90_20755
ko:K06994	myc:NF90_20760
ko:K12510	myc:NF90_20795
ko:K01673	myc:NF90_20810
ko:K01738	myc:NF90_20890
ko:K01533	myc:NF90_20900
ko:K01637	myc:NF90_03775
ko:K00074	myc:NF90_03780
ko:K01941	myc:NF90_03785
ko:K09967	myc:NF90_03790
ko:K09967	myc:NF90_03795
ko:K00574	myc:NF90_03810
ko:K16645	myc:NF90_03835
ko:K01619	myc:NF90_03860
ko:K14953	myc:NF90_03880
ko:K00075	myc:NF90_03920
ko:K15521	myc:NF90_03960
ko:K01834	myc:NF90_04000
ko:K07768	myc:NF90_04005
ko:K07776	myc:NF90_04010
ko:K02067	myc:NF90_04070
ko:K06994	myc:NF90_08510
ko:K12433	myc:NF90_08520
ko:K16785	myc:NF90_08535
ko:K16786	myc:NF90_08540
ko:K16787	myc:NF90_08540
ko:K02302	myc:NF90_08545
ko:K01881	myc:NF90_08560
ko:K09748	myc:NF90_08580
ko:K02600	myc:NF90_08585
ko:K13771	myc:NF90_08590
ko:K05916	myc:NF90_08595
ko:K02519	myc:NF90_08610
ko:K02834	myc:NF90_08615
ko:K01692	myc:NF90_08645
ko:K03177	myc:NF90_08685
ko:K03709	myc:NF90_08715
ko:K11753	myc:NF90_08720
ko:K02956	myc:NF90_08725
ko:K00962	myc:NF90_08735
ko:K00259	myc:NF90_08765
ko:K01673	myc:NF90_08775
ko:K00215	myc:NF90_08785
ko:K02051	myc:NF90_13165
ko:K03710	myc:NF90_13175
ko:K14743	myc:NF90_13250
ko:K06978	myc:NF90_13265
ko:K04091	myc:NF90_13280
ko:K15553	myc:NF90_13285
ko:K15555	myc:NF90_13290
ko:K15554	myc:NF90_13295
ko:K06994	myc:NF90_13325
ko:K00721	myc:NF90_13345
ko:K03820	myc:NF90_13350
ko:K07113	myc:NF90_13360
ko:K07006	myc:NF90_13365
ko:K07006	myc:NF90_13370
ko:K02230	myc:NF90_13375
ko:K02229	myc:NF90_13380
ko:K06042	myc:NF90_13385
ko:K13540	myc:NF90_13390
ko:K05895	myc:NF90_13395
ko:K05936	myc:NF90_13400
ko:K00595	myc:NF90_13405
ko:K03727	myc:NF90_13435
ko:K03118	myc:NF90_13440
ko:K03116	myc:NF90_13445
ko:K13573	myc:NF90_13450
ko:K16301	myc:NF90_17765
ko:K07243	myc:NF90_17770
ko:K02428	myc:NF90_17775
ko:K03723	myc:NF90_17780
ko:K01586	myc:NF90_17785
ko:K04042	myc:NF90_17830
ko:K00948	myc:NF90_17835
ko:K02897	myc:NF90_17855
ko:K01056	myc:NF90_17860
ko:K11608	myc:NF90_17865
ko:K00666	myc:NF90_17870
ko:K00919	myc:NF90_17875
ko:K06994	myc:NF90_17895
ko:K11738	myc:NF90_17905
ko:K02528	myc:NF90_17910
ko:K03424	myc:NF90_17920
ko:K01874	myc:NF90_17925
ko:K03088	myc:NF90_17935
ko:K01665	myc:NF90_17945
ko:K07056	myc:NF90_17950
ko:K01478	myc:NF90_17960
ko:K12343	myc:NF90_17990
ko:K07006	myc:NF90_18005
ko:K07090	myc:NF90_18015
ko:K03790	myc:NF90_18045
ko:K01126	myc:NF90_22410
ko:K07304	myc:NF90_22425
ko:K04564	myc:NF90_22435
ko:K07156	myc:NF90_22475
ko:K02553	myc:NF90_22485
ko:K10215	myc:NF90_22505
ko:K15981	myc:NF90_22515
ko:K04477	myc:NF90_22535
ko:K13671	myc:NF90_22540
ko:K01265	myc:NF90_22550
ko:K00266	myc:NF90_22560
ko:K00265	myc:NF90_22565
ko:K07044	myc:NF90_22575
ko:K01077	myc:NF90_22585
ko:K15982	myc:NF90_22620
ko:K01011	myc:NF90_22665
ko:K08987	myc:NF90_22670
ko:K18955	myc:NF90_06445
ko:K01569	myc:NF90_00585
ko:K01421	myc:NF90_00610
ko:K07001	myc:NF90_00625
ko:K07001	myc:NF90_00660
ko:K06994	myc:NF90_00685
ko:K17218	myc:NF90_00700
ko:K01644	myc:NF90_00735
ko:K04047	myc:NF90_00745
ko:K03088	myc:NF90_00755
ko:K14347	myc:NF90_00775
ko:K05522	myc:NF90_00780
ko:K02988	myc:NF90_05270
ko:K02907	myc:NF90_05275
ko:K02876	myc:NF90_05280
ko:K04773	myc:NF90_05300
ko:K03076	myc:NF90_05325
ko:K00939	myc:NF90_05330
ko:K01265	myc:NF90_05335
ko:K01790	myc:NF90_05345
ko:K07192	myc:NF90_05360
ko:K02518	myc:NF90_05375
ko:K02919	myc:NF90_05380
ko:K02952	myc:NF90_05385
ko:K02948	myc:NF90_05390
ko:K02986	myc:NF90_05395
ko:K03040	myc:NF90_05400
ko:K02879	myc:NF90_05405
ko:K06173	myc:NF90_05410
ko:K14743	myc:NF90_05460
ko:K03466	myc:NF90_05470
ko:K02871	myc:NF90_05490
ko:K02996	myc:NF90_05495
ko:K03431	myc:NF90_05500
ko:K01113	myc:NF90_05505
ko:K00820	myc:NF90_05535
ko:K01580	myc:NF90_05550
ko:K01775	myc:NF90_05555
ko:K06925	myc:NF90_05565
ko:K01159	myc:NF90_09985
ko:K03550	myc:NF90_09990
ko:K03551	myc:NF90_09995
ko:K03210	myc:NF90_10000
ko:K03072	myc:NF90_10005
ko:K03074	myc:NF90_10010
ko:K02035	myc:NF90_10015
ko:K00759	myc:NF90_10020
ko:K00951	myc:NF90_10025
ko:K17836	myc:NF90_10030
ko:K03768	myc:NF90_10035
ko:K01892	myc:NF90_10045
ko:K07032	myc:NF90_10060
ko:K07054	myc:NF90_10070
ko:K03929	myc:NF90_10075
ko:K01876	myc:NF90_10080
ko:K01560	myc:NF90_10090
ko:K07089	myc:NF90_10100
ko:K07478	myc:NF90_10140
ko:K01872	myc:NF90_10150
ko:K07447	myc:NF90_10155
ko:K07082	myc:NF90_10160
ko:K00014	myc:NF90_10165
ko:K00598	myc:NF90_10180
ko:K02654	myc:NF90_10185
ko:K01736	myc:NF90_10190
ko:K00891	myc:NF90_10195
ko:K01735	myc:NF90_10200
ko:K03786	myc:NF90_10205
ko:K02356	myc:NF90_10220
ko:K03625	myc:NF90_10225
ko:K02825	myc:NF90_10245
ko:K00609	myc:NF90_10250
ko:K01465	myc:NF90_10255
ko:K07164	myc:NF90_14595
ko:K00817	myc:NF90_14605
ko:K01104	myc:NF90_14615
ko:K02227	myc:NF90_14625
ko:K07241	myc:NF90_14630
ko:K07107	myc:NF90_14675
ko:K03386	myc:NF90_14685
ko:K00163	myc:NF90_14700
ko:K16937	myc:NF90_14710
ko:K00645	myc:NF90_14725
ko:K02078	myc:NF90_14730
ko:K11609	myc:NF90_14735
ko:K18472	myc:NF90_14740
ko:K00153	myc:NF90_14775
ko:K16905	myc:NF90_14815
ko:K16906	myc:NF90_14820
ko:K16907	myc:NF90_14825
ko:K00688	myc:NF90_14845
ko:K11731	myc:NF90_14860
ko:K00466	myc:NF90_19210
ko:K08369	myc:NF90_19280
ko:K00074	myc:NF90_19340
ko:K03921	myc:NF90_19365
ko:K02039	myc:NF90_19380
ko:K02036	myc:NF90_19390
ko:K02038	myc:NF90_19395
ko:K02037	myc:NF90_19400
ko:K02040	myc:NF90_19405
ko:K15520	myc:NF90_19410
ko:K01011	myc:NF90_19435
ko:K02619	myc:NF90_19480
ko:K06980	myc:NF90_19485
ko:K07246	myc:NF90_02290
ko:K00135	myc:NF90_02295
ko:K00823	myc:NF90_02300
ko:K02433	myc:NF90_02310
ko:K01799	myc:NF90_02320
ko:K04761	myc:NF90_02340
ko:K03386	myc:NF90_02345
ko:K04756	myc:NF90_02350
ko:K03921	myc:NF90_02365
ko:K09125	myc:NF90_02410
ko:K02016	myc:NF90_02420
ko:K00055	myc:NF90_02430
ko:K06895	myc:NF90_02440
ko:K05596	myc:NF90_02445
ko:K01644	myc:NF90_02460
ko:K00666	myc:NF90_02465
ko:K01907	myc:NF90_02470
ko:K00666	myc:NF90_02485
ko:K01916	myc:NF90_07050
ko:K03647	myc:NF90_07075
ko:K13979	myc:NF90_07165
ko:K02471	myc:NF90_07170
ko:K11939	myc:NF90_07185
ko:K02016	myc:NF90_07215
ko:K02274	myc:NF90_07220
ko:K01079	myc:NF90_07225
ko:K02013	myc:NF90_07245
ko:K01692	myc:NF90_07255
ko:K07044	myc:NF90_07290
ko:K07044	myc:NF90_07295
ko:K03921	myc:NF90_11745
ko:K12251	myc:NF90_11765
ko:K10536	myc:NF90_11770
ko:K16234	myc:NF90_11780
ko:K03781	myc:NF90_11800
ko:K02039	myc:NF90_11825
ko:K03090	myc:NF90_11890
ko:K02493	myc:NF90_11895
ko:K00265	myc:NF90_12010
ko:K00380	myc:NF90_12015
ko:K00790	myc:NF90_16325
ko:K02114	myc:NF90_16340
ko:K02112	myc:NF90_16345
ko:K02115	myc:NF90_16350
ko:K02111	myc:NF90_16355
ko:K02109	myc:NF90_16365
ko:K02110	myc:NF90_16370
ko:K02108	myc:NF90_16375
ko:K02851	myc:NF90_16385
ko:K02493	myc:NF90_16395
ko:K02835	myc:NF90_16400
ko:K02909	myc:NF90_16405
ko:K03628	myc:NF90_16425
ko:K00872	myc:NF90_16430
ko:K01733	myc:NF90_16435
ko:K00003	myc:NF90_16440
ko:K01586	myc:NF90_16445
ko:K01887	myc:NF90_16450
ko:K08296	myc:NF90_16525
ko:K06147	myc:NF90_16545
ko:K06147	myc:NF90_16550
ko:K00104	myc:NF90_16585
ko:K05592	myc:NF90_16605
ko:K02283	myc:NF90_20990
ko:K02031	myc:NF90_21015
ko:K02032	myc:NF90_21015
ko:K15582	myc:NF90_21020
ko:K15581	myc:NF90_21025
ko:K15580	myc:NF90_21030
ko:K01895	myc:NF90_21035
ko:K10773	myc:NF90_21070
ko:K01738	myc:NF90_21130
ko:K03583	myc:NF90_21170
ko:K03582	myc:NF90_21175
ko:K03581	myc:NF90_21180
ko:K03924	myc:NF90_21220
ko:K07301	myc:NF90_00800
ko:K03499	myc:NF90_00830
ko:K11105	myc:NF90_00835
ko:K07006	myc:NF90_00845
ko:K12421	myc:NF90_00850
ko:K06994	myc:NF90_00900
ko:K06994	myc:NF90_00905
ko:K00038	myc:NF90_01015
ko:K04488	myc:NF90_01050
ko:K04487	myc:NF90_01055
ko:K02004	myc:NF90_01060
ko:K02003	myc:NF90_01065
ko:K02078	myc:NF90_01070
ko:K07045	myc:NF90_01080
ko:K03789	myc:NF90_05575
ko:K01409	myc:NF90_05580
ko:K04078	myc:NF90_05590
ko:K04077	myc:NF90_05595
ko:K03088	myc:NF90_05615
ko:K00088	myc:NF90_05630
ko:K00088	myc:NF90_05635
ko:K03333	myc:NF90_05640
ko:K01951	myc:NF90_05645
ko:K14161	myc:NF90_05675
ko:K09167	myc:NF90_05695
ko:K14162	myc:NF90_05720
ko:K03216	myc:NF90_05725
ko:K07118	myc:NF90_05740
ko:K01491	myc:NF90_05765
ko:K00641	myc:NF90_05785
ko:K00031	myc:NF90_05795
ko:K01142	myc:NF90_05805
ko:K02067	myc:NF90_04085
ko:K02067	myc:NF90_04090
ko:K02066	myc:NF90_04100
ko:K02066	myc:NF90_04105
ko:K07044	myc:NF90_04120
ko:K07044	myc:NF90_04135
ko:K18455	myc:NF90_04165
ko:K01524	myc:NF90_04175
ko:K00286	myc:NF90_04215
ko:K01784	myc:NF90_04225
ko:K02371	myc:NF90_04235
ko:K02492	myc:NF90_04275
ko:K01749	myc:NF90_04280
ko:K13542	myc:NF90_04285
ko:K01698	myc:NF90_04290
ko:K17686	myc:NF90_04320
ko:K07090	myc:NF90_04330
ko:K07386	myc:NF90_04335
ko:K01845	myc:NF90_04345
ko:K06196	myc:NF90_04360
ko:K07399	myc:NF90_04365
ko:K09927	myc:NF90_08825
ko:K01714	myc:NF90_08840
ko:K12574	myc:NF90_08845
ko:K03466	myc:NF90_08890
ko:K00619	myc:NF90_08900
ko:K00995	myc:NF90_08905
ko:K10533	myc:NF90_08940
ko:K10533	myc:NF90_08945
ko:K03565	myc:NF90_08965
ko:K07006	myc:NF90_08985
ko:K09958	myc:NF90_08990
ko:K10007	myc:NF90_08995
ko:K10006	myc:NF90_09000
ko:K10005	myc:NF90_09005
ko:K10008	myc:NF90_09010
ko:K06168	myc:NF90_09020
ko:K00791	myc:NF90_09040
ko:K01778	myc:NF90_09045
ko:K03665	myc:NF90_09050
ko:K08351	myc:NF90_09055
ko:K03823	myc:NF90_09065
ko:K01356	myc:NF90_09070
ko:K13571	myc:NF90_13465
ko:K10831	myc:NF90_13490
ko:K15551	myc:NF90_13495
ko:K15552	myc:NF90_13500
ko:K03432	myc:NF90_13515
ko:K03433	myc:NF90_13520
ko:K13570	myc:NF90_13525
ko:K00817	myc:NF90_13540
ko:K00648	myc:NF90_13545
ko:K01652	myc:NF90_13555
ko:K03088	myc:NF90_13565
ko:K13527	myc:NF90_13570
ko:K07442	myc:NF90_13590
ko:K03921	myc:NF90_13600
ko:K06978	myc:NF90_13605
ko:K02066	myc:NF90_13650
ko:K00508	myc:NF90_13655
ko:K00343	myc:NF90_13660
ko:K00342	myc:NF90_13665
ko:K00341	myc:NF90_13670
ko:K00340	myc:NF90_13675
ko:K00339	myc:NF90_13680
ko:K00338	myc:NF90_13685
ko:K00337	myc:NF90_13690
ko:K00334	myc:NF90_13705
ko:K00333	myc:NF90_13710
ko:K00332	myc:NF90_13715
ko:K00331	myc:NF90_13720
ko:K00330	myc:NF90_13725
ko:K00765	myc:NF90_13735
ko:K03750	myc:NF90_18050
ko:K00963	myc:NF90_18055
ko:K01934	myc:NF90_18060
ko:K03282	myc:NF90_18075
ko:K08372	myc:NF90_18090
ko:K07653	myc:NF90_18095
ko:K07669	myc:NF90_18100
ko:K02911	myc:NF90_18105
ko:K01965	myc:NF90_18125
ko:K01692	myc:NF90_18135
ko:K02471	myc:NF90_18150
ko:K00602	myc:NF90_18155
ko:K11175	myc:NF90_18160
ko:K17228	myc:NF90_18175
ko:K01902	myc:NF90_18190
ko:K01903	myc:NF90_18195
ko:K03657	myc:NF90_18205
ko:K04093	myc:NF90_18210
ko:K01810	myc:NF90_18220
ko:K01628	myc:NF90_18230
ko:K01714	myc:NF90_18235
ko:K02274	myc:NF90_18245
ko:K10563	myc:NF90_18265
ko:K02228	myc:NF90_18270
ko:K01971	myc:NF90_18290
ko:K10979	myc:NF90_18295
ko:K03322	myc:NF90_18300
ko:K01725	myc:NF90_18320
ko:K17883	myc:NF90_22710
ko:K11921	myc:NF90_22735
ko:K01725	myc:NF90_22740
ko:K01664	myc:NF90_22895
ko:K03767	myc:NF90_22930
ko:K02469	myc:NF90_22965
ko:K01867	myc:NF90_05810
ko:K07058	myc:NF90_05815
ko:K07258	myc:NF90_05820
ko:K03088	myc:NF90_05830
ko:K00240	myc:NF90_05840
ko:K00239	myc:NF90_05845
ko:K00242	myc:NF90_05850
ko:K00241	myc:NF90_05855
ko:K01489	myc:NF90_05860
ko:K01956	myc:NF90_10265
ko:K01955	myc:NF90_10270
ko:K01591	myc:NF90_10275
ko:K00942	myc:NF90_10290
ko:K03060	myc:NF90_10295
ko:K13038	myc:NF90_10300
ko:K00789	myc:NF90_10305
ko:K12343	myc:NF90_10310
ko:K01464	myc:NF90_10320
ko:K03457	myc:NF90_10330
ko:K04066	myc:NF90_10340
ko:K00604	myc:NF90_10350
ko:K03500	myc:NF90_10355
ko:K01783	myc:NF90_10360
ko:K11752	myc:NF90_10365
ko:K14954	myc:NF90_10375
ko:K02073	myc:NF90_10385
ko:K02071	myc:NF90_10390
ko:K02072	myc:NF90_10395
ko:K00793	myc:NF90_10420
ko:K14652	myc:NF90_10425
ko:K00794	myc:NF90_10430
ko:K00138	myc:NF90_10445
ko:K03735	myc:NF90_10455
ko:K03736	myc:NF90_10460
