ko:K07489	ypv:BZ15_2605
ko:K06956	ypv:BZ15_1833
ko:K11066	ypv:BZ15_1834
ko:K01730	ypv:BZ15_1836
ko:K08169	ypv:BZ15_1837
ko:K07346	ypv:BZ15_1838
ko:K07345	ypv:BZ15_1839
ko:K07347	ypv:BZ15_1840
ko:K15540	ypv:BZ15_1841
ko:K07345	ypv:BZ15_1842
ko:K03799	ypv:BZ15_1843
ko:K03797	ypv:BZ15_1845
ko:K03607	ypv:BZ15_1846
ko:K03808	ypv:BZ15_1848
ko:K07346	ypv:BZ15_1853
ko:K07347	ypv:BZ15_1854
ko:K01775	ypv:BZ15_1865
ko:K18800	ypv:BZ15_2668
ko:K00605	ypv:BZ15_2669
ko:K02437	ypv:BZ15_2670
ko:K00281	ypv:BZ15_2671
ko:K11068	ypv:BZ15_2676
ko:K06980	ypv:BZ15_2678
ko:K09159	ypv:BZ15_2679
ko:K07663	ypv:BZ15_2680
ko:K07641	ypv:BZ15_2681
ko:K06143	ypv:BZ15_2682
ko:K03840	ypv:BZ15_2683
ko:K04763	ypv:BZ15_2684
ko:K03981	ypv:BZ15_2685
ko:K07462	ypv:BZ15_2686
ko:K02836	ypv:BZ15_2687
ko:K04567	ypv:BZ15_2688
ko:K13651	ypv:BZ15_2694
ko:K13655	ypv:BZ15_2695
ko:K07733	ypv:BZ15_2698
ko:K17205	ypv:BZ15_2715
ko:K17206	ypv:BZ15_2716
ko:K17207	ypv:BZ15_2717
ko:K10111	ypv:BZ15_2718
ko:K15770	ypv:BZ15_2719
ko:K15771	ypv:BZ15_2720
ko:K15772	ypv:BZ15_2721
ko:K01224	ypv:BZ15_2722
ko:K12308	ypv:BZ15_2723
ko:K05501	ypv:BZ15_3522
ko:K00762	ypv:BZ15_3523
ko:K00989	ypv:BZ15_3524
ko:K01972	ypv:BZ15_3527
ko:K00942	ypv:BZ15_3528
ko:K03060	ypv:BZ15_3529
ko:K00556	ypv:BZ15_3531
ko:K03655	ypv:BZ15_3532
ko:K03312	ypv:BZ15_3533
ko:K16345	ypv:BZ15_3534
ko:K07560	ypv:BZ15_3539
ko:K07058	ypv:BZ15_3540
ko:K06207	ypv:BZ15_3542
ko:K01915	ypv:BZ15_3543
ko:K07708	ypv:BZ15_3544
ko:K07712	ypv:BZ15_3545
ko:K09894	ypv:BZ15_3547
ko:K03978	ypv:BZ15_3548
ko:K07491	ypv:BZ15_3549
ko:K03673	ypv:BZ15_3551
ko:K09896	ypv:BZ15_3553
ko:K03752	ypv:BZ15_3554
ko:K03753	ypv:BZ15_3555
ko:K00852	ypv:BZ15_3564
ko:K06726	ypv:BZ15_3565
ko:K03549	ypv:BZ15_3566
ko:K03924	ypv:BZ15_3567
ko:K01914	ypv:BZ15_3569
ko:K03718	ypv:BZ15_3570
ko:K06205	ypv:BZ15_3571
ko:K03495	ypv:BZ15_3572
ko:K03501	ypv:BZ15_3573
ko:K03227	ypv:BZ15_4400
ko:K03228	ypv:BZ15_4401
ko:K03229	ypv:BZ15_4402
ko:K04049	ypv:BZ15_4405
ko:K01589	ypv:BZ15_451
ko:K01588	ypv:BZ15_452
ko:K03269	ypv:BZ15_453
ko:K03768	ypv:BZ15_454
ko:K01883	ypv:BZ15_455
ko:K07491	ypv:BZ15_457
ko:K10763	ypv:BZ15_458
ko:K00537	ypv:BZ15_459
ko:K03548	ypv:BZ15_461
ko:K03564	ypv:BZ15_464
ko:K03567	ypv:BZ15_465
ko:K01714	ypv:BZ15_466
ko:K07287	ypv:BZ15_467
ko:K07491	ypv:BZ15_468
ko:K01923	ypv:BZ15_469
ko:K07054	ypv:BZ15_470
ko:K06957	ypv:BZ15_472
ko:K01439	ypv:BZ15_475
ko:K02012	ypv:BZ15_478
ko:K02011	ypv:BZ15_479
ko:K02010	ypv:BZ15_480
ko:K06871	ypv:BZ15_482
ko:K07038	ypv:BZ15_483
ko:K18324	ypv:BZ15_485
ko:K07685	ypv:BZ15_487
ko:K02572	ypv:BZ15_488
ko:K02570	ypv:BZ15_489
ko:K02567	ypv:BZ15_490
ko:K02568	ypv:BZ15_491
ko:K02569	ypv:BZ15_492
ko:K00029	ypv:BZ15_494
ko:K09768	ypv:BZ15_495
ko:K00228	ypv:BZ15_496
ko:K07223	ypv:BZ15_503
ko:K01639	ypv:BZ15_504
ko:K19221	ypv:BZ15_1327
ko:K06178	ypv:BZ15_1328
ko:K07053	ypv:BZ15_1330
ko:K01657	ypv:BZ15_1331
ko:K01658	ypv:BZ15_1332
ko:K00766	ypv:BZ15_1333
ko:K13498	ypv:BZ15_1334
ko:K01696	ypv:BZ15_1335
ko:K01695	ypv:BZ15_1336
ko:K07275	ypv:BZ15_1338
ko:K06190	ypv:BZ15_1342
ko:K10806	ypv:BZ15_1343
ko:K03832	ypv:BZ15_1345
ko:K09780	ypv:BZ15_1346
ko:K09981	ypv:BZ15_1347
ko:K06131	ypv:BZ15_1350
ko:K09901	ypv:BZ15_1351
ko:K10823	ypv:BZ15_1353
ko:K15583	ypv:BZ15_1354
ko:K15582	ypv:BZ15_1355
ko:K15581	ypv:BZ15_1356
ko:K15580	ypv:BZ15_1357
ko:K04072	ypv:BZ15_1359
ko:K03746	ypv:BZ15_1363
ko:K00012	ypv:BZ15_1364
ko:K09858	ypv:BZ15_1366
ko:K01433	ypv:BZ15_1368
ko:K01142	ypv:BZ15_1372
ko:K08320	ypv:BZ15_1373
ko:K03169	ypv:BZ15_1375
ko:K01008	ypv:BZ15_1376
ko:K04773	ypv:BZ15_1378
ko:K01424	ypv:BZ15_1379
ko:K08281	ypv:BZ15_1380
ko:K09916	ypv:BZ15_1381
ko:K03704	ypv:BZ15_2188
ko:K05685	ypv:BZ15_2189
ko:K13888	ypv:BZ15_2190
ko:K09824	ypv:BZ15_2191
ko:K07459	ypv:BZ15_2192
ko:K05601	ypv:BZ15_2194
ko:K11933	ypv:BZ15_2195
ko:K00156	ypv:BZ15_2196
ko:K01620	ypv:BZ15_2197
ko:K04093	ypv:BZ15_2201
ko:K10000	ypv:BZ15_2202
ko:K09997	ypv:BZ15_2203
ko:K09999	ypv:BZ15_2204
ko:K09998	ypv:BZ15_2205
ko:K02013	ypv:BZ15_2209
ko:K02015	ypv:BZ15_2210
ko:K09996	ypv:BZ15_2215
ko:K09996	ypv:BZ15_2218
ko:K03212	ypv:BZ15_2219
ko:K11074	ypv:BZ15_2221
ko:K11075	ypv:BZ15_2222
ko:K11076	ypv:BZ15_2223
ko:K11073	ypv:BZ15_2224
ko:K03674	ypv:BZ15_2227
ko:K07085	ypv:BZ15_2228
ko:K01619	ypv:BZ15_2231
ko:K11534	ypv:BZ15_2232
ko:K03837	ypv:BZ15_2233
ko:K07258	ypv:BZ15_2234
ko:K02072	ypv:BZ15_2235
ko:K02071	ypv:BZ15_2236
ko:K02073	ypv:BZ15_2237
ko:K03291	ypv:BZ15_3045
ko:K11925	ypv:BZ15_3046
ko:K02064	ypv:BZ15_3048
ko:K02063	ypv:BZ15_3049
ko:K02062	ypv:BZ15_3050
ko:K02336	ypv:BZ15_3052
ko:K03580	ypv:BZ15_3053
ko:K11891	ypv:BZ15_3055
ko:K11892	ypv:BZ15_3056
ko:K11893	ypv:BZ15_3057
ko:K11906	ypv:BZ15_3058
ko:K11904	ypv:BZ15_3064
ko:K11907	ypv:BZ15_3065
ko:K11895	ypv:BZ15_3066
ko:K11896	ypv:BZ15_3067
ko:K11897	ypv:BZ15_3068
ko:K11903	ypv:BZ15_3069
ko:K11900	ypv:BZ15_3070
ko:K11901	ypv:BZ15_3071
ko:K11902	ypv:BZ15_3072
ko:K06177	ypv:BZ15_3074
ko:K05801	ypv:BZ15_3075
ko:K04744	ypv:BZ15_3076
ko:K03771	ypv:BZ15_3077
ko:K00097	ypv:BZ15_3078
ko:K02528	ypv:BZ15_3079
ko:K06195	ypv:BZ15_3080
ko:K01525	ypv:BZ15_3081
ko:K07491	ypv:BZ15_3083
ko:K01955	ypv:BZ15_3088
ko:K01956	ypv:BZ15_3089
ko:K00215	ypv:BZ15_3090
ko:K07491	ypv:BZ15_3091
ko:K03527	ypv:BZ15_3092
ko:K03774	ypv:BZ15_3093
ko:K03101	ypv:BZ15_3094
ko:K01870	ypv:BZ15_3095
ko:K09812	ypv:BZ15_3903
ko:K09811	ypv:BZ15_3904
ko:K03089	ypv:BZ15_3905
ko:K07491	ypv:BZ15_3906
ko:K01999	ypv:BZ15_3908
ko:K01997	ypv:BZ15_3909
ko:K01998	ypv:BZ15_3910
ko:K01995	ypv:BZ15_3911
ko:K01996	ypv:BZ15_3912
ko:K05813	ypv:BZ15_3920
ko:K05814	ypv:BZ15_3921
ko:K05815	ypv:BZ15_3922
ko:K05816	ypv:BZ15_3923
ko:K01126	ypv:BZ15_3924
ko:K07088	ypv:BZ15_3925
ko:K03576	ypv:BZ15_3926
ko:K00549	ypv:BZ15_3928
ko:K01061	ypv:BZ15_3929
ko:K00757	ypv:BZ15_3930
ko:K06200	ypv:BZ15_3932
ko:K09760	ypv:BZ15_3934
ko:K03183	ypv:BZ15_3935
ko:K03690	ypv:BZ15_3936
ko:K03688	ypv:BZ15_3937
ko:K03116	ypv:BZ15_3938
ko:K03117	ypv:BZ15_3939
ko:K03118	ypv:BZ15_3940
ko:K03424	ypv:BZ15_3941
ko:K01698	ypv:BZ15_3945
ko:K05785	ypv:BZ15_3946
ko:K03182	ypv:BZ15_3947
ko:K05368	ypv:BZ15_3948
ko:K01825	ypv:BZ15_3950
ko:K07491	ypv:BZ15_3953
ko:K00950	ypv:BZ15_122
ko:K00970	ypv:BZ15_123
ko:K01894	ypv:BZ15_124
ko:K06204	ypv:BZ15_125
ko:K06206	ypv:BZ15_126
ko:K01975	ypv:BZ15_127
ko:K03579	ypv:BZ15_128
ko:K05365	ypv:BZ15_129
ko:K02013	ypv:BZ15_130
ko:K02016	ypv:BZ15_131
ko:K02015	ypv:BZ15_132
ko:K01845	ypv:BZ15_133
ko:K03281	ypv:BZ15_134
ko:K15724	ypv:BZ15_135
ko:K06858	ypv:BZ15_137
ko:K01243	ypv:BZ15_138
ko:K01129	ypv:BZ15_139
ko:K07678	ypv:BZ15_141
ko:K00951	ypv:BZ15_142
ko:K04765	ypv:BZ15_143
ko:K01937	ypv:BZ15_144
ko:K01689	ypv:BZ15_145
ko:K04565	ypv:BZ15_146
ko:K10026	ypv:BZ15_147
ko:K01737	ypv:BZ15_148
ko:K00380	ypv:BZ15_149
ko:K00381	ypv:BZ15_150
ko:K00390	ypv:BZ15_151
ko:K00390	ypv:BZ15_152
ko:K02302	ypv:BZ15_156
ko:K00957	ypv:BZ15_157
ko:K00956	ypv:BZ15_158
ko:K00860	ypv:BZ15_159
ko:K05589	ypv:BZ15_161
ko:K00991	ypv:BZ15_162
ko:K01770	ypv:BZ15_163
ko:K06176	ypv:BZ15_164
ko:K03787	ypv:BZ15_165
ko:K00573	ypv:BZ15_166
ko:K06194	ypv:BZ15_167
ko:K03087	ypv:BZ15_168
ko:K03555	ypv:BZ15_169
ko:K01808	ypv:BZ15_170
ko:K05878	ypv:BZ15_173
ko:K05879	ypv:BZ15_174
ko:K01690	ypv:BZ15_1003
ko:K05594	ypv:BZ15_1005
ko:K02552	ypv:BZ15_1007
ko:K02551	ypv:BZ15_1008
ko:K08680	ypv:BZ15_1009
ko:K01661	ypv:BZ15_1010
ko:K02549	ypv:BZ15_1011
ko:K01911	ypv:BZ15_1012
ko:K06970	ypv:BZ15_1015
ko:K03406	ypv:BZ15_1018
ko:K10038	ypv:BZ15_1019
ko:K10037	ypv:BZ15_1020
ko:K10036	ypv:BZ15_1021
ko:K04047	ypv:BZ15_1023
ko:K00598	ypv:BZ15_1024
ko:K11939	ypv:BZ15_1026
ko:K11934	ypv:BZ15_1027
ko:K00008	ypv:BZ15_1031
ko:K10439	ypv:BZ15_1032
ko:K10441	ypv:BZ15_1033
ko:K10440	ypv:BZ15_1034
ko:K02529	ypv:BZ15_1035
ko:K16135	ypv:BZ15_1036
ko:K07246	ypv:BZ15_1037
ko:K03451	ypv:BZ15_1038
ko:K15125	ypv:BZ15_1042
ko:K10111	ypv:BZ15_1050
ko:K01840	ypv:BZ15_1051
ko:K02027	ypv:BZ15_1053
ko:K02025	ypv:BZ15_1054
ko:K03414	ypv:BZ15_1871
ko:K03413	ypv:BZ15_1872
ko:K03412	ypv:BZ15_1873
ko:K00575	ypv:BZ15_1874
ko:K03408	ypv:BZ15_1885
ko:K03407	ypv:BZ15_1886
ko:K02557	ypv:BZ15_1887
ko:K02556	ypv:BZ15_1888
ko:K02402	ypv:BZ15_1889
ko:K02403	ypv:BZ15_1890
ko:K01531	ypv:BZ15_1891
ko:K07507	ypv:BZ15_1892
ko:K05876	ypv:BZ15_1893
ko:K05876	ypv:BZ15_1894
ko:K03704	ypv:BZ15_1896
ko:K01190	ypv:BZ15_1897
ko:K03719	ypv:BZ15_1900
ko:K01093	ypv:BZ15_1903
ko:K03776	ypv:BZ15_1907
ko:K00031	ypv:BZ15_1910
ko:K06181	ypv:BZ15_1911
ko:K12152	ypv:BZ15_1912
ko:K00566	ypv:BZ15_1913
ko:K07153	ypv:BZ15_1914
ko:K01756	ypv:BZ15_1915
ko:K07660	ypv:BZ15_1917
ko:K07637	ypv:BZ15_1918
ko:K18850	ypv:BZ15_1919
ko:K01258	ypv:BZ15_1920
ko:K12410	ypv:BZ15_1921
ko:K00884	ypv:BZ15_1922
ko:K09808	ypv:BZ15_1923
ko:K02778	ypv:BZ15_2724
ko:K02024	ypv:BZ15_2725
ko:K01187	ypv:BZ15_2727
ko:K08191	ypv:BZ15_2728
ko:K08302	ypv:BZ15_2732
ko:K06871	ypv:BZ15_2735
ko:K00065	ypv:BZ15_2737
ko:K02079	ypv:BZ15_2738
ko:K02744	ypv:BZ15_2739
ko:K02747	ypv:BZ15_2740
ko:K02746	ypv:BZ15_2741
ko:K02745	ypv:BZ15_2742
ko:K02082	ypv:BZ15_2743
ko:K16371	ypv:BZ15_2744
ko:K08961	ypv:BZ15_2750
ko:K01673	ypv:BZ15_2754
ko:K02452	ypv:BZ15_2756
ko:K02453	ypv:BZ15_2757
ko:K02454	ypv:BZ15_2758
ko:K02455	ypv:BZ15_2760
ko:K02456	ypv:BZ15_2761
ko:K02457	ypv:BZ15_2762
ko:K02458	ypv:BZ15_2763
ko:K02459	ypv:BZ15_2764
ko:K02460	ypv:BZ15_2765
ko:K02461	ypv:BZ15_2766
ko:K02465	ypv:BZ15_2769
ko:K07396	ypv:BZ15_2772
ko:K02116	ypv:BZ15_3574
ko:K02108	ypv:BZ15_3575
ko:K02110	ypv:BZ15_3576
ko:K02109	ypv:BZ15_3577
ko:K02113	ypv:BZ15_3578
ko:K02111	ypv:BZ15_3579
ko:K02115	ypv:BZ15_3580
ko:K02112	ypv:BZ15_3581
ko:K02114	ypv:BZ15_3582
ko:K04042	ypv:BZ15_3583
ko:K00820	ypv:BZ15_3584
ko:K02040	ypv:BZ15_3585
ko:K02037	ypv:BZ15_3586
ko:K02038	ypv:BZ15_3587
ko:K02036	ypv:BZ15_3588
ko:K02039	ypv:BZ15_3589
ko:K02030	ypv:BZ15_3591
ko:K02029	ypv:BZ15_3592
ko:K02029	ypv:BZ15_3593
ko:K06901	ypv:BZ15_3595
ko:K00209	ypv:BZ15_3598
ko:K03650	ypv:BZ15_3599
ko:K03217	ypv:BZ15_3600
ko:K08998	ypv:BZ15_3601
ko:K03536	ypv:BZ15_3602
ko:K02914	ypv:BZ15_3603
ko:K02313	ypv:BZ15_3605
ko:K02338	ypv:BZ15_3606
ko:K03629	ypv:BZ15_3607
ko:K02470	ypv:BZ15_3608
ko:K07483	ypv:BZ15_3612
ko:K01754	ypv:BZ15_3614
ko:K04080	ypv:BZ15_3618
ko:K04081	ypv:BZ15_3619
ko:K07085	ypv:BZ15_3620
ko:K00835	ypv:BZ15_3621
ko:K01176	ypv:BZ15_3623
ko:K00090	ypv:BZ15_3624
ko:K07308	ypv:BZ15_566
ko:K07307	ypv:BZ15_567
ko:K07306	ypv:BZ15_568
ko:K06887	ypv:BZ15_570
ko:K02010	ypv:BZ15_572
ko:K02011	ypv:BZ15_573
ko:K02012	ypv:BZ15_574
ko:K08305	ypv:BZ15_575
ko:K11902	ypv:BZ15_582
ko:K11895	ypv:BZ15_583
ko:K11896	ypv:BZ15_584
ko:K11907	ypv:BZ15_585
ko:K07345	ypv:BZ15_586
ko:K07347	ypv:BZ15_588
ko:K11901	ypv:BZ15_592
ko:K11900	ypv:BZ15_593
ko:K11903	ypv:BZ15_594
ko:K11906	ypv:BZ15_595
ko:K11893	ypv:BZ15_596
ko:K03474	ypv:BZ15_601
ko:K00997	ypv:BZ15_602
ko:K07491	ypv:BZ15_603
ko:K07106	ypv:BZ15_606
ko:K18697	ypv:BZ15_607
ko:K11991	ypv:BZ15_608
ko:K18691	ypv:BZ15_609
ko:K01952	ypv:BZ15_610
ko:K07491	ypv:BZ15_614
ko:K07711	ypv:BZ15_615
ko:K07715	ypv:BZ15_617
ko:K01950	ypv:BZ15_618
ko:K04751	ypv:BZ15_619
ko:K09160	ypv:BZ15_1454
ko:K08305	ypv:BZ15_1456
ko:K09902	ypv:BZ15_1457
ko:K03610	ypv:BZ15_1458
ko:K03609	ypv:BZ15_1459
ko:K03608	ypv:BZ15_1460
ko:K03684	ypv:BZ15_1461
ko:K01897	ypv:BZ15_1462
ko:K07285	ypv:BZ15_1463
ko:K14742	ypv:BZ15_1464
ko:K11742	ypv:BZ15_1467
ko:K11743	ypv:BZ15_1468
ko:K01625	ypv:BZ15_1469
ko:K00036	ypv:BZ15_1471
ko:K00873	ypv:BZ15_1473
ko:K02560	ypv:BZ15_1474
ko:K09815	ypv:BZ15_1476
ko:K09817	ypv:BZ15_1477
ko:K09816	ypv:BZ15_1478
ko:K03551	ypv:BZ15_1479
ko:K03550	ypv:BZ15_1480
ko:K01159	ypv:BZ15_1481
ko:K08310	ypv:BZ15_1483
ko:K01876	ypv:BZ15_1484
ko:K07136	ypv:BZ15_1486
ko:K15256	ypv:BZ15_1487
ko:K15257	ypv:BZ15_1488
ko:K06201	ypv:BZ15_1489
ko:K07014	ypv:BZ15_2292
ko:K01223	ypv:BZ15_2299
ko:K03406	ypv:BZ15_2326
ko:K16210	ypv:BZ15_2328
ko:K18988	ypv:BZ15_2329
ko:K07491	ypv:BZ15_2332
ko:K07491	ypv:BZ15_2333
ko:K09475	ypv:BZ15_2334
ko:K07676	ypv:BZ15_2337
ko:K07676	ypv:BZ15_2338
ko:K07687	ypv:BZ15_2339
ko:K07677	ypv:BZ15_2340
ko:K02469	ypv:BZ15_2341
ko:K00568	ypv:BZ15_2342
ko:K11107	ypv:BZ15_2345
ko:K08276	ypv:BZ15_2346
ko:K02849	ypv:BZ15_3155
ko:K11216	ypv:BZ15_3156
ko:K11531	ypv:BZ15_3157
ko:K10558	ypv:BZ15_3159
ko:K10556	ypv:BZ15_3160
ko:K10557	ypv:BZ15_3161
ko:K10555	ypv:BZ15_3162
ko:K08321	ypv:BZ15_3163
ko:K11530	ypv:BZ15_3164
ko:K08483	ypv:BZ15_3166
ko:K11189	ypv:BZ15_3166
ko:K11201	ypv:BZ15_3166
ko:K11203	ypv:BZ15_3167
ko:K11202	ypv:BZ15_3168
ko:K11202	ypv:BZ15_3170
ko:K19147	ypv:BZ15_3183
ko:K07452	ypv:BZ15_3184
ko:K09456	ypv:BZ15_3189
ko:K03218	ypv:BZ15_3190
ko:K12573	ypv:BZ15_3191
ko:K13771	ypv:BZ15_3192
ko:K01939	ypv:BZ15_3193
ko:K09937	ypv:BZ15_3194
ko:K04087	ypv:BZ15_3195
ko:K04088	ypv:BZ15_3196
ko:K03665	ypv:BZ15_3197
ko:K03666	ypv:BZ15_3198
ko:K00791	ypv:BZ15_3199
ko:K03572	ypv:BZ15_3200
ko:K01448	ypv:BZ15_3201
ko:K06925	ypv:BZ15_3202
ko:K00548	ypv:BZ15_4014
ko:K11016	ypv:BZ15_4015
ko:K11017	ypv:BZ15_4016
ko:K00928	ypv:BZ15_4017
ko:K01810	ypv:BZ15_4018
ko:K13256	ypv:BZ15_4019
ko:K10110	ypv:BZ15_4020
ko:K10109	ypv:BZ15_4021
ko:K10108	ypv:BZ15_4022
ko:K10111	ypv:BZ15_4024
ko:K02024	ypv:BZ15_4025
ko:K05775	ypv:BZ15_4026
ko:K11903	ypv:BZ15_4028
ko:K11901	ypv:BZ15_4029
ko:K11900	ypv:BZ15_4030
ko:K11905	ypv:BZ15_4031
ko:K11896	ypv:BZ15_4033
ko:K07483	ypv:BZ15_4034
ko:K11895	ypv:BZ15_4036
ko:K11906	ypv:BZ15_4038
ko:K11893	ypv:BZ15_4039
ko:K11892	ypv:BZ15_4040
ko:K11907	ypv:BZ15_4041
ko:K11909	ypv:BZ15_4043
ko:K11910	ypv:BZ15_4044
ko:K11891	ypv:BZ15_4045
ko:K11911	ypv:BZ15_4046
ko:K11911	ypv:BZ15_4047
ko:K11904	ypv:BZ15_4048
ko:K19048	ypv:BZ15_4054
ko:K11904	ypv:BZ15_4057
ko:K02057	ypv:BZ15_4064
ko:K00852	ypv:BZ15_4065
ko:K01619	ypv:BZ15_4066
ko:K00299	ypv:BZ15_4067
ko:K15553	ypv:BZ15_4068
ko:K03893	ypv:BZ15_176
ko:K01713	ypv:BZ15_180
ko:K00428	ypv:BZ15_181
ko:K16089	ypv:BZ15_183
ko:K02014	ypv:BZ15_184
ko:K01265	ypv:BZ15_186
ko:K01676	ypv:BZ15_188
ko:K00880	ypv:BZ15_189
ko:K02057	ypv:BZ15_191
ko:K02057	ypv:BZ15_192
ko:K02056	ypv:BZ15_193
ko:K07491	ypv:BZ15_194
ko:K02058	ypv:BZ15_195
ko:K02430	ypv:BZ15_196
ko:K07306	ypv:BZ15_198
ko:K07307	ypv:BZ15_199
ko:K07308	ypv:BZ15_200
ko:K12262	ypv:BZ15_202
ko:K15536	ypv:BZ15_203
ko:K03782	ypv:BZ15_204
ko:K17202	ypv:BZ15_205
ko:K17204	ypv:BZ15_207
ko:K17203	ypv:BZ15_208
ko:K00615	ypv:BZ15_209
ko:K00615	ypv:BZ15_210
ko:K00864	ypv:BZ15_211
ko:K03743	ypv:BZ15_215
ko:K03565	ypv:BZ15_217
ko:K01872	ypv:BZ15_218
ko:K03563	ypv:BZ15_219
ko:K01919	ypv:BZ15_226
ko:K07173	ypv:BZ15_227
ko:K07491	ypv:BZ15_228
ko:K07491	ypv:BZ15_229
ko:K02026	ypv:BZ15_1055
ko:K16053	ypv:BZ15_1060
ko:K15342	ypv:BZ15_1061
ko:K07012	ypv:BZ15_1062
ko:K19127	ypv:BZ15_1063
ko:K19128	ypv:BZ15_1064
ko:K19129	ypv:BZ15_1065
ko:K19130	ypv:BZ15_1066
ko:K10713	ypv:BZ15_1068
ko:K08368	ypv:BZ15_1069
ko:K07146	ypv:BZ15_1076
ko:K11744	ypv:BZ15_1077
ko:K02846	ypv:BZ15_1079
ko:K11606	ypv:BZ15_1084
ko:K11605	ypv:BZ15_1085
ko:K11607	ypv:BZ15_1086
ko:K11604	ypv:BZ15_1087
ko:K08308	ypv:BZ15_1088
ko:K05595	ypv:BZ15_1089
ko:K01868	ypv:BZ15_1092
ko:K02520	ypv:BZ15_1093
ko:K02916	ypv:BZ15_1094
ko:K02887	ypv:BZ15_1095
ko:K01889	ypv:BZ15_1096
ko:K01890	ypv:BZ15_1097
ko:K04764	ypv:BZ15_1098
ko:K06073	ypv:BZ15_1100
ko:K00432	ypv:BZ15_1101
ko:K06074	ypv:BZ15_1102
ko:K07806	ypv:BZ15_1103
ko:K10012	ypv:BZ15_1104
ko:K10011	ypv:BZ15_1105
ko:K13014	ypv:BZ15_1106
ko:K07264	ypv:BZ15_1107
ko:K12962	ypv:BZ15_1108
ko:K09810	ypv:BZ15_1924
ko:K09808	ypv:BZ15_1925
ko:K03723	ypv:BZ15_1926
ko:K08300	ypv:BZ15_1931
ko:K06179	ypv:BZ15_1932
ko:K07491	ypv:BZ15_1933
ko:K07040	ypv:BZ15_1935
ko:K02911	ypv:BZ15_1936
ko:K03621	ypv:BZ15_1937
ko:K00648	ypv:BZ15_1938
ko:K00645	ypv:BZ15_1939
ko:K00059	ypv:BZ15_1940
ko:K02078	ypv:BZ15_1941
ko:K09458	ypv:BZ15_1942
ko:K07491	ypv:BZ15_1943
ko:K02619	ypv:BZ15_1944
ko:K07082	ypv:BZ15_1945
ko:K00943	ypv:BZ15_1946
ko:K02341	ypv:BZ15_1947
ko:K03424	ypv:BZ15_1948
ko:K02778	ypv:BZ15_1949
ko:K02779	ypv:BZ15_1949
ko:K07491	ypv:BZ15_1950
ko:K00014	ypv:BZ15_1951
ko:K02503	ypv:BZ15_1952
ko:K07337	ypv:BZ15_1954
ko:K07251	ypv:BZ15_1955
ko:K01207	ypv:BZ15_1956
ko:K07000	ypv:BZ15_1957
ko:K03885	ypv:BZ15_1958
ko:K01465	ypv:BZ15_1963
ko:K12149	ypv:BZ15_1964
ko:K12148	ypv:BZ15_1966
